"BOOTH.NO"	"ABDUL.HAMID.ANSARI"	"JAIMANGAL.PRASAD"	"ZAINAB.AHMAD.NABI"	"NEK.MOHAMMED"	"FAISAL.RAHMAN"	"BINDESHWARI.PRASAD"	"JAWAHAR.LAL.PRASAD"	"DHARAM.DEV.RAI"	"SUBHAS.KUMAR.SINGH"	"NEKA.MAHAMAD"	"PAWAN.KUMAR.JAISWAL"	"TOTAL"
"72"	63	76	3	5	271	48	6	1	4	1	23	122	560
"73"	64	16	141	0	8	45	31	6	7	3	11	278	546
"74"	65	11	95	6	22	33	6	3	68	2	10	333	589
"75"	66	29	6	4	150	310	20	8	13	10	14	166	730
"76"	67	14	139	3	274	90	7	3	7	5	35	57	634
"77"	68	16	16	3	292	127	11	5	11	4	14	255	754
"78"	69	14	10	2	191	70	22	3	3	1	6	153	475
"79"	70	9	11	1	64	69	8	5	2	5	10	241	425
"80"	71	20	116	12	160	72	23	7	9	8	25	208	660
"81"	72	13	2	0	18	4	3	0	2	4	7	389	442
"82"	73	6	5	0	6	81	6	1	2	2	4	449	562
"83"	74	18	64	1	29	96	7	2	3	5	3	156	384
"84"	75	5	3	2	188	27	7	2	3	2	9	114	362
"85"	76	6	2	0	27	108	12	2	7	0	7	57	228
"86"	77	25	60	5	22	112	11	5	3	8	8	204	463
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12	13
"89"	78	21	13	0	35	84	5	1	1	8	6	228	402
"90"	79	7	47	1	12	95	3	1	2	2	7	209	386
"91"	80	13	60	2	37	43	3	1	7	2	10	270	448
"92"	81	22	31	7	41	173	15	7	8	4	19	341	668
"93"	82	17	10	1	35	199	11	9	12	9	10	164	477
"94"	83	23	9	1	6	51	16	7	2	4	7	457	583
"95"	84	16	3	2	3	103	7	5	4	5	4	350	502
"96"	85	10	7	1	38	23	6	2	4	3	6	324	424
"97"	86	18	94	4	58	77	9	1	6	15	11	392	685
"98"	87	32	3	22	22	92	8	2	2	6	11	276	476
"99"	88	3	53	4	48	107	15	9	7	10	12	223	491
"100"	89	25	4	2	512	74	11	2	4	4	20	72	730
"101"	90	13	38	11	185	37	16	3	5	11	18	226	563
"102"	91	9	19	5	102	384	26	5	12	6	13	151	732
"103"	92	8	3	1	3	460	14	26	7	9	2	154	687
"104"	93	75	3	1	144	246	18	3	18	14	23	183	728
"105"	94	49	2	0	11	295	18	11	14	8	11	323	742
"106"	95	8	14	3	149	79	5	6	8	6	23	46	347
"107"	96	13	20	3	99	26	7	7	11	4	22	308	520
"108"	97	19	4	2	14	97	8	1	5	3	6	407	566
"109"	98	18	3	1	2	105	28	1	4	3	2	536	703
"110"	99	42	1	1	2	105	13	2	1	3	15	384	569
"111"	100	27	4	2	25	309	14	5	5	7	7	218	623
"112"	101	8	2	0	45	179	6	4	6	1	6	176	433
"113"	102	20	2	3	15	126	8	5	7	3	8	164	361
"114"	103	47	2	0	18	334	7	5	3	3	4	36	459
"115"	NA	6	0	1	7	175	2	0	3	3	2	43	242
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12	13
"118"	104	14	1	0	49	172	4	2	0	0	4	337	583
"119"	105	89	4	3	9	113	8	4	3	10	6	124	373
"120"	106	34	2	0	7	128	7	2	2	0	3	232	417
"121"	107	21	5	3	63	151	9	4	10	5	10	140	421
"122"	108	8	0	0	116	99	1	0	3	1	9	5	242
"123"	109	9	15	3	165	141	10	5	11	7	18	110	494
"124"	110	32	5	2	195	181	9	5	1	3	15	142	590
"125"	111	9	0	3	36	519	9	8	5	7	6	59	661
"126"	112	19	1	3	23	144	9	1	2	4	12	286	504
"127"	113	22	13	3	8	181	9	7	1	3	5	125	377
"128"	114	21	10	4	3	33	14	1	3	2	7	530	628
"129"	115	18	4	10	4	110	8	4	12	10	18	301	499
"130"	116	10	6	1	2	283	5	3	2	2	7	211	532
"131"	117	17	6	2	44	358	21	6	6	9	11	235	715
"132"	118	15	24	1	13	142	29	4	2	5	8	283	526
"133"	119	23	1	1	9	177	7	1	3	4	2	146	374
"134"	120	24	3	1	34	142	9	3	1	5	5	514	741
"135"	121	24	33	4	5	299	14	8	7	7	5	354	760
"136"	122	13	5	0	7	152	14	7	5	6	7	320	536
"137"	123	20	2	1	19	67	6	5	1	2	6	471	600
"138"	124	9	8	1	45	131	5	1	9	4	2	159	374
"139"	125	3	2	0	83	258	4	4	4	4	11	43	416
"140"	126	169	7	0	5	164	4	7	4	4	3	202	569
"141"	127	27	0	4	29	273	9	3	2	3	5	129	484
"142"	128	20	3	0	5	147	14	8	5	5	5	455	667
"143"	129	2	0	1	6	371	2	3	2	2	0	58	447
"144"	130	87	3	1	2	189	5	2	7	7	11	343	657
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12	13
"147"	131	21	0	2	6	352	5	2	2	2	1	115	508
"148"	132	7	2	3	15	390	7	7	13	6	4	173	627
"149"	133	16	4	0	5	101	8	3	0	5	13	460	615
"150"	134	8	3	1	8	117	3	1	3	3	3	268	418
"151"	135	21	3	0	4	149	14	4	3	4	8	420	630
"152"	136	10	0	0	1	76	3	0	2	2	8	534	636
"153"	137	3	2	4	29	387	6	5	5	3	1	31	476
"154"	138	3	1	1	28	385	8	3	5	4	4	37	479
"155"	139	7	3	1	2	322	3	2	1	2	1	81	425
"156"	140	5	1	1	33	521	7	11	8	4	6	44	641
"157"	141	40	1	1	5	292	3	0	6	5	5	114	472
"158"	142	6	1	0	6	561	6	3	5	3	4	131	726
"159"	143	41	3	1	7	362	9	7	12	9	4	129	584
"160"	144	10	2	2	7	329	6	5	6	6	4	74	451
"161"	145	12	2	1	1	226	8	3	4	4	1	27	289
"162"	146	8	1	3	12	213	5	4	1	4	1	8	260
"163"	147	33	3	0	4	169	10	6	2	3	6	325	561
"164"	148	53	4	0	3	138	5	4	3	4	4	327	545
"165"	149	7	1	1	1	226	7	3	6	0	4	166	422
"166"	150	7	0	1	1	244	7	7	7	6	2	43	325
"167"	151	18	2	0	4	332	6	4	7	3	1	16	393
"168"	152	22	4	1	12	362	10	4	5	3	8	250	681
"169"	153	8	0	11	6	411	2	3	0	4	7	113	565
"170"	154	10	41	2	46	205	5	2	1	0	3	182	497
"171"	155	17	20	1	38	74	3	1	3	1	7	264	429
"172"	156	35	4	6	93	33	21	5	5	6	16	342	566
"173"	157	16	15	1	2	51	5	3	3	3	4	386	489
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13
"176"	158	62	5	2	27	281	4	1	3	7	11	128	531
"177"	159	15	1	0	32	532	13	12	6	7	5	34	657
"178"	160	22	2	0	8	130	6	5	7	8	12	344	544
"179"	161	15	0	1	2	110	10	3	2	3	3	367	516
"180"	162	33	0	0	6	264	7	5	6	5	4	147	477
"181"	163	13	0	0	23	256	1	2	5	4	5	189	498
"182"	164	7	2	0	35	475	9	1	1	5	5	28	568
"183"	165	27	1	9	52	515	4	0	2	0	4	7	621
"184"	166	9	2	2	12	188	8	4	3	2	1	244	475
"185"	167	8	2	1	5	428	10	2	5	2	3	159	625
"186"	168	12	0	1	4	377	15	6	7	4	5	344	775
"187"	169	7	0	0	14	328	1	2	0	3	3	82	440
"188"	170	12	0	0	20	411	3	3	1	4	0	32	486
"189"	171	19	2	7	2	362	15	6	7	7	8	349	784
"190"	172	19	1	0	9	87	10	2	2	8	5	381	524
"191"	173	8	2	0	18	85	13	0	1	1	5	555	688
"192"	174	57	1	2	89	475	7	2	13	5	8	23	682
"193"	175	33	2	6	43	368	7	1	4	6	7	251	728
"194"	176	13	0	0	7	775	13	4	9	2	5	26	854
"195"	177	6	0	2	19	591	4	3	4	1	2	58	690
"196"	178	47	2	0	4	479	16	1	12	3	4	116	684
"197"	179	22	5	5	5	156	7	4	0	9	11	343	567
"198"	180	16	4	6	4	348	11	2	8	4	3	272	678
"199"	181	15	3	0	2	208	6	2	2	3	3	250	494
"200"	182	4	0	1	11	374	5	1	0	2	3	45	446
"201"	183	23	4	1	8	125	17	2	3	118	6	186	493
"202"	NA	9	3	0	4	69	6	2	3	74	2	113	285
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12	13
"205"	184	8	1	1	3	86	7	2	1	1	5	257	372
"206"	185	16	1	0	4	248	13	1	8	5	2	149	447
"207"	186	9	1	1	24	127	2	2	1	4	7	178	356
"208"	187	37	1	0	9	78	13	9	3	12	20	454	636
"209"	188	32	1	2	20	207	6	8	3	8	12	301	600
"210"	189	26	1	2	1	71	6	9	3	3	8	280	410
"211"	190	20	2	2	2	240	25	1	8	7	8	368	683
"212"	191	36	16	1	6	255	11	7	4	5	4	141	486
"213"	192	30	0	1	0	241	14	2	4	5	5	381	683
"214"	193	22	6	0	4	185	16	4	4	23	11	472	747
"215"	194	2	0	1	24	348	3	0	3	1	1	1	384
"216"	195	18	2	2	1	100	10	0	2	5	9	436	585
"217"	196	168	5	2	4	144	6	0	4	8	7	203	551
"218"	197	20	1	0	8	17	11	4	1	2	9	541	614
"219"	198	22	1	2	3	41	6	0	0	4	10	502	591
"220"	199	7	0	0	1	36	12	3	0	4	4	527	594
"221"	200	7	2	1	4	51	12	2	2	1	0	426	508
"222"	201	7	3	0	11	37	7	3	1	2	5	498	574
"223"	202	6	0	2	8	360	4	4	0	4	1	26	415
"224"	NA	9	0	1	4	156	2	1	2	2	0	31	208
"225"	203	9	0	1	13	98	5	3	0	1	5	359	494
"226"	204	33	5	7	7	177	5	3	1	3	3	175	419
"227"	205	20	3	1	6	109	2	2	3	2	3	260	411
"228"	206	9	0	1	11	776	8	1	3	0	1	2	812
"229"	207	16	0	0	24	450	4	4	2	2	3	11	516
"230"	208	5	1	0	1	363	2	2	2	3	1	55	435
"231"	209	15	2	1	5	171	18	21	2	6	6	371	618
"232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"233"	1	2	3	4	5	6	7	8	9	10	11	12	13
"234"	210	10	5	1	6	189	14	4	7	7	3	115	361
"235"	211	16	6	0	19	324	21	4	12	12	11	316	741
"236"	212	27	3	0	6	741	7	3	10	9	1	12	819
"237"	213	9	4	0	35	255	8	4	8	4	13	11	351
"238"	214	15	1	0	33	238	5	6	11	9	6	58	382
"239"	215	6	1	2	24	72	12	0	5	2	4	25	153
"240"	216	12	2	1	32	256	2	1	10	9	11	16	352
"241"	217	0	1	1	2	840	5	0	1	0	0	0	850
"242"	218	26	7	1	20	189	49	13	3	7	9	261	585
"243"	219	18	4	0	10	168	5	6	1	3	5	170	390
"244"	220	13	4	0	12	84	5	1	1	2	7	207	336
"245"	221	16	0	0	19	349	13	5	7	6	5	92	512
"246"	222	9	4	0	14	400	32	4	3	5	3	142	616
"247"	223	26	41	1	6	170	14	2	9	7	3	431	710
"248"	224	31	10	1	184	79	12	4	10	7	12	259	609
"249"	NA	4463	4385	534	13418	46451	3504	914	1258	1386	2221	48096	126630
"250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"251"	NA	1	0	0	0	0	0	0	0	0	0	4	5
"252"	NA	4464	4385	534	13418	46451	3504	914	1258	1386	2221	48100	126635
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
