"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"11"	"10"	"10"	"15"	"36"	"9"	"282"	"28"	"119"	"5"	"0"	"0"	"5"	"4"	"3"	"8"	"5"	"4"	"27"	"13"	"8"	"4"	"14"	"8"	"8"	"605"	"0"	"605"	"0"
"12"	"11"	"11"	"31"	"10"	"9"	"459"	"25"	"19"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"2"	"11"	"1"	"0"	"0"	"3"	"0"	"0"	"581"	"0"	"581"	"0"
"13"	"12"	"12"	"49"	"20"	"7"	"381"	"49"	"115"	"7"	"0"	"3"	"2"	"1"	"0"	"3"	"7"	"3"	"25"	"12"	"5"	"1"	"1"	"0"	"11"	"702"	"0"	"702"	"0"
"14"	"13"	"13"	"16"	"64"	"3"	"274"	"21"	"140"	"32"	"4"	"3"	"1"	"1"	"2"	"1"	"3"	"2"	"68"	"4"	"1"	"0"	"2"	"0"	"1"	"643"	"0"	"643"	"0"
"15"	"14"	"14"	"20"	"32"	"5"	"391"	"31"	"120"	"4"	"3"	"3"	"6"	"0"	"1"	"1"	"9"	"3"	"35"	"3"	"1"	"2"	"2"	"4"	"14"	"690"	"0"	"690"	"0"
"16"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"18"	"15"	"15"	"27"	"29"	"5"	"322"	"24"	"120"	"27"	"2"	"1"	"5"	"4"	"1"	"2"	"5"	"3"	"69"	"5"	"2"	"4"	"4"	"1"	"3"	"665"	"0"	"665"	"0"
"19"	"16"	"16"	"57"	"44"	"11"	"472"	"44"	"104"	"23"	"2"	"5"	"7"	"0"	"1"	"13"	"7"	"8"	"128"	"6"	"0"	"3"	"2"	"0"	"8"	"945"	"0"	"945"	"0"
"20"	"17"	"17"	"20"	"13"	"17"	"300"	"29"	"49"	"4"	"8"	"6"	"7"	"1"	"3"	"9"	"8"	"9"	"217"	"3"	"1"	"6"	"5"	"13"	"5"	"733"	"0"	"733"	"0"
"21"	"18"	"18"	"12"	"13"	"10"	"459"	"40"	"36"	"4"	"2"	"3"	"6"	"5"	"2"	"1"	"11"	"1"	"22"	"3"	"3"	"5"	"0"	"2"	"3"	"643"	"0"	"643"	"0"
"22"	"19"	"19"	"10"	"32"	"8"	"424"	"36"	"89"	"7"	"3"	"7"	"6"	"2"	"10"	"13"	"13"	"3"	"50"	"5"	"0"	"0"	"2"	"0"	"2"	"722"	"0"	"722"	"0"
"23"	"20"	"20"	"7"	"40"	"6"	"288"	"27"	"54"	"5"	"4"	"2"	"3"	"4"	"2"	"5"	"3"	"3"	"32"	"1"	"1"	"0"	"3"	"0"	"2"	"492"	"0"	"492"	"0"
"24"	"21"	"21"	"14"	"33"	"6"	"438"	"34"	"190"	"3"	"5"	"8"	"11"	"6"	"3"	"6"	"13"	"5"	"89"	"0"	"0"	"3"	"4"	"0"	"4"	"875"	"0"	"875"	"0"
"25"	"22"	"22"	"11"	"12"	"6"	"246"	"25"	"242"	"17"	"4"	"2"	"9"	"3"	"3"	"3"	"10"	"5"	"81"	"10"	"5"	"7"	"15"	"4"	"11"	"731"	"0"	"731"	"0"
"26"	"23"	"23"	"6"	"25"	"5"	"163"	"14"	"144"	"4"	"0"	"1"	"2"	"2"	"2"	"11"	"5"	"5"	"41"	"1"	"0"	"1"	"0"	"0"	"1"	"433"	"0"	"433"	"0"
"27"	"24"	"24"	"7"	"17"	"4"	"110"	"93"	"196"	"6"	"2"	"2"	"4"	"3"	"2"	"14"	"3"	"0"	"27"	"5"	"2"	"0"	"4"	"1"	"1"	"503"	"0"	"503"	"0"
"28"	"25"	"25"	"38"	"6"	"3"	"306"	"22"	"96"	"0"	"3"	"4"	"6"	"2"	"1"	"2"	"7"	"5"	"15"	"5"	"1"	"1"	"3"	"1"	"2"	"529"	"0"	"529"	"0"
"29"	"26"	"26"	"38"	"21"	"6"	"262"	"54"	"43"	"5"	"4"	"6"	"2"	"4"	"1"	"9"	"8"	"17"	"64"	"4"	"0"	"1"	"1"	"0"	"0"	"550"	"0"	"550"	"0"
"30"	"27"	"27"	"35"	"44"	"6"	"296"	"47"	"177"	"3"	"1"	"2"	"6"	"2"	"9"	"2"	"7"	"75"	"15"	"7"	"4"	"2"	"0"	"1"	"8"	"749"	"0"	"749"	"0"
"31"	"28"	"28"	"20"	"19"	"5"	"284"	"56"	"153"	"17"	"7"	"9"	"11"	"5"	"8"	"15"	"19"	"20"	"83"	"6"	"4"	"4"	"5"	"2"	"11"	"763"	"0"	"763"	"0"
"32"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"34"	"29"	"29"	"11"	"38"	"2"	"276"	"43"	"17"	"5"	"2"	"0"	"5"	"0"	"1"	"3"	"9"	"3"	"24"	"4"	"3"	"5"	"6"	"3"	"5"	"465"	"0"	"465"	"0"
"35"	"30"	"30"	"6"	"73"	"7"	"150"	"18"	"30"	"31"	"3"	"2"	"7"	"1"	"0"	"1"	"1"	"2"	"65"	"1"	"4"	"2"	"8"	"2"	"1"	"415"	"0"	"415"	"0"
"36"	"31"	"31"	"7"	"112"	"5"	"159"	"22"	"55"	"15"	"4"	"3"	"14"	"3"	"1"	"3"	"4"	"7"	"86"	"4"	"4"	"5"	"9"	"3"	"13"	"538"	"0"	"538"	"0"
"37"	"32"	"32"	"13"	"47"	"2"	"234"	"49"	"48"	"10"	"5"	"6"	"50"	"3"	"4"	"9"	"9"	"22"	"292"	"2"	"2"	"0"	"11"	"5"	"11"	"834"	"0"	"834"	"0"
"38"	"33"	"33"	"75"	"65"	"9"	"316"	"21"	"141"	"8"	"3"	"7"	"63"	"5"	"3"	"3"	"5"	"11"	"113"	"9"	"0"	"3"	"1"	"1"	"6"	"868"	"0"	"868"	"0"
"39"	"34"	"34"	"13"	"73"	"7"	"212"	"15"	"85"	"2"	"3"	"1"	"4"	"2"	"4"	"10"	"8"	"5"	"138"	"2"	"0"	"1"	"3"	"1"	"2"	"591"	"0"	"591"	"0"
"40"	"35"	"35"	"56"	"26"	"4"	"444"	"48"	"60"	"5"	"2"	"2"	"10"	"1"	"2"	"6"	"16"	"3"	"107"	"10"	"6"	"8"	"14"	"2"	"4"	"836"	"0"	"836"	"0"
"41"	"36"	"36"	"9"	"21"	"2"	"167"	"7"	"33"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"43"	"2"	"1"	"0"	"1"	"1"	"1"	"293"	"0"	"293"	"0"
"42"	"37"	"37"	"68"	"22"	"6"	"375"	"28"	"46"	"1"	"2"	"0"	"4"	"2"	"6"	"3"	"6"	"0"	"15"	"2"	"6"	"3"	"10"	"3"	"1"	"609"	"0"	"609"	"0"
"43"	"38"	"38"	"15"	"274"	"13"	"36"	"14"	"77"	"3"	"2"	"0"	"2"	"2"	"4"	"5"	"3"	"13"	"11"	"4"	"7"	"2"	"1"	"3"	"6"	"497"	"0"	"497"	"0"
"44"	"39"	"39"	"32"	"181"	"8"	"14"	"18"	"67"	"2"	"1"	"0"	"0"	"2"	"0"	"5"	"3"	"5"	"9"	"1"	"2"	"0"	"2"	"0"	"0"	"352"	"0"	"352"	"0"
"45"	"40"	"40"	"7"	"52"	"8"	"115"	"16"	"114"	"7"	"2"	"3"	"4"	"4"	"0"	"8"	"6"	"4"	"15"	"1"	"1"	"0"	"3"	"0"	"5"	"375"	"0"	"375"	"0"
"46"	"41"	"41"	"147"	"173"	"13"	"102"	"30"	"167"	"10"	"4"	"3"	"1"	"10"	"6"	"9"	"10"	"15"	"36"	"7"	"3"	"3"	"3"	"7"	"13"	"772"	"0"	"772"	"0"
"47"	"42"	"42"	"134"	"81"	"7"	"104"	"16"	"109"	"5"	"3"	"2"	"4"	"5"	"2"	"8"	"3"	"3"	"16"	"3"	"0"	"2"	"1"	"0"	"5"	"513"	"0"	"513"	"0"
"48"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"50"	"43"	"43"	"10"	"1"	"6"	"9"	"3"	"1"	"5"	"2"	"4"	"3"	"56"	"22"	"106"	"7"	"107"	"13"	"5"	"1"	"4"	"3"	"1"	"3"	"372"	"0"	"372"	"0"
"51"	"44"	"44"	"161"	"128"	"12"	"167"	"26"	"52"	"4"	"8"	"2"	"18"	"27"	"3"	"6"	"10"	"1"	"26"	"6"	"3"	"2"	"1"	"4"	"0"	"667"	"0"	"667"	"0"
"52"	"45"	"45"	"91"	"129"	"16"	"113"	"17"	"39"	"4"	"3"	"1"	"7"	"3"	"4"	"3"	"7"	"5"	"75"	"9"	"10"	"4"	"6"	"1"	"4"	"551"	"0"	"551"	"0"
"53"	"46"	"46"	"169"	"246"	"8"	"17"	"10"	"41"	"3"	"1"	"4"	"7"	"23"	"10"	"8"	"8"	"9"	"27"	"10"	"6"	"5"	"3"	"5"	"3"	"623"	"0"	"623"	"0"
"54"	"47"	"47"	"114"	"135"	"8"	"86"	"14"	"33"	"2"	"2"	"0"	"5"	"0"	"1"	"0"	"3"	"1"	"4"	"3"	"4"	"1"	"0"	"0"	"2"	"418"	"0"	"418"	"0"
"55"	"48"	"47A"	"178"	"73"	"1"	"121"	"13"	"51"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"0"	"5"	"8"	"4"	"1"	"2"	"1"	"2"	"468"	"0"	"468"	"0"
"56"	"49"	"48"	"80"	"146"	"8"	"31"	"8"	"41"	"3"	"0"	"1"	"3"	"11"	"0"	"1"	"0"	"1"	"3"	"2"	"0"	"1"	"0"	"0"	"2"	"342"	"0"	"342"	"0"
"57"	"50"	"49"	"259"	"156"	"7"	"50"	"10"	"47"	"2"	"2"	"3"	"12"	"1"	"3"	"3"	"7"	"3"	"10"	"21"	"6"	"3"	"8"	"3"	"5"	"621"	"0"	"621"	"0"
"58"	"51"	"50"	"152"	"148"	"9"	"90"	"16"	"229"	"7"	"3"	"4"	"14"	"16"	"3"	"9"	"12"	"11"	"36"	"14"	"9"	"5"	"2"	"6"	"12"	"807"	"0"	"807"	"0"
"59"	"52"	"51"	"164"	"195"	"3"	"43"	"11"	"207"	"2"	"1"	"1"	"15"	"2"	"3"	"11"	"6"	"3"	"17"	"7"	"4"	"1"	"3"	"0"	"0"	"699"	"0"	"699"	"0"
"60"	"53"	"52"	"56"	"234"	"11"	"143"	"16"	"40"	"0"	"1"	"2"	"5"	"3"	"0"	"3"	"7"	"2"	"5"	"15"	"9"	"5"	"9"	"4"	"2"	"572"	"0"	"572"	"0"
"61"	"54"	"53"	"135"	"102"	"1"	"85"	"11"	"53"	"1"	"1"	"0"	"6"	"11"	"5"	"5"	"9"	"6"	"30"	"30"	"3"	"6"	"7"	"9"	"10"	"526"	"0"	"526"	"0"
"62"	"55"	"54"	"74"	"235"	"4"	"127"	"21"	"123"	"3"	"0"	"3"	"7"	"34"	"4"	"15"	"3"	"5"	"10"	"11"	"8"	"4"	"4"	"3"	"1"	"699"	"0"	"699"	"0"
"63"	"56"	"55"	"95"	"36"	"5"	"169"	"13"	"20"	"2"	"1"	"2"	"9"	"1"	"0"	"3"	"8"	"5"	"27"	"0"	"1"	"0"	"1"	"1"	"0"	"399"	"0"	"399"	"0"
"64"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"66"	"57"	"56"	"250"	"202"	"12"	"68"	"17"	"76"	"4"	"7"	"4"	"20"	"5"	"6"	"11"	"11"	"4"	"34"	"17"	"3"	"3"	"5"	"3"	"6"	"768"	"0"	"768"	"0"
"67"	"58"	"57"	"43"	"47"	"2"	"188"	"13"	"98"	"2"	"2"	"4"	"7"	"2"	"1"	"2"	"6"	"2"	"43"	"2"	"0"	"1"	"0"	"2"	"6"	"473"	"0"	"473"	"0"
"68"	"59"	"57A"	"44"	"57"	"6"	"98"	"9"	"33"	"0"	"1"	"6"	"2"	"4"	"1"	"2"	"8"	"5"	"38"	"9"	"11"	"4"	"32"	"5"	"7"	"382"	"0"	"382"	"0"
"69"	"60"	"58"	"41"	"18"	"3"	"288"	"21"	"50"	"2"	"3"	"8"	"5"	"3"	"3"	"1"	"6"	"4"	"87"	"16"	"7"	"5"	"9"	"12"	"9"	"601"	"0"	"601"	"0"
"70"	"61"	"59"	"16"	"57"	"8"	"434"	"54"	"82"	"6"	"3"	"4"	"7"	"3"	"3"	"4"	"19"	"2"	"23"	"6"	"4"	"2"	"1"	"2"	"16"	"756"	"0"	"756"	"0"
"71"	"62"	"60"	"15"	"71"	"11"	"311"	"54"	"282"	"4"	"4"	"10"	"5"	"11"	"4"	"7"	"6"	"5"	"32"	"7"	"7"	"7"	"8"	"19"	"21"	"901"	"0"	"901"	"0"
"72"	"63"	"61"	"24"	"111"	"7"	"102"	"43"	"213"	"10"	"1"	"7"	"6"	"3"	"1"	"7"	"9"	"9"	"46"	"2"	"2"	"1"	"3"	"1"	"15"	"623"	"0"	"623"	"0"
"73"	"64"	"62"	"9"	"163"	"4"	"237"	"13"	"284"	"4"	"2"	"1"	"2"	"1"	"1"	"1"	"3"	"2"	"22"	"1"	"1"	"1"	"3"	"8"	"7"	"770"	"0"	"770"	"0"
"74"	"65"	"63"	"26"	"55"	"7"	"278"	"41"	"156"	"4"	"5"	"1"	"7"	"6"	"1"	"3"	"2"	"4"	"90"	"1"	"0"	"1"	"2"	"2"	"44"	"736"	"0"	"736"	"0"
"75"	"66"	"64"	"38"	"73"	"4"	"135"	"25"	"323"	"9"	"3"	"6"	"8"	"14"	"9"	"6"	"8"	"1"	"53"	"4"	"7"	"1"	"9"	"9"	"30"	"775"	"0"	"775"	"0"
"76"	"67"	"65"	"46"	"149"	"17"	"250"	"31"	"278"	"7"	"4"	"1"	"6"	"7"	"4"	"5"	"3"	"4"	"34"	"7"	"2"	"1"	"5"	"2"	"11"	"874"	"0"	"874"	"0"
"77"	"68"	"66"	"17"	"72"	"5"	"272"	"20"	"85"	"1"	"1"	"1"	"2"	"4"	"0"	"9"	"7"	"2"	"21"	"1"	"0"	"0"	"2"	"0"	"7"	"529"	"0"	"529"	"0"
"78"	"69"	"66A"	"26"	"26"	"2"	"207"	"19"	"158"	"6"	"1"	"1"	"3"	"1"	"3"	"5"	"1"	"1"	"19"	"0"	"1"	"0"	"2"	"4"	"4"	"490"	"0"	"490"	"0"
"79"	"70"	"67"	"38"	"72"	"2"	"144"	"33"	"287"	"5"	"4"	"3"	"7"	"5"	"1"	"1"	"3"	"3"	"60"	"9"	"3"	"3"	"16"	"9"	"18"	"726"	"0"	"726"	"0"
"80"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"82"	"71"	"68"	"109"	"17"	"8"	"520"	"31"	"125"	"6"	"3"	"1"	"3"	"2"	"0"	"2"	"13"	"3"	"23"	"5"	"1"	"2"	"2"	"2"	"12"	"890"	"0"	"890"	"0"
"83"	"72"	"69"	"40"	"17"	"10"	"183"	"22"	"297"	"6"	"1"	"5"	"4"	"8"	"3"	"7"	"9"	"7"	"39"	"2"	"0"	"0"	"2"	"1"	"5"	"668"	"0"	"668"	"0"
"84"	"73"	"70"	"16"	"4"	"9"	"184"	"21"	"389"	"5"	"0"	"5"	"4"	"3"	"2"	"6"	"6"	"1"	"33"	"4"	"5"	"0"	"3"	"1"	"2"	"703"	"0"	"703"	"0"
"85"	"74"	"71"	"68"	"26"	"6"	"189"	"15"	"156"	"1"	"0"	"0"	"2"	"4"	"1"	"1"	"6"	"0"	"27"	"3"	"3"	"0"	"3"	"1"	"5"	"517"	"0"	"517"	"0"
"86"	"75"	"72"	"9"	"4"	"9"	"434"	"36"	"132"	"8"	"1"	"2"	"2"	"5"	"2"	"5"	"4"	"2"	"32"	"0"	"1"	"2"	"9"	"0"	"2"	"701"	"0"	"701"	"0"
"87"	"76"	"73"	"42"	"25"	"10"	"435"	"41"	"106"	"3"	"3"	"7"	"6"	"5"	"7"	"5"	"10"	"8"	"62"	"2"	"1"	"5"	"1"	"2"	"8"	"794"	"0"	"794"	"0"
"88"	"77"	"74"	"8"	"5"	"7"	"330"	"28"	"335"	"3"	"6"	"3"	"10"	"5"	"0"	"2"	"7"	"13"	"70"	"3"	"49"	"2"	"5"	"2"	"2"	"895"	"0"	"895"	"0"
"89"	"78"	"75"	"14"	"14"	"7"	"329"	"29"	"131"	"1"	"2"	"2"	"1"	"1"	"0"	"0"	"8"	"2"	"9"	"11"	"5"	"1"	"3"	"3"	"22"	"595"	"0"	"595"	"0"
"90"	"79"	"75A"	"8"	"2"	"6"	"223"	"31"	"53"	"4"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"2"	"5"	"7"	"4"	"3"	"4"	"5"	"11"	"374"	"0"	"374"	"0"
"91"	"80"	"76"	"82"	"14"	"5"	"318"	"24"	"74"	"7"	"2"	"1"	"9"	"7"	"3"	"3"	"8"	"6"	"29"	"7"	"1"	"1"	"1"	"3"	"76"	"681"	"0"	"681"	"0"
"92"	"81"	"77"	"55"	"8"	"2"	"431"	"37"	"76"	"7"	"4"	"3"	"8"	"6"	"3"	"2"	"11"	"6"	"36"	"12"	"8"	"3"	"12"	"8"	"57"	"795"	"0"	"795"	"0"
"93"	"82"	"78"	"259"	"14"	"6"	"215"	"18"	"91"	"8"	"4"	"4"	"22"	"6"	"1"	"5"	"13"	"4"	"70"	"17"	"6"	"6"	"5"	"7"	"99"	"880"	"0"	"880"	"0"
"94"	"83"	"79"	"13"	"57"	"7"	"440"	"73"	"41"	"5"	"2"	"2"	"2"	"0"	"7"	"8"	"14"	"4"	"10"	"1"	"2"	"2"	"3"	"2"	"6"	"701"	"0"	"701"	"0"
"95"	"84"	"80"	"7"	"20"	"5"	"333"	"49"	"32"	"8"	"3"	"4"	"3"	"2"	"0"	"7"	"6"	"4"	"14"	"0"	"0"	"1"	"13"	"9"	"5"	"525"	"0"	"525"	"0"
"96"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	"[ okt k cgkmíhu vgen"	"fnus' k bUl ku"	"i ad t   dqekj  vk; Z"	"Hkksy k j k;"	"fouksnk uan l kg"	"fgej kt   fl ag"	"Hkksy kukFk dsoV"	"vykmnhu"	"mek dkUr  vkuUn"	"dkes' oj  ; kno"	"xqy ke eks0 bfy; kl"	"fnus' k ; kno"	"ubZeqí hu ' kkghnh"	"euksoj k osxe"	"eqj yh dqekj  eaMy"	"j fc dqekj  l kg"	"j kt ho dqekj  eaMy"	"j ke i zl kn egyh"	"yfyr k nsoh"	"' kaHkw dqekj  j k;"	"l bZnqj  j geku"	"l qeUr  dqekj  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"98"	"85"	"81"	"77"	"5"	"4"	"209"	"107"	"70"	"6"	"1"	"3"	"2"	"1"	"2"	"2"	"3"	"1"	"46"	"3"	"3"	"4"	"24"	"15"	"22"	"610"	"0"	"610"	"0"
