"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X235171.48.235219.34.Babubarhi"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"22"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"23"	"B.F."	"2263"	"3637"	"126"	"962"	"97"	"75"	"49"	"93"	"262"	"7564"	"0"	"7564"	""
"24"	"15"	"161"	"352"	"18"	"72"	"11"	"9"	"2"	"6"	"37"	"668"	""	"668"	""
"25"	"16"	"44"	"444"	"7"	"135"	"5"	"8"	"6"	"5"	"14"	"668"	""	"668"	""
"26"	"17"	"225"	"246"	"3"	"42"	"3"	"8"	"3"	"3"	"11"	"544"	""	"544"	""
"27"	"18"	"304"	"205"	"2"	"56"	"2"	"5"	"1"	"3"	"5"	"583"	""	"583"	""
"28"	"19"	"183"	"479"	"16"	"21"	"14"	"19"	"5"	"11"	"36"	"784"	""	"784"	""
"29"	"20"	"28"	"137"	"3"	"3"	"3"	"2"	"1"	"4"	"4"	"185"	""	"185"	""
"30"	"21"	"247"	"346"	"17"	"28"	"16"	"9"	"8"	"4"	"10"	"685"	""	"685"	""
"31"	"22"	"512"	"70"	"7"	"9"	"10"	"7"	"3"	"2"	"8"	"628"	""	"628"	""
"32"	"23"	"447"	"221"	"7"	"35"	"6"	"8"	"3"	"7"	"13"	"747"	""	"747"	""
"33"	"24"	"173"	"209"	"7"	"16"	"6"	"10"	"7"	"9"	"27"	"464"	""	"464"	""
"34"	"25"	"223"	"147"	"6"	"31"	"5"	"4"	"3"	"3"	"68"	"490"	""	"490"	""
"35"	"25A"	"192"	"231"	"3"	"25"	"7"	"5"	"1"	"3"	"27"	"494"	""	"494"	""
"36"	"26"	"366"	"158"	"10"	"40"	"10"	"11"	"10"	"12"	"41"	"658"	""	"658"	""
"37"	"27"	"144"	"258"	"12"	"157"	"18"	"17"	"19"	"25"	"72"	"722"	""	"722"	""
"38"	"Total -2"	"3249"	"3503"	"118"	"670"	"116"	"122"	"72"	"97"	"373"	"8320"	"0"	"8320"	"0"
"39"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"40"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"41"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"42"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"43"	"B.F."	"5512"	"7140"	"244"	"1632"	"213"	"197"	"121"	"190"	"635"	"15884"	"0"	"15884"	"0"
"44"	"28"	"399"	"126"	"6"	"166"	"21"	"11"	"13"	"9"	"33"	"784"	""	"784"	""
"45"	"29"	"283"	"133"	"8"	"81"	"12"	"7"	"5"	"6"	"20"	"555"	""	"555"	""
"46"	"30"	"229"	"310"	"17"	"92"	"7"	"6"	"6"	"13"	"50"	"730"	""	"730"	""
"47"	"31"	"367"	"111"	"11"	"22"	"13"	"13"	"5"	"6"	"6"	"554"	""	"554"	""
"48"	"32"	"189"	"377"	"11"	"55"	"7"	"4"	"6"	"6"	"12"	"667"	""	"667"	""
"49"	"33"	"337"	"324"	"10"	"44"	"11"	"10"	"4"	"21"	"113"	"874"	""	"874"	""
"50"	"34"	"164"	"218"	"7"	"19"	"10"	"10"	"5"	"10"	"70"	"513"	""	"513"	""
"51"	"35"	"214"	"167"	"12"	"53"	"4"	"15"	"7"	"12"	"46"	"530"	""	"530"	""
"52"	"36"	"224"	"232"	"10"	"45"	"9"	"6"	"3"	"11"	"91"	"631"	""	"631"	""
"53"	"37"	"159"	"179"	"11"	"71"	"14"	"12"	"9"	"11"	"48"	"514"	""	"514"	""
"54"	"38"	"661"	"15"	"0"	"7"	"1"	"10"	"1"	"3"	"3"	"701"	""	"701"	""
"55"	"39"	"254"	"218"	"8"	"15"	"5"	"6"	"3"	"8"	"119"	"636"	""	"636"	""
"56"	"40"	"359"	"85"	"8"	"95"	"3"	"11"	"2"	"10"	"12"	"585"	""	"585"	""
"57"	"41"	"410"	"18"	"4"	"9"	"2"	"22"	"0"	"2"	"5"	"472"	""	"472"	""
"58"	"Total -3"	"4249"	"2513"	"123"	"774"	"119"	"143"	"69"	"128"	"628"	"8746"	"0"	"8746"	"0"
"59"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"60"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"61"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"62"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"63"	"B.F."	"9761"	"9653"	"367"	"2406"	"332"	"340"	"190"	"318"	"1263"	"24630"	"0"	"24630"	"0"
"64"	"42"	"349"	"22"	"2"	"9"	"2"	"72"	"6"	"5"	"1"	"468"	""	"468"	""
"65"	"43"	"329"	"223"	"11"	"139"	"13"	"15"	"8"	"11"	"25"	"774"	""	"774"	""
"66"	"44"	"77"	"138"	"6"	"11"	"2"	"5"	"2"	"3"	"15"	"259"	""	"259"	""
"67"	"45"	"133"	"237"	"9"	"109"	"11"	"17"	"4"	"14"	"19"	"553"	""	"553"	""
"68"	"46"	"62"	"478"	"9"	"42"	"11"	"11"	"8"	"7"	"25"	"653"	""	"653"	""
"69"	"47"	"241"	"516"	"4"	"36"	"4"	"4"	"6"	"6"	"12"	"829"	""	"829"	""
"70"	"48"	"353"	"338"	"11"	"83"	"19"	"15"	"5"	"13"	"37"	"874"	""	"874"	""
"71"	"49"	"71"	"816"	"14"	"39"	"5"	"7"	"6"	"19"	"26"	"1003"	""	"1003"	""
"72"	"50"	"285"	"251"	"5"	"29"	"7"	"9"	"4"	"7"	"12"	"609"	""	"609"	""
"73"	"51"	"174"	"67"	"5"	"16"	"4"	"0"	"1"	"3"	"3"	"273"	""	"273"	""
"74"	"52"	"236"	"274"	"14"	"36"	"7"	"9"	"4"	"7"	"15"	"602"	""	"602"	""
"75"	"53"	"81"	"377"	"9"	"10"	"9"	"14"	"9"	"13"	"32"	"554"	""	"554"	""
"76"	"54"	"218"	"110"	"6"	"86"	"11"	"7"	"3"	"5"	"6"	"452"	""	"452"	""
"77"	"55"	"275"	"247"	"10"	"86"	"6"	"13"	"7"	"10"	"45"	"699"	""	"699"	""
"78"	"Total -4"	"2884"	"4094"	"115"	"731"	"111"	"198"	"73"	"123"	"273"	"8602"	"0"	"8602"	"0"
"79"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"80"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"81"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"82"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"83"	"B.F."	"12645"	"13747"	"482"	"3137"	"443"	"538"	"263"	"441"	"1536"	"33232"	"0"	"33232"	"0"
"84"	"56"	"130"	"317"	"7"	"93"	"9"	"8"	"8"	"9"	"45"	"626"	""	"626"	""
"85"	"57"	"127"	"166"	"9"	"41"	"12"	"16"	"8"	"9"	"27"	"415"	""	"415"	""
"86"	"58"	"367"	"332"	"8"	"18"	"16"	"6"	"5"	"11"	"40"	"803"	""	"803"	""
"87"	"59"	"188"	"137"	"6"	"40"	"2"	"2"	"5"	"9"	"11"	"400"	""	"400"	""
"88"	"59A"	"250"	"196"	"6"	"21"	"11"	"7"	"2"	"8"	"8"	"509"	""	"509"	""
"89"	"60"	"154"	"246"	"6"	"77"	"3"	"5"	"5"	"6"	"10"	"512"	""	"512"	""
"90"	"61"	"161"	"373"	"9"	"88"	"6"	"15"	"3"	"3"	"8"	"666"	""	"666"	""
"91"	"62"	"188"	"211"	"12"	"77"	"9"	"7"	"8"	"4"	"23"	"539"	""	"539"	""
"92"	"63"	"144"	"117"	"5"	"36"	"1"	"22"	"3"	"3"	"21"	"352"	""	"352"	""
"93"	"64"	"198"	"231"	"5"	"35"	"3"	"10"	"6"	"15"	"24"	"527"	""	"527"	""
"94"	"65"	"292"	"81"	"6"	"123"	"10"	"11"	"9"	"4"	"8"	"544"	""	"544"	""
"95"	"66"	"461"	"104"	"5"	"24"	"7"	"21"	"5"	"7"	"10"	"644"	""	"644"	""
"96"	"67"	"145"	"137"	"11"	"115"	"15"	"8"	"1"	"10"	"7"	"449"	""	"449"	""
"97"	"68"	"289"	"121"	"4"	"35"	"6"	"7"	"5"	"7"	"17"	"491"	""	"491"	""
"98"	"Total -5"	"3094"	"2769"	"99"	"823"	"110"	"145"	"73"	"105"	"259"	"7477"	"0"	"7477"	"0"
"99"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"100"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"101"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"102"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"103"	"B.F."	"15739"	"16516"	"581"	"3960"	"553"	"683"	"336"	"546"	"1795"	"40709"	"0"	"40709"	"0"
"104"	"69"	"252"	"109"	"3"	"5"	"1"	"7"	"2"	"3"	"4"	"386"	""	"386"	""
"105"	"70"	"256"	"187"	"8"	"25"	"9"	"6"	"2"	"13"	"24"	"530"	""	"530"	""
"106"	"71"	"290"	"157"	"6"	"54"	"6"	"9"	"6"	"10"	"19"	"557"	""	"557"	""
"107"	"72"	"117"	"274"	"6"	"24"	"4"	"5"	"4"	"5"	"7"	"446"	""	"446"	""
"108"	"73"	"265"	"366"	"8"	"52"	"18"	"12"	"3"	"4"	"55"	"783"	""	"783"	""
"109"	"74"	"85"	"481"	"12"	"25"	"12"	"21"	"10"	"11"	"85"	"742"	""	"742"	""
"110"	"75"	"104"	"51"	"1"	"10"	"2"	"3"	"0"	"3"	"22"	"196"	""	"196"	""
"111"	"76"	"292"	"119"	"8"	"11"	"6"	"3"	"3"	"7"	"42"	"491"	""	"491"	""
"112"	"77"	"57"	"337"	"4"	"17"	"3"	"3"	"2"	"13"	"13"	"449"	""	"449"	""
"113"	"78"	"280"	"246"	"6"	"59"	"8"	"13"	"6"	"14"	"22"	"654"	""	"654"	""
"114"	"79"	"65"	"188"	"5"	"170"	"5"	"7"	"3"	"23"	"2"	"468"	""	"468"	""
"115"	"80"	"299"	"137"	"8"	"18"	"6"	"9"	"4"	"6"	"32"	"519"	""	"519"	""
"116"	"81"	"117"	"249"	"5"	"49"	"2"	"7"	"2"	"12"	"54"	"497"	""	"497"	""
"117"	"82"	"133"	"138"	"1"	"8"	"3"	"9"	"5"	"4"	"20"	"321"	""	"321"	""
"118"	"Total -6"	"2612"	"3039"	"81"	"527"	"85"	"114"	"52"	"128"	"401"	"7039"	"0"	"7039"	"0"
"119"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"120"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"121"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"122"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"123"	"B.F."	"18351"	"19555"	"662"	"4487"	"638"	"797"	"388"	"674"	"2196"	"47748"	"0"	"47748"	"0"
"124"	"83"	"246"	"174"	"3"	"8"	"4"	"8"	"3"	"2"	"16"	"464"	""	"464"	""
"125"	"84"	"186"	"221"	"2"	"5"	"4"	"1"	"1"	"2"	"17"	"439"	""	"439"	""
"126"	"85"	"412"	"353"	"9"	"27"	"5"	"8"	"6"	"18"	"29"	"867"	""	"867"	""
"127"	"86"	"193"	"373"	"16"	"33"	"10"	"13"	"4"	"14"	"36"	"692"	""	"692"	""
"128"	"87"	"279"	"172"	"10"	"51"	"7"	"8"	"5"	"11"	"15"	"558"	""	"558"	""
"129"	"88"	"87"	"251"	"11"	"72"	"7"	"9"	"5"	"3"	"15"	"460"	""	"460"	""
"130"	"89"	"97"	"192"	"12"	"240"	"10"	"13"	"5"	"10"	"31"	"610"	""	"610"	""
"131"	"90"	"132"	"113"	"4"	"32"	"6"	"5"	"3"	"6"	"6"	"307"	""	"307"	""
"132"	"91"	"446"	"103"	"8"	"98"	"11"	"11"	"7"	"5"	"25"	"714"	""	"714"	""
"133"	"92"	"115"	"337"	"8"	"30"	"5"	"9"	"2"	"12"	"105"	"623"	""	"623"	""
"134"	"93"	"101"	"95"	"5"	"119"	"9"	"4"	"6"	"2"	"19"	"360"	""	"360"	""
"135"	"94"	"518"	"159"	"14"	"43"	"15"	"34"	"8"	"9"	"43"	"843"	""	"843"	""
"136"	"95"	"170"	"85"	"4"	"37"	"3"	"9"	"2"	"4"	"14"	"328"	""	"328"	""
"137"	"96"	"57"	"138"	"3"	"134"	"7"	"5"	"0"	"13"	"7"	"364"	""	"364"	""
"138"	"Total -7"	"3039"	"2766"	"109"	"929"	"103"	"137"	"57"	"111"	"378"	"7629"	"0"	"7629"	"0"
"139"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"140"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"141"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"142"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"143"	"B.F."	"21390"	"22321"	"771"	"5416"	"741"	"934"	"445"	"785"	"2574"	"55377"	"0"	"55377"	"0"
"144"	"97"	"207"	"141"	"17"	"84"	"6"	"8"	"4"	"4"	"11"	"482"	""	"482"	""
"145"	"97A"	"77"	"169"	"6"	"88"	"5"	"4"	"2"	"5"	"13"	"369"	""	"369"	""
"146"	"98"	"363"	"107"	"11"	"171"	"10"	"14"	"15"	"14"	"9"	"714"	""	"714"	""
"147"	"99"	"126"	"277"	"16"	"48"	"7"	"15"	"12"	"22"	"31"	"554"	""	"554"	""
"148"	"100"	"276"	"218"	"14"	"56"	"9"	"13"	"10"	"12"	"11"	"619"	""	"619"	""
"149"	"101"	"100"	"89"	"13"	"77"	"12"	"8"	"43"	"8"	"33"	"383"	""	"383"	""
"150"	"102"	"171"	"126"	"14"	"11"	"6"	"10"	"77"	"9"	"25"	"449"	""	"449"	""
"151"	"102A"	"98"	"110"	"30"	"20"	"10"	"13"	"84"	"4"	"11"	"380"	""	"380"	""
"152"	"103"	"180"	"223"	"5"	"62"	"12"	"8"	"9"	"10"	"60"	"569"	""	"569"	""
"153"	"104"	"79"	"513"	"20"	"68"	"8"	"10"	"7"	"8"	"27"	"740"	""	"740"	""
"154"	"105"	"137"	"272"	"13"	"103"	"13"	"12"	"2"	"12"	"26"	"590"	""	"590"	""
"155"	"106"	"52"	"97"	"3"	"9"	"6"	"10"	"2"	"5"	"71"	"255"	""	"255"	""
"156"	"107"	"310"	"221"	"8"	"57"	"6"	"8"	"3"	"13"	"20"	"646"	""	"646"	""
"157"	"108"	"305"	"156"	"10"	"4"	"1"	"19"	"3"	"6"	"12"	"516"	""	"516"	""
"158"	"Total -8"	"2481"	"2719"	"180"	"858"	"111"	"152"	"273"	"132"	"360"	"7266"	"0"	"7266"	"0"
"159"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"160"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"161"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"162"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"163"	"B.F."	"23871"	"25040"	"951"	"6274"	"852"	"1086"	"718"	"917"	"2934"	"62643"	"0"	"62643"	"0"
"164"	"109"	"417"	"87"	"14"	"47"	"8"	"6"	"5"	"2"	"12"	"598"	""	"598"	""
"165"	"110"	"249"	"214"	"4"	"51"	"5"	"3"	"5"	"5"	"30"	"566"	""	"566"	""
"166"	"111"	"124"	"256"	"6"	"48"	"5"	"8"	"4"	"5"	"49"	"505"	""	"505"	""
"167"	"112"	"198"	"240"	"14"	"101"	"11"	"17"	"6"	"9"	"29"	"625"	""	"625"	""
"168"	"113"	"11"	"119"	"70"	"46"	"4"	"12"	"8"	"5"	"71"	"346"	""	"346"	""
"169"	"114"	"153"	"222"	"24"	"39"	"6"	"11"	"11"	"4"	"41"	"511"	""	"511"	""
"170"	"115"	"100"	"98"	"8"	"258"	"6"	"8"	"6"	"10"	"19"	"513"	""	"513"	""
"171"	"116"	"22"	"235"	"22"	"62"	"4"	"10"	"13"	"7"	"28"	"403"	""	"403"	""
"172"	"116A"	"60"	"289"	"7"	"44"	"6"	"3"	"6"	"4"	"13"	"432"	""	"432"	""
"173"	"117"	"243"	"236"	"16"	"48"	"11"	"10"	"9"	"14"	"31"	"618"	""	"618"	""
"174"	"118"	"121"	"111"	"5"	"15"	"10"	"13"	"2"	"7"	"49"	"333"	""	"333"	""
"175"	"119"	"74"	"161"	"17"	"75"	"8"	"6"	"8"	"6"	"16"	"371"	""	"371"	""
"176"	"120"	"29"	"158"	"8"	"121"	"6"	"4"	"7"	"3"	"12"	"348"	""	"348"	""
"177"	"121"	"34"	"45"	"5"	"100"	"7"	"13"	"1"	"2"	"7"	"214"	""	"214"	""
"178"	"Total -9"	"1835"	"2471"	"220"	"1055"	"97"	"124"	"91"	"83"	"407"	"6383"	"0"	"6383"	"0"
"179"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"180"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"181"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"183"	"B.F."	"25706"	"27511"	"1171"	"7329"	"949"	"1210"	"809"	"1000"	"3341"	"69026"	"0"	"69026"	"0"
"184"	"122"	"247"	"202"	"10"	"66"	"10"	"41"	"5"	"14"	"17"	"612"	""	"612"	""
"185"	"123"	"197"	"206"	"5"	"14"	"2"	"4"	"1"	"2"	"10"	"441"	""	"441"	""
"186"	"123A"	"295"	"236"	"8"	"32"	"8"	"8"	"10"	"5"	"9"	"611"	""	"611"	""
"187"	"124"	"416"	"216"	"4"	"201"	"18"	"14"	"6"	"9"	"14"	"898"	""	"898"	""
"188"	"125"	"249"	"257"	"13"	"122"	"14"	"10"	"11"	"6"	"14"	"696"	""	"696"	""
"189"	"126"	"314"	"93"	"11"	"182"	"16"	"29"	"5"	"9"	"13"	"672"	""	"672"	""
"190"	"127"	"200"	"78"	"3"	"53"	"11"	"5"	"1"	"4"	"3"	"358"	""	"358"	""
"191"	"128"	"245"	"117"	"19"	"135"	"16"	"21"	"5"	"18"	"24"	"600"	""	"600"	""
"192"	"129"	"288"	"41"	"7"	"101"	"5"	"12"	"3"	"5"	"6"	"468"	""	"468"	""
"193"	"130"	"479"	"15"	"4"	"85"	"6"	"1"	"1"	"4"	"8"	"603"	""	"603"	""
"194"	"131"	"377"	"100"	"8"	"60"	"7"	"3"	"5"	"5"	"11"	"576"	""	"576"	""
"195"	"132"	"215"	"343"	"3"	"34"	"3"	"5"	"4"	"0"	"11"	"618"	""	"618"	""
"196"	"133"	"363"	"148"	"8"	"11"	"7"	"6"	"1"	"6"	"16"	"566"	""	"566"	""
"197"	"134"	"173"	"301"	"15"	"28"	"12"	"35"	"9"	"21"	"33"	"627"	""	"627"	""
"198"	"Total -10"	"4058"	"2353"	"118"	"1124"	"135"	"194"	"67"	"108"	"189"	"8346"	"0"	"8346"	"0"
"199"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
"200"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	"Uma Kant Yadav"	"Kapildeb Kamat"	"Bhola Prasad Singh"	"Raj Kumar Mahaseth"	"Mishra Lal Paswan"	"Ram Ayodhya Yadav"	"Ram Bharos Singh"	"Manoj Jha"	"Rakesh Kumar Ranjan"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"203"	"B.F."	"29764"	"29864"	"1289"	"8453"	"1084"	"1404"	"876"	"1108"	"3530"	"77372"	"0"	"77372"	"0"
"204"	"135"	"277"	"106"	"9"	"17"	"6"	"1"	"7"	"11"	"32"	"466"	""	"466"	""
"205"	"136"	"94"	"78"	"7"	"7"	"5"	"3"	"4"	"8"	"87"	"293"	""	"293"	""
"206"	"137"	"361"	"40"	"8"	"57"	"5"	"2"	"1"	"7"	"22"	"503"	""	"503"	""
"207"	"138"	"85"	"263"	"14"	"101"	"12"	"13"	"7"	"4"	"24"	"523"	""	"523"	""
"208"	"139"	"78"	"101"	"8"	"192"	"12"	"5"	"6"	"8"	"13"	"423"	""	"423"	""
"209"	"140"	"361"	"222"	"11"	"17"	"8"	"10"	"4"	"7"	"48"	"688"	""	"688"	""
"210"	"141"	"180"	"319"	"4"	"61"	"8"	"16"	"2"	"16"	"17"	"623"	""	"623"	""
"211"	"142"	"112"	"78"	"10"	"4"	"6"	"5"	"2"	"5"	"195"	"417"	""	"417"	""
"212"	"143"	"36"	"47"	"3"	"202"	"10"	"8"	"3"	"13"	"8"	"330"	""	"330"	""
"213"	"144"	"420"	"150"	"13"	"15"	"8"	"18"	"7"	"14"	"38"	"683"	""	"683"	""
"214"	"145"	"34"	"177"	"4"	"0"	"2"	"2"	"0"	"2"	"39"	"260"	""	"260"	""
"215"	"146"	"146"	"331"	"4"	"8"	"7"	"3"	"7"	"11"	"23"	"540"	""	"540"	""
"216"	"147"	"403"	"80"	"20"	"22"	"17"	"187"	"9"	"7"	"21"	"766"	""	"766"	""
"217"	"148"	"144"	"295"	"18"	"65"	"8"	"13"	"4"	"8"	"54"	"609"	""	"609"	""
"218"	"Total -11"	"2731"	"2287"	"133"	"768"	"114"	"286"	"63"	"121"	"621"	"7124"	"0"	"7124"	"0"
"219"	""	""	""	""	""	""	"235171+48=235219
34-Babubarhi"	""	""	""	""	""	""	""
