"ØŒ"	"er.nku.dsUnz.dh.dz0.l.a0"	"fuEufyf..kr..ds.i..k.esa.fn...x...fof.k.ekU...er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"20"	"17"	"16"	"315"	"31"	"242"	"9"	"4"	"4"	"1"	"7"	"59"	"4"	"676"	"0"	"676"	"0"
"21"	"18"	"17"	"431"	"19"	"52"	"4"	"3"	"2"	"2"	"7"	"85"	"16"	"621"	"0"	"621"	"0"
"22"	"19"	"18"	"249"	"22"	"242"	"4"	"9"	"4"	"5"	"5"	"75"	"21"	"636"	"0"	"636"	"0"
"23"	"20"	"19"	"79"	"18"	"260"	"4"	"9"	"0"	"2"	"6"	"175"	"10"	"563"	"0"	"563"	"0"
"24"	"21"	"19A"	"85"	"53"	"237"	"9"	"5"	"5"	"9"	"7"	"18"	"19"	"447"	"0"	"447"	"0"
"25"	"22"	"20"	"565"	"22"	"131"	"8"	"13"	"12"	"4"	"9"	"12"	"11"	"787"	"0"	"787"	"0"
"26"	"23"	"21"	"147"	"5"	"101"	"2"	"4"	"4"	"3"	"4"	"30"	"8"	"308"	"0"	"308"	"0"
"27"	"24"	"22"	"509"	"92"	"193"	"11"	"14"	"10"	"5"	"7"	"52"	"17"	"910"	"0"	"910"	"0"
"28"	"25"	"23"	"206"	"21"	"129"	"6"	"2"	"3"	"1"	"6"	"12"	"7"	"393"	"0"	"393"	"0"
"29"	"26"	"24"	"226"	"31"	"166"	"3"	"3"	"2"	"1"	"1"	"22"	"3"	"458"	"0"	"458"	"0"
"30"	"27"	"25"	"190"	"167"	"116"	"1"	"9"	"1"	"0"	"2"	"3"	"6"	"495"	"0"	"495"	"0"
"31"	"28"	"26"	"398"	"120"	"250"	"5"	"8"	"6"	"7"	"3"	"56"	"11"	"864"	"0"	"864"	"0"
"32"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"34"	"29"	"27"	"203"	"10"	"456"	"7"	"8"	"7"	"7"	"9"	"113"	"17"	"837"	"0"	"837"	"0"
"35"	"30"	"28"	"126"	"120"	"451"	"10"	"18"	"8"	"11"	"10"	"6"	"14"	"774"	"0"	"774"	"0"
"36"	"31"	"29"	"375"	"9"	"140"	"3"	"11"	"3"	"2"	"6"	"7"	"6"	"562"	"0"	"562"	"0"
"37"	"32"	"30"	"157"	"6"	"185"	"3"	"4"	"4"	"1"	"2"	"8"	"11"	"381"	"0"	"381"	"0"
"38"	"33"	"31"	"302"	"43"	"266"	"9"	"11"	"3"	"4"	"11"	"14"	"22"	"685"	"0"	"685"	"0"
"39"	"34"	"32"	"433"	"14"	"247"	"6"	"6"	"4"	"7"	"11"	"14"	"18"	"760"	"0"	"760"	"0"
"40"	"35"	"33"	"272"	"4"	"171"	"9"	"4"	"2"	"2"	"3"	"7"	"9"	"483"	"0"	"483"	"0"
"41"	"36"	"34"	"192"	"6"	"326"	"23"	"7"	"3"	"4"	"1"	"3"	"7"	"572"	"0"	"572"	"0"
"42"	"37"	"35"	"81"	"273"	"215"	"13"	"12"	"0"	"3"	"2"	"26"	"4"	"629"	"0"	"629"	"0"
"43"	"38"	"36"	"329"	"33"	"433"	"12"	"10"	"6"	"4"	"3"	"6"	"11"	"847"	"0"	"847"	"0"
"44"	"39"	"37"	"563"	"71"	"100"	"9"	"7"	"11"	"7"	"24"	"11"	"28"	"831"	"0"	"831"	"0"
"45"	"40"	"38"	"82"	"105"	"465"	"5"	"4"	"3"	"3"	"8"	"10"	"7"	"692"	"0"	"692"	"0"
"46"	"41"	"39"	"361"	"15"	"84"	"4"	"5"	"1"	"1"	"1"	"2"	"11"	"485"	"0"	"485"	"0"
"47"	"42"	"40"	"355"	"15"	"308"	"5"	"4"	"5"	"4"	"5"	"8"	"9"	"718"	"0"	"718"	"0"
"48"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"50"	"43"	"41"	"308"	"16"	"123"	"3"	"8"	"4"	"2"	"18"	"5"	"23"	"510"	"0"	"510"	"0"
"51"	"44"	"42"	"190"	"9"	"190"	"2"	"13"	"2"	"4"	"32"	"7"	"9"	"458"	"0"	"458"	"0"
"52"	"45"	"43"	"30"	"26"	"350"	"10"	"12"	"1"	"2"	"7"	"2"	"14"	"454"	"0"	"454"	"0"
"53"	"46"	"44"	"65"	"74"	"609"	"21"	"23"	"8"	"12"	"8"	"13"	"29"	"862"	"0"	"862"	"0"
"54"	"47"	"45"	"47"	"164"	"539"	"9"	"15"	"10"	"12"	"7"	"9"	"26"	"838"	"0"	"838"	"0"
"55"	"48"	"46"	"31"	"118"	"423"	"5"	"8"	"4"	"4"	"6"	"5"	"17"	"621"	"0"	"621"	"0"
"56"	"49"	"47"	"532"	"15"	"204"	"3"	"8"	"2"	"2"	"5"	"6"	"12"	"789"	"0"	"789"	"0"
"57"	"50"	"48"	"287"	"27"	"89"	"4"	"13"	"0"	"2"	"2"	"2"	"3"	"429"	"0"	"429"	"0"
"58"	"51"	"49"	"138"	"41"	"232"	"16"	"12"	"4"	"6"	"5"	"6"	"15"	"475"	"0"	"475"	"0"
"59"	"52"	"50"	"292"	"5"	"119"	"3"	"26"	"3"	"0"	"4"	"4"	"3"	"459"	"0"	"459"	"0"
"60"	"53"	"51"	"174"	"9"	"284"	"5"	"10"	"4"	"3"	"3"	"4"	"10"	"506"	"0"	"506"	"0"
"61"	"54"	"52"	"429"	"62"	"201"	"14"	"30"	"9"	"17"	"14"	"7"	"19"	"802"	"0"	"802"	"0"
"62"	"55"	"53"	"157"	"9"	"159"	"6"	"9"	"4"	"1"	"1"	"0"	"3"	"349"	"0"	"349"	"0"
"63"	"56"	"54"	"142"	"6"	"142"	"1"	"5"	"1"	"1"	"0"	"2"	"2"	"302"	"0"	"302"	"0"
"64"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"66"	"57"	"55"	"293"	"8"	"150"	"21"	"21"	"2"	"0"	"4"	"3"	"3"	"505"	"0"	"505"	"0"
"67"	"58"	"56"	"197"	"10"	"111"	"4"	"4"	"0"	"1"	"1"	"1"	"5"	"334"	"0"	"334"	"0"
"68"	"59"	"57"	"104"	"150"	"206"	"5"	"10"	"2"	"1"	"3"	"3"	"3"	"487"	"0"	"487"	"0"
"69"	"60"	"58"	"383"	"7"	"313"	"15"	"18"	"6"	"4"	"15"	"10"	"21"	"792"	"0"	"792"	"0"
"70"	"61"	"59"	"503"	"11"	"200"	"7"	"27"	"3"	"3"	"10"	"3"	"14"	"781"	"0"	"781"	"0"
"71"	"62"	"60"	"415"	"16"	"165"	"14"	"23"	"3"	"4"	"7"	"6"	"11"	"664"	"0"	"664"	"0"
"72"	"63"	"61"	"276"	"73"	"234"	"9"	"12"	"0"	"3"	"3"	"0"	"3"	"613"	"0"	"613"	"0"
"73"	"64"	"62"	"181"	"23"	"164"	"2"	"7"	"3"	"0"	"11"	"2"	"4"	"397"	"0"	"397"	"0"
"74"	"65"	"63"	"340"	"13"	"197"	"7"	"16"	"1"	"2"	"3"	"1"	"3"	"583"	"0"	"583"	"0"
"75"	"66"	"64"	"128"	"12"	"101"	"3"	"21"	"3"	"3"	"46"	"2"	"10"	"329"	"0"	"329"	"0"
"76"	"67"	"64A"	"263"	"9"	"101"	"2"	"14"	"2"	"3"	"1"	"2"	"4"	"401"	"0"	"401"	"0"
"77"	"68"	"65"	"401"	"9"	"193"	"4"	"6"	"2"	"1"	"13"	"2"	"8"	"639"	"0"	"639"	"0"
"78"	"69"	"66"	"39"	"24"	"256"	"3"	"3"	"0"	"2"	"1"	"1"	"8"	"337"	"0"	"337"	"0"
"79"	"70"	"67"	"457"	"15"	"195"	"4"	"9"	"1"	"3"	"9"	"8"	"8"	"709"	"0"	"709"	"0"
"80"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"82"	"71"	"68"	"322"	"6"	"214"	"4"	"20"	"4"	"2"	"1"	"4"	"13"	"590"	"0"	"590"	"0"
"83"	"72"	"69"	"289"	"139"	"117"	"7"	"15"	"1"	"2"	"2"	"3"	"9"	"584"	"0"	"584"	"0"
"84"	"73"	"70"	"289"	"186"	"113"	"4"	"10"	"6"	"4"	"9"	"7"	"15"	"643"	"0"	"643"	"0"
"85"	"74"	"71"	"387"	"27"	"214"	"12"	"17"	"6"	"6"	"28"	"3"	"17"	"717"	"0"	"717"	"0"
"86"	"75"	"72"	"295"	"13"	"120"	"3"	"15"	"1"	"1"	"3"	"2"	"8"	"461"	"0"	"461"	"0"
"87"	"76"	"73"	"155"	"9"	"88"	"3"	"11"	"1"	"1"	"6"	"0"	"6"	"280"	"0"	"280"	"0"
"88"	"77"	"74"	"252"	"10"	"344"	"9"	"18"	"3"	"4"	"10"	"3"	"8"	"661"	"0"	"661"	"0"
"89"	"78"	"75"	"198"	"127"	"282"	"6"	"10"	"2"	"3"	"28"	"7"	"34"	"697"	"0"	"697"	"0"
"90"	"79"	"76"	"225"	"9"	"183"	"12"	"2"	"1"	"1"	"7"	"1"	"30"	"471"	"0"	"471"	"0"
"91"	"80"	"77"	"258"	"17"	"264"	"6"	"10"	"0"	"1"	"8"	"0"	"5"	"569"	"0"	"569"	"0"
"92"	"81"	"78"	"391"	"46"	"166"	"3"	"9"	"5"	"6"	"8"	"3"	"14"	"651"	"0"	"651"	"0"
"93"	"82"	"79"	"200"	"61"	"120"	"1"	"7"	"0"	"2"	"3"	"1"	"2"	"397"	"0"	"397"	"0"
"94"	"83"	"80"	"179"	"115"	"100"	"2"	"5"	"0"	"1"	"4"	"3"	"4"	"413"	"0"	"413"	"0"
"95"	"84"	"81"	"77"	"117"	"78"	"3"	"7"	"0"	"0"	"1"	"1"	"4"	"288"	"0"	"288"	"0"
"96"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"98"	"85"	"82"	"222"	"53"	"182"	"1"	"3"	"1"	"0"	"3"	"0"	"2"	"467"	"0"	"467"	"0"
"99"	"86"	"83"	"258"	"48"	"122"	"1"	"7"	"0"	"1"	"7"	"2"	"25"	"471"	"0"	"471"	"0"
"100"	"87"	"84"	"301"	"7"	"140"	"3"	"18"	"0"	"2"	"1"	"0"	"1"	"473"	"0"	"473"	"0"
"101"	"88"	"85"	"192"	"3"	"77"	"2"	"18"	"3"	"9"	"2"	"0"	"2"	"308"	"0"	"308"	"0"
"102"	"89"	"86"	"229"	"12"	"86"	"2"	"20"	"3"	"2"	"0"	"1"	"5"	"360"	"0"	"360"	"0"
"103"	"90"	"87"	"192"	"10"	"77"	"2"	"15"	"1"	"2"	"1"	"2"	"2"	"304"	"0"	"304"	"0"
"104"	"91"	"88"	"150"	"2"	"35"	"1"	"15"	"1"	"2"	"3"	"4"	"7"	"220"	"0"	"220"	"0"
"105"	"92"	"89"	"295"	"7"	"204"	"5"	"26"	"1"	"2"	"3"	"0"	"4"	"547"	"0"	"547"	"0"
"106"	"93"	"90"	"372"	"6"	"149"	"6"	"16"	"2"	"2"	"4"	"0"	"5"	"562"	"0"	"562"	"0"
"107"	"94"	"91"	"322"	"4"	"160"	"0"	"22"	"0"	"1"	"0"	"0"	"4"	"513"	"0"	"513"	"0"
"108"	"95"	"92"	"174"	"1"	"52"	"1"	"11"	"1"	"0"	"1"	"0"	"3"	"244"	"0"	"244"	"0"
"109"	"96"	"92A"	"248"	"3"	"64"	"2"	"18"	"1"	"0"	"5"	"1"	"11"	"353"	"0"	"353"	"0"
"110"	"97"	"93"	"266"	"2"	"54"	"1"	"11"	"0"	"5"	"1"	"2"	"3"	"345"	"0"	"345"	"0"
"111"	"98"	"94"	"167"	"47"	"236"	"5"	"14"	"2"	"6"	"4"	"2"	"2"	"485"	"0"	"485"	"0"
"112"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"114"	"99"	"95"	"186"	"4"	"94"	"0"	"10"	"2"	"2"	"6"	"8"	"0"	"312"	"0"	"312"	"0"
"115"	"100"	"96"	"305"	"19"	"184"	"2"	"11"	"0"	"2"	"12"	"5"	"13"	"553"	"0"	"553"	"0"
"116"	"101"	"97"	"323"	"6"	"199"	"0"	"22"	"1"	"3"	"52"	"1"	"4"	"611"	"0"	"611"	"0"
"117"	"102"	"98"	"423"	"13"	"131"	"5"	"14"	"1"	"0"	"8"	"2"	"5"	"602"	"0"	"602"	"0"
"118"	"103"	"99"	"322"	"83"	"186"	"2"	"29"	"3"	"5"	"21"	"5"	"8"	"664"	"0"	"664"	"0"
"119"	"104"	"100"	"241"	"11"	"57"	"3"	"23"	"2"	"1"	"20"	"2"	"6"	"366"	"0"	"366"	"0"
"120"	"105"	"101"	"401"	"13"	"87"	"6"	"46"	"3"	"2"	"7"	"3"	"5"	"573"	"0"	"573"	"0"
"121"	"106"	"102"	"356"	"8"	"132"	"3"	"47"	"3"	"1"	"10"	"4"	"2"	"566"	"0"	"566"	"0"
"122"	"107"	"103"	"196"	"9"	"92"	"2"	"5"	"0"	"0"	"2"	"0"	"0"	"306"	"0"	"306"	"0"
"123"	"108"	"104"	"146"	"51"	"83"	"1"	"44"	"0"	"5"	"53"	"2"	"3"	"388"	"0"	"388"	"0"
"124"	"109"	"105"	"324"	"6"	"59"	"0"	"13"	"0"	"1"	"86"	"0"	"1"	"490"	"0"	"490"	"0"
"125"	"110"	"106"	"260"	"9"	"86"	"0"	"28"	"0"	"2"	"12"	"0"	"2"	"399"	"0"	"399"	"0"
"126"	"111"	"107"	"286"	"52"	"111"	"0"	"13"	"4"	"4"	"9"	"1"	"2"	"482"	"0"	"482"	"0"
"127"	"112"	"108"	"254"	"21"	"75"	"0"	"10"	"1"	"7"	"3"	"1"	"4"	"376"	"0"	"376"	"0"
"128"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"130"	"113"	"109"	"319"	"24"	"104"	"1"	"10"	"0"	"0"	"8"	"1"	"0"	"467"	"0"	"467"	"0"
"131"	"114"	"110"	"330"	"78"	"124"	"0"	"8"	"2"	"1"	"20"	"1"	"2"	"566"	"0"	"566"	"0"
"132"	"115"	"111"	"152"	"236"	"194"	"0"	"3"	"0"	"0"	"27"	"1"	"4"	"617"	"0"	"617"	"0"
"133"	"116"	"112"	"408"	"76"	"108"	"8"	"6"	"2"	"8"	"40"	"7"	"4"	"667"	"0"	"667"	"0"
"134"	"117"	"113"	"179"	"267"	"135"	"5"	"5"	"2"	"2"	"13"	"6"	"0"	"614"	"0"	"614"	"0"
"135"	"118"	"114"	"186"	"2"	"52"	"0"	"6"	"1"	"8"	"23"	"0"	"0"	"278"	"0"	"278"	"0"
"136"	"119"	"115"	"251"	"11"	"42"	"0"	"8"	"3"	"2"	"23"	"0"	"1"	"341"	"0"	"341"	"0"
"137"	"120"	"115A"	"257"	"9"	"55"	"3"	"7"	"3"	"2"	"6"	"1"	"3"	"346"	"0"	"346"	"0"
"138"	"121"	"116"	"324"	"14"	"91"	"3"	"6"	"1"	"1"	"4"	"5"	"11"	"460"	"0"	"460"	"0"
"139"	"122"	"116A"	"172"	"13"	"100"	"1"	"3"	"3"	"3"	"7"	"6"	"9"	"317"	"0"	"317"	"0"
"140"	"123"	"117"	"246"	"184"	"166"	"2"	"12"	"0"	"3"	"22"	"11"	"13"	"659"	"0"	"659"	"0"
"141"	"124"	"118"	"278"	"102"	"142"	"2"	"12"	"2"	"1"	"3"	"5"	"5"	"552"	"0"	"552"	"0"
"142"	"125"	"119"	"469"	"9"	"172"	"2"	"9"	"6"	"4"	"85"	"3"	"8"	"767"	"0"	"767"	"0"
"143"	"126"	"120"	"125"	"20"	"26"	"2"	"5"	"1"	"3"	"60"	"1"	"4"	"247"	"0"	"247"	"0"
"144"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"146"	"127"	"121"	"383"	"5"	"228"	"2"	"8"	"3"	"3"	"13"	"1"	"2"	"648"	"0"	"648"	"0"
"147"	"128"	"122"	"366"	"8"	"46"	"1"	"4"	"1"	"5"	"140"	"3"	"4"	"578"	"0"	"578"	"0"
"148"	"129"	"123"	"290"	"5"	"108"	"0"	"3"	"0"	"0"	"6"	"0"	"1"	"413"	"0"	"413"	"0"
"149"	"130"	"124"	"241"	"4"	"45"	"0"	"4"	"0"	"2"	"31"	"2"	"8"	"337"	"0"	"337"	"0"
"150"	"131"	"125"	"507"	"7"	"113"	"3"	"11"	"2"	"5"	"31"	"4"	"4"	"687"	"0"	"687"	"0"
"151"	"132"	"126"	"298"	"7"	"66"	"1"	"8"	"1"	"3"	"28"	"2"	"2"	"416"	"0"	"416"	"0"
"152"	"133"	"127"	"258"	"2"	"51"	"1"	"8"	"1"	"1"	"21"	"0"	"0"	"343"	"0"	"343"	"0"
"153"	"134"	"128"	"84"	"210"	"69"	"1"	"2"	"0"	"0"	"5"	"5"	"5"	"381"	"0"	"381"	"0"
"154"	"135"	"129"	"40"	"227"	"99"	"3"	"14"	"1"	"1"	"6"	"6"	"5"	"402"	"0"	"402"	"0"
"155"	"136"	"130"	"11"	"329"	"107"	"0"	"4"	"2"	"2"	"3"	"4"	"3"	"465"	"0"	"465"	"0"
"156"	"137"	"131"	"204"	"81"	"29"	"0"	"5"	"0"	"1"	"20"	"3"	"0"	"343"	"0"	"343"	"0"
"157"	"138"	"131A"	"299"	"136"	"109"	"2"	"11"	"0"	"1"	"63"	"3"	"6"	"630"	"0"	"630"	"0"
"158"	"139"	"132"	"174"	"287"	"126"	"3"	"33"	"1"	"3"	"14"	"4"	"6"	"651"	"0"	"651"	"0"
"159"	"140"	"133"	"243"	"1"	"126"	"3"	"2"	"4"	"0"	"6"	"1"	"1"	"387"	"0"	"387"	"0"
"160"	"ØŒ"	"er nku dsUnz dh dz0 l a0"	"fuEufyf[ kr  ds i {k esa fn,  x,  fof/k ekU;  er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	""	""	"r kj  fd' kksj  i zl kn"	"HkkbZ ' kel qí hu"	"Mk0 j ke i zdk' k egr ks"	"fot ;  dq0 l kg"	"i zks0 fouksn dqekj  ; kno"	"fd' ku yky  vxzoky"	"i zeksn dqekj  Bkdqj"	"j kt s' k xqj ukuh"	"eks0 ' kkfgn v[ r j"	"l at ;  fl ag"	"dqy  fof/k ekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"; ksx"	"fufonRr  er ksa dh l a[ ; k"
"162"	"141"	"134"	"262"	"6"	"79"	"2"	"1"	"1"	"2"	"6"	"0"	"0"	"359"	"0"	"359"	"0"
"163"	"142"	"135"	"408"	"147"	"200"	"6"	"9"	"2"	"2"	"13"	"2"	"4"	"793"	"0"	"793"	"0"
"164"	"143"	"136"	"285"	"42"	"173"	"2"	"5"	"1"	"4"	"18"	"5"	"8"	"543"	"0"	"543"	"0"
