"Election.to.the.house.of.the.people.from.the..12.NARKATIA..Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Part - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[To be used both for Parliamentary and Assembly Election]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electiors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of th Assembly/Segment      12- Narkatia"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"17"	"7"	"6"	""	"33"	"20"	"10"	"389"	"81"	"4"	"5"	"4"	"4"	"4"	"2"	"9"	"55"	"24"	"27"	"7"	"4"	"682"	"0"	"0"	"0"
"18"	"8"	"7"	""	"61"	"1"	"3"	"97"	"40"	"34"	"1"	"5"	"5"	"2"	"4"	"4"	"69"	"7"	"22"	"9"	"1"	"365"	"0"	"0"	"0"
"19"	"9"	"8"	""	"7"	"12"	"1"	"215"	"160"	"4"	"0"	"1"	"9"	"1"	"4"	"10"	"17"	"14"	"70"	"6"	"1"	"532"	"0"	"0"	"0"
"20"	"10"	"8"	"A"	"13"	"7"	"3"	"77"	"166"	"62"	"1"	"1"	"10"	"3"	"1"	"5"	"84"	"44"	"12"	"1"	"2"	"492"	"0"	"0"	"0"
"21"	"11"	"9"	""	"18"	"45"	"5"	"21"	"209"	"4"	"2"	"5"	"6"	"5"	"8"	"8"	"55"	"183"	"18"	"7"	"6"	"605"	"0"	"0"	"0"
"22"	"12"	"10"	""	"35"	"51"	"3"	"63"	"155"	"4"	"4"	"4"	"9"	"3"	"3"	"6"	"115"	"19"	"47"	"6"	"9"	"536"	"0"	"0"	"0"
"23"	"13"	"10"	"A"	"23"	"22"	"1"	"92"	"128"	"3"	"2"	"0"	"10"	"3"	"4"	"5"	"62"	"20"	"9"	"3"	"4"	"391"	"0"	"0"	"0"
"24"	"14"	"11"	""	"15"	"19"	"4"	"213"	"78"	"155"	"11"	"4"	"14"	"4"	"5"	"3"	"141"	"64"	"98"	"0"	"1"	"829"	"0"	"0"	"0"
"25"	"15"	"12"	""	"26"	"8"	"3"	"62"	"181"	"20"	"4"	"3"	"5"	"4"	"2"	"7"	"235"	"131"	"15"	"6"	"1"	"713"	"0"	"0"	"0"
"26"	"16"	"13"	""	"13"	"27"	"4"	"138"	"431"	"14"	"3"	"3"	"7"	"4"	"11"	"5"	"51"	"104"	"6"	"8"	"4"	"833"	"0"	"0"	"0"
"27"	"17"	"14"	""	"44"	"91"	"5"	"190"	"57"	"3"	"2"	"1"	"0"	"1"	"2"	"2"	"14"	"48"	"128"	"5"	"9"	"602"	"0"	"0"	"0"
"28"	"18"	"15"	""	"6"	"54"	"2"	"67"	"33"	"2"	"0"	"1"	"4"	"1"	"2"	"3"	"19"	"60"	"11"	"8"	"6"	"279"	"0"	"0"	"0"
"29"	"19"	"16"	""	"62"	"54"	"4"	"126"	"57"	"1"	"0"	"1"	"4"	"0"	"5"	"1"	"34"	"88"	"22"	"19"	"4"	"482"	"0"	"0"	"0"
"30"	"20"	"16"	"A"	"26"	"11"	"0"	"293"	"75"	"1"	"0"	"0"	"3"	"0"	"4"	"0"	"17"	"22"	"7"	"1"	"1"	"461"	"0"	"0"	"0"
"31"	"21"	"17"	""	"50"	"143"	"6"	"203"	"45"	"6"	"4"	"2"	"10"	"3"	"10"	"8"	"51"	"92"	"59"	"7"	"3"	"702"	"0"	"0"	"0"
"32"	"22"	"18"	""	"17"	"6"	"7"	"196"	"75"	"6"	"0"	"3"	"2"	"0"	"3"	"8"	"139"	"47"	"8"	"6"	"1"	"524"	"0"	"0"	"0"
"33"	"23"	"19"	""	"2"	"38"	"2"	"117"	"24"	"1"	"0"	"0"	"3"	"2"	"2"	"1"	"48"	"69"	"15"	"11"	"0"	"335"	"0"	"0"	"0"
"34"	"24"	"20"	""	"1"	"10"	"1"	"257"	"161"	"2"	"4"	"0"	"0"	"2"	"1"	"6"	"18"	"24"	"11"	"5"	"0"	"503"	"0"	"0"	"0"
"35"	"25"	"21"	""	"15"	"123"	"2"	"102"	"105"	"6"	"0"	"1"	"7"	"2"	"4"	"6"	"30"	"37"	"43"	"5"	"6"	"494"	"0"	"0"	"0"
"36"	"26"	"22"	""	"3"	"7"	"2"	"246"	"20"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"27"	"3"	"68"	"0"	"4"	"386"	"0"	"0"	"0"
"37"	"Page 1 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"39"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"40"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"41"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
"42"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"43"	"27"	"23"	""	"91"	"24"	"4"	"65"	"100"	"4"	"0"	"0"	"2"	"3"	"1"	"2"	"14"	"193"	"14"	"10"	"2"	"529"	"0"	"0"	"0"
"44"	"28"	"24"	""	"2"	"63"	"4"	"268"	"112"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"8"	"4"	"12"	"0"	"0"	"478"	"0"	"0"	"0"
"45"	"29"	"25"	""	"17"	"144"	"4"	"168"	"53"	"4"	"5"	"1"	"6"	"0"	"5"	"2"	"27"	"76"	"52"	"0"	"3"	"567"	"0"	"0"	"0"
"46"	"30"	"26"	""	"4"	"79"	"4"	"83"	"88"	"7"	"4"	"3"	"6"	"1"	"4"	"15"	"206"	"26"	"25"	"2"	"14"	"571"	"0"	"0"	"0"
"47"	"31"	"27"	""	"11"	"11"	"1"	"316"	"350"	"6"	"3"	"5"	"4"	"3"	"2"	"6"	"14"	"48"	"3"	"10"	"0"	"793"	"0"	"0"	"0"
"48"	"32"	"28"	""	"22"	"120"	"5"	"215"	"284"	"6"	"8"	"4"	"16"	"3"	"11"	"12"	"5"	"18"	"37"	"4"	"12"	"782"	"0"	"0"	"0"
"49"	"33"	"29"	""	"9"	"88"	"7"	"47"	"73"	"2"	"1"	"1"	"5"	"1"	"2"	"4"	"3"	"10"	"3"	"3"	"5"	"264"	"0"	"0"	"0"
"50"	"34"	"30"	""	"0"	"67"	"6"	"60"	"132"	"4"	"2"	"1"	"8"	"2"	"6"	"2"	"56"	"252"	"36"	"6"	"2"	"642"	"0"	"0"	"0"
"51"	"35"	"31"	""	"9"	"9"	"2"	"272"	"439"	"2"	"1"	"2"	"3"	"0"	"1"	"0"	"17"	"15"	"24"	"0"	"0"	"796"	"0"	"0"	"0"
"52"	"36"	"32"	""	"7"	"166"	"4"	"50"	"26"	"4"	"8"	"2"	"1"	"1"	"10"	"2"	"33"	"350"	"31"	"11"	"4"	"710"	"0"	"0"	"0"
"53"	"37"	"33"	""	"7"	"32"	"2"	"57"	"12"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"7"	"737"	"11"	"0"	"1"	"869"	"0"	"0"	"0"
"54"	"38"	"34"	""	"2"	"99"	"3"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"7"	"600"	"5"	"1"	"1"	"726"	"0"	"0"	"0"
"55"	"39"	"35"	""	"0"	"17"	"1"	"74"	"118"	"1"	"1"	"1"	"24"	"2"	"2"	"4"	"5"	"101"	"59"	"6"	"0"	"416"	"0"	"0"	"0"
"56"	"40"	"36"	""	"6"	"165"	"5"	"40"	"202"	"52"	"3"	"3"	"2"	"1"	"4"	"4"	"11"	"225"	"57"	"8"	"1"	"789"	"0"	"0"	"0"
"57"	"41"	"37"	""	"1"	"11"	"1"	"58"	"23"	"89"	"3"	"0"	"4"	"2"	"4"	"7"	"126"	"146"	"82"	"4"	"0"	"561"	"0"	"0"	"0"
"58"	"42"	"38"	""	"7"	"101"	"2"	"3"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"10"	"368"	"14"	"1"	"1"	"513"	"0"	"0"	"0"
"59"	"43"	"38"	"A"	"11"	"68"	"0"	"0"	"6"	"1"	"2"	"1"	"0"	"0"	"3"	"1"	"6"	"354"	"2"	"4"	"1"	"460"	"0"	"0"	"0"
"60"	"44"	"39"	""	"6"	"90"	"3"	"73"	"31"	"0"	"1"	"0"	"1"	"4"	"8"	"1"	"89"	"200"	"60"	"3"	"0"	"570"	"0"	"0"	"0"
"61"	"45"	"39"	"A"	"1"	"80"	"3"	"50"	"9"	"5"	"2"	"1"	"0"	"5"	"10"	"10"	"155"	"132"	"46"	"2"	"1"	"512"	"0"	"0"	"0"
"62"	"46"	"40"	""	"18"	"49"	"7"	"97"	"22"	"5"	"3"	"1"	"3"	"7"	"4"	"5"	"230"	"128"	"64"	"4"	"2"	"649"	"0"	"0"	"0"
"63"	"47"	"41"	""	"53"	"28"	"0"	"95"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"21"	"135"	"3"	"6"	"360"	"0"	"0"	"0"
"64"	"48"	"42"	""	"6"	"1"	"3"	"9"	"2"	"120"	"5"	"6"	"2"	"5"	"13"	"9"	"379"	"23"	"63"	"4"	"5"	"655"	"0"	"0"	"0"
"65"	"49"	"43"	""	"8"	"357"	"19"	"124"	"12"	"26"	"4"	"1"	"2"	"3"	"6"	"1"	"80"	"50"	"13"	"14"	"0"	"720"	"0"	"0"	"0"
"66"	"50"	"44"	""	"48"	"51"	"9"	"148"	"62"	"7"	"2"	"2"	"8"	"1"	"7"	"12"	"82"	"37"	"15"	"4"	"3"	"498"	"0"	"0"	"0"
"67"	"51"	"45"	""	"9"	"25"	"16"	"132"	"87"	"2"	"1"	"2"	"4"	"2"	"4"	"2"	"32"	"57"	"26"	"2"	"3"	"406"	"0"	"0"	"0"
"68"	"52"	"46"	""	"16"	"152"	"7"	"78"	"15"	"5"	"9"	"1"	"1"	"2"	"6"	"3"	"39"	"224"	"38"	"7"	"3"	"606"	"0"	"0"	"0"
"69"	"53"	"47"	""	"6"	"123"	"140"	"247"	"26"	"6"	"4"	"7"	"99"	"8"	"14"	"6"	"19"	"55"	"32"	"12"	"11"	"815"	"0"	"0"	"0"
"70"	"54"	"48"	""	"17"	"15"	"168"	"347"	"9"	"6"	"6"	"2"	"6"	"4"	"3"	"0"	"7"	"27"	"25"	"4"	"7"	"653"	"0"	"0"	"0"
"71"	"55"	"49"	""	"2"	"10"	"63"	"93"	"4"	"0"	"2"	"2"	"2"	"2"	"2"	"2"	"6"	"5"	"11"	"4"	"3"	"213"	"0"	"0"	"0"
"72"	"56"	"50"	""	"4"	"8"	"312"	"213"	"19"	"2"	"1"	"1"	"2"	"3"	"2"	"3"	"7"	"5"	"14"	"6"	"2"	"604"	"0"	"0"	"0"
"73"	"57"	"51"	""	"3"	"39"	"232"	"112"	"5"	"1"	"2"	"2"	"7"	"0"	"5"	"1"	"6"	"15"	"10"	"7"	"0"	"447"	"0"	"0"	"0"
"74"	"58"	"52"	""	"10"	"33"	"23"	"336"	"31"	"5"	"2"	"0"	"3"	"0"	"2"	"1"	"15"	"40"	"248"	"8"	"0"	"757"	"0"	"0"	"0"
"75"	"59"	"53"	""	"11"	"3"	"8"	"286"	"115"	"5"	"3"	"2"	"6"	"2"	"6"	"9"	"236"	"6"	"146"	"7"	"0"	"851"	"0"	"0"	"0"
"76"	"60"	"54"	""	"6"	"87"	"13"	"105"	"29"	"10"	"0"	"2"	"8"	"2"	"5"	"5"	"37"	"31"	"98"	"6"	"3"	"447"	"0"	"0"	"0"
"77"	"61"	"55"	""	"7"	"112"	"65"	"72"	"81"	"2"	"4"	"2"	"6"	"3"	"2"	"4"	"14"	"58"	"63"	"10"	"0"	"505"	"0"	"0"	"0"
"78"	"62"	"56"	""	"45"	"27"	"5"	"32"	"90"	"5"	"0"	"1"	"2"	"2"	"4"	"5"	"22"	"556"	"27"	"14"	"3"	"840"	"0"	"0"	"0"
"79"	"63"	"57"	""	"15"	"58"	"18"	"265"	"194"	"6"	"4"	"3"	"7"	"1"	"6"	"8"	"24"	"37"	"52"	"10"	"18"	"726"	"0"	"0"	"0"
"80"	"Page 2 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"82"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"83"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"84"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
"85"	"Sl
no"	"BOOT H_NO"	"BOOT H_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14"	"CANDI15"	"CANDI16"	"CANDI17"	""	""	""	""
"86"	"64"	"58"	""	"6"	"119"	"1"	"65"	"173"	"5"	"1"	"1"	"5"	"1"	"0"	"3"	"6"	"333"	"24"	"4"	"0"	"747"	"0"	"0"	"0"
"87"	"65"	"59"	""	"3"	"83"	"1"	"29"	"209"	"2"	"2"	"0"	"6"	"3"	"5"	"4"	"6"	"234"	"17"	"22"	"6"	"632"	"0"	"0"	"0"
"88"	"66"	"60"	""	"7"	"218"	"3"	"14"	"28"	"2"	"0"	"0"	"4"	"0"	"0"	"1"	"3"	"31"	"9"	"1"	"0"	"321"	"0"	"0"	"0"
"89"	"67"	"61"	""	"106"	"177"	"3"	"61"	"9"	"0"	"8"	"1"	"0"	"1"	"4"	"0"	"8"	"235"	"12"	"7"	"2"	"634"	"0"	"0"	"0"
"90"	"68"	"62"	""	"8"	"224"	"5"	"38"	"42"	"59"	"5"	"2"	"2"	"2"	"17"	"6"	"26"	"296"	"19"	"13"	"5"	"769"	"0"	"0"	"0"
"91"	"69"	"63"	""	"50"	"243"	"1"	"68"	"17"	"4"	"1"	"2"	"1"	"0"	"1"	"1"	"3"	"215"	"14"	"1"	"3"	"625"	"0"	"0"	"0"
"92"	"70"	"64"	""	"7"	"104"	"2"	"111"	"93"	"89"	"6"	"2"	"5"	"5"	"11"	"10"	"10"	"96"	"17"	"11"	"3"	"582"	"0"	"0"	"0"
"93"	"71"	"65"	""	"9"	"12"	"4"	"198"	"68"	"2"	"0"	"1"	"6"	"0"	"2"	"1"	"28"	"52"	"78"	"0"	"0"	"461"	"0"	"0"	"0"
"94"	"72"	"66"	""	"27"	"102"	"11"	"104"	"31"	"4"	"7"	"4"	"3"	"1"	"0"	"1"	"11"	"19"	"69"	"4"	"3"	"401"	"0"	"0"	"0"
"95"	"73"	"67"	""	"7"	"28"	"1"	"64"	"245"	"12"	"0"	"2"	"3"	"1"	"5"	"5"	"10"	"13"	"114"	"12"	"2"	"524"	"0"	"0"	"0"
"96"	"74"	"68"	""	"5"	"46"	"1"	"5"	"138"	"61"	"2"	"3"	"2"	"3"	"2"	"0"	"4"	"15"	"14"	"1"	"0"	"302"	"0"	"0"	"0"
"97"	"75"	"69"	""	"4"	"93"	"1"	"4"	"97"	"13"	"1"	"0"	"2"	"0"	"4"	"3"	"7"	"15"	"14"	"11"	"4"	"273"	"0"	"0"	"0"
"98"	"76"	"70"	""	"7"	"40"	"1"	"63"	"260"	"19"	"1"	"2"	"6"	"2"	"2"	"6"	"57"	"16"	"19"	"3"	"1"	"505"	"0"	"0"	"0"
"99"	"77"	"71"	""	"15"	"41"	"5"	"135"	"665"	"15"	"4"	"6"	"9"	"8"	"8"	"16"	"2"	"10"	"14"	"4"	"2"	"959"	"0"	"0"	"0"
"100"	"78"	"72"	""	"123"	"38"	"5"	"129"	"171"	"50"	"5"	"2"	"10"	"1"	"6"	"5"	"12"	"45"	"18"	"9"	"1"	"630"	"0"	"0"	"0"
"101"	"79"	"73"	""	"87"	"12"	"0"	"21"	"285"	"8"	"0"	"0"	"8"	"0"	"1"	"1"	"0"	"91"	"4"	"1"	"0"	"519"	"0"	"0"	"0"
"102"	"80"	"74"	""	"18"	"62"	"1"	"98"	"218"	"18"	"4"	"1"	"4"	"3"	"3"	"6"	"5"	"63"	"13"	"2"	"0"	"519"	"0"	"0"	"0"
"103"	"81"	"75"	""	"89"	"126"	"9"	"28"	"168"	"3"	"1"	"1"	"1"	"1"	"2"	"0"	"11"	"51"	"18"	"2"	"0"	"511"	"0"	"0"	"0"
"104"	"82"	"76"	""	"34"	"63"	"1"	"68"	"261"	"3"	"0"	"0"	"8"	"2"	"6"	"4"	"1"	"61"	"4"	"1"	"1"	"518"	"0"	"0"	"0"
"105"	"83"	"77"	""	"74"	"102"	"27"	"131"	"41"	"2"	"13"	"2"	"8"	"3"	"4"	"2"	"40"	"31"	"47"	"4"	"4"	"535"	"0"	"0"	"0"
"106"	"84"	"78"	""	"51"	"168"	"29"	"75"	"19"	"3"	"6"	"3"	"1"	"1"	"3"	"0"	"7"	"38"	"15"	"3"	"11"	"433"	"0"	"0"	"0"
"107"	"85"	"79"	""	"20"	"63"	"3"	"104"	"81"	"4"	"1"	"1"	"2"	"3"	"4"	"2"	"14"	"15"	"154"	"8"	"3"	"482"	"0"	"0"	"0"
"108"	"86"	"80"	""	"24"	"289"	"13"	"162"	"108"	"7"	"2"	"3"	"4"	"2"	"9"	"6"	"17"	"24"	"92"	"18"	"7"	"787"	"0"	"0"	"0"
"109"	"87"	"81"	""	"20"	"46"	"3"	"109"	"88"	"9"	"2"	"2"	"6"	"5"	"7"	"3"	"96"	"11"	"18"	"8"	"0"	"433"	"0"	"0"	"0"
"110"	"88"	"82"	""	"6"	"25"	"9"	"206"	"158"	"5"	"0"	"6"	"8"	"3"	"1"	"12"	"85"	"16"	"44"	"9"	"0"	"593"	"0"	"0"	"0"
"111"	"89"	"82"	"A"	"5"	"84"	"7"	"86"	"113"	"4"	"4"	"0"	"3"	"0"	"2"	"4"	"23"	"8"	"20"	"2"	"0"	"365"	"0"	"0"	"0"
"112"	"90"	"83"	""	"0"	"215"	"6"	"77"	"101"	"2"	"1"	"1"	"11"	"2"	"9"	"2"	"14"	"29"	"44"	"3"	"1"	"518"	"0"	"0"	"0"
"113"	"91"	"84"	""	"3"	"24"	"2"	"146"	"5"	"1"	"0"	"0"	"2"	"0"	"1"	"3"	"2"	"6"	"131"	"4"	"5"	"335"	"0"	"0"	"0"
"114"	"92"	"85"	""	"26"	"37"	"48"	"114"	"24"	"3"	"0"	"0"	"5"	"2"	"4"	"4"	"6"	"22"	"129"	"10"	"4"	"438"	"0"	"0"	"0"
"115"	"93"	"86"	""	"11"	"135"	"4"	"105"	"89"	"8"	"8"	"6"	"8"	"4"	"13"	"8"	"11"	"163"	"65"	"14"	"2"	"654"	"0"	"0"	"0"
"116"	"94"	"87"	""	"16"	"100"	"32"	"139"	"186"	"15"	"7"	"7"	"19"	"7"	"7"	"6"	"15"	"73"	"22"	"6"	"1"	"658"	"0"	"0"	"0"
"117"	"95"	"88"	""	"20"	"140"	"11"	"212"	"92"	"5"	"5"	"1"	"6"	"5"	"10"	"12"	"27"	"73"	"54"	"15"	"8"	"696"	"0"	"0"	"0"
"118"	"96"	"89"	""	"6"	"166"	"15"	"295"	"59"	"9"	"5"	"5"	"18"	"2"	"15"	"11"	"41"	"74"	"41"	"11"	"0"	"773"	"0"	"0"	"0"
"119"	"97"	"90"	""	"14"	"347"	"41"	"134"	"33"	"3"	"7"	"2"	"7"	"4"	"12"	"3"	"55"	"30"	"45"	"12"	"4"	"753"	"0"	"0"	"0"
"120"	"98"	"91"	""	"16"	"408"	"19"	"113"	"41"	"0"	"2"	"3"	"10"	"4"	"13"	"3"	"23"	"72"	"32"	"12"	"1"	"772"	"0"	"0"	"0"
"121"	"99"	"92"	""	"3"	"201"	"5"	"202"	"40"	"4"	"4"	"0"	"43"	"6"	"17"	"6"	"130"	"27"	"29"	"10"	"4"	"731"	"0"	"0"	"0"
"122"	"100"	"93"	""	"1"	"146"	"15"	"216"	"49"	"11"	"3"	"0"	"13"	"0"	"0"	"1"	"63"	"58"	"120"	"3"	"2"	"701"	"0"	"0"	"0"
"123"	"Page 3 of 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	""	""	""	"AWADH"	"YASMIN"	"LAKSHMI"	"SHYAM"	"SONU"	"PRABHUD"	"MD."	"GAYASUD"	"CHANDRA"	"DHIREND"	"MOHAM"	"VIDYANAN"	"VIRENDRA"	"SHAMIM"	"SHASHI"	"SUNIL"	"SOMESH"	"Total"	"No. of"	"No. of"	"Total"
"125"	""	""	""	"BIHAREE"	"SABIR ALI"	"PRASAD"	"BIHARI"	"KUMAR"	"EO YADAV"	"AZAZUL"	"DIN MIYA"	"SHEKHAR"	"RA"	"MAD"	"D PRASAD"	"PRASAD"	"AHMAD"	"BHUSHAN"	"KUMAR"	"WAR"	"Valid"	"rejected"	"tendere"	""
"126"	""	""	""	"PRASAD"	""	""	"PRASAD"	""	""	"HAQUE"	""	"DWIVEDI"	"KUMAR"	"SHARIF"	""	""	""	"SINGH"	""	"SAWARNI"	"Votes"	"votes"	"d voted"	""
"127"	""	""	""	""	""	""	""	""	""	""	""	""	"SINGH"	""	""	""	""	""	""	"Y"	""	""	""	""
