"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - Bahadurpur  Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment … 226786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"45"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"46"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"47"	"34"	"33"	"12"	"107"	"14"	"2"	"21"	"170"	"21"	"5"	"2"	"2"	"8"	"0"	"13"	"6"	"71"	"12"	"9"	""	"1"	"52"	"0"	"528"	"-"	"528"	""	""
"48"	"35"	"34"	"15"	"118"	"9"	"2"	"11"	"116"	"3"	"2"	"0"	"1"	"0"	"1"	"7"	"2"	"13"	"3"	"0"	""	"0"	"5"	"1"	"309"	"-"	"309"	""	""
"49"	"36"	"35"	"2"	"60"	"6"	"0"	"3"	"101"	"10"	"3"	"0"	"1"	"1"	"0"	"11"	"5"	"7"	"15"	"0"	""	"2"	"12"	"2"	"241"	"-"	"241"	""	""
"50"	"37"	"36"	"2"	"219"	"7"	"7"	"4"	"27"	"1"	"2"	"1"	"1"	"4"	"0"	"6"	"3"	"34"	"8"	"4"	""	"4"	"3"	"2"	"339"	"-"	"339"	""	""
"51"	"38"	"37"	"13"	"166"	"21"	"3"	"19"	"318"	"17"	"4"	"6"	"7"	"25"	"2"	"22"	"12"	"47"	"20"	"12"	""	"4"	"48"	"6"	"772"	"-"	"772"	""	""
"52"	"39"	"38"	"7"	"368"	"134"	"3"	"3"	"37"	"2"	"1"	"1"	"4"	"0"	"7"	"21"	"13"	"29"	"4"	"34"	""	"3"	"64"	"6"	"741"	"-"	"741"	""	""
"53"	"40"	"39"	"6"	"284"	"19"	"7"	"35"	"77"	"11"	"7"	"2"	"6"	"2"	"7"	"14"	"7"	"183"	"13"	"10"	""	"9"	"10"	"7"	"716"	"-"	"716"	""	""
"54"	"41"	"40"	"1"	"37"	"122"	"2"	"6"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"5"	"1"	"5"	"4"	""	"4"	"92"	"5"	"294"	"-"	"294"	""	""
"55"	"42"	"41"	"1"	"26"	"208"	"8"	"1"	"22"	"4"	"1"	"1"	"0"	"2"	"3"	"2"	"3"	"3"	"3"	"4"	""	"3"	"10"	"0"	"305"	""	"305"	""	""
"56"	"43"	"42"	"4"	"159"	"74"	"1"	"22"	"8"	"2"	"2"	"2"	"0"	"0"	"0"	"7"	"4"	"22"	"4"	"4"	""	"5"	"38"	"4"	"362"	"-"	"362"	""	""
"57"	"44"	"43"	"17"	"152"	"12"	"5"	"27"	"38"	"8"	"12"	"5"	"2"	"8"	"1"	"8"	"3"	"28"	"16"	"9"	""	"9"	"40"	"4"	"404"	"-"	"404"	""	""
"58"	"45"	"44"	"4"	"47"	"275"	"10"	"9"	"24"	"3"	"2"	"1"	"2"	"1"	"1"	"5"	"2"	"15"	"2"	"8"	""	"1"	"78"	"0"	"490"	"-"	"490"	""	""
"59"	"46"	"45"	"14"	"126"	"46"	"6"	"22"	"121"	"6"	"3"	"6"	"2"	"8"	"4"	"13"	"10"	"88"	"8"	"18"	""	"5"	"22"	"5"	"533"	"-"	"533"	""	""
"60"	"47"	"46"	"4"	"93"	"10"	"2"	"14"	"128"	"8"	"6"	"4"	"5"	"5"	"6"	"10"	"8"	"199"	"20"	"10"	""	"12"	"12"	"10"	"566"	"-"	"566"	""	""
"61"	"48"	"47"	"5"	"32"	"42"	"1"	"22"	"101"	"6"	"36"	"2"	"2"	"8"	"2"	"6"	"5"	"9"	"8"	"5"	""	"7"	"127"	"0"	"426"	"-"	"426"	""	""
"62"	"49"	"48"	"0"	"49"	"10"	"2"	"21"	"74"	"4"	"25"	"0"	"3"	"2"	"5"	"2"	"1"	"5"	"13"	"5"	""	"0"	"52"	"5"	"278"	"-"	"278"	""	""
"63"	"50"	"49"	"4"	"135"	"29"	"2"	"28"	"179"	"10"	"12"	"2"	"2"	"8"	"2"	"17"	"9"	"22"	"16"	"1"	""	"6"	"66"	"0"	"550"	"-"	"550"	""	""
"64"	"51"	"50"	"6"	"73"	"32"	"4"	"15"	"161"	"13"	"14"	"3"	"0"	"5"	"3"	"14"	"2"	"17"	"12"	"0"	""	"7"	"87"	"5"	"473"	"-"	"473"	""	""
"65"	"52"	"51"	"5"	"24"	"32"	"3"	"2"	"120"	"2"	"22"	"1"	"2"	"1"	"0"	"7"	"4"	"16"	"6"	"2"	""	"0"	"25"	"5"	"279"	"-"	"279"	""	""
"66"	"53"	"52"	"2"	"28"	"5"	"0"	"6"	"93"	"44"	"8"	"2"	"9"	"3"	"5"	"5"	"15"	"61"	"16"	"5"	""	"5"	"14"	"2"	"328"	"-"	"328"	""	""
"67"	"54"	"53"	"19"	"192"	"22"	"8"	"25"	"82"	"5"	"2"	"1"	"1"	"5"	"1"	"12"	"2"	"14"	"6"	"7"	""	"7"	"40"	"5"	"456"	"-"	"456"	""	""
"68"	"55"	"54"	"6"	"63"	"31"	"5"	"1"	"49"	"3"	"0"	"1"	"1"	"1"	"3"	"9"	"1"	"2"	"4"	"1"	""	"4"	"33"	"3"	"221"	"-"	"221"	""	""
"69"	"56"	"55"	"2"	"213"	"50"	"5"	"13"	"124"	"20"	"5"	"1"	"1"	"6"	"6"	"15"	"10"	"16"	"12"	"8"	""	"3"	"64"	"3"	"577"	"-"	"577"	""	""
"70"	"57"	"56"	"14"	"42"	"33"	"7"	"6"	"209"	"5"	"11"	"2"	"2"	"4"	"3"	"12"	"5"	"14"	"14"	"7"	""	"2"	"18"	"6"	"416"	"-"	"416"	""	""
"71"	"58"	"57"	"3"	"230"	"38"	"11"	"26"	"27"	"2"	"12"	"3"	"2"	"3"	"1"	"9"	"11"	"32"	"16"	"2"	""	"4"	"63"	"10"	"505"	"-"	"505"	""	""
"72"	"59"	"58"	"9"	"102"	"20"	"1"	"19"	"145"	"5"	"2"	"2"	"1"	"1"	"2"	"6"	"3"	"19"	"12"	"4"	""	"2"	"33"	"7"	"395"	"-"	"395"	""	""
"73"	"60"	"59"	"2"	"42"	"14"	"2"	"3"	"61"	"0"	"3"	"0"	"0"	"2"	"1"	"3"	"1"	"6"	"8"	"4"	""	"5"	"3"	"1"	"161"	"-"	"161"	""	""
"74"	"61"	"60"	"10"	"322"	"12"	"3"	"11"	"72"	"8"	"11"	"4"	"1"	"3"	"3"	"1"	"3"	"28"	"2"	"7"	""	"2"	"4"	"3"	"510"	"-"	"510"	""	""
"75"	"62"	"61"	"26"	"62"	"9"	"3"	"10"	"259"	"23"	"21"	"7"	"147"	"8"	"6"	"15"	"5"	"75"	"24"	"3"	""	"6"	"18"	"7"	"734"	"-"	"734"	""	""
"76"	"63"	"62"	"13"	"12"	"12"	"6"	"5"	"48"	"14"	"107"	"12"	"17"	"9"	"3"	"9"	"3"	"18"	"105"	"15"	""	"4"	"57"	"10"	"479"	"-"	"479"	""	""
"77"	"64"	"63"	"9"	"46"	"16"	"3"	"9"	"63"	"5"	"15"	"1"	"87"	"5"	"12"	"12"	"0"	"10"	"15"	"10"	""	"11"	"89"	"12"	"430"	"-"	"430"	""	""
"78"	"65"	"64"	"8"	"50"	"21"	"3"	"7"	"41"	"7"	"12"	"6"	"88"	"6"	"5"	"11"	"8"	"4"	"22"	"12"	""	"6"	"136"	"12"	"465"	"-"	"465"	""	""
"79"	"66"	"65"	"5"	"57"	"30"	"6"	"5"	"93"	"5"	"52"	"6"	"13"	"7"	"1"	"5"	"1"	"21"	"40"	"11"	""	"6"	"70"	"6"	"440"	"-"	"440"	""	""
"80"	"67"	"66"	"20"	"2"	"45"	"4"	"5"	"85"	"11"	"8"	"0"	"2"	"2"	"3"	"9"	"2"	"216"	"9"	"3"	""	"1"	"29"	"6"	"462"	"-"	"462"	""	""
"81"	"68"	"67"	"8"	"233"	"4"	"10"	"27"	"69"	"3"	"7"	"0"	"2"	"4"	"5"	"5"	"10"	"152"	"16"	"5"	""	"14"	"8"	"5"	"587"	"-"	"587"	""	""
"82"	"69"	"68"	"11"	"8"	"73"	"5"	"2"	"107"	"93"	"29"	"4"	"5"	"2"	"1"	"3"	"4"	"6"	"3"	"17"	""	"1"	"10"	"8"	"392"	"-"	"392"	""	""
"83"	"70"	"69"	"2"	"63"	"34"	"3"	"12"	"200"	"57"	"6"	"2"	"2"	"9"	"3"	"2"	"7"	"11"	"15"	"23"	""	"2"	"18"	"7"	"478"	"-"	"478"	""	""
"84"	"71"	"70"	"11"	"103"	"52"	"2"	"25"	"467"	"11"	"7"	"2"	"4"	"20"	"2"	"4"	"3"	"27"	"18"	"15"	""	"3"	"4"	"7"	"787"	"-"	"787"	""	""
"85"	"72"	"71"	"0"	"56"	"17"	"1"	"6"	"284"	"84"	"4"	"1"	"0"	"2"	"0"	"1"	"4"	"13"	"3"	"7"	""	"2"	"2"	"3"	"490"	"-"	"490"	""	""
"86"	"73"	"72"	"18"	"39"	"29"	"14"	"13"	"231"	"21"	"52"	"9"	"5"	"7"	"3"	"30"	"2"	"6"	"4"	"4"	""	"1"	"62"	"4"	"554"	"-"	"554"	""	""
"87"	"74"	"73"	"8"	"82"	"19"	"9"	"11"	"195"	"14"	"51"	"4"	"2"	"3"	"4"	"11"	"6"	"14"	"11"	"11"	""	"3"	"60"	"4"	"522"	"-"	"522"	""	""
"88"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"89"	""	""	"Md. Farman"	"Madan    Sahni"	"Mu rari  Mohan Jha"	"Rambabu Paswan"	"Shyam    Bharti"	"Harinandan Yadav"	"Zeyaul Hassan"	"Baijnath  Yadav"	"Mustafa"	"Umesh    Yadav"	"Md. Kuddus Mansu r i"	"Dilip  Ku mar Jha"	"Devendra Ku mar  Azad"	"Manoj  Singh Yadav"	"Ram  Prawesh Paswan"	"Ramsajiwan Yadav"	"Md. Rizwan"	""	"Lakshmi  Giri"	"Binay Ku mar Choudhari"	"Su rendra Singh"	""	""	""	""	""
"90"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""	"20"	"21"	"22"	"23"	"24"	"25"	"26"	""
"91"	"75"	"74"	"7"	"66"	"20"	"9"	"12"	"414"	"18"	"28"	"7"	"19"	"15"	"4"	"9"	"4"	"14"	"10"	"5"	""	"5"	"17"	"7"	"690"	"-"	"690"	""	""
"92"	"76"	"75"	"7"	"15"	"6"	"1"	"4"	"413"	"10"	"2"	"4"	"4"	"3"	"0"	"5"	"5"	"3"	"5"	"3"	""	"0"	"17"	"9"	"516"	"-"	"516"	""	""
"93"	"77"	"76"	"9"	"48"	"16"	"1"	"5"	"182"	"13"	"9"	"2"	"21"	"11"	"3"	"28"	"34"	"6"	"22"	"3"	""	"3"	"6"	"1"	"423"	"-"	"423"	""	""
"94"	"78"	"77"	"5"	"42"	"17"	"3"	"2"	"328"	"9"	"4"	"2"	"16"	"11"	"5"	"37"	"10"	"10"	"16"	"2"	""	"3"	"22"	"8"	"552"	"-"	"552"	""	""
"95"	"79"	"78"	"8"	"218"	"17"	"2"	"8"	"13"	"5"	"4"	"2"	"0"	"4"	"11"	"13"	"5"	"64"	"9"	"11"	""	"9"	"36"	"3"	"442"	"-"	"442"	""	""
"96"	"80"	"79"	"7"	"143"	"93"	"1"	"23"	"17"	"7"	"4"	"2"	"1"	"0"	"4"	"8"	"5"	"8"	"0"	"8"	""	"8"	"114"	"15"	"468"	"-"	"468"	""	""
"97"	"81"	"80"	"5"	"123"	"42"	"2"	"37"	"83"	"5"	"3"	"1"	"1"	"1"	"3"	"11"	"2"	"15"	"6"	"17"	""	"7"	"115"	"9"	"488"	"-"	"488"	""	""
"98"	"82"	"81"	"0"	"114"	"38"	"1"	"13"	"52"	"3"	"10"	"0"	"0"	"2"	"1"	"5"	"6"	"17"	"6"	"5"	""	"6"	"39"	"8"	"326"	"-"	"326"	""	""
"99"	"83"	"82"	"9"	"198"	"7"	"7"	"5"	"10"	"2"	"1"	"0"	"0"	"2"	"2"	"4"	"3"	"13"	"8"	"10"	""	"35"	"35"	"14"	"365"	"-"	"365"	""	""
"100"	"84"	"83"	"2"	"47"	"4"	"3"	"11"	"36"	"3"	"12"	"4"	"3"	"1"	"2"	"8"	"9"	"21"	"12"	"3"	""	"6"	"53"	"5"	"245"	"-"	"245"	""	""
"101"	"85"	"84"	"2"	"82"	"11"	"11"	"7"	"17"	"3"	"7"	"0"	"0"	"1"	"2"	"8"	"3"	"121"	"2"	"7"	""	"9"	"39"	"5"	"337"	"-"	"337"	""	""
"102"	"86"	"85"	"2"	"116"	"85"	"3"	"13"	"13"	"2"	"2"	"0"	"3"	"1"	"6"	"10"	"6"	"4"	"9"	"3"	""	"12"	"143"	"2"	"435"	"-"	"435"	""	""
"103"	"87"	"86"	"2"	"120"	"58"	"5"	"15"	"50"	"6"	"7"	"2"	"2"	"2"	"9"	"14"	"8"	"14"	"11"	"6"	""	"5"	"126"	"19"	"481"	"-"	"481"	""	""
"104"	"88"	"87"	"5"	"106"	"30"	"1"	"15"	"16"	"4"	"77"	"1"	"1"	"0"	"3"	"6"	"2"	"14"	"2"	"4"	""	"7"	"41"	"4"	"339"	"-"	"339"	""	""
"105"	"89"	"88"	"8"	"148"	"61"	"4"	"11"	"174"	"12"	"8"	"2"	"4"	"8"	"5"	"11"	"7"	"38"	"10"	"1"	""	"6"	"6"	"4"	"528"	"-"	"528"	""	""
"106"	"90"	"89"	"11"	"100"	"27"	"3"	"33"	"82"	"12"	"31"	"5"	"2"	"6"	"0"	"6"	"4"	"44"	"9"	"19"	""	"21"	"99"	"28"	"542"	"-"	"542"	""	""
"107"	"91"	"90"	"1"	"118"	"92"	"7"	"13"	"104"	"3"	"7"	"2"	"4"	"3"	"4"	"6"	"5"	"19"	"10"	"6"	""	"11"	"57"	"11"	"483"	"-"	"483"	""	""
"108"	"92"	"91"	"8"	"72"	"20"	"1"	"59"	"97"	"5"	"10"	"2"	"3"	"7"	"7"	"5"	"4"	"5"	"13"	"29"	""	"14"	"3"	"7"	"371"	"-"	"371"	""	""
"109"	"93"	"92"	"18"	"133"	"16"	"4"	"128"	"114"	"11"	"9"	"3"	"4"	"9"	"10"	"10"	"11"	"28"	"14"	"55"	""	"56"	"13"	"22"	"668"	"-"	"668"	""	""
"110"	"94"	"93"	"4"	"137"	"26"	"1"	"59"	"113"	"5"	"2"	"1"	"1"	"5"	"3"	"1"	"1"	"7"	"7"	"13"	""	"3"	"1"	"2"	"392"	"-"	"392"	""	""
"111"	"95"	"93A"	"5"	"202"	"10"	"4"	"84"	"29"	"4"	"6"	"1"	"0"	"3"	"2"	"3"	"3"	"17"	"9"	"9"	""	"7"	"9"	"9"	"416"	"-"	"416"	""	""
"112"	"96"	"94"	"11"	"260"	"87"	"5"	"48"	"40"	"3"	"4"	"1"	"2"	"3"	"5"	"2"	"4"	"90"	"2"	"9"	""	"5"	"15"	"2"	"598"	"-"	"598"	""	""
"113"	"97"	"95"	"14"	"351"	"198"	"11"	"37"	"56"	"2"	"17"	"3"	"0"	"2"	"2"	"7"	"5"	"7"	"0"	"4"	""	"7"	"32"	"8"	"763"	"-"	"763"	""	""
"114"	"98"	"96"	"20"	"353"	"116"	"7"	"108"	"32"	"1"	"6"	"1"	"1"	"1"	"4"	"3"	"3"	"16"	"2"	"3"	""	"3"	"10"	"0"	"690"	"-"	"690"	""	""
