"Candidates.Name.BOOTH.NO"	"No..of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"18"	"16"	"479"	"10"	"36"	"17"	"3"	"2"	"3"	"3"	"16"	"1"	"0"	"1"	"4"	"4"	"579"
"19"	"17"	"157"	"12"	"351"	"124"	"13"	"2"	"5"	"7"	"31"	"3"	"6"	"5"	"19"	"13"	"748"
"20"	"18"	"104"	"7"	"538"	"20"	"2"	"1"	"1"	"2"	"27"	"2"	"4"	"6"	"5"	"43"	"762"
"21"	"19"	"216"	"11"	"349"	"30"	"43"	"4"	"3"	"6"	"17"	"28"	"9"	"3"	"18"	"23"	"760"
"22"	"20"	"78"	"7"	"176"	"93"	"5"	"2"	"4"	"2"	"40"	"4"	"12"	"3"	"17"	"25"	"468"
"23"	"21"	"392"	"11"	"217"	"17"	"14"	"6"	"2"	"4"	"13"	"8"	"6"	"5"	"9"	"24"	"728"
"24"	"22"	"196"	"7"	"132"	"60"	"15"	"3"	"5"	"2"	"15"	"21"	"2"	"3"	"7"	"17"	"485"
"25"	"23"	"349"	"18"	"65"	"11"	"10"	"4"	"0"	"0"	"11"	"4"	"1"	"4"	"7"	"26"	"510"
"26"	"24"	"19"	"1"	"115"	"5"	"4"	"2"	"1"	"1"	"37"	"2"	"5"	"3"	"10"	"19"	"224"
"27"	"25"	"254"	"5"	"95"	"0"	"3"	"2"	"3"	"1"	"13"	"1"	"6"	"3"	"5"	"22"	"413"
"28"	"26"	"9"	"4"	"360"	"12"	"2"	"0"	"3"	"2"	"3"	"3"	"10"	"8"	"11"	"24"	"451"
"29"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"31"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"32"	"26 A"	"6"	"6"	"251"	"23"	"4"	"4"	"3"	"2"	"9"	"3"	"10"	"3"	"9"	"51"	"384"
"33"	"27"	"6"	"3"	"306"	"18"	"13"	"1"	"5"	"1"	"46"	"1"	"13"	"7"	"11"	"136"	"567"
"34"	"28"	"19"	"4"	"358"	"12"	"14"	"2"	"3"	"4"	"20"	"2"	"11"	"14"	"7"	"92"	"562"
"35"	"29"	"17"	"9"	"294"	"25"	"9"	"1"	"0"	"5"	"12"	"1"	"21"	"9"	"8"	"109"	"520"
"36"	"30"	"57"	"1"	"270"	"88"	"11"	"3"	"4"	"4"	"208"	"1"	"9"	"4"	"2"	"26"	"688"
"37"	"31"	"64"	"5"	"242"	"61"	"6"	"2"	"0"	"1"	"76"	"2"	"6"	"3"	"9"	"7"	"484"
"38"	"32"	"32"	"5"	"199"	"230"	"15"	"10"	"8"	"7"	"83"	"8"	"11"	"9"	"13"	"30"	"660"
"39"	"33"	"25"	"6"	"354"	"44"	"10"	"9"	"9"	"7"	"82"	"13"	"11"	"2"	"10"	"11"	"593"
"40"	"34"	"11"	"7"	"252"	"13"	"10"	"2"	"3"	"2"	"34"	"12"	"12"	"23"	"23"	"38"	"442"
"41"	"35"	"27"	"12"	"194"	"157"	"13"	"8"	"8"	"11"	"86"	"10"	"20"	"17"	"18"	"27"	"608"
"42"	"36"	"30"	"6"	"292"	"58"	"3"	"0"	"3"	"1"	"19"	"1"	"2"	"2"	"5"	"13"	"435"
"43"	"37"	"7"	"1"	"196"	"14"	"1"	"1"	"1"	"2"	"5"	"1"	"10"	"1"	"2"	"71"	"313"
"44"	"38"	"0"	"1"	"165"	"18"	"26"	"1"	"0"	"1"	"14"	"0"	"3"	"1"	"2"	"70"	"302"
"45"	"39"	"0"	"1"	"85"	"10"	"3"	"0"	"1"	"0"	"17"	"0"	"2"	"1"	"0"	"38"	"158"
"46"	"40"	"3"	"4"	"250"	"31"	"7"	"3"	"0"	"5"	"65"	"2"	"4"	"4"	"8"	"21"	"407"
"47"	"41"	"125"	"5"	"169"	"8"	"1"	"3"	"1"	"4"	"53"	"3"	"6"	"4"	"4"	"33"	"419"
"48"	"42"	"11"	"3"	"369"	"19"	"1"	"1"	"0"	"2"	"23"	"3"	"1"	"6"	"0"	"65"	"504"
"49"	"43"	"11"	"4"	"239"	"20"	"8"	"1"	"0"	"1"	"35"	"2"	"10"	"3"	"9"	"50"	"393"
"50"	"44"	"5"	"1"	"210"	"10"	"0"	"0"	"0"	"0"	"46"	"1"	"3"	"3"	"0"	"42"	"321"
"51"	"45"	"25"	"3"	"225"	"21"	"2"	"3"	"0"	"0"	"19"	"1"	"9"	"9"	"5"	"34"	"356"
"52"	"46"	"9"	"3"	"260"	"27"	"3"	"2"	"1"	"1"	"13"	"3"	"10"	"6"	"0"	"22"	"360"
"53"	"47"	"17"	"2"	"177"	"26"	"4"	"0"	"0"	"1"	"26"	"1"	"9"	"2"	"3"	"25"	"293"
"54"	"48"	"50"	"6"	"309"	"158"	"7"	"3"	"3"	"2"	"24"	"9"	"15"	"13"	"31"	"45"	"675"
"55"	"49"	"81"	"3"	"137"	"42"	"12"	"3"	"1"	"4"	"23"	"1"	"8"	"4"	"12"	"99"	"430"
"56"	"50"	"37"	"5"	"256"	"75"	"10"	"2"	"1"	"6"	"9"	"6"	"15"	"7"	"14"	"46"	"489"
"57"	"51"	"212"	"6"	"83"	"94"	"12"	"1"	"3"	"1"	"68"	"1"	"0"	"4"	"11"	"14"	"510"
"58"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"60"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"61"	"52"	"235"	"7"	"55"	"21"	"6"	"2"	"6"	"8"	"125"	"4"	"4"	"3"	"14"	"20"	"510"
"62"	"53"	"223"	"4"	"130"	"11"	"33"	"5"	"7"	"7"	"16"	"35"	"7"	"8"	"12"	"26"	"524"
"63"	"54"	"388"	"6"	"61"	"3"	"8"	"1"	"4"	"1"	"10"	"26"	"0"	"0"	"8"	"12"	"528"
"64"	"55"	"1"	"1"	"206"	"25"	"5"	"0"	"1"	"1"	"3"	"0"	"2"	"0"	"2"	"19"	"266"
"65"	"56"	"5"	"1"	"184"	"18"	"13"	"1"	"1"	"5"	"16"	"4"	"9"	"6"	"9"	"33"	"305"
"66"	"57"	"28"	"2"	"306"	"52"	"8"	"5"	"3"	"4"	"26"	"7"	"21"	"15"	"14"	"62"	"553"
"67"	"58"	"324"	"8"	"97"	"6"	"5"	"3"	"2"	"1"	"3"	"0"	"4"	"1"	"1"	"6"	"461"
"68"	"59"	"78"	"3"	"149"	"14"	"11"	"0"	"1"	"1"	"6"	"0"	"2"	"1"	"1"	"43"	"310"
"69"	"60"	"10"	"2"	"196"	"24"	"18"	"1"	"2"	"1"	"7"	"1"	"9"	"3"	"5"	"30"	"309"
"70"	"61"	"18"	"0"	"245"	"32"	"6"	"0"	"1"	"1"	"46"	"1"	"4"	"2"	"8"	"45"	"409"
"71"	"62"	"90"	"6"	"400"	"51"	"10"	"3"	"8"	"8"	"34"	"6"	"5"	"10"	"12"	"26"	"669"
"72"	"63"	"236"	"14"	"315"	"21"	"7"	"5"	"3"	"8"	"6"	"1"	"5"	"3"	"8"	"13"	"645"
"73"	"64"	"71"	"2"	"105"	"101"	"3"	"4"	"4"	"1"	"96"	"2"	"3"	"2"	"4"	"11"	"409"
"74"	"65"	"20"	"5"	"93"	"78"	"4"	"2"	"0"	"2"	"63"	"3"	"9"	"2"	"3"	"8"	"292"
"75"	"66"	"26"	"2"	"73"	"68"	"3"	"1"	"2"	"1"	"59"	"0"	"9"	"2"	"0"	"29"	"275"
"76"	"67"	"297"	"9"	"115"	"5"	"5"	"4"	"4"	"2"	"5"	"1"	"3"	"1"	"4"	"8"	"463"
"77"	"68"	"272"	"12"	"89"	"3"	"7"	"1"	"2"	"2"	"18"	"4"	"5"	"6"	"10"	"21"	"452"
"78"	"69"	"75"	"8"	"368"	"38"	"18"	"7"	"21"	"7"	"92"	"61"	"20"	"16"	"19"	"41"	"791"
"79"	"70"	"136"	"4"	"332"	"35"	"22"	"5"	"1"	"1"	"31"	"1"	"4"	"4"	"11"	"7"	"594"
"80"	"71"	"389"	"7"	"45"	"19"	"11"	"2"	"1"	"1"	"46"	"2"	"1"	"2"	"3"	"15"	"544"
"81"	"72"	"350"	"8"	"66"	"3"	"9"	"2"	"2"	"4"	"75"	"6"	"9"	"7"	"13"	"27"	"581"
"82"	"73"	"16"	"8"	"416"	"13"	"39"	"16"	"10"	"9"	"132"	"5"	"21"	"17"	"20"	"17"	"739"
"83"	"74"	"194"	"15"	"266"	"246"	"17"	"11"	"4"	"3"	"18"	"5"	"15"	"12"	"20"	"17"	"843"
"84"	"75"	"436"	"8"	"9"	"2"	"3"	"1"	"3"	"1"	"3"	"1"	"2"	"3"	"1"	"21"	"494"
"85"	"76"	"312"	"9"	"29"	"2"	"5"	"2"	"1"	"0"	"2"	"2"	"1"	"2"	"7"	"7"	"381"
"86"	"77"	"524"	"15"	"124"	"7"	"12"	"3"	"2"	"3"	"4"	"0"	"3"	"7"	"5"	"15"	"724"
"87"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"89"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"90"	"78"	"117"	"14"	"312"	"161"	"23"	"10"	"3"	"8"	"20"	"7"	"13"	"4"	"17"	"21"	"730"
"91"	"79"	"259"	"12"	"467"	"33"	"5"	"19"	"3"	"3"	"5"	"3"	"2"	"5"	"11"	"10"	"837"
"92"	"80"	"322"	"13"	"253"	"57"	"12"	"6"	"3"	"7"	"11"	"5"	"11"	"3"	"12"	"19"	"734"
"93"	"81"	"106"	"7"	"203"	"19"	"5"	"11"	"5"	"4"	"5"	"7"	"14"	"8"	"17"	"15"	"426"
"94"	"82"	"49"	"3"	"61"	"23"	"5"	"1"	"4"	"2"	"344"	"3"	"6"	"3"	"3"	"13"	"520"
"95"	"83"	"126"	"6"	"238"	"58"	"15"	"5"	"2"	"6"	"60"	"6"	"16"	"8"	"14"	"36"	"596"
"96"	"84"	"95"	"9"	"212"	"132"	"12"	"15"	"1"	"7"	"23"	"4"	"14"	"13"	"21"	"43"	"601"
"97"	"85"	"142"	"15"	"474"	"15"	"7"	"6"	"4"	"3"	"10"	"7"	"21"	"8"	"21"	"75"	"808"
"98"	"86"	"201"	"4"	"336"	"6"	"3"	"1"	"1"	"0"	"18"	"3"	"10"	"3"	"3"	"24"	"613"
"99"	"87"	"189"	"4"	"89"	"8"	"7"	"0"	"2"	"1"	"26"	"1"	"1"	"0"	"3"	"7"	"338"
"100"	"88"	"147"	"7"	"242"	"37"	"16"	"5"	"7"	"1"	"9"	"23"	"3"	"0"	"16"	"13"	"526"
"101"	"89"	"135"	"5"	"227"	"18"	"9"	"3"	"1"	"6"	"21"	"1"	"6"	"4"	"4"	"4"	"444"
"102"	"90"	"48"	"4"	"164"	"10"	"9"	"3"	"0"	"0"	"12"	"1"	"3"	"3"	"5"	"3"	"265"
"103"	"90 A"	"67"	"2"	"152"	"13"	"11"	"1"	"1"	"2"	"20"	"3"	"1"	"4"	"0"	"9"	"286"
"104"	"91"	"293"	"9"	"192"	"21"	"12"	"4"	"2"	"1"	"33"	"4"	"5"	"3"	"5"	"14"	"598"
"105"	"92"	"50"	"0"	"42"	"30"	"2"	"0"	"0"	"0"	"31"	"1"	"0"	"0"	"0"	"4"	"160"
"106"	"93"	"41"	"0"	"35"	"13"	"0"	"0"	"0"	"1"	"14"	"0"	"1"	"1"	"5"	"7"	"118"
"107"	"94"	"77"	"6"	"320"	"96"	"25"	"11"	"12"	"27"	"119"	"23"	"10"	"8"	"9"	"27"	"770"
"108"	"95"	"145"	"0"	"224"	"20"	"16"	"1"	"0"	"2"	"125"	"0"	"3"	"0"	"1"	"9"	"546"
"109"	"96"	"15"	"5"	"161"	"143"	"7"	"6"	"20"	"6"	"35"	"182"	"15"	"6"	"8"	"14"	"623"
"110"	"97"	"12"	"2"	"76"	"315"	"9"	"4"	"8"	"3"	"24"	"13"	"19"	"5"	"12"	"16"	"518"
"111"	"98"	"54"	"2"	"170"	"32"	"9"	"0"	"0"	"0"	"30"	"0"	"1"	"0"	"3"	"2"	"303"
"112"	"99"	"43"	"6"	"241"	"56"	"5"	"4"	"1"	"3"	"98"	"4"	"11"	"7"	"9"	"35"	"523"
"113"	"100"	"29"	"4"	"205"	"38"	"3"	"2"	"0"	"1"	"65"	"0"	"5"	"1"	"8"	"8"	"369"
"114"	"101"	"82"	"2"	"253"	"38"	"7"	"3"	"1"	"2"	"56"	"2"	"3"	"3"	"0"	"10"	"462"
"115"	"102"	"19"	"1"	"135"	"158"	"6"	"1"	"1"	"2"	"35"	"2"	"4"	"2"	"11"	"2"	"379"
"116"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"118"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"119"	"103"	"15"	"1"	"173"	"158"	"4"	"1"	"0"	"1"	"47"	"1"	"4"	"2"	"8"	"6"	"421"
"120"	"104"	"35"	"1"	"120"	"105"	"5"	"2"	"0"	"1"	"71"	"0"	"3"	"2"	"3"	"9"	"357"
"121"	"105"	"17"	"0"	"202"	"42"	"3"	"1"	"0"	"1"	"46"	"0"	"5"	"3"	"1"	"15"	"336"
"122"	"106"	"40"	"3"	"205"	"88"	"4"	"1"	"1"	"1"	"46"	"2"	"6"	"3"	"4"	"6"	"410"
"123"	"107"	"62"	"5"	"250"	"164"	"15"	"2"	"0"	"1"	"43"	"2"	"5"	"2"	"2"	"5"	"558"
"124"	"108"	"39"	"3"	"254"	"33"	"3"	"0"	"0"	"1"	"76"	"1"	"3"	"2"	"0"	"14"	"429"
"125"	"109"	"27"	"5"	"284"	"132"	"14"	"2"	"0"	"3"	"167"	"2"	"12"	"1"	"1"	"29"	"679"
"126"	"110"	"60"	"1"	"167"	"24"	"4"	"0"	"0"	"0"	"43"	"0"	"4"	"0"	"0"	"28"	"331"
"127"	"111"	"14"	"2"	"87"	"11"	"6"	"2"	"0"	"1"	"26"	"5"	"8"	"2"	"1"	"83"	"248"
"128"	"112"	"120"	"3"	"183"	"23"	"8"	"3"	"0"	"0"	"70"	"4"	"2"	"4"	"0"	"12"	"432"
"129"	"113"	"78"	"0"	"119"	"15"	"2"	"0"	"5"	"0"	"59"	"2"	"2"	"0"	"0"	"7"	"289"
"130"	"114"	"170"	"1"	"149"	"23"	"7"	"1"	"3"	"1"	"29"	"0"	"5"	"3"	"3"	"9"	"404"
"131"	"115"	"119"	"5"	"134"	"20"	"2"	"1"	"1"	"0"	"54"	"1"	"4"	"2"	"4"	"15"	"362"
"132"	"116"	"432"	"9"	"8"	"6"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"464"
"133"	"117"	"80"	"0"	"69"	"5"	"3"	"0"	"0"	"3"	"19"	"0"	"1"	"1"	"0"	"12"	"193"
"134"	"118"	"493"	"16"	"129"	"9"	"4"	"2"	"1"	"0"	"11"	"2"	"8"	"1"	"5"	"5"	"686"
"135"	"119"	"242"	"5"	"157"	"12"	"7"	"0"	"1"	"6"	"29"	"9"	"17"	"13"	"25"	"38"	"561"
"136"	"120"	"264"	"16"	"293"	"24"	"13"	"2"	"2"	"2"	"22"	"8"	"11"	"17"	"14"	"13"	"701"
"137"	"121"	"282"	"6"	"84"	"65"	"6"	"1"	"0"	"0"	"82"	"1"	"2"	"2"	"5"	"7"	"543"
"138"	"122"	"342"	"8"	"147"	"19"	"9"	"1"	"0"	"2"	"69"	"3"	"9"	"1"	"11"	"20"	"641"
"139"	"123"	"20"	"4"	"161"	"17"	"0"	"1"	"0"	"1"	"42"	"1"	"1"	"2"	"7"	"6"	"263"
"140"	"124"	"123"	"3"	"217"	"29"	"3"	"2"	"3"	"4"	"37"	"10"	"9"	"3"	"6"	"26"	"475"
"141"	"125"	"121"	"3"	"165"	"25"	"19"	"1"	"5"	"0"	"55"	"5"	"5"	"1"	"7"	"27"	"439"
"142"	"126"	"29"	"0"	"308"	"25"	"8"	"1"	"0"	"1"	"55"	"0"	"1"	"0"	"0"	"20"	"448"
"143"	"127"	"22"	"5"	"284"	"25"	"23"	"1"	"0"	"1"	"32"	"0"	"2"	"5"	"0"	"19"	"419"
"144"	"128"	"60"	"0"	"130"	"31"	"1"	"1"	"1"	"0"	"71"	"3"	"7"	"1"	"0"	"18"	"324"
"145"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"147"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"148"	"129"	"120"	"2"	"195"	"37"	"7"	"1"	"4"	"2"	"87"	"6"	"6"	"2"	"6"	"33"	"508"
"149"	"130"	"61"	"1"	"313"	"59"	"6"	"4"	"6"	"5"	"74"	"14"	"6"	"3"	"3"	"42"	"597"
"150"	"131"	"32"	"0"	"129"	"17"	"3"	"0"	"1"	"2"	"55"	"5"	"9"	"1"	"1"	"40"	"295"
"151"	"132"	"28"	"2"	"126"	"10"	"3"	"0"	"4"	"1"	"45"	"12"	"5"	"1"	"3"	"20"	"260"
"152"	"133"	"13"	"6"	"209"	"90"	"0"	"1"	"0"	"0"	"58"	"0"	"1"	"0"	"4"	"20"	"402"
"153"	"134"	"101"	"3"	"239"	"71"	"20"	"6"	"3"	"3"	"114"	"5"	"7"	"6"	"4"	"16"	"598"
"154"	"135"	"244"	"5"	"64"	"18"	"3"	"0"	"1"	"0"	"156"	"3"	"3"	"1"	"2"	"9"	"509"
"155"	"136"	"54"	"1"	"308"	"31"	"4"	"1"	"6"	"2"	"57"	"11"	"5"	"4"	"7"	"13"	"504"
"156"	"137"	"36"	"2"	"287"	"39"	"1"	"3"	"0"	"0"	"47"	"3"	"5"	"1"	"1"	"9"	"434"
"157"	"138"	"7"	"1"	"130"	"24"	"0"	"0"	"0"	"0"	"36"	"0"	"1"	"0"	"2"	"5"	"206"
"158"	"139"	"189"	"8"	"236"	"54"	"6"	"3"	"10"	"5"	"54"	"12"	"16"	"7"	"21"	"23"	"644"
"159"	"140"	"22"	"1"	"216"	"21"	"1"	"0"	"0"	"3"	"30"	"1"	"3"	"4"	"0"	"29"	"331"
"160"	"140 A"	"45"	"2"	"149"	"15"	"2"	"1"	"1"	"1"	"18"	"2"	"3"	"1"	"2"	"13"	"255"
"161"	"141"	"44"	"4"	"233"	"33"	"7"	"0"	"2"	"3"	"30"	"1"	"5"	"4"	"3"	"37"	"406"
"162"	"142"	"84"	"0"	"129"	"50"	"2"	"3"	"0"	"4"	"89"	"1"	"2"	"0"	"1"	"10"	"375"
"163"	"143"	"79"	"0"	"90"	"11"	"2"	"1"	"2"	"0"	"67"	"3"	"4"	"2"	"1"	"12"	"274"
"164"	"144"	"68"	"3"	"130"	"28"	"3"	"1"	"2"	"1"	"59"	"0"	"2"	"0"	"2"	"8"	"307"
"165"	"145"	"14"	"0"	"56"	"14"	"0"	"1"	"0"	"0"	"11"	"0"	"1"	"1"	"2"	"5"	"105"
"166"	"146"	"262"	"2"	"325"	"8"	"25"	"1"	"6"	"6"	"35"	"8"	"3"	"5"	"6"	"13"	"705"
"167"	"147"	"51"	"0"	"164"	"13"	"1"	"0"	"1"	"1"	"27"	"2"	"0"	"0"	"0"	"4"	"264"
"168"	"148"	"35"	"0"	"184"	"34"	"4"	"1"	"3"	"4"	"28"	"3"	"1"	"1"	"1"	"14"	"313"
"169"	"149"	"14"	"2"	"215"	"30"	"4"	"1"	"1"	"2"	"48"	"1"	"6"	"1"	"0"	"20"	"345"
"170"	"150"	"39"	"0"	"270"	"40"	"4"	"0"	"0"	"0"	"53"	"0"	"2"	"2"	"0"	"20"	"430"
"171"	"151"	"116"	"1"	"102"	"24"	"3"	"0"	"4"	"0"	"79"	"0"	"1"	"0"	"1"	"4"	"335"
"172"	"152"	"63"	"2"	"107"	"22"	"0"	"0"	"0"	"1"	"80"	"0"	"1"	"0"	"3"	"10"	"289"
"173"	"153"	"72"	"1"	"123"	"43"	"4"	"1"	"3"	"2"	"137"	"1"	"5"	"1"	"7"	"8"	"408"
"174"	"Candidates Name
BOOTH NO"	"No. of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	""	"ARUN KUMAR"	"ASHOK MAHTO"	"ALOK RANJAN"	"NIRAJ KUMAR GUPTA"	"VINOD KUMAR"	"BHUSHAN YADAV"	"ABHAY KUMAR"	"ASHOK KUMAR YADAV"	"KISHOR KUMAR"	"DAYAKANT TANTI"	"NARESH PRASAD SAH"	"MISHRI LAL YADAV"	"SANJAY KUMAR"	"SANJEEV KUMAR JHA"	"Total Valid Votes"
"176"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"177"	"154"	"48"	"0"	"113"	"9"	"2"	"0"	"0"	"1"	"26"	"1"	"0"	"2"	"3"	"7"	"212"
"178"	"155"	"182"	"6"	"130"	"18"	"3"	"0"	"1"	"1"	"83"	"0"	"2"	"0"	"0"	"14"	"440"
"179"	"156"	"72"	"3"	"270"	"59"	"13"	"6"	"9"	"3"	"82"	"40"	"8"	"8"	"5"	"4"	"582"
"180"	"157"	"104"	"8"	"301"	"24"	"56"	"18"	"30"	"11"	"62"	"218"	"13"	"8"	"13"	"18"	"884"
"181"	"158"	"68"	"5"	"306"	"45"	"20"	"3"	"15"	"5"	"45"	"76"	"9"	"3"	"10"	"21"	"631"
"182"	"159"	"14"	"10"	"126"	"9"	"17"	"7"	"17"	"8"	"351"	"29"	"12"	"4"	"5"	"12"	"621"
"183"	"160"	"181"	"7"	"353"	"25"	"10"	"18"	"30"	"9"	"37"	"88"	"16"	"13"	"18"	"30"	"835"
"184"	"161"	"350"	"12"	"53"	"6"	"3"	"0"	"3"	"2"	"32"	"2"	"4"	"8"	"11"	"20"	"506"
"185"	"162"	"284"	"7"	"38"	"16"	"29"	"5"	"1"	"1"	"96"	"4"	"5"	"4"	"7"	"8"	"505"
"186"	"163"	"288"	"3"	"80"	"21"	"10"	"2"	"2"	"6"	"95"	"2"	"8"	"5"	"7"	"35"	"564"
"187"	"164"	"383"	"9"	"33"	"42"	"34"	"3"	"4"	"6"	"175"	"2"	"6"	"2"	"9"	"21"	"729"
