"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"38"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"39"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"41"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"31"	"7"	"17"	"325"	"292"	"5"	"4"	"8"	"7"	"1"	"17"	"20"	"8"	"13"	"26"	"750"
"43"	"32"	"2"	"17"	"241"	"343"	"6"	"0"	"4"	"1"	"0"	"3"	"8"	"3"	"4"	"4"	"636"
"44"	"33"	"2"	"83"	"137"	"246"	"5"	"0"	"2"	"4"	"0"	"27"	"7"	"0"	"3"	"7"	"523"
"45"	"34"	"6"	"219"	"58"	"44"	"7"	"4"	"3"	"6"	"3"	"71"	"8"	"11"	"5"	"17"	"462"
"46"	"35"	"2"	"63"	"92"	"46"	"1"	"1"	"0"	"6"	"0"	"23"	"3"	"2"	"3"	"4"	"246"
"47"	"36"	"6"	"104"	"127"	"65"	"8"	"160"	"2"	"3"	"3"	"29"	"4"	"7"	"1"	"5"	"524"
"48"	"37"	"2"	"61"	"52"	"35"	"2"	"7"	"1"	"1"	"0"	"21"	"2"	"3"	"0"	"2"	"189"
"49"	"38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"569"
"50"	"39"	"10"	"277"	"106"	"35"	"4"	"0"	"3"	"5"	"4"	"58"	"3"	"10"	"5"	"30"	"550"
"51"	"40"	"9"	"377"	"113"	"83"	"1"	"2"	"1"	"2"	"0"	"48"	"6"	"7"	"3"	"6"	"658"
"52"	"41"	"7"	"322"	"94"	"12"	"2"	"1"	"1"	"5"	"2"	"56"	"4"	"4"	"6"	"9"	"525"
"53"	"42"	"2"	"409"	"68"	"5"	"1"	"2"	"0"	"4"	"1"	"40"	"1"	"2"	"1"	"0"	"536"
"54"	"43"	"2"	"347"	"76"	"41"	"0"	"1"	"0"	"2"	"2"	"48"	"0"	"10"	"3"	"7"	"539"
"55"	"44"	"3"	"321"	"38"	"5"	"1"	"0"	"0"	"1"	"1"	"29"	"0"	"2"	"0"	"1"	"402"
"56"	"45"	"7"	"541"	"80"	"16"	"0"	"0"	"0"	"2"	"2"	"65"	"4"	"8"	"2"	"3"	"730"
"57"	"46"	"9"	"445"	"190"	"25"	"1"	"1"	"1"	"3"	"1"	"71"	"4"	"8"	"11"	"8"	"778"
"58"	"47"	"9"	"63"	"111"	"239"	"7"	"4"	"1"	"6"	"7"	"27"	"23"	"18"	"10"	"21"	"546"
"59"	"48"	"6"	"104"	"104"	"82"	"2"	"2"	"0"	"7"	"3"	"43"	"7"	"3"	"5"	"17"	"385"
"60"	"49"	"9"	"161"	"177"	"17"	"1"	"0"	"5"	"3"	"1"	"30"	"3"	"0"	"6"	"8"	"421"
"61"	"49"	"7"	"138"	"139"	"11"	"1"	"0"	"2"	"5"	"1"	"40"	"10"	"7"	"6"	"19"	"386"
"62"	"50"	"2"	"111"	"24"	"64"	"1"	"0"	"1"	"1"	"1"	"34"	"1"	"3"	"5"	"7"	"255"
"63"	"51"	"1"	"146"	"56"	"76"	"2"	"0"	"1"	"1"	"0"	"12"	"1"	"2"	"2"	"3"	"303"
"64"	"52"	"14"	"230"	"121"	"162"	"10"	"1"	"5"	"13"	"3"	"51"	"9"	"10"	"7"	"8"	"644"
"65"	"53"	"13"	"225"	"14"	"122"	"8"	"5"	"3"	"0"	"2"	"25"	"6"	"4"	"8"	"11"	"446"
"66"	"54"	"2"	"109"	"137"	"15"	"0"	"5"	"0"	"4"	"1"	"24"	"6"	"5"	"3"	"3"	"314"
"67"	"55"	"3"	"281"	"185"	"69"	"7"	"2"	"3"	"12"	"1"	"70"	"5"	"8"	"4"	"21"	"671"
"68"	"56"	"10"	"26"	"181"	"21"	"2"	"1"	"2"	"0"	"1"	"13"	"0"	"3"	"0"	"3"	"263"
"69"	"57"	"7"	"32"	"137"	"158"	"5"	"0"	"7"	"5"	"4"	"19"	"19"	"17"	"10"	"15"	"435"
"70"	"58"	"4"	"157"	"95"	"12"	"2"	"4"	"0"	"2"	"1"	"29"	"1"	"0"	"2"	"8"	"317"
"71"	"59"	"10"	"327"	"234"	"33"	"7"	"2"	"2"	"7"	"3"	"81"	"8"	"16"	"7"	"11"	"748"
"72"	"60"	"4"	"56"	"758"	"11"	"1"	"1"	"2"	"1"	"1"	"6"	"3"	"6"	"3"	"6"	"859"
"73"	"61"	"3"	"53"	"221"	"24"	"3"	"0"	"2"	"4"	"3"	"10"	"2"	"2"	"1"	"12"	"340"
"74"	"62"	"3"	"30"	"234"	"34"	"4"	"4"	"3"	"5"	"1"	"7"	"4"	"5"	"1"	"4"	"339"
"75"	"63"	"6"	"676"	"11"	"5"	"0"	"0"	"0"	"1"	"1"	"35"	"0"	"6"	"9"	"8"	"758"
"76"	"64"	"1"	"55"	"83"	"48"	"1"	"0"	"1"	"0"	"2"	"9"	"1"	"3"	"0"	"4"	"208"
"77"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"78"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"80"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"64"	"4"	"61"	"105"	"72"	"3"	"0"	"0"	"2"	"8"	"16"	"1"	"3"	"0"	"1"	"276"
"82"	"65"	"9"	"205"	"163"	"16"	"1"	"0"	"0"	"4"	"2"	"48"	"7"	"9"	"7"	"6"	"477"
"83"	"66"	"2"	"60"	"226"	"205"	"5"	"4"	"3"	"3"	"4"	"22"	"7"	"3"	"10"	"13"	"567"
"84"	"67"	"5"	"209"	"188"	"104"	"3"	"1"	"3"	"4"	"4"	"41"	"2"	"6"	"6"	"7"	"583"
"85"	"68"	"7"	"170"	"203"	"7"	"3"	"2"	"2"	"1"	"0"	"29"	"1"	"5"	"7"	"10"	"447"
"86"	"69"	"2"	"180"	"218"	"115"	"4"	"0"	"2"	"6"	"5"	"63"	"4"	"15"	"9"	"12"	"635"
"87"	"70"	"13"	"232"	"165"	"29"	"4"	"2"	"4"	"9"	"0"	"71"	"3"	"4"	"6"	"23"	"565"
"88"	"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"576"
"89"	"72"	"8"	"320"	"202"	"13"	"10"	"0"	"1"	"5"	"0"	"32"	"6"	"9"	"10"	"10"	"626"
"90"	"73"	"1"	"166"	"122"	"4"	"1"	"2"	"0"	"2"	"0"	"39"	"4"	"1"	"0"	"6"	"348"
"91"	"74"	"4"	"260"	"148"	"56"	"4"	"2"	"2"	"3"	"2"	"67"	"6"	"4"	"3"	"16"	"577"
"92"	"75"	"12"	"340"	"104"	"22"	"1"	"0"	"0"	"2"	"1"	"51"	"2"	"5"	"4"	"18"	"562"
"93"	"76"	"4"	"486"	"163"	"25"	"2"	"1"	"2"	"6"	"2"	"73"	"0"	"6"	"5"	"6"	"781"
"94"	"77"	"6"	"269"	"154"	"69"	"3"	"2"	"1"	"8"	"2"	"65"	"7"	"12"	"5"	"16"	"619"
"95"	"78"	"5"	"159"	"199"	"108"	"3"	"1"	"3"	"5"	"4"	"42"	"11"	"7"	"1"	"12"	"560"
"96"	"79"	"5"	"179"	"115"	"32"	"4"	"0"	"2"	"6"	"1"	"39"	"5"	"6"	"12"	"9"	"415"
"97"	"80"	"6"	"193"	"133"	"133"	"9"	"0"	"1"	"6"	"1"	"38"	"5"	"8"	"14"	"18"	"565"
"98"	"81"	"5"	"84"	"114"	"26"	"8"	"1"	"4"	"2"	"0"	"37"	"4"	"7"	"1"	"7"	"300"
"99"	"82"	"9"	"266"	"114"	"63"	"2"	"1"	"1"	"4"	"1"	"53"	"6"	"4"	"3"	"7"	"534"
"100"	"83"	"7"	"240"	"233"	"43"	"6"	"2"	"3"	"7"	"1"	"57"	"1"	"6"	"1"	"8"	"615"
"101"	"84"	"4"	"164"	"24"	"20"	"1"	"0"	"0"	"1"	"0"	"10"	"1"	"0"	"2"	"4"	"231"
"102"	"85"	"5"	"178"	"103"	"13"	"21"	"1"	"2"	"1"	"1"	"47"	"6"	"12"	"5"	"18"	"413"
"103"	"86"	"6"	"70"	"117"	"56"	"5"	"3"	"2"	"5"	"0"	"12"	"2"	"4"	"4"	"2"	"288"
"104"	"87"	"9"	"31"	"140"	"381"	"18"	"5"	"1"	"8"	"6"	"9"	"11"	"7"	"10"	"12"	"648"
"105"	"88"	"2"	"144"	"65"	"315"	"13"	"3"	"3"	"8"	"3"	"71"	"12"	"12"	"9"	"16"	"676"
"106"	"89"	"6"	"208"	"146"	"14"	"0"	"1"	"0"	"4"	"2"	"52"	"3"	"1"	"2"	"8"	"447"
"107"	"90"	"1"	"49"	"48"	"75"	"33"	"1"	"2"	"6"	"0"	"11"	"3"	"4"	"1"	"2"	"236"
"108"	"91"	"2"	"135"	"176"	"21"	"2"	"0"	"0"	"1"	"0"	"25"	"1"	"5"	"5"	"5"	"378"
"109"	"92"	"4"	"147"	"120"	"107"	"9"	"0"	"0"	"4"	"3"	"55"	"4"	"1"	"6"	"5"	"465"
"110"	"93"	"14"	"312"	"198"	"13"	"7"	"2"	"5"	"4"	"0"	"59"	"4"	"2"	"2"	"7"	"629"
"111"	"94"	"10"	"311"	"152"	"11"	"0"	"3"	"0"	"8"	"4"	"55"	"4"	"8"	"4"	"16"	"586"
"112"	"95"	"15"	"299"	"154"	"14"	"3"	"0"	"4"	"5"	"2"	"26"	"4"	"4"	"0"	"9"	"539"
"113"	"96"	"4"	"38"	"215"	"134"	"5"	"1"	"1"	"4"	"5"	"24"	"10"	"15"	"3"	"9"	"468"
"114"	"97"	"9"	"5"	"23"	"640"	"14"	"0"	"2"	"7"	"0"	"4"	"14"	"7"	"10"	"9"	"744"
"115"	"98"	"10"	"11"	"199"	"398"	"11"	"3"	"2"	"10"	"3"	"9"	"15"	"5"	"9"	"14"	"699"
"116"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"117"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"119"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"99"	"2"	"150"	"95"	"139"	"15"	"2"	"5"	"1"	"8"	"91"	"9"	"11"	"7"	"31"	"566"
"121"	"100"	"3"	"107"	"133"	"99"	"4"	"1"	"0"	"5"	"3"	"34"	"5"	"3"	"5"	"6"	"408"
"122"	"101"	"9"	"123"	"95"	"80"	"8"	"0"	"3"	"5"	"3"	"16"	"3"	"16"	"3"	"46"	"410"
"123"	"102"	"9"	"47"	"54"	"143"	"5"	"2"	"4"	"4"	"3"	"27"	"20"	"143"	"5"	"10"	"476"
"124"	"103"	"2"	"8"	"154"	"255"	"5"	"2"	"1"	"10"	"2"	"2"	"3"	"9"	"3"	"3"	"459"
"125"	"104"	"11"	"291"	"342"	"12"	"10"	"2"	"4"	"6"	"2"	"66"	"8"	"14"	"7"	"23"	"798"
"126"	"105"	"8"	"226"	"148"	"24"	"3"	"0"	"3"	"8"	"4"	"82"	"3"	"13"	"8"	"13"	"543"
"127"	"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"102"
"128"	"107"	"12"	"223"	"19"	"2"	"0"	"0"	"1"	"0"	"1"	"21"	"0"	"11"	"2"	"2"	"294"
"129"	"108"	"5"	"81"	"313"	"39"	"3"	"2"	"1"	"6"	"0"	"25"	"4"	"7"	"8"	"22"	"516"
"130"	"109"	"7"	"75"	"220"	"113"	"3"	"0"	"0"	"4"	"2"	"26"	"5"	"19"	"8"	"15"	"497"
"131"	"110"	"8"	"116"	"183"	"105"	"0"	"1"	"3"	"3"	"3"	"39"	"10"	"17"	"13"	"27"	"528"
"132"	"111"	"20"	"300"	"130"	"142"	"3"	"2"	"4"	"13"	"5"	"56"	"10"	"51"	"24"	"19"	"779"
"133"	"112"	"8"	"103"	"121"	"133"	"9"	"3"	"3"	"8"	"4"	"42"	"6"	"14"	"5"	"18"	"477"
"134"	"113"	"3"	"43"	"144"	"163"	"11"	"4"	"1"	"7"	"1"	"24"	"13"	"28"	"10"	"14"	"466"
"135"	"114"	"12"	"239"	"167"	"42"	"2"	"1"	"1"	"2"	"0"	"22"	"6"	"48"	"16"	"20"	"578"
"136"	"115"	"4"	"260"	"89"	"4"	"0"	"0"	"0"	"2"	"0"	"17"	"2"	"6"	"2"	"3"	"389"
"137"	"116"	"6"	"42"	"109"	"166"	"5"	"2"	"0"	"3"	"1"	"10"	"5"	"1"	"3"	"3"	"356"
"138"	"117"	"7"	"322"	"341"	"18"	"6"	"3"	"2"	"7"	"5"	"32"	"11"	"23"	"14"	"19"	"810"
"139"	"118"	"19"	"16"	"161"	"394"	"10"	"3"	"3"	"9"	"1"	"4"	"13"	"3"	"6"	"10"	"652"
"140"	"119"	"5"	"114"	"91"	"9"	"1"	"0"	"3"	"0"	"4"	"22"	"6"	"71"	"4"	"11"	"341"
"141"	"120"	"7"	"251"	"91"	"10"	"0"	"1"	"1"	"3"	"0"	"9"	"1"	"12"	"1"	"1"	"388"
"142"	"121"	"10"	"80"	"141"	"54"	"1"	"0"	"2"	"6"	"2"	"12"	"2"	"7"	"2"	"11"	"330"
"143"	"122"	"2"	"137"	"60"	"8"	"2"	"4"	"2"	"4"	"0"	"33"	"3"	"158"	"1"	"5"	"419"
"144"	"123"	"8"	"141"	"140"	"18"	"4"	"3"	"5"	"2"	"2"	"42"	"5"	"215"	"6"	"12"	"603"
"145"	"124"	"11"	"187"	"84"	"15"	"1"	"1"	"2"	"2"	"1"	"37"	"7"	"80"	"13"	"36"	"477"
"146"	"125"	"3"	"48"	"40"	"10"	"6"	"2"	"2"	"2"	"1"	"19"	"10"	"227"	"3"	"5"	"378"
"147"	"126"	"3"	"135"	"203"	"83"	"5"	"3"	"0"	"2"	"1"	"21"	"6"	"11"	"4"	"9"	"486"
"148"	"127"	"7"	"205"	"73"	"2"	"1"	"1"	"0"	"3"	"1"	"35"	"5"	"9"	"5"	"16"	"363"
"149"	"128"	"1"	"192"	"59"	"16"	"1"	"11"	"2"	"4"	"0"	"22"	"2"	"1"	"1"	"4"	"316"
"150"	"129"	"3"	"108"	"34"	"52"	"1"	"3"	"0"	"1"	"1"	"36"	"3"	"2"	"2"	"4"	"250"
"151"	"130"	"2"	"65"	"33"	"64"	"1"	"9"	"0"	"2"	"1"	"18"	"0"	"6"	"2"	"2"	"205"
"152"	"131"	"0"	"54"	"58"	"78"	"2"	"8"	"2"	"4"	"2"	"29"	"3"	"4"	"2"	"9"	"255"
"153"	"132"	"5"	"169"	"86"	"31"	"1"	"4"	"1"	"4"	"4"	"24"	"2"	"3"	"8"	"12"	"354"
"154"	"133"	"10"	"125"	"132"	"125"	"4"	"1"	"4"	"11"	"3"	"45"	"11"	"42"	"13"	"18"	"544"
"155"	"ASSEMBLY CONSTITUENCY: 164-TARAUR"	""	""	""	""	""	""	"NO OF VOTERS: 251328"	""	""	""	""	""	""	""	""
"156"	"NO OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"CANDIDATES NAME"	"OM PRAKASH SAHNI"	"NEETA CHOUDHARY"	"SHAKUNI CHOUDHARY"	"SANJAY KUMAR"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"DEVANAND SINGH"	"NARAYAN YADAV"	"MANOJ KUMAR MADHUKAR"	"RAMAN KUMAR"	"SHRAVAN KUMAR"	"SUMITRA DEVI"	"ASHOK KUMAR SINGH"	"RAM PRASAD SAH"	"TOTAL VALID VOTES"
"158"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"134"	"4"	"73"	"91"	"59"	"5"	"0"	"2"	"4"	"0"	"23"	"8"	"110"	"7"	"12"	"398"
"160"	"135"	"3"	"113"	"314"	"25"	"0"	"1"	"2"	"1"	"3"	"37"	"5"	"13"	"7"	"9"	"533"
"161"	"136"	"8"	"154"	"57"	"22"	"5"	"0"	"3"	"2"	"1"	"33"	"3"	"8"	"15"	"19"	"330"
"162"	"137"	"5"	"31"	"112"	"59"	"4"	"1"	"1"	"8"	"0"	"8"	"3"	"3"	"1"	"8"	"244"
"163"	"138"	"0"	"90"	"65"	"90"	"1"	"13"	"2"	"1"	"4"	"5"	"5"	"2"	"2"	"2"	"282"
"164"	"139"	"4"	"25"	"163"	"119"	"6"	"1"	"1"	"18"	"1"	"12"	"4"	"3"	"2"	"5"	"364"
"165"	"140"	"3"	"259"	"13"	"41"	"0"	"4"	"0"	"3"	"2"	"37"	"17"	"6"	"9"	"18"	"412"
"166"	"141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"396"
"167"	"142"	"6"	"288"	"11"	"28"	"1"	"10"	"4"	"5"	"2"	"50"	"14"	"7"	"6"	"18"	"450"
"168"	"143"	"1"	"111"	"19"	"4"	"1"	"17"	"1"	"0"	"1"	"19"	"3"	"0"	"1"	"7"	"185"
"169"	"144"	"9"	"125"	"72"	"65"	"3"	"6"	"2"	"6"	"3"	"49"	"9"	"5"	"6"	"18"	"378"
"170"	"145"	"3"	"65"	"5"	"7"	"1"	"5"	"0"	"10"	"0"	"23"	"71"	"2"	"0"	"1"	"193"
"171"	"146"	"4"	"101"	"9"	"21"	"1"	"5"	"2"	"16"	"0"	"23"	"139"	"3"	"3"	"8"	"335"
"172"	"147"	"14"	"200"	"193"	"87"	"6"	"18"	"13"	"11"	"2"	"28"	"9"	"22"	"3"	"8"	"614"
"173"	"148"	"11"	"113"	"97"	"19"	"0"	"1"	"0"	"3"	"1"	"15"	"2"	"0"	"1"	"2"	"265"
"174"	"149"	"13"	"19"	"136"	"125"	"7"	"12"	"2"	"12"	"0"	"6"	"6"	"1"	"3"	"15"	"357"
"175"	"150"	"8"	"153"	"20"	"17"	"0"	"0"	"1"	"59"	"1"	"34"	"0"	"6"	"5"	"4"	"308"
"176"	"151"	"2"	"135"	"167"	"43"	"1"	"0"	"1"	"17"	"2"	"37"	"11"	"45"	"5"	"18"	"484"
"177"	"152"	"8"	"83"	"119"	"114"	"5"	"2"	"3"	"11"	"4"	"58"	"11"	"12"	"8"	"19"	"457"
"178"	"153"	"7"	"172"	"23"	"5"	"1"	"2"	"1"	"1"	"1"	"67"	"0"	"0"	"0"	"7"	"287"
"179"	"154"	"14"	"119"	"54"	"2"	"0"	"0"	"0"	"2"	"0"	"36"	"3"	"2"	"1"	"3"	"236"
"180"	"155"	"6"	"203"	"204"	"15"	"2"	"3"	"0"	"1"	"2"	"63"	"15"	"6"	"3"	"9"	"532"
"181"	"156"	"2"	"367"	"49"	"21"	"1"	"0"	"1"	"3"	"5"	"51"	"2"	"4"	"5"	"10"	"521"
"182"	"157"	"11"	"472"	"117"	"10"	"1"	"0"	"2"	"1"	"0"	"41"	"1"	"9"	"1"	"3"	"669"
"183"	"158"	"8"	"378"	"116"	"25"	"1"	"0"	"2"	"3"	"1"	"38"	"3"	"8"	"6"	"13"	"602"
"184"	"159"	"1"	"272"	"107"	"12"	"2"	"4"	"0"	"3"	"2"	"70"	"10"	"24"	"28"	"32"	"567"
"185"	"160"	"2"	"391"	"81"	"8"	"1"	"1"	"3"	"6"	"2"	"51"	"14"	"11"	"12"	"22"	"605"
"186"	"161"	"6"	"137"	"266"	"11"	"1"	"1"	"4"	"3"	"1"	"19"	"6"	"7"	"3"	"6"	"471"
"187"	"162"	"12"	"343"	"41"	"19"	"2"	"1"	"0"	"2"	"3"	"32"	"1"	"10"	"7"	"0"	"473"
"188"	"163"	"2"	"199"	"39"	"12"	"3"	"1"	"1"	"1"	"0"	"76"	"9"	"12"	"13"	"15"	"383"
"189"	"164"	"11"	"422"	"54"	"20"	"2"	"0"	"1"	"6"	"2"	"79"	"1"	"5"	"3"	"4"	"610"
"190"	"165"	"2"	"212"	"42"	"8"	"1"	"0"	"0"	"2"	"0"	"36"	"0"	"0"	"1"	"7"	"311"
"191"	"166"	"6"	"234"	"99"	"63"	"2"	"1"	"2"	"3"	"1"	"26"	"5"	"3"	"5"	"6"	"456"
"192"	"167"	"2"	"94"	"167"	"116"	"5"	"1"	"0"	"0"	"0"	"12"	"2"	"4"	"1"	"3"	"407"
"193"	"168"	"15"	"260"	"192"	"50"	"4"	"2"	"3"	"3"	"4"	"86"	"4"	"29"	"4"	"6"	"662"
