"Assembly.Constituency..047...Raniganj..SC."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"39"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"40"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"41"	""	""	""	""	""	""	""	""	""	""	""
"42"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"43"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"44"	"27"	"9"	"24"	"14"	"237"	"28"	""	"4"	"4"	"6"	"326"
"45"	"28"	"26"	"100"	"72"	"241"	"41"	""	"4"	"4"	"10"	"498"
"46"	"29"	"22"	"232"	"23"	"27"	"36"	""	"0"	"4"	"6"	"350"
"47"	"30"	"17"	"46"	"34"	"160"	"16"	""	"7"	"2"	"3"	"285"
"48"	"31"	"15"	"16"	"271"	"41"	"14"	""	"2"	"12"	"7"	"378"
"49"	"32"	"7"	"17"	"276"	"96"	"24"	""	"6"	"12"	"35"	"473"
"50"	"33"	"33"	"21"	"371"	"103"	"34"	""	"8"	"6"	"8"	"584"
"51"	"34"	"22"	"12"	"189"	"149"	"224"	""	"17"	"10"	"10"	"633"
"52"	"35"	"27"	"19"	"158"	"149"	"93"	""	"11"	"9"	"10"	"476"
"53"	"36"	"0"	"13"	"199"	"56"	"209"	""	"11"	"9"	"6"	"503"
"54"	"37"	"18"	"10"	"501"	"214"	"105"	""	"22"	"13"	"14"	"897"
"55"	"38"	"24"	"14"	"177"	"274"	"39"	""	"8"	"6"	"13"	"555"
"56"	"39"	"13"	"6"	"172"	"419"	"30"	""	"17"	"14"	"36"	"707"
"57"	"40"	"15"	"13"	"376"	"42"	"16"	""	"10"	"11"	"18"	"501"
"58"	"41"	"12"	"9"	"173"	"290"	"22"	""	"39"	"19"	"44"	"608"
"59"	"42"	"7"	"3"	"364"	"107"	"45"	""	"4"	"5"	"8"	"543"
"60"	"43"	"8"	"4"	"258"	"236"	"18"	""	"13"	"10"	"15"	"562"
"61"	"44"	"18"	"4"	"286"	"312"	"24"	""	"13"	"18"	"29"	"704"
"62"	"45"	"13"	"1"	"268"	"431"	"25"	""	"7"	"9"	"23"	"777"
"63"	"46"	"7"	"2"	"428"	"18"	"12"	""	"0"	"0"	"3"	"470"
"64"	"47"	"5"	"7"	"379"	"66"	"24"	""	"3"	"5"	"6"	"495"
"65"	"48"	"21"	"12"	"174"	"277"	"17"	""	"5"	"3"	"5"	"514"
"66"	"49"	"24"	"16"	"299"	"192"	"173"	""	"7"	"9"	"10"	"730"
"67"	"50"	"25"	"12"	"491"	"271"	"30"	""	"13"	"12"	"18"	"872"
"68"	"51"	"10"	"7"	"87"	"405"	"52"	""	"9"	"10"	"11"	"591"
"69"	"52"	"20"	"12"	"38"	"579"	"83"	""	"6"	"3"	"4"	"745"
"70"	"53"	"17"	"4"	"95"	"356"	""	"165"	"9"	"7"	"25"	"678"
"71"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"72"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"73"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"74"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"75"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"76"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"77"	""	""	""	""	""	""	""	""	""	""	""
"78"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"79"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"80"	"54"	"9"	"2"	"306"	"73"	"7"	""	"1"	"4"	"5"	"407"
"81"	"55"	"18"	"6"	"224"	"415"	"38"	""	"4"	"12"	"12"	"729"
"82"	"56"	"11"	"10"	"540"	"85"	"39"	""	"17"	"7"	"26"	"735"
"83"	"57"	"5"	"3"	"479"	"78"	"16"	""	"6"	"6"	"4"	"597"
"84"	"58"	"19"	"9"	"297"	"79"	"19"	""	"4"	"53"	"8"	"488"
"85"	"59"	"10"	"8"	"374"	"130"	"19"	""	"8"	"9"	"12"	"570"
"86"	"60"	"17"	"10"	"547"	"56"	"60"	""	"11"	"11"	"15"	"727"
"87"	"61"	"12"	"6"	"620"	"30"	"7"	""	"6"	"9"	"16"	"706"
"88"	"62"	"16"	"12"	"339"	"279"	"19"	""	"17"	"7"	"28"	"717"
"89"	"63"	"32"	"7"	"132"	"387"	"44"	""	"12"	"5"	"18"	"637"
"90"	"64"	"22"	"9"	"702"	"69"	"10"	""	"11"	"7"	"12"	"842"
"91"	"65"	"21"	"21"	"367"	"238"	"34"	""	"18"	"20"	"39"	"758"
"92"	"66"	"18"	"10"	"304"	"226"	"28"	""	"5"	"11"	"12"	"614"
"93"	"67"	"16"	"7"	"221"	"263"	"68"	""	"8"	"3"	"7"	"593"
"94"	"68"	"7"	"3"	"175"	"190"	"5"	""	"3"	"2"	"6"	"391"
"95"	"69"	"23"	"6"	"244"	"362"	"34"	""	"17"	"9"	"46"	"741"
"96"	"70"	"11"	"4"	"20"	"379"	"22"	""	"7"	"3"	"9"	"455"
"97"	"71"	"7"	"2"	"95"	"258"	"23"	""	"9"	"7"	"18"	"419"
"98"	"72"	"9"	"14"	"539"	"132"	"13"	""	"15"	"9"	"19"	"750"
"99"	"73"	"32"	"17"	"72"	"463"	"36"	""	"12"	"6"	"20"	"658"
"100"	"74"	"28"	"12"	"46"	"400"	"44"	""	"9"	"7"	"16"	"562"
"101"	"75"	"18"	"1"	"30"	"519"	"38"	""	"4"	"4"	"18"	"632"
"102"	"76"	"19"	"10"	"60"	"295"	"77"	""	"5"	"10"	"9"	"485"
"103"	"77"	"26"	"6"	"83"	"233"	"82"	""	"5"	"6"	"9"	"450"
"104"	"78"	"27"	"11"	"37"	"366"	"191"	""	"14"	"8"	"16"	"670"
"105"	"79"	"21"	"8"	"213"	"132"	"30"	""	"9"	"6"	"13"	"432"
"106"	"80"	"16"	"8"	"344"	"130"	""	"6"	"8"	"9"	"5"	"526"
"107"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"108"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"109"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"110"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"111"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"112"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"113"	""	""	""	""	""	""	""	""	""	""	""
"114"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"116"	"81"	"8"	"7"	"285"	"183"	"52"	""	"12"	"5"	"12"	"564"
"117"	"82"	"9"	"5"	"81"	"296"	"27"	""	"7"	"12"	"13"	"450"
"118"	"83"	"14"	"4"	"132"	"248"	"10"	""	"4"	"2"	"2"	"416"
"119"	"84"	"9"	"6"	"426"	"76"	"7"	""	"5"	"1"	"4"	"534"
"120"	"85"	"18"	"17"	"545"	"50"	"11"	""	"12"	"18"	"13"	"684"
"121"	"86"	"18"	"9"	"496"	"34"	"10"	""	"6"	"6"	"10"	"589"
"122"	"87"	"7"	"3"	"477"	"26"	"11"	""	"6"	"3"	"7"	"540"
"123"	"88"	"8"	"7"	"809"	"72"	"21"	""	"13"	"14"	"25"	"969"
"124"	"89"	"19"	"2"	"441"	"283"	"25"	""	"12"	"20"	"47"	"849"
"125"	"90"	"8"	"9"	"603"	"78"	"14"	""	"4"	"2"	"5"	"723"
"126"	"91"	"18"	"6"	"358"	"204"	"20"	""	"3"	"10"	"16"	"635"
"127"	"92"	"26"	"12"	"539"	"218"	"13"	""	"9"	"12"	"15"	"844"
"128"	"93"	"19"	"13"	"360"	"82"	"19"	""	"7"	"3"	"8"	"511"
"129"	"94"	"12"	"11"	"411"	"111"	"55"	""	"4"	"7"	"7"	"618"
"130"	"95"	"32"	"10"	"297"	"199"	"29"	""	"11"	"5"	"9"	"592"
"131"	"96"	"5"	"11"	"442"	"125"	"30"	""	"13"	"7"	"13"	"646"
"132"	"97"	"14"	"4"	"160"	"80"	"22"	""	"6"	"6"	"23"	"315"
"133"	"98"	"28"	"12"	"480"	"155"	"53"	""	"11"	"8"	"19"	"766"
"134"	"99"	"12"	"12"	"411"	"259"	"48"	""	"1"	"5"	"3"	"751"
"135"	"100"	"21"	"18"	"667"	"86"	"18"	""	"16"	"11"	"15"	"852"
"136"	"101"	"21"	"9"	"422"	"160"	"62"	""	"8"	"9"	"24"	"715"
"137"	"102"	"51"	"21"	"365"	"406"	"37"	""	"12"	"6"	"12"	"910"
"138"	"103"	"12"	"4"	"524"	"186"	"42"	""	"3"	"6"	"29"	"806"
"139"	"104"	"9"	"7"	"575"	"53"	"20"	""	"4"	"8"	"4"	"680"
"140"	"105"	"5"	"2"	"362"	"28"	"35"	""	"3"	"2"	"10"	"447"
"141"	"106"	"5"	"2"	"241"	"247"	"42"	""	"3"	"5"	"11"	"556"
"142"	"107"	"8"	"2"	"112"	"215"	""	"37"	"7"	"6"	"23"	"410"
"143"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"144"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"145"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"146"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"147"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"148"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"149"	""	""	""	""	""	""	""	""	""	""	""
"150"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"151"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"152"	"108"	"5"	"6"	"672"	"91"	"27"	""	"4"	"7"	"8"	"820"
"153"	"109"	"27"	"19"	"423"	"212"	"34"	""	"15"	"10"	"15"	"755"
"154"	"110"	"21"	"15"	"410"	"279"	"39"	""	"9"	"20"	"36"	"829"
"155"	"111"	"16"	"10"	"527"	"157"	"63"	""	"4"	"25"	"20"	"822"
"156"	"112"	"2"	"2"	"609"	"16"	"67"	""	"3"	"2"	"7"	"708"
"157"	"113"	"35"	"16"	"259"	"241"	"169"	""	"15"	"18"	"26"	"779"
"158"	"114"	"10"	"9"	"147"	"262"	"69"	""	"10"	"6"	"12"	"525"
"159"	"115"	"21"	"5"	"78"	"313"	"155"	""	"29"	"11"	"31"	"643"
"160"	"116"	"6"	"4"	"238"	"60"	"44"	""	"9"	"6"	"15"	"382"
"161"	"117"	"13"	"8"	"343"	"151"	"46"	""	"14"	"10"	"17"	"602"
"162"	"118"	"22"	"12"	"402"	"254"	"25"	""	"4"	"3"	"5"	"727"
"163"	"119"	"14"	"5"	"35"	"297"	"83"	""	"5"	"5"	"13"	"457"
"164"	"120"	"11"	"7"	"123"	"311"	"52"	""	"9"	"7"	"7"	"527"
"165"	"121"	"14"	"16"	"486"	"23"	"36"	""	"5"	"16"	"14"	"610"
"166"	"122"	"21"	"7"	"255"	"148"	"11"	""	"14"	"11"	"34"	"501"
"167"	"123"	"19"	"11"	"335"	"64"	"36"	""	"4"	"10"	"13"	"492"
"168"	"124"	"30"	"11"	"446"	"56"	"39"	""	"7"	"12"	"12"	"613"
"169"	"125"	"14"	"4"	"168"	"143"	"27"	""	"4"	"5"	"23"	"388"
"170"	"126"	"13"	"6"	"295"	"114"	"11"	""	"4"	"7"	"2"	"452"
"171"	"127"	"20"	"11"	"379"	"230"	"23"	""	"10"	"13"	"9"	"695"
"172"	"128"	"9"	"3"	"40"	"126"	"30"	""	"3"	"5"	"4"	"220"
"173"	"129"	"20"	"20"	"118"	"427"	"74"	""	"12"	"6"	"8"	"685"
"174"	"130"	"13"	"5"	"92"	"318"	"13"	""	"3"	"5"	"5"	"454"
"175"	"131"	"9"	"3"	"120"	"332"	"14"	""	"7"	"3"	"7"	"495"
"176"	"132"	"20"	"4"	"212"	"405"	"20"	""	"3"	"6"	"16"	"686"
"177"	"133"	"9"	"10"	"230"	"172"	"52"	""	"3"	"6"	"6"	"488"
"178"	"134"	"4"	"3"	"213"	"127"	""	"94"	"7"	"8"	"26"	"482"
"179"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"180"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"181"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"182"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"183"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"184"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"185"	""	""	""	""	""	""	""	""	""	""	""
"186"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"187"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"188"	"135"	"23"	"19"	"612"	"73"	"16"	""	"6"	"8"	"4"	"761"
"189"	"136"	"14"	"3"	"112"	"197"	"130"	""	"6"	"9"	"22"	"493"
"190"	"137"	"12"	"6"	"190"	"94"	"24"	""	"7"	"5"	"6"	"344"
"191"	"138"	"22"	"10"	"297"	"166"	"40"	""	"10"	"15"	"12"	"572"
"192"	"139"	"16"	"7"	"248"	"83"	"15"	""	"8"	"5"	"6"	"388"
"193"	"140"	"19"	"7"	"436"	"130"	"81"	""	"8"	"12"	"36"	"729"
"194"	"141"	"16"	"8"	"163"	"91"	"61"	""	"6"	"2"	"7"	"354"
"195"	"142"	"3"	"2"	"102"	"77"	"109"	""	"7"	"4"	"4"	"308"
"196"	"143"	"21"	"6"	"248"	"146"	"18"	""	"8"	"2"	"13"	"462"
"197"	"144"	"10"	"13"	"474"	"26"	"59"	""	"13"	"12"	"30"	"637"
"198"	"145"	"9"	"3"	"218"	"63"	"24"	""	"2"	"2"	"1"	"322"
"199"	"146"	"14"	"4"	"201"	"171"	"27"	""	"4"	"5"	"14"	"440"
"200"	"147"	"18"	"6"	"80"	"339"	"36"	""	"5"	"6"	"15"	"505"
"201"	"148"	"43"	"17"	"322"	"222"	"58"	""	"16"	"4"	"21"	"703"
"202"	"149"	"6"	"3"	"24"	"241"	"120"	""	"13"	"6"	"23"	"436"
"203"	"150"	"40"	"10"	"62"	"344"	"54"	""	"6"	"8"	"15"	"539"
"204"	"151"	"15"	"11"	"130"	"108"	"363"	""	"11"	"6"	"19"	"663"
"205"	"152"	"7"	"3"	"256"	"174"	"21"	""	"7"	"6"	"8"	"482"
"206"	"153"	"9"	"5"	"41"	"272"	"69"	""	"5"	"8"	"6"	"415"
"207"	"154"	"12"	"16"	"363"	"142"	"66"	""	"21"	"19"	"23"	"662"
"208"	"155"	"10"	"7"	"302"	"114"	"200"	""	"7"	"12"	"18"	"670"
"209"	"156"	"24"	"2"	"126"	"382"	"33"	""	"5"	"3"	"11"	"586"
"210"	"157"	"16"	"10"	"559"	"43"	"17"	""	"4"	"5"	"13"	"667"
"211"	"158"	"15"	"14"	"230"	"179"	"37"	""	"4"	"3"	"7"	"489"
"212"	"158A"	"30"	"11"	"173"	"223"	"16"	""	"3"	"14"	"13"	"483"
"213"	"159"	"21"	"13"	"637"	"74"	"66"	""	"13"	"17"	"24"	"865"
"214"	"160"	"26"	"8"	"110"	"585"	""	"40"	"13"	"7"	"9"	"798"
"215"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"216"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"217"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"218"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"219"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"220"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"221"	""	""	""	""	""	""	""	""	""	""	""
"222"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"223"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"224"	"161"	"11"	"4"	"70"	"260"	"20"	""	"4"	"4"	"9"	"382"
"225"	"162"	"36"	"12"	"420"	"253"	"32"	""	"20"	"14"	"57"	"844"
"226"	"163"	"16"	"14"	"246"	"61"	"18"	""	"6"	"4"	"12"	"377"
"227"	"164"	"68"	"23"	"331"	"29"	"37"	""	"9"	"18"	"216"	"731"
"228"	"165"	"0"	"6"	"233"	"52"	"21"	""	"0"	"2"	"4"	"318"
"229"	"166"	"17"	"10"	"387"	"201"	"54"	""	"13"	"23"	"20"	"725"
"230"	"167"	"25"	"11"	"464"	"33"	"32"	""	"5"	"19"	"32"	"621"
"231"	"168"	"10"	"4"	"405"	"75"	"14"	""	"4"	"4"	"11"	"527"
"232"	"169"	"5"	"5"	"277"	"134"	"19"	""	"9"	"8"	"15"	"472"
"233"	"170"	"6"	"3"	"210"	"61"	"3"	""	"3"	"3"	"6"	"295"
"234"	"171"	"24"	"8"	"278"	"312"	"14"	""	"4"	"6"	"14"	"660"
"235"	"172"	"22"	"6"	"316"	"481"	"29"	""	"6"	"16"	"29"	"905"
"236"	"173"	"16"	"11"	"463"	"88"	"10"	""	"11"	"19"	"28"	"646"
"237"	"174"	"13"	"15"	"280"	"170"	"35"	""	"1"	"8"	"11"	"533"
"238"	"175"	"14"	"11"	"345"	"96"	"11"	""	"12"	"10"	"9"	"508"
"239"	"176"	"22"	"8"	"553"	"33"	"51"	""	"9"	"15"	"10"	"701"
"240"	"177"	"8"	"8"	"394"	"201"	"23"	""	"4"	"3"	"11"	"652"
"241"	"178"	"14"	"11"	"222"	"112"	"31"	""	"7"	"11"	"8"	"416"
"242"	"179"	"9"	"5"	"224"	"62"	"8"	""	"4"	"6"	"8"	"326"
"243"	"180"	"20"	"8"	"107"	"316"	"30"	""	"11"	"10"	"28"	"530"
"244"	"181"	"15"	"9"	"141"	"236"	"21"	""	"10"	"6"	"12"	"450"
"245"	"182"	"11"	"10"	"191"	"270"	"26"	""	"4"	"7"	"11"	"530"
"246"	"183"	"15"	"14"	"345"	"229"	"27"	""	"13"	"13"	"11"	"667"
"247"	"184"	"8"	"7"	"226"	"174"	"18"	""	"7"	"6"	"3"	"449"
"248"	"185"	"21"	"9"	"302"	"190"	"53"	""	"18"	"18"	"18"	"629"
"249"	"186"	"6"	"6"	"248"	"27"	"65"	""	"5"	"3"	"12"	"372"
"250"	"187"	"3"	"7"	"312"	"97"	""	"9"	"9"	"9"	"17"	"463"
"251"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"252"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"253"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"254"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"255"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
"256"	"Candidates  Name"	"KAUSHALYA DEVI"	"DHANIK LAL PASWAN"	"PARMANAND RISHIDEO"	"SHANTI DEVI"	"HARI PRASAD BAISHANTREE"	""	"KAMESHWAR PASWAN"	"RANDHEER PASWAN"	"SURESH RISHIDEO"	"Total Valid Votes"
"257"	""	""	""	""	""	""	""	""	""	""	""
"258"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""
"259"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"11"
"260"	"188"	"41"	"22"	"413"	"75"	"25"	""	"7"	"4"	"10"	"597"
"261"	"189"	"15"	"10"	"104"	"371"	"59"	""	"16"	"13"	"24"	"612"
"262"	"190"	"25"	"6"	"174"	"297"	"14"	""	"10"	"4"	"16"	"546"
"263"	"191"	"12"	"5"	"129"	"138"	"7"	""	"3"	"3"	"4"	"301"
"264"	"192"	"24"	"11"	"209"	"385"	"24"	""	"21"	"26"	"31"	"731"
"265"	"193"	"21"	"8"	"185"	"348"	"41"	""	"9"	"15"	"25"	"652"
"266"	"194"	"26"	"14"	"89"	"406"	"79"	""	"10"	"10"	"13"	"647"
"267"	"195"	"32"	"14"	"469"	"32"	"7"	""	"8"	"7"	"4"	"573"
"268"	"196"	"31"	"19"	"243"	"308"	"30"	""	"19"	"15"	"18"	"683"
"269"	"197"	"20"	"12"	"511"	"157"	"37"	""	"10"	"9"	"16"	"772"
"270"	"198"	"28"	"12"	"372"	"123"	"29"	""	"8"	"4"	"11"	"587"
"271"	"199"	"18"	"9"	"227"	"180"	"19"	""	"9"	"18"	"38"	"518"
"272"	"200"	"21"	"15"	"213"	"220"	"34"	""	"6"	"7"	"25"	"541"
"273"	"201"	"14"	"13"	"246"	"234"	"100"	""	"20"	"12"	"23"	"662"
"274"	"202"	"17"	"5"	"310"	"10"	"38"	""	"4"	"3"	"5"	"392"
"275"	"203"	"23"	"7"	"367"	"149"	"27"	""	"17"	"5"	"31"	"626"
"276"	"204"	"26"	"16"	"494"	"104"	"16"	""	"14"	"15"	"16"	"701"
"277"	"205"	"26"	"17"	"416"	"65"	"20"	""	"18"	"13"	"14"	"589"
"278"	"206"	"11"	"10"	"403"	"216"	"40"	""	"16"	"55"	"59"	"810"
"279"	"207"	"20"	"12"	"419"	"119"	"53"	""	"13"	"45"	"52"	"733"
"280"	"208"	"0"	"2"	"159"	"29"	"14"	""	"8"	"13"	"15"	"240"
"281"	"209"	"21"	"10"	"478"	"174"	"39"	""	"14"	"25"	"15"	"776"
"282"	"210"	"32"	"29"	"578"	"159"	"68"	""	"21"	"33"	"38"	"958"
"283"	"211"	"17"	"13"	"434"	"218"	"50"	""	"9"	"4"	"17"	"762"
"284"	"212"	"14"	"12"	"307"	"262"	"24"	""	"5"	"4"	"14"	"642"
"285"	"213"	"37"	"16"	"645"	"36"	"54"	""	"17"	"27"	"20"	"852"
"286"	"214"	"26"	"8"	"440"	"105"	""	"24"	"9"	"23"	"15"	"650"
"287"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""
"288"	"Assembly Constituency :047---Raniganj (SC)"	""	""	""	""	""	""	""	""	""	""
"289"	"Form-20"	""	""	""	""	""	""	""	""	""	""
"290"	"No of Voters :229649"	""	""	""	""	""	""	""	""	""	""
"291"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""
