"BOOTH.NO"	"JAI.PRAKASH.PANDAY"	"MEENA.DWIVEDI"	"RABINDRA.MISHRA"	"RAJU.TIWARI"	"SHARDA.NAND.PANDAY"	"JITENDARA.KUMAR.GUPTA"	"AMBIKA.YADAV"	"KALYAN.SWARUP.TIWARI"	"RATAN.KUMAR.SINGH"	"RAVINDRA.DUBEY"	"RAMTAPSYA.SINGH"	"VIJAY.KUMAR"	"TOTAL"
"27"	NA	105	102	4	14	8	1	3	5	23	5	117	15	402
"28"	24	90	143	4	111	2	7	6	7	108	6	8	26	518
"29"	25	120	195	3	92	1	5	3	6	87	4	4	22	542
"30"	26	152	100	4	119	6	2	4	8	35	1	1	5	437
"31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"32"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"33"	27	97	105	5	178	27	5	14	11	72	8	11	38	571
"34"	28	138	193	2	46	0	3	2	5	90	4	6	10	499
"35"	29	46	231	5	153	5	2	4	8	62	5	2	22	545
"36"	30	32	192	3	37	18	2	10	5	58	1	16	27	401
"37"	31	15	182	7	18	20	2	3	4	44	3	40	12	350
"38"	32	75	137	4	79	5	3	6	4	35	9	175	18	550
"39"	33	26	112	4	92	6	4	8	6	22	3	160	29	472
"40"	34	4	55	2	101	2	1	9	8	14	4	146	15	361
"41"	35	13	223	6	150	20	4	10	4	22	3	53	19	527
"42"	36	50	160	5	116	5	1	8	6	249	2	7	7	616
"43"	37	14	264	14	101	14	5	5	2	28	8	9	22	486
"44"	38	93	446	15	113	9	11	5	4	44	8	8	45	801
"45"	39	49	346	11	86	37	3	8	3	50	7	8	20	628
"46"	40	45	127	5	347	8	4	12	8	35	11	17	36	655
"47"	41	103	349	6	107	7	3	15	2	28	4	15	34	673
"48"	42	16	219	8	284	13	7	3	6	65	1	7	29	658
"49"	43	33	578	14	64	16	3	10	0	22	4	12	23	779
"50"	44	23	311	9	271	14	6	9	6	34	12	19	22	736
"51"	45	44	177	1	114	4	1	6	3	69	5	11	11	446
"52"	46	97	244	6	241	25	3	10	16	32	7	15	17	713
"53"	47	22	218	18	381	24	11	31	15	26	12	12	43	813
"54"	48	35	206	5	171	8	3	6	3	67	2	8	19	533
"55"	49	7	141	2	96	4	3	5	4	29	1	4	8	304
"56"	50	54	346	4	77	5	2	3	3	56	2	10	23	585
"57"	51	22	172	3	149	7	4	9	15	20	2	7	18	428
"58"	52	19	233	4	121	14	3	12	5	28	5	4	19	467
"59"	53	12	227	3	69	3	4	7	12	284	10	6	28	665
"60"	54	65	390	13	87	28	5	11	6	89	2	7	14	717
"61"	55	70	165	2	50	7	1	1	1	42	6	7	13	365
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"63"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"64"	56	37	132	5	92	7	6	11	5	165	3	4	2	469
"65"	57	112	253	4	222	8	4	13	8	19	7	2	19	671
"66"	58	84	252	7	175	9	7	5	9	38	11	13	30	640
"67"	59	27	123	4	83	6	2	9	9	10	1	15	23	312
"68"	60	25	54	9	304	21	6	18	14	17	3	8	25	504
"69"	61	14	116	2	229	25	2	9	3	12	1	3	9	425
"70"	62	50	205	4	144	12	3	2	5	38	0	1	8	472
"71"	63	103	108	3	102	9	2	4	1	17	1	38	25	413
"72"	64	41	89	4	185	12	1	7	5	17	3	21	16	401
"73"	65	93	271	2	46	7	2	5	4	15	0	23	13	481
"74"	66	42	339	12	81	12	6	8	7	14	1	3	15	540
"75"	67	53	167	5	227	12	10	11	7	36	0	8	26	562
"76"	NA	13	133	6	86	3	3	2	3	8	6	2	10	275
"77"	68	19	297	10	40	3	0	5	3	20	3	7	24	431
"78"	69	47	339	6	163	9	1	6	9	15	1	4	12	612
"79"	70	20	132	5	149	3	0	7	3	2	1	9	8	339
"80"	71	8	54	2	110	1	1	10	2	3	2	2	4	199
"81"	72	96	248	8	110	5	0	1	5	11	4	5	17	510
"82"	NA	12	127	2	97	0	3	2	4	17	0	4	8	276
"83"	73	154	334	8	109	27	1	7	4	40	4	20	32	740
"84"	74	61	326	7	91	13	1	3	4	12	4	4	16	542
"85"	75	81	282	3	148	2	3	5	2	6	1	3	19	555
"86"	76	18	301	9	57	12	5	7	1	76	1	9	27	523
"87"	77	23	235	5	127	9	6	7	6	27	2	2	12	461
"88"	78	24	394	2	140	5	1	3	4	11	2	19	17	622
"89"	79	42	105	3	138	5	1	1	0	2	0	3	5	305
"90"	80	21	48	3	323	18	0	31	4	15	0	5	7	475
"91"	81	28	232	10	86	2	2	8	3	3	2	9	19	404
"92"	82	21	207	7	150	17	2	4	3	21	3	21	12	468
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"95"	83	101	141	5	144	3	3	17	4	22	3	10	15	468
"96"	84	96	138	8	119	2	5	2	6	28	7	16	29	456
"97"	85	92	116	2	294	7	4	10	12	16	0	4	15	572
"98"	86	89	107	6	66	6	6	4	7	94	6	8	28	427
"99"	87	60	29	0	208	1	0	0	1	18	1	0	3	321
"100"	88	41	105	11	191	7	1	8	0	9	0	1	4	378
"101"	89	24	44	4	281	24	5	9	5	29	5	2	7	439
"102"	90	31	130	9	126	5	2	6	4	9	4	12	25	363
"103"	91	8	72	3	294	10	4	6	8	11	2	3	25	446
"104"	92	13	24	5	445	8	3	6	3	6	1	0	6	520
"105"	93	38	30	2	623	3	1	3	2	10	8	3	20	743
"106"	94	46	74	5	327	13	3	13	10	17	3	7	34	552
"107"	95	12	49	4	199	5	2	3	5	14	2	2	11	308
"108"	96	32	226	6	81	9	2	8	5	10	2	11	4	396
"109"	97	72	228	8	103	32	8	13	3	21	6	45	28	567
"110"	98	110	202	4	131	4	5	23	6	14	0	15	37	551
"111"	99	92	183	6	55	0	4	7	3	5	2	14	25	396
"112"	100	39	68	2	231	13	4	77	17	10	4	1	18	484
"113"	NA	22	23	5	140	10	7	108	20	14	6	13	41	409
"114"	101	14	105	2	78	8	4	65	4	16	3	9	14	322
"115"	102	44	147	7	156	11	23	210	21	26	7	16	18	686
"116"	103	28	195	7	144	10	19	153	13	21	9	9	27	635
"117"	104	108	72	4	84	4	6	5	2	10	4	22	8	329
"118"	105	102	167	11	128	9	4	24	12	9	2	12	11	491
"119"	106	108	46	6	171	12	2	10	8	12	4	5	8	392
"120"	107	152	51	2	167	10	2	4	9	8	2	7	14	428
"121"	108	127	22	1	83	1	3	6	3	9	3	6	17	281
"122"	NA	49	101	3	95	8	3	21	9	32	7	13	35	376
"123"	109	83	123	6	146	7	4	4	4	29	1	2	3	412
"124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"125"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"126"	110	61	112	0	91	4	0	4	7	33	6	0	7	325
"127"	NA	34	114	2	24	7	7	4	28	87	8	8	10	333
"128"	111	68	132	3	55	2	3	7	118	18	4	3	17	430
"129"	112	37	104	3	66	4	1	4	35	18	5	2	9	288
"130"	113	63	114	9	183	28	5	18	59	49	6	5	10	549
"131"	114	218	145	1	97	4	1	5	10	27	3	5	6	522
"132"	115	86	208	6	99	3	3	9	6	85	3	2	20	530
"133"	116	41	32	1	12	3	2	5	8	546	6	2	6	664
"134"	117	130	27	0	18	8	1	0	3	136	1	3	4	331
"135"	118	76	264	12	184	11	2	6	5	22	2	5	13	602
"136"	119	82	237	13	108	19	4	8	3	15	2	5	18	514
"137"	120	69	111	5	85	6	2	4	4	328	1	4	7	626
"138"	121	63	72	6	135	10	6	15	11	324	8	10	11	671
"139"	122	20	259	3	63	1	1	0	0	4	0	1	3	355
"140"	123	67	106	7	210	10	6	7	10	19	1	4	14	461
"141"	124	37	143	6	207	9	1	3	4	6	2	4	13	435
"142"	125	34	151	0	8	16	2	0	1	26	4	10	11	263
"143"	126	40	20	2	11	372	2	1	2	3	4	9	3	469
"144"	127	67	125	3	73	2	2	2	1	25	4	8	19	331
"145"	128	166	85	8	69	13	10	7	3	23	141	10	9	544
"146"	129	300	23	4	31	21	2	4	4	6	0	4	15	414
"147"	130	33	211	16	121	9	3	5	3	17	4	14	20	456
"148"	131	528	40	1	1	0	0	0	0	6	0	1	6	583
"149"	132	41	234	1	182	15	4	2	10	56	4	8	15	572
"150"	133	51	200	10	116	7	12	5	6	15	7	6	17	452
"151"	134	247	63	1	54	3	0	0	3	11	0	4	13	399
"152"	135	56	171	3	125	13	3	8	8	120	2	4	15	528
"153"	136	55	72	1	81	7	1	3	2	29	2	2	7	262
"154"	137	26	199	5	123	3	3	8	1	82	1	7	8	466
"155"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"156"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"157"	138	116	160	2	57	1	3	3	0	63	2	9	16	432
"158"	139	20	318	3	180	7	3	7	6	112	2	5	18	681
"159"	140	95	248	6	162	14	5	0	1	111	1	4	16	663
"160"	141	157	137	3	81	7	4	2	4	124	1	3	3	526
"161"	142	80	68	6	156	7	5	7	15	133	8	3	18	506
"162"	NA	147	91	0	78	4	1	8	1	33	3	4	10	380
"163"	143	40	189	4	202	6	5	7	15	52	4	7	14	545
"164"	144	45	59	13	429	22	11	21	18	37	8	7	28	698
"165"	145	162	93	4	195	57	8	6	12	65	5	14	21	642
"166"	146	94	164	18	86	8	4	8	4	47	0	8	4	445
"167"	147	44	90	10	281	49	6	25	10	162	5	11	58	751
"168"	148	59	177	3	187	16	0	3	7	88	5	7	11	563
"169"	149	178	86	1	195	14	3	6	7	139	0	3	5	637
"170"	150	49	175	9	81	4	3	6	12	158	5	8	23	533
"171"	151	77	195	2	43	5	5	2	5	38	6	8	25	411
"172"	152	150	48	4	105	7	2	4	13	99	2	6	9	449
"173"	153	86	62	4	231	36	1	8	12	49	3	4	19	515
"174"	154	163	91	4	92	19	4	2	6	21	6	0	19	427
"175"	155	70	99	5	246	15	1	7	8	63	2	5	10	531
"176"	156	21	219	4	252	4	3	8	9	42	7	7	24	600
"177"	157	31	213	8	185	9	2	4	2	10	0	0	15	479
"178"	158	67	86	3	91	6	0	6	4	97	5	5	14	384
"179"	159	135	85	6	151	18	6	11	17	67	7	18	56	577
"180"	160	110	160	5	178	11	0	10	6	29	10	18	32	569
"181"	161	20	76	4	52	0	2	4	6	287	2	2	10	465
"182"	162	44	69	0	54	0	3	8	1	4	0	6	18	207
"183"	163	65	389	12	114	8	5	3	3	20	3	1	10	633
"184"	164	42	150	1	155	2	0	2	5	53	0	3	9	422
"185"	165	28	278	9	219	3	4	3	3	30	10	10	16	613
"186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"188"	166	81	345	5	140	22	2	7	5	26	8	10	35	686
"189"	167	54	218	7	198	6	6	12	8	18	2	5	17	551
"190"	168	123	310	7	70	3	4	10	5	28	2	3	10	575
"191"	169	195	132	9	88	36	2	4	7	19	2	4	11	509
"192"	170	28	277	4	142	9	2	5	4	30	1	9	34	545
"193"	171	86	231	10	226	16	4	24	3	21	4	17	10	652
"194"	172	51	209	3	46	22	2	2	3	26	2	2	21	389
"195"	173	36	131	2	41	44	5	5	2	33	12	4	9	324
"196"	174	62	247	7	75	13	4	1	5	11	4	8	21	458
"197"	175	48	184	4	127	2	1	3	7	13	5	4	24	422
"198"	176	108	371	3	151	15	4	8	5	19	5	7	23	719
"199"	177	50	199	5	135	17	7	11	12	35	6	8	27	512
"200"	NA	32	148	6	94	6	1	3	3	8	1	5	7	314
"201"	178	90	272	2	150	12	6	5	10	21	3	1	28	600
"202"	179	167	279	2	75	20	7	11	6	26	0	1	15	609
"203"	180	72	391	4	85	7	10	7	3	16	1	1	8	605
"204"	181	168	151	7	124	10	8	6	8	42	4	8	27	563
"205"	182	41	268	7	76	2	3	15	6	17	0	6	15	456
"206"	NA	145	161	4	31	1	0	1	1	6	3	0	13	366
"207"	183	60	249	11	89	5	3	7	5	14	1	5	14	463
"208"	NA	13071	33859	1041	25454	2311	725	1918	1394	10277	863	3094	3393	97400
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0
"211"	NA	13071	33859	1041	25454	2311	725	1918	1394	10277	863	3094	3393	97400
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	1	2	3	4	5	6	7	8	9	10	11	12	13	14
"215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
