"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"26"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"27"	"BF"	"911"	"813"	"1950"	"1690"	"86"	"35"	"82"	"307"	"37"	"131"	"6042"	"0"	"6042"	"0"
"28"	"15"	"9"	"48"	"125"	"87"	"5"	"2"	"4"	"3"	"1"	"0"	"284"	"0"	"284"	"0"
"29"	"16"	"175"	"95"	"189"	"152"	"20"	"3"	"11"	"24"	"9"	"16"	"694"	"0"	"694"	"0"
"30"	"17"	"60"	"84"	"183"	"102"	"11"	"6"	"6"	"5"	"6"	"6"	"469"	"0"	"469"	"0"
"31"	"18"	"32"	"47"	"204"	"76"	"8"	"6"	"21"	"17"	"3"	"10"	"424"	"0"	"424"	"0"
"32"	"19"	"82"	"9"	"38"	"93"	"3"	"2"	"2"	"8"	"1"	"4"	"242"	"0"	"242"	"0"
"33"	"20"	"85"	"54"	"127"	"179"	"7"	"4"	"5"	"17"	"3"	"10"	"491"	"0"	"491"	"0"
"34"	"21"	"9"	"76"	"126"	"6"	"1"	"1"	"0"	"2"	"1"	"0"	"222"	"0"	"222"	"0"
"35"	"22"	"29"	"66"	"102"	"218"	"10"	"1"	"2"	"9"	"5"	"10"	"452"	"0"	"452"	"0"
"36"	"23"	"75"	"38"	"45"	"90"	"3"	"0"	"6"	"2"	"1"	"7"	"267"	"0"	"267"	"0"
"37"	"24"	"9"	"23"	"182"	"69"	"8"	"0"	"2"	"9"	"1"	"12"	"315"	"0"	"315"	"0"
"38"	"25"	"150"	"54"	"157"	"142"	"11"	"3"	"34"	"6"	"4"	"21"	"582"	"0"	"582"	"0"
"39"	"26"	"33"	"47"	"56"	"163"	"7"	"4"	"8"	"0"	"3"	"13"	"334"	"0"	"334"	"0"
"40"	"27"	"111"	"76"	"265"	"234"	"16"	"1"	"12"	"17"	"8"	"24"	"764"	"0"	"764"	"0"
"41"	"28"	"64"	"38"	"198"	"190"	"52"	"6"	"9"	"1"	"4"	"8"	"570"	"0"	"570"	"0"
"42"	"TOTAL"	"1834"	"1568"	"3947"	"3491"	"248"	"74"	"204"	"427"	"87"	"272"	"12152"	"0"	"12152"	"0"
"43"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"44"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"45"	"BF"	"1834"	"1568"	"3947"	"3491"	"248"	"74"	"204"	"427"	"87"	"272"	"12152"	"0"	"12152"	"0"
"46"	"29"	"4"	"8"	"240"	"64"	"12"	"12"	"3"	"5"	"1"	"1"	"350"	"0"	"350"	"0"
"47"	"30"	"20"	"25"	"253"	"188"	"9"	"8"	"5"	"6"	"1"	"2"	"517"	"0"	"517"	"0"
"48"	"30 A"	"2"	"2"	"67"	"267"	"4"	"2"	"1"	"1"	"0"	"4"	"350"	"0"	"350"	"0"
"49"	"31"	"12"	"73"	"166"	"114"	"10"	"3"	"3"	"7"	"4"	"4"	"396"	"0"	"396"	"0"
"50"	"32"	"5"	"25"	"236"	"113"	"8"	"3"	"1"	"3"	"2"	"6"	"402"	"0"	"402"	"0"
"51"	"33"	"228"	"87"	"74"	"39"	"1"	"1"	"1"	"2"	"3"	"5"	"441"	"0"	"441"	"0"
"52"	"34"	"73"	"87"	"240"	"201"	"7"	"3"	"4"	"10"	"0"	"8"	"633"	"0"	"633"	"0"
"53"	"35"	"103"	"37"	"159"	"146"	"5"	"5"	"5"	"54"	"5"	"12"	"531"	"0"	"531"	"0"
"54"	"36"	"159"	"62"	"421"	"190"	"5"	"4"	"5"	"8"	"2"	"8"	"864"	"0"	"864"	"0"
"55"	"37"	"30"	"42"	"236"	"100"	"2"	"1"	"3"	"8"	"2"	"10"	"434"	"0"	"434"	"0"
"56"	"38"	"19"	"19"	"175"	"195"	"11"	"2"	"3"	"3"	"2"	"3"	"432"	"0"	"432"	"0"
"57"	"39"	"11"	"7"	"188"	"235"	"11"	"1"	"3"	"6"	"2"	"9"	"473"	"0"	"473"	"0"
"58"	"40"	"425"	"34"	"61"	"30"	"3"	"0"	"1"	"5"	"0"	"7"	"566"	"0"	"566"	"0"
"59"	"41"	"2"	"27"	"237"	"24"	"0"	"1"	"0"	"7"	"1"	"2"	"301"	"0"	"301"	"0"
"60"	"TOTAL"	"2927"	"2103"	"6700"	"5397"	"336"	"120"	"242"	"552"	"112"	"353"	"18842"	"0"	"18842"	"0"
"61"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"62"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"63"	"BF"	"2927"	"2103"	"6700"	"5397"	"336"	"120"	"242"	"552"	"112"	"353"	"18842"	"0"	"18842"	"0"
"64"	"42"	"55"	"134"	"98"	"114"	"10"	"0"	"168"	"2"	"4"	"7"	"592"	"0"	"592"	"0"
"65"	"43"	"12"	"99"	"315"	"255"	"13"	"4"	"73"	"11"	"9"	"39"	"830"	"0"	"830"	"0"
"66"	"44"	"14"	"65"	"145"	"71"	"1"	"1"	"21"	"8"	"4"	"15"	"345"	"0"	"345"	"0"
"67"	"45"	"5"	"96"	"263"	"210"	"10"	"3"	"4"	"4"	"2"	"6"	"603"	"0"	"603"	"0"
"68"	"46"	"15"	"111"	"192"	"92"	"9"	"3"	"2"	"7"	"3"	"6"	"440"	"0"	"440"	"0"
"69"	"47"	"25"	"44"	"114"	"86"	"6"	"1"	"0"	"3"	"0"	"1"	"280"	"0"	"280"	"0"
"70"	"48"	"14"	"34"	"151"	"129"	"9"	"3"	"11"	"5"	"0"	"0"	"356"	"0"	"356"	"0"
"71"	"49"	"6"	"91"	"103"	"11"	"5"	"2"	"65"	"3"	"1"	"1"	"288"	"0"	"288"	"0"
"72"	"50"	"4"	"79"	"79"	"122"	"7"	"2"	"21"	"4"	"1"	"10"	"329"	"0"	"329"	"0"
"73"	"51"	"35"	"207"	"131"	"182"	"25"	"6"	"147"	"7"	"12"	"16"	"768"	"0"	"768"	"0"
"74"	"52"	"46"	"52"	"238"	"197"	"6"	"1"	"14"	"6"	"1"	"2"	"563"	"0"	"563"	"0"
"75"	"53"	"19"	"47"	"56"	"321"	"12"	"6"	"26"	"11"	"6"	"15"	"519"	"0"	"519"	"0"
"76"	"54"	"11"	"9"	"161"	"176"	"5"	"0"	"4"	"3"	"0"	"0"	"369"	"0"	"369"	"0"
"77"	"55"	"36"	"21"	"120"	"12"	"3"	"0"	"2"	"2"	"1"	"0"	"197"	"0"	"197"	"0"
"78"	"TOTAL"	"3224"	"3192"	"8866"	"7375"	"457"	"152"	"800"	"628"	"156"	"471"	"25321"	"0"	"25321"	"0"
"79"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"80"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"81"	"BF"	"3224"	"3192"	"8866"	"7375"	"457"	"152"	"800"	"628"	"156"	"471"	"25321"	"0"	"25321"	"0"
"82"	"56"	"19"	"15"	"166"	"42"	"6"	"1"	"4"	"1"	"2"	"2"	"258"	"0"	"258"	"0"
"83"	"57"	"8"	"12"	"66"	"66"	"5"	"2"	"3"	"18"	"1"	"7"	"188"	"0"	"188"	"0"
"84"	"58"	"12"	"97"	"132"	"41"	"3"	"0"	"3"	"4"	"0"	"11"	"303"	"0"	"303"	"0"
"85"	"59"	"78"	"92"	"147"	"47"	"6"	"1"	"1"	"2"	"2"	"6"	"382"	"0"	"382"	"0"
"86"	"60"	"6"	"42"	"178"	"9"	"9"	"1"	"4"	"1"	"0"	"1"	"251"	"0"	"251"	"0"
"87"	"61"	"129"	"8"	"111"	"122"	"11"	"1"	"2"	"5"	"1"	"8"	"398"	"0"	"398"	"0"
"88"	"62"	"134"	"25"	"159"	"240"	"4"	"3"	"3"	"7"	"6"	"11"	"592"	"0"	"592"	"0"
"89"	"63"	"7"	"19"	"157"	"168"	"7"	"2"	"2"	"4"	"0"	"7"	"373"	"0"	"373"	"0"
"90"	"63 A"	"129"	"90"	"36"	"91"	"0"	"1"	"1"	"3"	"0"	"1"	"352"	"0"	"352"	"0"
"91"	"64"	"16"	"23"	"199"	"55"	"13"	"2"	"5"	"13"	"5"	"5"	"336"	"0"	"336"	"0"
"92"	"65"	"116"	"35"	"447"	"100"	"18"	"3"	"5"	"11"	"4"	"20"	"759"	"0"	"759"	"0"
"93"	"66"	"13"	"16"	"376"	"60"	"11"	"1"	"3"	"8"	"5"	"9"	"502"	"0"	"502"	"0"
"94"	"67"	"257"	"59"	"152"	"23"	"5"	"0"	"9"	"3"	"1"	"5"	"514"	"0"	"514"	"0"
"95"	"68"	"31"	"30"	"270"	"58"	"8"	"3"	"18"	"14"	"1"	"16"	"449"	"0"	"449"	"0"
"96"	"TOTAL"	"4179"	"3755"	"11462"	"8497"	"563"	"173"	"863"	"722"	"184"	"580"	"30978"	"0"	"30978"	"0"
"97"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"98"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"99"	"BF"	"4179"	"3755"	"11462"	"8497"	"563"	"173"	"863"	"722"	"184"	"580"	"30978"	"0"	"30978"	"0"
"100"	"69"	"467"	"32"	"101"	"97"	"6"	"5"	"7"	"14"	"0"	"41"	"770"	"0"	"770"	"0"
"101"	"70"	"104"	"39"	"320"	"269"	"12"	"3"	"10"	"13"	"8"	"26"	"804"	"0"	"804"	"0"
"102"	"71"	"212"	"49"	"219"	"171"	"6"	"2"	"2"	"13"	"3"	"6"	"683"	"0"	"683"	"0"
"103"	"72"	"99"	"9"	"58"	"309"	"3"	"1"	"4"	"54"	"4"	"6"	"547"	"0"	"547"	"0"
"104"	"73"	"38"	"67"	"101"	"186"	"12"	"5"	"5"	"37"	"9"	"8"	"468"	"0"	"468"	"0"
"105"	"74"	"120"	"101"	"170"	"347"	"10"	"4"	"5"	"18"	"2"	"15"	"792"	"0"	"792"	"0"
"106"	"75"	"83"	"14"	"50"	"200"	"3"	"1"	"8"	"2"	"3"	"8"	"372"	"0"	"372"	"0"
"107"	"76"	"29"	"23"	"100"	"118"	"4"	"0"	"24"	"6"	"1"	"3"	"308"	"0"	"308"	"0"
"108"	"77"	"123"	"71"	"147"	"160"	"12"	"5"	"6"	"7"	"2"	"9"	"542"	"0"	"542"	"0"
"109"	"78"	"15"	"11"	"35"	"123"	"3"	"0"	"3"	"2"	"2"	"7"	"201"	"0"	"201"	"0"
"110"	"79"	"133"	"50"	"135"	"184"	"3"	"1"	"5"	"8"	"3"	"7"	"529"	"0"	"529"	"0"
"111"	"80"	"1"	"16"	"113"	"194"	"4"	"0"	"0"	"6"	"1"	"1"	"336"	"0"	"336"	"0"
"112"	"81"	"238"	"40"	"129"	"55"	"4"	"2"	"7"	"9"	"2"	"22"	"508"	"0"	"508"	"0"
"113"	"82"	"9"	"30"	"119"	"189"	"9"	"4"	"7"	"49"	"2"	"17"	"435"	"0"	"435"	"0"
"114"	"TOTAL"	"5850"	"4307"	"13259"	"11099"	"654"	"206"	"956"	"960"	"226"	"756"	"38273"	"0"	"38273"	"0"
"115"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"116"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"117"	"BF"	"5850"	"4307"	"13259"	"11099"	"654"	"206"	"956"	"960"	"226"	"756"	"38273"	"0"	"38273"	"0"
"118"	"83"	"11"	"78"	"24"	"252"	"1"	"1"	"2"	"5"	"1"	"4"	"379"	"0"	"379"	"0"
"119"	"84"	"6"	"19"	"163"	"73"	"7"	"4"	"10"	"130"	"3"	"4"	"419"	"0"	"419"	"0"
"120"	"85"	"7"	"10"	"85"	"168"	"6"	"0"	"9"	"78"	"7"	"11"	"381"	"0"	"381"	"0"
"121"	"86"	"1"	"13"	"146"	"140"	"5"	"3"	"1"	"35"	"1"	"5"	"350"	"0"	"350"	"0"
"122"	"86 A"	"6"	"8"	"179"	"125"	"3"	"2"	"7"	"89"	"3"	"4"	"426"	"0"	"426"	"0"
"123"	"87"	"6"	"23"	"174"	"53"	"7"	"1"	"3"	"68"	"2"	"0"	"337"	"0"	"337"	"0"
"124"	"88"	"10"	"14"	"230"	"64"	"3"	"1"	"5"	"104"	"6"	"2"	"439"	"0"	"439"	"0"
"125"	"89"	"8"	"7"	"224"	"57"	"5"	"0"	"1"	"11"	"0"	"3"	"316"	"0"	"316"	"0"
"126"	"90"	"24"	"28"	"129"	"164"	"6"	"0"	"3"	"8"	"2"	"3"	"367"	"0"	"367"	"0"
"127"	"90 A"	"16"	"11"	"163"	"72"	"4"	"0"	"0"	"2"	"1"	"2"	"271"	"0"	"271"	"0"
"128"	"91"	"6"	"21"	"348"	"147"	"9"	"2"	"2"	"4"	"1"	"6"	"546"	"0"	"546"	"0"
"129"	"92"	"128"	"39"	"129"	"246"	"5"	"6"	"7"	"6"	"4"	"13"	"583"	"0"	"583"	"0"
"130"	"93"	"7"	"6"	"116"	"205"	"5"	"0"	"2"	"7"	"2"	"3"	"353"	"0"	"353"	"0"
"131"	"94"	"6"	"11"	"283"	"108"	"6"	"1"	"2"	"6"	"0"	"4"	"427"	"0"	"427"	"0"
"132"	"TOTAL"	"6092"	"4595"	"15652"	"12973"	"726"	"227"	"1010"	"1513"	"259"	"820"	"43867"	"0"	"43867"	"0"
"133"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"134"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"135"	"BF"	"6092"	"4595"	"15652"	"12973"	"726"	"227"	"1010"	"1513"	"259"	"820"	"43867"	"0"	"43867"	"0"
"136"	"95"	"94"	"52"	"401"	"169"	"6"	"1"	"9"	"6"	"2"	"5"	"745"	"0"	"745"	"0"
"137"	"96"	"11"	"30"	"252"	"146"	"13"	"2"	"10"	"11"	"1"	"7"	"483"	"0"	"483"	"0"
"138"	"97"	"1"	"31"	"134"	"71"	"21"	"3"	"4"	"3"	"1"	"3"	"272"	"0"	"272"	"0"
"139"	"98"	"33"	"118"	"307"	"224"	"15"	"8"	"13"	"15"	"5"	"29"	"767"	"0"	"767"	"0"
"140"	"99"	"17"	"75"	"201"	"215"	"10"	"2"	"31"	"2"	"1"	"10"	"564"	"0"	"564"	"0"
"141"	"100"	"27"	"18"	"108"	"108"	"6"	"2"	"37"	"6"	"2"	"8"	"322"	"0"	"322"	"0"
"142"	"101"	"36"	"29"	"124"	"99"	"12"	"6"	"26"	"1"	"4"	"1"	"338"	"0"	"338"	"0"
"143"	"102"	"32"	"7"	"101"	"59"	"6"	"3"	"98"	"1"	"1"	"2"	"310"	"0"	"310"	"0"
"144"	"103"	"10"	"10"	"96"	"90"	"11"	"1"	"61"	"4"	"2"	"5"	"290"	"0"	"290"	"0"
"145"	"104"	"2"	"24"	"61"	"137"	"19"	"1"	"2"	"2"	"1"	"8"	"257"	"0"	"257"	"0"
"146"	"105"	"4"	"27"	"30"	"62"	"113"	"4"	"6"	"6"	"4"	"14"	"270"	"0"	"270"	"0"
"147"	"106"	"6"	"172"	"324"	"124"	"15"	"3"	"7"	"11"	"2"	"20"	"684"	"0"	"684"	"0"
"148"	"107"	"19"	"29"	"283"	"170"	"10"	"3"	"7"	"5"	"2"	"6"	"534"	"0"	"534"	"0"
"149"	"107 A"	"51"	"76"	"110"	"149"	"7"	"1"	"7"	"4"	"4"	"11"	"420"	"0"	"420"	"0"
"150"	"TOTAL"	"6435"	"5293"	"18184"	"14796"	"990"	"267"	"1328"	"1590"	"291"	"949"	"50123"	"0"	"50123"	"0"
"151"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"152"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"153"	"BF"	"6435"	"5293"	"18184"	"14796"	"990"	"267"	"1328"	"1590"	"291"	"949"	"50123"	"0"	"50123"	"0"
"154"	"108"	"15"	"131"	"16"	"211"	"1"	"2"	"1"	"0"	"1"	"4"	"382"	"0"	"382"	"0"
"155"	"109"	"5"	"109"	"65"	"110"	"5"	"0"	"1"	"3"	"3"	"6"	"307"	"0"	"307"	"0"
"156"	"110"	"98"	"38"	"139"	"59"	"7"	"3"	"4"	"13"	"2"	"5"	"368"	"0"	"368"	"0"
"157"	"111"	"10"	"20"	"294"	"168"	"11"	"2"	"6"	"7"	"3"	"6"	"527"	"0"	"527"	"0"
"158"	"112"	"88"	"25"	"156"	"207"	"6"	"0"	"3"	"3"	"2"	"8"	"498"	"0"	"498"	"0"
"159"	"113"	"38"	"54"	"56"	"162"	"7"	"3"	"6"	"3"	"1"	"6"	"336"	"0"	"336"	"0"
"160"	"114"	"88"	"53"	"199"	"286"	"20"	"6"	"7"	"7"	"2"	"38"	"706"	"0"	"706"	"0"
"161"	"115"	"59"	"31"	"189"	"300"	"11"	"2"	"7"	"55"	"5"	"15"	"674"	"0"	"674"	"0"
"162"	"116"	"7"	"123"	"156"	"95"	"5"	"0"	"1"	"2"	"0"	"5"	"394"	"0"	"394"	"0"
"163"	"117"	"61"	"60"	"223"	"104"	"15"	"2"	"6"	"3"	"2"	"4"	"480"	"0"	"480"	"0"
"164"	"118"	"155"	"48"	"154"	"272"	"13"	"3"	"7"	"12"	"8"	"23"	"695"	"0"	"695"	"0"
"165"	"119"	"7"	"82"	"320"	"184"	"8"	"3"	"7"	"5"	"3"	"18"	"637"	"0"	"637"	"0"
"166"	"120"	"359"	"87"	"52"	"281"	"5"	"1"	"3"	"5"	"3"	"21"	"817"	"0"	"817"	"0"
"167"	"121"	"104"	"80"	"205"	"196"	"10"	"2"	"5"	"7"	"7"	"16"	"632"	"0"	"632"	"0"
"168"	"TOTAL"	"7529"	"6234"	"20408"	"17431"	"1114"	"296"	"1392"	"1715"	"333"	"1124"	"57576"	"0"	"57576"	"0"
"169"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"170"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"171"	"BF"	"7529"	"6234"	"20408"	"17431"	"1114"	"296"	"1392"	"1715"	"333"	"1124"	"57576"	"0"	"57576"	"0"
"172"	"122"	"28"	"26"	"191"	"195"	"7"	"0"	"10"	"4"	"1"	"2"	"464"	"0"	"464"	"0"
"173"	"123"	"59"	"32"	"268"	"202"	"9"	"3"	"10"	"100"	"3"	"17"	"703"	"0"	"703"	"0"
"174"	"124"	"17"	"205"	"118"	"138"	"6"	"2"	"3"	"5"	"1"	"4"	"499"	"0"	"499"	"0"
"175"	"125"	"16"	"131"	"159"	"105"	"7"	"1"	"6"	"7"	"5"	"26"	"463"	"0"	"463"	"0"
"176"	"126"	"116"	"11"	"180"	"334"	"11"	"4"	"2"	"4"	"1"	"15"	"678"	"0"	"678"	"0"
"177"	"127"	"81"	"42"	"134"	"279"	"12"	"2"	"3"	"2"	"2"	"2"	"559"	"0"	"559"	"0"
"178"	"128"	"9"	"23"	"164"	"426"	"12"	"3"	"5"	"6"	"7"	"33"	"688"	"0"	"688"	"0"
"179"	"129"	"15"	"51"	"95"	"315"	"18"	"6"	"9"	"7"	"3"	"16"	"535"	"0"	"535"	"0"
"180"	"130"	"8"	"32"	"88"	"324"	"8"	"4"	"5"	"3"	"1"	"9"	"482"	"0"	"482"	"0"
"181"	"131"	"0"	"3"	"125"	"151"	"2"	"1"	"0"	"2"	"0"	"1"	"285"	"0"	"285"	"0"
"182"	"132"	"1"	"12"	"147"	"111"	"4"	"1"	"6"	"1"	"2"	"6"	"291"	"0"	"291"	"0"
"183"	"133"	"19"	"99"	"270"	"183"	"12"	"4"	"9"	"3"	"4"	"8"	"611"	"0"	"611"	"0"
"184"	"134"	"44"	"182"	"88"	"206"	"9"	"3"	"4"	"0"	"4"	"8"	"548"	"0"	"548"	"0"
"185"	"135"	"23"	"143"	"146"	"181"	"2"	"3"	"7"	"3"	"4"	"13"	"525"	"0"	"525"	"0"
"186"	"TOTAL"	"7965"	"7226"	"22581"	"20581"	"1233"	"333"	"1471"	"1862"	"371"	"1284"	"64907"	"0"	"64907"	"0"
"187"	"Serial No. of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	"NO. OF RAJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"188"	""	"Aklu Ram"	"Kanhaiya Ram"	"Chhedi Paswan"	"Niranjan Ram"	"Krishna Pashi"	"Girja Paswan"	"Tetari Devi"	"Lakhan Paswan"	"Shyam Sundar Paswan"	"Brajesh Kumar"	""	""	""	""
"189"	"BF"	"7965"	"7226"	"22581"	"20581"	"1233"	"333"	"1471"	"1862"	"371"	"1284"	"64907"	"0"	"64907"	"0"
"190"	"136"	"82"	"47"	"243"	"356"	"11"	"0"	"6"	"7"	"1"	"3"	"756"	"0"	"756"	"0"
"191"	"137"	"16"	"28"	"57"	"423"	"3"	"2"	"2"	"2"	"4"	"5"	"542"	"0"	"542"	"0"
