"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"31"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"32"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"33"	"24"	""	"11"	"334"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"355"
"34"	"25"	""	"144"	"129"	"8"	"4"	"1"	"9"	"3"	"4"	"3"	"1"	"3"	"309"
"35"	"26"	""	"252"	"90"	"14"	"10"	"3"	"80"	"17"	"11"	"1"	"17"	"38"	"533"
"36"	"27"	""	"217"	"90"	"9"	"9"	"11"	"132"	"16"	"7"	"4"	"8"	"11"	"514"
"37"	"28"	""	"220"	"32"	"9"	"4"	"6"	"70"	"13"	"7"	"2"	"3"	"13"	"379"
"38"	"29"	""	"205"	"173"	"13"	"7"	"5"	"62"	"17"	"4"	"3"	"7"	"9"	"505"
"39"	"30"	""	"126"	"202"	"5"	"4"	"4"	"5"	"10"	"2"	"4"	"1"	"6"	"369"
"40"	"31"	""	"117"	"387"	"5"	"0"	"0"	"8"	"4"	"1"	"0"	"1"	"1"	"524"
"41"	"32"	""	"335"	"81"	"9"	"1"	"0"	"2"	"4"	"0"	"0"	"1"	"12"	"445"
"42"	"33"	""	"206"	"252"	"7"	"3"	"4"	"3"	"2"	"5"	"1"	"4"	"4"	"491"
"43"	"34"	""	"375"	"107"	"1"	"23"	"0"	"4"	"7"	"2"	"5"	"3"	"14"	"541"
"44"	"35"	""	"91"	"86"	"6"	"0"	"0"	"2"	"4"	"2"	"0"	"3"	"2"	"196"
"45"	"36"	""	"290"	"75"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"5"	"374"
"46"	"37"	""	"185"	"310"	"18"	"23"	"1"	"8"	"8"	"3"	"1"	"13"	"20"	"590"
"47"	"38"	""	"83"	"114"	"6"	"0"	"1"	"0"	"2"	"1"	"1"	"5"	"1"	"214"
"48"	"39"	""	"257"	"56"	"6"	"0"	"1"	"2"	"2"	"0"	"1"	"1"	"4"	"330"
"49"	"40"	""	"351"	"29"	"8"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"7"	"400"
"50"	"41"	""	"311"	"121"	"5"	"4"	"0"	"3"	"8"	"4"	"1"	"4"	"7"	"468"
"51"	"42"	""	"251"	"210"	"18"	"11"	"6"	"10"	"21"	"11"	"3"	"14"	"41"	"596"
"52"	"43"	""	"219"	"146"	"10"	"33"	"2"	"2"	"10"	"0"	"1"	"1"	"4"	"428"
"53"	"44"	""	"692"	"17"	"7"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"722"
"54"	"45"	""	"139"	"139"	"4"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"289"
"55"	"46"	""	"20"	"210"	"2"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"7"	"245"
"56"	"47"	""	"97"	"310"	"14"	"5"	"4"	"1"	"1"	"1"	"4"	"0"	"11"	"448"
"57"	"48"	""	"29"	"144"	"3"	"4"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"187"
"58"	"49"	""	"113"	"128"	"10"	"2"	"1"	"4"	"1"	"0"	"3"	"1"	"7"	"270"
"59"	"50"	""	"254"	"142"	"9"	"6"	"3"	"8"	"9"	"2"	"4"	"2"	"14"	"453"
"60"	"51"	""	"138"	"294"	"7"	"11"	"2"	"1"	"5"	"0"	"2"	"3"	"4"	"467"
"61"	"52"	""	"17"	"277"	"8"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"10"	"319"
"62"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"63"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"64"	"53"	""	"153"	"261"	"1"	"2"	"1"	"5"	"1"	"1"	"0"	"0"	"4"	"429"
"65"	"54"	""	"119"	"127"	"5"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"9"	"262"
"66"	"55"	""	"213"	"140"	"14"	"2"	"0"	"4"	"19"	"7"	"3"	"10"	"13"	"425"
"67"	"56"	""	"262"	"223"	"15"	"25"	"5"	"7"	"8"	"4"	"2"	"3"	"12"	"566"
"68"	"57"	""	"354"	"157"	"3"	"1"	"1"	"4"	"7"	"1"	"0"	"2"	"6"	"536"
"69"	"58"	""	"247"	"106"	"5"	"1"	"0"	"3"	"11"	"1"	"0"	"3"	"9"	"386"
"70"	"59"	""	"199"	"219"	"13"	"44"	"4"	"7"	"1"	"2"	"1"	"1"	"4"	"495"
"71"	"60"	""	"235"	"146"	"5"	"1"	"2"	"4"	"5"	"2"	"1"	"6"	"8"	"415"
"72"	"61"	""	"328"	"134"	"7"	"4"	"2"	"3"	"9"	"1"	"1"	"2"	"10"	"501"
"73"	"62"	""	"547"	"120"	"12"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"687"
"74"	"63"	""	"75"	"207"	"7"	"4"	"2"	"2"	"5"	"1"	"2"	"3"	"4"	"312"
"75"	"64"	""	"102"	"152"	"10"	"2"	"3"	"1"	"4"	"1"	"2"	"1"	"1"	"279"
"76"	"65"	""	"195"	"176"	"9"	"7"	"0"	"2"	"6"	"0"	"0"	"1"	"5"	"401"
"77"	"66"	""	"347"	"8"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"381"
"78"	"67"	""	"102"	"492"	"10"	"7"	"1"	"1"	"5"	"3"	"3"	"2"	"0"	"626"
"79"	"68"	""	"134"	"94"	"6"	"18"	"1"	"1"	"1"	"3"	"0"	"4"	"8"	"270"
"80"	"69"	""	"151"	"149"	"22"	"2"	"1"	"3"	"2"	"4"	"1"	"8"	"18"	"361"
"81"	"70"	""	"35"	"212"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"255"
"82"	"71"	""	"317"	"186"	"3"	"27"	"3"	"4"	"4"	"3"	"1"	"5"	"5"	"558"
"83"	"72"	""	"217"	"184"	"6"	"4"	"4"	"6"	"2"	"3"	"0"	"7"	"15"	"448"
"84"	"73"	""	"184"	"288"	"12"	"3"	"2"	"9"	"5"	"2"	"1"	"7"	"10"	"523"
"85"	"74"	""	"121"	"142"	"8"	"1"	"2"	"3"	"1"	"0"	"3"	"0"	"7"	"288"
"86"	"75"	""	"162"	"140"	"9"	"9"	"1"	"5"	"9"	"1"	"2"	"3"	"9"	"350"
"87"	"76"	""	"190"	"149"	"9"	"12"	"1"	"4"	"11"	"8"	"1"	"4"	"16"	"405"
"88"	"77"	""	"106"	"356"	"9"	"18"	"2"	"4"	"5"	"2"	"3"	"5"	"9"	"519"
"89"	"78"	""	"148"	"116"	"8"	"5"	"0"	"3"	"4"	"0"	"1"	"6"	"6"	"297"
"90"	"79"	""	"451"	"178"	"15"	"4"	"3"	"8"	"11"	"2"	"6"	"2"	"28"	"708"
"91"	"80"	""	"354"	"178"	"9"	"14"	"1"	"4"	"2"	"4"	"3"	"1"	"9"	"579"
"92"	"81"	""	"289"	"24"	"15"	"4"	"2"	"5"	"9"	"1"	"0"	"0"	"6"	"355"
"93"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"94"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"95"	"82"	""	"291"	"117"	"3"	"0"	"0"	"8"	"4"	"3"	"0"	"3"	"29"	"458"
"96"	"83"	""	"305"	"53"	"1"	"4"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"367"
"97"	"84"	""	"158"	"105"	"15"	"6"	"3"	"0"	"10"	"1"	"2"	"1"	"14"	"315"
"98"	"85"	""	"134"	"224"	"12"	"14"	"4"	"4"	"7"	"2"	"2"	"7"	"28"	"438"
"99"	"86"	""	"409"	"163"	"7"	"33"	"4"	"3"	"3"	"7"	"5"	"4"	"6"	"644"
"100"	"87"	""	"156"	"213"	"4"	"2"	"2"	"2"	"6"	"0"	"2"	"2"	"6"	"395"
"101"	"88"	""	"200"	"69"	"2"	"5"	"2"	"2"	"10"	"2"	"1"	"2"	"9"	"304"
"102"	"89"	""	"267"	"118"	"7"	"14"	"0"	"4"	"3"	"1"	"0"	"2"	"5"	"421"
"103"	"90"	""	"308"	"99"	"6"	"3"	"4"	"3"	"3"	"0"	"0"	"2"	"11"	"439"
"104"	"91"	""	"66"	"220"	"12"	"30"	"1"	"3"	"6"	"5"	"3"	"4"	"8"	"358"
"105"	"92"	""	"33"	"349"	"32"	"37"	"4"	"1"	"3"	"2"	"1"	"2"	"8"	"472"
"106"	"93"	""	"244"	"180"	"12"	"69"	"3"	"2"	"9"	"4"	"1"	"3"	"13"	"540"
"107"	"94"	""	"94"	"161"	"11"	"31"	"1"	"4"	"6"	"1"	"2"	"4"	"8"	"323"
"108"	"95"	""	"123"	"307"	"13"	"4"	"1"	"1"	"7"	"1"	"0"	"4"	"6"	"467"
"109"	"96"	""	"180"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"183"
"110"	"97"	""	"89"	"59"	"11"	"3"	"2"	"3"	"2"	"0"	"1"	"2"	"11"	"183"
"111"	"98"	""	"459"	"28"	"26"	"8"	"1"	"4"	"3"	"1"	"1"	"1"	"5"	"537"
"112"	"99"	""	"103"	"263"	"8"	"3"	"5"	"5"	"8"	"5"	"4"	"6"	"11"	"421"
"113"	"100"	""	"155"	"176"	"13"	"6"	"2"	"2"	"5"	"3"	"6"	"8"	"15"	"391"
"114"	"101"	""	"142"	"149"	"10"	"2"	"2"	"4"	"9"	"4"	"2"	"5"	"17"	"346"
"115"	"102"	""	"133"	"67"	"3"	"44"	"1"	"1"	"6"	"0"	"1"	"1"	"13"	"270"
"116"	"103"	""	"353"	"211"	"7"	"5"	"0"	"4"	"10"	"1"	"4"	"2"	"16"	"613"
"117"	"104"	""	"98"	"183"	"3"	"18"	"1"	"6"	"17"	"2"	"4"	"2"	"43"	"377"
"118"	"105"	""	"133"	"178"	"3"	"3"	"0"	"5"	"4"	"1"	"2"	"1"	"3"	"333"
"119"	"106"	""	"233"	"173"	"8"	"1"	"1"	"4"	"8"	"3"	"7"	"6"	"35"	"479"
"120"	"107"	""	"64"	"167"	"7"	"5"	"4"	"7"	"7"	"2"	"4"	"5"	"18"	"290"
"121"	"108"	""	"256"	"55"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"320"
"122"	"109"	""	"60"	"594"	"9"	"16"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"683"
"123"	"110"	""	"194"	"145"	"13"	"3"	"1"	"4"	"5"	"1"	"0"	"2"	"0"	"368"
"124"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"125"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"126"	"111"	""	"18"	"245"	"3"	"3"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"274"
"127"	"112"	""	"408"	"51"	"12"	"5"	"0"	"1"	"4"	"1"	"0"	"1"	"3"	"486"
"128"	"113"	""	"547"	"13"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"564"
"129"	"114"	""	"110"	"201"	"16"	"5"	"2"	"4"	"3"	"3"	"2"	"10"	"9"	"365"
"130"	"115"	""	"178"	"76"	"2"	"0"	"1"	"2"	"2"	"0"	"4"	"4"	"6"	"275"
"131"	"116"	""	"372"	"163"	"3"	"2"	"0"	"4"	"1"	"0"	"0"	"1"	"2"	"548"
"132"	"117"	""	"176"	"153"	"10"	"2"	"6"	"29"	"6"	"2"	"4"	"2"	"16"	"406"
"133"	"118"	""	"132"	"276"	"14"	"16"	"0"	"1"	"3"	"3"	"4"	"2"	"6"	"457"
"134"	"119"	""	"173"	"226"	"16"	"11"	"1"	"0"	"3"	"1"	"0"	"3"	"6"	"440"
"135"	"120"	""	"56"	"336"	"8"	"6"	"3"	"0"	"1"	"4"	"2"	"2"	"4"	"422"
"136"	"121"	""	"392"	"203"	"13"	"10"	"2"	"5"	"7"	"1"	"0"	"2"	"6"	"641"
"137"	"122"	""	"540"	"73"	"10"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"629"
"138"	"123"	""	"251"	"193"	"4"	"11"	"8"	"12"	"13"	"8"	"4"	"1"	"10"	"515"
"139"	"124"	""	"154"	"264"	"16"	"26"	"6"	"3"	"8"	"0"	"7"	"10"	"20"	"514"
"140"	"125"	""	"198"	"222"	"11"	"5"	"1"	"4"	"5"	"3"	"3"	"0"	"8"	"460"
"141"	"126"	""	"107"	"397"	"4"	"5"	"0"	"0"	"2"	"4"	"0"	"2"	"3"	"524"
"142"	"127"	""	"42"	"359"	"10"	"3"	"1"	"1"	"2"	"5"	"2"	"3"	"11"	"439"
"143"	"128"	""	"156"	"233"	"13"	"39"	"3"	"6"	"5"	"7"	"1"	"6"	"8"	"477"
"144"	"129"	""	"195"	"80"	"3"	"2"	"0"	"2"	"1"	"0"	"1"	"2"	"8"	"294"
"145"	"130"	""	"94"	"142"	"11"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"255"
"146"	"131"	""	"271"	"26"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"307"
"147"	"132"	""	"66"	"315"	"18"	"41"	"5"	"3"	"9"	"6"	"14"	"19"	"38"	"534"
"148"	"133"	""	"290"	"52"	"5"	"2"	"0"	"2"	"3"	"2"	"1"	"1"	"1"	"359"
"149"	"134"	""	"254"	"192"	"10"	"3"	"1"	"3"	"7"	"2"	"0"	"5"	"12"	"489"
"150"	"135"	""	"400"	"195"	"12"	"18"	"2"	"8"	"12"	"4"	"1"	"5"	"10"	"667"
"151"	"136"	""	"74"	"71"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"150"
"152"	"137"	""	"120"	"98"	"7"	"0"	"2"	"1"	"3"	"2"	"4"	"3"	"10"	"250"
"153"	"138"	""	"9"	"210"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"226"
"154"	"139"	""	"95"	"70"	"10"	"4"	"0"	"6"	"4"	"1"	"1"	"2"	"5"	"198"
"155"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"156"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"157"	"140"	""	"153"	"90"	"14"	"2"	"2"	"4"	"2"	"1"	"0"	"1"	"7"	"276"
"158"	"141"	""	"476"	"20"	"12"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"511"
"159"	"142"	""	"114"	"56"	"4"	"3"	"1"	"11"	"5"	"0"	"0"	"1"	"1"	"196"
"160"	"143"	""	"299"	"17"	"10"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"332"
"161"	"144"	""	"257"	"8"	"38"	"2"	"0"	"1"	"4"	"1"	"0"	"0"	"1"	"312"
"162"	"145"	""	"127"	"194"	"8"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"9"	"342"
"163"	"146"	""	"257"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"267"
"164"	"147"	""	"214"	"268"	"10"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"498"
"165"	"148"	""	"166"	"81"	"2"	"0"	"0"	"1"	"4"	"1"	"0"	"2"	"6"	"263"
"166"	"149"	""	"215"	"466"	"30"	"2"	"4"	"1"	"3"	"2"	"0"	"3"	"3"	"729"
"167"	"150"	""	"41"	"396"	"8"	"2"	"1"	"2"	"0"	"2"	"0"	"1"	"2"	"455"
"168"	"151"	""	"86"	"517"	"14"	"16"	"2"	"1"	"2"	"2"	"3"	"6"	"13"	"662"
"169"	"152"	""	"391"	"234"	"22"	"10"	"7"	"6"	"16"	"3"	"3"	"3"	"10"	"705"
"170"	"153"	""	"158"	"263"	"13"	"18"	"3"	"9"	"2"	"3"	"2"	"3"	"6"	"480"
"171"	"154"	""	"84"	"248"	"3"	"3"	"0"	"5"	"2"	"0"	"1"	"0"	"16"	"362"
"172"	"155"	""	"282"	"12"	"6"	"0"	"0"	"6"	"3"	"2"	"0"	"1"	"1"	"313"
"173"	"156"	""	"119"	"83"	"2"	"1"	"2"	"7"	"3"	"0"	"0"	"3"	"10"	"230"
"174"	"157"	""	"134"	"27"	"8"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"4"	"180"
"175"	"158"	""	"154"	"114"	"12"	"2"	"1"	"3"	"6"	"3"	"0"	"2"	"14"	"311"
"176"	"159"	""	"342"	"47"	"7"	"4"	"2"	"1"	"10"	"4"	"2"	"4"	"87"	"510"
"177"	"160"	""	"377"	"4"	"29"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"65"	"480"
"178"	"161"	""	"75"	"11"	"1"	"2"	"2"	"1"	"3"	"0"	"2"	"4"	"8"	"109"
"179"	"162"	""	"119"	"70"	"3"	"1"	"4"	"2"	"1"	"2"	"0"	"2"	"5"	"209"
"180"	"163"	""	"250"	"111"	"2"	"4"	"1"	"5"	"3"	"2"	"0"	"2"	"10"	"390"
"181"	"164"	""	"168"	"87"	"7"	"0"	"1"	"5"	"3"	"2"	"0"	"3"	"6"	"282"
"182"	"165"	""	"293"	"119"	"10"	"2"	"0"	"7"	"8"	"4"	"0"	"2"	"8"	"453"
"183"	"166"	""	"224"	"11"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"240"
"184"	"167"	""	"170"	"49"	"5"	"9"	"1"	"1"	"3"	"6"	"3"	"4"	"13"	"264"
"185"	"168"	""	"185"	"80"	"3"	"0"	"1"	"6"	"0"	"1"	"0"	"0"	"7"	"283"
"186"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"187"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"188"	"169"	""	"356"	"74"	"5"	"1"	"0"	"27"	"46"	"4"	"2"	"3"	"11"	"529"
"189"	"170"	""	"305"	"248"	"23"	"86"	"2"	"11"	"5"	"3"	"1"	"12"	"15"	"711"
"190"	"171"	""	"323"	"175"	"13"	"2"	"1"	"4"	"8"	"3"	"2"	"0"	"8"	"539"
"191"	"172"	""	"348"	"201"	"6"	"5"	"0"	"8"	"11"	"3"	"2"	"5"	"17"	"606"
"192"	"173"	""	"344"	"151"	"5"	"4"	"0"	"7"	"18"	"4"	"5"	"3"	"18"	"559"
"193"	"174"	""	"230"	"179"	"6"	"1"	"3"	"7"	"5"	"5"	"2"	"2"	"5"	"445"
"194"	"175"	""	"367"	"89"	"5"	"5"	"1"	"3"	"7"	"1"	"1"	"1"	"2"	"482"
"195"	"176"	""	"218"	"84"	"9"	"1"	"1"	"6"	"5"	"1"	"0"	"3"	"6"	"334"
"196"	"177"	""	"291"	"102"	"6"	"3"	"1"	"6"	"6"	"3"	"1"	"0"	"6"	"425"
"197"	"178"	""	"201"	"72"	"4"	"0"	"1"	"3"	"8"	"0"	"0"	"2"	"12"	"303"
"198"	"179"	""	"122"	"276"	"13"	"3"	"2"	"7"	"7"	"4"	"3"	"8"	"13"	"458"
"199"	"180"	""	"176"	"239"	"4"	"5"	"1"	"6"	"1"	"2"	"2"	"3"	"6"	"445"
"200"	"181"	""	"427"	"105"	"24"	"1"	"1"	"6"	"10"	"2"	"1"	"2"	"21"	"600"
"201"	"182"	""	"228"	"100"	"10"	"1"	"2"	"4"	"4"	"2"	"0"	"0"	"2"	"353"
"202"	"183"	""	"221"	"241"	"12"	"8"	"2"	"7"	"8"	"4"	"3"	"0"	"13"	"519"
"203"	"184"	""	"264"	"218"	"19"	"7"	"3"	"4"	"6"	"8"	"7"	"7"	"24"	"567"
"204"	"185"	""	"189"	"34"	"2"	"15"	"1"	"10"	"0"	"0"	"1"	"3"	"1"	"256"
"205"	"186"	""	"272"	"23"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"305"
"206"	"187"	""	"185"	"75"	"3"	"0"	"1"	"3"	"3"	"1"	"2"	"9"	"3"	"285"
"207"	"188"	""	"449"	"5"	"6"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"9"	"473"
"208"	"189"	""	"207"	"15"	"1"	"1"	"0"	"13"	"3"	"1"	"0"	"1"	"0"	"242"
"209"	"190"	""	"181"	"16"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"201"
"210"	"191"	""	"127"	"184"	"5"	"2"	"1"	"8"	"4"	"0"	"1"	"6"	"8"	"346"
"211"	"192"	""	"231"	"3"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"0"	"1"	"241"
"212"	"193"	""	"28"	"322"	"6"	"0"	"0"	"1"	"3"	"0"	"0"	"3"	"2"	"365"
"213"	"194"	""	"180"	"318"	"6"	"17"	"2"	"2"	"2"	"0"	"0"	"2"	"4"	"533"
"214"	"195"	""	"34"	"182"	"9"	"3"	"0"	"0"	"4"	"3"	"0"	"1"	"4"	"240"
"215"	"196"	""	"120"	"55"	"1"	"1"	"0"	"9"	"3"	"2"	"0"	"0"	"5"	"196"
"216"	"197"	""	"444"	"9"	"15"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"472"
"217"	"BOOTH NO"	""	"DR. ANIL KUMAR"	"BAGI KUMAR VERMA"	"RAMNANDAN SHARMA"	"SUBHASH KUMAR KAUSHAL"	"BHOLA PASWAN"	"RITA DEVI"	"SHISHMANI KUMAR"	"KRISHAN DAS"	"JITENDRA PRASAD SINHA"	"MADHU KUMAR SHASHI"	"HIMANSHU SHEKHAR"	"Total Valid  Votes"
"218"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"219"	"198"	""	"189"	"108"	"13"	"3"	"0"	"4"	"3"	"0"	"1"	"2"	"8"	"331"
