"Polling.Station.No."	"Ajai.kumar.Mandal"	"Abu.Kaishar"	"Kedar.Nath.Yadav"	"Pervez.Jamal"	"Usha.Kumari"	"Jitendra.Prasad.Yadav"	"Mumtaj"	"Sri.Niwas.Kumar"	"Anil.Mandal"	"Uttam.Kumar"	"Diwakar.Chandar.Dubey"	"Murli.Dhar.Singh"	"Rabiran.Singh"	"Shital.Mandal"	"Shailen.dra.Kumar.Ghosh"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No.........of.Tendered.Votes"
"46"	"40"	333	43	3	86	4	3	0	0	2	1	3	2	1	0	3	484	0	484	NA
"47"	"41"	333	121	19	57	12	3	4	2	17	6	14	1	1	2	11	603	0	603	NA
"48"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"49"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"50"	"42"	151	274	12	17	9	0	6	2	1	6	4	2	5	13	16	518	0	518	NA
"51"	"43"	168	66	120	108	2	1	2	4	0	2	21	1	10	4	8	517	0	517	NA
"52"	"44"	48	359	7	40	1	1	0	0	3	2	0	1	0	4	17	483	0	483	NA
"53"	"45"	32	348	4	42	2	2	3	2	4	5	1	4	3	7	12	471	0	471	NA
"54"	"46"	222	70	5	53	6	2	3	2	1	3	25	2	2	5	16	417	0	417	NA
"55"	"47"	125	66	10	21	5	1	4	3	7	2	2	0	0	3	5	254	0	254	NA
"56"	"48"	97	430	30	29	4	2	1	3	4	2	18	2	6	17	34	679	0	679	NA
"57"	"49"	338	92	2	34	6	5	8	0	30	8	7	1	2	3	18	554	0	554	NA
"58"	"50"	132	14	1	10	2	1	6	1	120	12	2	0	1	0	6	308	0	308	NA
"59"	"51"	269	16	6	36	2	1	2	1	9	2	4	0	0	0	2	350	0	350	NA
"60"	"52"	59	448	10	10	0	2	1	0	2	3	2	2	4	14	20	577	0	577	NA
"61"	"53"	28	201	149	106	8	3	5	3	3	8	7	11	15	25	22	594	0	594	NA
"62"	"54"	311	157	11	91	8	1	5	1	13	3	3	6	4	7	13	634	0	634	NA
"63"	"55"	268	132	17	131	18	7	17	6	32	19	16	4	8	8	26	709	0	709	NA
"64"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"66"	"56"	33	503	31	11	3	1	3	1	5	5	18	1	3	22	26	666	0	666	NA
"67"	"57"	238	168	4	12	6	1	2	0	3	16	52	1	2	3	11	519	0	519	NA
"68"	"58"	263	97	19	18	6	1	7	3	3	4	7	3	3	3	11	448	0	448	NA
"69"	"59"	70	325	6	8	0	0	2	1	1	3	1	0	2	2	14	435	0	435	NA
"70"	"60"	294	40	82	81	3	0	6	0	1	0	1	1	3	1	7	520	0	520	NA
"71"	"61"	205	43	2	15	5	4	5	1	7	6	201	4	2	2	13	515	0	515	NA
"72"	"62"	260	105	7	20	14	2	8	2	6	4	24	6	5	16	49	528	0	528	NA
"73"	"63"	126	142	24	62	6	0	3	1	1	3	6	2	6	2	16	400	0	400	NA
"74"	"64"	38	7	9	66	2	1	0	3	0	1	17	1	3	2	12	162	0	162	NA
"75"	"65"	40	216	16	34	4	1	0	0	2	0	4	6	3	15	24	365	0	365	NA
"76"	"66"	52	83	22	73	3	0	2	1	0	2	3	3	2	2	14	262	0	262	NA
"77"	"67"	222	133	222	57	10	2	12	12	5	10	108	13	10	16	28	860	0	860	NA
"78"	"68"	108	71	9	29	6	1	2	1	17	8	10	2	1	7	17	289	0	289	NA
"79"	"69"	17	133	4	34	3	1	3	1	1	1	1	0	2	1	4	206	0	206	NA
"80"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"82"	"70"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
"83"	"71"	165	115	42	17	11	5	14	3	5	12	27	2	4	2	21	445	0	445	NA
"84"	"72"	115	56	8	81	14	2	6	4	40	11	94	6	5	18	43	503	0	503	NA
"85"	"73"	21	475	4	21	0	0	1	0	8	6	12	3	0	1	8	560	0	560	NA
"86"	"74"	127	134	16	50	16	1	6	4	3	3	6	1	7	13	19	406	0	406	NA
"87"	"74-A"	57	177	21	40	8	1	1	1	2	8	8	5	4	9	26	368	0	368	NA
"88"	"75"	68	93	5	154	4	3	4	0	0	6	5	4	0	2	6	354	0	354	NA
"89"	"76"	133	245	14	47	12	5	5	0	4	2	17	4	3	2	15	508	0	508	NA
"90"	"77"	92	156	18	74	5	2	3	3	0	2	18	3	4	13	20	413	0	413	NA
"91"	"78"	195	120	89	66	7	6	11	2	4	4	2	7	10	16	22	561	0	561	NA
"92"	"79"	287	235	7	57	7	1	10	5	1	6	8	2	8	11	39	684	0	684	NA
"93"	"80"	67	101	4	286	16	1	2	3	0	3	6	2	3	7	12	513	0	513	NA
"94"	"81"	50	135	6	82	6	1	1	0	1	2	0	2	3	0	13	302	0	302	NA
"95"	"82"	68	91	6	303	8	2	0	0	2	3	2	1	0	1	3	490	0	490	NA
"96"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"98"	"83"	26	123	5	199	3	1	3	0	2	4	5	3	4	1	7	386	0	386	NA
"99"	"84"	73	210	40	238	10	5	3	1	1	1	4	5	6	9	10	616	0	616	NA
"100"	"85"	71	353	10	110	0	3	1	0	3	8	2	3	5	15	20	604	0	604	NA
"101"	"86"	114	224	6	128	6	1	3	0	3	1	1	3	5	10	18	523	0	523	NA
"102"	"87"	55	191	4	79	2	1	0	1	2	4	2	0	2	1	8	352	0	352	NA
"103"	"88"	62	153	10	176	6	1	1	1	4	2	2	0	3	2	3	426	0	426	NA
"104"	"89"	102	134	4	132	3	1	1	1	4	2	3	3	1	0	9	400	0	400	NA
"105"	"90"	43	122	5	331	6	0	1	1	0	1	4	5	4	1	8	532	0	532	NA
"106"	"91"	45	126	1	114	1	1	0	0	0	0	1	1	0	1	2	293	0	293	NA
"107"	"92"	36	134	3	389	6	3	0	0	2	2	3	9	1	5	10	603	0	603	NA
"108"	"93"	35	145	5	212	3	0	0	0	0	2	0	0	0	3	3	408	0	408	NA
"109"	"94"	203	16	30	73	7	0	5	2	0	0	8	3	2	2	22	373	0	373	NA
"110"	"95"	58	188	3	219	4	0	2	0	1	1	0	2	1	0	3	482	0	482	NA
"111"	"96"	33	148	4	196	0	1	1	0	1	2	3	1	0	0	8	398	0	398	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"114"	"97"	20	84	0	102	2	2	1	0	1	0	1	1	1	3	5	223	0	223	NA
"115"	"98"	11	70	4	513	3	0	0	0	0	1	1	2	0	2	3	610	0	610	NA
"116"	"99"	13	45	3	283	2	1	1	0	2	1	0	5	1	2	1	360	0	360	NA
"117"	"100"	28	132	4	300	10	0	3	1	6	7	12	11	8	7	21	550	0	550	NA
"118"	"101"	201	74	4	93	1	0	1	0	0	0	2	2	0	0	5	383	0	383	NA
"119"	"102"	41	193	1	258	2	1	3	0	1	1	2	2	1	1	2	509	0	509	NA
"120"	"103"	44	96	7	54	1	0	1	0	0	2	3	0	1	0	5	214	0	214	NA
"121"	"104"	245	23	13	44	4	1	4	2	1	4	28	0	1	4	17	391	0	391	NA
"122"	"104-A"	125	52	21	75	2	0	4	1	1	3	32	4	7	4	15	346	0	346	NA
"123"	"105"	204	271	16	57	10	2	3	2	1	5	35	1	4	9	26	646	0	646	NA
"124"	"106"	295	40	1	43	1	1	3	2	2	4	22	4	1	1	1	421	0	421	NA
"125"	"106-A"	189	24	0	19	6	1	3	0	3	2	44	4	1	2	11	309	0	309	NA
"126"	"107"	424	122	8	34	1	6	11	7	3	1	12	0	0	4	11	644	0	644	NA
"127"	"108"	80	114	2	8	7	2	3	0	1	1	96	3	1	4	7	329	0	329	NA
"128"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"130"	"109"	209	96	17	57	9	2	10	3	6	6	12	3	10	2	19	461	0	461	NA
"131"	"110"	18	224	10	85	3	1	2	0	3	5	2	6	8	10	13	390	0	390	NA
"132"	"110-A"	10	163	8	115	2	0	0	0	0	1	5	1	0	8	9	322	0	322	NA
"133"	"111"	78	225	26	114	4	0	2	1	1	1	1	3	1	4	8	469	0	469	NA
"134"	"112"	424	47	4	20	0	2	4	2	0	1	6	0	0	2	8	520	0	520	NA
"135"	"113"	399	40	45	11	5	3	6	4	2	2	6	3	9	2	33	570	0	570	NA
"136"	"114"	45	131	11	162	6	1	2	1	2	5	14	15	8	5	5	413	0	413	NA
"137"	"115"	370	175	25	211	15	2	12	1	4	5	9	3	20	17	44	913	0	913	NA
"138"	"116"	25	99	17	66	37	6	7	2	10	30	173	15	7	3	33	530	0	530	NA
"139"	"117"	305	171	9	20	2	2	4	1	1	3	8	2	1	6	31	566	0	566	NA
"140"	"118"	109	84	20	8	10	2	4	1	3	2	98	2	5	2	16	366	0	366	NA
"141"	"119"	24	6	7	7	3	1	0	1	2	1	152	5	1	0	2	212	0	212	NA
"142"	"120"	97	71	43	35	27	3	5	5	8	19	236	13	12	6	35	615	0	615	NA
"143"	"121"	151	8	1	86	4	1	4	0	1	0	71	0	1	0	4	332	0	332	NA
"144"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"146"	"122"	131	34	33	38	5	2	5	1	0	4	48	2	1	1	5	310	0	310	NA
"147"	"123"	206	36	2	86	2	0	6	1	0	2	56	0	5	1	12	415	0	415	NA
"148"	"124"	143	234	12	22	0	1	10	1	1	0	11	3	4	6	35	483	0	483	NA
"149"	"125"	170	112	28	13	8	0	0	0	0	3	41	2	3	2	11	393	0	393	NA
"150"	"126"	171	75	30	11	10	1	4	3	1	7	32	5	6	5	21	382	0	382	NA
"151"	"127"	23	300	24	18	6	0	2	2	1	5	10	3	3	10	11	418	0	418	NA
"152"	"128"	109	19	3	5	3	1	6	1	0	33	16	0	2	1	9	208	0	208	NA
"153"	"129"	21	137	8	155	8	3	3	0	4	1	6	1	5	12	22	386	0	386	NA
"154"	"130"	25	236	3	49	1	1	0	1	6	9	9	1	0	10	16	367	0	367	NA
"155"	"131"	184	120	24	13	8	3	7	1	4	15	38	3	6	7	16	449	0	449	NA
"156"	"132"	100	117	56	47	5	1	7	1	2	25	12	1	4	11	20	409	0	409	NA
"157"	"133"	202	100	118	36	8	5	18	5	1	5	29	1	4	4	8	544	0	544	NA
"158"	"134"	99	24	246	12	7	6	7	7	1	12	15	7	11	7	15	476	0	476	NA
"159"	"135"	79	12	111	3	1	2	2	0	0	2	3	3	1	1	10	230	0	230	NA
"160"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"162"	"136"	295	223	29	26	15	3	8	3	8	7	42	4	8	10	16	697	0	697	NA
"163"	"137"	83	13	14	3	2	2	5	0	0	1	2	0	4	0	11	140	0	140	NA
"164"	"138"	178	129	28	26	15	0	6	3	2	4	7	3	6	9	17	433	0	433	NA
"165"	"139"	254	36	45	73	11	3	10	2	1	9	11	3	6	1	16	481	0	481	NA
"166"	"140"	262	44	45	14	7	4	4	1	6	49	15	5	4	8	25	493	0	493	NA
"167"	"141"	154	240	14	34	5	2	4	4	5	9	16	4	3	24	29	547	0	547	NA
"168"	"142"	15	228	4	34	1	1	2	0	1	3	1	0	3	12	3	308	0	308	NA
"169"	"143"	121	10	1	16	4	1	4	1	5	46	26	3	3	3	15	259	0	259	NA
"170"	"144"	224	56	15	40	5	1	3	0	6	1	12	1	0	4	12	380	0	380	NA
"171"	"145"	75	36	5	204	3	1	0	0	0	0	0	5	1	2	7	339	0	339	NA
"172"	"146"	25	158	7	76	0	2	0	1	0	0	6	3	1	0	3	282	0	282	NA
"173"	"147"	77	130	12	204	7	3	2	0	2	3	10	5	3	4	19	481	0	481	NA
"174"	"148"	233	224	91	25	8	1	8	8	6	7	20	21	7	14	27	700	0	700	NA
"175"	"149"	114	119	11	61	8	2	4	4	0	6	21	4	6	15	158	533	0	533	NA
"176"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"178"	"150"	120	129	28	51	8	1	2	4	7	15	60	2	5	12	17	461	0	461	NA
"179"	"151"	311	116	13	30	14	4	3	2	3	5	106	3	2	8	21	641	0	641	NA
"180"	"152"	179	90	5	31	11	6	7	3	5	3	78	4	2	6	32	462	0	462	NA
"181"	"153"	28	256	3	30	2	0	0	2	0	1	3	1	1	7	6	340	0	340	NA
"182"	"154"	175	17	14	65	6	7	8	3	4	7	91	11	9	9	28	454	0	454	NA
"183"	"155"	200	54	24	25	7	3	5	2	5	6	77	2	6	4	18	438	0	438	NA
"184"	"156"	69	112	7	9	7	0	2	5	3	4	50	2	1	7	8	286	0	286	NA
"185"	"157"	167	59	23	13	7	4	1	3	3	9	173	3	4	5	15	489	0	489	NA
"186"	"158"	231	119	6	11	5	1	2	0	2	5	9	5	3	5	22	426	0	426	NA
"187"	"159"	172	123	8	23	6	0	5	1	3	9	38	2	2	6	15	413	0	413	NA
"188"	"160"	76	241	13	78	2	1	4	5	2	2	16	6	4	13	10	473	0	473	NA
"189"	"161"	33	258	2	66	3	0	0	1	0	2	3	0	2	2	1	373	0	373	NA
"190"	"162"	12	219	4	110	2	0	1	0	1	3	7	1	3	4	8	375	0	375	NA
"191"	"163"	37	202	5	126	6	3	0	1	2	1	17	6	3	4	10	423	0	423	NA
"192"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"194"	"164"	58	357	2	142	0	1	0	1	3	10	3	2	0	7	6	592	0	592	NA
"195"	"165"	94	290	8	165	4	0	5	2	1	1	1	3	1	3	13	591	0	591	NA
"196"	"166"	115	250	9	111	5	1	2	4	1	9	1	3	4	5	16	536	0	536	NA
"197"	"167"	10	167	5	69	5	1	0	0	1	2	0	4	0	1	3	268	0	268	NA
"198"	"168"	89	134	116	97	7	1	10	6	5	4	4	2	3	9	18	505	0	505	NA
"199"	"169"	19	271	4	168	0	0	0	1	2	4	2	5	6	6	19	507	0	507	NA
"200"	"170"	227	110	15	18	8	2	5	0	1	4	140	3	3	5	18	559	0	559	NA
"201"	"171"	66	120	1	10	31	7	3	2	1	7	179	5	3	5	5	445	0	445	NA
"202"	"172"	217	105	18	110	11	4	5	3	3	6	109	4	8	4	10	617	0	617	NA
"203"	"173"	240	80	7	21	23	3	3	5	8	14	228	12	6	8	36	694	0	694	NA
"204"	"174"	155	39	8	41	14	1	1	1	1	2	136	3	3	1	8	414	0	414	NA
"205"	"175"	83	98	7	31	3	3	0	2	0	4	84	7	1	2	9	334	0	334	NA
"206"	"176"	35	297	51	35	14	2	4	4	0	9	143	8	5	23	24	654	0	654	NA
"207"	"177"	58	24	3	28	3	0	0	1	0	2	80	1	0	2	2	204	0	204	NA
"208"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"210"	"178"	274	74	7	11	7	1	4	1	2	20	21	1	3	1	15	442	0	442	NA
"211"	"179"	179	61	3	3	8	1	3	4	3	49	63	3	8	6	9	403	0	403	NA
"212"	"180"	11	228	10	47	2	1	0	0	2	1	0	0	5	9	13	329	0	329	NA
"213"	"181"	25	196	50	12	2	0	2	3	1	4	15	2	7	14	8	341	0	341	NA
"214"	"182"	308	193	2	90	10	7	11	1	9	52	10	2	3	5	17	720	0	720	NA
"215"	"183"	81	279	2	75	1	0	1	0	5	10	2	0	6	9	10	481	0	481	NA
"216"	"184"	255	69	1	44	7	1	2	0	3	0	27	0	1	4	4	418	0	418	NA
"217"	"185"	205	15	3	23	7	1	1	1	3	2	7	1	5	2	10	286	0	286	NA
"218"	"186"	218	162	8	62	3	3	4	1	0	4	13	3	2	3	19	505	0	505	NA
"219"	"187"	17	146	3	145	7	0	1	1	2	1	3	5	3	4	3	341	0	341	NA
"220"	"188"	402	50	6	43	4	1	5	0	6	3	13	0	3	2	2	540	0	540	NA
"221"	"189"	18	54	1	59	3	0	0	1	1	0	3	0	0	1	5	146	0	146	NA
"222"	"190"	142	112	8	11	2	1	2	1	4	6	5	2	1	4	15	316	0	316	NA
"223"	"191"	117	113	23	21	6	0	4	8	5	3	5	7	2	5	12	331	0	331	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"226"	"192"	293	87	7	21	8	2	9	1	2	14	21	2	1	9	42	519	0	519	NA
"227"	"193"	333	94	62	28	10	2	11	0	10	4	29	3	7	5	28	626	0	626	NA
"228"	"194"	97	354	13	103	3	2	4	4	2	7	3	1	2	12	17	624	0	624	NA
"229"	"195"	325	273	8	26	13	3	7	2	21	12	27	0	2	1	22	742	0	742	NA
"230"	"196"	77	252	8	146	3	1	0	0	1	3	4	1	2	3	10	511	0	511	NA
"231"	"197"	335	78	17	87	93	4	10	4	9	5	12	1	2	3	19	679	0	679	NA
"232"	"198"	185	68	7	23	322	3	0	1	3	9	21	8	4	9	16	679	0	679	NA
"233"	"199"	459	47	3	7	9	7	5	1	3	1	34	2	2	2	11	593	0	593	NA
"234"	"200"	242	91	2	37	1	3	4	2	0	1	1	1	0	2	5	392	0	392	NA
"235"	"201"	233	131	6	33	4	1	3	0	1	2	2	1	2	5	12	436	0	436	NA
"236"	"202"	373	20	0	3	3	1	1	1	4	1	3	0	1	1	9	421	0	421	NA
"237"	"203"	276	104	11	22	3	6	3	2	2	5	18	3	5	4	19	483	0	483	NA
"238"	"204"	119	390	25	34	3	2	2	3	4	6	5	3	5	17	21	639	0	639	NA
"239"	"205"	249	294	6	66	2	2	5	1	5	1	17	5	6	13	16	688	0	688	NA
"240"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"242"	"206"	53	225	2	19	1	1	2	2	0	1	2	0	0	3	16	327	0	327	NA
"243"	"207"	53	206	4	66	1	0	0	2	0	4	1	0	0	5	10	352	0	352	NA
"244"	"208"	68	255	10	48	5	1	1	2	2	16	6	7	11	15	24	471	0	471	NA
"245"	"209"	104	200	3	150	5	0	0	2	0	2	6	2	2	7	13	496	0	496	NA
"246"	"209-A"	51	93	1	78	2	0	2	2	1	3	4	2	1	1	3	244	0	244	NA
"247"	"210"	40	285	4	88	3	3	2	1	1	2	0	2	0	2	8	441	0	441	NA
"248"	"211"	360	37	5	8	4	4	5	2	3	3	104	4	2	0	23	564	0	564	NA
"249"	"212"	294	283	30	12	9	3	6	3	3	6	15	5	5	14	27	715	0	715	NA
"250"	"213"	313	58	36	16	14	5	4	3	2	7	132	3	3	3	5	604	0	604	NA
"251"	"214"	441	18	6	9	43	6	8	4	2	12	40	4	3	3	35	634	0	634	NA
"252"	"215"	199	207	14	130	6	13	3	2	0	0	19	4	4	8	15	624	0	624	NA
"253"	"216"	318	49	5	83	3	39	7	2	2	1	44	0	3	2	8	566	0	566	NA
"254"	"217"	290	72	14	42	7	25	4	2	2	1	10	3	0	1	3	476	0	476	NA
"255"	"218"	261	38	18	10	5	9	2	1	0	4	3	1	0	1	6	359	0	359	NA
"256"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"258"	"219"	106	99	62	33	4	1	2	1	1	1	5	0	4	11	16	346	0	346	NA
"259"	"220"	417	78	6	11	7	5	4	0	4	1	7	1	2	2	17	562	0	562	NA
"260"	"221"	61	285	118	30	0	4	0	1	1	8	3	4	3	3	18	539	0	539	NA
"261"	"222"	47	190	65	27	1	6	2	0	1	1	2	3	5	9	34	393	0	393	NA
"262"	"223"	351	49	3	12	1	2	6	0	1	0	1	1	2	4	20	453	0	453	NA
"263"	"224"	218	26	0	15	0	0	0	1	0	0	0	0	0	0	7	267	0	267	NA
"264"	"225"	300	325	14	59	10	3	5	4	3	6	11	5	1	16	17	779	0	779	NA
"265"	"226"	50	359	15	122	3	1	2	2	0	2	4	1	1	6	16	584	0	584	NA
"266"	"227"	67	266	7	73	2	3	0	0	1	8	0	2	4	12	29	474	0	474	NA
"267"	"228"	86	95	15	91	1	5	0	1	2	7	19	2	2	9	11	346	0	346	NA
"268"	"229"	69	443	9	119	4	3	2	0	4	8	22	2	5	15	35	740	0	740	NA
"269"	"230"	79	226	7	10	0	0	2	0	0	1	7	0	0	5	9	346	0	346	NA
"270"	"231"	103	351	57	25	3	2	3	2	3	7	16	4	12	42	35	665	0	665	NA
"271"	"232"	96	287	23	6	4	0	4	2	9	52	8	2	6	6	17	522	0	522	NA
"272"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
"274"	"233"	566	56	4	15	9	2	9	0	2	4	27	1	1	20	25	741	0	741	NA
"275"	"234"	38	462	10	3	1	4	0	2	2	4	2	0	0	13	21	562	0	562	NA
"276"	"235"	72	424	16	3	4	6	0	2	1	1	1	2	1	3	11	547	0	547	NA
"277"	"236"	95	245	43	10	0	0	2	1	2	1	5	0	2	10	9	425	0	425	NA
"278"	"237"	287	23	17	27	7	0	9	0	2	1	55	7	2	6	19	462	0	462	NA
