"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X218929...54...218983.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"15"	""	"11"	"79"	"139"	"87"	"84"	"80"	"6"	"8"	"14"	"28"	"525"	""	"525"	""
"16"	""	"12"	"10"	"22"	"167"	"25"	"121"	"13"	"16"	"7"	"44"	"425"	""	"425"	""
"17"	""	"13"	"59"	"314"	"74"	"101"	"122"	"11"	"6"	"10"	"10"	"707"	""	"707"	""
"18"	""	"Total RN - 1"	"400"	"1381"	"1076"	"2339"	"1835"	"143"	"120"	"93"	"532"	"7919"	"0"	"7919"	"0"
"19"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"21"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"22"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"23"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"24"	"ROUND NO.-2"	"B.F."	"400"	"1381"	"1076"	"2339"	"1835"	"143"	"120"	"93"	"532"	"7919"	"0"	"7919"	""
"25"	""	"14"	"8"	"40"	"261"	"50"	"162"	"8"	"1"	"1"	"10"	"541"	""	"541"	""
"26"	""	"15"	"18"	"47"	"156"	"150"	"212"	"13"	"10"	"12"	"17"	"635"	""	"635"	""
"27"	""	"16"	"37"	"93"	"138"	"70"	"196"	"18"	"20"	"11"	"38"	"621"	""	"621"	""
"28"	""	"17"	"110"	"51"	"291"	"22"	"74"	"14"	"6"	"4"	"10"	"582"	""	"582"	""
"29"	""	"18"	"15"	"142"	"59"	"90"	"175"	"52"	"17"	"8"	"25"	"583"	""	"583"	""
"30"	""	"19"	"47"	"82"	"50"	"58"	"227"	"10"	"9"	"8"	"84"	"575"	""	"575"	""
"31"	""	"20"	"83"	"68"	"129"	"95"	"117"	"13"	"11"	"9"	"33"	"558"	""	"558"	""
"32"	""	"20A"	"35"	"8"	"47"	"81"	"101"	"6"	"8"	"8"	"4"	"298"	""	"298"	""
"33"	""	"21"	"20"	"31"	"201"	"51"	"230"	"14"	"8"	"3"	"8"	"566"	""	"566"	""
"34"	""	"22"	"61"	"21"	"32"	"144"	"60"	"8"	"1"	"1"	"9"	"337"	""	"337"	""
"35"	""	"23"	"34"	"35"	"223"	"84"	"68"	"10"	"9"	"2"	"12"	"477"	""	"477"	""
"36"	""	"24"	"51"	"125"	"139"	"127"	"49"	"18"	"10"	"15"	"21"	"555"	""	"555"	""
"37"	""	"25"	"48"	"32"	"93"	"96"	"61"	"4"	"6"	"3"	"3"	"346"	""	"346"	""
"38"	""	"26"	"150"	"89"	"161"	"58"	"66"	"10"	"10"	"7"	"13"	"564"	""	"564"	""
"39"	""	"Total RN
-2"	"717"	"864"	"1980"	"1176"	"1798"	"198"	"126"	"92"	"287"	"7238"	"0"	"7238"	"0"
"40"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"42"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"43"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"44"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"45"	"ROUND NO.-3."	"B.F."	"1117"	"2245"	"3056"	"3515"	"3633"	"341"	"246"	"185"	"819"	"15157"	"0"	"15157"	"0"
"46"	""	"27"	"32"	"14"	"190"	"43"	"216"	"3"	"8"	"3"	"11"	"520"	""	"520"	""
"47"	""	"28"	"69"	"73"	"270"	"64"	"177"	"15"	"21"	"6"	"80"	"775"	""	"775"	""
"48"	""	"29"	"22"	"29"	"53"	"128"	"309"	"7"	"9"	"3"	"47"	"607"	""	"607"	""
"49"	""	"30"	"136"	"56"	"55"	"161"	"157"	"9"	"10"	"4"	"9"	"597"	""	"597"	""
"50"	""	"31"	"15"	"13"	"348"	"15"	"296"	"9"	"9"	"3"	"4"	"712"	""	"712"	""
"51"	""	"32"	"136"	"15"	"102"	"51"	"77"	"4"	"4"	"2"	"5"	"396"	""	"396"	""
"52"	""	"33"	"13"	"12"	"278"	"6"	"182"	"12"	"6"	"9"	"7"	"525"	""	"525"	""
"53"	""	"34"	"127"	"48"	"61"	"11"	"55"	"6"	"4"	"7"	"8"	"327"	""	"327"	""
"54"	""	"35"	"27"	"54"	"41"	"66"	"93"	"5"	"4"	"6"	"10"	"306"	""	"306"	""
"55"	""	"36"	"46"	"12"	"139"	"45"	"122"	"4"	"5"	"5"	"11"	"389"	""	"389"	""
"56"	""	"37"	"20"	"194"	"20"	"29"	"212"	"24"	"19"	"9"	"10"	"537"	""	"537"	""
"57"	""	"38"	"11"	"21"	"15"	"569"	"80"	"6"	"8"	"2"	"3"	"715"	""	"715"	""
"58"	""	"39"	"20"	"166"	"63"	"155"	"289"	"14"	"15"	"5"	"23"	"750"	""	"750"	""
"59"	""	"40"	"32"	"57"	"396"	"17"	"55"	"9"	"8"	"6"	"13"	"593"	""	"593"	""
"60"	""	"Total RN
-3"	"706"	"764"	"2031"	"1360"	"2320"	"127"	"130"	"70"	"241"	"7749"	"0"	"7749"	"0"
"61"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"63"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"64"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"65"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"66"	"ROUND NO.-4"	"B.F."	"1823"	"3009"	"5087"	"4875"	"5953"	"468"	"376"	"255"	"1060"	"22906"	"0"	"22906"	"0"
"67"	""	"41"	"38"	"87"	"360"	"38"	"214"	"20"	"11"	"4"	"94"	"866"	""	"866"	""
"68"	""	"42"	"21"	"70"	"207"	"7"	"321"	"11"	"9"	"2"	"7"	"655"	""	"655"	""
"69"	""	"43"	"16"	"17"	"152"	"100"	"126"	"7"	"10"	"1"	"6"	"435"	""	"435"	""
"70"	""	"44"	"187"	"113"	"19"	"12"	"75"	"3"	"3"	"4"	"5"	"421"	""	"421"	""
"71"	""	"45"	"248"	"59"	"16"	"35"	"21"	"2"	"3"	"8"	"20"	"412"	""	"412"	""
"72"	""	"46"	"360"	"103"	"20"	"63"	"154"	"15"	"9"	"5"	"16"	"745"	""	"745"	""
"73"	""	"46A"	"103"	"48"	"6"	"8"	"47"	"1"	"4"	"2"	"2"	"221"	""	"221"	""
"74"	""	"47"	"181"	"54"	"175"	"36"	"29"	"3"	"10"	"4"	"15"	"507"	""	"507"	""
"75"	""	"48"	"219"	"69"	"93"	"112"	"83"	"6"	"3"	"4"	"16"	"605"	""	"605"	""
"76"	""	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"77"	""	"50"	"86"	"72"	"63"	"148"	"96"	"12"	"8"	"10"	"34"	"529"	""	"529"	""
"78"	""	"51"	"145"	"40"	"24"	"55"	"130"	"3"	"5"	"5"	"28"	"435"	""	"435"	""
"79"	""	"52"	"35"	"134"	"47"	"158"	"201"	"14"	"15"	"12"	"69"	"685"	""	"685"	""
"80"	""	"53"	"11"	"247"	"54"	"13"	"116"	"9"	"11"	"5"	"44"	"510"	""	"510"	""
"81"	""	"Total RN
-4"	"1650"	"1113"	"1236"	"785"	"1613"	"106"	"101"	"66"	"356"	"7026"	"0"	"7026"	"0"
"82"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"84"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"85"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"86"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"87"	"ROUND NO.-5"	"B.F."	"3473"	"4122"	"6323"	"5660"	"7566"	"574"	"477"	"321"	"1416"	"29932"	"0"	"29932"	"0"
"88"	""	"54"	"8"	"152"	"17"	"11"	"100"	"4"	"8"	"1"	"23"	"324"	""	"324"	""
"89"	""	"55"	"12"	"52"	"47"	"33"	"197"	"7"	"7"	"10"	"40"	"405"	""	"405"	""
"90"	""	"56"	"5"	"111"	"27"	"42"	"230"	"6"	"6"	"5"	"4"	"436"	""	"436"	""
"91"	""	"57"	"9"	"96"	"130"	"13"	"144"	"7"	"11"	"3"	"19"	"432"	""	"432"	""
"92"	""	"58"	"1"	"140"	"65"	"5"	"53"	"0"	"0"	"0"	"0"	"264"	""	"264"	""
"93"	""	"59"	"19"	"57"	"209"	"9"	"8"	"11"	"3"	"1"	"4"	"321"	""	"321"	""
"94"	""	"60"	"121"	"114"	"124"	"14"	"165"	"13"	"14"	"2"	"14"	"581"	""	"581"	""
"95"	""	"61"	"22"	"126"	"57"	"11"	"230"	"9"	"12"	"3"	"24"	"494"	""	"494"	""
"96"	""	"62"	"20"	"140"	"119"	"40"	"137"	"11"	"12"	"4"	"12"	"495"	""	"495"	""
"97"	""	"63"	"15"	"221"	"94"	"28"	"146"	"7"	"8"	"2"	"5"	"526"	""	"526"	""
"98"	""	"64"	"26"	"119"	"19"	"81"	"91"	"6"	"7"	"3"	"9"	"361"	""	"361"	""
"99"	""	"65"	"11"	"163"	"67"	"116"	"87"	"7"	"4"	"1"	"3"	"459"	""	"459"	""
"100"	""	"66"	"38"	"150"	"66"	"93"	"82"	"9"	"9"	"2"	"20"	"469"	""	"469"	""
"101"	""	"67"	"21"	"221"	"63"	"28"	"45"	"5"	"3"	"4"	"14"	"404"	""	"404"	""
"102"	""	"Total RN
-5"	"328"	"1862"	"1104"	"524"	"1715"	"102"	"104"	"41"	"191"	"5971"	"0"	"5971"	"0"
"103"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"105"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"106"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"107"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"108"	"ROUND NO.-6"	"B.F."	"3801"	"5984"	"7427"	"6184"	"9281"	"676"	"581"	"362"	"1607"	"35903"	"0"	"35903"	"0"
"109"	""	"68"	"12"	"226"	"36"	"13"	"112"	"7"	"12"	"5"	"22"	"445"	""	"445"	""
"110"	""	"68A"	"38"	"183"	"88"	"13"	"45"	"6"	"9"	"6"	"19"	"407"	""	"407"	""
"111"	""	"69"	"31"	"332"	"257"	"23"	"49"	"9"	"8"	"5"	"14"	"728"	""	"728"	""
"112"	""	"70"	"47"	"193"	"167"	"63"	"45"	"5"	"4"	"2"	"10"	"536"	""	"536"	""
"113"	""	"70A"	"12"	"224"	"32"	"18"	"63"	"8"	"7"	"1"	"12"	"377"	""	"377"	""
"114"	""	"71"	"49"	"252"	"163"	"17"	"130"	"18"	"13"	"8"	"28"	"678"	""	"678"	""
"115"	""	"72"	"4"	"124"	"22"	"213"	"152"	"23"	"16"	"8"	"10"	"572"	""	"572"	""
"116"	""	"73"	"21"	"154"	"43"	"75"	"248"	"20"	"21"	"11"	"23"	"616"	""	"616"	""
"117"	""	"74"	"14"	"109"	"41"	"212"	"20"	"13"	"5"	"3"	"17"	"434"	""	"434"	""
"118"	""	"75"	"65"	"116"	"41"	"245"	"314"	"22"	"16"	"9"	"19"	"847"	""	"847"	""
"119"	""	"76"	"15"	"115"	"15"	"181"	"221"	"13"	"16"	"8"	"17"	"601"	""	"601"	""
"120"	""	"77"	"15"	"273"	"116"	"34"	"36"	"7"	"6"	"10"	"66"	"563"	""	"563"	""
"121"	""	"78"	"13"	"223"	"44"	"45"	"57"	"5"	"3"	"1"	"9"	"400"	""	"400"	""
"122"	""	"79"	"10"	"154"	"40"	"48"	"292"	"11"	"16"	"5"	"16"	"592"	""	"592"	""
"123"	""	"Total RN
-6"	"346"	"2678"	"1105"	"1200"	"1784"	"167"	"152"	"82"	"282"	"7796"	"0"	"7796"	"0"
"124"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"126"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"127"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"128"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"129"	"ROUND NO.-7"	"B.F."	"4147"	"8662"	"8532"	"7384"	"11065"	"843"	"733"	"444"	"1889"	"43699"	"0"	"43699"	"0"
"130"	""	"80"	"33"	"158"	"67"	"193"	"158"	"9"	"18"	"4"	"31"	"671"	""	"671"	""
"131"	""	"81"	"18"	"104"	"106"	"31"	"316"	"14"	"18"	"5"	"10"	"622"	""	"622"	""
"132"	""	"82"	"11"	"33"	"29"	"24"	"77"	"6"	"4"	"0"	"10"	"194"	""	"194"	""
"133"	""	"83"	"40"	"37"	"108"	"48"	"206"	"20"	"21"	"9"	"15"	"504"	""	"504"	""
"134"	""	"84"	"5"	"10"	"116"	"17"	"139"	"11"	"14"	"2"	"11"	"325"	""	"325"	""
"135"	""	"85"	"11"	"95"	"96"	"38"	"215"	"20"	"19"	"12"	"20"	"526"	""	"526"	""
"136"	""	"86"	"24"	"269"	"181"	"72"	"123"	"9"	"8"	"5"	"13"	"704"	""	"704"	""
"137"	""	"87"	"224"	"72"	"110"	"86"	"167"	"16"	"20"	"9"	"16"	"720"	""	"720"	""
"138"	""	"88"	"60"	"80"	"114"	"62"	"90"	"20"	"17"	"9"	"28"	"480"	""	"480"	""
"139"	""	"89"	"50"	"59"	"107"	"110"	"156"	"14"	"19"	"8"	"9"	"532"	""	"532"	""
"140"	""	"90"	"37"	"13"	"65"	"141"	"216"	"13"	"14"	"10"	"12"	"521"	""	"521"	""
"141"	""	"91"	"78"	"27"	"25"	"253"	"78"	"8"	"5"	"3"	"4"	"481"	""	"481"	""
"142"	""	"92"	"8"	"61"	"41"	"316"	"90"	"10"	"11"	"3"	"5"	"545"	""	"545"	""
"143"	""	"93"	"32"	"33"	"89"	"194"	"218"	"37"	"24"	"15"	"135"	"777"	""	"777"	""
"144"	""	"Total RN
-7"	"631"	"1051"	"1254"	"1585"	"2249"	"207"	"212"	"94"	"319"	"7602"	"0"	"7602"	"0"
"145"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"147"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"148"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"149"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"150"	"ROUND NO.-8"	"B.F."	"4778"	"9713"	"9786"	"8969"	"13314"	"1050"	"945"	"538"	"2208"	"51301"	"0"	"51301"	"0"
"151"	""	"94"	"54"	"28"	"169"	"41"	"232"	"21"	"12"	"5"	"65"	"627"	""	"627"	""
"152"	""	"95"	"14"	"134"	"192"	"63"	"80"	"7"	"15"	"3"	"15"	"523"	""	"523"	""
"153"	""	"96"	"34"	"75"	"32"	"19"	"145"	"10"	"16"	"9"	"309"	"649"	""	"649"	""
"154"	""	"97"	"2"	"36"	"277"	"42"	"100"	"8"	"15"	"2"	"37"	"519"	""	"519"	""
"155"	""	"98"	"12"	"190"	"236"	"42"	"179"	"9"	"10"	"7"	"17"	"702"	""	"702"	""
"156"	""	"99"	"23"	"99"	"22"	"2"	"194"	"5"	"8"	"2"	"90"	"445"	""	"445"	""
"157"	""	"100"	"23"	"99"	"80"	"24"	"120"	"10"	"15"	"6"	"15"	"392"	""	"392"	""
"158"	""	"101"	"89"	"71"	"180"	"33"	"280"	"18"	"16"	"9"	"12"	"708"	""	"708"	""
"159"	""	"102"	"6"	"13"	"12"	"327"	"101"	"6"	"4"	"0"	"11"	"480"	""	"480"	""
"160"	""	"103"	"8"	"30"	"141"	"251"	"127"	"6"	"12"	"3"	"13"	"591"	""	"591"	""
"161"	""	"104"	"11"	"63"	"88"	"83"	"39"	"4"	"5"	"5"	"8"	"306"	""	"306"	""
"162"	""	"105"	"11"	"144"	"139"	"298"	"39"	"3"	"9"	"3"	"13"	"659"	""	"659"	""
"163"	""	"106"	"6"	"97"	"53"	"136"	"158"	"5"	"14"	"2"	"16"	"487"	""	"487"	""
"164"	""	"107"	"21"	"144"	"78"	"516"	"69"	"19"	"17"	"7"	"26"	"897"	""	"897"	""
"165"	""	"Total RN
-8"	"314"	"1223"	"1699"	"1877"	"1863"	"131"	"168"	"63"	"647"	"7985"	"0"	"7985"	"0"
"166"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"168"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"169"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"170"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"171"	"ROUND NO.-9"	"B.F."	"5092"	"10936"	"11485"	"10846"	"15177"	"1181"	"1113"	"601"	"2855"	"59286"	"0"	"59286"	"0"
"172"	""	"108"	"158"	"250"	"28"	"114"	"371"	"22"	"21"	"6"	"9"	"979"	""	"979"	""
"173"	""	"109"	"95"	"171"	"15"	"8"	"199"	"5"	"8"	"6"	"14"	"521"	""	"521"	""
"174"	""	"110"	"51"	"163"	"37"	"19"	"175"	"10"	"14"	"3"	"18"	"490"	""	"490"	""
"175"	""	"111"	"86"	"169"	"9"	"37"	"165"	"6"	"11"	"7"	"12"	"502"	""	"502"	""
"176"	""	"112"	"208"	"167"	"35"	"6"	"183"	"10"	"19"	"4"	"16"	"648"	""	"648"	""
"177"	""	"113"	"43"	"175"	"65"	"115"	"177"	"16"	"17"	"6"	"9"	"623"	""	"623"	""
"178"	""	"114"	"28"	"189"	"99"	"280"	"69"	"7"	"14"	"9"	"21"	"716"	""	"716"	""
"179"	""	"115"	"71"	"159"	"62"	"142"	"94"	"14"	"14"	"7"	"28"	"591"	""	"591"	""
"180"	""	"116"	"24"	"172"	"50"	"98"	"168"	"9"	"17"	"3"	"7"	"548"	""	"548"	""
"181"	""	"117"	"19"	"129"	"103"	"92"	"113"	"12"	"11"	"4"	"13"	"496"	""	"496"	""
"182"	""	"118"	"40"	"52"	"45"	"30"	"157"	"9"	"13"	"10"	"19"	"375"	""	"375"	""
"183"	""	"118A"	"8"	"48"	"15"	"9"	"251"	"17"	"6"	"4"	"12"	"370"	""	"370"	""
"184"	""	"119"	"18"	"146"	"61"	"35"	"336"	"14"	"15"	"12"	"12"	"649"	""	"649"	""
"185"	""	"120"	"11"	"222"	"61"	"44"	"151"	"10"	"9"	"4"	"7"	"519"	""	"519"	""
"186"	""	"Total RN
-9"	"860"	"2212"	"685"	"1029"	"2609"	"161"	"189"	"85"	"197"	"8027"	"0"	"8027"	"0"
"187"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"189"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"190"	""	""	"Basant Kumar"	"Ram
Naresh Pandey"	"Ramashish Yadav"	"Md. Shabbir"	"Shaligram Yadav"	"Sanjay Paswan"	"Md.
Nezamuddi n Neshat"	"Rakseh
Kumar Pathak"	"Hiralal Sah"	""	""	""	""
"191"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"192"	"ROUND NO.-10"	"B.F."	"5952"	"13148"	"12170"	"11875"	"17786"	"1342"	"1302"	"686"	"3052"	"67313"	"0"	"67313"	"0"
"193"	""	"121"	"24"	"163"	"29"	"11"	"222"	"9"	"23"	"7"	"39"	"527"	""	"527"	""
"194"	""	"122"	"8"	"145"	"54"	"49"	"191"	"18"	"19"	"6"	"30"	"520"	""	"520"	""
"195"	""	"123"	"19"	"69"	"36"	"56"	"394"	"26"	"23"	"17"	"23"	"663"	""	"663"	""
"196"	""	"124"	"14"	"97"	"38"	"492"	"173"	"16"	"8"	"7"	"30"	"875"	""	"875"	""
"197"	""	"125"	"10"	"167"	"61"	"67"	"108"	"16"	"17"	"9"	"30"	"485"	""	"485"	""
"198"	""	"126"	"8"	"142"	"112"	"16"	"175"	"30"	"16"	"6"	"16"	"521"	""	"521"	""
"199"	""	"127"	"6"	"172"	"106"	"24"	"92"	"23"	"16"	"10"	"42"	"491"	""	"491"	""
"200"	""	"127A"	"2"	"59"	"78"	"12"	"46"	"6"	"13"	"4"	"20"	"240"	""	"240"	""
"201"	""	"128"	"50"	"65"	"160"	"62"	"101"	"6"	"4"	"0"	"6"	"454"	""	"454"	""
"202"	""	"129"	"221"	"160"	"162"	"16"	"202"	"4"	"20"	"8"	"21"	"814"	""	"814"	""
"203"	""	"130"	"63"	"40"	"181"	"5"	"92"	"11"	"9"	"3"	"26"	"430"	""	"430"	""
"204"	""	"131"	"55"	"109"	"178"	"123"	"155"	"10"	"18"	"9"	"59"	"716"	""	"716"	""
"205"	""	"132"	"8"	"136"	"174"	"17"	"72"	"10"	"16"	"8"	"18"	"459"	""	"459"	""
"206"	""	"132A"	"12"	"198"	"49"	"12"	"86"	"3"	"16"	"5"	"9"	"390"	""	"390"	""
"207"	""	"Total RN
-10"	"500"	"1722"	"1418"	"962"	"2109"	"188"	"218"	"99"	"369"	"7585"	"0"	"7585"	"0"
"208"	"Name of the Assembly  Segment  :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	""	""	""	""	""	""	""	"218929 + 54 = 218983
31-Harlakhi"	""	""	""	""	""	""	""
"210"	"ROUND NO."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
