"Total.No..of.Electors.in.Assembly.Constituency........199458"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"09- Sikta Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"09- Sikta Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"32"	"15"	"7"	"4"	"240"	"14"	"17"	"4"	"23"	"5"	"6"	"3"	"3"	"6"	"72"	"480"	"9"	"9"	"1"	"3"	"906"	"0"	"906"	"0"	""
"33"	"16"	"11"	"5"	"89"	"8"	"6"	"3"	"13"	"1"	"2"	"2"	"2"	"3"	"40"	"463"	"6"	"6"	"2"	"5"	"667"	"0"	"667"	"0"	""
"34"	"17"	"0"	"1"	"47"	"9"	"2"	"1"	"5"	"1"	"0"	"0"	"1"	"1"	"27"	"184"	"4"	"3"	"1"	"1"	"288"	"0"	"288"	"0"	""
"35"	"18"	"6"	"5"	"213"	"17"	"13"	"4"	"18"	"4"	"0"	"1"	"3"	"2"	"12"	"638"	"1"	"5"	"3"	"3"	"948"	"0"	"948"	"0"	""
"36"	"19"	"0"	"0"	"27"	"6"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"56"	"48"	"1"	"5"	"1"	"1"	"149"	"0"	"149"	"0"	""
"37"	"20"	"2"	"1"	"44"	"1"	"0"	"0"	"7"	"1"	"2"	"0"	"2"	"0"	"2"	"401"	"6"	"6"	"1"	"1"	"477"	"0"	"477"	"0"	""
"38"	"21"	"4"	"3"	"205"	"4"	"4"	"5"	"9"	"0"	"0"	"0"	"2"	"1"	"27"	"381"	"1"	"4"	"8"	"5"	"663"	"0"	"663"	"0"	""
"39"	"22"	"2"	"1"	"132"	"5"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"12"	"335"	"4"	"5"	"6"	"4"	"510"	"0"	"510"	"0"	""
"40"	"23"	"2"	"2"	"346"	"5"	"5"	"9"	"5"	"4"	"5"	"3"	"7"	"11"	"25"	"279"	"11"	"16"	"4"	"10"	"749"	"0"	"749"	"0"	""
"41"	"24"	"1"	"2"	"206"	"3"	"3"	"5"	"5"	"2"	"1"	"3"	"2"	"1"	"15"	"153"	"2"	"5"	"0"	"5"	"414"	"0"	"414"	"0"	""
"42"	"25"	"2"	"3"	"138"	"5"	"16"	"0"	"11"	"2"	"1"	"0"	"1"	"0"	"10"	"434"	"4"	"6"	"0"	"0"	"633"	"0"	"633"	"0"	""
"43"	"26"	"3"	"3"	"455"	"10"	"16"	"1"	"23"	"2"	"1"	"0"	"1"	"2"	"18"	"217"	"2"	"4"	"2"	"5"	"765"	"0"	"765"	"0"	""
"44"	"27"	"6"	"4"	"173"	"19"	"1"	"5"	"43"	"1"	"3"	"2"	"5"	"4"	"23"	"395"	"3"	"5"	"4"	"5"	"701"	"0"	"701"	"0"	""
"45"	"28"	"1"	"2"	"179"	"7"	"2"	"1"	"6"	"0"	"4"	"1"	"2"	"3"	"18"	"182"	"1"	"2"	"0"	"1"	"412"	"0"	"412"	"0"	""
"46"	"Total"	"47"	"36"	"2494"	"113"	"87"	"38"	"171"	"23"	"27"	"15"	"32"	"34"	"357"	"4590"	"55"	"81"	"33"	"49"	"8282"	"0"	"8282"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"09- Sikta Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"57"	"29"	"4"	"2"	"269"	"9"	"2"	"5"	"22"	"4"	"2"	"0"	"3"	"1"	"18"	"235"	"6"	"3"	"2"	"2"	"589"	"0"	"589"	"0"	""
"58"	"30"	"6"	"2"	"384"	"18"	"11"	"7"	"29"	"4"	"3"	"5"	"3"	"7"	"17"	"202"	"5"	"10"	"2"	"0"	"715"	"0"	"715"	"0"	""
"59"	"31"	"10"	"4"	"303"	"72"	"14"	"6"	"36"	"3"	"2"	"7"	"9"	"2"	"26"	"244"	"12"	"3"	"6"	"4"	"763"	"0"	"763"	"0"	""
"60"	"32"	"6"	"3"	"100"	"43"	"1"	"0"	"7"	"2"	"0"	"2"	"2"	"1"	"29"	"207"	"9"	"4"	"4"	"3"	"423"	"0"	"423"	"0"	""
"61"	"33"	"2"	"1"	"52"	"63"	"4"	"3"	"4"	"0"	"1"	"1"	"1"	"0"	"6"	"59"	"7"	"0"	"0"	"0"	"204"	"0"	"204"	"0"	""
"62"	"34"	"1"	"1"	"126"	"2"	"80"	"1"	"9"	"1"	"0"	"1"	"3"	"0"	"2"	"238"	"4"	"2"	"0"	"2"	"473"	"0"	"473"	"0"	""
"63"	"35"	"20"	"6"	"470"	"36"	"18"	"11"	"7"	"5"	"2"	"5"	"3"	"0"	"10"	"133"	"3"	"3"	"2"	"1"	"735"	"0"	"735"	"0"	""
"64"	"36"	"4"	"0"	"147"	"46"	"12"	"1"	"8"	"0"	"1"	"0"	"3"	"1"	"11"	"182"	"4"	"4"	"3"	"1"	"428"	"0"	"428"	"0"	""
"65"	"37"	"2"	"4"	"333"	"6"	"14"	"6"	"10"	"3"	"2"	"5"	"2"	"5"	"13"	"303"	"9"	"17"	"3"	"1"	"738"	"0"	"738"	"0"	""
"66"	"38"	"26"	"4"	"264"	"10"	"7"	"7"	"7"	"3"	"6"	"2"	"0"	"2"	"11"	"319"	"6"	"4"	"2"	"3"	"683"	"0"	"683"	"0"	""
"67"	"39"	"10"	"4"	"294"	"30"	"5"	"4"	"8"	"3"	"1"	"5"	"2"	"1"	"9"	"256"	"5"	"3"	"4"	"15"	"659"	"0"	"659"	"0"	""
"68"	"40"	"2"	"3"	"37"	"17"	"4"	"2"	"10"	"0"	"2"	"1"	"4"	"3"	"33"	"215"	"4"	"9"	"0"	"1"	"347"	"0"	"347"	"0"	""
"69"	"41"	"2"	"0"	"95"	"30"	"9"	"1"	"23"	"1"	"1"	"1"	"4"	"3"	"13"	"320"	"5"	"4"	"0"	"5"	"517"	"0"	"517"	"0"	""
"70"	"42"	"2"	"2"	"37"	"3"	"1"	"2"	"19"	"4"	"0"	"8"	"3"	"3"	"27"	"314"	"6"	"7"	"0"	"4"	"442"	"0"	"442"	"0"	""
"71"	"Total"	"97"	"36"	"2911"	"385"	"182"	"56"	"199"	"33"	"23"	"43"	"42"	"29"	"225"	"3227"	"85"	"73"	"28"	"42"	"7716"	"0"	"7716"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"09- Sikta Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"82"	"43"	"8"	"7"	"203"	"43"	"27"	"8"	"7"	"2"	"3"	"1"	"2"	"1"	"11"	"252"	"6"	"4"	"2"	"4"	"591"	"0"	"591"	"0"	""
"83"	"43 A"	"6"	"0"	"129"	"21"	"7"	"3"	"6"	"2"	"0"	"1"	"0"	"0"	"12"	"233"	"4"	"4"	"1"	"3"	"432"	"0"	"432"	"0"	""
"84"	"44"	"0"	"0"	"35"	"3"	"2"	"0"	"5"	"0"	"0"	"1"	"0"	"2"	"22"	"168"	"0"	"1"	"1"	"3"	"243"	"0"	"243"	"0"	""
"85"	"45"	"6"	"3"	"139"	"18"	"5"	"1"	"9"	"1"	"2"	"2"	"5"	"3"	"21"	"326"	"14"	"11"	"2"	"6"	"574"	"0"	"574"	"0"	""
"86"	"46"	"6"	"4"	"218"	"11"	"2"	"4"	"7"	"1"	"2"	"4"	"2"	"0"	"4"	"127"	"3"	"6"	"1"	"2"	"404"	"0"	"404"	"0"	""
"87"	"47"	"5"	"1"	"288"	"1"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"109"	"1"	"0"	"1"	"1"	"414"	"0"	"414"	"0"	""
"88"	"48"	"1"	"0"	"103"	"5"	"5"	"2"	"3"	"0"	"0"	"0"	"1"	"2"	"3"	"171"	"1"	"4"	"0"	"1"	"302"	"0"	"302"	"0"	""
"89"	"49"	"5"	"63"	"238"	"12"	"34"	"4"	"17"	"3"	"16"	"1"	"3"	"5"	"15"	"343"	"11"	"29"	"0"	"16"	"815"	"0"	"815"	"0"	""
"90"	"50"	"1"	"16"	"172"	"2"	"9"	"1"	"26"	"1"	"0"	"4"	"2"	"0"	"6"	"123"	"3"	"4"	"2"	"1"	"373"	"0"	"373"	"0"	""
"91"	"51"	"7"	"0"	"26"	"8"	"2"	"2"	"199"	"12"	"8"	"10"	"2"	"0"	"15"	"137"	"12"	"11"	"0"	"1"	"452"	"0"	"452"	"0"	""
"92"	"52"	"16"	"1"	"77"	"75"	"4"	"5"	"15"	"1"	"3"	"7"	"1"	"4"	"19"	"457"	"2"	"5"	"2"	"0"	"694"	"0"	"694"	"0"	""
"93"	"53"	"0"	"2"	"212"	"16"	"79"	"3"	"13"	"1"	"6"	"2"	"3"	"1"	"4"	"35"	"2"	"2"	"2"	"1"	"384"	"0"	"384"	"0"	""
"94"	"54"	"4"	"6"	"225"	"39"	"5"	"2"	"10"	"3"	"4"	"0"	"1"	"4"	"58"	"409"	"7"	"11"	"0"	"3"	"791"	"0"	"791"	"0"	""
"95"	"55"	"4"	"3"	"63"	"39"	"24"	"2"	"18"	"4"	"2"	"1"	"5"	"7"	"38"	"265"	"7"	"11"	"0"	"2"	"495"	"0"	"495"	"0"	""
"96"	"Total"	"69"	"106"	"2128"	"293"	"209"	"37"	"337"	"31"	"46"	"34"	"27"	"29"	"229"	"3155"	"73"	"103"	"14"	"44"	"6964"	"0"	"6964"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"09- Sikta Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"107"	"56"	"6"	"6"	"175"	"31"	"6"	"6"	"11"	"1"	"2"	"3"	"2"	"1"	"10"	"205"	"3"	"3"	"1"	"0"	"472"	"0"	"472"	"0"	""
"108"	"56 A"	"2"	"1"	"160"	"24"	"1"	"4"	"7"	"2"	"1"	"2"	"3"	"6"	"18"	"226"	"8"	"10"	"0"	"2"	"477"	"0"	"477"	"0"	""
"109"	"57"	"4"	"2"	"157"	"114"	"8"	"1"	"11"	"3"	"0"	"2"	"2"	"2"	"27"	"233"	"7"	"6"	"2"	"1"	"582"	"0"	"582"	"0"	""
"110"	"58"	"10"	"3"	"67"	"40"	"6"	"7"	"31"	"1"	"5"	"1"	"2"	"6"	"17"	"314"	"7"	"5"	"1"	"1"	"524"	"0"	"524"	"0"	""
"111"	"59"	"12"	"3"	"115"	"85"	"6"	"1"	"15"	"3"	"2"	"3"	"4"	"6"	"20"	"272"	"16"	"6"	"8"	"3"	"580"	"0"	"580"	"0"	""
"112"	"60"	"7"	"1"	"110"	"14"	"1"	"2"	"19"	"3"	"1"	"0"	"1"	"2"	"23"	"388"	"9"	"1"	"2"	"2"	"586"	"0"	"586"	"0"	""
"113"	"61"	"5"	"4"	"54"	"6"	"4"	"3"	"35"	"3"	"1"	"1"	"6"	"4"	"10"	"434"	"14"	"15"	"0"	"1"	"600"	"0"	"600"	"0"	""
"114"	"62"	"5"	"4"	"105"	"10"	"8"	"2"	"49"	"4"	"2"	"2"	"4"	"5"	"18"	"228"	"6"	"1"	"1"	"4"	"458"	"0"	"458"	"0"	""
"115"	"63"	"7"	"4"	"68"	"20"	"104"	"5"	"11"	"2"	"3"	"1"	"4"	"4"	"113"	"145"	"4"	"5"	"4"	"0"	"504"	"0"	"504"	"0"	""
"116"	"64"	"6"	"5"	"164"	"9"	"20"	"9"	"33"	"7"	"5"	"2"	"4"	"6"	"80"	"270"	"9"	"8"	"6"	"5"	"648"	"0"	"648"	"0"	""
"117"	"65"	"11"	"1"	"495"	"48"	"19"	"9"	"4"	"2"	"20"	"2"	"5"	"4"	"11"	"113"	"7"	"7"	"5"	"5"	"768"	"0"	"768"	"0"	""
"118"	"66"	"11"	"3"	"407"	"26"	"26"	"6"	"3"	"3"	"6"	"4"	"4"	"3"	"56"	"89"	"2"	"0"	"3"	"2"	"654"	"0"	"654"	"0"	""
"119"	"67"	"10"	"5"	"207"	"182"	"9"	"7"	"27"	"4"	"6"	"2"	"8"	"7"	"21"	"274"	"68"	"12"	"4"	"5"	"858"	"0"	"858"	"0"	""
"120"	"68"	"20"	"5"	"150"	"70"	"7"	"2"	"11"	"2"	"1"	"2"	"4"	"3"	"4"	"216"	"8"	"4"	"2"	"4"	"515"	"0"	"515"	"0"	""
"121"	"Total"	"116"	"47"	"2434"	"679"	"225"	"64"	"267"	"40"	"55"	"27"	"53"	"59"	"428"	"3407"	"168"	"83"	"39"	"35"	"8226"	"0"	"8226"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"09- Sikta Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      199458"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"09- Sikta Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"AYUB ANSARI"	"IRSHAD SHEIKH"	"KHURSHID URF FIROJ AHAMAD"	"GHANSHY AM PRASAD"	"FAIYAZUL AZAM"	"MAMOOR ALAM"	"VIRENDRA PRASAD GUPTA"	"SHAKIL AHAMAD"	"SHAMS PERWAIZ"	"SATYANIS H PANDEY"	"SURYA DEO PRASAD"	"EZAZ AHAMAD"	"KRISHNA PRASAD"	"DILIP VARMA"	"PRABHU SHARAN PRASAD URF
MUNNAJI"	"BALIRAM PRASAD"	"YADAV SINGH"	"SABBIR AHAMAD"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"132"	"69"	"6"	"5"	"186"	"44"	"5"	"4"	"174"	"2"	"5"	"2"	"5"	"1"	"5"	"330"	"4"	"1"	"0"	"3"	"782"	"0"	"782"	"0"	""
