"Assembly.Constituency...116.TARAIYA"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 116 TARAIYA CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of Voters : 213504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"30"	"20"	""	"4"	"26"	"36"	"5"	"49"	"1"	"1"	"6"	"2"	"0"	"6"	"88"	"50"	"2"	"9"	"285"	"-----"	"285"	"-----"
"31"	"21"	""	"18"	"69"	"33"	"7"	"88"	"3"	"2"	"41"	"2"	"3"	"9"	"20"	"88"	"17"	"18"	"418"	"-----"	"418"	"-----"
"32"	"22"	""	"7"	"18"	"14"	"5"	"84"	"2"	"5"	"2"	"4"	"1"	"1"	"40"	"171"	"4"	"11"	"369"	"-----"	"369"	"-----"
"33"	"23"	""	"11"	"130"	"196"	"41"	"15"	"3"	"7"	"15"	"4"	"3"	"3"	"15"	"27"	"11"	"6"	"487"	"-----"	"487"	"-----"
"34"	"24"	""	"13"	"98"	"26"	"8"	"21"	"5"	"6"	"50"	"6"	"8"	"6"	"50"	"176"	"26"	"23"	"522"	"-----"	"522"	"-----"
"35"	"25"	""	"4"	"111"	"235"	"19"	"38"	"4"	"6"	"4"	"1"	"9"	"10"	"56"	"63"	"17"	"20"	"597"	"-----"	"597"	"-----"
"36"	"26"	""	"17"	"16"	"59"	"11"	"181"	"10"	"2"	"8"	"4"	"15"	"6"	"54"	"21"	"9"	"12"	"425"	"-----"	"425"	"-----"
"37"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"38"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"40"	"27"	""	"4"	"134"	"178"	"17"	"127"	"9"	"3"	"2"	"3"	"5"	"17"	"24"	"12"	"13"	"10"	"558"	"-----"	"558"	"-----"
"41"	"Round 2"	""	"100"	"985"	"1359"	"236"	"925"	"57"	"41"	"142"	"34"	"68"	"97"	"477"	"815"	"131"	"155"	"5622"	"-----"	"5622"	"-----"
"42"	"Cumulative Votes
after 2nd Round"	""	"229"	"2446"	"3474"	"428"	"1861"	"94"	"102"	"191"	"57"	"105"	"174"	"1090"	"1024"	"250"	"309"	"11834"	"-----"	"11834"	"-----"
"43"	"28"	""	"11"	"257"	"203"	"19"	"103"	"3"	"4"	"6"	"5"	"4"	"12"	"40"	"23"	"25"	"22"	"737"	"-----"	"737"	"-----"
"44"	"29"	""	"6"	"174"	"231"	"12"	"51"	"1"	"2"	"2"	"5"	"1"	"4"	"22"	"11"	"13"	"9"	"544"	"-----"	"544"	"-----"
"45"	"30"	""	"3"	"113"	"41"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"28"	"7"	"17"	"11"	"231"	"-----"	"231"	"-----"
"46"	"31"	""	"19"	"216"	"180"	"9"	"73"	"6"	"3"	"3"	"8"	"13"	"18"	"37"	"33"	"48"	"44"	"710"	"-----"	"710"	"-----"
"47"	"32"	""	"9"	"125"	"132"	"4"	"49"	"4"	"4"	"2"	"2"	"1"	"3"	"12"	"5"	"7"	"5"	"364"	"-----"	"364"	"-----"
"48"	"33"	""	"28"	"99"	"139"	"24"	"145"	"9"	"8"	"16"	"10"	"11"	"10"	"132"	"23"	"14"	"37"	"705"	"-----"	"705"	"-----"
"49"	"34"	""	"14"	"188"	"70"	"6"	"9"	"1"	"1"	"3"	"5"	"2"	"3"	"7"	"6"	"10"	"14"	"339"	"-----"	"339"	"-----"
"50"	"35"	""	"9"	"137"	"277"	"15"	"62"	"9"	"4"	"4"	"7"	"4"	"8"	"87"	"30"	"25"	"31"	"709"	"-----"	"709"	"-----"
"51"	"36"	""	"9"	"133"	"158"	"19"	"108"	"10"	"9"	"25"	"15"	"13"	"14"	"48"	"21"	"20"	"31"	"633"	"-----"	"633"	"-----"
"52"	"37"	""	"9"	"49"	"111"	"12"	"14"	"1"	"2"	"1"	"1"	"6"	"4"	"11"	"11"	"7"	"5"	"244"	"-----"	"244"	"-----"
"53"	"38"	""	"14"	"62"	"177"	"11"	"29"	"7"	"1"	"2"	"3"	"1"	"4"	"11"	"30"	"5"	"16"	"373"	"-----"	"373"	"-----"
"54"	"39"	""	"6"	"48"	"160"	"10"	"61"	"8"	"3"	"3"	"1"	"5"	"4"	"0"	"7"	"4"	"7"	"327"	"-----"	"327"	"-----"
"55"	"40"	""	"13"	"26"	"224"	"6"	"40"	"1"	"1"	"1"	"1"	"4"	"7"	"8"	"14"	"8"	"3"	"357"	"-----"	"357"	"-----"
"56"	"41"	""	"8"	"18"	"166"	"10"	"25"	"4"	"3"	"1"	"1"	"8"	"1"	"22"	"10"	"8"	"8"	"293"	"-----"	"293"	"-----"
"57"	"Round 3"	""	"158"	"1645"	"2269"	"159"	"775"	"65"	"46"	"69"	"64"	"73"	"93"	"465"	"231"	"211"	"243"	"6566"	"-----"	"6566"	"-----"
"58"	"Cumulative Votes
after 3rd Round"	""	"387"	"4091"	"5743"	"587"	"2636"	"159"	"148"	"260"	"121"	"178"	"267"	"1555"	"1255"	"461"	"552"	"18400"	"-----"	"18400"	"-----"
"59"	"42"	""	"8"	"69"	"135"	"13"	"80"	"3"	"1"	"3"	"2"	"3"	"8"	"37"	"14"	"7"	"10"	"393"	"-----"	"393"	"-----"
"60"	"43"	""	"27"	"136"	"201"	"23"	"87"	"6"	"4"	"3"	"7"	"3"	"4"	"40"	"12"	"5"	"9"	"567"	"-----"	"567"	"-----"
"61"	"44"	""	"17"	"163"	"299"	"12"	"47"	"10"	"5"	"2"	"6"	"4"	"5"	"76"	"15"	"11"	"8"	"680"	"-----"	"680"	"-----"
"62"	"45"	""	"13"	"104"	"373"	"12"	"45"	"9"	"4"	"8"	"6"	"8"	"7"	"22"	"26"	"15"	"18"	"670"	"-----"	"670"	"-----"
"63"	"46"	""	"25"	"45"	"124"	"18"	"75"	"8"	"3"	"4"	"3"	"7"	"9"	"101"	"85"	"14"	"21"	"542"	"-----"	"542"	"-----"
"64"	"47"	""	"6"	"73"	"184"	"8"	"44"	"7"	"0"	"2"	"3"	"5"	"6"	"36"	"30"	"16"	"15"	"435"	"-----"	"435"	"-----"
"65"	"48"	""	"5"	"100"	"23"	"11"	"6"	"2"	"3"	"2"	"0"	"1"	"0"	"11"	"2"	"4"	"4"	"174"	"-----"	"174"	"-----"
"66"	"49"	""	"24"	"267"	"84"	"8"	"12"	"1"	"4"	"4"	"8"	"6"	"7"	"90"	"41"	"35"	"44"	"635"	"-----"	"635"	"-----"
"67"	"50"	""	"14"	"154"	"310"	"11"	"38"	"3"	"4"	"10"	"7"	"6"	"9"	"83"	"113"	"18"	"31"	"811"	"-----"	"811"	"-----"
"68"	"51"	""	"4"	"206"	"322"	"5"	"52"	"1"	"2"	"6"	"2"	"0"	"6"	"18"	"15"	"14"	"14"	"667"	"-----"	"667"	"-----"
"69"	"52"	""	"10"	"122"	"46"	"18"	"39"	"3"	"3"	"3"	"2"	"2"	"12"	"170"	"11"	"13"	"16"	"470"	"-----"	"470"	"-----"
"70"	"53"	""	"35"	"89"	"231"	"16"	"23"	"1"	"4"	"13"	"3"	"3"	"4"	"94"	"73"	"17"	"4"	"610"	"-----"	"610"	"-----"
"71"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"72"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"73"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"74"	"54"	""	"11"	"70"	"221"	"14"	"22"	"5"	"5"	"58"	"6"	"6"	"6"	"81"	"36"	"5"	"9"	"555"	"-----"	"555"	"-----"
"75"	"55"	""	"5"	"66"	"166"	"9"	"28"	"5"	"2"	"42"	"8"	"5"	"16"	"115"	"40"	"17"	"32"	"556"	"-----"	"556"	"-----"
"76"	"Round 4"	""	"204"	"1664"	"2719"	"178"	"598"	"64"	"44"	"160"	"63"	"59"	"99"	"974"	"513"	"191"	"235"	"7765"	"-----"	"7765"	"-----"
"77"	"Cumulative Votes after 4th Round"	""	"591"	"5755"	"8462"	"765"	"3234"	"223"	"192"	"420"	"184"	"237"	"366"	"2529"	"1768"	"652"	"787"	"26165"	"-----"	"26165"	"-----"
"78"	"56"	""	"7"	"183"	"155"	"10"	"64"	"6"	"2"	"34"	"4"	"3"	"9"	"86"	"16"	"26"	"19"	"624"	"-----"	"624"	"-----"
"79"	"57"	""	"11"	"185"	"150"	"7"	"21"	"8"	"3"	"69"	"6"	"8"	"9"	"75"	"30"	"15"	"44"	"641"	"-----"	"641"	"-----"
"80"	"58"	""	"18"	"116"	"288"	"18"	"15"	"4"	"3"	"23"	"5"	"10"	"13"	"82"	"42"	"26"	"51"	"714"	"-----"	"714"	"-----"
"81"	"59"	""	"7"	"186"	"119"	"8"	"38"	"2"	"2"	"1"	"1"	"2"	"5"	"68"	"12"	"15"	"15"	"481"	"-----"	"481"	"-----"
"82"	"60"	""	"24"	"154"	"198"	"15"	"75"	"1"	"5"	"11"	"6"	"6"	"15"	"47"	"64"	"29"	"28"	"678"	"-----"	"678"	"-----"
"83"	"61"	""	"7"	"242"	"131"	"13"	"39"	"2"	"5"	"3"	"4"	"3"	"3"	"55"	"17"	"24"	"33"	"581"	"-----"	"581"	"-----"
"84"	"62"	""	"16"	"127"	"48"	"9"	"64"	"0"	"2"	"7"	"1"	"5"	"6"	"7"	"9"	"8"	"7"	"316"	"-----"	"316"	"-----"
"85"	"63"	""	"21"	"218"	"14"	"2"	"50"	"1"	"2"	"0"	"0"	"3"	"1"	"32"	"4"	"30"	"12"	"390"	"-----"	"390"	"-----"
"86"	"64"	""	"10"	"284"	"81"	"6"	"4"	"2"	"1"	"1"	"0"	"0"	"0"	"13"	"4"	"26"	"19"	"451"	"-----"	"451"	"-----"
"87"	"65"	""	"112"	"29"	"35"	"5"	"98"	"3"	"1"	"1"	"1"	"3"	"13"	"25"	"6"	"6"	"23"	"361"	"-----"	"361"	"-----"
"88"	"66"	""	"79"	"63"	"146"	"12"	"6"	"3"	"0"	"3"	"3"	"3"	"3"	"14"	"9"	"21"	"16"	"381"	"-----"	"381"	"-----"
"89"	"67"	""	"111"	"196"	"136"	"13"	"56"	"3"	"13"	"4"	"3"	"3"	"8"	"38"	"8"	"9"	"37"	"638"	"-----"	"638"	"-----"
"90"	"68"	""	"140"	"123"	"187"	"31"	"30"	"4"	"9"	"6"	"5"	"6"	"12"	"120"	"16"	"17"	"45"	"751"	"-----"	"751"	"-----"
"91"	"69"	""	"43"	"248"	"150"	"8"	"26"	"3"	"0"	"1"	"2"	"0"	"13"	"16"	"2"	"8"	"7"	"527"	"-----"	"527"	"-----"
"92"	"Round 5"	""	"606"	"2354"	"1838"	"157"	"586"	"42"	"48"	"164"	"41"	"55"	"110"	"678"	"239"	"260"	"356"	"7534"	"-----"	"7534"	"-----"
"93"	"Cumulative Votes
after 5th Round"	""	"1197"	"8109"	"10300"	"922"	"3820"	"265"	"240"	"584"	"225"	"292"	"476"	"3207"	"2007"	"912"	"1143"	"33699"	"-----"	"33699"	"-----"
"94"	"70"	""	"10"	"43"	"85"	"12"	"87"	"2"	"0"	"1"	"1"	"3"	"9"	"109"	"7"	"5"	"4"	"378"	"-----"	"378"	"-----"
"95"	"71"	""	"6"	"101"	"130"	"3"	"36"	"1"	"1"	"4"	"3"	"4"	"0"	"60"	"5"	"6"	"11"	"371"	"-----"	"371"	"-----"
"96"	"72"	""	"29"	"72"	"128"	"9"	"22"	"1"	"1"	"0"	"5"	"3"	"3"	"109"	"8"	"4"	"13"	"407"	"-----"	"407"	"-----"
"97"	"73"	""	"38"	"147"	"110"	"18"	"121"	"7"	"3"	"2"	"4"	"1"	"8"	"164"	"16"	"10"	"24"	"673"	"-----"	"673"	"-----"
"98"	"74"	""	"6"	"84"	"214"	"82"	"141"	"7"	"3"	"2"	"3"	"12"	"8"	"51"	"27"	"12"	"13"	"665"	"-----"	"665"	"-----"
"99"	"75"	""	"8"	"79"	"88"	"9"	"109"	"4"	"6"	"2"	"3"	"8"	"3"	"137"	"9"	"3"	"2"	"470"	"-----"	"470"	"-----"
"100"	"76"	""	"12"	"79"	"71"	"47"	"156"	"6"	"4"	"3"	"6"	"5"	"7"	"6"	"3"	"2"	"10"	"417"	"-----"	"417"	"-----"
"101"	"77"	""	"8"	"67"	"49"	"42"	"155"	"6"	"0"	"1"	"0"	"4"	"13"	"42"	"6"	"5"	"9"	"407"	"-----"	"407"	"-----"
"102"	"78"	""	"9"	"3"	"25"	"6"	"173"	"5"	"0"	"0"	"4"	"8"	"6"	"190"	"10"	"3"	"12"	"454"	"-----"	"454"	"-----"
"103"	"79"	""	"23"	"107"	"207"	"44"	"101"	"6"	"5"	"4"	"5"	"8"	"7"	"20"	"36"	"18"	"21"	"612"	"-----"	"612"	"-----"
"104"	"80"	""	"19"	"139"	"225"	"89"	"93"	"9"	"2"	"7"	"3"	"8"	"9"	"84"	"12"	"10"	"15"	"724"	"-----"	"724"	"-----"
"105"	""	""	"AHAMAD ALI"	"JANAK SINGH"	"TARKESHWAR SINGH"	"PRIYANKA SINGH"	"RAM PRAVESH RAY"	"RANANJAY KUMAR"	"SHEO KUMAR MAHATO"	"SATYENDRA KR. SAHANI"	"CHHOTE LAL YADAV"	"DHARMENDRA RAI"	"PREM KR. SINGH"	"MUDRIKA PRASAD ROY"	"RAM NARAYAN PRASAD YADAV"	"VIRENDRA YADAV"	"SHIV NATH MAHTO"	"TOTAL VALID VOTES"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"106"	"BOOTH_NO"	"BOOTH_EXT"	"CANDI1"	"CANDI2"	"CANDI3"	"CANDI4"	"CANDI5"	"CANDI6"	"CANDI7"	"CANDI8"	"CANDI9"	"CANDI10"	"CANDI11"	"CANDI12"	"CANDI13"	"CANDI14C"	"ANDI1"	"TOTAL"	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"108"	"81"	""	"19"	"71"	"89"	"56"	"38"	"3"	"2"	"21"	"0"	"1"	"4"	"8"	"8"	"10"	"11"	"341"	"-----"	"341"	"-----"
"109"	"82"	""	"1"	"95"	"46"	"36"	"57"	"2"	"2"	"19"	"0"	"1"	"0"	"2"	"4"	"5"	"3"	"273"	"-----"	"273"	"-----"
"110"	"83"	""	"11"	"99"	"158"	"8"	"36"	"4"	"3"	"2"	"3"	"5"	"2"	"18"	"9"	"14"	"11"	"383"	"-----"	"383"	"-----"
"111"	"Round 6"	""	"199"	"1186"	"1625"	"461"	"1325"	"63"	"32"	"68"	"40"	"71"	"79"	"1000"	"160"	"107"	"159"	"6575"	"-----"	"6575"	"-----"
"112"	"Cumulative Votes after 6th Round"	""	"1396"	"9295"	"11925"	"1383"	"5145"	"328"	"272"	"652"	"265"	"363"	"555"	"4207"	"2167"	"1019"	"1302"	"40274"	"-----"	"40274"	"-----"
"113"	"84"	""	"7"	"45"	"136"	"37"	"19"	"3"	"2"	"8"	"1"	"4"	"7"	"15"	"26"	"12"	"12"	"334"	"-----"	"334"	"-----"
"114"	"85"	""	"7"	"154"	"83"	"143"	"65"	"15"	"8"	"7"	"9"	"8"	"6"	"42"	"17"	"20"	"30"	"614"	"-----"	"614"	"-----"
"115"	"86"	""	"15"	"55"	"56"	"68"	"31"	"9"	"16"	"137"	"16"	"16"	"10"	"104"	"22"	"11"	"14"	"580"	"-----"	"580"	"-----"
"116"	"87"	""	"6"	"92"	"38"	"56"	"64"	"5"	"1"	"4"	"0"	"2"	"4"	"16"	"4"	"8"	"9"	"309"	"-----"	"309"	"-----"
"117"	"88"	""	"65"	"31"	"36"	"24"	"259"	"6"	"6"	"1"	"4"	"7"	"14"	"140"	"8"	"7"	"24"	"632"	"-----"	"632"	"-----"
"118"	"89"	""	"4"	"5"	"19"	"8"	"114"	"82"	"6"	"1"	"2"	"6"	"16"	"118"	"11"	"5"	"7"	"404"	"-----"	"404"	"-----"
"119"	"89"	"A"	"7"	"10"	"13"	"12"	"77"	"13"	"1"	"1"	"2"	"2"	"7"	"198"	"14"	"4"	"13"	"374"	"-----"	"374"	"-----"
"120"	"90"	""	"3"	"59"	"57"	"16"	"98"	"3"	"0"	"4"	"6"	"1"	"6"	"42"	"3"	"7"	"4"	"309"	"-----"	"309"	"-----"
"121"	"91"	""	"4"	"136"	"38"	"16"	"77"	"19"	"1"	"19"	"4"	"3"	"7"	"49"	"15"	"6"	"10"	"404"	"-----"	"404"	"-----"
"122"	"92"	""	"7"	"71"	"21"	"4"	"57"	"61"	"0"	"11"	"6"	"2"	"2"	"43"	"1"	"5"	"11"	"302"	"-----"	"302"	"-----"
"123"	"93"	""	"13"	"149"	"50"	"14"	"53"	"3"	"6"	"4"	"3"	"1"	"5"	"73"	"10"	"18"	"21"	"423"	"-----"	"423"	"-----"
"124"	"94"	""	"24"	"154"	"43"	"12"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	"7"	"1"	"1"	"3"	"254"	"-----"	"254"	"-----"
"125"	"95"	""	"5"	"6"	"2"	"6"	"1"	"1"	"1"	"1"	"0"	"2"	"3"	"342"	"4"	"2"	"8"	"384"	"-----"	"384"	"-----"
"126"	"96"	""	"1"	"10"	"7"	"6"	"14"	"1"	"0"	"0"	"1"	"1"	"7"	"516"	"7"	"3"	"18"	"592"	"-----"	"592"	"-----"
"127"	"Round 7"	""	"168"	"977"	"599"	"422"	"936"	"221"	"49"	"198"	"54"	"56"	"94"	"1705"	"143"	"109"	"184"	"5915"	"-----"	"5915"	"-----"
"128"	"Cumulative Votes after 7th Round"	""	"1564"	"10272"	"12524"	"1805"	"6081"	"549"	"321"	"850"	"319"	"419"	"649"	"5912"	"2310"	"1128"	"1486"	"46189"	"-----"	"46189"	"-----"
"129"	"97"	""	"10"	"62"	"14"	"22"	"35"	"7"	"8"	"7"	"9"	"9"	"17"	"345"	"21"	"12"	"20"	"598"	"-----"	"598"	"-----"
"130"	"98"	""	"1"	"72"	"2"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"2"	"0"	"131"	"-----"	"131"	"-----"
"131"	"99"	""	"3"	"99"	"6"	"5"	"25"	"4"	"1"	"2"	"1"	"3"	"1"	"188"	"8"	"7"	"14"	"367"	"-----"	"367"	"-----"
"132"	"100"	""	"13"	"142"	"50"	"93"	"24"	"6"	"5"	"16"	"1"	"3"	"9"	"70"	"16"	"29"	"29"	"506"	"-----"	"506"	"-----"
"133"	"101"	""	"2"	"50"	"68"	"68"	"28"	"1"	"2"	"2"	"1"	"1"	"5"	"28"	"7"	"4"	"4"	"271"	"-----"	"271"	"-----"
"134"	"102"	""	"8"	"128"	"78"	"137"	"48"	"10"	"18"	"2"	"3"	"6"	"5"	"110"	"8"	"7"	"14"	"582"	"-----"	"582"	"-----"
"135"	"103"	""	"13"	"85"	"67"	"10"	"15"	"1"	"0"	"28"	"5"	"1"	"4"	"74"	"17"	"10"	"9"	"339"	"-----"	"339"	"-----"
