"P.S..No."	"No..of.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.Valid.Votes"
"24"	"21"	"7"	"4"	"4"	"206"	"6"	"1"	"2"	"1"	"0"	"0"	"0"	"4"	"20"	"4"	"0"	"0"	"259"
"25"	"22"	"1"	"132"	"22"	"31"	"4"	"1"	"2"	"1"	"4"	"36"	"2"	"5"	"10"	"6"	"3"	"7"	"267"
"26"	"23"	"10"	"79"	"38"	"354"	"11"	"3"	"2"	"1"	"1"	"17"	"2"	"2"	"25"	"2"	"6"	"5"	"558"
"27"	"24"	"6"	"132"	"11"	"55"	"2"	"0"	"2"	"2"	"1"	"35"	"3"	"5"	"15"	"3"	"6"	"2"	"280"
"28"	"25"	"4"	"127"	"7"	"93"	"7"	"0"	"0"	"2"	"6"	"163"	"2"	"8"	"11"	"6"	"2"	"15"	"453"
"29"	"26"	"12"	"158"	"12"	"307"	"14"	"4"	"6"	"4"	"8"	"57"	"3"	"12"	"48"	"12"	"12"	"10"	"679"
"30"	"27"	"6"	"228"	"3"	"34"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"14"	"1"	"3"	"7"	"303"
"31"	"28"	"2"	"144"	"2"	"86"	"3"	"0"	"1"	"0"	"0"	"70"	"1"	"3"	"3"	"2"	"1"	"2"	"320"
"32"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"33"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"34"	"29"	"7"	"185"	"2"	"95"	"3"	"1"	"6"	"1"	"1"	"82"	"3"	"2"	"11"	"6"	"11"	"8"	"424"
"35"	"30"	"2"	"193"	"3"	"87"	"1"	"1"	"0"	"2"	"2"	"16"	"7"	"4"	"14"	"3"	"1"	"1"	"337"
"36"	"31"	"4"	"117"	"3"	"40"	"1"	"2"	"5"	"2"	"5"	"80"	"2"	"5"	"21"	"3"	"3"	"2"	"295"
"37"	"32"	"1"	"139"	"0"	"7"	"2"	"1"	"1"	"0"	"0"	"53"	"3"	"2"	"1"	"2"	"3"	"2"	"217"
"38"	"33"	"8"	"144"	"3"	"94"	"4"	"2"	"2"	"0"	"0"	"1"	"1"	"4"	"14"	"3"	"4"	"9"	"293"
"39"	"34"	"7"	"120"	"5"	"221"	"6"	"5"	"2"	"2"	"2"	"32"	"3"	"1"	"16"	"4"	"5"	"10"	"441"
"40"	"35"	"4"	"180"	"8"	"26"	"1"	"1"	"2"	"1"	"2"	"48"	"1"	"1"	"5"	"2"	"7"	"8"	"297"
"41"	"36"	"4"	"139"	"11"	"69"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"3"	"8"	"1"	"4"	"5"	"255"
"42"	"37"	"8"	"250"	"0"	"35"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"301"
"43"	"38"	"11"	"9"	"16"	"407"	"8"	"0"	"2"	"0"	"2"	"3"	"1"	"3"	"67"	"8"	"4"	"14"	"555"
"44"	"39"	"12"	"133"	"47"	"114"	"2"	"4"	"6"	"2"	"4"	"105"	"4"	"4"	"12"	"4"	"14"	"12"	"479"
"45"	"40"	"9"	"150"	"35"	"239"	"11"	"1"	"3"	"2"	"3"	"1"	"3"	"9"	"36"	"6"	"20"	"14"	"542"
"46"	"41"	"10"	"234"	"11"	"149"	"7"	"2"	"1"	"1"	"0"	"1"	"0"	"3"	"16"	"3"	"15"	"10"	"463"
"47"	"42"	"10"	"134"	"13"	"155"	"3"	"1"	"0"	"1"	"3"	"4"	"5"	"7"	"34"	"5"	"5"	"16"	"396"
"48"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"49"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"50"	"43"	"2"	"203"	"21"	"90"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"3"	"19"	"8"	"10"	"5"	"366"
"51"	"44"	"14"	"284"	"29"	"253"	"4"	"4"	"2"	"3"	"2"	"3"	"6"	"6"	"37"	"11"	"14"	"18"	"690"
"52"	"45"	"24"	"15"	"13"	"356"	"5"	"3"	"2"	"2"	"0"	"2"	"1"	"4"	"35"	"7"	"2"	"8"	"479"
"53"	"46"	"6"	"167"	"6"	"126"	"4"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"10"	"4"	"3"	"8"	"342"
"54"	"47"	"10"	"217"	"59"	"159"	"6"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"21"	"7"	"3"	"10"	"499"
"55"	"48"	"12"	"180"	"7"	"134"	"4"	"3"	"1"	"1"	"3"	"3"	"3"	"2"	"13"	"3"	"5"	"12"	"386"
"56"	"49"	"4"	"73"	"2"	"139"	"5"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"13"	"1"	"6"	"5"	"254"
"57"	"50"	"4"	"157"	"2"	"29"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"6"	"9"	"211"
"58"	"51"	"3"	"149"	"0"	"62"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"3"	"2"	"225"
"59"	"52"	"12"	"73"	"5"	"225"	"7"	"1"	"0"	"1"	"1"	"3"	"3"	"3"	"41"	"4"	"8"	"12"	"399"
"60"	"53"	"8"	"211"	"6"	"125"	"5"	"3"	"4"	"1"	"3"	"1"	"2"	"1"	"10"	"4"	"0"	"9"	"393"
"61"	"54"	"11"	"161"	"8"	"124"	"2"	"3"	"0"	"2"	"2"	"3"	"3"	"6"	"16"	"7"	"9"	"8"	"365"
"62"	"55"	"12"	"442"	"44"	"156"	"3"	"3"	"3"	"0"	"4"	"10"	"5"	"4"	"33"	"8"	"16"	"18"	"761"
"63"	"56"	"18"	"123"	"15"	"301"	"8"	"2"	"2"	"2"	"2"	"4"	"1"	"3"	"24"	"3"	"8"	"5"	"521"
"64"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"65"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"66"	"57"	"21"	"243"	"14"	"181"	"7"	"3"	"1"	"4"	"2"	"9"	"2"	"4"	"29"	"4"	"12"	"10"	"546"
"67"	"58"	"7"	"255"	"6"	"132"	"5"	"1"	"0"	"1"	"1"	"8"	"3"	"4"	"18"	"8"	"10"	"14"	"473"
"68"	"59"	"15"	"175"	"14"	"223"	"10"	"3"	"0"	"1"	"0"	"6"	"6"	"6"	"24"	"3"	"12"	"11"	"509"
"69"	"60"	"16"	"107"	"18"	"271"	"10"	"4"	"4"	"3"	"3"	"22"	"4"	"9"	"59"	"6"	"15"	"19"	"570"
"70"	"61"	"30"	"43"	"11"	"394"	"25"	"6"	"2"	"0"	"1"	"1"	"6"	"11"	"61"	"4"	"8"	"17"	"620"
"71"	"62"	"28"	"322"	"6"	"176"	"9"	"1"	"1"	"3"	"4"	"21"	"2"	"4"	"34"	"5"	"18"	"13"	"647"
"72"	"63"	"15"	"195"	"6"	"198"	"7"	"1"	"0"	"0"	"0"	"6"	"2"	"5"	"28"	"7"	"11"	"12"	"493"
"73"	"64"	"4"	"71"	"12"	"20"	"3"	"1"	"4"	"2"	"0"	"67"	"2"	"0"	"5"	"2"	"5"	"8"	"206"
"74"	"65"	"36"	"37"	"4"	"38"	"4"	"1"	"1"	"0"	"3"	"19"	"0"	"1"	"8"	"7"	"5"	"5"	"169"
"75"	"66"	"6"	"122"	"43"	"134"	"4"	"4"	"1"	"0"	"3"	"11"	"0"	"6"	"8"	"3"	"5"	"13"	"363"
"76"	"67"	"7"	"195"	"17"	"169"	"7"	"2"	"5"	"2"	"0"	"10"	"1"	"5"	"16"	"6"	"15"	"9"	"466"
"77"	"68"	"5"	"375"	"12"	"93"	"3"	"8"	"0"	"0"	"4"	"14"	"2"	"2"	"22"	"5"	"23"	"10"	"578"
"78"	"69"	"3"	"160"	"7"	"227"	"4"	"0"	"4"	"1"	"1"	"34"	"2"	"4"	"14"	"1"	"7"	"3"	"472"
"79"	"70"	"12"	"292"	"4"	"120"	"7"	"1"	"5"	"6"	"5"	"52"	"5"	"6"	"27"	"4"	"34"	"19"	"599"
"80"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"81"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"82"	"71"	"11"	"200"	"7"	"51"	"4"	"4"	"6"	"3"	"1"	"80"	"8"	"6"	"8"	"4"	"10"	"17"	"420"
"83"	"72"	"9"	"321"	"13"	"188"	"6"	"2"	"0"	"2"	"2"	"6"	"2"	"6"	"44"	"7"	"10"	"15"	"633"
"84"	"73"	"1"	"202"	"5"	"101"	"0"	"1"	"2"	"0"	"0"	"2"	"3"	"0"	"16"	"2"	"5"	"38"	"378"
"85"	"74"	"26"	"206"	"28"	"223"	"8"	"5"	"3"	"1"	"3"	"56"	"2"	"2"	"29"	"10"	"5"	"15"	"622"
"86"	"75"	"17"	"77"	"3"	"336"	"8"	"2"	"1"	"2"	"4"	"2"	"1"	"7"	"59"	"14"	"4"	"17"	"554"
"87"	"76"	"19"	"389"	"26"	"171"	"6"	"6"	"2"	"1"	"4"	"2"	"5"	"16"	"38"	"11"	"28"	"21"	"745"
"88"	"77"	"6"	"139"	"11"	"154"	"4"	"1"	"9"	"1"	"4"	"37"	"1"	"7"	"13"	"5"	"5"	"17"	"414"
"89"	"78"	"149"	"407"	"12"	"58"	"3"	"2"	"2"	"2"	"2"	"3"	"1"	"1"	"11"	"5"	"19"	"15"	"692"
"90"	"79"	"8"	"359"	"11"	"209"	"9"	"2"	"0"	"2"	"5"	"1"	"0"	"2"	"18"	"7"	"4"	"11"	"648"
"91"	"80"	"5"	"267"	"10"	"75"	"2"	"0"	"0"	"1"	"1"	"4"	"0"	"4"	"7"	"4"	"10"	"10"	"400"
"92"	"81"	"9"	"138"	"1"	"121"	"2"	"0"	"1"	"0"	"4"	"0"	"3"	"0"	"10"	"4"	"3"	"2"	"298"
"93"	"82"	"9"	"216"	"6"	"50"	"2"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"7"	"1"	"9"	"9"	"315"
"94"	"83"	"7"	"267"	"4"	"171"	"8"	"2"	"3"	"1"	"2"	"8"	"4"	"2"	"23"	"7"	"14"	"14"	"537"
"95"	"84"	"5"	"322"	"7"	"40"	"2"	"1"	"0"	"0"	"1"	"0"	"5"	"3"	"7"	"2"	"27"	"9"	"431"
"96"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"97"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"98"	"85"	"8"	"152"	"62"	"143"	"5"	"1"	"1"	"2"	"1"	"2"	"3"	"2"	"19"	"5"	"8"	"3"	"417"
"99"	"86"	"23"	"332"	"8"	"131"	"5"	"2"	"0"	"3"	"2"	"34"	"2"	"1"	"10"	"5"	"8"	"2"	"568"
"100"	"87"	"105"	"290"	"7"	"106"	"2"	"1"	"2"	"1"	"2"	"14"	"4"	"3"	"9"	"8"	"19"	"18"	"591"
"101"	"88"	"22"	"124"	"12"	"397"	"10"	"1"	"1"	"2"	"4"	"10"	"3"	"12"	"52"	"5"	"6"	"11"	"672"
"102"	"89"	"11"	"79"	"32"	"249"	"3"	"1"	"2"	"0"	"1"	"1"	"3"	"7"	"18"	"7"	"6"	"9"	"429"
"103"	"90"	"40"	"327"	"4"	"73"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"1"	"7"	"2"	"15"	"6"	"482"
"104"	"91"	"128"	"95"	"3"	"143"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"7"	"5"	"13"	"8"	"412"
"105"	"92"	"8"	"181"	"34"	"93"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"3"	"11"	"0"	"3"	"4"	"346"
"106"	"93"	"46"	"211"	"41"	"98"	"3"	"3"	"0"	"0"	"0"	"1"	"1"	"2"	"10"	"4"	"8"	"8"	"436"
"107"	"94"	"27"	"109"	"3"	"84"	"2"	"0"	"1"	"4"	"5"	"68"	"1"	"0"	"3"	"1"	"2"	"9"	"319"
"108"	"95"	"22"	"155"	"24"	"97"	"5"	"1"	"2"	"4"	"2"	"10"	"2"	"4"	"6"	"2"	"12"	"8"	"356"
"109"	"96"	"14"	"179"	"17"	"334"	"10"	"3"	"2"	"3"	"0"	"3"	"3"	"10"	"27"	"8"	"17"	"17"	"647"
"110"	"97"	"8"	"292"	"12"	"99"	"1"	"2"	"1"	"0"	"2"	"8"	"4"	"2"	"10"	"9"	"11"	"13"	"474"
"111"	"98"	"21"	"372"	"5"	"40"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"4"	"4"	"8"	"8"	"469"
"112"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"113"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"114"	"99"	"4"	"252"	"5"	"158"	"6"	"1"	"0"	"1"	"2"	"25"	"7"	"8"	"39"	"7"	"15"	"8"	"538"
"115"	"100"	"10"	"28"	"2"	"359"	"8"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"28"	"2"	"3"	"6"	"451"
"116"	"101"	"9"	"232"	"15"	"69"	"0"	"0"	"1"	"0"	"1"	"7"	"3"	"1"	"6"	"5"	"11"	"5"	"365"
"117"	"102"	"8"	"93"	"2"	"336"	"2"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"22"	"2"	"2"	"6"	"480"
"118"	"102A"	"22"	"164"	"8"	"220"	"6"	"3"	"1"	"2"	"1"	"4"	"3"	"3"	"15"	"3"	"6"	"5"	"466"
"119"	"103"	"15"	"505"	"4"	"48"	"2"	"0"	"0"	"1"	"3"	"2"	"3"	"1"	"2"	"3"	"5"	"2"	"596"
"120"	"104"	"6"	"232"	"1"	"40"	"2"	"0"	"1"	"0"	"2"	"1"	"1"	"3"	"3"	"1"	"0"	"0"	"293"
"121"	"105"	"14"	"282"	"41"	"115"	"8"	"0"	"2"	"1"	"2"	"3"	"4"	"5"	"24"	"9"	"16"	"10"	"536"
"122"	"106"	"24"	"185"	"1"	"23"	"0"	"1"	"1"	"0"	"0"	"5"	"0"	"1"	"0"	"0"	"3"	"2"	"246"
"123"	"107"	"15"	"489"	"2"	"157"	"1"	"0"	"1"	"1"	"3"	"4"	"3"	"2"	"10"	"3"	"2"	"7"	"700"
"124"	"108"	"4"	"365"	"0"	"42"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"4"	"4"	"4"	"4"	"3"	"439"
"125"	"109"	"10"	"384"	"3"	"39"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"3"	"1"	"2"	"6"	"11"	"464"
"126"	"110"	"13"	"359"	"7"	"166"	"6"	"1"	"1"	"3"	"2"	"5"	"5"	"10"	"21"	"6"	"10"	"18"	"633"
"127"	"111"	"10"	"349"	"29"	"161"	"5"	"1"	"1"	"1"	"1"	"8"	"0"	"3"	"16"	"3"	"10"	"10"	"608"
"128"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"129"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"130"	"112"	"15"	"83"	"3"	"167"	"3"	"1"	"2"	"0"	"3"	"2"	"1"	"1"	"8"	"3"	"4"	"2"	"298"
"131"	"113"	"16"	"169"	"7"	"361"	"6"	"5"	"1"	"3"	"2"	"5"	"2"	"5"	"46"	"11"	"17"	"12"	"668"
"132"	"114"	"5"	"314"	"7"	"23"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"4"	"363"
"133"	"115"	"12"	"421"	"14"	"40"	"1"	"1"	"0"	"1"	"2"	"7"	"2"	"2"	"2"	"2"	"1"	"8"	"516"
"134"	"116"	"12"	"384"	"7"	"33"	"2"	"0"	"0"	"1"	"2"	"3"	"1"	"1"	"2"	"1"	"9"	"2"	"460"
"135"	"117"	"7"	"374"	"7"	"31"	"1"	"0"	"1"	"1"	"3"	"4"	"2"	"6"	"3"	"4"	"9"	"10"	"463"
"136"	"118"	"8"	"393"	"9"	"155"	"0"	"0"	"4"	"0"	"2"	"3"	"4"	"8"	"10"	"1"	"8"	"9"	"614"
"137"	"119"	"2"	"249"	"7"	"49"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"3"	"1"	"4"	"3"	"322"
"138"	"119A"	"5"	"117"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"177"
"139"	"120"	"10"	"133"	"6"	"569"	"20"	"6"	"5"	"0"	"2"	"6"	"1"	"10"	"47"	"4"	"10"	"14"	"843"
"140"	"121"	"4"	"154"	"4"	"171"	"4"	"1"	"2"	"0"	"0"	"0"	"2"	"3"	"25"	"4"	"5"	"5"	"384"
"141"	"122"	"22"	"427"	"14"	"131"	"8"	"8"	"6"	"8"	"7"	"7"	"8"	"8"	"10"	"10"	"13"	"17"	"704"
"142"	"123"	"27"	"297"	"36"	"280"	"6"	"3"	"3"	"6"	"5"	"23"	"4"	"10"	"61"	"19"	"14"	"18"	"812"
"143"	"124"	"9"	"147"	"5"	"396"	"11"	"3"	"2"	"3"	"1"	"3"	"6"	"10"	"56"	"12"	"7"	"17"	"688"
"144"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"145"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"146"	"125"	"46"	"28"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"79"
"147"	"126"	"2"	"274"	"7"	"111"	"3"	"1"	"0"	"1"	"1"	"21"	"1"	"7"	"17"	"5"	"4"	"13"	"468"
"148"	"127"	"11"	"503"	"8"	"101"	"3"	"1"	"2"	"2"	"0"	"14"	"6"	"25"	"22"	"7"	"15"	"10"	"730"
"149"	"128"	"6"	"154"	"5"	"151"	"4"	"2"	"4"	"2"	"1"	"17"	"1"	"5"	"13"	"7"	"9"	"10"	"391"
"150"	"129"	"6"	"142"	"32"	"17"	"1"	"2"	"0"	"1"	"2"	"71"	"1"	"4"	"6"	"3"	"3"	"15"	"306"
"151"	"130"	"2"	"138"	"113"	"133"	"3"	"1"	"1"	"1"	"0"	"3"	"1"	"2"	"5"	"1"	"5"	"5"	"414"
"152"	"131"	"7"	"206"	"14"	"149"	"4"	"1"	"2"	"0"	"0"	"1"	"0"	"3"	"8"	"4"	"5"	"2"	"406"
"153"	"132"	"13"	"335"	"2"	"57"	"2"	"0"	"2"	"0"	"0"	"2"	"4"	"4"	"11"	"6"	"15"	"12"	"465"
"154"	"133"	"12"	"281"	"5"	"117"	"3"	"0"	"1"	"3"	"0"	"4"	"2"	"2"	"6"	"8"	"16"	"8"	"468"
"155"	"134"	"12"	"183"	"10"	"199"	"3"	"0"	"3"	"1"	"1"	"0"	"0"	"2"	"10"	"2"	"3"	"3"	"432"
"156"	"135"	"17"	"101"	"14"	"24"	"0"	"0"	"0"	"0"	"2"	"11"	"1"	"4"	"2"	"1"	"7"	"8"	"192"
"157"	"136"	"3"	"202"	"9"	"379"	"2"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"8"	"2"	"3"	"1"	"614"
"158"	"137"	"17"	"344"	"3"	"31"	"3"	"4"	"1"	"4"	"3"	"116"	"2"	"3"	"3"	"1"	"6"	"2"	"543"
"159"	"138"	"2"	"62"	"7"	"271"	"10"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"5"	"0"	"4"	"3"	"370"
"160"	"P.S.
No."	"No. of Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"161"	""	"Arun Kumar"	"Usha Sinha"	"Ranjeet Kumar"	"Rina Devi"	"Savitri Devi"	"Arura Prasad"	"Mahesh Kumar"	"Rajkapoor Rai"	"Rajkumar Kewat"	"Shashi Yadav"	"Ajay Kumar"	"Kaushal Kumar Kaushlendra
Sinha"	"Dular Chand Prasad"	"Ramcharit Prasad Singh"	"Vijay Narayan Singh"	"Subhash Kumar"	""
"162"	"139"	"1"	"197"	"4"	"54"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"4"	"5"	"5"	"1"	"5"	"283"
