"Serial.No..of.Polling"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"Total.No..of.Valid.Votes"	"Total"	"No..of.Rejected.Votes"	"No..of.Tendered.votes"
"31"	"26"	"26"	"8"	"17"	"3"	"1"	"184"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"1"	"223"	"223"	""	""
"32"	"27"	"27"	"21"	"155"	"4"	"2"	"476"	"1"	"1"	"2"	"1"	"3"	"2"	"4"	"4"	"2"	"5"	"2"	"0"	"36"	"0"	"721"	"721"	""	""
"33"	"28"	"28"	"10"	"8"	"2"	"0"	"319"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"32"	"0"	"371"	"371"	""	""
"34"	"29"	"29"	"20"	"12"	"1"	"0"	"396"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"27"	"1"	"461"	"461"	""	""
"35"	"30"	"30"	"5"	"37"	"0"	"0"	"221"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"14"	"0"	"282"	"282"	""	""
"36"	"31"	"31"	"29"	"176"	"2"	"0"	"267"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"10"	"1"	"493"	"493"	""	""
"37"	"32"	"32"	"12"	"330"	"3"	"2"	"190"	"2"	"1"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"10"	"3"	"1"	"20"	"1"	"581"	"581"	""	""
"38"	"33"	"33"	"12"	"259"	"2"	"1"	"119"	"1"	"0"	"1"	"2"	"0"	"2"	"1"	"2"	"4"	"14"	"8"	"2"	"15"	"1"	"446"	"446"	""	""
"39"	"34"	"34"	"9"	"43"	"0"	"4"	"472"	"1"	"1"	"1"	"2"	"4"	"2"	"9"	"1"	"2"	"1"	"5"	"1"	"83"	"0"	"641"	"641"	""	""
"40"	"35"	"35"	"10"	"41"	"3"	"2"	"408"	"4"	"6"	"2"	"5"	"1"	"0"	"4"	"1"	"0"	"1"	"1"	"0"	"23"	"0"	"512"	"512"	""	""
"41"	"36"	"36"	"11"	"323"	"3"	"1"	"257"	"3"	"1"	"2"	"2"	"5"	"0"	"1"	"2"	"4"	"16"	"10"	"1"	"16"	"2"	"660"	"660"	""	""
"42"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"43"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"45"	"37"	"37"	"7"	"42"	"2"	"0"	"185"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"4"	"0"	"248"	"248"	""	""
"46"	"38"	"38"	"8"	"159"	"1"	"1"	"138"	"1"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"11"	"2"	"0"	"8"	"0"	"338"	"338"	""	""
"47"	"39"	"39"	"5"	"201"	"3"	"0"	"146"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"14"	"0"	"382"	"382"	""	""
"48"	"40"	"40"	"10"	"204"	"3"	"3"	"41"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"4"	"3"	"1"	"8"	"0"	"282"	"282"	""	""
"49"	"41"	"41"	"15"	"53"	"0"	"1"	"206"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"0"	"5"	"3"	"289"	"289"	""	""
"50"	"42"	"42"	"22"	"194"	"6"	"5"	"246"	"1"	"0"	"4"	"0"	"0"	"2"	"1"	"0"	"0"	"3"	"4"	"3"	"47"	"0"	"538"	"538"	""	""
"51"	"43"	"43"	"7"	"23"	"0"	"0"	"215"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"10"	"1"	"264"	"264"	""	""
"52"	"44"	"44"	"18"	"132"	"2"	"4"	"277"	"0"	"1"	"2"	"1"	"3"	"1"	"7"	"1"	"0"	"6"	"3"	"3"	"41"	"4"	"506"	"506"	""	""
"53"	"45"	"45"	"5"	"47"	"3"	"2"	"229"	"1"	"2"	"1"	"6"	"2"	"2"	"4"	"4"	"1"	"5"	"10"	"1"	"17"	"1"	"343"	"343"	""	""
"54"	"46"	"46"	"10"	"180"	"2"	"1"	"128"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"1"	"0"	"7"	"6"	"0"	"44"	"0"	"384"	"384"	""	""
"55"	"47"	"47"	"1"	"17"	"1"	"2"	"333"	"5"	"0"	"2"	"2"	"6"	"2"	"10"	"0"	"1"	"2"	"3"	"2"	"32"	"1"	"422"	"422"	""	""
"56"	"48"	"48"	"16"	"73"	"4"	"1"	"297"	"3"	"1"	"0"	"1"	"2"	"2"	"2"	"0"	"2"	"6"	"2"	"1"	"49"	"1"	"463"	"463"	""	""
"57"	"49"	"49"	"29"	"64"	"3"	"11"	"558"	"3"	"2"	"1"	"4"	"7"	"6"	"32"	"5"	"8"	"11"	"27"	"3"	"80"	"3"	"857"	"857"	""	""
"58"	"50"	"50"	"10"	"32"	"0"	"2"	"181"	"1"	"1"	"1"	"2"	"2"	"2"	"6"	"0"	"2"	"2"	"2"	"1"	"32"	"0"	"279"	"279"	""	""
"59"	"51"	"51"	"7"	"15"	"1"	"1"	"306"	"0"	"5"	"1"	"3"	"0"	"0"	"14"	"1"	"1"	"1"	"7"	"9"	"124"	"2"	"498"	"498"	""	""
"60"	"52"	"52"	"12"	"9"	"3"	"2"	"499"	"2"	"0"	"2"	"2"	"1"	"3"	"13"	"1"	"2"	"1"	"7"	"0"	"63"	"3"	"625"	"625"	""	""
"61"	"53"	"53"	"29"	"13"	"0"	"1"	"358"	"2"	"0"	"0"	"2"	"0"	"3"	"5"	"1"	"0"	"1"	"5"	"2"	"66"	"4"	"492"	"492"	""	""
"62"	"54"	"54"	"11"	"13"	"0"	"0"	"259"	"1"	"4"	"1"	"0"	"0"	"2"	"3"	"0"	"1"	"1"	"3"	"0"	"28"	"3"	"330"	"330"	""	""
"63"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"64"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"66"	"55"	"55"	"10"	"42"	"3"	"0"	"351"	"3"	"2"	"1"	"0"	"5"	"3"	"8"	"1"	"2"	"2"	"0"	"3"	"75"	"7"	"518"	"518"	""	""
"67"	"56"	"56"	"14"	"5"	"3"	"1"	"382"	"5"	"0"	"7"	"3"	"0"	"0"	"3"	"1"	"0"	"4"	"3"	"1"	"56"	"2"	"490"	"490"	""	""
"68"	"57"	"57"	"17"	"5"	"0"	"2"	"411"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"1"	"0"	"1"	"2"	"2"	"76"	"1"	"525"	"525"	""	""
"69"	"58"	"58"	"25"	"49"	"9"	"4"	"352"	"12"	"4"	"6"	"5"	"15"	"4"	"19"	"6"	"9"	"12"	"9"	"11"	"42"	"2"	"595"	"595"	""	""
"70"	"59"	"59"	"6"	"5"	"1"	"1"	"162"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"13"	"0"	"195"	"195"	""	""
"71"	"60"	"60"	"11"	"18"	"3"	"3"	"330"	"1"	"0"	"0"	"2"	"0"	"2"	"6"	"1"	"3"	"2"	"13"	"10"	"105"	"5"	"515"	"515"	""	""
"72"	"61"	"61"	"16"	"18"	"2"	"1"	"282"	"4"	"1"	"1"	"2"	"3"	"3"	"3"	"0"	"2"	"0"	"9"	"2"	"35"	"0"	"384"	"384"	""	""
"73"	"62"	"62"	"17"	"3"	"3"	"3"	"242"	"2"	"2"	"2"	"0"	"0"	"1"	"6"	"1"	"2"	"1"	"7"	"0"	"15"	"0"	"307"	"307"	""	""
"74"	"63"	"63"	"10"	"15"	"0"	"6"	"230"	"3"	"0"	"0"	"0"	"2"	"2"	"8"	"0"	"2"	"0"	"2"	"1"	"14"	"2"	"297"	"297"	""	""
"75"	"64"	"64"	"12"	"84"	"0"	"4"	"466"	"11"	"1"	"2"	"2"	"6"	"9"	"4"	"3"	"4"	"7"	"9"	"1"	"37"	"3"	"665"	"665"	""	""
"76"	"65"	"65"	"13"	"134"	"1"	"5"	"308"	"2"	"0"	"1"	"1"	"3"	"5"	"3"	"0"	"3"	"6"	"5"	"4"	"48"	"2"	"544"	"544"	""	""
"77"	"66"	"66"	"13"	"228"	"4"	"5"	"59"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"2"	"1"	"31"	"1"	"355"	"355"	""	""
"78"	"67"	"67"	"11"	"133"	"1"	"0"	"101"	"1"	"4"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"6"	"0"	"10"	"2"	"274"	"274"	""	""
"79"	"68"	"68"	"6"	"147"	"2"	"1"	"200"	"4"	"3"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"3"	"0"	"0"	"18"	"0"	"388"	"388"	""	""
"80"	"69"	"69"	"29"	"6"	"2"	"5"	"300"	"2"	"3"	"2"	"1"	"0"	"2"	"4"	"0"	"2"	"2"	"1"	"1"	"56"	"3"	"421"	"421"	""	""
"81"	"70"	"70"	"6"	"4"	"0"	"1"	"307"	"4"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"33"	"0"	"364"	"364"	""	""
"82"	"71"	"71"	"8"	"9"	"1"	"1"	"451"	"3"	"2"	"0"	"1"	"2"	"0"	"4"	"0"	"0"	"0"	"4"	"0"	"87"	"4"	"577"	"577"	""	""
"83"	"72"	"72"	"12"	"8"	"0"	"2"	"347"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"52"	"0"	"431"	"431"	""	""
"84"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"85"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"87"	"73"	"73"	"17"	"247"	"3"	"4"	"343"	"5"	"4"	"9"	"4"	"4"	"6"	"6"	"1"	"4"	"7"	"9"	"6"	"24"	"1"	"704"	"704"	""	""
"88"	"74"	"74"	"10"	"6"	"1"	"6"	"304"	"2"	"3"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"1"	"3"	"2"	"36"	"1"	"382"	"382"	""	""
"89"	"75"	"75"	"1"	"12"	"1"	"0"	"203"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"54"	"3"	"281"	"281"	""	""
"90"	"76"	"76"	"18"	"204"	"1"	"5"	"306"	"2"	"6"	"3"	"0"	"3"	"2"	"6"	"1"	"1"	"3"	"4"	"0"	"70"	"2"	"637"	"637"	""	""
"91"	"77"	"77"	"3"	"9"	"1"	"1"	"234"	"1"	"5"	"2"	"1"	"2"	"1"	"3"	"0"	"1"	"1"	"6"	"0"	"91"	"2"	"364"	"364"	""	""
"92"	"78"	"78"	"6"	"42"	"1"	"2"	"303"	"2"	"2"	"1"	"0"	"3"	"6"	"13"	"1"	"2"	"4"	"4"	"2"	"155"	"6"	"555"	"555"	""	""
"93"	"79"	"79"	"8"	"14"	"1"	"3"	"363"	"1"	"1"	"2"	"2"	"2"	"6"	"10"	"1"	"0"	"8"	"7"	"8"	"99"	"25"	"561"	"561"	""	""
"94"	"80"	"80"	"10"	"9"	"2"	"1"	"253"	"0"	"9"	"0"	"0"	"3"	"1"	"2"	"0"	"2"	"1"	"10"	"0"	"70"	"1"	"374"	"374"	""	""
"95"	"81"	"81"	"5"	"14"	"2"	"1"	"197"	"3"	"18"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"2"	"1"	"0"	"66"	"1"	"317"	"317"	""	""
"96"	"82"	"82"	"6"	"7"	"1"	"2"	"309"	"4"	"1"	"0"	"0"	"1"	"2"	"12"	"1"	"2"	"1"	"12"	"5"	"91"	"4"	"461"	"461"	""	""
"97"	"83"	"83"	"8"	"166"	"3"	"0"	"245"	"2"	"9"	"3"	"3"	"2"	"1"	"6"	"0"	"0"	"3"	"5"	"2"	"104"	"6"	"568"	"568"	""	""
"98"	"84"	"84"	"3"	"19"	"1"	"2"	"335"	"1"	"2"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"1"	"7"	"112"	"6"	"495"	"495"	""	""
"99"	"85"	"85"	"4"	"7"	"0"	"0"	"292"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"88"	"0"	"397"	"397"	""	""
"100"	"86"	"86"	"5"	"44"	"2"	"1"	"221"	"1"	"2"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"2"	"1"	"0"	"134"	"0"	"418"	"418"	""	""
"101"	"87"	"87"	"22"	"11"	"2"	"1"	"395"	"4"	"8"	"0"	"0"	"0"	"2"	"6"	"1"	"1"	"0"	"4"	"0"	"136"	"1"	"594"	"594"	""	""
"102"	"88"	"88"	"8"	"6"	"1"	"1"	"373"	"1"	"12"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"6"	"0"	"33"	"2"	"451"	"451"	""	""
"103"	"89"	"89"	"12"	"43"	"0"	"2"	"240"	"1"	"4"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"2"	"11"	"0"	"76"	"3"	"400"	"400"	""	""
"104"	"90"	"90"	"10"	"69"	"2"	"0"	"278"	"7"	"9"	"0"	"0"	"0"	"1"	"5"	"2"	"1"	"0"	"18"	"0"	"58"	"0"	"460"	"460"	""	""
"105"	"Serial No. of Polling"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total"	"No. of Rejected Votes"	"No. of Tendered votes"
"106"	"Sl.
No."	"Booth No."	"Mayank Kumar"	"Mohhammad
Jamal"	"Bindeshwari Prasad Thakur"	"Satish Kumar"	"Suresh Kumar
Sharma"	"Kishori Lal Agrawal"	"Kedar Nath
Prasad"	"Dhirendra Samsher"	"Baliram
Prasad Shrivastava"	"Vinod Kumar
Verma"	"Sanjay Kumar"	"Suraj Kumar
Singh"	"Gargi Singh"	"Jagnnth Sah"	"Deva Nand
Singh"	"Raghunath
Adig"	"Ramdhani
Mahto"	"Vivek Kumar, Mohalla-Choti Saraygang,"	"Vivek Kumar,
Mohalla- Mishra Tola
Ganipur"	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"108"	"91"	"91"	"17"	"36"	"0"	"0"	"331"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"1"	"80"	"1"	"480"	"480"	""	""
"109"	"92"	"92"	"6"	"3"	"1"	"2"	"300"	"2"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"24"	"1"	"346"	"346"	""	""
"110"	"93"	"93"	"12"	"12"	"3"	"1"	"567"	"2"	"0"	"2"	"0"	"2"	"1"	"5"	"2"	"0"	"0"	"1"	"2"	"84"	"2"	"698"	"698"	""	""
"111"	"94"	"94"	"19"	"113"	"1"	"3"	"431"	"2"	"0"	"7"	"2"	"3"	"1"	"14"	"2"	"1"	"5"	"4"	"2"	"84"	"0"	"694"	"694"	""	""
"112"	"95"	"95"	"9"	"4"	"0"	"4"	"362"	"2"	"0"	"1"	"2"	"0"	"1"	"5"	"0"	"4"	"2"	"5"	"1"	"47"	"0"	"449"	"449"	""	""
"113"	"96"	"96"	"13"	"48"	"0"	"0"	"331"	"1"	"3"	"0"	"1"	"0"	"3"	"4"	"2"	"0"	"0"	"4"	"1"	"50"	"2"	"463"	"463"	""	""
"114"	"97"	"97"	"23"	"16"	"4"	"0"	"475"	"5"	"2"	"1"	"0"	"0"	"0"	"12"	"0"	"1"	"2"	"3"	"1"	"176"	"0"	"721"	"721"	""	""
"115"	"98"	"98"	"4"	"187"	"1"	"0"	"121"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"3"	"0"	"74"	"1"	"399"	"399"	""	""
"116"	"99"	"99"	"2"	"67"	"1"	"0"	"142"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"42"	"0"	"262"	"262"	""	""
"117"	"100"	"100"	"3"	"2"	"1"	"2"	"220"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"3"	"0"	"72"	"2"	"309"	"309"	""	""
"118"	"101"	"101"	"20"	"216"	"1"	"0"	"147"	"1"	"0"	"0"	"3"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"3"	"130"	"2"	"528"	"528"	""	""
"119"	"102"	"102"	"19"	"51"	"0"	"0"	"279"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"22"	"1"	"381"	"381"	""	""
"120"	"103"	"103"	"17"	"38"	"1"	"0"	"219"	"7"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"27"	"0"	"314"	"314"	""	""
"121"	"104"	"104"	"14"	"132"	"1"	"4"	"358"	"2"	"0"	"2"	"0"	"0"	"5"	"7"	"0"	"0"	"2"	"5"	"0"	"37"	"0"	"569"	"569"	""	""
