"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assembly Constituency - 2010 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electers in Assembly Constituency :- 205137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. & Name of Assembly Constituency - 221 Nabinagar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"21"	"221"	"15"	""	"36"	"2"	"2"	"10"	"122"	"181"	"3"	"5"	"1"	"8"	"12"	"7"	"0"	"1"	"6"	"632"	"15"
"22"	"221"	"16"	""	"57"	"3"	"10"	"27"	"89"	"144"	"7"	"11"	"3"	"10"	"16"	"10"	"4"	"6"	"15"	"649"	"16"
"23"	"221"	"17"	""	"14"	"2"	"4"	"95"	"85"	"70"	"5"	"11"	"2"	"2"	"7"	"1"	"1"	"1"	"4"	"542"	"17"
"24"	"221"	"18"	""	"19"	"1"	"4"	"21"	"246"	"100"	"3"	"5"	"4"	"8"	"16"	"7"	"1"	"3"	"10"	"687"	"18"
"25"	"221"	"19"	""	"30"	"7"	"1"	"90"	"178"	"45"	"6"	"13"	"4"	"4"	"9"	"14"	"5"	"1"	"14"	"661"	"19"
"26"	"221"	"20"	""	"16"	"0"	"4"	"1"	"11"	"111"	"0"	"3"	"0"	"0"	"0"	"4"	"2"	"1"	"3"	"397"	"20"
"27"	"221"	"21"	""	"26"	"1"	"4"	"212"	"127"	"70"	"5"	"9"	"2"	"6"	"15"	"11"	"5"	"10"	"19"	"764"	"21"
"28"	"221"	"22"	""	"16"	"4"	"12"	"16"	"183"	"219"	"12"	"9"	"6"	"12"	"31"	"13"	"3"	"6"	"17"	"802"	"22"
"29"	"221"	"23"	""	"26"	"1"	"6"	"52"	"175"	"203"	"6"	"18"	"6"	"7"	"29"	"7"	"2"	"12"	"42"	"836"	"23"
"30"	"221"	"24"	""	"166"	"4"	"9"	"107"	"320"	"34"	"14"	"6"	"5"	"1"	"8"	"1"	"3"	"4"	"6"	"933"	"24"
"31"	"221"	"25"	""	"10"	"1"	"5"	"10"	"121"	"77"	"4"	"2"	"0"	"1"	"9"	"5"	"1"	"2"	"9"	"503"	"25"
"32"	"221"	"26"	""	"2"	"1"	"1"	"7"	"72"	"172"	"0"	"2"	"3"	"4"	"7"	"4"	"2"	"1"	"7"	"532"	"26"
"33"	"221"	"27"	""	"67"	"7"	"7"	"40"	"120"	"92"	"7"	"7"	"4"	"4"	"10"	"8"	"2"	"7"	"14"	"644"	"27"
"34"	"221"	"28"	""	"112"	"10"	"7"	"87"	"70"	"88"	"6"	"17"	"4"	"9"	"11"	"5"	"5"	"9"	"14"	"703"	"28"
"35"	"221"	"29"	""	"144"	"8"	"4"	"80"	"167"	"44"	"4"	"11"	"2"	"4"	"3"	"4"	"2"	"8"	"9"	"744"	"29"
"36"	"221"	"30"	""	"0"	"1"	"0"	"6"	"149"	"64"	"1"	"1"	"0"	"3"	"11"	"2"	"2"	"2"	"3"	"496"	"30"
"37"	"221"	"31"	""	"29"	"3"	"2"	"12"	"131"	"23"	"7"	"21"	"4"	"1"	"4"	"3"	"1"	"2"	"5"	"500"	"31"
"38"	"221"	"32"	""	"6"	"0"	"0"	"16"	"58"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"341"	"32"
"39"	"221"	"33"	""	"21"	"2"	"10"	"24"	"94"	"377"	"5"	"8"	"1"	"1"	"5"	"4"	"2"	"1"	"4"	"813"	"33"
"40"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"41"	"221"	"34"	""	"168"	"1"	"3"	"21"	"42"	"135"	"2"	"9"	"5"	"3"	"3"	"2"	"0"	"1"	"6"	"656"	"34"
"42"	"221"	"35"	""	"61"	"1"	"7"	"92"	"108"	"169"	"9"	"6"	"2"	"5"	"14"	"3"	"0"	"3"	"8"	"744"	"35"
"43"	"221"	"36"	""	"2"	"0"	"7"	"60"	"106"	"14"	"2"	"2"	"2"	"1"	"0"	"2"	"0"	"1"	"3"	"459"	"36"
"44"	"221"	"37"	""	"9"	"1"	"1"	"43"	"50"	"118"	"3"	"2"	"0"	"4"	"1"	"2"	"3"	"4"	"14"	"513"	"37"
"45"	"221"	"38"	""	"155"	"5"	"3"	"105"	"60"	"17"	"1"	"2"	"0"	"1"	"3"	"7"	"7"	"6"	"17"	"648"	"38"
"46"	"221"	"39"	""	"71"	"1"	"4"	"34"	"116"	"136"	"1"	"11"	"7"	"2"	"9"	"4"	"1"	"7"	"14"	"678"	"39"
"47"	"221"	"40"	""	"21"	"0"	"1"	"8"	"79"	"114"	"1"	"3"	"1"	"0"	"3"	"1"	"1"	"2"	"5"	"501"	"40"
"48"	"221"	"41"	""	"28"	"5"	"5"	"216"	"10"	"26"	"2"	"0"	"2"	"5"	"3"	"6"	"1"	"4"	"4"	"579"	"41"
"49"	"221"	"42"	""	"123"	"4"	"6"	"88"	"110"	"124"	"9"	"10"	"1"	"5"	"15"	"7"	"5"	"5"	"14"	"789"	"42"
"50"	"221"	"43"	""	"57"	"5"	"3"	"214"	"39"	"97"	"8"	"22"	"2"	"9"	"6"	"7"	"5"	"3"	"14"	"755"	"43"
"51"	"221"	"44"	""	"26"	"1"	"4"	"45"	"124"	"230"	"11"	"10"	"4"	"23"	"21"	"10"	"4"	"13"	"27"	"818"	"44"
"52"	"221"	"45"	""	"28"	"0"	"3"	"20"	"156"	"96"	"2"	"6"	"0"	"1"	"3"	"2"	"1"	"1"	"4"	"589"	"45"
"53"	"221"	"46"	""	"40"	"9"	"9"	"77"	"51"	"164"	"7"	"10"	"4"	"7"	"14"	"6"	"4"	"5"	"22"	"696"	"46"
"54"	"221"	"47"	""	"28"	"3"	"4"	"295"	"113"	"65"	"4"	"5"	"5"	"4"	"15"	"10"	"5"	"12"	"14"	"850"	"47"
"55"	"221"	"48"	""	"39"	"2"	"3"	"160"	"125"	"93"	"2"	"2"	"3"	"5"	"19"	"6"	"4"	"3"	"11"	"746"	"48"
"56"	"221"	"49"	""	"11"	"0"	"1"	"54"	"101"	"86"	"1"	"1"	"1"	"1"	"6"	"2"	"1"	"3"	"10"	"549"	"49"
"57"	"221"	"50"	""	"76"	"4"	"9"	"195"	"127"	"88"	"6"	"16"	"2"	"4"	"14"	"5"	"1"	"9"	"19"	"846"	"50"
"58"	"221"	"51"	""	"167"	"6"	"13"	"17"	"41"	"363"	"5"	"14"	"4"	"10"	"6"	"9"	"6"	"5"	"24"	"962"	"51"
"59"	"221"	"52"	""	"135"	"4"	"10"	"30"	"172"	"217"	"10"	"13"	"3"	"6"	"12"	"9"	"12"	"12"	"16"	"934"	"52"
"60"	"221"	"53"	""	"136"	"2"	"3"	"14"	"34"	"291"	"7"	"14"	"1"	"3"	"16"	"3"	"5"	"4"	"13"	"820"	"53"
"61"	"221"	"54"	""	"206"	"5"	"7"	"62"	"187"	"210"	"12"	"8"	"6"	"12"	"28"	"19"	"8"	"9"	"34"	"1088"	"54"
"62"	"221"	"55"	""	"34"	"0"	"4"	"11"	"15"	"157"	"1"	"33"	"5"	"6"	"1"	"4"	"1"	"0"	"8"	"556"	"55"
"63"	"221"	"56"	""	"104"	"4"	"5"	"15"	"16"	"220"	"3"	"16"	"5"	"10"	"15"	"4"	"3"	"2"	"12"	"711"	"56"
"64"	"221"	"57"	""	"32"	"1"	"3"	"37"	"27"	"270"	"6"	"24"	"5"	"15"	"20"	"4"	"5"	"9"	"20"	"756"	"57"
"65"	"221"	"58"	""	"38"	"3"	"3"	"62"	"82"	"35"	"9"	"7"	"0"	"0"	"9"	"8"	"8"	"2"	"14"	"559"	"58"
"66"	"221"	"59"	""	"29"	"2"	"4"	"10"	"153"	"72"	"8"	"2"	"6"	"5"	"6"	"2"	"5"	"11"	"22"	"617"	"59"
"67"	"221"	"60"	""	"27"	"1"	"1"	"52"	"118"	"14"	"7"	"0"	"1"	"1"	"14"	"4"	"5"	"3"	"12"	"541"	"60"
"68"	"221"	"61"	""	"76"	"5"	"5"	"97"	"252"	"183"	"13"	"9"	"4"	"8"	"19"	"9"	"8"	"13"	"17"	"1000"	"61"
"69"	"221"	"62"	""	"39"	"1"	"5"	"84"	"182"	"55"	"2"	"17"	"3"	"6"	"18"	"6"	"3"	"9"	"21"	"734"	"62"
"70"	"221"	"63"	""	"11"	"0"	"6"	"51"	"136"	"13"	"5"	"7"	"2"	"1"	"15"	"4"	"7"	"8"	"31"	"581"	"63"
"71"	"221"	"64"	""	"18"	"10"	"10"	"20"	"54"	"218"	"13"	"9"	"10"	"10"	"12"	"6"	"7"	"7"	"13"	"702"	"64"
"72"	"221"	"65"	""	"7"	"1"	"2"	"52"	"20"	"116"	"7"	"9"	"2"	"7"	"15"	"1"	"3"	"0"	"3"	"531"	"65"
"73"	"221"	"66"	""	"4"	"6"	"0"	"11"	"50"	"190"	"7"	"28"	"4"	"5"	"9"	"1"	"2"	"1"	"9"	"614"	"66"
"74"	"221"	"67"	""	"27"	"23"	"4"	"16"	"26"	"105"	"2"	"10"	"3"	"1"	"2"	"2"	"4"	"4"	"4"	"521"	"67"
"75"	"221"	"68"	""	"15"	"8"	"3"	"115"	"195"	"119"	"9"	"9"	"2"	"2"	"7"	"6"	"2"	"9"	"19"	"809"	"68"
"76"	"221"	"69"	""	"56"	"0"	"3"	"8"	"40"	"89"	"6"	"239"	"10"	"2"	"15"	"5"	"4"	"6"	"16"	"789"	"69"
"77"	"221"	"70"	""	"47"	"3"	"3"	"9"	"156"	"21"	"2"	"10"	"4"	"1"	"8"	"4"	"0"	"4"	"15"	"578"	"70"
"78"	"221"	"71"	""	"85"	"2"	"2"	"44"	"152"	"37"	"3"	"6"	"4"	"2"	"15"	"9"	"7"	"15"	"50"	"725"	"71"
"79"	"221"	"72"	""	"15"	"3"	"2"	"53"	"155"	"62"	"4"	"7"	"2"	"7"	"18"	"11"	"5"	"4"	"14"	"655"	"72"
"80"	"221"	"73"	""	"22"	"1"	"2"	"10"	"50"	"203"	"5"	"85"	"7"	"8"	"16"	"3"	"5"	"7"	"11"	"729"	"73"
"81"	"221"	"74"	""	"73"	"5"	"1"	"48"	"127"	"89"	"6"	"7"	"4"	"4"	"11"	"5"	"4"	"8"	"16"	"703"	"74"
"82"	"221"	"75"	""	"10"	"1"	"2"	"16"	"72"	"142"	"8"	"24"	"2"	"6"	"10"	"3"	"2"	"3"	"14"	"611"	"75"
"83"	"221"	"76"	""	"9"	"3"	"5"	"81"	"70"	"408"	"5"	"17"	"6"	"17"	"22"	"6"	"5"	"3"	"14"	"968"	"76"
"84"	"221"	"77"	""	"2"	"7"	"5"	"27"	"2"	"149"	"1"	"3"	"3"	"10"	"6"	"4"	"0"	"2"	"4"	"523"	"77"
"85"	"221"	"78"	""	"46"	"0"	"2"	"19"	"289"	"46"	"8"	"3"	"1"	"6"	"8"	"4"	"2"	"5"	"20"	"758"	"78"
"86"	"221"	"79"	""	"7"	"88"	"7"	"40"	"77"	"78"	"5"	"1"	"1"	"3"	"9"	"5"	"3"	"11"	"12"	"647"	"79"
"87"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"88"	"221"	"80"	""	"22"	"0"	"7"	"81"	"27"	"116"	"1"	"6"	"1"	"1"	"8"	"3"	"2"	"3"	"4"	"583"	"80"
"89"	"221"	"81"	""	"8"	"1"	"2"	"5"	"21"	"288"	"3"	"11"	"0"	"4"	"9"	"0"	"1"	"1"	"4"	"660"	"81"
"90"	"221"	"82"	""	"10"	"4"	"0"	"28"	"43"	"155"	"6"	"14"	"2"	"5"	"14"	"3"	"7"	"9"	"26"	"629"	"82"
"91"	"221"	"83"	""	"3"	"9"	"3"	"10"	"26"	"191"	"5"	"18"	"2"	"13"	"7"	"2"	"0"	"4"	"11"	"608"	"83"
"92"	"221"	"84"	""	"15"	"7"	"3"	"40"	"39"	"280"	"7"	"12"	"5"	"8"	"12"	"2"	"1"	"8"	"14"	"758"	"84"
"93"	"221"	"85"	""	"149"	"12"	"7"	"46"	"183"	"80"	"4"	"3"	"1"	"2"	"3"	"3"	"1"	"9"	"10"	"819"	"85"
"94"	"221"	"86"	""	"6"	"1"	"3"	"10"	"18"	"116"	"0"	"10"	"0"	"1"	"6"	"1"	"2"	"0"	"2"	"483"	"86"
"95"	"221"	"87"	""	"5"	"5"	"1"	"36"	"14"	"277"	"1"	"2"	"2"	"5"	"8"	"4"	"0"	"0"	"2"	"670"	"87"
"96"	"221"	"88"	""	"89"	"2"	"6"	"15"	"141"	"144"	"9"	"13"	"2"	"4"	"28"	"11"	"1"	"3"	"11"	"788"	"88"
"97"	"221"	"89"	""	"206"	"8"	"6"	"38"	"186"	"106"	"5"	"14"	"3"	"1"	"12"	"7"	"3"	"5"	"14"	"924"	"89"
"98"	"221"	"90"	""	"69"	"7"	"12"	"34"	"86"	"379"	"7"	"16"	"2"	"4"	"26"	"3"	"3"	"3"	"12"	"974"	"90"
"99"	"221"	"91"	""	"43"	"8"	"8"	"8"	"122"	"204"	"3"	"5"	"6"	"5"	"10"	"7"	"4"	"5"	"11"	"761"	"91"
"100"	"221"	"92"	""	"24"	"3"	"8"	"18"	"158"	"223"	"9"	"4"	"5"	"7"	"9"	"4"	"2"	"0"	"11"	"798"	"92"
"101"	"221"	"93"	""	"48"	"2"	"8"	"42"	"75"	"207"	"1"	"7"	"2"	"2"	"7"	"5"	"3"	"3"	"11"	"737"	"93"
"102"	"221"	"94"	""	"136"	"1"	"3"	"66"	"88"	"136"	"5"	"10"	"3"	"1"	"3"	"2"	"0"	"4"	"3"	"776"	"94"
"103"	"221"	"95"	""	"46"	"4"	"12"	"37"	"91"	"185"	"5"	"8"	"3"	"6"	"10"	"2"	"3"	"0"	"6"	"734"	"95"
"104"	"221"	"95"	"A"	"6"	"4"	"7"	"15"	"47"	"310"	"5"	"7"	"1"	"8"	"8"	"2"	"2"	"2"	"3"	"743"	"96"
"105"	"221"	"96"	""	"67"	"4"	"3"	"24"	"195"	"244"	"14"	"22"	"14"	"24"	"31"	"15"	"8"	"14"	"25"	"1021"	"97"
"106"	"221"	"97"	""	"9"	"2"	"10"	"19"	"126"	"189"	"8"	"12"	"2"	"9"	"17"	"4"	"6"	"7"	"10"	"748"	"98"
"107"	"221"	"98"	""	"16"	"0"	"10"	"26"	"176"	"291"	"4"	"11"	"5"	"6"	"14"	"2"	"6"	"12"	"16"	"914"	"99"
"108"	"221"	"99"	""	"22"	"0"	"3"	"15"	"49"	"221"	"3"	"8"	"3"	"8"	"12"	"10"	"1"	"3"	"4"	"682"	"100"
"109"	"221"	"100"	""	"10"	"2"	"8"	"4"	"73"	"98"	"3"	"15"	"3"	"4"	"5"	"3"	"2"	"3"	"11"	"565"	"101"
"110"	"221"	"101"	""	"107"	"5"	"10"	"9"	"40"	"83"	"5"	"9"	"2"	"2"	"2"	"0"	"2"	"2"	"9"	"609"	"102"
"111"	"221"	"102"	""	"7"	"1"	"27"	"18"	"121"	"191"	"13"	"18"	"8"	"6"	"13"	"3"	"2"	"6"	"14"	"771"	"103"
"112"	"221"	"103"	""	"84"	"2"	"4"	"36"	"58"	"104"	"6"	"15"	"4"	"1"	"7"	"0"	"0"	"1"	"6"	"652"	"104"
"113"	"221"	"104"	""	"6"	"1"	"3"	"13"	"96"	"68"	"3"	"1"	"2"	"6"	"10"	"7"	"2"	"0"	"4"	"547"	"105"
"114"	"221"	"105"	""	"77"	"5"	"19"	"5"	"105"	"128"	"4"	"20"	"3"	"6"	"8"	"0"	"3"	"14"	"17"	"740"	"106"
"115"	"221"	"106"	""	"24"	"2"	"4"	"54"	"249"	"204"	"10"	"17"	"6"	"14"	"20"	"8"	"7"	"6"	"15"	"967"	"107"
"116"	"221"	"107"	""	"10"	"1"	"6"	"12"	"193"	"39"	"3"	"5"	"1"	"0"	"8"	"2"	"3"	"8"	"12"	"631"	"108"
"117"	"221"	"108"	""	"69"	"0"	"7"	"8"	"67"	"146"	"3"	"16"	"3"	"4"	"12"	"2"	"1"	"4"	"9"	"680"	"109"
"118"	"221"	"109"	""	"13"	"1"	"1"	"55"	"21"	"143"	"1"	"6"	"1"	"3"	"5"	"0"	"0"	"0"	"3"	"583"	"110"
"119"	"221"	"110"	""	"5"	"3"	"7"	"37"	"26"	"228"	"3"	"10"	"5"	"3"	"6"	"3"	"2"	"0"	"2"	"671"	"111"
"120"	"221"	"111"	""	"8"	"4"	"8"	"40"	"53"	"144"	"1"	"47"	"1"	"5"	"10"	"2"	"3"	"0"	"6"	"664"	"112"
"121"	"221"	"112"	""	"38"	"2"	"4"	"63"	"77"	"326"	"6"	"7"	"1"	"2"	"5"	"1"	"3"	"3"	"9"	"880"	"113"
"122"	"221"	"113"	""	"6"	"1"	"1"	"19"	"175"	"88"	"6"	"6"	"4"	"9"	"18"	"8"	"3"	"4"	"9"	"691"	"114"
"123"	"221"	"114"	""	"0"	"0"	"2"	"6"	"78"	"186"	"1"	"12"	"0"	"3"	"4"	"2"	"1"	"1"	"5"	"636"	"115"
"124"	"221"	"115"	""	"27"	"5"	"3"	"22"	"189"	"209"	"3"	"11"	"4"	"13"	"26"	"11"	"4"	"8"	"23"	"894"	"116"
"125"	"221"	"116"	""	"15"	"4"	"1"	"17"	"91"	"214"	"6"	"12"	"4"	"10"	"12"	"3"	"5"	"5"	"10"	"746"	"117"
"126"	"221"	"117"	""	"22"	"4"	"3"	"101"	"407"	"71"	"9"	"8"	"5"	"9"	"26"	"8"	"4"	"4"	"6"	"1025"	"118"
"127"	"221"	"118"	""	"37"	"2"	"7"	"11"	"201"	"285"	"5"	"29"	"2"	"9"	"13"	"2"	"4"	"5"	"10"	"961"	"119"
"128"	"221"	"119"	""	"65"	"3"	"5"	"5"	"74"	"142"	"9"	"100"	"5"	"10"	"14"	"3"	"4"	"4"	"15"	"798"	"120"
"129"	"221"	"120"	""	"33"	"2"	"4"	"3"	"136"	"91"	"4"	"30"	"3"	"3"	"4"	"0"	"2"	"3"	"8"	"667"	"121"
"130"	"221"	"121"	""	"3"	"1"	"3"	"2"	"50"	"85"	"3"	"12"	"0"	"1"	"9"	"2"	"2"	"1"	"7"	"523"	"122"
"131"	"221"	"122"	""	"8"	"3"	"5"	"2"	"166"	"106"	"2"	"1"	"1"	"2"	"3"	"2"	"0"	"1"	"3"	"648"	"123"
"132"	"221"	"123"	""	"43"	"0"	"13"	"39"	"21"	"68"	"1"	"14"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"547"	"124"
"133"	"221"	"124"	""	"93"	"4"	"8"	"7"	"94"	"236"	"17"	"12"	"8"	"21"	"19"	"9"	"6"	"7"	"25"	"911"	"125"
"134"	"SEGI D"	"BOOTH
_NO"	"BOOTH_ EXT"	"Archana chandra"	"Dinesh Kumar"	"Mritunjal Singh"	"Ram chandra singh"	"Vijay kumar singh"	"Virendra Kumar Singh"	"Ram prakash ram"	"Kumar Rajendra"	"Janesh war Ram"	"Baijnath singh"	"Bhim kumar"	"Ram bhajan Paswan"	"shiv shankar singh"	"sant Lal Ram"	"Hari shankar Tiwari"	"TOTAL"	"SLNO"
"135"	"221"	"125"	""	"32"	"0"	"4"	"4"	"121"	"116"	"0"	"3"	"2"	"6"	"5"	"6"	"2"	"3"	"3"	"653"	"126"
"136"	"221"	"126"	""	"155"	"7"	"9"	"17"	"26"	"312"	"11"	"22"	"4"	"5"	"10"	"3"	"7"	"4"	"19"	"958"	"127"
"137"	"221"	"127"	""	"18"	"0"	"2"	"7"	"98"	"115"	"6"	"9"	"4"	"6"	"15"	"4"	"2"	"7"	"8"	"649"	"128"
"138"	"221"	"128"	""	"29"	"1"	"13"	"7"	"147"	"211"	"7"	"7"	"5"	"5"	"14"	"5"	"1"	"9"	"10"	"820"	"129"
"139"	"221"	"129"	""	"5"	"1"	"5"	"3"	"81"	"143"	"4"	"3"	"1"	"1"	"5"	"5"	"0"	"4"	"12"	"623"	"130"
"140"	"221"	"130"	""	"22"	"2"	"4"	"35"	"37"	"76"	"9"	"4"	"6"	"8"	"10"	"2"	"4"	"1"	"13"	"584"	"131"
"141"	"221"	"131"	""	"12"	"1"	"4"	"5"	"137"	"41"	"1"	"7"	"0"	"5"	"17"	"4"	"2"	"2"	"5"	"595"	"132"
"142"	"221"	"132"	""	"24"	"2"	"7"	"9"	"197"	"136"	"9"	"11"	"9"	"8"	"14"	"5"	"9"	"12"	"19"	"824"	"133"
"143"	"221"	"133"	""	"44"	"9"	"22"	"83"	"71"	"263"	"9"	"10"	"15"	"12"	"14"	"9"	"6"	"8"	"22"	"951"	"134"
"144"	"221"	"134"	""	"38"	"2"	"5"	"102"	"262"	"25"	"7"	"5"	"2"	"19"	"23"	"13"	"6"	"4"	"38"	"906"	"135"
"145"	"221"	"135"	""	"28"	"0"	"3"	"25"	"127"	"25"	"2"	"21"	"2"	"3"	"2"	"1"	"2"	"0"	"7"	"604"	"136"
"146"	"221"	"136"	""	"35"	"3"	"11"	"62"	"24"	"186"	"8"	"37"	"3"	"4"	"9"	"1"	"3"	"3"	"3"	"749"	"137"
"147"	"221"	"137"	""	"31"	"4"	"1"	"13"	"58"	"211"	"4"	"16"	"7"	"7"	"16"	"6"	"5"	"6"	"14"	"757"	"138"
"148"	"221"	"138"	""	"35"	"3"	"6"	"48"	"50"	"201"	"9"	"25"	"2"	"15"	"9"	"8"	"4"	"4"	"11"	"789"	"139"
"149"	"221"	"139"	""	"5"	"0"	"16"	"1"	"56"	"147"	"3"	"77"	"2"	"1"	"5"	"1"	"2"	"4"	"2"	"682"	"140"
"150"	"221"	"140"	""	"10"	"1"	"6"	"23"	"111"	"71"	"6"	"143"	"5"	"8"	"12"	"7"	"6"	"5"	"13"	"788"	"141"
"151"	"221"	"141"	""	"14"	"0"	"1"	"25"	"36"	"35"	"8"	"550"	"12"	"8"	"10"	"5"	"3"	"7"	"7"	"1083"	"142"
"152"	"221"	"142"	""	"3"	"1"	"0"	"9"	"18"	"16"	"7"	"195"	"6"	"1"	"1"	"2"	"0"	"1"	"6"	"629"	"143"
"153"	"221"	"143"	""	"2"	"0"	"2"	"12"	"23"	"27"	"4"	"137"	"5"	"6"	"5"	"0"	"2"	"0"	"5"	"594"	"144"
"154"	"221"	"144"	""	"2"	"0"	"1"	"2"	"19"	"128"	"6"	"70"	"3"	"5"	"6"	"2"	"1"	"1"	"2"	"613"	"145"
