"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ 27& ckadk fuokZpu {ks= esa   161 ckadk fo| ku l Hkk {k= ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½ --161 ckdk fo/kku l Hkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy  l a[ ; k ---203931---"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"42"	"30A"	"47"	"5"	"1"	"126"	"1"	"2"	"0"	"1"	"0"	"117"	"2"	"13"	"2"	"0"	"1"	"318"	"0"	"318"	"0"
"43"	"31"	"132"	"10"	"3"	"109"	"1"	"0"	"5"	"0"	"1"	"160"	"3"	"11"	"2"	"3"	"0"	"440"	"0"	"440"	"0"
"44"	"32"	"156"	"12"	"1"	"246"	"3"	"4"	"1"	"1"	"3"	"85"	"1"	"35"	"10"	"12"	"8"	"578"	"0"	"578"	"0"
"45"	"33"	"20"	"2"	"1"	"307"	"6"	"0"	"1"	"2"	"3"	"103"	"1"	"19"	"2"	"0"	"4"	"471"	"0"	"471"	"0"
"46"	"34"	"80"	"13"	"3"	"183"	"0"	"2"	"27"	"2"	"2"	"71"	"0"	"10"	"0"	"3"	"0"	"396"	"0"	"396"	"0"
"47"	"35"	"46"	"8"	"2"	"147"	"1"	"2"	"2"	"1"	"3"	"117"	"5"	"22"	"0"	"20"	"0"	"376"	"0"	"376"	"0"
"48"	"36"	"8"	"2"	"0"	"94"	"1"	"1"	"0"	"0"	"0"	"135"	"3"	"7"	"0"	"3"	"0"	"254"	"0"	"254"	"0"
"49"	"37"	"118"	"8"	"96"	"290"	"9"	"8"	"2"	"1"	"5"	"88"	"6"	"34"	"3"	"3"	"3"	"674"	"0"	"674"	"0"
"50"	"38"	"55"	"3"	"4"	"416"	"4"	"2"	"2"	"1"	"1"	"78"	"5"	"12"	"1"	"5"	"1"	"590"	"0"	"590"	"0"
"51"	"39"	"25"	"8"	"32"	"223"	"2"	"2"	"1"	"0"	"1"	"69"	"9"	"23"	"2"	"3"	"2"	"402"	"0"	"402"	"0"
"52"	"40"	"28"	"6"	"4"	"133"	"3"	"4"	"1"	"2"	"2"	"100"	"4"	"32"	"6"	"2"	"5"	"332"	"0"	"332"	"0"
"53"	"41"	"126"	"16"	"5"	"132"	"6"	"5"	"0"	"16"	"3"	"183"	"7"	"43"	"4"	"6"	"12"	"564"	"0"	"564"	"0"
"54"	"42"	"195"	"37"	"1"	"26"	"1"	"0"	"4"	"8"	"6"	"32"	"16"	"22"	"2"	"8"	"5"	"363"	"0"	"363"	"0"
"55"	"43"	"339"	"39"	"18"	"38"	"0"	"0"	"0"	"1"	"3"	"17"	"0"	"6"	"0"	"10"	"1"	"472"	"0"	"472"	"0"
"56"	"44"	"411"	"24"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"1"	"3"	"2"	"463"	"0"	"463"	"0"
"57"	"45"	"534"	"33"	"10"	"17"	"1"	"1"	"5"	"3"	"6"	"46"	"7"	"17"	"3"	"11"	"18"	"712"	"0"	"712"	"0"
"58"	"46"	"30"	"9"	"28"	"61"	"3"	"2"	"2"	"2"	"3"	"189"	"10"	"49"	"10"	"11"	"12"	"421"	"0"	"421"	"0"
"59"	"47"	"322"	"35"	"19"	"100"	"2"	"3"	"2"	"2"	"5"	"34"	"3"	"27"	"7"	"14"	"9"	"584"	"0"	"584"	"0"
"60"	"48"	"11"	"4"	"46"	"63"	"1"	"4"	"1"	"1"	"4"	"37"	"2"	"18"	"5"	"100"	"7"	"304"	"0"	"304"	"0"
"61"	"49"	"110"	"7"	"9"	"95"	"0"	"1"	"0"	"0"	"0"	"26"	"2"	"13"	"1"	"17"	"6"	"287"	"0"	"287"	"0"
"62"	"50"	"15"	"2"	"238"	"266"	"2"	"6"	"2"	"3"	"3"	"24"	"4"	"22"	"4"	"16"	"14"	"621"	"0"	"621"	"0"
"63"	"51"	"146"	"14"	"11"	"294"	"8"	"11"	"3"	"0"	"3"	"31"	"8"	"20"	"1"	"48"	"4"	"602"	"0"	"602"	"0"
"64"	"52"	"198"	"20"	"3"	"13"	"0"	"2"	"0"	"3"	"0"	"90"	"4"	"20"	"0"	"50"	"2"	"405"	"0"	"405"	"0"
"65"	"53"	"80"	"8"	"33"	"181"	"2"	"4"	"1"	"4"	"7"	"45"	"5"	"39"	"6"	"41"	"14"	"470"	"0"	"470"	"0"
"66"	"54"	"15"	"3"	"44"	"79"	"4"	"5"	"1"	"2"	"3"	"215"	"7"	"48"	"1"	"37"	"10"	"474"	"0"	"474"	"0"
"67"	"55"	"60"	"7"	"83"	"92"	"2"	"0"	"0"	"1"	"2"	"27"	"6"	"14"	"1"	"1"	"3"	"299"	"0"	"299"	"0"
"68"	"56"	"19"	"0"	"40"	"31"	"1"	"1"	"0"	"1"	"1"	"12"	"1"	"3"	"0"	"1"	"2"	"113"	"0"	"113"	"0"
"69"	"57"	"150"	"12"	"31"	"162"	"4"	"2"	"4"	"1"	"2"	"40"	"5"	"18"	"0"	"2"	"1"	"434"	"0"	"434"	"0"
"70"	"58"	"311"	"5"	"10"	"32"	"2"	"1"	"1"	"0"	"7"	"110"	"14"	"24"	"1"	"13"	"18"	"549"	"0"	"549"	"0"
"71"	"59"	"25"	"4"	"6"	"76"	"1"	"3"	"0"	"0"	"0"	"17"	"0"	"2"	"3"	"43"	"0"	"180"	"0"	"180"	"0"
"72"	"60"	"148"	"10"	"59"	"152"	"4"	"7"	"3"	"6"	"11"	"161"	"29"	"27"	"3"	"4"	"7"	"631"	"0"	"631"	"0"
"73"	"61"	"72"	"9"	"129"	"86"	"3"	"2"	"0"	"4"	"4"	"30"	"2"	"20"	"6"	"63"	"7"	"437"	"0"	"437"	"0"
"74"	"62"	"139"	"3"	"16"	"129"	"3"	"1"	"1"	"2"	"4"	"41"	"6"	"54"	"5"	"20"	"19"	"443"	"0"	"443"	"0"
"75"	"63"	"31"	"4"	"19"	"73"	"6"	"7"	"3"	"5"	"9"	"225"	"44"	"43"	"5"	"8"	"15"	"497"	"0"	"497"	"0"
"76"	"64"	"114"	"14"	"25"	"54"	"2"	"3"	"3"	"1"	"2"	"19"	"48"	"10"	"5"	"13"	"7"	"320"	"0"	"320"	"0"
"77"	"65"	"242"	"15"	"4"	"65"	"6"	"6"	"3"	"1"	"5"	"84"	"3"	"22"	"1"	"30"	"12"	"499"	"0"	"499"	"0"
"78"	"66"	"134"	"5"	"41"	"83"	"2"	"3"	"2"	"1"	"1"	"21"	"2"	"13"	"5"	"240"	"8"	"561"	"0"	"561"	"0"
"79"	"67"	"131"	"14"	"77"	"131"	"3"	"9"	"4"	"0"	"0"	"19"	"7"	"11"	"3"	"179"	"3"	"591"	"0"	"591"	"0"
"80"	"68"	"243"	"26"	"10"	"241"	"6"	"7"	"7"	"2"	"4"	"32"	"7"	"34"	"5"	"64"	"5"	"693"	"0"	"693"	"0"
"81"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"82"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"83"	"69"	"141"	"11"	"36"	"63"	"5"	"3"	"11"	"2"	"3"	"33"	"3"	"29"	"6"	"51"	"9"	"406"	"0"	"406"	"0"
"84"	"70"	"172"	"18"	"11"	"133"	"3"	"7"	"4"	"0"	"1"	"14"	"3"	"13"	"2"	"163"	"6"	"550"	"0"	"550"	"0"
"85"	"71"	"238"	"14"	"17"	"72"	"6"	"2"	"2"	"4"	"6"	"96"	"7"	"28"	"3"	"55"	"11"	"561"	"0"	"561"	"0"
"86"	"72"	"102"	"7"	"4"	"135"	"3"	"2"	"1"	"0"	"2"	"37"	"4"	"24"	"3"	"50"	"1"	"375"	"0"	"375"	"0"
"87"	"73"	"156"	"7"	"1"	"49"	"1"	"2"	"0"	"1"	"1"	"85"	"2"	"10"	"0"	"7"	"0"	"322"	"0"	"322"	"0"
"88"	"74"	"248"	"18"	"3"	"19"	"0"	"2"	"2"	"0"	"1"	"17"	"1"	"11"	"2"	"68"	"7"	"399"	"0"	"399"	"0"
"89"	"75"	"157"	"6"	"1"	"40"	"2"	"1"	"3"	"0"	"1"	"31"	"1"	"20"	"0"	"18"	"5"	"286"	"0"	"286"	"0"
"90"	"76"	"181"	"10"	"3"	"63"	"2"	"1"	"5"	"0"	"0"	"37"	"2"	"36"	"1"	"6"	"6"	"353"	"0"	"353"	"0"
"91"	"77"	"227"	"16"	"11"	"161"	"5"	"9"	"3"	"2"	"6"	"68"	"4"	"33"	"4"	"38"	"4"	"591"	"0"	"591"	"0"
"92"	"78"	"281"	"31"	"100"	"137"	"3"	"3"	"4"	"6"	"3"	"62"	"2"	"42"	"1"	"10"	"4"	"689"	"0"	"689"	"0"
"93"	"79"	"117"	"16"	"93"	"113"	"2"	"2"	"1"	"1"	"3"	"43"	"10"	"47"	"6"	"23"	"8"	"485"	"0"	"485"	"0"
"94"	"80"	"99"	"15"	"107"	"29"	"7"	"1"	"3"	"1"	"3"	"4"	"2"	"6"	"1"	"77"	"7"	"362"	"0"	"362"	"0"
"95"	"81"	"22"	"1"	"5"	"29"	"17"	"6"	"4"	"2"	"2"	"86"	"38"	"24"	"7"	"56"	"7"	"306"	"0"	"306"	"0"
"96"	"82"	"30"	"2"	"18"	"157"	"5"	"2"	"2"	"4"	"4"	"274"	"15"	"63"	"2"	"11"	"6"	"595"	"0"	"595"	"0"
"97"	"83"	"44"	"14"	"25"	"351"	"3"	"4"	"1"	"4"	"0"	"131"	"7"	"34"	"0"	"12"	"2"	"632"	"0"	"632"	"0"
"98"	"84"	"162"	"13"	"48"	"202"	"5"	"6"	"2"	"3"	"8"	"130"	"14"	"51"	"7"	"46"	"10"	"707"	"0"	"707"	"0"
"99"	"85"	"93"	"6"	"27"	"159"	"7"	"2"	"0"	"3"	"2"	"60"	"8"	"25"	"4"	"46"	"10"	"452"	"0"	"452"	"0"
"100"	"86"	"132"	"10"	"25"	"97"	"7"	"5"	"5"	"3"	"3"	"170"	"30"	"39"	"2"	"55"	"10"	"593"	"0"	"593"	"0"
"101"	"87"	"85"	"11"	"43"	"199"	"3"	"9"	"5"	"5"	"5"	"123"	"10"	"52"	"37"	"26"	"9"	"622"	"0"	"622"	"0"
"102"	"88"	"22"	"4"	"74"	"25"	"1"	"4"	"8"	"0"	"4"	"92"	"23"	"43"	"5"	"59"	"9"	"373"	"0"	"373"	"0"
"103"	"89"	"54"	"7"	"34"	"145"	"9"	"3"	"6"	"4"	"10"	"111"	"63"	"65"	"5"	"13"	"5"	"534"	"0"	"534"	"0"
"104"	"90"	"43"	"4"	"11"	"80"	"4"	"3"	"2"	"0"	"1"	"203"	"6"	"66"	"6"	"8"	"6"	"443"	"0"	"443"	"0"
"105"	"91"	"39"	"16"	"72"	"37"	"5"	"3"	"5"	"4"	"7"	"117"	"5"	"44"	"3"	"9"	"15"	"381"	"0"	"381"	"0"
"106"	"92"	"33"	"2"	"5"	"176"	"2"	"5"	"6"	"4"	"4"	"121"	"77"	"56"	"5"	"35"	"9"	"540"	"0"	"540"	"0"
"107"	"93"	"219"	"26"	"8"	"35"	"6"	"7"	"5"	"3"	"9"	"95"	"13"	"25"	"1"	"43"	"7"	"502"	"0"	"502"	"0"
"108"	"94"	"117"	"9"	"5"	"9"	"3"	"9"	"2"	"2"	"5"	"91"	"18"	"47"	"9"	"158"	"8"	"492"	"0"	"492"	"0"
"109"	"95"	"70"	"5"	"3"	"92"	"3"	"2"	"4"	"1"	"2"	"96"	"36"	"21"	"3"	"23"	"1"	"362"	"0"	"362"	"0"
"110"	"96"	"9"	"4"	"5"	"68"	"3"	"6"	"2"	"0"	"5"	"68"	"13"	"30"	"0"	"6"	"6"	"225"	"0"	"225"	"0"
"111"	"97"	"93"	"4"	"49"	"15"	"4"	"1"	"1"	"1"	"3"	"60"	"37"	"35"	"7"	"15"	"21"	"346"	"0"	"346"	"0"
"112"	"98"	"150"	"19"	"7"	"225"	"6"	"2"	"3"	"2"	"2"	"47"	"2"	"15"	"2"	"38"	"2"	"522"	"0"	"522"	"0"
"113"	"99"	"111"	"5"	"7"	"85"	"3"	"6"	"0"	"1"	"2"	"197"	"3"	"55"	"6"	"28"	"5"	"514"	"0"	"514"	"0"
"114"	"100"	"163"	"2"	"5"	"67"	"0"	"1"	"2"	"1"	"2"	"81"	"6"	"47"	"1"	"32"	"9"	"419"	"0"	"419"	"0"
"115"	"101"	"136"	"13"	"15"	"6"	"3"	"8"	"6"	"8"	"7"	"128"	"8"	"26"	"2"	"3"	"5"	"374"	"0"	"374"	"0"
"116"	"102"	"80"	"17"	"5"	"13"	"5"	"5"	"3"	"2"	"8"	"97"	"86"	"51"	"7"	"7"	"8"	"394"	"0"	"394"	"0"
"117"	"103"	"144"	"11"	"7"	"5"	"1"	"0"	"0"	"1"	"3"	"62"	"2"	"13"	"1"	"4"	"6"	"260"	"0"	"260"	"0"
"118"	"104"	"59"	"13"	"25"	"76"	"6"	"6"	"7"	"5"	"17"	"204"	"12"	"150"	"5"	"15"	"21"	"621"	"0"	"621"	"0"
"119"	"105"	"52"	"2"	"2"	"8"	"2"	"45"	"9"	"1"	"2"	"23"	"17"	"24"	"11"	"32"	"21"	"251"	"0"	"251"	"0"
"120"	"106"	"276"	"24"	"5"	"37"	"3"	"39"	"8"	"4"	"7"	"68"	"7"	"32"	"5"	"99"	"18"	"632"	"0"	"632"	"0"
"121"	"107"	"64"	"5"	"6"	"10"	"5"	"2"	"2"	"2"	"2"	"62"	"2"	"36"	"3"	"11"	"17"	"229"	"0"	"229"	"0"
"122"	"108"	"73"	"8"	"6"	"60"	"5"	"6"	"2"	"6"	"8"	"275"	"7"	"42"	"1"	"4"	"5"	"508"	"0"	"508"	"0"
"123"	"109"	"25"	"4"	"1"	"47"	"3"	"9"	"1"	"4"	"2"	"326"	"9"	"90"	"3"	"2"	"4"	"530"	"0"	"530"	"0"
"124"	"110"	"12"	"8"	"9"	"64"	"4"	"4"	"0"	"2"	"6"	"158"	"5"	"43"	"3"	"31"	"7"	"356"	"0"	"356"	"0"
"125"	"er nku
d sUnz  dh Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"126"	""	"t kosn
bdcky v al kj h"	"uhy wQj
ukfgn"	"eukst
fl ag"	"j ke
ukj k; . k eaMYk"	"mekdkUr
; kno"	"?ku' ; ke
eaMy"	"t Q: y
gksnk"	"t ;
i zd k' k pkS/kj h"	"egs' k
j kmr"	"vft r
d qekj fl ag"	"uj s' k
fi z; n' khZ"	"i zr hHkk
i zd k' k"	"l r h' k
pUnz fl Ugk"	"fl Ei y
nsoh"	"l hr kj ke
i kl oku"	""	""	""	""
"127"	"111"	"81"	"13"	"7"	"72"	"3"	"6"	"4"	"2"	"3"	"188"	"6"	"39"	"0"	"4"	"7"	"435"	"0"	"435"	"0"
"128"	"112"	"157"	"27"	"156"	"27"	"11"	"16"	"18"	"13"	"17"	"154"	"16"	"53"	"8"	"27"	"15"	"715"	"0"	"715"	"0"
"129"	"113"	"17"	"6"	"32"	"159"	"5"	"1"	"2"	"1"	"4"	"159"	"5"	"50"	"0"	"13"	"6"	"460"	"0"	"460"	"0"
"130"	"114"	"58"	"10"	"92"	"58"	"5"	"5"	"3"	"2"	"5"	"117"	"4"	"32"	"2"	"6"	"6"	"405"	"0"	"405"	"0"
"131"	"115"	"81"	"11"	"44"	"22"	"5"	"8"	"5"	"4"	"6"	"134"	"10"	"59"	"6"	"14"	"12"	"421"	"0"	"421"	"0"
"132"	"116"	"144"	"12"	"3"	"55"	"4"	"5"	"2"	"2"	"5"	"105"	"6"	"32"	"3"	"49"	"5"	"432"	"0"	"432"	"0"
"133"	"117"	"173"	"15"	"11"	"28"	"2"	"7"	"4"	"4"	"6"	"85"	"6"	"34"	"3"	"59"	"7"	"444"	"0"	"444"	"0"
"134"	"118"	"165"	"12"	"4"	"56"	"6"	"3"	"3"	"5"	"13"	"157"	"6"	"50"	"2"	"21"	"8"	"511"	"0"	"511"	"0"
"135"	"119"	"243"	"9"	"0"	"6"	"1"	"2"	"2"	"1"	"2"	"55"	"5"	"18"	"3"	"8"	"7"	"362"	"0"	"362"	"0"
"136"	"120"	"339"	"38"	"33"	"18"	"2"	"6"	"6"	"8"	"17"	"79"	"7"	"57"	"8"	"9"	"24"	"651"	"0"	"651"	"0"
"137"	"121"	"160"	"10"	"8"	"5"	"2"	"0"	"1"	"0"	"2"	"47"	"5"	"31"	"0"	"50"	"8"	"329"	"0"	"329"	"0"
"138"	"122"	"73"	"16"	"4"	"4"	"0"	"1"	"2"	"4"	"1"	"31"	"4"	"11"	"3"	"58"	"8"	"220"	"0"	"220"	"0"
"139"	"123"	"189"	"32"	"23"	"38"	"8"	"4"	"9"	"7"	"3"	"104"	"7"	"39"	"2"	"105"	"16"	"586"	"0"	"586"	"0"
"140"	"124"	"98"	"12"	"6"	"4"	"1"	"1"	"3"	"0"	"7"	"39"	"7"	"24"	"4"	"4"	"6"	"216"	"0"	"216"	"0"
"141"	"125"	"73"	"9"	"19"	"54"	"2"	"1"	"2"	"1"	"6"	"172"	"14"	"60"	"1"	"14"	"3"	"431"	"0"	"431"	"0"
