"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"89"	"75A"	"24"	"148"	"106"	"49"	"5"	"79"	"3"	"3"	"4"	"2"	"6"	"6"	"435"	"0"	"435"	"0"
"90"	"76"	"3"	"161"	"20"	"106"	"6"	"152"	"9"	"6"	"122"	"9"	"21"	"12"	"627"	"0"	"627"	"0"
"91"	"77"	"9"	"185"	"53"	"108"	"10"	"204"	"6"	"7"	"120"	"15"	"18"	"19"	"754"	"0"	"754"	"0"
"92"	"78"	"21"	"289"	"19"	"15"	"3"	"100"	"7"	"5"	"8"	"2"	"14"	"7"	"490"	"0"	"490"	"0"
"93"	"78A"	"15"	"283"	"5"	"14"	"4"	"69"	"1"	"1"	"4"	"6"	"30"	"35"	"467"	"0"	"467"	"0"
"94"	"79"	"15"	"230"	"143"	"45"	"6"	"48"	"3"	"5"	"9"	"12"	"29"	"25"	"570"	"0"	"570"	"0"
"95"	"80"	"29"	"313"	"194"	"37"	"22"	"85"	"7"	"7"	"9"	"20"	"12"	"20"	"755"	"0"	"755"	"0"
"96"	"81"	"8"	"481"	"11"	"52"	"8"	"190"	"4"	"3"	"4"	"3"	"13"	"5"	"782"	"0"	"782"	"0"
"97"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"98"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"99"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"100"	"82"	"4"	"269"	"37"	"65"	"18"	"90"	"3"	"4"	"4"	"3"	"24"	"8"	"529"	"0"	"529"	"0"
"101"	"83"	"12"	"307"	"14"	"21"	"7"	"195"	"4"	"4"	"3"	"4"	"18"	"4"	"593"	"0"	"593"	"0"
"102"	"84"	"11"	"171"	"90"	"18"	"18"	"197"	"4"	"2"	"3"	"3"	"18"	"13"	"548"	"0"	"548"	"0"
"103"	"85"	"16"	"253"	"125"	"13"	"30"	"112"	"2"	"7"	"6"	"7"	"21"	"25"	"617"	"0"	"617"	"0"
"104"	"86"	"20"	"178"	"114"	"12"	"22"	"80"	"1"	"11"	"5"	"8"	"16"	"18"	"485"	"0"	"485"	"0"
"105"	"87"	"14"	"83"	"180"	"17"	"53"	"77"	"2"	"3"	"3"	"2"	"3"	"1"	"438"	"0"	"438"	"0"
"106"	"88"	"8"	"155"	"62"	"30"	"16"	"59"	"0"	"6"	"2"	"3"	"16"	"14"	"371"	"0"	"371"	"0"
"107"	"89"	"12"	"159"	"47"	"13"	"25"	"304"	"8"	"10"	"6"	"5"	"10"	"11"	"610"	"0"	"610"	"0"
"108"	"90"	"10"	"293"	"53"	"56"	"6"	"174"	"9"	"8"	"10"	"4"	"28"	"24"	"675"	"0"	"675"	"0"
"109"	"91"	"11"	"236"	"47"	"36"	"13"	"127"	"6"	"8"	"10"	"8"	"14"	"17"	"533"	"0"	"533"	"0"
"110"	"92"	"4"	"166"	"60"	"25"	"1"	"91"	"2"	"4"	"8"	"5"	"16"	"14"	"396"	"0"	"396"	"0"
"111"	"93"	"10"	"235"	"54"	"58"	"6"	"185"	"3"	"3"	"12"	"2"	"3"	"8"	"579"	"0"	"579"	"0"
"112"	"94"	"10"	"152"	"226"	"21"	"2"	"99"	"2"	"3"	"8"	"4"	"19"	"12"	"558"	"0"	"558"	"0"
"113"	"95"	"8"	"92"	"243"	"22"	"6"	"64"	"2"	"0"	"0"	"1"	"5"	"2"	"445"	"0"	"445"	"0"
"114"	"96"	"6"	"173"	"23"	"22"	"10"	"105"	"2"	"0"	"5"	"4"	"13"	"12"	"375"	"0"	"375"	"0"
"115"	"97"	"5"	"278"	"68"	"31"	"6"	"138"	"5"	"6"	"5"	"1"	"15"	"22"	"580"	"0"	"580"	"0"
"116"	"98"	"8"	"159"	"88"	"14"	"6"	"123"	"2"	"7"	"10"	"3"	"12"	"15"	"447"	"0"	"447"	"0"
"117"	"99"	"10"	"233"	"68"	"50"	"10"	"222"	"1"	"2"	"3"	"1"	"10"	"4"	"614"	"0"	"614"	"0"
"118"	"100"	"7"	"125"	"98"	"81"	"6"	"126"	"6"	"3"	"7"	"5"	"11"	"9"	"484"	"0"	"484"	"0"
"119"	"100A"	"5"	"163"	"89"	"61"	"7"	"83"	"6"	"2"	"12"	"8"	"8"	"18"	"462"	"0"	"462"	"0"
"120"	"101"	"3"	"40"	"21"	"34"	"3"	"213"	"2"	"3"	"5"	"2"	"8"	"8"	"342"	"0"	"342"	"0"
"121"	"102"	"8"	"99"	"83"	"66"	"9"	"262"	"11"	"6"	"17"	"3"	"7"	"15"	"586"	"0"	"586"	"0"
"122"	"103"	"10"	"95"	"80"	"36"	"8"	"286"	"9"	"11"	"11"	"8"	"12"	"21"	"587"	"0"	"587"	"0"
"123"	"104"	"12"	"139"	"10"	"11"	"11"	"272"	"13"	"7"	"15"	"7"	"20"	"17"	"534"	"0"	"534"	"0"
"124"	"105"	"3"	"25"	"269"	"15"	"3"	"12"	"3"	"1"	"2"	"2"	"1"	"5"	"341"	"0"	"341"	"0"
"125"	"106"	"13"	"16"	"68"	"20"	"10"	"271"	"11"	"13"	"11"	"16"	"17"	"22"	"488"	"0"	"488"	"0"
"126"	"107"	"12"	"68"	"182"	"21"	"61"	"258"	"10"	"11"	"12"	"7"	"13"	"14"	"669"	"0"	"669"	"0"
"127"	"108"	"16"	"47"	"78"	"15"	"5"	"318"	"3"	"5"	"13"	"6"	"13"	"7"	"526"	"0"	"526"	"0"
"128"	"109"	"8"	"99"	"146"	"5"	"4"	"166"	"4"	"3"	"5"	"4"	"12"	"17"	"473"	"0"	"473"	"0"
"129"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"130"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"132"	"110"	"13"	"18"	"43"	"54"	"13"	"465"	"10"	"8"	"7"	"6"	"12"	"14"	"663"	"0"	"663"	"0"
"133"	"111"	"13"	"112"	"10"	"6"	"11"	"260"	"9"	"5"	"2"	"4"	"12"	"17"	"461"	"0"	"461"	"0"
"134"	"112"	"22"	"110"	"9"	"8"	"12"	"201"	"6"	"4"	"6"	"4"	"15"	"21"	"418"	"0"	"418"	"0"
"135"	"113"	"7"	"29"	"61"	"5"	"12"	"432"	"19"	"9"	"5"	"7"	"12"	"11"	"609"	"0"	"609"	"0"
"136"	"114"	"7"	"71"	"10"	"13"	"434"	"263"	"15"	"19"	"11"	"9"	"18"	"28"	"898"	"0"	"898"	"0"
"137"	"115"	"7"	"209"	"46"	"45"	"234"	"112"	"11"	"9"	"5"	"2"	"4"	"21"	"705"	"0"	"705"	"0"
"138"	"116"	"12"	"102"	"34"	"22"	"261"	"51"	"5"	"16"	"4"	"2"	"9"	"18"	"536"	"0"	"536"	"0"
"139"	"117"	"13"	"26"	"9"	"18"	"365"	"53"	"6"	"15"	"5"	"3"	"4"	"15"	"532"	"0"	"532"	"0"
"140"	"118"	"9"	"192"	"38"	"7"	"391"	"95"	"2"	"13"	"9"	"3"	"11"	"23"	"793"	"0"	"793"	"0"
"141"	"119"	"36"	"95"	"140"	"31"	"16"	"316"	"18"	"15"	"13"	"13"	"19"	"25"	"737"	"0"	"737"	"0"
"142"	"120"	"11"	"85"	"114"	"47"	"5"	"107"	"1"	"3"	"2"	"6"	"8"	"6"	"395"	"0"	"395"	"0"
"143"	"121"	"8"	"130"	"106"	"22"	"15"	"137"	"4"	"3"	"1"	"1"	"10"	"10"	"447"	"0"	"447"	"0"
"144"	"122"	"19"	"154"	"45"	"10"	"34"	"235"	"6"	"6"	"3"	"1"	"12"	"9"	"534"	"0"	"534"	"0"
"145"	"123"	"16"	"20"	"220"	"10"	"32"	"237"	"12"	"12"	"13"	"17"	"18"	"27"	"634"	"0"	"634"	"0"
"146"	"124"	"13"	"149"	"305"	"11"	"9"	"19"	"4"	"4"	"4"	"5"	"13"	"6"	"542"	"0"	"542"	"0"
"147"	"124A"	"9"	"28"	"211"	"11"	"8"	"108"	"8"	"4"	"7"	"6"	"3"	"10"	"413"	"0"	"413"	"0"
"148"	"125"	"6"	"20"	"31"	"9"	"38"	"556"	"12"	"9"	"12"	"1"	"6"	"10"	"710"	"0"	"710"	"0"
"149"	"126"	"17"	"64"	"133"	"20"	"43"	"186"	"4"	"3"	"14"	"6"	"15"	"12"	"517"	"0"	"517"	"0"
"150"	"127"	"12"	"481"	"10"	"24"	"125"	"24"	"2"	"10"	"5"	"1"	"24"	"13"	"731"	"0"	"731"	"0"
"151"	"128"	"11"	"52"	"5"	"15"	"237"	"52"	"3"	"12"	"5"	"2"	"6"	"9"	"409"	"0"	"409"	"0"
"152"	"129"	"5"	"91"	"20"	"41"	"22"	"105"	"3"	"2"	"2"	"4"	"6"	"2"	"303"	"0"	"303"	"0"
"153"	"130"	"21"	"166"	"45"	"77"	"45"	"178"	"7"	"7"	"6"	"8"	"31"	"16"	"607"	"0"	"607"	"0"
"154"	"131"	"13"	"26"	"5"	"11"	"7"	"412"	"10"	"5"	"7"	"4"	"5"	"8"	"513"	"0"	"513"	"0"
"155"	"132"	"15"	"42"	"4"	"10"	"7"	"541"	"4"	"8"	"10"	"1"	"3"	"2"	"647"	"0"	"647"	"0"
"156"	"133"	"10"	"188"	"16"	"10"	"6"	"357"	"11"	"7"	"5"	"1"	"8"	"18"	"637"	"0"	"637"	"0"
"157"	"134"	"4"	"41"	"5"	"2"	"1"	"412"	"6"	"3"	"4"	"5"	"16"	"11"	"510"	"0"	"510"	"0"
"158"	"135"	"32"	"62"	"21"	"5"	"17"	"637"	"32"	"17"	"14"	"13"	"23"	"15"	"888"	"0"	"888"	"0"
"159"	"136"	"24"	"80"	"4"	"3"	"12"	"704"	"33"	"9"	"11"	"2"	"12"	"7"	"901"	"0"	"901"	"0"
"160"	"137"	"15"	"31"	"5"	"13"	"12"	"560"	"24"	"20"	"9"	"9"	"15"	"31"	"744"	"0"	"744"	"0"
"161"	"Sl.No of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"162"	""	"Arun Kumar Paswan"	"Upendra Prasad Singh"	"Md. Usman"	"Shanti Swami"	"Surendra Kumar Sahni"	"Surendra Mehta"	"Amarjit Kumar"	"Dinesh Prasad Singh Alias Dineshanand Ji Maharaj"	"Dilip Kumar"	"Dilip Kesri"	"Kusheshwar Paswan Alias Kundan"	"Rajeev Kumar Amar"	""	""	""	""
"163"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"164"	"138"	"33"	"307"	"17"	"15"	"12"	"282"	"12"	"6"	"13"	"5"	"30"	"25"	"757"	"0"	"757"	"0"
"165"	"139"	"19"	"78"	"40"	"81"	"8"	"383"	"10"	"10"	"18"	"8"	"26"	"35"	"716"	"0"	"716"	"0"
"166"	"140"	"5"	"24"	"27"	"75"	"4"	"79"	"0"	"2"	"3"	"2"	"3"	"5"	"229"	"0"	"229"	"0"
"167"	"141"	"5"	"100"	"70"	"48"	"8"	"215"	"5"	"9"	"6"	"4"	"16"	"29"	"515"	"0"	"515"	"0"
"168"	"142"	"12"	"39"	"22"	"8"	"7"	"300"	"4"	"7"	"6"	"3"	"12"	"10"	"430"	"0"	"430"	"0"
"169"	"143"	"7"	"113"	"14"	"44"	"6"	"316"	"9"	"8"	"11"	"7"	"17"	"21"	"573"	"0"	"573"	"0"
"170"	"144"	"12"	"157"	"5"	"12"	"3"	"104"	"1"	"2"	"3"	"3"	"17"	"29"	"348"	"0"	"348"	"0"
"171"	"145"	"10"	"115"	"71"	"50"	"19"	"160"	"14"	"14"	"11"	"12"	"27"	"22"	"525"	"0"	"525"	"0"
"172"	"146"	"7"	"62"	"64"	"71"	"4"	"260"	"9"	"8"	"6"	"9"	"14"	"19"	"533"	"0"	"533"	"0"
"173"	"147"	"23"	"179"	"30"	"24"	"8"	"258"	"23"	"20"	"19"	"22"	"46"	"61"	"713"	"0"	"713"	"0"
"174"	"148"	"9"	"90"	"14"	"8"	"3"	"123"	"10"	"4"	"7"	"4"	"14"	"16"	"302"	"0"	"302"	"0"
"175"	"149"	"16"	"210"	"25"	"26"	"7"	"271"	"15"	"14"	"16"	"18"	"18"	"34"	"670"	"0"	"670"	"0"
"176"	"150"	"23"	"393"	"41"	"35"	"8"	"113"	"3"	"4"	"7"	"7"	"11"	"9"	"654"	"0"	"654"	"0"
"177"	"151"	"10"	"159"	"26"	"38"	"2"	"245"	"2"	"4"	"19"	"3"	"16"	"17"	"541"	"0"	"541"	"0"
"178"	"152"	"10"	"340"	"42"	"49"	"2"	"201"	"5"	"7"	"10"	"6"	"26"	"34"	"732"	"0"	"732"	"0"
"179"	"153"	"6"	"101"	"208"	"29"	"22"	"244"	"8"	"3"	"16"	"5"	"9"	"6"	"657"	"0"	"657"	"0"
"180"	"154"	"22"	"127"	"112"	"36"	"14"	"454"	"6"	"6"	"30"	"5"	"13"	"8"	"833"	"0"	"833"	"0"
