"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"45"	"30"	"11"	"5"	"293"	"90"	"2"	"6"	"3"	"2"	"3"	"6"	"122"	"10"	"2"	"7"	""	""	"562"
"46"	"31"	"12"	"4"	"168"	"30"	"8"	"9"	"6"	"5"	"10"	"29"	"349"	"17"	"6"	"11"	""	""	"664"
"47"	"32"	"10"	"1"	"109"	"26"	"4"	"6"	"3"	"3"	"1"	"13"	"294"	"16"	"6"	"17"	""	""	"509"
"48"	"33"	"10"	"7"	"289"	"171"	"13"	"7"	"7"	"7"	"4"	"25"	"39"	"16"	"9"	"14"	""	""	"618"
"49"	"34"	"11"	"3"	"145"	"138"	"6"	"2"	"8"	"1"	"1"	"6"	"9"	"3"	"5"	"2"	""	""	"340"
"50"	"35"	"15"	"2"	"147"	"90"	"12"	"4"	"1"	"0"	"0"	"7"	"40"	"9"	"5"	"12"	""	""	"344"
"51"	"36"	"11"	"12"	"242"	"47"	"2"	"2"	"4"	"1"	"1"	"10"	"34"	"3"	"4"	"2"	""	""	"375"
"52"	"37"	"15"	"8"	"178"	"45"	"13"	"5"	"1"	"4"	"2"	"27"	"57"	"3"	"3"	"20"	""	""	"381"
"53"	"38"	"5"	"6"	"302"	"215"	"6"	"5"	"1"	"2"	"1"	"6"	"29"	"2"	"6"	"7"	""	""	"593"
"54"	"39"	"4"	"3"	"50"	"99"	"12"	"1"	"3"	"0"	"3"	"8"	"38"	"4"	"2"	"3"	""	""	"230"
"55"	"40"	"0"	"0"	"41"	"20"	"7"	"2"	"2"	"1"	"4"	"2"	"224"	"4"	"0"	"13"	""	""	"320"
"56"	"Page 2 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"63"	"41"	"1"	"0"	"30"	"17"	"0"	"2"	"2"	"0"	"0"	"0"	"89"	"0"	"1"	"4"	""	""	"146"
"64"	"42"	"6"	"0"	"80"	"16"	"4"	"1"	"2"	"0"	"3"	"2"	"239"	"3"	"1"	"4"	""	""	"361"
"65"	"43"	"24"	"2"	"69"	"50"	"13"	"9"	"7"	"11"	"10"	"7"	"188"	"16"	"9"	"18"	""	""	"433"
"66"	"44"	"28"	"8"	"166"	"276"	"19"	"7"	"3"	"0"	"6"	"12"	"94"	"9"	"8"	"12"	""	""	"648"
"67"	"45"	"25"	"7"	"276"	"79"	"9"	"8"	"5"	"3"	"6"	"8"	"53"	"10"	"4"	"5"	""	""	"498"
"68"	"46"	"5"	"4"	"203"	"190"	"5"	"2"	"1"	"2"	"1"	"5"	"27"	"3"	"1"	"1"	""	""	"450"
"69"	"47"	"14"	"5"	"282"	"97"	"19"	"1"	"6"	"2"	"4"	"14"	"45"	"22"	"7"	"19"	""	""	"537"
"70"	"48"	"3"	"1"	"89"	"361"	"7"	"4"	"2"	"1"	"1"	"2"	"18"	"7"	"2"	"5"	""	""	"503"
"71"	"49"	"4"	"1"	"45"	"259"	"12"	"2"	"2"	"0"	"0"	"2"	"26"	"3"	"5"	"7"	""	""	"368"
"72"	"50"	"15"	"2"	"163"	"26"	"2"	"1"	"2"	"2"	"1"	"2"	"106"	"5"	"3"	"13"	""	""	"343"
"73"	"51"	"11"	"4"	"244"	"82"	"7"	"6"	"7"	"4"	"2"	"11"	"30"	"13"	"11"	"19"	""	""	"451"
"74"	"52"	"10"	"3"	"193"	"160"	"15"	"1"	"1"	"8"	"7"	"9"	"28"	"12"	"16"	"10"	""	""	"473"
"75"	"53"	"2"	"4"	"296"	"36"	"9"	"0"	"0"	"1"	"2"	"2"	"46"	"3"	"0"	"2"	""	""	"403"
"76"	"54"	"10"	"5"	"175"	"31"	"0"	"4"	"4"	"4"	"2"	"7"	"126"	"2"	"1"	"5"	""	""	"376"
"77"	"55"	"18"	"13"	"225"	"24"	"5"	"1"	"11"	"4"	"8"	"20"	"76"	"17"	"13"	"29"	""	""	"464"
"78"	"56"	"12"	"7"	"162"	"12"	"1"	"6"	"5"	"2"	"15"	"10"	"73"	"7"	"2"	"14"	""	""	"328"
"79"	"57"	"16"	"6"	"214"	"118"	"12"	"5"	"2"	"2"	"0"	"9"	"23"	"8"	"9"	"16"	""	""	"440"
"80"	"58"	"18"	"6"	"286"	"70"	"9"	"4"	"6"	"0"	"3"	"6"	"18"	"14"	"5"	"26"	""	""	"471"
"81"	"59"	"6"	"2"	"70"	"43"	"5"	"0"	"0"	"3"	"2"	"8"	"28"	"8"	"3"	"10"	""	""	"188"
"82"	"60"	"15"	"2"	"148"	"55"	"20"	"3"	"10"	"8"	"5"	"19"	"85"	"17"	"14"	"57"	""	""	"458"
"83"	"61"	"4"	"5"	"206"	"66"	"12"	"3"	"2"	"2"	"3"	"13"	"49"	"4"	"2"	"11"	""	""	"382"
"84"	"62"	"4"	"4"	"125"	"102"	"2"	"1"	"3"	"5"	"2"	"9"	"14"	"12"	"7"	"15"	""	""	"305"
"85"	"Page 3 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"86"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"92"	"63"	"19"	"6"	"344"	"97"	"14"	"1"	"3"	"2"	"1"	"4"	"18"	"1"	"5"	"3"	""	""	"518"
"93"	"64"	"7"	"2"	"249"	"37"	"8"	"3"	"1"	"2"	"1"	"2"	"7"	"2"	"3"	"7"	""	""	"331"
"94"	"65"	"12"	"8"	"294"	"54"	"18"	"5"	"4"	"5"	"4"	"12"	"84"	"22"	"9"	"12"	""	""	"543"
"95"	"66"	"10"	"3"	"138"	"32"	"2"	"3"	"1"	"2"	"1"	"2"	"22"	"1"	"3"	"4"	""	""	"224"
"96"	"67"	"11"	"5"	"244"	"43"	"6"	"3"	"7"	"2"	"20"	"19"	"38"	"19"	"8"	"24"	""	""	"449"
"97"	"68"	"12"	"2"	"136"	"104"	"21"	"2"	"3"	"2"	"4"	"7"	"156"	"17"	"3"	"8"	""	""	"477"
"98"	"69"	"24"	"15"	"308"	"109"	"33"	"5"	"7"	"4"	"5"	"7"	"20"	"9"	"7"	"12"	""	""	"565"
"99"	"70"	"6"	"7"	"189"	"31"	"11"	"4"	"1"	"28"	"2"	"5"	"33"	"10"	"6"	"15"	""	""	"348"
"100"	"71"	"10"	"0"	"205"	"39"	"6"	"1"	"5"	"0"	"1"	"5"	"5"	"7"	"2"	"7"	""	""	"293"
"101"	"72"	"16"	"9"	"271"	"88"	"8"	"5"	"6"	"2"	"3"	"5"	"12"	"4"	"4"	"0"	""	""	"433"
"102"	"73"	"5"	"6"	"167"	"119"	"2"	"2"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	"1"	""	""	"309"
"103"	"74"	"21"	"12"	"256"	"320"	"33"	"6"	"5"	"4"	"2"	"5"	"22"	"10"	"8"	"17"	""	""	"721"
"104"	"75"	"8"	"4"	"47"	"14"	"3"	"6"	"2"	"0"	"2"	"8"	"294"	"6"	"1"	"10"	""	""	"405"
"105"	"76"	"0"	"1"	"105"	"39"	"4"	"1"	"2"	"3"	"3"	"1"	"202"	"7"	"5"	"5"	""	""	"378"
"106"	"77"	"4"	"0"	"27"	"8"	"0"	"3"	"3"	"2"	"1"	"7"	"280"	"5"	"0"	"4"	""	""	"344"
"107"	"78"	"6"	"4"	"128"	"15"	"4"	"5"	"1"	"6"	"8"	"9"	"261"	"4"	"3"	"4"	""	""	"458"
"108"	"79"	"3"	"3"	"239"	"90"	"0"	"0"	"2"	"0"	"0"	"4"	"14"	"2"	"1"	"2"	""	""	"360"
"109"	"80"	"3"	"2"	"126"	"18"	"3"	"7"	"1"	"2"	"3"	"6"	"108"	"1"	"1"	"6"	""	""	"287"
"110"	"81"	"18"	"3"	"137"	"39"	"11"	"10"	"7"	"6"	"8"	"12"	"159"	"8"	"5"	"17"	""	""	"440"
"111"	"82"	"19"	"25"	"169"	"92"	"14"	"10"	"5"	"9"	"10"	"13"	"197"	"17"	"6"	"21"	""	""	"607"
"112"	"83"	"2"	"5"	"288"	"87"	"4"	"0"	"4"	"1"	"3"	"6"	"37"	"4"	"5"	"9"	""	""	"455"
"113"	"84"	"10"	"6"	"280"	"59"	"2"	"6"	"4"	"2"	"4"	"4"	"34"	"5"	"5"	"16"	""	""	"437"
"114"	"Page 4 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"121"	"85"	"10"	"2"	"132"	"173"	"12"	"0"	"4"	"5"	"3"	"7"	"27"	"6"	"6"	"8"	""	""	"395"
"122"	"86"	"4"	"5"	"220"	"149"	"3"	"2"	"7"	"2"	"3"	"3"	"11"	"7"	"3"	"8"	""	""	"427"
"123"	"87"	"8"	"3"	"146"	"123"	"3"	"0"	"3"	"3"	"1"	"1"	"23"	"2"	"0"	"5"	""	""	"321"
"124"	"88"	"16"	"3"	"107"	"131"	"4"	"4"	"4"	"21"	"5"	"12"	"101"	"9"	"10"	"11"	""	""	"438"
"125"	"89"	"9"	"3"	"90"	"7"	"3"	"3"	"1"	"3"	"2"	"1"	"35"	"3"	"1"	"1"	""	""	"162"
"126"	"90"	"7"	"4"	"159"	"115"	"4"	"2"	"4"	"1"	"1"	"7"	"23"	"11"	"3"	"12"	""	""	"353"
"127"	"91"	"9"	"6"	"125"	"141"	"8"	"2"	"1"	"2"	"0"	"2"	"13"	"2"	"3"	"0"	""	""	"314"
"128"	"92"	"4"	"6"	"206"	"60"	"2"	"3"	"4"	"2"	"1"	"12"	"108"	"11"	"9"	"19"	""	""	"447"
"129"	"93"	"5"	"4"	"126"	"107"	"10"	"3"	"4"	"2"	"8"	"13"	"73"	"11"	"5"	"14"	""	""	"385"
"130"	"94"	"4"	"0"	"217"	"26"	"3"	"4"	"2"	"1"	"2"	"4"	"50"	"6"	"2"	"9"	""	""	"330"
"131"	"95"	"20"	"12"	"236"	"84"	"19"	"2"	"11"	"4"	"3"	"4"	"14"	"5"	"6"	"18"	""	""	"438"
"132"	"96"	"4"	"8"	"269"	"57"	"26"	"2"	"4"	"4"	"4"	"14"	"18"	"11"	"4"	"16"	""	""	"441"
"133"	"97"	"20"	"5"	"341"	"133"	"15"	"5"	"6"	"4"	"7"	"11"	"13"	"19"	"6"	"23"	""	""	"608"
"134"	"98"	"19"	"4"	"187"	"109"	"10"	"2"	"2"	"2"	"2"	"2"	"6"	"1"	"1"	"7"	""	""	"354"
"135"	"99"	"11"	"0"	"176"	"57"	"2"	"2"	"0"	"1"	"1"	"1"	"15"	"4"	"6"	"15"	""	""	"291"
"136"	"100"	"13"	"6"	"141"	"76"	"7"	"10"	"5"	"4"	"4"	"11"	"122"	"6"	"10"	"14"	""	""	"429"
"137"	"101"	"4"	"1"	"70"	"23"	"3"	"5"	"3"	"4"	"3"	"7"	"192"	"9"	"4"	"10"	""	""	"338"
"138"	"102"	"1"	"2"	"159"	"47"	"6"	"0"	"3"	"1"	"0"	"4"	"5"	"4"	"3"	"7"	""	""	"242"
"139"	"103"	"13"	"4"	"94"	"87"	"11"	"2"	"2"	"22"	"3"	"2"	"12"	"4"	"4"	"2"	""	""	"262"
"140"	"104"	"6"	"6"	"274"	"53"	"7"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"4"	""	""	"356"
"141"	"105"	"23"	"4"	"244"	"125"	"16"	"4"	"4"	"0"	"3"	"15"	"33"	"21"	"9"	"32"	""	""	"533"
"142"	"106"	"2"	"0"	"40"	"106"	"1"	"0"	"1"	"1"	"0"	"2"	"3"	"2"	"0"	"4"	""	""	"162"
"143"	"Page 5 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"150"	"107"	"16"	"12"	"138"	"33"	"18"	"3"	"4"	"3"	"5"	"13"	"86"	"12"	"3"	"12"	""	""	"358"
"151"	"108"	"13"	"10"	"111"	"109"	"16"	"10"	"5"	"5"	"4"	"17"	"20"	"13"	"8"	"14"	""	""	"355"
"152"	"109"	"1"	"10"	"158"	"64"	"17"	"5"	"7"	"8"	"7"	"7"	"128"	"9"	"9"	"7"	""	""	"437"
"153"	"110"	"12"	"6"	"295"	"99"	"6"	"9"	"7"	"5"	"3"	"9"	"16"	"19"	"13"	"19"	""	""	"518"
"154"	"111"	"20"	"5"	"124"	"66"	"79"	"6"	"4"	"0"	"4"	"9"	"20"	"10"	"7"	"3"	""	""	"357"
"155"	"112"	"9"	"12"	"166"	"82"	"25"	"2"	"7"	"4"	"8"	"7"	"34"	"8"	"4"	"12"	""	""	"380"
"156"	"112A"	"5"	"4"	"92"	"46"	"5"	"3"	"9"	"3"	"3"	"7"	"61"	"9"	"11"	"9"	""	""	"267"
"157"	"113"	"12"	"1"	"97"	"259"	"10"	"6"	"6"	"5"	"2"	"6"	"27"	"8"	"11"	"17"	""	""	"467"
"158"	"114"	"5"	"13"	"250"	"72"	"15"	"1"	"6"	"9"	"4"	"10"	"20"	"17"	"9"	"17"	""	""	"448"
"159"	"115"	"5"	"3"	"66"	"201"	"33"	"0"	"2"	"3"	"2"	"4"	"32"	"4"	"9"	"6"	""	""	"370"
"160"	"116"	"4"	"3"	"118"	"128"	"10"	"1"	"0"	"2"	"0"	"4"	"33"	"6"	"5"	"12"	""	""	"326"
"161"	"117"	"12"	"6"	"64"	"140"	"6"	"4"	"11"	"1"	"3"	"4"	"24"	"5"	"2"	"9"	""	""	"291"
"162"	"118"	"2"	"1"	"74"	"68"	"4"	"0"	"2"	"1"	"0"	"4"	"22"	"5"	"5"	"9"	""	""	"197"
"163"	"119"	"5"	"1"	"62"	"89"	"7"	"1"	"0"	"3"	"3"	"5"	"20"	"7"	"3"	"5"	""	""	"211"
"164"	"120"	"1"	"0"	"226"	"88"	"3"	"0"	"2"	"1"	"0"	"8"	"15"	"5"	"3"	"4"	""	""	"356"
"165"	"121"	"8"	"5"	"232"	"211"	"12"	"5"	"4"	"1"	"2"	"5"	"65"	"10"	"6"	"18"	""	""	"584"
"166"	"122"	"7"	"4"	"67"	"278"	"38"	"1"	"0"	"4"	"3"	"3"	"46"	"9"	"8"	"14"	""	""	"482"
"167"	"123"	"6"	"1"	"100"	"143"	"18"	"3"	"10"	"3"	"1"	"7"	"20"	"14"	"5"	"12"	""	""	"343"
"168"	"124"	"3"	"4"	"195"	"18"	"3"	"4"	"1"	"0"	"2"	"3"	"102"	"8"	"1"	"12"	""	""	"356"
"169"	"125"	"17"	"3"	"101"	"133"	"8"	"4"	"2"	"3"	"3"	"7"	"38"	"18"	"8"	"14"	""	""	"359"
"170"	"126"	"30"	"4"	"271"	"181"	"23"	"3"	"3"	"4"	"3"	"13"	"36"	"21"	"16"	"28"	""	""	"636"
"171"	"127"	"15"	"6"	"179"	"67"	"14"	"1"	"4"	"3"	"0"	"6"	"6"	"5"	"4"	"5"	""	""	"315"
"172"	"Page 6 of 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Assembly Constituency :238---Gobindpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"No of Voters :229216"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Candidates Name ----- >"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"33"
"179"	"128"	"5"	"7"	"128"	"57"	"11"	"0"	"5"	"0"	"2"	"2"	"0"	"0"	"1"	"3"	""	""	"221"
"180"	"129"	"10"	"7"	"141"	"47"	"33"	"2"	"3"	"1"	"2"	"6"	"3"	"8"	"3"	"15"	""	""	"281"
"181"	"130"	"8"	"4"	"118"	"61"	"9"	"1"	"2"	"1"	"1"	"8"	"36"	"3"	"3"	"9"	""	""	"264"
"182"	"131"	"16"	"3"	"98"	"128"	"41"	"2"	"3"	"1"	"4"	"4"	"16"	"10"	"2"	"10"	""	""	"338"
"183"	"132"	"5"	"4"	"78"	"200"	"15"	"3"	"1"	"1"	"3"	"1"	"6"	"11"	"7"	"6"	""	""	"341"
"184"	"133"	"6"	"3"	"123"	"132"	"10"	"4"	"3"	"1"	"4"	"4"	"22"	"11"	"7"	"13"	""	""	"343"
"185"	"133A"	"16"	"6"	"120"	"134"	"9"	"2"	"0"	"3"	"2"	"5"	"23"	"3"	"4"	"7"	""	""	"334"
"186"	"134"	"7"	"3"	"199"	"135"	"5"	"3"	"2"	"1"	"5"	"5"	"17"	"14"	"9"	"11"	""	""	"416"
"187"	"135"	"3"	"5"	"75"	"121"	"8"	"1"	"0"	"1"	"0"	"1"	"3"	"3"	"1"	"3"	""	""	"225"
"188"	"136"	"2"	"0"	"9"	"259"	"5"	"1"	"0"	"0"	"0"	"3"	"11"	"0"	"4"	"2"	""	""	"296"
"189"	"137"	"8"	"4"	"73"	"176"	"12"	"2"	"1"	"1"	"2"	"2"	"10"	"4"	"4"	"4"	""	""	"303"
"190"	"138"	"17"	"1"	"288"	"108"	"7"	"2"	"2"	"2"	"1"	"5"	"5"	"9"	"4"	"3"	""	""	"454"
"191"	"139"	"5"	"1"	"175"	"138"	"5"	"0"	"0"	"4"	"3"	"6"	"23"	"21"	"11"	"23"	""	""	"415"
"192"	"140"	"14"	"5"	"228"	"253"	"12"	"4"	"5"	"1"	"3"	"15"	"40"	"8"	"7"	"13"	""	""	"608"
"193"	"141"	"10"	"2"	"95"	"195"	"6"	"4"	"0"	"3"	"0"	"2"	"19"	"4"	"3"	"3"	""	""	"346"
"194"	"141A"	"8"	"0"	"66"	"162"	"12"	"3"	"0"	"1"	"2"	"3"	"6"	"0"	"3"	"7"	""	""	"273"
"195"	"142"	"10"	"1"	"120"	"397"	"5"	"0"	"1"	"1"	"1"	"4"	"29"	"7"	"6"	"1"	""	""	"583"
"196"	"143"	"5"	"2"	"152"	"107"	"11"	"2"	"5"	"0"	"3"	"5"	"21"	"17"	"10"	"15"	""	""	"355"
"197"	"144"	"10"	"1"	"179"	"196"	"15"	"2"	"6"	"2"	"4"	"13"	"31"	"16"	"15"	"11"	""	""	"501"
"198"	"145"	"14"	"8"	"152"	"254"	"14"	"4"	"6"	"2"	"3"	"8"	"20"	"11"	"12"	"17"	""	""	"525"
"199"	"146"	"9"	"4"	"133"	"80"	"47"	"3"	"1"	"1"	"1"	"5"	"48"	"4"	"3"	"4"	""	""	"343"
"200"	"147"	"21"	"11"	"116"	"51"	"255"	"9"	"5"	"5"	"3"	"7"	"23"	"4"	"3"	"5"	""	""	"518"
