"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"70"	"63"	"202"	"327"	"14"	"1"	"1"	"8"	"1"	"2"	"1"	"3"	"3"	"4"	"9"	"21"	"597"	"0"	"597"	"0"
"71"	"64"	"323"	"162"	"7"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"3"	"0"	"5"	"5"	"515"	"0"	"515"	"0"
"72"	"65"	"159"	"306"	"13"	"2"	"1"	"3"	"1"	"3"	"4"	"0"	"3"	"0"	"7"	"6"	"508"	"0"	"508"	"0"
"73"	"66"	"99"	"271"	"15"	"6"	"7"	"111"	"9"	"6"	"9"	"3"	"16"	"6"	"22"	"24"	"604"	"0"	"604"	"0"
"74"	"67"	"90"	"251"	"13"	"1"	"1"	"3"	"3"	"1"	"1"	"1"	"7"	"1"	"3"	"2"	"378"	"0"	"378"	"0"
"75"	"67 A"	"70"	"258"	"15"	"1"	"4"	"12"	"1"	"3"	"1"	"2"	"2"	"6"	"6"	"11"	"392"	"0"	"392"	"0"
"76"	"68"	"72"	"393"	"10"	"10"	"3"	"62"	"5"	"6"	"3"	"3"	"6"	"2"	"8"	"5"	"588"	"0"	"588"	"0"
"77"	"69"	"273"	"299"	"7"	"4"	"0"	"14"	"2"	"2"	"0"	"1"	"3"	"0"	"11"	"16"	"632"	"0"	"632"	"0"
"78"	"70"	"387"	"11"	"1"	"0"	"0"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"3"	"3"	"412"	"0"	"412"	"0"
"79"	"71"	"392"	"345"	"6"	"3"	"3"	"20"	"11"	"5"	"0"	"2"	"3"	"3"	"10"	"16"	"819"	"0"	"819"	"0"
"80"	"72"	"352"	"291"	"35"	"9"	"5"	"23"	"8"	"25"	"4"	"7"	"18"	"19"	"22"	"23"	"841"	"0"	"841"	"0"
"81"	"73"	"78"	"348"	"6"	"0"	"0"	"4"	"1"	"1"	"0"	"2"	"7"	"0"	"4"	"4"	"455"	"0"	"455"	"0"
"82"	"74"	"225"	"184"	"3"	"2"	"4"	"79"	"2"	"5"	"3"	"6"	"4"	"5"	"7"	"12"	"541"	"0"	"541"	"0"
"83"	"75"	"86"	"132"	"0"	"2"	"1"	"5"	"0"	"2"	"0"	"0"	"8"	"2"	"8"	"5"	"251"	"0"	"251"	"0"
"84"	"76"	"150"	"199"	"15"	"4"	"2"	"13"	"1"	"5"	"1"	"4"	"11"	"10"	"7"	"18"	"440"	"0"	"440"	"0"
"85"	"77"	"66"	"251"	"6"	"19"	"7"	"7"	"4"	"6"	"0"	"5"	"11"	"22"	"6"	"6"	"416"	"0"	"416"	"0"
"86"	"78"	"171"	"10"	"2"	"1"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"8"	"202"	"0"	"202"	"0"
"87"	"79"	"223"	"15"	"2"	"2"	"1"	"8"	"1"	"2"	"0"	"2"	"1"	"0"	"3"	"8"	"268"	"0"	"268"	"0"
"88"	"80"	"51"	"207"	"5"	"2"	"0"	"5"	"0"	"3"	"1"	"1"	"2"	"1"	"4"	"5"	"287"	"0"	"287"	"0"
"89"	"81"	"472"	"31"	"6"	"1"	"1"	"4"	"1"	"1"	"0"	"0"	"1"	"3"	"8"	"18"	"547"	"0"	"547"	"0"
"90"	"82"	"324"	"25"	"4"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"3"	"14"	"377"	"0"	"377"	"0"
"91"	"83"	"344"	"66"	"5"	"15"	"1"	"23"	"3"	"1"	"2"	"0"	"1"	"2"	"9"	"11"	"483"	"0"	"483"	"0"
"92"	"84"	"136"	"285"	"13"	"0"	"2"	"93"	"8"	"7"	"4"	"1"	"6"	"2"	"4"	"4"	"565"	"0"	"565"	"0"
"93"	"85"	"31"	"68"	"9"	"1"	"1"	"103"	"3"	"5"	"2"	"0"	"4"	"1"	"1"	"2"	"231"	"0"	"231"	"0"
"94"	"86"	"138"	"128"	"7"	"4"	"1"	"19"	"3"	"6"	"1"	"0"	"2"	"2"	"9"	"15"	"335"	"0"	"335"	"0"
"95"	"87"	"137"	"199"	"8"	"5"	"1"	"96"	"10"	"16"	"5"	"5"	"14"	"8"	"11"	"22"	"537"	"0"	"537"	"0"
"96"	"88"	"173"	"388"	"14"	"5"	"3"	"77"	"7"	"11"	"4"	"6"	"25"	"14"	"22"	"54"	"803"	"0"	"803"	"0"
"97"	"89"	"94"	"69"	"3"	"6"	"5"	"103"	"5"	"8"	"2"	"5"	"6"	"2"	"26"	"2"	"336"	"0"	"336"	"0"
"98"	"90"	"40"	"240"	"9"	"0"	"3"	"125"	"6"	"8"	"4"	"1"	"8"	"7"	"7"	"12"	"470"	"0"	"470"	"0"
"99"	"91"	"56"	"201"	"4"	"1"	"2"	"80"	"4"	"5"	"3"	"5"	"7"	"1"	"7"	"12"	"388"	"0"	"388"	"0"
"100"	"92"	"55"	"202"	"7"	"1"	"0"	"17"	"2"	"3"	"2"	"3"	"5"	"6"	"12"	"26"	"341"	"0"	"341"	"0"
"101"	"93"	"43"	"180"	"12"	"5"	"3"	"23"	"2"	"7"	"0"	"5"	"11"	"2"	"6"	"7"	"306"	"0"	"306"	"0"
"102"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"103"	""	"ANIL KUMAR"	"ARUN MANJHI"	"DILIP PASWAN"	"MANHAGUL AL AJAD"	"MANTI DAS"	"GOPAL RAVIDAS"	"YUGESHW AR MANJHI"	"RAGHUWA R PASWAN"	"RAJESH KUMAR"	"RAJENDRA PASWAN"	"RAMPRAVE SH PASWAN"	"SATYENDR A KUMAR"	"SURESH
PRASAD CHAUDHAR I"	"SURYODAY PASWAN"	""	""	""	""
"104"	"94"	"72"	"179"	"29"	"12"	"3"	"36"	"4"	"9"	"3"	"3"	"8"	"7"	"15"	"28"	"408"	"0"	"408"	"0"
"105"	"95"	"20"	"413"	"7"	"15"	"7"	"113"	"5"	"8"	"7"	"4"	"14"	"6"	"9"	"16"	"644"	"0"	"644"	"0"
"106"	"96"	"29"	"409"	"9"	"14"	"0"	"5"	"0"	"1"	"0"	"2"	"4"	"7"	"10"	"11"	"501"	"0"	"501"	"0"
"107"	"97"	"22"	"238"	"8"	"13"	"3"	"9"	"5"	"6"	"3"	"3"	"10"	"4"	"16"	"21"	"361"	"0"	"361"	"0"
"108"	"98"	"319"	"18"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"350"	"0"	"350"	"0"
"109"	"99"	"130"	"73"	"3"	"6"	"2"	"113"	"7"	"19"	"1"	"2"	"4"	"1"	"7"	"5"	"373"	"0"	"373"	"0"
"110"	"100"	"376"	"25"	"1"	"0"	"0"	"12"	"2"	"0"	"0"	"0"	"1"	"1"	"4"	"4"	"426"	"0"	"426"	"0"
"111"	"101"	"277"	"62"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"5"	"355"	"0"	"355"	"0"
"112"	"102"	"191"	"46"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"5"	"13"	"265"	"0"	"265"	"0"
"113"	"103"	"30"	"135"	"9"	"2"	"3"	"12"	"1"	"3"	"0"	"0"	"6"	"4"	"11"	"5"	"221"	"0"	"221"	"0"
"114"	"104"	"354"	"67"	"41"	"4"	"0"	"30"	"2"	"3"	"3"	"2"	"5"	"4"	"15"	"34"	"564"	"0"	"564"	"0"
"115"	"105"	"138"	"326"	"3"	"8"	"2"	"38"	"2"	"4"	"3"	"1"	"11"	"8"	"7"	"13"	"564"	"0"	"564"	"0"
"116"	"106"	"228"	"35"	"8"	"3"	"2"	"0"	"1"	"1"	"1"	"1"	"3"	"2"	"4"	"7"	"296"	"0"	"296"	"0"
"117"	"107"	"255"	"63"	"2"	"0"	"2"	"98"	"4"	"14"	"2"	"6"	"7"	"5"	"7"	"13"	"478"	"0"	"478"	"0"
"118"	"108"	"69"	"118"	"3"	"6"	"0"	"6"	"0"	"0"	"1"	"0"	"3"	"1"	"5"	"7"	"219"	"0"	"219"	"0"
"119"	"109"	"74"	"167"	"6"	"16"	"1"	"61"	"5"	"8"	"0"	"3"	"7"	"3"	"1"	"13"	"365"	"0"	"365"	"0"
"120"	"110"	"51"	"435"	"15"	"2"	"3"	"5"	"1"	"7"	"2"	"4"	"7"	"6"	"25"	"32"	"595"	"0"	"595"	"0"
"121"	"111"	"333"	"45"	"3"	"0"	"1"	"4"	"2"	"1"	"1"	"1"	"0"	"0"	"5"	"9"	"405"	"0"	"405"	"0"
"122"	"112"	"371"	"41"	"7"	"2"	"0"	"0"	"3"	"2"	"0"	"1"	"1"	"2"	"5"	"8"	"443"	"0"	"443"	"0"
"123"	"113"	"198"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"0"	"214"	"0"
"124"	"114"	"165"	"51"	"4"	"3"	"1"	"9"	"2"	"2"	"0"	"1"	"2"	"2"	"3"	"13"	"258"	"0"	"258"	"0"
"125"	"115"	"112"	"229"	"20"	"2"	"4"	"2"	"2"	"3"	"3"	"1"	"3"	"4"	"11"	"19"	"415"	"0"	"415"	"0"
"126"	"116"	"52"	"312"	"15"	"31"	"2"	"29"	"29"	"9"	"0"	"4"	"8"	"4"	"11"	"18"	"524"	"0"	"524"	"0"
"127"	"117"	"223"	"106"	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"4"	"4"	"346"	"0"	"346"	"0"
"128"	"118"	"279"	"9"	"5"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"2"	"25"	"327"	"0"	"327"	"0"
"129"	"119"	"269"	"232"	"7"	"3"	"1"	"21"	"2"	"6"	"2"	"2"	"8"	"9"	"12"	"33"	"607"	"0"	"607"	"0"
"130"	"120"	"13"	"301"	"25"	"3"	"1"	"1"	"0"	"4"	"5"	"4"	"2"	"6"	"14"	"14"	"393"	"0"	"393"	"0"
"131"	"120 A"	"18"	"217"	"13"	"2"	"2"	"0"	"2"	"1"	"0"	"1"	"3"	"7"	"18"	"26"	"310"	"0"	"310"	"0"
"132"	"121"	"105"	"253"	"4"	"0"	"0"	"6"	"1"	"6"	"2"	"1"	"8"	"2"	"11"	"13"	"412"	"0"	"412"	"0"
"133"	"122"	"213"	"252"	"8"	"26"	"1"	"10"	"0"	"2"	"2"	"0"	"5"	"3"	"4"	"6"	"532"	"0"	"532"	"0"
"134"	"123"	"12"	"319"	"7"	"2"	"1"	"44"	"3"	"4"	"7"	"3"	"11"	"2"	"6"	"15"	"436"	"0"	"436"	"0"
"135"	"124"	"286"	"107"	"6"	"25"	"2"	"12"	"1"	"2"	"1"	"2"	"7"	"5"	"3"	"19"	"478"	"0"	"478"	"0"
"136"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"137"	""	"ANIL KUMAR"	"ARUN MANJHI"	"DILIP PASWAN"	"MANHAGUL AL AJAD"	"MANTI DAS"	"GOPAL RAVIDAS"	"YUGESHW AR MANJHI"	"RAGHUWA R PASWAN"	"RAJESH KUMAR"	"RAJENDRA PASWAN"	"RAMPRAVE SH PASWAN"	"SATYENDR A KUMAR"	"SURESH
PRASAD CHAUDHAR I"	"SURYODAY PASWAN"	""	""	""	""
"138"	"125"	"100"	"219"	"10"	"1"	"2"	"0"	"2"	"2"	"0"	"2"	"1"	"0"	"3"	"2"	"344"	"0"	"344"	"0"
"139"	"126"	"169"	"82"	"3"	"4"	"2"	"10"	"4"	"2"	"0"	"1"	"7"	"4"	"13"	"22"	"323"	"0"	"323"	"0"
"140"	"127"	"45"	"381"	"12"	"2"	"1"	"5"	"3"	"0"	"0"	"0"	"2"	"2"	"8"	"8"	"469"	"0"	"469"	"0"
"141"	"128"	"233"	"179"	"49"	"2"	"2"	"1"	"0"	"1"	"3"	"1"	"3"	"0"	"13"	"13"	"500"	"0"	"500"	"0"
"142"	"129"	"31"	"231"	"6"	"61"	"0"	"22"	"1"	"4"	"0"	"1"	"3"	"2"	"4"	"4"	"370"	"0"	"370"	"0"
"143"	"130"	"81"	"259"	"5"	"49"	"1"	"20"	"1"	"5"	"3"	"6"	"9"	"3"	"21"	"26"	"489"	"0"	"489"	"0"
"144"	"131"	"221"	"328"	"11"	"13"	"2"	"6"	"6"	"2"	"4"	"0"	"7"	"4"	"8"	"11"	"623"	"0"	"623"	"0"
"145"	"132"	"176"	"91"	"24"	"11"	"1"	"7"	"3"	"2"	"4"	"3"	"4"	"0"	"10"	"14"	"350"	"0"	"350"	"0"
"146"	"133"	"455"	"26"	"5"	"1"	"0"	"5"	"3"	"1"	"0"	"1"	"1"	"1"	"3"	"13"	"515"	"0"	"515"	"0"
"147"	"134"	"141"	"287"	"8"	"5"	"21"	"4"	"4"	"6"	"3"	"4"	"9"	"7"	"9"	"18"	"526"	"0"	"526"	"0"
"148"	"135"	"208"	"14"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"232"	"0"	"232"	"0"
"149"	"136"	"130"	"215"	"5"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"3"	"8"	"17"	"384"	"0"	"384"	"0"
"150"	"137"	"197"	"156"	"12"	"4"	"2"	"52"	"2"	"8"	"7"	"5"	"6"	"4"	"13"	"15"	"483"	"0"	"483"	"0"
"151"	"138"	"109"	"159"	"2"	"0"	"2"	"2"	"3"	"1"	"1"	"0"	"8"	"1"	"7"	"13"	"308"	"0"	"308"	"0"
"152"	"139"	"327"	"45"	"3"	"6"	"4"	"74"	"4"	"13"	"2"	"5"	"8"	"3"	"8"	"40"	"542"	"0"	"542"	"0"
"153"	"140"	"128"	"278"	"10"	"2"	"2"	"11"	"5"	"2"	"1"	"1"	"6"	"4"	"10"	"4"	"464"	"0"	"464"	"0"
"154"	"141"	"213"	"378"	"18"	"102"	"2"	"8"	"1"	"6"	"0"	"0"	"3"	"3"	"6"	"8"	"748"	"0"	"748"	"0"
"155"	"142"	"89"	"272"	"13"	"87"	"5"	"27"	"0"	"1"	"2"	"4"	"5"	"6"	"14"	"14"	"539"	"0"	"539"	"0"
"156"	"143"	"103"	"135"	"12"	"3"	"0"	"70"	"2"	"6"	"4"	"0"	"3"	"2"	"6"	"3"	"349"	"0"	"349"	"0"
"157"	"144"	"48"	"209"	"12"	"1"	"0"	"12"	"1"	"5"	"3"	"0"	"5"	"8"	"13"	"12"	"329"	"0"	"329"	"0"
"158"	"145"	"118"	"231"	"17"	"2"	"3"	"54"	"3"	"9"	"11"	"3"	"17"	"3"	"7"	"32"	"510"	"0"	"510"	"0"
"159"	"146"	"227"	"11"	"3"	"1"	"1"	"71"	"3"	"3"	"6"	"1"	"1"	"2"	"0"	"8"	"338"	"0"	"338"	"0"
"160"	"147"	"115"	"158"	"28"	"117"	"5"	"8"	"1"	"3"	"6"	"4"	"8"	"5"	"10"	"17"	"485"	"0"	"485"	"0"
"161"	"148"	"105"	"143"	"8"	"2"	"1"	"29"	"6"	"2"	"0"	"1"	"4"	"1"	"4"	"10"	"316"	"0"	"316"	"0"
