"BOOTH.NO"	"RAJESH.KUMAR.RAUSHAN..BABLOO.DEO"	"RANA.RANDHIR"	"LAL.BABU.SAHANI"	"SHIVJEE.RAI"	"INDU.BHUSHAN.PRASAD.JAISWAL"	"MERAJ.ANSARI"	"SANJAY.KUMAR"	"AJAY.KUMAR.PANDEY"	"JAINUDDIN.ANSARI"	"RANJIT.PRASAD.SAH"	"TOTAL"
"58"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	1	2	3	4	5	6	7	8	9	10	11	12
"60"	55	18	157	8	219	10	5	3	8	3	23	454
"61"	56	42	205	27	297	16	2	13	3	12	16	633
"62"	57	124	36	6	224	3	3	3	2	2	15	418
"63"	58	10	255	14	335	10	6	12	3	13	35	693
"64"	59	72	250	41	293	10	5	10	2	1	10	694
"65"	60	81	275	18	326	13	4	10	4	5	10	746
"66"	61	39	69	83	110	4	0	3	4	6	6	324
"67"	62	238	67	30	179	12	2	8	4	3	14	557
"68"	63	183	130	24	156	4	9	11	7	9	19	552
"69"	64	144	109	33	318	10	6	10	5	4	22	661
"70"	65	45	178	134	138	6	10	4	6	3	17	541
"71"	66	47	69	226	244	11	12	8	10	8	13	648
"72"	67	29	180	63	168	12	4	7	7	3	15	488
"73"	68	23	71	121	223	2	10	3	0	3	1	457
"74"	69	17	56	139	309	4	6	5	7	2	3	548
"75"	70	13	112	66	134	3	1	3	8	3	12	355
"76"	71	35	230	43	150	3	4	3	3	8	7	486
"77"	72	21	146	180	142	6	6	3	7	3	7	521
"78"	73	44	240	2	126	2	2	2	2	3	10	433
"79"	NA	11	159	3	95	8	2	6	3	5	14	306
"80"	74	25	238	14	111	4	1	3	3	9	8	416
"81"	75	15	60	29	293	13	8	4	3	8	24	457
"82"	76	55	99	10	307	7	3	4	6	4	11	506
"83"	77	57	284	15	222	8	1	4	4	5	21	621
"84"	78	68	195	78	159	13	4	2	2	7	6	534
"85"	79	80	202	14	144	4	3	4	3	5	14	473
"86"	80	55	98	67	178	10	6	8	6	7	18	453
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12
"89"	81	46	68	11	212	11	3	2	2	2	6	363
"90"	82	113	195	4	251	10	2	2	1	4	13	595
"91"	83	39	177	11	203	8	1	5	5	13	14	476
"92"	84	141	273	10	62	3	0	3	1	3	5	501
"93"	85	62	132	5	293	8	1	3	0	1	1	506
"94"	NA	56	99	7	156	5	5	1	2	5	6	342
"95"	86	76	159	2	85	3	1	0	3	2	8	339
"96"	87	42	188	9	136	7	1	5	7	5	12	412
"97"	88	38	223	9	134	4	0	2	0	3	6	419
"98"	89	9	189	8	60	2	3	6	2	1	3	283
"99"	90	221	180	10	54	4	4	3	2	11	22	511
"100"	91	158	191	13	242	5	3	4	2	9	1	628
"101"	92	42	335	9	88	1	3	1	0	5	3	487
"102"	93	59	145	12	217	9	6	2	3	5	14	472
"103"	94	8	114	99	27	3	3	0	3	4	4	265
"104"	95	15	65	2	234	1	1	1	2	2	3	326
"105"	96	24	161	18	195	11	7	3	7	10	25	461
"106"	97	19	177	59	135	9	9	12	8	8	22	458
"107"	98	68	138	11	117	6	2	2	1	3	3	351
"108"	99	62	266	17	69	4	1	2	1	6	4	432
"109"	100	19	110	188	51	5	10	2	4	5	6	400
"110"	101	154	177	8	60	1	2	1	1	3	8	415
"111"	102	90	262	13	133	5	3	3	1	6	11	527
"112"	103	11	309	1	15	1	0	0	0	0	0	337
"113"	104	23	173	9	157	4	4	1	2	3	6	382
"114"	105	64	139	12	228	8	5	3	1	3	22	485
"115"	106	97	91	107	80	5	5	3	4	4	10	406
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12
"118"	107	185	150	48	77	3	2	2	2	3	11	483
"119"	108	37	146	87	218	7	5	2	9	6	21	538
"120"	109	18	186	195	49	3	4	3	9	7	7	481
"121"	110	25	137	119	143	5	4	3	8	5	5	454
"122"	111	126	243	15	273	9	2	15	7	13	52	755
"123"	112	98	210	8	42	2	0	0	2	1	2	365
"124"	113	25	62	46	144	3	7	3	0	0	3	293
"125"	114	25	328	5	69	1	0	1	1	2	7	439
"126"	115	27	322	44	124	8	5	5	8	18	21	582
"127"	116	61	199	32	77	7	3	4	1	3	3	390
"128"	117	87	73	135	260	2	4	4	4	4	12	585
"129"	118	154	296	15	266	10	4	6	11	9	26	797
"130"	119	70	226	27	126	2	0	2	1	5	8	467
"131"	120	53	120	6	160	3	0	2	2	2	13	361
"132"	121	120	166	69	252	4	5	7	4	8	7	642
"133"	122	66	309	13	208	9	6	2	8	12	21	654
"134"	123	35	79	58	137	9	5	1	2	3	11	340
"135"	124	139	164	25	242	4	7	6	3	5	8	603
"136"	125	5	91	9	180	4	3	1	2	1	6	302
"137"	126	41	93	247	192	7	7	4	3	3	20	617
"138"	127	29	267	13	239	4	9	4	8	10	8	591
"139"	128	52	310	33	310	7	7	6	2	10	13	750
"140"	129	58	166	11	142	4	4	3	2	5	17	412
"141"	NA	32	173	12	152	3	2	7	2	5	12	400
"142"	130	74	212	10	121	8	1	7	6	12	21	472
"143"	131	175	113	19	220	29	4	5	0	3	17	585
"144"	132	67	70	4	161	8	1	6	1	4	9	331
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12
"147"	133	292	203	18	116	2	9	8	1	9	39	697
"148"	134	211	301	17	271	14	3	6	7	5	12	847
"149"	135	170	94	1	62	0	4	5	3	6	6	351
"150"	136	236	57	77	74	3	1	2	3	3	7	463
"151"	137	452	76	6	128	4	1	4	1	1	13	686
"152"	138	289	170	6	102	1	1	9	6	11	31	626
"153"	139	15	45	323	224	7	15	8	14	12	29	692
"154"	140	187	159	13	416	8	2	2	6	8	18	819
"155"	141	140	128	15	282	12	7	4	2	3	20	613
"156"	142	141	143	19	419	5	3	3	5	10	14	762
"157"	143	157	81	3	313	10	3	9	3	3	24	606
"158"	144	156	76	4	236	2	4	1	1	2	11	493
"159"	145	75	128	7	231	3	4	3	3	2	16	472
"160"	146	154	111	16	263	3	3	5	3	5	16	579
"161"	147	26	31	8	140	1	4	0	1	2	4	217
"162"	148	68	104	2	219	7	4	2	1	5	6	418
"163"	149	56	81	38	191	9	3	1	6	3	7	395
"164"	150	165	123	73	215	7	1	2	4	7	14	611
"165"	151	266	131	6	196	6	5	3	5	7	8	633
"166"	152	202	66	3	140	0	0	2	0	1	4	418
"167"	153	70	134	7	315	6	3	4	2	3	7	551
"168"	154	148	82	2	110	1	2	3	0	0	0	348
"169"	155	156	31	296	18	3	5	3	8	7	11	538
"170"	156	386	19	4	29	1	2	0	3	1	9	454
"171"	157	381	24	29	55	6	4	6	8	7	35	555
"172"	158	412	23	17	55	5	4	3	3	7	26	555
"173"	159	180	126	155	233	8	8	4	2	6	7	729
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12
"176"	160	75	177	160	138	7	21	12	17	15	20	642
"177"	161	282	22	22	184	12	6	10	5	6	16	565
"178"	162	94	124	245	249	12	11	4	25	5	14	783
"179"	163	53	174	147	191	12	5	7	11	10	26	636
"180"	164	16	150	80	356	14	15	13	12	12	28	696
"181"	165	78	156	74	221	9	7	7	4	11	26	593
"182"	166	143	285	29	123	7	10	4	3	6	12	622
"183"	167	140	118	11	209	3	4	5	4	3	7	504
"184"	168	166	156	8	273	5	1	3	0	3	17	632
"185"	169	75	112	237	88	3	5	11	8	11	17	567
"186"	170	163	34	80	114	6	5	4	6	13	10	435
"187"	171	92	64	219	152	5	3	2	5	3	17	562
"188"	172	102	111	74	263	8	8	8	7	7	24	612
"189"	173	21	121	29	322	7	1	6	3	1	14	525
"190"	174	20	29	6	287	2	1	1	2	0	5	353
"191"	175	38	192	8	391	8	6	4	1	2	6	656
"192"	176	102	129	10	357	15	5	6	5	6	10	645
"193"	177	11	348	10	54	4	4	2	1	0	6	440
"194"	178	19	83	5	104	11	3	4	4	7	10	250
"195"	179	16	71	23	67	7	1	1	2	3	4	195
"196"	180	83	214	183	195	20	14	8	7	9	15	748
"197"	181	17	203	41	147	4	3	1	1	0	4	421
"198"	182	50	509	39	79	2	6	6	3	8	28	730
"199"	183	50	360	28	156	9	1	3	2	7	5	621
"200"	184	19	199	240	282	4	6	5	6	7	5	773
"201"	185	27	290	15	172	2	5	1	2	3	16	533
"202"	186	52	98	109	210	4	4	3	1	2	3	486
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12
"205"	187	37	156	130	114	6	4	1	7	4	12	471
"206"	188	27	223	130	89	7	5	5	13	6	11	516
"207"	189	21	259	68	157	7	5	7	8	8	15	555
"208"	NA	15248	30356	9087	40478	1448	819	912	791	1033	2498	102670
"209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	NA	0	0	0	0	0	0	0	0	0	0	0
"211"	NA	15248	30356	9087	40478	1448	819	912	791	1033	2498	102670
"212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
