"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Name of the Assembly  - 141 Cheriya Bariyarpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"14"	"9"	"101"	"32"	"310"	"54"	"8"	"10"	"47"	"23"	"19"	"24"	"39"	"667"	"0"	"667"	"0"
"15"	"10"	"174"	"39"	"156"	"68"	"8"	"13"	"39"	"7"	"12"	"13"	"35"	"564"	"0"	"564"	"0"
"16"	"11"	"211"	"29"	"43"	"193"	"10"	"10"	"22"	"3"	"5"	"7"	"23"	"556"	"0"	"556"	"0"
"17"	"11A"	"151"	"8"	"78"	"112"	"3"	"5"	"10"	"4"	"2"	"5"	"64"	"442"	"0"	"442"	"0"
"18"	"12"	"53"	"94"	"116"	"308"	"10"	"10"	"35"	"10"	"6"	"5"	"37"	"684"	"0"	"684"	"0"
"19"	"13"	"63"	"64"	"115"	"294"	"11"	"4"	"23"	"10"	"10"	"3"	"48"	"645"	"0"	"645"	"0"
"20"	"14"	"77"	"20"	"96"	"356"	"16"	"11"	"33"	"22"	"20"	"15"	"30"	"696"	"0"	"696"	"0"
"21"	"15"	"78"	"26"	"397"	"36"	"3"	"7"	"91"	"12"	"8"	"22"	"24"	"704"	"0"	"704"	"0"
"22"	"16"	"85"	"22"	"244"	"68"	"7"	"8"	"78"	"11"	"20"	"46"	"48"	"637"	"0"	"637"	"0"
"23"	"17"	"69"	"23"	"246"	"62"	"5"	"7"	"58"	"6"	"2"	"13"	"23"	"514"	"0"	"514"	"0"
"24"	"18"	"122"	"10"	"231"	"79"	"5"	"12"	"59"	"4"	"4"	"13"	"22"	"561"	"0"	"561"	"0"
"25"	"19"	"72"	"10"	"230"	"30"	"5"	"4"	"100"	"8"	"2"	"62"	"16"	"539"	"0"	"539"	"0"
"26"	"20"	"66"	"8"	"284"	"74"	"3"	"4"	"67"	"4"	"6"	"41"	"11"	"568"	"0"	"568"	"0"
"27"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"28"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"30"	"21"	"181"	"65"	"179"	"20"	"0"	"9"	"52"	"4"	"3"	"21"	"37"	"571"	"0"	"571"	"0"
"31"	"22"	"123"	"9"	"297"	"114"	"9"	"4"	"48"	"11"	"5"	"8"	"34"	"662"	"0"	"662"	"0"
"32"	"23"	"159"	"16"	"204"	"92"	"8"	"16"	"73"	"6"	"22"	"19"	"63"	"678"	"0"	"678"	"0"
"33"	"24"	"92"	"20"	"428"	"100"	"7"	"2"	"67"	"8"	"9"	"13"	"24"	"770"	"0"	"770"	"0"
"34"	"25"	"132"	"43"	"501"	"94"	"3"	"5"	"70"	"9"	"21"	"22"	"45"	"945"	"0"	"945"	"0"
"35"	"26"	"96"	"67"	"64"	"104"	"6"	"7"	"27"	"8"	"5"	"8"	"23"	"415"	"0"	"415"	"0"
"36"	"27"	"362"	"33"	"7"	"13"	"2"	"8"	"2"	"2"	"3"	"6"	"46"	"484"	"0"	"484"	"0"
"37"	"28"	"235"	"90"	"39"	"31"	"2"	"8"	"20"	"9"	"6"	"17"	"30"	"487"	"0"	"487"	"0"
"38"	"28A"	"265"	"43"	"64"	"36"	"8"	"14"	"19"	"0"	"5"	"15"	"27"	"496"	"0"	"496"	"0"
"39"	"29"	"56"	"6"	"252"	"58"	"4"	"7"	"72"	"7"	"9"	"9"	"16"	"496"	"0"	"496"	"0"
"40"	"29A"	"44"	"10"	"283"	"70"	"10"	"3"	"59"	"6"	"10"	"15"	"17"	"527"	"0"	"527"	"0"
"41"	"30"	"331"	"3"	"88"	"12"	"6"	"7"	"4"	"4"	"36"	"18"	"29"	"538"	"0"	"538"	"0"
"42"	"31"	"164"	"10"	"133"	"14"	"3"	"7"	"14"	"0"	"19"	"10"	"21"	"395"	"0"	"395"	"0"
"43"	"32"	"84"	"5"	"203"	"46"	"3"	"7"	"42"	"13"	"6"	"11"	"16"	"436"	"0"	"436"	"0"
"44"	"32A"	"71"	"7"	"216"	"16"	"0"	"2"	"32"	"5"	"2"	"9"	"2"	"362"	"0"	"362"	"0"
"45"	"33"	"86"	"6"	"475"	"45"	"7"	"8"	"87"	"9"	"12"	"13"	"20"	"768"	"0"	"768"	"0"
"46"	"34"	"213"	"41"	"216"	"19"	"6"	"8"	"48"	"15"	"6"	"10"	"22"	"604"	"0"	"604"	"0"
"47"	"35"	"110"	"25"	"386"	"72"	"2"	"13"	"41"	"7"	"7"	"6"	"23"	"692"	"0"	"692"	"0"
"48"	"36"	"165"	"178"	"287"	"35"	"17"	"17"	"71"	"13"	"5"	"7"	"22"	"817"	"0"	"817"	"0"
"49"	"37"	"106"	"60"	"240"	"13"	"3"	"6"	"38"	"5"	"7"	"4"	"9"	"491"	"0"	"491"	"0"
"50"	"38"	"130"	"53"	"98"	"40"	"2"	"5"	"17"	"0"	"0"	"7"	"119"	"471"	"0"	"471"	"0"
"51"	"39"	"73"	"241"	"147"	"25"	"1"	"7"	"31"	"5"	"1"	"16"	"80"	"627"	"0"	"627"	"0"
"52"	"40"	"157"	"172"	"238"	"19"	"0"	"6"	"55"	"10"	"6"	"9"	"91"	"763"	"0"	"763"	"0"
"53"	"41"	"147"	"273"	"177"	"10"	"8"	"10"	"30"	"5"	"9"	"47"	"28"	"744"	"0"	"744"	"0"
"54"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"55"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"57"	"42"	"179"	"167"	"77"	"12"	"11"	"11"	"14"	"6"	"4"	"66"	"29"	"576"	"0"	"576"	"0"
"58"	"43"	"367"	"28"	"19"	"6"	"11"	"7"	"8"	"2"	"2"	"87"	"34"	"571"	"0"	"571"	"0"
"59"	"44"	"147"	"27"	"127"	"15"	"6"	"14"	"41"	"15"	"23"	"47"	"125"	"587"	"0"	"587"	"0"
"60"	"45"	"88"	"147"	"225"	"25"	"6"	"3"	"58"	"7"	"2"	"29"	"33"	"623"	"0"	"623"	"0"
"61"	"46"	"126"	"90"	"183"	"16"	"3"	"13"	"39"	"10"	"9"	"16"	"99"	"604"	"0"	"604"	"0"
"62"	"46A"	"99"	"99"	"142"	"16"	"4"	"8"	"28"	"11"	"3"	"24"	"84"	"518"	"0"	"518"	"0"
"63"	"47"	"271"	"36"	"82"	"27"	"2"	"0"	"12"	"1"	"3"	"3"	"35"	"472"	"0"	"472"	"0"
"64"	"48"	"150"	"20"	"73"	"23"	"5"	"4"	"14"	"2"	"9"	"10"	"55"	"365"	"0"	"365"	"0"
"65"	"49"	"267"	"23"	"107"	"5"	"2"	"9"	"38"	"6"	"8"	"11"	"88"	"564"	"0"	"564"	"0"
"66"	"50"	"136"	"13"	"127"	"7"	"0"	"5"	"35"	"2"	"7"	"5"	"186"	"523"	"0"	"523"	"0"
"67"	"51"	"222"	"38"	"359"	"16"	"4"	"11"	"55"	"7"	"8"	"42"	"59"	"821"	"0"	"821"	"0"
"68"	"52"	"184"	"66"	"132"	"8"	"1"	"5"	"39"	"3"	"4"	"17"	"66"	"525"	"0"	"525"	"0"
"69"	"53"	"56"	"45"	"251"	"15"	"1"	"1"	"46"	"2"	"4"	"2"	"13"	"436"	"0"	"436"	"0"
"70"	"54"	"98"	"141"	"144"	"35"	"3"	"6"	"41"	"6"	"7"	"10"	"54"	"545"	"0"	"545"	"0"
"71"	"55"	"55"	"54"	"279"	"7"	"7"	"1"	"40"	"4"	"5"	"4"	"66"	"522"	"0"	"522"	"0"
"72"	"55A"	"61"	"39"	"157"	"15"	"2"	"1"	"32"	"3"	"7"	"2"	"21"	"340"	"0"	"340"	"0"
"73"	"56"	"141"	"111"	"41"	"15"	"2"	"6"	"15"	"4"	"15"	"6"	"93"	"449"	"0"	"449"	"0"
"74"	"57"	"139"	"77"	"284"	"38"	"3"	"5"	"65"	"10"	"8"	"12"	"72"	"713"	"0"	"713"	"0"
"75"	"58"	"206"	"72"	"105"	"10"	"5"	"5"	"32"	"9"	"3"	"7"	"118"	"572"	"0"	"572"	"0"
"76"	"59"	"142"	"49"	"42"	"11"	"5"	"4"	"9"	"3"	"0"	"5"	"6"	"276"	"0"	"276"	"0"
"77"	"60"	"250"	"95"	"257"	"95"	"6"	"11"	"47"	"4"	"9"	"7"	"48"	"829"	"0"	"829"	"0"
"78"	"61"	"104"	"116"	"63"	"13"	"0"	"4"	"12"	"4"	"8"	"8"	"32"	"364"	"0"	"364"	"0"
"79"	"62"	"174"	"108"	"132"	"28"	"7"	"11"	"52"	"2"	"7"	"7"	"64"	"592"	"0"	"592"	"0"
"80"	"63"	"186"	"34"	"98"	"21"	"4"	"9"	"22"	"3"	"48"	"8"	"29"	"462"	"0"	"462"	"0"
"81"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"82"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"83"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"84"	"63A"	"143"	"43"	"36"	"9"	"4"	"2"	"8"	"5"	"56"	"11"	"19"	"336"	"0"	"336"	"0"
"85"	"64"	"104"	"20"	"232"	"45"	"3"	"7"	"95"	"5"	"9"	"47"	"25"	"592"	"0"	"592"	"0"
"86"	"65"	"141"	"62"	"285"	"44"	"9"	"11"	"71"	"12"	"6"	"47"	"41"	"729"	"0"	"729"	"0"
"87"	"66"	"35"	"64"	"400"	"62"	"3"	"6"	"115"	"7"	"8"	"52"	"26"	"778"	"0"	"778"	"0"
"88"	"67"	"125"	"23"	"266"	"89"	"4"	"6"	"54"	"5"	"5"	"17"	"19"	"613"	"0"	"613"	"0"
"89"	"68"	"134"	"103"	"85"	"40"	"2"	"2"	"43"	"9"	"34"	"13"	"76"	"541"	"0"	"541"	"0"
"90"	"69"	"303"	"15"	"21"	"10"	"2"	"8"	"2"	"3"	"10"	"19"	"32"	"425"	"0"	"425"	"0"
"91"	"70"	"100"	"24"	"194"	"38"	"2"	"1"	"14"	"3"	"4"	"10"	"11"	"401"	"0"	"401"	"0"
"92"	"71"	"193"	"45"	"296"	"32"	"7"	"15"	"61"	"7"	"16"	"37"	"29"	"738"	"0"	"738"	"0"
"93"	"72"	"288"	"56"	"144"	"34"	"12"	"21"	"23"	"13"	"15"	"50"	"45"	"701"	"0"	"701"	"0"
"94"	"73"	"91"	"37"	"323"	"9"	"3"	"6"	"43"	"9"	"11"	"98"	"32"	"662"	"0"	"662"	"0"
"95"	"74"	"139"	"47"	"304"	"37"	"5"	"7"	"74"	"13"	"21"	"75"	"64"	"786"	"0"	"786"	"0"
"96"	"75"	"203"	"76"	"82"	"27"	"3"	"5"	"21"	"1"	"9"	"18"	"33"	"478"	"0"	"478"	"0"
"97"	"75A"	"226"	"19"	"70"	"13"	"3"	"5"	"10"	"0"	"2"	"15"	"39"	"402"	"0"	"402"	"0"
"98"	"76"	"164"	"62"	"193"	"21"	"6"	"15"	"39"	"7"	"9"	"92"	"38"	"646"	"0"	"646"	"0"
"99"	"77"	"32"	"225"	"89"	"24"	"3"	"5"	"37"	"3"	"7"	"13"	"35"	"473"	"0"	"473"	"0"
"100"	"78"	"124"	"57"	"122"	"8"	"3"	"2"	"34"	"3"	"4"	"25"	"24"	"406"	"0"	"406"	"0"
"101"	"78A"	"162"	"137"	"60"	"1"	"3"	"8"	"12"	"3"	"3"	"3"	"102"	"494"	"0"	"494"	"0"
"102"	"79"	"423"	"53"	"104"	"28"	"4"	"4"	"20"	"2"	"30"	"17"	"45"	"730"	"0"	"730"	"0"
"103"	"80"	"220"	"33"	"101"	"25"	"6"	"12"	"37"	"5"	"23"	"72"	"23"	"557"	"0"	"557"	"0"
"104"	"81"	"133"	"151"	"134"	"28"	"9"	"20"	"21"	"5"	"21"	"10"	"80"	"612"	"0"	"612"	"0"
"105"	"82"	"246"	"13"	"133"	"5"	"2"	"9"	"20"	"5"	"5"	"6"	"42"	"486"	"0"	"486"	"0"
"106"	"82A"	"110"	"139"	"64"	"8"	"2"	"12"	"36"	"2"	"2"	"11"	"36"	"422"	"0"	"422"	"0"
"107"	"83"	"363"	"26"	"139"	"47"	"5"	"12"	"16"	"2"	"5"	"21"	"75"	"711"	"0"	"711"	"0"
"108"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"109"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"110"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"111"	"84"	"295"	"29"	"60"	"8"	"2"	"5"	"21"	"1"	"31"	"11"	"127"	"590"	"0"	"590"	"0"
"112"	"85"	"201"	"146"	"37"	"12"	"1"	"4"	"15"	"3"	"3"	"11"	"25"	"458"	"0"	"458"	"0"
"113"	"85A"	"85"	"220"	"39"	"10"	"1"	"1"	"16"	"1"	"1"	"3"	"8"	"385"	"0"	"385"	"0"
"114"	"86"	"155"	"89"	"97"	"13"	"4"	"12"	"41"	"8"	"3"	"9"	"45"	"476"	"0"	"476"	"0"
"115"	"86A"	"222"	"86"	"54"	"13"	"5"	"5"	"19"	"4"	"4"	"6"	"94"	"512"	"0"	"512"	"0"
"116"	"87"	"317"	"24"	"44"	"9"	"4"	"5"	"12"	"2"	"10"	"12"	"101"	"540"	"0"	"540"	"0"
"117"	"87A"	"120"	"55"	"46"	"10"	"2"	"4"	"15"	"4"	"8"	"12"	"65"	"341"	"0"	"341"	"0"
"118"	"88"	"198"	"8"	"244"	"37"	"4"	"14"	"70"	"8"	"13"	"13"	"61"	"670"	"0"	"670"	"0"
"119"	"89"	"200"	"52"	"178"	"8"	"3"	"8"	"58"	"7"	"11"	"12"	"48"	"585"	"0"	"585"	"0"
"120"	"90"	"221"	"32"	"120"	"16"	"3"	"11"	"29"	"10"	"9"	"24"	"56"	"531"	"0"	"531"	"0"
"121"	"91"	"631"	"25"	"35"	"7"	"2"	"9"	"3"	"1"	"1"	"12"	"36"	"762"	"0"	"762"	"0"
"122"	"92"	"133"	"45"	"364"	"28"	"7"	"10"	"47"	"6"	"9"	"13"	"23"	"685"	"0"	"685"	"0"
"123"	"93"	"248"	"156"	"56"	"9"	"3"	"11"	"17"	"4"	"5"	"20"	"49"	"578"	"0"	"578"	"0"
"124"	"93A"	"141"	"34"	"34"	"8"	"3"	"3"	"9"	"2"	"4"	"5"	"120"	"363"	"0"	"363"	"0"
"125"	"94"	"144"	"101"	"96"	"6"	"1"	"6"	"34"	"5"	"7"	"17"	"54"	"471"	"0"	"471"	"0"
"126"	"95"	"151"	"81"	"266"	"10"	"3"	"10"	"60"	"9"	"7"	"52"	"42"	"691"	"0"	"691"	"0"
"127"	"96"	"108"	"27"	"211"	"8"	"1"	"6"	"23"	"3"	"6"	"1"	"127"	"521"	"0"	"521"	"0"
"128"	"97"	"159"	"59"	"138"	"5"	"3"	"6"	"35"	"3"	"3"	"9"	"105"	"525"	"0"	"525"	"0"
"129"	"98"	"108"	"106"	"154"	"6"	"0"	"0"	"34"	"5"	"1"	"30"	"42"	"486"	"0"	"486"	"0"
"130"	"98A"	"129"	"23"	"267"	"8"	"0"	"6"	"22"	"3"	"4"	"23"	"15"	"500"	"0"	"500"	"0"
"131"	"99"	"90"	"93"	"321"	"44"	"5"	"15"	"92"	"12"	"14"	"58"	"34"	"778"	"0"	"778"	"0"
"132"	"100"	"74"	"24"	"141"	"24"	"2"	"4"	"20"	"1"	"6"	"14"	"7"	"317"	"0"	"317"	"0"
"133"	"101"	"26"	"45"	"226"	"14"	"2"	"0"	"32"	"1"	"4"	"11"	"22"	"383"	"0"	"383"	"0"
"134"	"102"	"76"	"18"	"301"	"17"	"6"	"6"	"56"	"3"	"0"	"57"	"25"	"565"	"0"	"565"	"0"
"135"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"136"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"137"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"138"	"103"	"65"	"82"	"286"	"19"	"5"	"4"	"69"	"5"	"13"	"180"	"49"	"777"	"0"	"777"	"0"
"139"	"104"	"201"	"87"	"272"	"9"	"1"	"7"	"48"	"8"	"17"	"49"	"79"	"778"	"0"	"778"	"0"
"140"	"105"	"148"	"22"	"44"	"12"	"2"	"7"	"13"	"8"	"2"	"11"	"160"	"429"	"0"	"429"	"0"
"141"	"106"	"211"	"11"	"24"	"6"	"2"	"3"	"3"	"1"	"3"	"5"	"57"	"326"	"0"	"326"	"0"
"142"	"107"	"16"	"45"	"184"	"10"	"1"	"2"	"28"	"1"	"5"	"11"	"6"	"309"	"0"	"309"	"0"
"143"	"108"	"314"	"154"	"154"	"37"	"6"	"6"	"37"	"1"	"31"	"24"	"55"	"819"	"0"	"819"	"0"
"144"	"109"	"125"	"81"	"143"	"3"	"4"	"7"	"37"	"6"	"18"	"21"	"52"	"497"	"0"	"497"	"0"
"145"	"110"	"188"	"10"	"140"	"15"	"7"	"7"	"30"	"8"	"6"	"13"	"80"	"504"	"0"	"504"	"0"
"146"	"111"	"398"	"97"	"149"	"26"	"5"	"22"	"33"	"5"	"4"	"21"	"106"	"866"	"0"	"866"	"0"
"147"	"112"	"82"	"33"	"314"	"43"	"3"	"7"	"51"	"6"	"4"	"23"	"13"	"579"	"0"	"579"	"0"
"148"	"113"	"303"	"11"	"16"	"3"	"0"	"4"	"3"	"2"	"0"	"22"	"15"	"379"	"0"	"379"	"0"
"149"	"114"	"292"	"63"	"101"	"79"	"8"	"12"	"15"	"1"	"0"	"16"	"28"	"615"	"0"	"615"	"0"
"150"	"115"	"203"	"17"	"134"	"27"	"3"	"7"	"24"	"3"	"6"	"45"	"28"	"497"	"0"	"497"	"0"
"151"	"115A"	"77"	"211"	"66"	"35"	"3"	"1"	"19"	"1"	"4"	"9"	"15"	"441"	"0"	"441"	"0"
"152"	"116"	"38"	"20"	"407"	"8"	"1"	"4"	"38"	"4"	"3"	"16"	"12"	"551"	"0"	"551"	"0"
"153"	"117"	"152"	"14"	"252"	"13"	"1"	"3"	"34"	"3"	"12"	"10"	"82"	"576"	"0"	"576"	"0"
"154"	"118"	"156"	"20"	"198"	"9"	"1"	"2"	"42"	"1"	"13"	"10"	"12"	"464"	"0"	"464"	"0"
"155"	"119"	"102"	"24"	"302"	"15"	"3"	"4"	"52"	"5"	"1"	"25"	"11"	"544"	"0"	"544"	"0"
"156"	"120"	"43"	"200"	"156"	"24"	"4"	"5"	"39"	"3"	"3"	"6"	"9"	"492"	"0"	"492"	"0"
"157"	"121"	"61"	"87"	"136"	"46"	"21"	"4"	"51"	"6"	"2"	"14"	"29"	"457"	"0"	"457"	"0"
"158"	"122"	"85"	"65"	"237"	"24"	"27"	"4"	"42"	"6"	"4"	"13"	"44"	"551"	"0"	"551"	"0"
"159"	"123"	"24"	"52"	"242"	"25"	"0"	"4"	"39"	"6"	"4"	"4"	"15"	"415"	"0"	"415"	"0"
"160"	"124"	"118"	"237"	"250"	"9"	"15"	"4"	"47"	"4"	"5"	"13"	"25"	"727"	"0"	"727"	"0"
"161"	"125"	"160"	"234"	"217"	"28"	"4"	"9"	"49"	"9"	"9"	"25"	"21"	"765"	"0"	"765"	"0"
"162"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"163"	""	"Anil Kumar Choudhary"	"Usha Sahani"	"Kumari Manju Verma"	"Ram Pravesh Mahto"	"Hare Krishna Mahto"	"Upendra Mahto"	"Chunchun Kumar"	"Ramashray a Mahto"	"Shahid Akhtar"	"Radha Krishna Singh"	"Sudarshan Singh"	""	""	""	""
"164"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"165"	"126"	"22"	"21"	"320"	"7"	"1"	"7"	"40"	"5"	"12"	"6"	"19"	"460"	"0"	"460"	"0"
"166"	"126A"	"46"	"184"	"173"	"15"	"2"	"3"	"34"	"2"	"6"	"13"	"22"	"500"	"0"	"500"	"0"
"167"	"127"	"35"	"154"	"538"	"24"	"3"	"7"	"60"	"20"	"21"	"20"	"37"	"919"	"0"	"919"	"0"
"168"	"128"	"103"	"245"	"51"	"13"	"5"	"8"	"9"	"3"	"2"	"7"	"80"	"526"	"0"	"526"	"0"
"169"	"129"	"260"	"27"	"123"	"3"	"3"	"6"	"18"	"5"	"3"	"7"	"54"	"509"	"0"	"509"	"0"
"170"	"130"	"187"	"44"	"179"	"31"	"0"	"4"	"16"	"3"	"1"	"4"	"67"	"536"	"0"	"536"	"0"
"171"	"131"	"216"	"78"	"207"	"27"	"4"	"3"	"44"	"3"	"4"	"5"	"74"	"665"	"0"	"665"	"0"
"172"	"132"	"149"	"117"	"186"	"35"	"4"	"4"	"43"	"6"	"5"	"12"	"88"	"649"	"0"	"649"	"0"
"173"	"133"	"152"	"92"	"52"	"34"	"5"	"4"	"13"	"2"	"1"	"14"	"158"	"527"	"0"	"527"	"0"
"174"	"133A"	"113"	"62"	"42"	"11"	"1"	"2"	"6"	"1"	"0"	"9"	"91"	"338"	"0"	"338"	"0"
"175"	"134"	"285"	"139"	"98"	"15"	"7"	"10"	"20"	"7"	"8"	"13"	"104"	"706"	"0"	"706"	"0"
"176"	"135"	"195"	"38"	"273"	"24"	"5"	"5"	"40"	"12"	"21"	"24"	"102"	"739"	"0"	"739"	"0"
"177"	"136"	"193"	"45"	"192"	"16"	"7"	"13"	"54"	"9"	"9"	"6"	"183"	"727"	"0"	"727"	"0"
"178"	"137"	"104"	"30"	"161"	"10"	"3"	"1"	"14"	"0"	"0"	"1"	"26"	"350"	"0"	"350"	"0"
"179"	"138"	"132"	"117"	"336"	"34"	"5"	"6"	"87"	"12"	"12"	"5"	"65"	"811"	"0"	"811"	"0"
"180"	"139"	"129"	"78"	"379"	"19"	"3"	"2"	"47"	"8"	"5"	"4"	"27"	"701"	"0"	"701"	"0"
"181"	"140"	"503"	"62"	"171"	"10"	"2"	"5"	"20"	"2"	"13"	"7"	"38"	"833"	"0"	"833"	"0"
"182"	"141"	"451"	"11"	"102"	"14"	"3"	"4"	"15"	"2"	"1"	"2"	"54"	"659"	"0"	"659"	"0"
"183"	"141A"	"190"	"14"	"22"	"1"	"2"	"2"	"5"	"1"	"2"	"2"	"13"	"254"	"0"	"254"	"0"
"184"	"142"	"593"	"41"	"78"	"6"	"1"	"7"	"12"	"2"	"7"	"7"	"25"	"779"	"0"	"779"	"0"
"185"	"143"	"267"	"85"	"150"	"9"	"6"	"6"	"18"	"2"	"2"	"7"	"102"	"654"	"0"	"654"	"0"
"186"	"144"	"151"	"25"	"223"	"24"	"2"	"6"	"48"	"4"	"4"	"3"	"114"	"604"	"0"	"604"	"0"
"187"	"145"	"256"	"17"	"248"	"25"	"1"	"8"	"42"	"0"	"2"	"16"	"98"	"713"	"0"	"713"	"0"
"188"	"146"	"77"	"7"	"69"	"6"	"0"	"0"	"14"	"3"	"2"	"1"	"139"	"318"	"0"	"318"	"0"
