"BOOTH.NO"	"ARVIND.KUMAR"	"ARVIND.KUMAR.GUPTA"	"PRAMOD.KUMAR"	"MAHENDRA.PRASAD.SINGH"	"RAJESH.GUPTA.ALIAS.BABLU.GUPTA"	"SIKANDAR.CHAUDHARY"	"ANURAG.RAJ"	"GAURI.SHANKAR.PRASAD"	"DURGA.SAH"	"CAPT..PUSHKAR.JHA"	"MANISH.KUMAR.SHEKHAR"	"MD..MURTUJA.ANSARI.ALIAS.DR..LAL"	"RAKESH.BHUSHAN"	"AMRENDRA.SINGH"	"DHURAV.NARAYAN.CHAUDHARY"	"BIKRAMADITYA.SINGH"	"MAHAMAD.HAMID.EKBAL"	"LAL.BABU.RAM"	"SURESH.SAHNI"	"Total"
"70"	62	50	17	184	3	150	0	0	1	0	2	6	0	0	4	1	7	0	0	1	426
"71"	63	10	39	346	0	51	1	0	0	1	2	0	1	0	6	0	10	1	1	1	470
"72"	64	11	156	318	6	47	0	0	1	1	0	0	1	1	12	1	3	0	7	2	567
"73"	65	14	30	641	14	172	5	0	2	0	0	0	2	0	19	0	13	0	2	5	919
"74"	66	3	25	257	4	229	1	0	0	1	0	1	15	3	8	1	6	1	0	2	557
"75"	67	10	39	317	4	155	2	0	1	0	3	2	5	0	11	0	2	0	0	2	553
"76"	68	13	23	227	3	83	0	1	1	0	0	0	1	0	4	0	4	0	0	1	361
"77"	69	4	42	411	1	71	2	0	0	0	1	1	1	1	10	0	1	0	1	1	548
"78"	70	8	79	173	3	288	1	2	2	0	0	1	4	0	7	1	2	0	0	2	573
"79"	71	3	31	239	5	158	0	0	0	1	0	0	1	0	10	0	0	0	0	2	450
"80"	72	19	44	228	2	221	1	3	0	0	0	1	2	1	7	1	2	0	0	2	534
"81"	73	6	25	528	15	133	1	0	4	0	0	3	1	4	3	1	2	1	2	18	747
"82"	74	8	31	329	0	94	0	0	2	0	1	0	1	0	6	0	1	1	1	3	478
"83"	75	20	41	309	3	26	0	2	6	0	0	13	1	0	2	0	5	1	0	3	432
"84"	76	61	24	419	8	111	2	5	8	53	6	3	4	8	4	2	11	4	3	10	746
"85"	77	20	47	451	7	79	0	0	3	2	2	2	2	5	4	2	48	15	5	13	707
"86"	78	34	90	395	6	131	0	5	4	1	3	4	5	1	17	1	34	3	0	5	739
"87"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"88"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"89"	79	29	21	373	4	40	1	9	8	2	0	0	0	1	7	0	8	6	0	7	516
"90"	80	11	41	615	8	53	2	0	1	1	0	2	4	5	9	2	19	3	1	8	785
"91"	81	22	31	258	3	60	1	0	1	0	0	3	0	0	5	1	1	4	2	36	428
"92"	82	39	42	488	3	104	1	0	0	0	2	5	13	2	2	1	11	4	1	19	737
"93"	83	40	26	305	2	92	0	2	1	1	2	1	15	2	4	0	3	2	0	0	498
"94"	84	5	71	119	3	343	5	0	2	0	0	5	32	1	2	2	19	4	0	3	616
"95"	85	19	28	237	2	54	0	0	5	0	4	1	3	0	3	0	1	1	0	1	359
"96"	86	12	38	65	6	529	11	0	4	1	1	1	49	2	3	4	17	1	0	4	748
"97"	87	19	40	279	3	153	3	0	7	1	1	2	3	3	7	3	4	1	1	3	533
"98"	88	64	41	352	7	88	6	0	1	0	1	4	2	2	8	0	3	1	0	5	585
"99"	89	33	39	297	4	146	4	1	0	1	5	3	1	4	7	1	1	3	0	28	578
"100"	90	75	28	321	3	51	2	0	1	1	3	6	0	0	29	0	9	1	2	6	538
"101"	91	39	16	296	3	44	0	2	0	0	28	3	0	0	0	0	16	0	0	0	447
"102"	92	127	15	254	1	47	0	0	0	0	5	1	0	0	1	0	48	6	0	8	513
"103"	93	77	25	231	3	77	0	0	0	0	1	10	0	0	4	0	27	5	0	0	460
"104"	94	146	34	233	2	83	0	2	2	1	1	3	1	6	1	0	43	5	2	7	572
"105"	95	122	41	227	0	73	3	0	3	0	0	6	1	0	1	0	119	5	0	5	606
"106"	96	73	14	172	7	44	0	0	2	0	1	2	2	0	2	1	14	0	0	1	335
"107"	97	43	32	240	3	93	2	0	2	0	0	1	0	2	0	0	6	3	0	9	436
"108"	98	90	46	201	2	106	4	0	1	0	0	3	0	3	3	0	2	29	2	3	495
"109"	99	162	27	259	0	67	0	1	0	0	0	8	0	0	2	0	8	5	0	2	541
"110"	100	46	34	271	3	43	0	0	1	0	0	1	0	3	0	0	0	2	0	5	409
"111"	101	65	51	230	0	69	0	0	1	0	1	0	0	1	1	0	4	1	1	4	429
"112"	102	60	15	161	1	31	0	0	0	0	0	0	0	0	0	0	5	0	0	0	273
"113"	103	28	20	232	1	57	0	1	0	0	0	5	0	2	0	1	2	1	1	1	352
"114"	104	118	57	247	5	72	1	0	0	0	1	5	1	2	5	0	6	7	1	3	531
"115"	105	76	32	321	2	49	0	0	0	0	2	33	1	1	3	0	15	0	1	7	543
"116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"117"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"118"	106	67	40	220	2	27	0	0	0	0	1	35	1	0	1	0	7	0	0	9	410
"119"	107	19	21	195	0	28	0	0	1	0	0	33	0	0	7	0	3	0	1	4	312
"120"	108	31	4	141	1	21	0	1	0	0	1	16	0	0	1	0	6	2	0	24	249
"121"	109	72	21	161	0	56	0	1	2	1	0	2	0	9	1	1	3	0	0	57	387
"122"	110	25	31	210	0	46	0	0	2	2	0	23	1	0	2	0	3	2	1	7	355
"123"	111	24	21	164	3	12	1	0	1	0	0	9	0	0	0	0	7	0	0	1	243
"124"	112	43	51	147	5	260	4	0	6	0	1	17	1	7	6	5	16	2	0	26	597
"125"	113	46	30	178	3	67	1	0	1	0	0	30	0	1	2	0	3	2	0	22	386
"126"	114	42	38	227	4	36	2	2	6	4	5	4	4	7	2	4	11	4	3	31	436
"127"	NA	41	16	147	3	23	0	0	0	0	0	11	0	1	4	2	19	0	1	0	268
"128"	115	35	47	281	6	73	0	1	2	1	3	1	2	2	5	1	10	2	1	35	508
"129"	116	45	63	329	10	144	3	0	3	2	2	2	2	1	4	1	14	1	1	17	644
"130"	117	13	67	315	11	114	3	3	5	1	0	1	1	1	6	1	13	5	4	13	577
"131"	118	103	28	223	5	34	0	0	0	0	2	8	0	9	2	0	7	2	1	61	485
"132"	119	139	35	294	6	59	1	1	0	1	2	2	0	3	0	1	19	3	1	3	570
"133"	120	36	37	268	7	51	1	1	2	1	0	0	0	6	7	2	8	0	5	9	441
"134"	121	8	77	454	9	107	5	3	5	2	2	3	3	7	9	3	5	0	2	26	730
"135"	122	9	28	287	8	85	4	1	3	6	3	4	3	10	3	2	1	11	4	21	493
"136"	NA	4	68	250	7	101	0	3	6	4	1	3	5	4	9	6	8	1	3	3	486
"137"	123	30	44	271	13	272	8	0	6	2	3	3	6	4	5	1	12	2	3	25	710
"138"	124	15	92	286	9	312	9	9	16	11	4	8	16	19	22	11	44	13	9	50	955
"139"	125	12	28	366	10	151	3	4	5	1	2	1	3	2	2	1	29	6	2	3	631
"140"	126	26	21	419	12	129	2	2	3	2	1	4	1	3	14	1	57	5	2	7	711
"141"	127	8	69	272	10	231	16	2	12	7	6	9	10	14	16	9	41	5	6	44	787
"142"	128	16	23	69	8	326	9	0	5	0	2	2	6	18	8	7	16	14	11	162	702
"143"	129	6	97	318	9	72	8	7	6	4	6	3	7	8	10	1	79	2	2	10	655
"144"	130	9	73	299	6	34	4	3	5	3	2	1	4	20	11	9	80	16	15	276	870
"145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"146"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"147"	131	7	73	190	3	100	4	7	2	0	0	1	2	3	6	4	34	5	3	53	497
"148"	132	20	25	372	9	227	8	9	4	1	3	4	4	4	9	1	47	7	0	6	760
"149"	133	13	127	204	5	27	2	1	2	1	2	3	2	5	3	2	11	20	13	11	454
"150"	134	5	107	214	7	141	2	1	5	4	1	2	2	1	2	2	2	1	0	0	499
"151"	135	8	29	349	7	132	7	3	6	3	10	2	3	4	11	3	8	5	4	8	602
"152"	136	14	15	205	13	202	6	4	7	4	19	2	7	9	21	9	19	17	15	36	624
"153"	137	13	23	605	7	63	2	2	4	2	13	2	2	5	8	1	17	0	3	7	779
"154"	138	117	10	503	25	55	1	1	1	1	4	1	0	2	2	3	39	11	2	8	786
"155"	139	50	10	384	5	48	1	3	1	2	2	4	1	8	15	2	17	3	2	6	564
"156"	140	38	19	290	5	28	0	1	2	1	8	2	3	3	8	4	18	4	3	9	446
"157"	141	4	80	173	9	64	1	0	0	5	0	13	3	3	5	5	8	5	8	65	451
"158"	NA	9	49	261	13	108	5	2	5	1	2	7	2	6	8	3	12	0	6	13	512
"159"	142	12	125	360	14	54	2	0	3	0	0	7	3	2	5	2	14	6	40	9	658
"160"	143	5	11	99	2	16	7	0	1	2	0	0	0	18	2	9	11	3	1	234	421
"161"	144	7	4	50	1	274	3	1	1	1	0	1	2	0	1	2	3	1	0	1	353
"162"	145	10	75	205	9	179	10	175	15	4	10	11	11	12	13	15	49	18	4	9	834
"163"	146	7	9	294	8	10	5	2	8	1	33	0	2	9	7	3	38	6	0	35	477
"164"	147	9	73	260	8	47	2	4	4	1	5	1	5	6	9	5	15	0	0	4	458
"165"	NA	17	60	258	11	48	2	2	1	5	2	0	2	2	3	4	7	5	2	9	440
"166"	148	11	86	360	12	151	9	2	10	5	39	9	7	8	12	5	18	7	6	30	787
"167"	149	1	3	96	3	6	0	4	3	0	2	2	6	4	3	3	8	6	3	57	210
"168"	150	14	9	295	9	64	13	5	19	9	6	7	13	31	28	16	29	20	5	196	788
"169"	151	16	16	155	11	254	13	5	12	4	3	7	7	15	4	9	24	23	23	86	687
"170"	152	14	32	98	9	219	4	4	8	2	12	3	8	6	3	6	10	11	18	86	553
"171"	153	5	5	117	7	292	4	3	3	6	5	7	9	11	11	3	28	14	3	37	570
"172"	154	10	8	112	8	240	10	3	14	5	6	7	14	16	24	9	33	11	2	127	659
"173"	155	6	53	214	5	145	2	3	7	5	14	3	2	11	7	7	119	1	2	73	679
"174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"175"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"176"	156	14	28	284	6	243	10	3	19	4	3	9	8	22	11	7	35	10	6	109	831
"177"	157	2	28	260	7	30	4	1	4	1	1	0	0	3	4	3	42	5	2	19	416
"178"	158	3	15	181	11	168	10	1	7	4	25	4	4	6	9	5	35	3	3	31	525
"179"	159	9	10	149	7	176	21	6	10	7	40	1	1	8	10	5	34	11	15	117	637
"180"	160	6	25	242	15	79	4	2	16	4	2	1	4	7	3	6	10	2	2	52	482
"181"	161	5	20	165	17	125	5	2	8	2	1	2	3	12	5	8	16	5	2	80	483
"182"	162	7	3	189	10	55	5	0	7	1	27	6	0	9	7	5	8	3	5	144	491
"183"	163	7	26	270	1	20	2	1	1	0	3	4	1	10	5	4	3	7	7	123	495
"184"	164	13	10	169	5	48	17	0	10	0	4	3	2	19	7	12	5	15	7	167	513
"185"	165	8	9	173	12	55	16	0	15	2	4	2	5	9	7	10	20	8	1	116	472
"186"	166	0	12	59	3	17	0	0	1	0	0	0	0	6	42	0	2	2	0	4	148
"187"	167	16	19	115	12	137	28	2	8	6	35	13	3	21	7	12	18	2	3	107	564
"188"	168	20	9	145	13	211	3	2	4	1	4	0	3	8	2	1	2	5	4	47	484
"189"	169	6	25	212	12	112	6	0	3	2	5	5	4	11	9	2	15	1	2	23	455
"190"	170	14	45	472	22	171	13	1	3	4	7	3	6	14	39	8	12	17	5	76	932
"191"	171	5	16	145	3	107	5	2	12	1	0	1	0	4	1	3	11	6	2	98	422
"192"	NA	11	32	146	7	183	4	2	8	3	0	7	2	5	10	5	12	3	2	48	490
"193"	172	8	9	135	4	67	7	2	9	2	3	2	12	25	15	19	23	16	15	459	832
"194"	173	9	42	266	15	196	7	5	9	6	15	3	12	33	32	17	74	4	3	52	800
"195"	174	10	35	220	5	154	3	2	6	3	2	0	4	6	16	4	24	7	4	24	529
"196"	175	9	88	96	3	78	3	1	7	2	2	3	9	4	14	6	19	7	4	52	407
"197"	176	25	26	193	21	66	9	4	10	2	3	2	3	4	1	4	14	4	7	91	489
"198"	NA	3	32	124	7	213	7	1	4	2	11	2	12	5	4	4	25	4	1	34	495
"199"	177	11	16	29	1	25	4	3	7	0	1	1	5	17	16	14	32	24	9	259	474
"200"	178	11	9	65	4	225	5	3	2	1	3	1	2	0	0	0	2	1	2	4	340
"201"	179	6	24	282	5	78	10	3	13	1	9	1	5	20	12	6	22	19	7	320	843
"202"	180	158	30	52	4	145	5	0	2	1	0	1	1	0	0	2	14	10	0	2	427
"203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"205"	181	127	66	62	1	145	7	0	1	1	3	1	6	4	5	3	20	7	0	3	462
"206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"207"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"208"	182	501	6	64	5	170	3	0	3	1	2	0	4	2	8	6	43	11	1	1	831
"209"	183	137	59	181	6	69	1	0	2	0	0	0	2	1	5	2	13	9	3	13	503
"210"	184	47	47	332	11	90	2	3	5	4	16	3	1	5	13	4	74	6	2	20	685
"211"	185	33	10	239	6	102	3	1	0	4	1	2	0	2	8	0	34	6	2	3	456
"212"	NA	36	13	202	7	60	2	2	3	1	0	1	0	4	1	1	31	14	4	7	389
"213"	186	7	22	258	8	318	11	4	5	1	4	3	9	3	12	2	39	0	1	3	710
"214"	187	9	32	192	4	132	4	0	0	1	0	4	1	2	41	0	30	10	3	24	489
"215"	188	7	45	194	4	135	7	10	5	2	0	3	3	1	6	5	35	7	2	7	478
"216"	189	3	23	94	7	135	4	0	5	1	4	6	13	4	13	6	17	4	4	18	361
"217"	190	32	45	310	11	58	3	2	5	3	0	2	5	10	36	10	151	1	0	9	693
"218"	191	30	19	162	4	317	6	3	3	3	13	3	4	9	19	4	18	23	13	66	719
"219"	192	12	19	282	9	228	6	41	3	0	7	3	2	5	8	2	10	5	3	2	647
"220"	193	79	64	132	5	230	11	3	10	2	7	4	1	4	18	5	79	3	2	32	691
"221"	194	38	36	226	7	75	1	0	2	0	0	10	4	8	11	3	35	1	1	26	484
"222"	195	82	9	112	4	31	6	3	6	1	2	2	4	13	16	7	29	28	11	385	751
"223"	196	136	83	192	1	116	2	2	2	1	1	0	4	1	6	5	13	10	0	86	661
"224"	197	19	33	292	7	166	5	2	9	3	5	5	5	10	28	1	29	4	4	4	631
"225"	198	74	9	326	7	256	3	1	7	5	4	5	3	5	6	1	12	15	7	13	759
"226"	199	29	59	137	7	386	22	2	4	3	3	6	20	3	10	6	17	11	2	14	741
"227"	200	22	75	168	7	357	8	0	4	2	1	6	3	3	1	3	28	4	0	0	692
"228"	201	4	28	178	6	122	1	0	6	1	0	2	2	1	3	0	8	2	0	0	364
"229"	202	9	18	155	3	164	3	2	7	1	0	15	0	4	2	2	8	5	9	77	484
"230"	203	10	7	88	1	27	2	3	8	2	1	3	1	7	8	1	3	15	7	195	389
"231"	204	7	18	469	13	18	2	1	1	1	1	1	0	2	10	0	61	2	1	12	620
"232"	205	8	8	357	11	210	6	3	2	3	3	7	10	3	7	5	106	7	8	35	799
"233"	206	14	29	248	8	133	2	3	7	1	0	3	2	7	3	7	109	9	0	5	590
"234"	207	50	18	128	1	88	12	2	2	3	1	1	3	16	6	4	21	17	9	436	818
"235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"236"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
"237"	208	41	15	121	8	276	13	4	5	3	2	3	7	5	12	3	10	1	0	4	533
"238"	209	11	37	213	7	127	28	5	7	3	12	3	25	33	13	9	42	20	10	161	766
"239"	210	23	21	216	21	75	46	2	7	3	6	7	15	29	19	8	41	8	8	164	719
"240"	211	11	7	225	36	90	62	6	7	2	1	3	6	14	5	5	10	8	10	310	818
"241"	212	10	95	130	2	40	5	3	5	1	1	1	2	1	6	5	17	2	5	9	340
"242"	NA	6222	7723	51886	1509	27358	1320	634	1009	452	1035	969	950	1315	2165	775	5138	1171	702	9764	122097
"243"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"245"	NA	NA	7723	51886	1509	27358	1320	634	1009	452	1035	969	950	1315	2165	775	5138	1171	702	9764	122097
"246"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"247"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
