"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 088---Gaighat CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :088---Gaighat"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of Voters :230514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"17"	"9"	"27"	"1"	"84"	"113"	"9"	"1"	"2"	"2"	"4"	"0"	"9"	"18"	"8"	"11"	"71"	"15"	"375"	""	""
"18"	"10"	"46"	"5"	"135"	"207"	"13"	"0"	"2"	"4"	"3"	"2"	"3"	"12"	"7"	"14"	"21"	"19"	"493"	""	""
"19"	"11"	"13"	"4"	"84"	"222"	"6"	"0"	"1"	"2"	"4"	"5"	"8"	"15"	"14"	"17"	"23"	"12"	"430"	""	""
"20"	"12"	"13"	"2"	"48"	"303"	"10"	"1"	"3"	"0"	"1"	"1"	"0"	"2"	"4"	"8"	"88"	"4"	"488"	""	""
"21"	"13"	"9"	"2"	"48"	"317"	"9"	"2"	"1"	"0"	"2"	"2"	"9"	"26"	"30"	"10"	"5"	"10"	"482"	""	""
"22"	"14"	"9"	"1"	"92"	"201"	"15"	"1"	"3"	"3"	"6"	"4"	"5"	"42"	"32"	"19"	"18"	"20"	"471"	""	""
"23"	"15"	"21"	"2"	"110"	"227"	"6"	"3"	"9"	"2"	"2"	"0"	"3"	"11"	"16"	"11"	"32"	"6"	"461"	""	""
"24"	"16"	"30"	"5"	"132"	"318"	"8"	"1"	"1"	"3"	"3"	"3"	"4"	"11"	"11"	"20"	"43"	"11"	"604"	""	""
"25"	"17"	"5"	"0"	"27"	"186"	"6"	"2"	"2"	"1"	"5"	"2"	"2"	"6"	"15"	"7"	"5"	"4"	"275"	""	""
"26"	"18"	"28"	"2"	"103"	"358"	"10"	"4"	"2"	"3"	"8"	"4"	"7"	"22"	"31"	"19"	"27"	"21"	"649"	""	""
"27"	"19"	"6"	"4"	"108"	"122"	"2"	"3"	"1"	"3"	"1"	"3"	"1"	"1"	"4"	"5"	"2"	"4"	"270"	""	""
"28"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"29"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"31"	"20"	"13"	"5"	"344"	"235"	"11"	"2"	"2"	"6"	"5"	"12"	"9"	"21"	"20"	"42"	"13"	"31"	"771"	""	""
"32"	"21"	"6"	"3"	"150"	"151"	"5"	"7"	"5"	"3"	"5"	"3"	"7"	"20"	"22"	"28"	"8"	"18"	"441"	""	""
"33"	"21A"	"6"	"4"	"99"	"192"	"12"	"3"	"1"	"3"	"2"	"1"	"0"	"12"	"16"	"15"	"3"	"11"	"380"	""	""
"34"	"22"	"15"	"3"	"23"	"379"	"14"	"3"	"1"	"2"	"2"	"1"	"2"	"22"	"31"	"1"	"5"	"14"	"518"	""	""
"35"	"23"	"9"	"4"	"159"	"292"	"11"	"1"	"7"	"0"	"7"	"1"	"7"	"21"	"17"	"7"	"13"	"18"	"574"	""	""
"36"	"24"	"5"	"4"	"126"	"159"	"5"	"1"	"2"	"1"	"1"	"1"	"2"	"9"	"24"	"13"	"5"	"7"	"365"	""	""
"37"	"25"	"9"	"3"	"228"	"165"	"0"	"2"	"1"	"2"	"1"	"4"	"1"	"7"	"9"	"41"	"6"	"15"	"494"	""	""
"38"	"26"	"9"	"1"	"103"	"309"	"10"	"2"	"4"	"2"	"1"	"1"	"4"	"14"	"17"	"29"	"8"	"11"	"525"	""	""
"39"	"27"	"6"	"5"	"156"	"203"	"5"	"3"	"1"	"3"	"3"	"2"	"3"	"5"	"14"	"13"	"1"	"7"	"430"	""	""
"40"	"28"	"3"	"3"	"282"	"169"	"5"	"1"	"2"	"4"	"3"	"0"	"6"	"28"	"12"	"17"	"8"	"27"	"570"	""	""
"41"	"29"	"35"	"5"	"152"	"132"	"2"	"0"	"1"	"0"	"3"	"1"	"2"	"3"	"3"	"10"	"14"	"7"	"370"	""	""
"42"	"30"	"22"	"6"	"172"	"226"	"2"	"1"	"3"	"3"	"1"	"2"	"2"	"1"	"2"	"5"	"8"	"2"	"458"	""	""
"43"	"31"	"10"	"4"	"215"	"179"	"4"	"3"	"1"	"1"	"2"	"0"	"2"	"7"	"20"	"60"	"2"	"16"	"526"	""	""
"44"	"32"	"13"	"2"	"113"	"80"	"1"	"3"	"0"	"1"	"2"	"0"	"3"	"7"	"5"	"33"	"8"	"8"	"279"	""	""
"45"	"33"	"17"	"8"	"280"	"215"	"8"	"4"	"2"	"5"	"4"	"5"	"9"	"23"	"21"	"28"	"11"	"18"	"658"	""	""
"46"	"34"	"15"	"2"	"231"	"384"	"11"	"4"	"3"	"1"	"3"	"0"	"0"	"3"	"6"	"3"	"1"	"4"	"671"	""	""
"47"	"35"	"15"	"5"	"330"	"221"	"7"	"5"	"4"	"2"	"3"	"1"	"6"	"23"	"20"	"32"	"5"	"8"	"687"	""	""
"48"	"36"	"50"	"6"	"156"	"162"	"3"	"4"	"0"	"1"	"1"	"2"	"3"	"3"	"6"	"12"	"4"	"9"	"422"	""	""
"49"	"37"	"11"	"1"	"74"	"134"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"6"	"0"	"1"	"3"	"236"	""	""
"50"	"38"	"140"	"4"	"159"	"199"	"66"	"5"	"0"	"1"	"1"	"0"	"7"	"17"	"16"	"17"	"6"	"24"	"662"	""	""
"51"	"39"	"3"	"0"	"174"	"15"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"206"	""	""
"52"	"40"	"2"	"1"	"49"	"306"	"3"	"2"	"2"	"1"	"0"	"0"	"3"	"8"	"14"	"12"	"3"	"12"	"418"	""	""
"53"	"41"	"19"	"1"	"41"	"209"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"2"	"0"	"1"	"284"	""	""
"54"	"42"	"20"	"0"	"275"	"107"	"4"	"1"	"3"	"0"	"1"	"0"	"0"	"4"	"3"	"4"	"17"	"6"	"445"	""	""
"55"	"43"	"4"	"0"	"38"	"414"	"4"	"8"	"2"	"2"	"0"	"0"	"0"	"1"	"4"	"6"	"5"	"4"	"492"	""	""
"56"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"57"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"59"	"44"	"20"	"1"	"485"	"47"	"1"	"1"	"3"	"0"	"3"	"1"	"2"	"3"	"3"	"10"	"1"	"5"	"586"	""	""
"60"	"45"	"25"	"9"	"321"	"189"	"8"	"0"	"2"	"0"	"3"	"3"	"7"	"18"	"23"	"21"	"14"	"23"	"666"	""	""
"61"	"46"	"10"	"4"	"167"	"88"	"5"	"5"	"1"	"2"	"0"	"2"	"7"	"6"	"8"	"5"	"1"	"17"	"328"	""	""
"62"	"47"	"50"	"3"	"256"	"146"	"4"	"0"	"2"	"2"	"2"	"2"	"5"	"9"	"11"	"28"	"3"	"14"	"537"	""	""
"63"	"48"	"20"	"1"	"85"	"259"	"4"	"2"	"0"	"0"	"8"	"2"	"2"	"5"	"6"	"5"	"1"	"1"	"401"	""	""
"64"	"49"	"37"	"0"	"75"	"336"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"451"	""	""
"65"	"50"	"65"	"2"	"130"	"90"	"3"	"0"	"1"	"1"	"32"	"0"	"1"	"2"	"8"	"5"	"2"	"1"	"343"	""	""
"66"	"51"	"12"	"1"	"48"	"317"	"8"	"4"	"1"	"0"	"6"	"1"	"3"	"20"	"20"	"7"	"7"	"6"	"461"	""	""
"67"	"52"	"43"	"2"	"51"	"298"	"9"	"9"	"1"	"4"	"33"	"2"	"5"	"15"	"11"	"2"	"1"	"8"	"494"	""	""
"68"	"53"	"31"	"4"	"112"	"336"	"11"	"4"	"4"	"3"	"4"	"1"	"1"	"9"	"12"	"4"	"0"	"5"	"541"	""	""
"69"	"54"	"19"	"6"	"109"	"371"	"9"	"5"	"3"	"2"	"3"	"5"	"2"	"15"	"28"	"4"	"6"	"16"	"603"	""	""
"70"	"55"	"13"	"5"	"90"	"410"	"7"	"0"	"1"	"1"	"4"	"2"	"3"	"16"	"28"	"9"	"0"	"3"	"592"	""	""
"71"	"56"	"4"	"1"	"120"	"130"	"9"	"0"	"0"	"2"	"21"	"2"	"3"	"17"	"12"	"16"	"8"	"7"	"352"	""	""
"72"	"57"	"11"	"2"	"74"	"346"	"57"	"6"	"4"	"4"	"10"	"2"	"6"	"39"	"43"	"10"	"6"	"10"	"630"	""	""
"73"	"58"	"16"	"0"	"93"	"139"	"2"	"2"	"2"	"1"	"4"	"2"	"2"	"15"	"11"	"3"	"4"	"10"	"306"	""	""
"74"	"59"	"15"	"2"	"374"	"72"	"6"	"3"	"0"	"0"	"10"	"1"	"2"	"23"	"4"	"3"	"2"	"2"	"519"	""	""
"75"	"60"	"19"	"4"	"141"	"320"	"10"	"2"	"1"	"1"	"1"	"3"	"4"	"12"	"24"	"17"	"6"	"9"	"574"	""	""
"76"	"61"	"41"	"3"	"194"	"224"	"8"	"4"	"0"	"2"	"4"	"1"	"3"	"8"	"10"	"14"	"5"	"6"	"527"	""	""
"77"	"61A"	"9"	"4"	"149"	"107"	"4"	"2"	"1"	"1"	"2"	"3"	"9"	"16"	"15"	"45"	"6"	"17"	"390"	""	""
"78"	"62"	"37"	"2"	"174"	"120"	"5"	"1"	"2"	"0"	"2"	"1"	"4"	"4"	"9"	"10"	"2"	"5"	"378"	""	""
"79"	"63"	"17"	"5"	"209"	"231"	"11"	"3"	"2"	"0"	"3"	"2"	"3"	"9"	"14"	"26"	"40"	"30"	"605"	""	""
"80"	"64"	"20"	"6"	"323"	"239"	"6"	"3"	"2"	"2"	"19"	"10"	"9"	"13"	"15"	"29"	"7"	"26"	"729"	""	""
"81"	"65"	"14"	"6"	"113"	"288"	"16"	"2"	"2"	"3"	"10"	"0"	"3"	"12"	"23"	"6"	"10"	"18"	"526"	""	""
"82"	"66"	"11"	"2"	"296"	"128"	"14"	"1"	"1"	"4"	"5"	"0"	"1"	"26"	"20"	"38"	"9"	"16"	"572"	""	""
"83"	"67"	"24"	"10"	"173"	"165"	"8"	"0"	"2"	"5"	"0"	"4"	"3"	"11"	"16"	"20"	"7"	"34"	"482"	""	""
"84"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"85"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"87"	"68"	"14"	"7"	"209"	"178"	"6"	"3"	"5"	"1"	"5"	"5"	"3"	"8"	"1"	"5"	"5"	"9"	"464"	""	""
"88"	"69"	"19"	"8"	"258"	"177"	"2"	"5"	"3"	"4"	"2"	"0"	"3"	"13"	"5"	"3"	"0"	"11"	"513"	""	""
"89"	"70"	"31"	"4"	"92"	"182"	"7"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"2"	"7"	"4"	"341"	""	""
"90"	"71"	"29"	"6"	"171"	"168"	"6"	"6"	"5"	"3"	"0"	"3"	"2"	"9"	"10"	"4"	"6"	"2"	"430"	""	""
"91"	"72"	"69"	"7"	"172"	"260"	"7"	"2"	"3"	"4"	"3"	"1"	"4"	"3"	"11"	"10"	"1"	"15"	"572"	""	""
"92"	"73"	"15"	"7"	"189"	"293"	"16"	"1"	"1"	"1"	"3"	"2"	"6"	"17"	"27"	"23"	"8"	"17"	"626"	""	""
"93"	"74"	"23"	"9"	"153"	"331"	"11"	"4"	"6"	"8"	"4"	"4"	"8"	"25"	"37"	"16"	"14"	"30"	"683"	""	""
"94"	"75"	"34"	"0"	"206"	"260"	"5"	"4"	"5"	"1"	"6"	"4"	"3"	"7"	"4"	"9"	"0"	"4"	"552"	""	""
"95"	"76"	"14"	"8"	"369"	"187"	"5"	"1"	"5"	"4"	"4"	"2"	"3"	"3"	"13"	"7"	"5"	"11"	"641"	""	""
"96"	"77"	"11"	"5"	"142"	"257"	"9"	"3"	"4"	"5"	"6"	"0"	"3"	"44"	"9"	"7"	"4"	"7"	"516"	""	""
"97"	"78"	"94"	"7"	"224"	"211"	"5"	"2"	"3"	"7"	"59"	"1"	"1"	"6"	"14"	"13"	"7"	"9"	"663"	""	""
"98"	"79"	"57"	"3"	"91"	"260"	"5"	"2"	"3"	"5"	"48"	"3"	"3"	"18"	"8"	"4"	"0"	"6"	"516"	""	""
"99"	"80"	"15"	"2"	"392"	"85"	"2"	"2"	"0"	"2"	"3"	"3"	"2"	"1"	"1"	"5"	"2"	"3"	"520"	""	""
"100"	"81"	"30"	"2"	"253"	"216"	"6"	"3"	"2"	"2"	"4"	"3"	"4"	"15"	"21"	"25"	"6"	"17"	"609"	""	""
"101"	"82"	"22"	"3"	"137"	"59"	"3"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"4"	"3"	"0"	"4"	"242"	""	""
"102"	"83"	"62"	"1"	"43"	"107"	"4"	"1"	"2"	"1"	"1"	"0"	"1"	"8"	"8"	"3"	"3"	"13"	"258"	""	""
"103"	"84"	"15"	"2"	"213"	"174"	"9"	"3"	"5"	"1"	"16"	"3"	"4"	"13"	"22"	"16"	"4"	"12"	"512"	""	""
"104"	"85"	"38"	"3"	"90"	"174"	"8"	"0"	"1"	"2"	"2"	"0"	"1"	"3"	"8"	"2"	"4"	"6"	"342"	""	""
"105"	"86"	"43"	"6"	"180"	"99"	"3"	"1"	"2"	"5"	"2"	"0"	"4"	"5"	"1"	"5"	"0"	"6"	"362"	""	""
"106"	"87"	"50"	"0"	"223"	"214"	"12"	"0"	"2"	"2"	"3"	"2"	"3"	"12"	"12"	"10"	"5"	"18"	"568"	""	""
"107"	"88"	"48"	"2"	"64"	"236"	"5"	"0"	"2"	"3"	"4"	"2"	"3"	"10"	"12"	"6"	"7"	"5"	"409"	""	""
"108"	"89"	"65"	"7"	"221"	"126"	"3"	"2"	"1"	"2"	"3"	"1"	"6"	"7"	"26"	"42"	"2"	"24"	"538"	""	""
"109"	"90"	"90"	"0"	"66"	"328"	"1"	"0"	"4"	"4"	"17"	"2"	"1"	"8"	"8"	"5"	"2"	"11"	"547"	""	""
"110"	"91"	"50"	"7"	"167"	"73"	"3"	"5"	"5"	"0"	"15"	"0"	"1"	"3"	"2"	"1"	"2"	"9"	"343"	""	""
"111"	"92"	"62"	"5"	"16"	"307"	"14"	"3"	"1"	"4"	"58"	"3"	"3"	"11"	"6"	"1"	"3"	"5"	"502"	""	""
"112"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"113"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"115"	"93"	"133"	"4"	"18"	"221"	"9"	"1"	"0"	"1"	"3"	"1"	"4"	"7"	"16"	"5"	"6"	"16"	"445"	""	""
"116"	"94"	"225"	"9"	"127"	"177"	"8"	"2"	"2"	"1"	"8"	"1"	"3"	"2"	"11"	"4"	"2"	"16"	"598"	""	""
"117"	"95"	"216"	"3"	"31"	"188"	"3"	"2"	"2"	"6"	"82"	"3"	"1"	"2"	"7"	"4"	"2"	"10"	"562"	""	""
"118"	"96"	"106"	"1"	"1"	"80"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"198"	""	""
"119"	"97"	"112"	"4"	"17"	"124"	"5"	"2"	"0"	"0"	"8"	"1"	"1"	"3"	"5"	"0"	"3"	"9"	"294"	""	""
"120"	"98"	"17"	"4"	"161"	"61"	"7"	"3"	"4"	"13"	"187"	"5"	"3"	"7"	"7"	"5"	"3"	"4"	"491"	""	""
"121"	"99"	"24"	"2"	"98"	"117"	"6"	"1"	"1"	"1"	"2"	"1"	"0"	"8"	"10"	"17"	"6"	"9"	"303"	""	""
"122"	"100"	"88"	"9"	"155"	"197"	"11"	"6"	"6"	"1"	"3"	"5"	"6"	"5"	"17"	"13"	"2"	"7"	"531"	""	""
"123"	"101"	"51"	"0"	"45"	"229"	"4"	"1"	"1"	"3"	"4"	"1"	"0"	"5"	"5"	"4"	"3"	"4"	"360"	""	""
"124"	"102"	"61"	"5"	"85"	"148"	"2"	"5"	"3"	"10"	"71"	"2"	"4"	"8"	"12"	"12"	"4"	"19"	"451"	""	""
"125"	"103"	"7"	"3"	"53"	"238"	"6"	"1"	"4"	"4"	"74"	"6"	"3"	"17"	"11"	"8"	"1"	"5"	"441"	""	""
"126"	"104"	"2"	"1"	"71"	"54"	"0"	"0"	"0"	"2"	"10"	"0"	"0"	"2"	"2"	"4"	"0"	"2"	"150"	""	""
"127"	"105"	"2"	"2"	"81"	"80"	"7"	"0"	"1"	"0"	"1"	"2"	"0"	"8"	"9"	"5"	"2"	"7"	"207"	""	""
"128"	"106"	"56"	"6"	"156"	"233"	"6"	"3"	"1"	"8"	"30"	"2"	"9"	"19"	"9"	"11"	"5"	"17"	"571"	""	""
"129"	"107"	"11"	"1"	"139"	"114"	"2"	"0"	"5"	"2"	"0"	"3"	"6"	"11"	"16"	"13"	"4"	"6"	"333"	""	""
"130"	"108"	"9"	"5"	"210"	"194"	"9"	"1"	"6"	"3"	"32"	"5"	"7"	"18"	"18"	"13"	"6"	"22"	"558"	""	""
"131"	"109"	"18"	"3"	"173"	"118"	"8"	"1"	"4"	"3"	"16"	"1"	"2"	"1"	"1"	"8"	"2"	"6"	"365"	""	""
"132"	"110"	"29"	"7"	"350"	"156"	"13"	"6"	"8"	"7"	"64"	"8"	"6"	"22"	"19"	"22"	"8"	"43"	"768"	""	""
"133"	"111"	"30"	"2"	"208"	"84"	"0"	"1"	"0"	"0"	"5"	"1"	"2"	"1"	"1"	"5"	"1"	"4"	"345"	""	""
"134"	"112"	"16"	"2"	"112"	"337"	"16"	"1"	"0"	"4"	"6"	"1"	"7"	"10"	"25"	"18"	"4"	"14"	"573"	""	""
"135"	"113"	"36"	"1"	"50"	"244"	"4"	"1"	"0"	"0"	"2"	"1"	"0"	"6"	"6"	"4"	"4"	"1"	"360"	""	""
"136"	"114"	"22"	"3"	"119"	"111"	"4"	"3"	"3"	"3"	"3"	"2"	"2"	"4"	"4"	"6"	"4"	"3"	"296"	""	""
"137"	"115"	"9"	"3"	"25"	"252"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"5"	"3"	"307"	""	""
"138"	"116"	"17"	"3"	"265"	"209"	"18"	"3"	"6"	"12"	"31"	"6"	"15"	"15"	"13"	"23"	"13"	"26"	"675"	""	""
"139"	"117"	"12"	"6"	"211"	"242"	"7"	"3"	"1"	"3"	"14"	"4"	"4"	"18"	"8"	"7"	"3"	"17"	"560"	""	""
"140"	"Candidates Name ----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"Total No Of Rejected Votes"	"Total No Of Tender Votes"
"141"	""	"ARTI DEVI"	"JAGANNATH SAHANI"	"MAHESHWAR PD. YADAV"	"VEENA DEVI"	"SUMAN KUMAR TIWARY"	"AMRESH KUMAR"	"UMESH PRASAD SINGH"	"GANNI HAIDER"	"JITENDRA YADAV"	"RAMANAND SAHNI"	"KAPILDEO SINGH"	"KRISHNA KUMAR SAHNI"	"GHULAM AHMAD RAZA"	"JITENDRA KUMAR MAJHI"	"RAGHUNANDAN PD. SINGH"	"SURAJ SAHNI"	""	""	""
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"143"	"118"	"7"	"6"	"441"	"208"	"13"	"0"	"2"	"3"	"4"	"3"	"4"	"13"	"16"	"24"	"6"	"19"	"769"	""	""
"144"	"119"	"31"	"9"	"155"	"326"	"5"	"5"	"5"	"2"	"5"	"3"	"1"	"8"	"6"	"13"	"4"	"8"	"586"	""	""
"145"	"120"	"10"	"2"	"117"	"68"	"2"	"2"	"0"	"1"	"1"	"1"	"1"	"0"	"6"	"6"	"1"	"3"	"221"	""	""
"146"	"121"	"28"	"5"	"237"	"68"	"3"	"3"	"168"	"21"	"6"	"9"	"3"	"7"	"5"	"14"	"3"	"18"	"598"	""	""
"147"	"122"	"17"	"6"	"243"	"141"	"8"	"6"	"78"	"27"	"7"	"6"	"5"	"12"	"6"	"6"	"5"	"12"	"585"	""	""
"148"	"123"	"18"	"1"	"206"	"126"	"3"	"3"	"28"	"4"	"2"	"5"	"2"	"9"	"3"	"14"	"3"	"16"	"443"	""	""
"149"	"124"	"8"	"2"	"240"	"90"	"6"	"2"	"42"	"12"	"6"	"4"	"5"	"8"	"4"	"4"	"4"	"12"	"449"	""	""
"150"	"125"	"15"	"7"	"226"	"196"	"6"	"3"	"5"	"1"	"5"	"3"	"1"	"3"	"6"	"10"	"2"	"7"	"496"	""	""
"151"	"125A"	"16"	"6"	"170"	"249"	"10"	"8"	"2"	"3"	"2"	"1"	"2"	"10"	"8"	"0"	"5"	"2"	"494"	""	""
"152"	"126"	"47"	"4"	"204"	"149"	"2"	"0"	"4"	"0"	"1"	"1"	"2"	"7"	"1"	"5"	"1"	"1"	"429"	""	""
