"Candidates.Name"	"JAI.NARAYAN.PRASAD"	"JAIMANGAL.CHOUDHARY"	"DINESH.PRASAD"	"RANJAN.KUMAR.SINGH"	"RAJEEV.KUMAR.URPH.MUNNA.YADAV"	"SHAKAL.DEO.SAHNI"	"RAM.UDESH.RAI"	"LOVE.KUMAR"	"SHANKAR.YADAV"	"GOPAL.PRASAD"	"JITENDRA.PRASAD"	"NANTUN.PASWAN"	"MADHAVI.CHANDRA"	"BIPAT.SAHNI"	"Total"
"85"	75	37	6	336	5	83	6	1	3	5	4	0	6	4	6	502
"86"	76	38	6	160	6	15	577	19	8	7	7	8	8	11	11	881
"87"	77	5	9	50	65	90	39	1	0	4	1	0	0	1	3	268
"88"	78	19	48	333	77	82	43	5	4	2	3	1	3	9	5	634
"89"	79	15	9	207	12	157	72	4	5	1	5	2	2	7	3	501
"90"	80	26	7	248	84	136	38	5	1	2	2	1	1	21	4	576
"91"	81	11	5	57	31	198	152	3	5	3	3	6	4	10	9	497
"92"	NA	5	5	46	42	239	128	4	3	2	6	2	6	10	4	502
"93"	82	26	2	586	12	81	5	1	1	1	2	3	0	13	1	734
"94"	83	48	13	406	167	134	68	10	7	2	7	3	4	8	6	883
"95"	84	15	5	256	34	67	418	9	5	10	4	5	4	3	4	839
"96"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"98"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"99"	85	15	1	11	8	337	36	6	7	2	4	2	4	17	23	473
"100"	86	19	0	41	10	438	85	8	9	4	3	3	4	8	11	643
"101"	87	13	11	90	20	325	21	4	7	4	10	4	8	10	14	541
"102"	88	25	7	364	13	185	69	7	4	2	6	4	10	16	16	728
"103"	89	6	20	121	28	70	130	8	3	1	2	2	5	12	14	422
"104"	NA	13	9	108	36	23	157	8	0	3	1	1	0	4	4	367
"105"	90	21	7	208	19	38	200	10	2	5	1	3	7	10	3	534
"106"	91	19	11	122	79	193	25	8	4	1	10	0	5	10	2	489
"107"	92	8	9	130	77	196	108	5	5	2	8	2	8	35	13	606
"108"	93	29	45	105	21	192	187	6	5	8	4	6	9	54	19	690
"109"	94	13	13	417	58	70	17	6	4	5	4	9	11	36	25	688
"110"	95	8	6	135	299	81	6	2	1	4	5	9	3	8	13	580
"111"	96	6	3	50	278	46	5	1	1	1	7	13	3	7	11	432
"112"	97	10	4	150	210	200	16	13	2	3	9	16	13	9	24	679
"113"	98	14	8	137	243	225	18	5	6	7	11	8	8	17	13	720
"114"	99	5	3	94	217	80	16	3	1	1	6	13	3	11	9	462
"115"	100	4	9	212	164	204	18	9	9	7	8	5	17	17	25	708
"116"	101	6	2	30	16	369	15	7	2	3	6	8	12	9	17	502
"117"	102	50	7	50	23	78	422	17	7	12	6	1	10	6	11	700
"118"	103	19	5	398	81	69	16	2	8	8	7	12	14	14	27	680
"119"	NA	15	11	233	97	46	2	2	4	2	5	10	8	7	14	456
"120"	104	16	9	273	161	122	10	5	11	5	2	2	6	15	8	645
"121"	105	13	4	72	47	86	416	38	3	6	4	7	3	3	11	713
"122"	106	25	53	291	13	151	285	10	4	4	5	5	2	6	3	857
"123"	107	16	17	636	19	68	10	6	3	1	1	2	3	7	3	792
"124"	108	11	70	232	24	94	9	3	3	3	3	1	5	11	17	486
"125"	109	16	27	153	22	272	64	10	10	4	3	2	7	13	25	628
"126"	110	10	46	89	18	111	163	6	4	2	7	4	1	12	11	484
"127"	NA	14	24	57	2	36	326	5	5	8	2	5	1	5	2	492
"128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"131"	111	19	18	384	67	141	269	7	9	6	8	9	5	3	9	954
"132"	112	14	7	247	11	206	62	12	10	4	4	4	3	7	3	594
"133"	113	29	2	107	11	264	178	7	6	1	5	2	6	7	7	632
"134"	114	8	4	288	85	298	36	5	5	3	12	11	13	22	19	809
"135"	115	11	0	211	63	90	3	4	3	3	3	2	3	1	4	401
"136"	116	10	13	319	73	68	30	2	4	4	9	10	19	9	30	600
"137"	117	39	10	215	13	141	307	48	12	15	10	19	16	21	24	890
"138"	118	34	3	58	1	15	358	14	3	4	4	8	2	8	12	524
"139"	119	54	4	198	36	127	208	12	14	11	1	8	6	27	14	720
"140"	120	12	3	275	5	143	18	2	3	3	3	3	5	13	2	490
"141"	121	19	5	503	10	111	11	7	3	3	7	8	11	41	22	761
"142"	122	13	10	213	18	117	24	4	3	2	3	5	4	31	15	462
"143"	123	34	32	292	23	169	21	5	2	2	9	6	9	55	14	673
"144"	124	32	3	85	33	108	401	15	10	13	10	10	4	12	22	758
"145"	125	5	0	75	0	13	2	2	0	1	0	2	0	5	0	105
"146"	126	17	2	132	30	164	16	4	4	5	2	5	2	15	5	403
"147"	127	26	1	119	10	69	4	1	5	3	4	4	2	28	4	280
"148"	128	11	11	256	12	134	9	2	2	2	2	7	6	22	14	490
"149"	129	12	6	444	22	280	36	13	6	10	11	16	14	35	21	926
"150"	130	11	3	255	49	222	8	4	2	9	7	3	8	40	10	631
"151"	131	11	2	217	7	55	5	1	0	0	2	4	3	12	6	325
"152"	132	11	3	196	35	305	4	6	3	5	10	2	8	31	11	630
"153"	133	15	11	368	6	248	59	3	1	8	6	6	7	18	8	764
"154"	134	13	0	218	10	340	44	2	0	5	3	7	12	30	16	700
"155"	135	8	6	71	6	67	116	5	2	5	4	3	6	3	15	317
"156"	136	13	6	64	8	89	362	15	9	11	6	0	4	11	12	610
"157"	137	14	46	210	5	81	237	6	4	3	2	3	3	4	11	629
"158"	138	12	5	316	5	122	13	2	4	2	6	3	10	31	7	538
"159"	139	45	18	366	15	187	137	12	2	5	5	2	6	7	3	810
"160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"162"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"163"	140	20	5	83	18	491	18	5	6	7	14	10	12	24	22	735
"164"	141	17	3	231	8	192	25	5	4	7	23	2	12	21	24	574
"165"	NA	13	3	299	7	111	12	4	2	2	9	1	0	8	6	477
"166"	142	24	8	464	9	88	13	2	1	2	0	3	4	17	3	638
"167"	143	11	0	64	3	106	226	13	1	12	5	11	4	1	6	463
"168"	144	5	1	11	0	703	9	2	0	1	4	4	3	3	5	751
"169"	145	21	7	92	5	133	173	10	3	3	7	0	1	11	7	473
"170"	146	16	0	13	7	355	47	9	0	3	4	3	2	4	6	469
"171"	147	16	1	208	16	163	246	5	4	9	5	8	12	33	10	736
"172"	148	22	4	403	3	97	206	7	9	4	6	5	6	38	10	820
"173"	149	15	7	142	14	293	23	19	8	7	13	7	13	9	32	602
"174"	150	12	2	143	1	47	23	62	2	1	2	1	2	3	2	303
"175"	151	17	0	146	9	40	9	20	5	4	2	0	3	3	3	261
"176"	152	28	16	304	18	72	31	50	5	6	7	9	11	13	30	600
"177"	153	26	7	99	8	240	97	77	6	6	14	2	12	7	11	612
"178"	154	42	21	72	10	195	163	81	16	12	16	7	9	23	39	706
"179"	155	11	4	188	11	31	12	24	5	2	7	6	10	8	18	337
"180"	156	8	1	22	2	407	5	57	4	1	1	3	6	6	3	526
"181"	157	36	9	18	7	375	45	30	6	5	4	2	2	5	8	552
"182"	158	23	1	127	16	145	16	94	12	7	12	4	4	8	10	479
"183"	NA	18	8	82	26	203	13	69	5	4	10	3	22	7	5	475
"184"	159	29	2	387	4	183	12	26	2	4	1	3	8	3	9	673
"185"	160	26	8	206	11	191	31	55	6	9	4	6	3	10	12	578
"186"	161	107	10	23	38	132	46	107	4	10	8	8	3	11	18	525
"187"	162	17	8	137	7	209	42	6	6	2	18	4	10	41	16	523
"188"	NA	15	2	214	1	64	161	4	4	3	6	2	1	14	6	497
"189"	163	3	1	59	2	390	46	0	0	0	2	0	0	2	1	506
"190"	164	16	13	319	11	208	16	6	5	5	28	8	17	26	17	695
"191"	165	11	3	93	9	258	21	5	7	5	35	5	4	10	8	474
"192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"195"	166	7	4	117	8	173	33	3	4	7	15	3	1	17	9	401
"196"	167	27	3	176	2	302	17	4	5	2	3	2	9	19	13	584
"197"	168	27	7	448	35	197	32	12	5	8	28	6	13	18	27	863
"198"	169	11	4	105	3	104	14	1	3	3	4	1	2	6	2	263
"199"	170	17	3	250	12	351	12	8	3	3	11	1	3	14	13	701
"200"	171	18	11	486	8	132	18	5	4	2	19	6	10	16	21	756
"201"	172	14	15	302	50	159	70	8	9	5	9	7	12	32	21	713
"202"	173	15	13	145	6	160	176	8	5	10	10	5	7	14	29	603
"203"	174	14	12	243	8	44	50	20	2	4	7	2	6	10	18	440
"204"	175	8	22	220	2	74	78	6	4	2	5	2	4	8	12	447
"205"	176	43	13	224	33	75	30	8	1	3	3	3	7	28	19	490
"206"	177	21	24	211	40	128	152	13	2	4	6	6	16	49	17	689
"207"	178	12	2	250	22	32	31	10	4	5	6	6	17	5	17	419
"208"	179	50	9	307	20	140	84	19	11	7	6	10	15	18	24	720
"209"	180	21	4	35	12	192	39	10	3	5	8	4	2	9	8	352
"210"	181	6	2	38	7	124	54	5	1	1	1	2	1	4	8	254
"211"	182	13	2	26	8	164	40	3	1	1	0	2	7	5	1	273
"212"	183	2	2	66	20	105	226	18	2	9	7	4	12	8	21	502
"213"	184	6	5	49	4	182	68	27	5	2	4	1	6	10	19	388
"214"	185	8	0	8	0	3	560	17	3	1	1	0	0	0	3	604
"215"	186	142	7	103	8	95	93	21	2	2	9	7	9	11	17	526
"216"	187	23	5	140	13	133	127	60	9	11	7	6	6	15	22	577
"217"	188	19	6	20	15	524	20	9	7	7	11	3	11	6	18	676
"218"	189	20	1	348	5	344	33	13	5	1	5	3	3	15	4	800
"219"	190	13	10	197	7	381	10	5	2	2	6	3	5	28	7	676
"220"	191	12	4	192	11	420	24	7	5	5	6	5	6	13	19	729
"221"	192	4	3	322	8	77	22	8	2	2	6	5	13	77	22	571
"222"	193	12	5	304	3	67	15	1	1	3	9	4	12	111	12	559
"223"	194	12	7	277	20	145	33	15	9	7	7	5	8	37	5	587
"224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	195	9	6	83	13	206	73	12	4	4	7	1	7	23	5	453
"228"	196	13	2	198	10	160	117	13	7	6	5	6	2	14	18	571
"229"	197	17	9	281	33	273	119	19	8	9	11	12	21	11	13	836
"230"	198	13	6	296	13	127	80	8	5	4	4	4	15	8	27	610
"231"	199	9	1	261	12	322	21	6	4	5	8	2	12	12	17	692
"232"	200	25	38	268	9	333	19	10	4	5	14	7	18	31	29	810
"233"	201	16	5	90	3	299	43	19	1	4	5	3	12	15	19	534
"234"	202	9	4	117	14	256	39	8	4	9	14	10	16	19	43	562
"235"	203	14	2	76	6	211	9	4	1	4	7	2	12	14	13	375
"236"	204	19	4	377	22	184	10	12	3	7	6	3	29	28	26	730
"237"	205	15	7	12	7	441	188	37	5	4	10	5	7	15	26	779
"238"	206	21	4	137	7	306	29	9	0	1	2	3	18	28	27	592
"239"	207	26	4	186	16	60	7	5	2	1	3	4	5	3	5	327
"240"	208	25	15	358	21	104	85	10	4	5	5	3	4	53	11	703
"241"	209	24	17	308	32	307	93	29	5	9	11	15	17	23	24	914
"242"	210	19	9	345	17	71	89	12	9	7	10	11	15	48	18	680
"243"	211	16	12	272	9	299	43	11	2	4	3	6	3	10	10	700
"244"	212	55	5	193	8	501	29	8	3	3	15	9	15	18	36	898
"245"	213	30	2	211	0	136	65	4	1	4	5	3	9	12	12	494
"246"	214	9	3	291	22	156	15	10	31	2	2	4	5	15	8	573
"247"	NA	4154	2343	42209	6752	36776	15325	2297	NA	978	1686	1069	NA	NA	2906	123894
"248"	NA	NA	NA	NA	NA	NA	NA	NA	918	NA	NA	NA	1590	4891	NA	NA
"249"	NA	2	9	77	14	108	21	1	0	0	1	0	0	7	0	240
"250"	NA	4156	2352	42286	6766	36884	15346	2298	918	978	1687	1069	1590	4898	2906	124134
"251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	19
"255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
