"No.of.Valid.Votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"16"	"14"	""	"102"	"100"	"13"	"215"	"9"	"4"	"4"	"5"	"4"	"4"	"4"	"464"
"17"	"15"	""	"311"	"27"	"14"	"213"	"7"	"1"	"8"	"3"	"6"	"13"	"13"	"616"
"18"	"16"	""	"336"	"40"	"7"	"157"	"5"	"3"	"6"	"0"	"6"	"14"	"10"	"584"
"19"	"17"	""	"230"	"16"	"9"	"159"	"6"	"2"	"8"	"5"	"8"	"10"	"22"	"475"
"20"	"18"	""	"291"	"183"	"16"	"230"	"8"	"5"	"8"	"1"	"10"	"12"	"10"	"774"
"21"	"19"	""	"291"	"78"	"5"	"38"	"7"	"2"	"13"	"3"	"5"	"11"	"16"	"469"
"22"	"20"	""	"184"	"61"	"1"	"110"	"6"	"1"	"4"	"5"	"7"	"38"	"32"	"449"
"23"	"21"	""	"46"	"7"	"0"	"146"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"206"
"24"	"22"	""	"95"	"7"	"2"	"136"	"7"	"1"	"5"	"2"	"2"	"4"	"9"	"270"
"25"	"23"	""	"124"	"123"	"6"	"59"	"0"	"1"	"2"	"2"	"3"	"2"	"5"	"327"
"26"	"24"	""	"233"	"59"	"17"	"189"	"6"	"4"	"10"	"5"	"10"	"9"	"27"	"569"
"27"	"25"	""	"286"	"83"	"15"	"163"	"11"	"6"	"12"	"5"	"4"	"11"	"19"	"615"
"28"	"26"	""	"174"	"98"	"6"	"86"	"5"	"2"	"2"	"1"	"1"	"5"	"19"	"399"
"29"	"27"	""	"363"	"17"	"2"	"182"	"3"	"1"	"10"	"6"	"6"	"16"	"49"	"655"
"30"	"28"	""	"280"	"4"	"1"	"51"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"344"
"31"	"29"	""	"179"	"5"	"4"	"7"	"0"	"1"	"0"	"0"	"0"	"2"	"7"	"205"
"32"	"30"	""	"220"	"248"	"18"	"68"	"8"	"3"	"6"	"4"	"4"	"7"	"14"	"600"
"33"	"31"	""	"253"	"40"	"2"	"60"	"4"	"1"	"5"	"2"	"3"	"8"	"19"	"397"
"34"	"32"	""	"67"	"80"	"6"	"237"	"15"	"7"	"16"	"3"	"5"	"15"	"21"	"472"
"35"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"37"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"38"	"33"	""	"102"	"90"	"7"	"226"	"8"	"2"	"6"	"3"	"6"	"3"	"6"	"459"
"39"	"34"	""	"53"	"9"	"2"	"356"	"5"	"1"	"8"	"5"	"5"	"15"	"4"	"463"
"40"	"35"	""	"215"	"20"	"1"	"25"	"3"	"0"	"0"	"0"	"1"	"1"	"12"	"278"
"41"	"36"	""	"95"	"109"	"6"	"148"	"10"	"3"	"0"	"4"	"4"	"11"	"15"	"405"
"42"	"37"	""	"93"	"76"	"11"	"215"	"2"	"1"	"4"	"2"	"3"	"6"	"9"	"422"
"43"	"38"	""	"105"	"15"	"1"	"132"	"5"	"0"	"5"	"2"	"2"	"3"	"17"	"287"
"44"	"39"	""	"61"	"8"	"1"	"111"	"7"	"0"	"2"	"4"	"2"	"3"	"17"	"216"
"45"	"40"	""	"53"	"4"	"3"	"136"	"3"	"1"	"2"	"2"	"1"	"3"	"7"	"215"
"46"	"41"	""	"65"	"19"	"1"	"201"	"3"	"1"	"2"	"2"	"3"	"2"	"6"	"305"
"47"	"42"	""	"73"	"121"	"11"	"156"	"6"	"3"	"3"	"0"	"2"	"3"	"3"	"381"
"48"	"43"	""	"252"	"46"	"6"	"137"	"3"	"1"	"7"	"4"	"4"	"11"	"17"	"488"
"49"	"44"	""	"30"	"6"	"0"	"357"	"9"	"3"	"1"	"3"	"5"	"2"	"14"	"430"
"50"	"45"	""	"219"	"29"	"12"	"224"	"6"	"4"	"6"	"3"	"5"	"5"	"10"	"523"
"51"	"46"	""	"161"	"9"	"0"	"281"	"6"	"1"	"0"	"8"	"3"	"0"	"10"	"479"
"52"	"47"	""	"247"	"42"	"2"	"24"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	"322"
"53"	"48"	""	"298"	"37"	"4"	"16"	"0"	"1"	"3"	"4"	"3"	"1"	"1"	"368"
"54"	"49"	""	"375"	"8"	"1"	"18"	"0"	"1"	"0"	"0"	"0"	"3"	"2"	"408"
"55"	"50"	""	"223"	"39"	"15"	"292"	"12"	"7"	"3"	"4"	"7"	"4"	"12"	"618"
"56"	"51"	""	"139"	"2"	"2"	"305"	"4"	"0"	"1"	"2"	"0"	"3"	"7"	"465"
"57"	"52"	""	"140"	"6"	"1"	"84"	"1"	"0"	"0"	"1"	"2"	"1"	"9"	"245"
"58"	"53"	""	"165"	"55"	"7"	"114"	"8"	"2"	"1"	"3"	"2"	"0"	"6"	"363"
"59"	"54"	""	"133"	"85"	"5"	"192"	"2"	"1"	"1"	"0"	"2"	"2"	"14"	"437"
"60"	"55"	""	"263"	"140"	"62"	"55"	"6"	"3"	"13"	"4"	"7"	"5"	"19"	"577"
"61"	"56"	""	"56"	"98"	"6"	"143"	"2"	"4"	"1"	"2"	"1"	"1"	"8"	"322"
"62"	"57"	""	"164"	"28"	"5"	"150"	"4"	"2"	"1"	"5"	"4"	"2"	"15"	"380"
"63"	"58"	""	"147"	"28"	"8"	"196"	"18"	"6"	"11"	"8"	"4"	"2"	"29"	"457"
"64"	"59"	""	"420"	"41"	"7"	"135"	"6"	"3"	"4"	"3"	"3"	"2"	"8"	"632"
"65"	"60"	""	"248"	"22"	"3"	"200"	"11"	"2"	"6"	"4"	"4"	"3"	"13"	"516"
"66"	"61"	""	"168"	"5"	"2"	"83"	"1"	"0"	"3"	"2"	"2"	"2"	"12"	"280"
"67"	"62"	""	"100"	"6"	"7"	"438"	"6"	"5"	"3"	"5"	"6"	"7"	"18"	"601"
"68"	"63"	""	"219"	"212"	"2"	"206"	"6"	"4"	"3"	"1"	"13"	"5"	"10"	"681"
"69"	"64"	""	"180"	"8"	"4"	"295"	"6"	"2"	"4"	"2"	"4"	"4"	"7"	"516"
"70"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"73"	"65"	""	"301"	"11"	"3"	"131"	"5"	"2"	"6"	"1"	"15"	"5"	"9"	"489"
"74"	"66"	""	"137"	"4"	"1"	"190"	"9"	"1"	"3"	"2"	"12"	"10"	"18"	"387"
"75"	"67"	""	"364"	"107"	"19"	"137"	"25"	"1"	"6"	"5"	"10"	"22"	"31"	"727"
"76"	"68"	""	"101"	"9"	"6"	"56"	"18"	"0"	"1"	"1"	"3"	"3"	"4"	"202"
"77"	"69"	""	"294"	"21"	"1"	"25"	"8"	"2"	"3"	"1"	"4"	"12"	"9"	"380"
"78"	"70"	""	"219"	"8"	"2"	"178"	"7"	"2"	"3"	"4"	"5"	"6"	"22"	"456"
"79"	"71"	""	"131"	"5"	"1"	"109"	"2"	"0"	"3"	"0"	"1"	"1"	"2"	"255"
"80"	"72"	""	"407"	"142"	"6"	"112"	"6"	"1"	"3"	"1"	"7"	"6"	"7"	"698"
"81"	"73"	""	"229"	"14"	"7"	"229"	"5"	"3"	"8"	"3"	"2"	"8"	"15"	"523"
"82"	"74"	""	"160"	"13"	"5"	"118"	"9"	"2"	"5"	"7"	"4"	"9"	"24"	"356"
"83"	"75"	""	"181"	"15"	"4"	"83"	"4"	"1"	"1"	"4"	"5"	"13"	"24"	"335"
"84"	"76"	""	"445"	"26"	"7"	"133"	"4"	"4"	"4"	"2"	"5"	"3"	"23"	"656"
"85"	"77"	""	"311"	"65"	"4"	"158"	"7"	"4"	"15"	"8"	"9"	"14"	"43"	"638"
"86"	"78"	""	"304"	"138"	"13"	"130"	"14"	"2"	"12"	"5"	"5"	"14"	"25"	"662"
"87"	"79"	""	"304"	"74"	"11"	"115"	"5"	"1"	"13"	"1"	"4"	"3"	"11"	"542"
"88"	"80"	""	"160"	"206"	"9"	"46"	"4"	"0"	"5"	"0"	"2"	"5"	"10"	"447"
"89"	"81"	""	"182"	"41"	"3"	"92"	"9"	"1"	"4"	"1"	"2"	"11"	"4"	"350"
"90"	"82"	""	"289"	"35"	"6"	"99"	"3"	"1"	"3"	"1"	"1"	"25"	"26"	"489"
"91"	"83"	""	"361"	"30"	"3"	"69"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"470"
"92"	"84"	""	"307"	"50"	"0"	"36"	"1"	"2"	"1"	"2"	"0"	"1"	"2"	"402"
"93"	"85"	""	"371"	"7"	"2"	"9"	"1"	"0"	"1"	"0"	"2"	"2"	"6"	"401"
"94"	"86"	""	"316"	"10"	"1"	"37"	"0"	"0"	"3"	"0"	"2"	"2"	"4"	"375"
"95"	"87"	""	"453"	"36"	"2"	"59"	"5"	"1"	"7"	"1"	"6"	"16"	"30"	"616"
"96"	"88"	""	"362"	"37"	"4"	"37"	"1"	"0"	"1"	"0"	"0"	"3"	"6"	"451"
"97"	"89"	""	"244"	"45"	"1"	"139"	"2"	"0"	"6"	"2"	"3"	"7"	"12"	"461"
"98"	"90"	""	"309"	"15"	"5"	"130"	"5"	"1"	"5"	"2"	"5"	"12"	"10"	"499"
"99"	"91"	""	"234"	"13"	"5"	"212"	"6"	"1"	"9"	"4"	"6"	"60"	"27"	"577"
"100"	"92"	""	"408"	"26"	"3"	"30"	"3"	"2"	"6"	"0"	"2"	"4"	"6"	"490"
"101"	"93"	""	"409"	"69"	"0"	"39"	"1"	"0"	"4"	"1"	"2"	"6"	"12"	"543"
"102"	"94"	""	"404"	"47"	"3"	"55"	"5"	"2"	"0"	"1"	"4"	"6"	"13"	"540"
"103"	"95"	""	"185"	"30"	"6"	"131"	"4"	"1"	"2"	"3"	"2"	"21"	"9"	"394"
"104"	"96"	""	"120"	"5"	"1"	"41"	"0"	"0"	"1"	"1"	"1"	"20"	"6"	"196"
"105"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"108"	"97"	""	"274"	"32"	"2"	"117"	"3"	"1"	"2"	"1"	"2"	"14"	"22"	"470"
"109"	"98"	""	"492"	"24"	"8"	"68"	"5"	"0"	"4"	"1"	"4"	"20"	"16"	"642"
"110"	"99"	""	"304"	"16"	"4"	"72"	"2"	"5"	"2"	"2"	"5"	"29"	"4"	"445"
"111"	"100"	""	"394"	"9"	"1"	"84"	"5"	"0"	"3"	"1"	"2"	"3"	"12"	"514"
"112"	"101"	""	"315"	"6"	"0"	"28"	"0"	"3"	"5"	"2"	"2"	"5"	"16"	"382"
"113"	"102"	""	"187"	"17"	"2"	"193"	"10"	"1"	"3"	"0"	"7"	"14"	"28"	"462"
"114"	"103"	""	"441"	"54"	"8"	"260"	"8"	"5"	"8"	"4"	"7"	"7"	"30"	"832"
"115"	"104"	""	"97"	"27"	"1"	"12"	"1"	"2"	"2"	"1"	"0"	"0"	"3"	"146"
"116"	"105"	""	"250"	"17"	"1"	"114"	"5"	"1"	"3"	"5"	"6"	"44"	"5"	"451"
"117"	"106"	""	"324"	"20"	"3"	"90"	"3"	"0"	"5"	"1"	"1"	"24"	"6"	"477"
"118"	"107"	""	"159"	"26"	"3"	"165"	"7"	"1"	"2"	"1"	"1"	"14"	"8"	"387"
"119"	"108"	""	"310"	"32"	"9"	"229"	"11"	"5"	"11"	"8"	"12"	"54"	"37"	"718"
"120"	"109"	""	"230"	"21"	"2"	"79"	"4"	"1"	"3"	"4"	"6"	"32"	"19"	"401"
"121"	"110"	""	"171"	"12"	"2"	"39"	"2"	"0"	"0"	"0"	"0"	"17"	"2"	"245"
"122"	"111"	""	"234"	"11"	"1"	"41"	"0"	"1"	"5"	"0"	"2"	"9"	"2"	"306"
"123"	"112"	""	"325"	"44"	"8"	"32"	"0"	"1"	"1"	"2"	"0"	"14"	"16"	"443"
"124"	"113"	""	"179"	"13"	"2"	"26"	"1"	"1"	"3"	"0"	"3"	"14"	"4"	"246"
"125"	"114"	""	"386"	"44"	"4"	"100"	"4"	"0"	"6"	"5"	"9"	"136"	"16"	"710"
"126"	"115"	""	"403"	"69"	"3"	"74"	"4"	"5"	"9"	"2"	"8"	"20"	"39"	"636"
"127"	"116"	""	"340"	"19"	"4"	"83"	"5"	"3"	"7"	"3"	"5"	"50"	"8"	"527"
"128"	"117"	""	"204"	"21"	"4"	"134"	"3"	"2"	"4"	"3"	"7"	"32"	"23"	"437"
"129"	"118"	""	"208"	"37"	"2"	"107"	"6"	"1"	"8"	"1"	"8"	"13"	"24"	"415"
"130"	"119"	""	"234"	"22"	"8"	"130"	"10"	"1"	"9"	"0"	"8"	"26"	"10"	"458"
"131"	"120"	""	"242"	"26"	"8"	"147"	"4"	"1"	"3"	"3"	"9"	"17"	"18"	"478"
"132"	"121"	""	"140"	"44"	"22"	"116"	"10"	"3"	"5"	"2"	"5"	"11"	"24"	"382"
"133"	"122"	""	"218"	"33"	"6"	"181"	"6"	"3"	"3"	"3"	"4"	"13"	"13"	"483"
"134"	"123"	""	"248"	"35"	"0"	"198"	"8"	"0"	"3"	"3"	"3"	"19"	"10"	"527"
"135"	"124"	""	"263"	"50"	"5"	"315"	"12"	"1"	"2"	"2"	"5"	"15"	"22"	"692"
"136"	"125"	""	"232"	"61"	"2"	"129"	"4"	"2"	"4"	"2"	"4"	"1"	"19"	"460"
"137"	"126"	""	"233"	"9"	"3"	"28"	"1"	"0"	"0"	"0"	"3"	"7"	"28"	"312"
"138"	"127"	""	"287"	"84"	"8"	"82"	"6"	"1"	"10"	"0"	"9"	"23"	"19"	"529"
"139"	"128"	""	"221"	"78"	"7"	"137"	"2"	"4"	"2"	"2"	"6"	"63"	"15"	"537"
"140"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"142"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"143"	"129"	""	"392"	"17"	"1"	"38"	"2"	"1"	"0"	"1"	"3"	"11"	"17"	"483"
"144"	"130"	""	"235"	"136"	"6"	"134"	"6"	"3"	"6"	"1"	"1"	"2"	"10"	"540"
"145"	"131"	""	"299"	"64"	"8"	"202"	"3"	"2"	"3"	"7"	"5"	"4"	"11"	"608"
"146"	"132"	""	"46"	"223"	"15"	"19"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"310"
"147"	"133"	""	"154"	"33"	"9"	"59"	"7"	"1"	"3"	"5"	"4"	"3"	"16"	"294"
"148"	"134"	""	"111"	"261"	"16"	"30"	"1"	"2"	"2"	"4"	"6"	"6"	"17"	"456"
"149"	"135"	""	"247"	"220"	"21"	"112"	"4"	"0"	"9"	"6"	"5"	"8"	"36"	"668"
"150"	"136"	""	"83"	"30"	"1"	"9"	"1"	"0"	"0"	"3"	"3"	"18"	"10"	"158"
"151"	"137"	""	"243"	"25"	"2"	"120"	"8"	"3"	"5"	"8"	"13"	"21"	"48"	"496"
"152"	"138"	""	"249"	"18"	"6"	"233"	"5"	"1"	"3"	"0"	"2"	"14"	"9"	"540"
"153"	"139"	""	"46"	"172"	"9"	"100"	"3"	"0"	"0"	"2"	"3"	"0"	"5"	"340"
"154"	"140"	""	"363"	"20"	"5"	"54"	"9"	"1"	"2"	"4"	"3"	"9"	"13"	"483"
"155"	"141"	""	"301"	"22"	"4"	"110"	"2"	"1"	"9"	"2"	"7"	"15"	"27"	"500"
"156"	"142"	""	"415"	"9"	"4"	"45"	"3"	"3"	"4"	"2"	"4"	"3"	"21"	"513"
"157"	"143"	""	"170"	"124"	"8"	"220"	"15"	"2"	"10"	"4"	"4"	"6"	"15"	"578"
"158"	"144"	""	"458"	"12"	"7"	"343"	"15"	"4"	"12"	"6"	"10"	"14"	"29"	"910"
"159"	"145"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"160"	"146"	""	"55"	"16"	"5"	"484"	"20"	"3"	"4"	"2"	"4"	"3"	"5"	"601"
"161"	"147"	""	"62"	"13"	"11"	"266"	"12"	"1"	"2"	"5"	"4"	"4"	"13"	"393"
"162"	"148"	""	"173"	"11"	"4"	"324"	"17"	"5"	"9"	"7"	"5"	"8"	"33"	"596"
"163"	"149"	""	"176"	"20"	"8"	"368"	"19"	"7"	"7"	"9"	"10"	"14"	"56"	"694"
"164"	"150"	""	"87"	"4"	"7"	"325"	"12"	"5"	"5"	"0"	"1"	"7"	"22"	"475"
"165"	"151"	""	"272"	"28"	"12"	"270"	"19"	"4"	"11"	"11"	"13"	"14"	"54"	"708"
"166"	"152"	""	"357"	"112"	"49"	"269"	"5"	"1"	"3"	"4"	"3"	"5"	"17"	"825"
"167"	"153"	""	"212"	"16"	"4"	"591"	"21"	"3"	"3"	"3"	"1"	"5"	"15"	"874"
"168"	"154"	""	"433"	"10"	"5"	"70"	"2"	"0"	"3"	"2"	"0"	"7"	"20"	"552"
"169"	"155"	""	"308"	"14"	"9"	"103"	"6"	"0"	"6"	"7"	"3"	"2"	"9"	"467"
"170"	"156"	""	"512"	"12"	"1"	"42"	"4"	"0"	"6"	"3"	"5"	"5"	"17"	"607"
"171"	"157"	""	"331"	"6"	"4"	"59"	"2"	"1"	"0"	"2"	"3"	"8"	"51"	"467"
"172"	"158"	""	"381"	"37"	"1"	"72"	"3"	"0"	"2"	"1"	"3"	"2"	"14"	"516"
"173"	"159"	""	"466"	"14"	"2"	"143"	"7"	"2"	"9"	"5"	"7"	"6"	"35"	"696"
"174"	"160"	""	"175"	"13"	"3"	"34"	"1"	"0"	"2"	"0"	"1"	"1"	"14"	"244"
"175"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"177"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"178"	"161"	""	"300"	"7"	"13"	"200"	"11"	"3"	"16"	"8"	"17"	"17"	"107"	"699"
"179"	"162"	""	"488"	"11"	"5"	"200"	"16"	"4"	"5"	"3"	"3"	"3"	"31"	"769"
"180"	"163"	""	"320"	"116"	"19"	"273"	"13"	"3"	"12"	"6"	"8"	"24"	"25"	"819"
"181"	"164"	""	"398"	"29"	"4"	"114"	"2"	"1"	"1"	"1"	"1"	"11"	"5"	"567"
"182"	"165"	""	"207"	"28"	"8"	"147"	"12"	"4"	"3"	"6"	"7"	"7"	"7"	"436"
"183"	"166"	""	"166"	"26"	"6"	"301"	"13"	"6"	"5"	"10"	"6"	"7"	"16"	"562"
"184"	"167"	""	"227"	"20"	"4"	"72"	"3"	"2"	"3"	"2"	"3"	"3"	"2"	"341"
"185"	"168"	""	"320"	"19"	"20"	"336"	"15"	"2"	"10"	"9"	"13"	"22"	"29"	"795"
"186"	"169"	""	"408"	"11"	"0"	"33"	"2"	"0"	"3"	"2"	"1"	"1"	"17"	"478"
"187"	"170"	""	"40"	"3"	"5"	"330"	"7"	"2"	"3"	"6"	"6"	"1"	"17"	"420"
"188"	"171"	""	"68"	"8"	"9"	"717"	"12"	"2"	"5"	"2"	"3"	"2"	"8"	"836"
"189"	"172"	""	"268"	"4"	"8"	"64"	"2"	"0"	"1"	"1"	"3"	"0"	"13"	"364"
"190"	"173"	""	"250"	"12"	"2"	"263"	"12"	"6"	"12"	"9"	"11"	"19"	"37"	"633"
"191"	"174"	""	"189"	"14"	"20"	"335"	"20"	"8"	"1"	"8"	"3"	"13"	"21"	"632"
"192"	"175"	""	"231"	"21"	"9"	"130"	"10"	"2"	"3"	"3"	"7"	"2"	"16"	"434"
"193"	"176"	""	"172"	"11"	"12"	"178"	"8"	"8"	"8"	"7"	"6"	"6"	"64"	"480"
"194"	"177"	""	"347"	"18"	"2"	"203"	"4"	"3"	"2"	"3"	"7"	"7"	"22"	"618"
"195"	"178"	""	"362"	"10"	"7"	"165"	"9"	"4"	"6"	"8"	"14"	"12"	"36"	"633"
"196"	"179"	""	"408"	"31"	"29"	"105"	"9"	"5"	"5"	"1"	"6"	"8"	"33"	"640"
"197"	"180"	""	"234"	"5"	"4"	"204"	"14"	"3"	"11"	"2"	"9"	"10"	"45"	"541"
"198"	"181"	""	"170"	"11"	"11"	"346"	"33"	"9"	"9"	"10"	"10"	"10"	"57"	"676"
"199"	"182"	""	"494"	"8"	"1"	"4"	"1"	"6"	"2"	"0"	"0"	"1"	"6"	"523"
"200"	"183"	""	"246"	"34"	"3"	"121"	"6"	"2"	"6"	"2"	"4"	"5"	"13"	"442"
"201"	"184"	""	"142"	"16"	"6"	"201"	"11"	"4"	"3"	"2"	"1"	"2"	"7"	"395"
"202"	"185"	""	"27"	"3"	"1"	"206"	"4"	"2"	"1"	"2"	"4"	"2"	"2"	"254"
"203"	"186"	""	"17"	"9"	"1"	"227"	"3"	"1"	"0"	"1"	"2"	"0"	"12"	"273"
"204"	"187"	""	"378"	"20"	"16"	"220"	"9"	"8"	"15"	"9"	"7"	"12"	"44"	"738"
"205"	"188"	""	"298"	"14"	"1"	"128"	"9"	"2"	"5"	"7"	"7"	"4"	"11"	"486"
"206"	"189"	""	"343"	"83"	"4"	"250"	"13"	"4"	"4"	"7"	"7"	"12"	"46"	"773"
"207"	"190"	""	"329"	"11"	"6"	"73"	"5"	"1"	"2"	"3"	"2"	"6"	"13"	"451"
"208"	"190"	"A"	"231"	"18"	"0"	"68"	"3"	"0"	"2"	"1"	"6"	"10"	"17"	"356"
"209"	"191"	""	"244"	"90"	"44"	"177"	"16"	"7"	"6"	"7"	"17"	"13"	"33"	"654"
"210"	"No of Valid Votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Booth No"	"Booth Ext"	"AJAY PRATAP"	"ARJUN MANDAL"	"POONAM KUMARI"	"VIJAY PRAKASH"	"NISHANT PARTHSART HI"	"SHIV SHANKAR SAW"	"SAGAR SAW"	"ASHOK KUMAR"	"NAVIN KUMAR"	"PRAKASH KUMAR BHAGAT"	"MAHAVIR YADAV"	"Total valid Votes"
"212"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""
"213"	"192"	""	"321"	"93"	"20"	"258"	"11"	"5"	"4"	"8"	"7"	"18"	"11"	"756"
"214"	"193"	""	"291"	"32"	"6"	"151"	"9"	"4"	"13"	"8"	"28"	"89"	"40"	"671"
"215"	"194"	""	"393"	"11"	"1"	"163"	"2"	"2"	"7"	"2"	"4"	"15"	"29"	"629"
"216"	"195"	""	"108"	"5"	"9"	"283"	"8"	"2"	"7"	"8"	"3"	"5"	"29"	"467"
"217"	"196"	""	"338"	"95"	"12"	"194"	"9"	"6"	"8"	"9"	"6"	"15"	"31"	"723"
"218"	"197"	""	"264"	"12"	"2"	"61"	"1"	"1"	"4"	"2"	"2"	"9"	"19"	"377"
"219"	"198"	""	"278"	"98"	"11"	"81"	"3"	"4"	"14"	"5"	"8"	"13"	"20"	"535"
"220"	"199"	""	"135"	"296"	"6"	"61"	"6"	"0"	"3"	"5"	"3"	"12"	"16"	"543"
"221"	"200"	""	"310"	"37"	"4"	"125"	"3"	"2"	"1"	"7"	"8"	"9"	"22"	"528"
"222"	"201"	""	"280"	"39"	"7"	"130"	"4"	"0"	"9"	"13"	"6"	"12"	"27"	"527"
"223"	"202"	""	"95"	"79"	"8"	"175"	"7"	"3"	"5"	"6"	"5"	"6"	"8"	"397"
