"Polling.Station.No."	"Arvind.Kumar.Akela"	"Kahkasha.Parveen"	"Shobhakant.Mandal"	"Shree.Niwas.Mandal"	"Sadanand.Singh"	"Sunita.Devi"	"Dipak.Kumar"	"Dev.Narayan.Yadav"	"Raju.Ranjana"	"Ram.Kumar.Singh"	"Byomkesh.Mandal"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No..........of.Tendered.Votes"
"61"	"52"	46	206	218	41	132	1	3	2	5	3	10	667	0	667	NA
"62"	"53"	41	131	26	49	185	7	3	5	4	2	25	478	0	478	NA
"63"	"54"	11	176	77	17	35	3	2	1	0	2	10	334	0	334	NA
"64"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"66"	"55"	70	84	20	15	154	14	6	1	5	1	14	384	0	384	NA
"67"	"56"	26	72	558	26	67	5	6	8	9	7	35	819	0	819	NA
"68"	"57"	299	110	19	17	126	3	2	2	3	2	6	589	0	589	NA
"69"	"58"	12	42	3	4	175	10	7	0	0	3	20	276	0	276	NA
"70"	"59"	20	126	52	27	180	9	6	6	1	3	15	445	0	445	NA
"71"	"60"	20	161	36	28	108	0	5	3	0	3	5	369	0	369	NA
"72"	"61"	30	53	14	14	287	4	7	5	7	3	141	565	0	565	NA
"73"	"62"	68	132	27	24	165	5	2	1	3	1	6	434	0	434	NA
"74"	"63"	53	226	97	36	241	7	7	3	1	4	16	691	0	691	NA
"75"	"64"	11	126	52	20	138	1	1	1	0	2	14	366	0	366	NA
"76"	"65"	78	177	58	24	187	3	6	3	2	6	10	554	0	554	NA
"77"	"66"	67	151	67	101	92	2	4	5	1	2	6	498	0	498	NA
"78"	"67"	23	339	6	14	18	0	1	0	1	3	5	410	0	410	NA
"79"	"68"	72	136	33	34	248	7	10	2	3	5	11	561	0	561	NA
"80"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"82"	"69"	47	266	5	32	166	6	4	1	3	5	10	545	0	545	NA
"83"	"70"	52	235	4	30	182	4	5	1	1	2	7	523	0	523	NA
"84"	"71"	23	56	33	13	163	3	0	1	1	2	6	301	0	301	NA
"85"	"72"	8	208	37	20	96	2	1	1	1	1	12	387	0	387	NA
"86"	"73"	41	49	20	41	93	2	1	0	2	0	10	259	0	259	NA
"87"	"74"	37	81	13	46	196	1	5	2	1	3	12	397	0	397	NA
"88"	"75"	33	194	65	59	125	3	5	4	7	5	8	508	0	508	NA
"89"	"76"	15	108	172	45	245	22	16	10	8	4	50	695	0	695	NA
"90"	"77"	17	113	88	27	67	1	1	4	1	2	13	334	0	334	NA
"91"	"78"	50	123	190	23	64	3	3	2	3	5	5	471	0	471	NA
"92"	"79"	14	117	11	36	205	1	5	3	6	3	12	413	0	413	NA
"93"	"80"	10	80	18	12	125	3	9	4	1	1	6	269	0	269	NA
"94"	"81"	32	55	46	15	159	14	7	3	2	2	19	354	0	354	NA
"95"	"82"	3	64	8	10	51	1	1	1	2	1	5	147	0	147	NA
"96"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"98"	"83"	19	51	372	22	57	4	7	8	16	4	14	574	0	574	NA
"99"	"84"	21	98	175	34	188	5	5	3	8	2	26	565	0	565	NA
"100"	"85"	10	145	30	31	226	2	1	3	3	7	1	459	0	459	NA
"101"	"86"	26	299	40	65	190	7	6	7	8	9	31	688	0	688	NA
"102"	"87"	23	259	296	38	64	11	7	6	1	5	18	728	0	728	NA
"103"	"88"	39	221	275	46	132	4	28	9	9	8	21	792	0	792	NA
"104"	"89"	18	115	252	13	38	4	4	3	1	3	19	470	0	470	NA
"105"	"90"	19	284	230	48	79	3	5	2	5	7	24	706	0	706	NA
"106"	"91"	5	272	25	17	108	3	1	0	1	4	4	440	0	440	NA
"107"	"91-A"	9	266	114	19	91	1	0	1	2	5	13	521	0	521	NA
"108"	"92"	91	168	18	55	137	3	1	1	2	1	15	492	0	492	NA
"109"	"93"	113	157	12	44	100	2	11	3	6	4	11	463	0	463	NA
"110"	"94"	38	196	33	34	186	8	2	2	1	6	16	522	0	522	NA
"111"	"95"	125	198	26	19	125	2	1	0	1	2	10	509	0	509	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"114"	"96"	44	324	22	44	227	5	6	2	4	5	25	708	0	708	NA
"115"	"97"	6	75	5	15	140	4	2	1	3	4	2	257	0	257	NA
"116"	"98"	32	407	126	74	143	7	5	8	3	6	20	831	0	831	NA
"117"	"99"	3	114	8	12	339	4	1	0	0	3	5	489	0	489	NA
"118"	"100"	12	141	23	24	366	6	6	3	1	6	6	594	0	594	NA
"119"	"101"	12	258	60	15	191	1	2	0	1	3	9	552	0	552	NA
"120"	"101-A"	10	124	57	15	142	4	2	1	6	1	4	366	0	366	NA
"121"	"102"	34	62	210	10	394	16	8	0	8	6	20	768	0	768	NA
"122"	"103"	8	192	6	17	228	13	6	2	2	6	8	488	0	488	NA
"123"	"104"	2	131	35	13	234	7	1	2	3	3	11	442	0	442	NA
"124"	"105"	18	178	235	18	213	7	1	1	4	6	24	705	0	705	NA
"125"	"106"	53	301	132	40	199	7	13	3	33	6	13	800	0	800	NA
"126"	"107"	4	31	76	6	172	4	2	2	4	5	7	313	0	313	NA
"127"	"107-A"	10	62	57	16	195	7	4	2	4	4	4	365	0	365	NA
"128"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"130"	"108"	22	309	40	55	263	18	7	3	44	18	51	830	0	830	NA
"131"	"109"	23	104	24	10	445	9	4	4	4	7	14	648	0	648	NA
"132"	"110"	15	75	42	4	265	1	1	0	0	2	5	410	0	410	NA
"133"	"111"	22	190	80	35	164	11	2	9	263	6	18	800	0	800	NA
"134"	"112"	6	183	104	48	203	9	4	3	7	2	9	578	0	578	NA
"135"	"113"	17	156	42	23	258	11	8	7	7	10	14	553	0	553	NA
"136"	"114"	1	55	4	3	12	0	0	0	0	0	0	75	0	75	NA
"137"	"115"	9	165	39	29	261	16	4	4	3	7	26	563	0	563	NA
"138"	"116"	7	228	65	26	157	6	4	0	3	0	5	501	0	501	NA
"139"	"116-A"	11	156	16	10	42	1	0	0	0	1	0	237	0	237	NA
"140"	"117"	43	86	217	13	147	3	5	7	7	11	13	552	0	552	NA
"141"	"118"	6	144	45	33	444	8	0	0	0	0	5	685	0	685	NA
"142"	"119"	19	74	258	123	109	7	18	16	10	16	40	690	0	690	NA
"143"	"120"	8	277	53	56	154	5	5	2	5	14	11	590	0	590	NA
"144"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"146"	"121"	33	204	67	24	99	2	1	0	4	3	4	441	0	441	NA
"147"	"122"	4	122	11	4	104	1	0	1	0	2	3	252	0	252	NA
"148"	"123"	12	312	58	22	205	4	0	1	3	2	5	624	0	624	NA
"149"	"124"	9	249	45	23	105	3	3	0	0	0	7	444	0	444	NA
"150"	"125"	6	175	16	15	174	4	2	2	2	5	10	411	0	411	NA
"151"	"126"	2	226	34	17	140	2	3	0	0	0	3	427	0	427	NA
"152"	"127"	1	141	42	13	129	3	0	2	1	0	0	332	0	332	NA
"153"	"128"	4	263	18	15	249	3	1	1	0	1	5	560	0	560	NA
"154"	"129"	3	192	19	14	212	1	1	0	1	0	1	444	0	444	NA
"155"	"130"	7	249	44	53	264	2	3	3	7	6	9	647	0	647	NA
"156"	"131"	5	192	18	27	208	3	1	2	3	1	5	465	0	465	NA
"157"	"132"	9	150	164	16	144	5	4	2	5	1	7	507	0	507	NA
"158"	"133"	1	149	65	19	151	5	1	0	3	4	2	400	0	400	NA
"159"	"133-A"	8	227	39	26	97	1	1	1	0	0	2	402	0	402	NA
"160"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"162"	"134"	4	227	173	30	248	9	1	4	5	2	12	715	0	715	NA
"163"	"135"	1	164	60	11	193	3	0	0	3	1	5	441	0	441	NA
"164"	"136"	5	129	16	13	179	0	2	1	1	0	0	346	0	346	NA
"165"	"137"	4	99	34	17	215	3	1	1	0	1	10	385	0	385	NA
"166"	"138"	6	209	52	25	122	2	3	0	2	0	7	428	0	428	NA
"167"	"139"	6	129	37	11	98	2	0	1	1	0	7	292	0	292	NA
"168"	"140"	6	337	51	32	84	3	2	1	3	3	13	535	0	535	NA
"169"	"141"	41	236	189	84	186	4	3	4	4	4	7	762	0	762	NA
"170"	"142"	9	255	75	139	194	8	4	4	3	7	19	717	0	717	NA
"171"	"143"	6	156	73	61	230	8	7	4	1	2	15	563	0	563	NA
"172"	"144"	6	194	41	77	136	4	2	3	0	1	5	469	0	469	NA
"173"	"145"	34	112	130	37	394	9	6	3	1	4	10	740	0	740	NA
"174"	"146"	23	95	45	126	458	6	5	6	6	1	4	775	0	775	NA
"175"	"147"	36	86	451	20	141	4	2	6	5	4	3	758	0	758	NA
"176"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"178"	"148"	16	193	58	25	191	10	6	2	4	7	7	519	0	519	NA
"179"	"149"	11	294	59	32	45	3	1	1	6	5	7	464	0	464	NA
"180"	"150"	34	218	98	66	32	5	6	0	6	7	14	486	0	486	NA
"181"	"151"	7	117	143	14	258	7	5	1	4	2	8	566	0	566	NA
"182"	"152"	14	89	19	21	215	2	2	2	5	5	12	386	0	386	NA
"183"	"153"	18	153	84	67	74	6	3	1	4	7	11	428	0	428	NA
"184"	"153-A"	63	88	25	24	116	4	3	4	3	3	11	344	0	344	NA
"185"	"154"	9	66	177	26	167	5	5	3	1	1	43	503	0	503	NA
"186"	"155"	12	52	124	15	334	5	8	3	4	9	14	580	0	580	NA
"187"	"156"	17	74	42	219	327	7	5	4	2	8	21	726	0	726	NA
"188"	"157"	20	104	60	19	125	1	0	3	0	0	4	336	0	336	NA
"189"	"158"	9	154	33	18	52	0	0	0	0	0	1	267	0	267	NA
"190"	"159"	80	57	103	5	50	1	4	1	4	4	19	328	0	328	NA
"191"	"160"	69	32	152	19	54	3	2	2	7	5	16	361	0	361	NA
"192"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"194"	"161"	33	163	172	25	145	1	3	4	4	3	19	572	0	572	NA
"195"	"162"	11	155	203	24	49	5	9	3	6	3	17	485	0	485	NA
"196"	"163"	12	61	304	18	8	1	2	2	7	4	0	419	0	419	NA
"197"	"164"	13	98	251	16	31	1	0	0	3	5	16	434	0	434	NA
"198"	"165"	14	47	126	11	69	2	3	2	5	7	15	301	0	301	NA
"199"	"166"	27	147	30	17	132	3	2	4	2	3	11	378	0	378	NA
"200"	"167"	5	41	150	11	197	12	3	5	4	4	14	446	0	446	NA
"201"	"168"	36	81	26	14	275	13	5	4	6	6	14	480	0	480	NA
"202"	"169"	10	43	50	8	276	8	4	4	6	3	13	425	0	425	NA
"203"	"170"	13	141	84	24	125	8	5	2	10	7	21	440	0	440	NA
"204"	"171"	12	18	27	4	222	3	1	1	1	3	4	296	0	296	NA
"205"	"172"	12	230	73	27	217	3	11	6	4	6	6	595	0	595	NA
"206"	"173"	54	110	127	49	327	19	7	6	9	13	20	741	0	741	NA
"207"	"174"	6	84	19	13	311	14	2	4	3	2	11	469	0	469	NA
"208"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"209"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"210"	"175"	11	94	113	26	296	15	4	4	3	4	13	583	0	583	NA
"211"	"176"	22	77	44	15	193	5	3	6	4	8	13	390	0	390	NA
"212"	"177"	8	29	37	19	199	7	1	1	0	4	1	306	0	306	NA
"213"	"178"	35	48	96	23	272	3	77	1	5	3	10	573	0	573	NA
"214"	"179"	41	223	36	23	197	0	0	1	1	0	5	527	0	527	NA
"215"	"180"	9	116	109	23	241	3	4	5	2	4	14	530	0	530	NA
"216"	"181"	28	166	72	17	135	5	4	3	2	2	3	437	0	437	NA
"217"	"182"	5	43	59	15	92	7	2	0	3	2	6	234	0	234	NA
"218"	"183"	11	46	100	15	91	3	2	5	2	0	10	285	0	285	NA
"219"	"184"	11	133	153	77	85	2	1	2	1	3	13	481	0	481	NA
"220"	"184-A"	8	38	28	54	104	5	5	1	1	4	7	255	0	255	NA
"221"	"185"	47	114	42	38	108	1	3	1	2	4	6	366	0	366	NA
"222"	"186"	27	43	82	14	146	4	1	0	1	0	3	321	0	321	NA
"223"	"187"	24	21	139	37	172	11	6	4	5	4	9	432	0	432	NA
"224"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"226"	"188"	15	35	27	24	100	3	0	0	1	1	3	209	0	209	NA
"227"	"189"	5	74	221	27	56	11	4	4	10	2	23	437	0	437	NA
"228"	"190"	19	45	166	22	74	14	8	8	1	7	9	373	0	373	NA
"229"	"191"	15	97	80	23	61	4	4	3	2	5	11	305	0	305	NA
"230"	"192"	14	15	91	14	305	10	0	2	2	7	8	468	0	468	NA
"231"	"193"	14	271	31	34	95	4	0	1	3	6	17	476	0	476	NA
"232"	"194"	3	64	12	5	162	2	0	3	1	1	1	254	0	254	NA
"233"	"195"	15	52	60	13	371	6	5	2	1	0	6	531	0	531	NA
"234"	"196"	20	149	41	13	274	7	3	3	2	8	35	555	0	555	NA
"235"	"197"	5	112	11	10	103	2	1	0	0	1	5	250	0	250	NA
"236"	"198"	8	68	11	12	170	6	0	0	2	0	6	283	0	283	NA
"237"	"199"	9	10	1	18	217	5	5	1	0	1	1	268	0	268	NA
"238"	"200"	16	134	43	17	184	3	3	1	1	8	11	421	0	421	NA
"239"	"201"	7	88	12	16	267	5	4	4	0	6	6	415	0	415	NA
"240"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"241"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"242"	"202"	7	64	6	27	254	6	5	3	0	4	11	387	0	387	NA
"243"	"203"	4	59	58	8	166	5	6	1	5	0	7	319	0	319	NA
"244"	"204"	4	110	9	25	173	8	7	1	3	4	10	354	0	354	NA
"245"	"205"	11	82	11	14	318	9	2	2	4	1	2	456	0	456	NA
"246"	"206"	21	29	16	12	347	19	6	2	4	4	19	479	0	479	NA
"247"	"207"	18	56	100	60	208	10	7	4	1	3	4	471	0	471	NA
"248"	"208"	11	68	103	32	247	10	2	1	2	3	9	488	0	488	NA
"249"	"209"	7	11	36	8	565	10	2	4	4	0	6	653	0	653	NA
"250"	"210"	16	27	19	10	435	14	6	2	5	2	5	541	0	541	NA
"251"	"211"	7	61	13	15	180	1	0	2	0	6	8	293	0	293	NA
"252"	"212"	7	15	25	15	394	9	2	1	2	3	7	480	0	480	NA
"253"	"213"	31	26	57	116	143	5	7	4	2	3	3	397	0	397	NA
"254"	"214"	5	63	52	38	256	13	9	4	7	12	13	472	0	472	NA
"255"	"215"	18	55	36	62	210	4	3	2	1	1	3	395	0	395	NA
"256"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"258"	"216"	4	38	26	81	70	5	3	0	1	4	5	237	0	237	NA
"259"	"217"	19	26	164	36	206	13	4	1	3	5	12	489	0	489	NA
"260"	"218"	44	68	17	29	303	5	1	1	0	2	7	477	0	477	NA
"261"	"219"	10	53	60	19	336	19	5	4	3	2	16	527	0	527	NA
"262"	"220"	5	34	8	37	151	4	1	3	1	1	8	253	0	253	NA
"263"	"221"	28	24	62	25	256	11	3	10	5	2	15	441	0	441	NA
"264"	"222"	8	17	155	2	58	1	3	0	4	2	2	252	0	252	NA
"265"	"223"	63	182	145	26	17	2	1	1	2	5	7	451	0	451	NA
"266"	"224"	26	53	103	26	129	2	7	3	2	3	4	358	0	358	NA
"267"	"225"	18	247	24	15	73	6	2	0	2	1	11	399	0	399	NA
"268"	"226"	23	213	32	15	26	0	2	0	3	4	13	331	0	331	NA
"269"	"227"	41	222	18	26	131	3	4	1	4	9	11	470	0	470	NA
"270"	"228"	168	283	57	48	108	3	3	1	4	7	10	692	0	692	NA
"271"	"229"	40	76	126	42	148	3	4	5	7	6	6	463	0	463	NA
"272"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"274"	"230"	287	95	12	19	83	3	1	3	4	2	14	523	0	523	NA
"275"	"231"	344	41	15	29	68	4	3	2	5	2	8	521	0	521	NA
"276"	"232"	277	97	11	47	22	0	4	0	0	2	12	472	0	472	NA
"277"	"233"	81	40	27	16	228	15	2	3	5	7	12	436	0	436	NA
"278"	"234"	169	147	61	20	224	6	3	2	5	7	26	670	0	670	NA
"279"	"235"	7	251	25	31	169	9	5	1	5	3	21	527	0	527	NA
"280"	"236"	8	77	131	11	158	5	2	4	3	6	7	412	0	412	NA
"281"	"237"	16	51	40	10	191	4	4	5	4	1	13	339	0	339	NA
"282"	"238"	52	12	34	14	129	2	2	0	0	1	0	246	0	246	NA
"283"	"239"	17	126	43	24	241	5	0	1	3	1	2	463	0	463	NA
"284"	"239-A"	18	136	2	8	86	2	4	1	0	1	1	259	0	259	NA
"285"	"240"	25	108	104	31	162	3	2	1	1	2	12	451	0	451	NA
"286"	"241"	11	181	41	23	147	6	3	1	5	6	14	438	0	438	NA
"287"	"242"	45	80	47	22	137	1	3	3	0	1	6	345	0	345	NA
"288"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"290"	"243"	30	188	85	41	166	4	3	8	7	12	20	564	0	564	NA
"291"	"244"	27	117	130	62	226	2	6	3	3	2	8	586	0	586	NA
"292"	"245"	13	129	128	23	177	4	3	5	7	7	19	515	0	515	NA
"293"	"245-A"	36	70	36	19	84	1	3	0	5	7	19	280	0	280	NA
"294"	"246"	10	221	62	22	179	3	2	1	1	2	2	505	0	505	NA
"295"	"247"	12	189	85	23	181	2	2	3	4	8	10	519	0	519	NA
"296"	"248"	15	208	21	32	130	6	3	5	4	3	18	445	0	445	NA
"297"	"249"	104	123	34	15	32	5	1	2	3	4	7	330	0	330	NA
"298"	"250"	29	109	64	41	44	3	3	5	2	3	12	315	0	315	NA
"299"	"251"	30	152	105	27	148	7	3	2	2	3	9	488	0	488	NA
"300"	"252"	13	105	83	22	342	18	14	6	5	8	35	651	0	651	NA
"301"	"253"	43	92	30	33	237	12	6	5	8	6	17	489	0	489	NA
"302"	"254"	49	183	22	39	260	7	1	7	1	2	7	578	0	578	NA
"303"	"255"	14	202	55	24	153	5	5	2	2	3	10	475	0	475	NA
"304"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"306"	"256"	10	27	49	9	232	12	1	1	2	6	8	357	0	357	NA
"307"	"257"	82	142	19	23	143	7	2	4	6	4	27	459	0	459	NA
"308"	"258"	10	81	21	10	61	5	2	3	2	4	6	205	0	205	NA
"309"	"259"	4	46	29	11	207	7	2	3	1	6	16	332	0	332	NA
"310"	"260"	21	65	111	26	84	5	9	1	10	3	18	353	0	353	NA
"311"	"261"	23	75	26	13	139	3	2	0	2	1	0	284	0	284	NA
"312"	"262"	15	152	39	12	32	3	3	0	3	2	9	270	0	270	NA
"313"	"263"	32	284	53	28	64	7	2	2	1	4	16	493	0	493	NA
"314"	"264"	3	29	62	7	87	5	0	1	1	0	0	195	0	195	NA
"315"	"265"	13	95	114	18	299	14	8	4	4	8	14	591	0	591	NA
"316"	"266"	5	119	37	8	51	1	1	0	0	2	4	228	0	228	NA
"317"	"267"	15	38	81	23	205	5	5	4	4	13	12	405	0	405	NA
"318"	"268"	8	109	19	17	248	10	5	3	3	5	19	446	0	446	NA
"319"	"269"	4	107	25	46	200	9	0	2	1	2	4	400	0	400	NA
"320"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
"322"	"270"	9	8	70	18	111	2	0	0	0	1	1	220	0	220	NA
"323"	"271"	1	37	43	19	123	1	2	2	1	0	4	233	0	233	NA
"324"	"271"	25	119	99	21	209	1	2	5	4	4	8	497	0	497	NA
"325"	"273"	21	41	19	20	403	8	9	4	5	6	22	558	0	558	NA
"326"	"Total"	8464	35886	26151	7648	44754	1495	1192	732	1247	1082	3235	131886	0	131886	NA
"327"	"Postal
Ballot"	13	115	75	8	182	1	0	0	3	1	0	398	2	400	NA
"328"	"G. Total"	8477	36001	26226	7656	44936	1496	1192	732	1250	1083	3235	132284	2	132286	NA
"329"	"Date"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"330"	"Place"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"331"	"Returning Officer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"332"	"155- Kahalgaon Assembley Constituency"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
