"BOOTH.NO"	"BOOTH_E.XT"	"DINESH.KUMAR.SINGH"	"BEETU.SINGH"	"MANGAL.SINGH"	"MANOJ.KUMAR.RAI"	"SRIBHAGWAN.SINGH.KUSHWAHA"	"JAYANTI.DEVI"	"MAHENDRA.CHAUDHARY"	"SUDAMA.PRASAD"	"BEDPRAKASH.SINGH.ALIAS.V.P..SINGH"	"RAJU"	"HUSSAIN.IMAM"	"TOTAL"
"57"	55	""	696	7	5	7	50	5	6	69	10	15	51	921
"58"	56	""	658	17	3	2	73	6	7	0	5	9	44	824
"59"	57	""	332	1	1	3	52	0	0	113	0	2	7	511
"60"	58	""	539	7	5	2	100	4	4	89	5	2	25	782
"61"	59	""	52	1	4	3	298	5	4	16	1	1	18	403
"62"	60	""	565	7	3	1	53	1	1	7	2	2	11	653
"63"	61	""	359	16	8	5	247	7	9	90	3	6	22	772
"64"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"65"	62	""	480	10	2	2	167	1	5	109	7	2	19	804
"66"	63	""	76	5	4	4	94	6	6	320	13	6	13	547
"67"	64	""	513	18	6	13	55	7	11	62	3	6	16	710
"68"	65	""	155	5	5	0	151	2	1	188	7	2	9	525
"69"	66	""	190	1	5	4	163	10	9	168	6	3	15	574
"70"	67	""	85	4	7	1	126	1	6	80	19	2	3	334
"71"	68	""	69	3	6	4	183	2	2	101	2	0	3	375
"72"	69	""	276	9	9	2	160	0	3	193	4	4	35	695
"73"	70	""	98	2	19	0	215	3	1	56	3	1	6	404
"74"	71	""	76	2	1	4	64	0	3	105	2	0	9	266
"75"	72	""	215	4	22	1	292	4	5	13	4	0	5	565
"76"	73	""	85	21	18	6	414	5	6	42	4	2	11	614
"77"	74	""	344	5	9	0	165	0	1	2	0	0	4	530
"78"	75	""	267	3	14	1	333	1	2	20	2	0	2	645
"79"	76	""	305	32	6	7	254	2	4	96	8	4	15	733
"80"	77	""	308	9	4	1	248	6	9	214	10	7	26	842
"81"	78	""	138	1	31	7	478	15	5	54	3	1	27	760
"82"	79	""	206	5	6	1	329	8	6	19	1	1	16	598
"83"	80	""	76	7	5	4	230	2	3	37	1	1	16	382
"84"	81	""	231	4	4	5	377	3	18	23	1	1	6	673
"85"	82	""	242	6	2	2	246	4	7	45	3	2	11	570
"86"	83	""	228	4	4	2	274	3	2	55	2	2	23	599
"87"	84	""	114	2	7	3	365	5	7	86	7	9	20	625
"88"	85	""	83	2	6	0	242	4	2	87	1	8	22	457
"89"	86	""	242	6	5	0	272	2	4	64	1	0	9	605
"90"	87	""	109	2	7	2	415	5	5	56	1	2	12	616
"91"	88	""	90	2	2	3	328	1	4	43	1	3	11	488
"92"	89	""	68	1	6	6	357	1	4	19	4	2	10	478
"93"	90	""	92	7	12	1	153	2	9	103	7	0	28	414
"94"	91	""	169	5	24	4	159	2	4	40	4	3	21	435
"95"	92	""	76	3	6	0	323	2	10	11	2	2	8	443
"96"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"97"	93	""	121	0	4	2	252	5	3	18	0	3	12	420
"98"	94	""	188	9	10	4	337	5	4	77	7	9	51	701
"99"	95	""	359	12	7	5	279	9	3	71	2	4	15	766
"100"	96	""	291	8	5	104	210	6	7	28	2	5	13	679
"101"	97	""	346	0	6	4	26	1	1	1	1	1	3	390
"102"	98	""	250	3	5	6	194	4	3	43	1	1	3	513
"103"	99	""	411	10	1	7	104	4	3	46	5	3	30	624
"104"	100	""	121	5	5	20	145	4	9	217	4	7	27	564
"105"	101	""	160	4	5	11	177	8	5	34	5	2	16	427
"106"	102	""	11	2	4	4	116	3	9	357	8	5	28	547
"107"	103	""	143	4	9	8	166	5	7	106	4	2	20	474
"108"	104	""	266	5	8	5	92	3	3	177	3	4	32	598
"109"	105	""	126	2	2	1	214	5	5	149	13	3	9	529
"110"	106	""	368	5	4	3	152	5	3	138	1	2	12	693
"111"	107	""	362	2	8	5	155	2	2	71	2	2	22	633
"112"	108	""	182	3	9	2	38	1	0	3	1	2	7	248
"113"	109	""	176	6	8	2	250	3	7	21	9	1	13	496
"114"	110	""	491	12	11	9	80	3	3	134	9	3	23	778
"115"	111	""	240	4	5	1	187	2	3	9	1	3	15	470
"116"	112	""	84	5	3	2	340	6	5	83	1	1	12	542
"117"	113	""	81	0	4	3	204	3	12	122	7	3	23	462
"118"	114	""	76	0	3	1	313	2	3	18	4	1	6	427
"119"	115	""	205	3	4	1	207	1	3	8	17	1	2	452
"120"	116	""	28	0	2	3	133	2	4	87	1	1	3	264
"121"	117	""	28	0	76	4	251	6	8	69	6	5	11	464
"122"	118	""	27	0	33	0	305	2	1	30	0	0	0	398
"123"	119	""	228	6	209	4	264	1	15	42	10	2	20	801
"124"	120	""	77	8	38	1	431	7	9	20	6	8	15	620
"125"	121	""	382	8	28	8	123	5	11	183	17	7	38	810
"126"	122	""	183	7	9	1	211	1	4	22	2	2	15	457
"127"	123	""	114	1	1	11	94	1	5	126	4	3	16	376
"128"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	124	""	134	0	5	0	294	3	0	1	0	0	1	438
"130"	125	""	185	0	0	0	222	1	0	2	0	0	2	412
"131"	126	""	296	3	1	0	10	0	0	2	0	0	4	316
"132"	127	""	154	3	3	0	10	1	1	1	0	0	3	176
"133"	128	""	268	6	3	3	116	5	6	25	0	5	21	458
"134"	129	""	233	7	8	4	114	6	10	41	3	6	25	457
"135"	130	""	231	4	0	5	107	3	4	60	6	4	17	441
"136"	131	""	247	1	6	2	337	2	1	27	1	1	15	640
"137"	132	""	276	7	16	2	149	3	9	76	3	1	10	552
"138"	133	""	381	2	2	3	122	2	9	182	6	3	18	730
"139"	134	""	178	2	6	0	84	2	2	80	6	2	12	374
"140"	135	""	181	6	7	3	168	2	3	24	3	3	12	412
"141"	136	""	118	5	14	9	392	8	13	195	7	3	34	798
"142"	137	""	148	2	4	6	279	4	9	117	6	2	22	599
"143"	138	""	71	4	6	1	121	6	10	226	10	8	33	496
"144"	139	""	64	0	0	4	104	3	3	151	10	4	21	364
"145"	140	""	269	4	0	3	14	2	0	33	2	2	16	345
"146"	141	""	316	2	19	5	27	2	5	178	17	9	28	608
"147"	142	""	128	3	9	3	114	2	6	157	18	7	31	478
"148"	143	""	33	7	1	3	140	2	1	138	1	1	18	345
"149"	144	""	254	3	5	2	65	3	6	67	2	2	22	431
"150"	145	""	305	10	6	4	70	3	12	223	15	5	28	681
"151"	146	""	127	4	12	3	167	2	4	151	9	0	7	486
"152"	147	""	165	3	4	3	78	2	4	129	4	1	15	408
"153"	148	""	138	4	2	1	33	1	2	43	14	2	16	256
"154"	149	""	142	2	9	9	263	7	12	270	18	6	54	792
"155"	150	""	136	1	2	1	94	1	0	26	15	0	8	284
"156"	151	""	253	2	4	8	239	3	6	51	2	9	16	593
"157"	152	""	153	5	4	4	283	5	3	61	11	4	12	545
"158"	153	""	133	2	3	2	169	3	7	161	25	6	28	539
"159"	154	""	186	17	5	1	122	8	1	13	1	1	10	365
"160"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	155	""	194	4	5	4	320	3	3	86	11	2	14	646
"162"	156	""	121	13	4	92	106	2	4	176	7	8	26	559
"163"	157	""	186	6	3	1	140	1	3	1	0	0	7	348
"164"	158	""	79	1	12	8	575	14	13	82	4	4	36	828
"165"	159	""	386	18	9	2	228	6	7	59	8	5	63	791
"166"	160	""	35	1	22	3	348	10	6	10	0	3	7	445
"167"	161	""	222	5	3	1	497	15	6	14	9	4	21	797
"168"	162	""	20	0	3	2	320	4	5	99	3	2	5	463
"169"	163	""	288	8	2	5	114	5	3	83	11	2	11	532
"170"	164	""	53	1	8	11	209	3	5	143	4	2	15	454
"171"	165	""	257	14	4	3	179	4	8	74	6	3	21	573
"172"	166	""	205	11	3	4	167	8	7	60	14	3	38	520
"173"	167	""	428	2	1	0	22	0	1	1	6	0	0	461
"174"	168	""	228	5	2	5	107	5	5	36	5	3	20	421
"175"	169	""	142	3	0	1	123	3	3	27	1	0	7	310
"176"	170	""	194	5	1	0	96	2	1	11	0	1	10	321
"177"	171	""	541	4	2	4	142	2	7	85	5	4	19	815
"178"	172	""	50	1	0	6	204	3	4	95	4	12	31	410
"179"	172	"A"	27	2	2	2	120	4	8	131	7	1	13	317
"180"	173	""	246	0	3	3	383	7	4	20	3	2	12	683
"181"	174	""	110	7	1	4	102	3	4	51	2	1	4	289
"182"	175	""	105	6	3	2	81	2	1	16	1	2	16	235
"183"	176	""	21	1	5	1	221	3	2	37	1	0	1	293
"184"	177	""	469	8	5	4	171	1	6	28	6	4	33	735
"185"	178	""	104	5	11	1	218	6	4	42	21	1	15	428
"186"	179	""	9	7	9	2	176	2	5	45	12	3	16	286
"187"	180	""	362	2	1	0	76	0	1	7	8	3	8	468
"188"	181	""	225	9	3	4	83	7	1	53	10	3	13	411
"189"	182	""	130	5	2	2	402	2	2	35	7	3	12	602
"190"	183	""	167	2	3	5	271	9	7	70	6	3	19	562
"191"	184	""	577	6	2	0	5	1	0	25	1	1	11	629
"192"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	185	""	64	3	5	1	212	3	1	12	9	1	11	322
"194"	186	""	229	7	2	3	53	4	9	164	13	9	21	514
"195"	187	""	85	6	13	6	359	5	9	66	32	5	27	613
"196"	188	""	101	1	0	5	158	3	4	4	36	0	3	315
"197"	189	""	113	11	10	5	402	10	6	75	17	4	21	674
"198"	190	""	103	13	11	4	102	2	6	120	2	2	11	376
"199"	191	""	236	6	5	6	84	2	4	119	3	1	19	485
"200"	192	""	236	7	39	8	249	7	11	8	8	3	20	596
"201"	193	""	366	10	3	6	135	3	4	11	59	1	21	619
"202"	194	""	181	3	2	11	14	1	1	43	32	1	18	307
"203"	195	""	209	3	1	1	108	2	4	2	24	3	9	366
"204"	196	""	281	2	4	5	247	3	1	20	21	3	32	619
"205"	197	""	120	6	1	1	327	14	3	5	27	1	8	513
"206"	198	""	321	4	0	1	116	4	1	2	3	2	4	458
"207"	199	""	104	2	10	1	227	5	2	3	1	2	10	367
"208"	200	""	157	0	3	2	105	1	1	30	3	1	8	311
"209"	201	""	158	1	0	0	14	1	0	24	1	0	1	200
"210"	202	""	219	3	2	1	190	6	9	59	8	1	8	506
"211"	203	""	165	2	4	5	120	2	5	58	115	4	14	494
"212"	204	""	242	2	4	3	234	3	1	38	71	0	6	604
"213"	205	""	55	0	6	17	167	5	3	82	98	3	18	454
"214"	206	""	109	2	4	3	27	0	3	6	254	2	5	415
"215"	207	""	95	3	6	3	17	0	0	15	267	1	7	414
"216"	208	""	435	4	8	1	97	0	5	24	14	0	5	593
"217"	209	""	174	2	9	0	117	1	1	49	8	0	4	365
"218"	210	""	38	2	2	4	184	2	7	112	11	3	15	380
"219"	211	""	97	29	4	1	97	2	0	109	10	2	7	358
"220"	212	""	240	3	37	3	114	5	5	63	9	1	20	500
"221"	213	""	245	32	5	3	41	0	2	58	3	3	14	406
"222"	214	""	231	9	4	1	196	4	3	22	4	0	6	480
"223"	215	""	144	3	1	0	74	0	1	1	0	0	3	227
"224"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	216	""	279	11	10	5	168	4	8	112	4	3	25	629
"226"	217	""	141	2	3	4	379	17	4	148	10	5	22	735
"227"	218	""	58	0	4	0	379	0	3	18	1	1	5	469
"228"	218	"A"	233	1	3	1	133	2	3	44	5	2	12	439
"229"	219	""	131	6	4	0	137	2	0	13	3	2	4	302
"230"	220	""	156	11	4	2	96	3	5	92	9	3	12	393
"231"	221	""	652	9	3	1	42	2	6	19	0	1	19	754
"232"	222	""	417	6	9	2	15	0	0	2	2	0	0	453
"233"	223	""	57	7	27	8	239	4	5	72	8	0	13	440
"234"	224	""	86	2	3	1	238	6	2	63	5	2	8	416
"235"	225	""	177	6	7	1	142	1	3	11	2	2	11	363
"236"	226	""	167	5	3	1	80	0	2	14	24	0	3	299
"237"	227	""	209	6	21	5	243	5	3	267	46	5	47	857
"238"	228	""	330	5	9	2	196	4	6	211	18	5	26	812
"239"	229	""	234	2	5	0	248	2	4	100	13	0	7	615
"240"	230	""	289	9	17	7	130	10	4	162	10	8	34	680
"241"	231	""	117	6	3	2	164	0	7	97	11	0	8	415
"242"	232	""	158	6	7	2	153	0	5	257	16	6	31	641
"243"	233	""	368	3	16	1	179	2	3	66	22	4	9	673
"244"	234	""	202	2	14	1	122	1	0	32	2	0	5	381
"245"	235	""	100	3	5	4	251	6	3	21	10	0	7	410
"246"	236	""	119	1	10	1	129	5	3	52	2	1	6	329
"247"	237	""	67	5	30	1	372	6	6	33	6	2	4	532
"248"	238	""	68	0	25	4	266	3	0	9	5	0	10	390
"249"	239	""	93	3	8	65	175	5	5	61	10	1	14	440
"250"	240	""	25	0	1	48	178	1	3	28	8	0	3	295
"251"	241	""	104	3	9	4	125	2	3	2	1	2	11	266
"252"	242	""	80	3	2	0	170	0	0	6	1	1	1	264
"253"	243	""	217	5	32	11	228	6	17	40	14	3	39	612
"254"	244	""	212	16	14	0	337	8	14	12	7	4	21	645
"255"	245	""	54	1	7	1	208	2	3	6	0	0	6	288
"256"	NA	"BOOTH_E XT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"257"	NA	""	4	0	0	0	1	0	0	0	0	0	0	5
"258"	NA	""	55560	1360	1961	1068	45374	901	1125	16129	2352	647	3784	130261
