"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULTS SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 120 AMNOUR CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency : 120 Amnou                                                                                                                                                                                                                      No. of Voters: 192748"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"No. of vailed Votes Caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"CANDIDATES NAME"	""	"KRISHNA KUMAR"	"JITENDRA KUMAR SINGH"	"RAHUL KUMAR SINGH"	"VIDYACHAND RAY"	"SHAILENDRA PRATAP"	"DHANA DEVI"	"RAMNATH BHAGAT"	"AWADHESH SINGH"	"ASHRAF ALI KHAN"	"GINNI LAL SINGH"	"NAGENDRA RAM"	"YOGENDRA PRASAD YADAV"	"RAM KRISHNA SINGH"	"SHATRUDHAN TIWARY"	"SUNIL KUMAR"	"TOTAL VALID VOTES"
"20"	"14"	""	"117"	"20"	"6"	"22"	"53"	"2"	"5"	"6"	"1"	"5"	"2"	"3"	"7"	"31"	"146"	"426"
"21"	"15"	""	"190"	"5"	"10"	"8"	"67"	"6"	"6"	"68"	"5"	"1"	"15"	"5"	"5"	"10"	"186"	"587"
"22"	"16"	""	"156"	"7"	"2"	"10"	"105"	"6"	"6"	"4"	"0"	"2"	"8"	"7"	"2"	"4"	"26"	"345"
"23"	"17"	""	"205"	"6"	"17"	"6"	"21"	"0"	"2"	"1"	"3"	"0"	"3"	"4"	"5"	"7"	"65"	"345"
"24"	"18"	""	"117"	"13"	"19"	"3"	"33"	"2"	"7"	"2"	"2"	"3"	"5"	"1"	"11"	"24"	"165"	"407"
"25"	"19"	""	"187"	"29"	"2"	"1"	"49"	"3"	"10"	"2"	"2"	"7"	"6"	"9"	"3"	"16"	"28"	"354"
"26"	"20"	""	"120"	"9"	"0"	"7"	"134"	"8"	"5"	"8"	"8"	"6"	"30"	"14"	"9"	"10"	"75"	"443"
"27"	"20"	"A"	"149"	"5"	"7"	"0"	"37"	"3"	"1"	"2"	"1"	"4"	"9"	"2"	"5"	"12"	"113"	"350"
"28"	"21"	""	"233"	"51"	"10"	"17"	"138"	"18"	"5"	"14"	"7"	"7"	"27"	"25"	"10"	"50"	"76"	"688"
"29"	"22"	""	"233"	"5"	"3"	"3"	"96"	"2"	"2"	"10"	"0"	"0"	"8"	"0"	"4"	"12"	"32"	"410"
"30"	"23"	""	"387"	"8"	"6"	"3"	"89"	"20"	"9"	"7"	"2"	"4"	"13"	"8"	"4"	"18"	"50"	"628"
"31"	"24"	""	"88"	"3"	"8"	"5"	"51"	"2"	"3"	"5"	"2"	"2"	"1"	"6"	"2"	"14"	"45"	"237"
"32"	"25"	""	"186"	"6"	"4"	"4"	"55"	"5"	"23"	"3"	"0"	"0"	"8"	"2"	"3"	"50"	"13"	"362"
"33"	"26"	""	"150"	"3"	"38"	"7"	"85"	"6"	"2"	"1"	"0"	"6"	"5"	"3"	"1"	"19"	"9"	"335"
"34"	"27"	""	"158"	"3"	"15"	"12"	"102"	"5"	"2"	"27"	"5"	"3"	"9"	"4"	"7"	"32"	"22"	"406"
"35"	"28"	""	"110"	"3"	"14"	"8"	"85"	"7"	"3"	"39"	"5"	"3"	"8"	"5"	"6"	"4"	"34"	"334"
"36"	"29"	""	"119"	"3"	"5"	"7"	"115"	"6"	"8"	"10"	"1"	"3"	"15"	"4"	"8"	"21"	"43"	"368"
"37"	"30"	""	"78"	"4"	"3"	"4"	"37"	"6"	"6"	"231"	"12"	"1"	"5"	"1"	"33"	"4"	"12"	"437"
"38"	"31"	""	"263"	"5"	"19"	"5"	"50"	"3"	"6"	"6"	"3"	"3"	"12"	"3"	"4"	"42"	"32"	"456"
"39"	"32"	""	"99"	"1"	"4"	"6"	"106"	"7"	"2"	"10"	"5"	"4"	"6"	"11"	"2"	"18"	"128"	"409"
"40"	"33"	""	"151"	"4"	"18"	"3"	"63"	"4"	"2"	"11"	"2"	"0"	"5"	"4"	"58"	"9"	"95"	"429"
"41"	"34"	""	"49"	"6"	"2"	"4"	"54"	"6"	"7"	"2"	"0"	"1"	"6"	"6"	"6"	"43"	"62"	"254"
"42"	"35"	""	"118"	"7"	"20"	"5"	"138"	"10"	"17"	"70"	"1"	"10"	"12"	"8"	"13"	"11"	"44"	"484"
"43"	"36"	""	"97"	"5"	"8"	"9"	"102"	"10"	"3"	"15"	"2"	"2"	"7"	"9"	"6"	"18"	"84"	"377"
"44"	"37"	""	"174"	"33"	"2"	"5"	"14"	"5"	"7"	"6"	"0"	"14"	"5"	"3"	"6"	"83"	"29"	"386"
"45"	"38"	""	"176"	"5"	"6"	"4"	"75"	"1"	"4"	"0"	"0"	"0"	"8"	"10"	"5"	"8"	"41"	"343"
"46"	"39"	""	"147"	"26"	"37"	"30"	"67"	"1"	"3"	"8"	"1"	"7"	"11"	"7"	"9"	"42"	"116"	"512"
"47"	"40"	""	"127"	"6"	"26"	"3"	"7"	"5"	"7"	"11"	"14"	"2"	"6"	"3"	"11"	"259"	"49"	"536"
"48"	"41"	""	"203"	"4"	"17"	"16"	"103"	"9"	"19"	"15"	"5"	"9"	"16"	"11"	"46"	"19"	"101"	"593"
"49"	"42"	"A"	"82"	"5"	"10"	"4"	"15"	"3"	"6"	"12"	"2"	"2"	"12"	"3"	"14"	"216"	"28"	"414"
"50"	"42"	""	"73"	"6"	"73"	"3"	"14"	"0"	"9"	"19"	"4"	"2"	"1"	"5"	"9"	"165"	"26"	"409"
"51"	"43"	""	"150"	"6"	"34"	"5"	"57"	"6"	"12"	"10"	"3"	"12"	"13"	"3"	"6"	"108"	"114"	"539"
"52"	"44"	""	"298"	"9"	"35"	"5"	"51"	"4"	"7"	"6"	"2"	"4"	"14"	"2"	"15"	"36"	"56"	"544"
"53"	"45"	""	"124"	"8"	"36"	"2"	"18"	"0"	"8"	"2"	"1"	"2"	"6"	"3"	"5"	"76"	"49"	"340"
"54"	"46"	""	"84"	"5"	"38"	"9"	"38"	"4"	"10"	"4"	"1"	"2"	"6"	"7"	"16"	"308"	"44"	"576"
"55"	"47"	""	"91"	"2"	"21"	"7"	"16"	"6"	"9"	"2"	"3"	"1"	"8"	"3"	"11"	"230"	"100"	"510"
"56"	"48"	""	"81"	"4"	"7"	"1"	"27"	"3"	"9"	"4"	"99"	"9"	"6"	"5"	"8"	"127"	"48"	"438"
"57"	"48"	"A"	"83"	"1"	"15"	"4"	"12"	"2"	"9"	"3"	"8"	"11"	"1"	"7"	"10"	"163"	"43"	"372"
"58"	"49"	""	"17"	"3"	"1"	"4"	"94"	"12"	"11"	"26"	"2"	"2"	"14"	"12"	"19"	"176"	"75"	"468"
"59"	"50"	""	"65"	"10"	"14"	"9"	"54"	"3"	"11"	"8"	"6"	"5"	"5"	"8"	"18"	"320"	"136"	"672"
"60"	"51"	""	"75"	"8"	"57"	"12"	"66"	"12"	"22"	"4"	"2"	"1"	"9"	"10"	"20"	"320"	"69"	"687"
"61"	"52"	""	"111"	"6"	"26"	"1"	"22"	"5"	"9"	"11"	"1"	"4"	"5"	"4"	"3"	"107"	"101"	"416"
"62"	"53"	""	"103"	"5"	"23"	"8"	"90"	"6"	"21"	"11"	"5"	"10"	"22"	"22"	"16"	"122"	"124"	"588"
"63"	"54"	""	"238"	"1"	"1"	"8"	"56"	"2"	"12"	"9"	"1"	"8"	"14"	"4"	"14"	"43"	"80"	"491"
"64"	"55"	""	"47"	"11"	"8"	"5"	"81"	"6"	"10"	"18"	"1"	"2"	"5"	"5"	"14"	"193"	"18"	"424"
"65"	"56"	""	"29"	"7"	"0"	"4"	"28"	"2"	"2"	"0"	"0"	"0"	"5"	"1"	"5"	"56"	"178"	"317"
"66"	"57"	""	"66"	"15"	"17"	"1"	"23"	"2"	"3"	"4"	"1"	"3"	"5"	"0"	"7"	"65"	"238"	"450"
"67"	"58"	""	"206"	"0"	"0"	"1"	"8"	"1"	"1"	"0"	"0"	"0"	"3"	"2"	"3"	"0"	"93"	"318"
"68"	"59"	""	"77"	"17"	"0"	"4"	"21"	"0"	"2"	"1"	"0"	"1"	"8"	"0"	"9"	"15"	"100"	"255"
"69"	"60"	""	"158"	"12"	"8"	"2"	"9"	"5"	"19"	"10"	"4"	"6"	"5"	"5"	"11"	"222"	"50"	"526"
"70"	"61"	""	"108"	"11"	"4"	"5"	"15"	"6"	"58"	"7"	"2"	"5"	"8"	"4"	"16"	"121"	"200"	"570"
"71"	"62"	""	"30"	"3"	"10"	"3"	"12"	"0"	"10"	"3"	"4"	"5"	"9"	"9"	"30"	"221"	"84"	"433"
"72"	"63"	""	"208"	"5"	"1"	"4"	"4"	"0"	"1"	"2"	"0"	"37"	"2"	"0"	"2"	"4"	"7"	"277"
"73"	"64"	""	"94"	"35"	"18"	"4"	"11"	"3"	"26"	"2"	"0"	"3"	"3"	"3"	"12"	"251"	"26"	"491"
"74"	"65"	""	"113"	"22"	"14"	"6"	"13"	"7"	"14"	"5"	"0"	"4"	"4"	"5"	"11"	"253"	"28"	"499"
"75"	"66"	""	"76"	"12"	"12"	"14"	"26"	"4"	"20"	"5"	"5"	"10"	"5"	"8"	"21"	"241"	"122"	"581"
"76"	"67"	""	"80"	"6"	"10"	"7"	"33"	"8"	"14"	"9"	"5"	"5"	"15"	"10"	"18"	"299"	"33"	"552"
"77"	"68"	""	"26"	"17"	"12"	"7"	"54"	"2"	"9"	"1"	"1"	"2"	"5"	"6"	"8"	"380"	"33"	"563"
"78"	"69"	""	"5"	"0"	"3"	"27"	"282"	"6"	"10"	"5"	"5"	"1"	"20"	"8"	"4"	"54"	"121"	"551"
"79"	"70"	""	"21"	"5"	"3"	"2"	"2"	"2"	"6"	"1"	"2"	"2"	"0"	"0"	"1"	"25"	"339"	"411"
"80"	"71"	""	"17"	"1"	"2"	"4"	"0"	"1"	"6"	"0"	"0"	"0"	"3"	"1"	"8"	"88"	"268"	"399"
"81"	"72"	""	"35"	"10"	"65"	"2"	"3"	"2"	"9"	"1"	"0"	"0"	"0"	"7"	"13"	"210"	"196"	"553"
"82"	"73"	""	"26"	"9"	"7"	"7"	"13"	"4"	"40"	"1"	"3"	"4"	"3"	"12"	"9"	"127"	"179"	"444"
"83"	"74"	""	"116"	"7"	"7"	"3"	"24"	"10"	"16"	"4"	"7"	"0"	"10"	"13"	"16"	"217"	"97"	"547"
"84"	"75"	""	"101"	"2"	"10"	"5"	"40"	"8"	"81"	"7"	"2"	"3"	"6"	"6"	"21"	"357"	"66"	"715"
"85"	"76"	""	"108"	"6"	"12"	"15"	"21"	"3"	"18"	"8"	"6"	"1"	"2"	"3"	"8"	"173"	"211"	"595"
"86"	"77"	""	"92"	"7"	"16"	"4"	"116"	"5"	"6"	"11"	"3"	"16"	"12"	"16"	"22"	"155"	"145"	"626"
"87"	"78"	""	"78"	"3"	"46"	"12"	"98"	"7"	"9"	"8"	"4"	"15"	"9"	"9"	"4"	"63"	"46"	"411"
"88"	"79"	""	"16"	"11"	"3"	"11"	"6"	"3"	"23"	"6"	"3"	"1"	"0"	"0"	"7"	"21"	"398"	"509"
"89"	"80"	""	"8"	"3"	"0"	"5"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"19"	"467"	"506"
"90"	"81"	""	"20"	"7"	"4"	"17"	"8"	"20"	"269"	"7"	"9"	"16"	"4"	"7"	"7"	"59"	"110"	"564"
"91"	"82"	""	"72"	"2"	"1"	"3"	"5"	"17"	"427"	"14"	"11"	"4"	"5"	"5"	"9"	"72"	"80"	"727"
"92"	"83"	""	"146"	"3"	"2"	"1"	"8"	"9"	"61"	"5"	"2"	"6"	"5"	"2"	"8"	"85"	"69"	"412"
"93"	"84"	""	"112"	"2"	"1"	"2"	"3"	"0"	"13"	"0"	"1"	"0"	"2"	"0"	"2"	"23"	"62"	"223"
"94"	"85"	""	"59"	"2"	"6"	"5"	"12"	"2"	"14"	"5"	"1"	"3"	"7"	"3"	"11"	"125"	"173"	"428"
"95"	"86"	""	"118"	"22"	"1"	"2"	"5"	"0"	"5"	"1"	"1"	"8"	"4"	"2"	"4"	"44"	"36"	"253"
"96"	"87"	""	"180"	"2"	"16"	"4"	"14"	"2"	"8"	"2"	"1"	"0"	"3"	"1"	"12"	"21"	"474"	"740"
"97"	"88"	""	"179"	"14"	"22"	"11"	"39"	"14"	"20"	"10"	"9"	"12"	"15"	"12"	"15"	"54"	"320"	"746"
"98"	"89"	""	"89"	"4"	"20"	"4"	"5"	"2"	"20"	"1"	"1"	"6"	"4"	"9"	"7"	"23"	"298"	"493"
"99"	"90"	""	"119"	"7"	"7"	"2"	"2"	"5"	"27"	"4"	"2"	"3"	"7"	"1"	"11"	"56"	"281"	"534"
"100"	"91"	""	"397"	"11"	"18"	"3"	"25"	"3"	"9"	"6"	"2"	"5"	"5"	"5"	"5"	"14"	"187"	"695"
"101"	"92"	""	"245"	"8"	"8"	"28"	"12"	"9"	"25"	"4"	"2"	"8"	"10"	"7"	"14"	"146"	"181"	"707"
"102"	"93"	""	"70"	"7"	"2"	"37"	"23"	"2"	"18"	"1"	"1"	"3"	"5"	"6"	"7"	"146"	"227"	"555"
"103"	"94"	""	"108"	"5"	"4"	"15"	"8"	"6"	"37"	"9"	"5"	"8"	"4"	"7"	"15"	"102"	"192"	"525"
"104"	"95"	""	"221"	"5"	"1"	"28"	"49"	"3"	"9"	"5"	"9"	"4"	"7"	"6"	"7"	"51"	"194"	"599"
"105"	"96"	""	"205"	"4"	"6"	"16"	"6"	"4"	"4"	"2"	"2"	"0"	"5"	"0"	"5"	"88"	"81"	"428"
"106"	"97"	""	"149"	"5"	"0"	"33"	"35"	"5"	"2"	"2"	"6"	"10"	"7"	"1"	"10"	"20"	"81"	"366"
"107"	"98"	""	"237"	"2"	"4"	"3"	"18"	"5"	"9"	"4"	"0"	"2"	"5"	"2"	"8"	"52"	"79"	"430"
"108"	"99"	""	"409"	"10"	"6"	"17"	"12"	"4"	"16"	"2"	"1"	"6"	"9"	"3"	"10"	"48"	"106"	"659"
"109"	"100"	""	"230"	"10"	"14"	"42"	"83"	"9"	"18"	"7"	"5"	"11"	"13"	"10"	"18"	"79"	"177"	"726"
"110"	"101"	""	"46"	"6"	"30"	"12"	"30"	"1"	"7"	"2"	"1"	"2"	"3"	"1"	"3"	"56"	"226"	"426"
"111"	"102"	""	"220"	"11"	"4"	"14"	"8"	"7"	"21"	"2"	"2"	"0"	"6"	"6"	"18"	"206"	"60"	"585"
"112"	"103"	""	"197"	"4"	"33"	"51"	"7"	"6"	"29"	"3"	"3"	"13"	"8"	"1"	"19"	"232"	"118"	"724"
"113"	"104"	""	"35"	"0"	"2"	"21"	"47"	"8"	"39"	"1"	"22"	"5"	"8"	"4"	"6"	"103"	"24"	"325"
"114"	"105"	""	"108"	"6"	"14"	"12"	"1"	"1"	"9"	"2"	"0"	"2"	"1"	"1"	"3"	"73"	"36"	"269"
"115"	"106"	""	"131"	"8"	"2"	"8"	"2"	"0"	"3"	"6"	"1"	"6"	"3"	"1"	"11"	"107"	"90"	"379"
"116"	"107"	""	"151"	"5"	"4"	"5"	"78"	"11"	"8"	"1"	"1"	"2"	"3"	"11"	"5"	"126"	"66"	"477"
"117"	"108"	""	"96"	"14"	"12"	"3"	"21"	"4"	"18"	"5"	"1"	"8"	"1"	"2"	"7"	"217"	"53"	"462"
"118"	"109"	""	"131"	"3"	"1"	"38"	"11"	"1"	"7"	"4"	"2"	"2"	"11"	"2"	"7"	"58"	"81"	"359"
"119"	"110"	""	"64"	"1"	"6"	"2"	"32"	"5"	"4"	"2"	"1"	"1"	"9"	"1"	"2"	"12"	"94"	"236"
"120"	"111"	""	"185"	"8"	"13"	"1"	"87"	"6"	"7"	"10"	"3"	"4"	"8"	"7"	"2"	"29"	"22"	"392"
"121"	"112"	""	"73"	"4"	"5"	"3"	"62"	"6"	"7"	"9"	"2"	"2"	"9"	"6"	"4"	"42"	"82"	"316"
"122"	"113"	""	"44"	"8"	"8"	"15"	"124"	"8"	"15"	"12"	"1"	"6"	"13"	"17"	"11"	"170"	"132"	"584"
"123"	"114"	""	"102"	"20"	"22"	"6"	"39"	"4"	"15"	"12"	"1"	"3"	"3"	"8"	"19"	"185"	"58"	"497"
"124"	"115"	""	"38"	"6"	"83"	"16"	"93"	"10"	"11"	"17"	"8"	"5"	"10"	"7"	"8"	"95"	"296"	"703"
"125"	"116"	""	"24"	"0"	"6"	"3"	"25"	"3"	"13"	"4"	"4"	"1"	"8"	"6"	"2"	"45"	"49"	"193"
"126"	"117"	""	"103"	"3"	"12"	"1"	"57"	"7"	"8"	"6"	"3"	"2"	"7"	"13"	"6"	"74"	"45"	"347"
"127"	"118"	""	"241"	"8"	"7"	"4"	"59"	"14"	"40"	"8"	"6"	"7"	"17"	"6"	"13"	"83"	"174"	"687"
"128"	"119"	""	"158"	"14"	"2"	"7"	"45"	"3"	"10"	"3"	"4"	"1"	"7"	"7"	"4"	"60"	"29"	"354"
"129"	"120"	""	"98"	"21"	"2"	"3"	"57"	"5"	"51"	"4"	"4"	"3"	"11"	"6"	"5"	"91"	"37"	"398"
"130"	"121"	""	"54"	"4"	"15"	"12"	"142"	"5"	"6"	"7"	"0"	"1"	"7"	"9"	"6"	"26"	"104"	"398"
"131"	"122"	""	"79"	"6"	"7"	"10"	"23"	"1"	"17"	"6"	"5"	"6"	"8"	"10"	"10"	"170"	"108"	"466"
"132"	"123"	""	"85"	"9"	"39"	"13"	"79"	"8"	"21"	"10"	"6"	"8"	"7"	"10"	"8"	"311"	"29"	"643"
"133"	"124"	""	"78"	"7"	"6"	"87"	"97"	"4"	"4"	"11"	"6"	"4"	"10"	"7"	"5"	"35"	"11"	"372"
"134"	"124"	"A"	"73"	"28"	"9"	"94"	"86"	"2"	"5"	"71"	"4"	"3"	"2"	"5"	"4"	"16"	"6"	"408"
"135"	"125"	""	"44"	"6"	"5"	"1"	"22"	"4"	"3"	"0"	"3"	"0"	"1"	"3"	"12"	"185"	"5"	"294"
"136"	"126"	""	"22"	"4"	"24"	"8"	"90"	"9"	"8"	"5"	"1"	"4"	"13"	"10"	"6"	"45"	"46"	"295"
"137"	"127"	""	"19"	"3"	"11"	"11"	"175"	"12"	"6"	"7"	"7"	"2"	"17"	"13"	"4"	"9"	"57"	"353"
"138"	"127"	"A"	"23"	"3"	"2"	"2"	"94"	"3"	"2"	"6"	"3"	"1"	"17"	"8"	"3"	"22"	"163"	"352"
"139"	"128"	""	"278"	"4"	"4"	"2"	"49"	"5"	"3"	"7"	"1"	"6"	"6"	"4"	"4"	"34"	"109"	"516"
"140"	"129"	""	"98"	"8"	"8"	"5"	"31"	"9"	"32"	"8"	"6"	"6"	"9"	"15"	"14"	"140"	"62"	"451"
"141"	"130"	""	"205"	"5"	"3"	"8"	"15"	"2"	"9"	"6"	"1"	"3"	"5"	"1"	"6"	"154"	"41"	"464"
"142"	"131"	""	"222"	"6"	"25"	"6"	"65"	"2"	"14"	"10"	"0"	"0"	"6"	"3"	"4"	"7"	"15"	"385"
"143"	"131"	"A"	"288"	"5"	"31"	"4"	"23"	"2"	"2"	"2"	"1"	"8"	"1"	"4"	"3"	"5"	"23"	"402"
"144"	"132"	""	"232"	"5"	"13"	"7"	"69"	"10"	"52"	"11"	"9"	"4"	"12"	"15"	"4"	"28"	"98"	"569"
"145"	"133"	""	"217"	"5"	"9"	"1"	"14"	"2"	"9"	"3"	"0"	"3"	"3"	"0"	"1"	"8"	"31"	"306"
"146"	"134"	""	"308"	"36"	"7"	"3"	"23"	"2"	"1"	"2"	"0"	"0"	"0"	"3"	"3"	"4"	"58"	"450"
"147"	"135"	""	"402"	"3"	"2"	"9"	"36"	"5"	"4"	"3"	"1"	"2"	"6"	"10"	"8"	"15"	"54"	"560"
"148"	"136"	""	"401"	"2"	"2"	"2"	"26"	"2"	"5"	"4"	"1"	"1"	"3"	"3"	"4"	"87"	"16"	"559"
"149"	"137"	""	"342"	"3"	"3"	"10"	"3"	"1"	"2"	"1"	"1"	"16"	"0"	"2"	"0"	"7"	"30"	"421"
"150"	"138"	""	"133"	"16"	"26"	"14"	"48"	"6"	"17"	"7"	"3"	"4"	"11"	"7"	"3"	"16"	"14"	"325"
"151"	"139"	""	"231"	"6"	"2"	"4"	"31"	"6"	"59"	"3"	"3"	"5"	"11"	"8"	"3"	"8"	"57"	"437"
"152"	"140"	""	"60"	"4"	"13"	"2"	"168"	"18"	"8"	"9"	"1"	"3"	"12"	"15"	"2"	"34"	"57"	"406"
"153"	"141"	""	"62"	"18"	"2"	"5"	"64"	"7"	"9"	"6"	"1"	"4"	"6"	"4"	"5"	"108"	"10"	"311"
"154"	"142"	""	"140"	"12"	"0"	"3"	"3"	"3"	"4"	"0"	"0"	"1"	"6"	"1"	"1"	"36"	"29"	"239"
"155"	"143"	""	"351"	"11"	"52"	"6"	"22"	"3"	"4"	"3"	"2"	"5"	"5"	"5"	"6"	"35"	"19"	"529"
"156"	"144"	""	"137"	"4"	"5"	"12"	"24"	"2"	"5"	"7"	"3"	"0"	"5"	"2"	"10"	"137"	"21"	"374"
"157"	"145"	""	"107"	"7"	"6"	"7"	"17"	"2"	"11"	"1"	"1"	"0"	"4"	"2"	"5"	"137"	"23"	"330"
"158"	"146"	""	"101"	"8"	"8"	"14"	"84"	"12"	"47"	"7"	"3"	"3"	"18"	"13"	"9"	"79"	"177"	"583"
"159"	"147"	""	"36"	"8"	"12"	"27"	"118"	"11"	"4"	"21"	"3"	"1"	"16"	"13"	"0"	"20"	"313"	"603"
"160"	"148"	""	"41"	"9"	"7"	"7"	"52"	"5"	"14"	"4"	"2"	"3"	"6"	"8"	"12"	"248"	"19"	"437"
"161"	"149"	""	"32"	"4"	"32"	"2"	"4"	"2"	"14"	"1"	"1"	"3"	"4"	"7"	"12"	"258"	"13"	"389"
"162"	"150"	""	"68"	"2"	"0"	"4"	"111"	"8"	"8"	"12"	"6"	"3"	"16"	"12"	"1"	"47"	"94"	"392"
"163"	"151"	""	"34"	"1"	"8"	"3"	"136"	"11"	"5"	"4"	"3"	"4"	"18"	"12"	"7"	"70"	"125"	"441"
"164"	"152"	""	"228"	"11"	"15"	"7"	"54"	"6"	"26"	"7"	"6"	"4"	"11"	"16"	"15"	"252"	"32"	"690"
"165"	"153"	""	"54"	"48"	"53"	"7"	"99"	"12"	"0"	"6"	"1"	"2"	"8"	"5"	"2"	"8"	"55"	"360"
"166"	"154"	""	"140"	"4"	"6"	"22"	"88"	"6"	"4"	"7"	"0"	"6"	"13"	"11"	"2"	"28"	"85"	"422"
"167"	"155"	""	"169"	"27"	"5"	"11"	"92"	"3"	"2"	"2"	"1"	"1"	"8"	"5"	"2"	"11"	"7"	"346"
"168"	"156"	""	"528"	"13"	"26"	"11"	"43"	"3"	"5"	"2"	"3"	"6"	"10"	"3"	"7"	"9"	"26"	"695"
"169"	"157"	""	"395"	"5"	"32"	"2"	"22"	"1"	"4"	"2"	"2"	"4"	"2"	"3"	"8"	"10"	"84"	"576"
"170"	"158"	""	"74"	"184"	"8"	"7"	"90"	"4"	"2"	"7"	"5"	"2"	"2"	"8"	"9"	"18"	"26"	"446"
"171"	"159"	""	"284"	"26"	"13"	"90"	"34"	"2"	"5"	"3"	"1"	"3"	"4"	"2"	"3"	"7"	"19"	"496"
"172"	"160"	""	"219"	"13"	"17"	"9"	"20"	"2"	"27"	"9"	"3"	"3"	"7"	"6"	"13"	"31"	"238"	"617"
"173"	"161"	""	"176"	"9"	"70"	"13"	"144"	"17"	"2"	"9"	"9"	"7"	"29"	"26"	"10"	"25"	"86"	"632"
"174"	"162"	""	"239"	"37"	"4"	"7"	"29"	"4"	"87"	"13"	"8"	"6"	"7"	"8"	"11"	"15"	"81"	"556"
"175"	"163"	""	"183"	"14"	"4"	"5"	"6"	"1"	"1"	"1"	"1"	"1"	"4"	"0"	"7"	"19"	"75"	"322"
