"Candidates..Name......."	"ABHASH.KUMAR.JHA"	"RAM.NATH.PRASAD"	"RAM.VILAS.ROY.VIMAL"	"RAMASHRAYA.SAHNI"	"VIJAY.KUMAR.CHAUDHARY"	"KAILASH.SAH"	"RAM.PRAMOD.MISHRA"	"SANTOSH.KUMAR.JHA"	"GOPAL.PRASAD.VERMA"	"RAM.WAWU.CHAURASIA"	"Total.Valid.Votes"
"73"	"61"	32	7	28	69	170	7	11	151	14	14	"503"
"74"	"62"	48	2	9	48	412	17	8	23	16	20	"603"
"75"	"63"	20	7	5	85	340	12	13	21	27	15	"545"
"76"	"64"	24	1	13	124	320	12	7	8	6	9	"524"
"77"	"65"	67	9	18	85	272	14	6	11	12	20	"514"
"78"	"66"	32	2	5	102	399	8	4	13	18	13	"596"
"79"	"67"	22	4	3	197	167	8	19	3	12	12	"447"
"80"	"68"	25	5	9	162	232	6	12	6	11	10	"478"
"81"	"69"	26	3	10	97	462	7	14	11	13	12	"655"
"82"	"70"	17	3	4	193	152	7	16	9	18	12	"431"
"83"	"71"	14	0	24	128	243	6	6	4	21	4	"450"
"84"	"72"	14	3	20	110	251	12	10	10	28	17	"475"
"85"	"73"	8	3	3	125	182	6	6	8	26	7	"374"
"86"	"73A"	9	4	12	162	201	3	18	3	19	11	"442"
"87"	"74"	27	3	11	166	317	7	15	10	35	53	"644"
"88"	"75"	15	4	15	413	225	10	29	16	28	36	"791"
"89"	"76"	54	4	15	70	421	9	11	9	26	152	"771"
"90"	"77"	19	2	9	34	281	6	3	6	10	34	"404"
"91"	"78"	22	2	2	30	290	7	2	2	24	15	"396"
"92"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"93"	"79"	33	7	17	100	427	15	15	19	29	93	"755"
"94"	"80"	17	3	18	167	168	5	5	11	15	219	"628"
"95"	"81"	3	0	3	26	281	1	4	13	8	12	"351"
"96"	"82"	28	4	10	157	192	8	20	5	14	6	"444"
"97"	"83"	49	5	7	208	248	6	8	6	15	62	"614"
"98"	"84"	15	5	5	224	320	10	10	9	20	60	"678"
"99"	"85"	63	6	1	114	236	10	8	4	6	4	"452"
"100"	"86"	21	2	4	112	133	3	7	6	17	10	"315"
"101"	"87"	49	5	14	87	412	13	17	5	25	41	"668"
"102"	"88"	11	1	5	83	226	12	6	7	38	15	"404"
"103"	"89"	27	17	17	153	276	10	23	11	19	7	"560"
"104"	"90"	11	1	17	211	156	10	19	13	17	15	"470"
"105"	"91"	8	4	10	183	232	6	18	11	15	13	"500"
"106"	"92"	22	5	28	208	320	13	13	13	22	23	"667"
"107"	"93"	28	3	16	55	482	15	8	11	10	9	"637"
"108"	"94"	14	7	12	275	272	19	35	8	22	37	"701"
"109"	"95"	4	4	11	103	126	2	17	6	7	21	"301"
"110"	"96"	18	3	9	192	328	14	17	8	23	44	"656"
"111"	"97"	13	2	11	69	358	4	6	4	11	11	"489"
"112"	"98"	37	1	2	66	279	7	5	9	5	35	"446"
"113"	"99"	37	4	9	33	358	27	3	7	16	15	"509"
"114"	"100"	15	3	7	296	305	7	18	7	13	11	"682"
"115"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"116"	"101"	29	11	16	247	295	13	25	9	22	20	"687"
"117"	"102"	31	3	9	32	323	4	1	2	7	1	"413"
"118"	"103"	20	2	5	45	300	8	4	4	11	10	"409"
"119"	"104"	12	7	33	347	184	10	29	8	15	32	"677"
"120"	"105"	15	10	11	99	322	22	6	10	12	22	"529"
"121"	"106"	21	2	8	143	562	12	13	6	27	12	"806"
"122"	"107"	35	8	21	223	285	19	16	22	33	43	"705"
"123"	"108"	12	5	8	183	70	3	9	3	6	17	"316"
"124"	"109"	33	2	16	107	374	11	9	14	25	33	"624"
"125"	"110"	21	3	9	227	219	6	23	3	5	7	"523"
"126"	"111"	18	2	9	87	296	7	6	8	29	26	"488"
"127"	"112"	11	2	2	35	156	7	3	2	9	6	"233"
"128"	"113"	9	0	4	135	58	1	10	4	3	1	"225"
"129"	"114"	26	7	18	242	265	16	29	16	21	13	"653"
"130"	"115"	15	4	4	53	353	9	9	10	15	4	"476"
"131"	"116"	32	1	11	217	301	5	19	1	4	7	"598"
"132"	"117"	37	2	7	229	185	11	21	7	11	18	"528"
"133"	"118"	19	1	10	83	373	25	14	8	22	19	"574"
"134"	"119"	16	1	9	186	375	34	12	14	24	6	"677"
"135"	"120"	20	1	28	105	241	14	8	5	18	22	"462"
"136"	"120A"	9	0	10	76	233	4	3	8	13	20	"376"
"137"	"121"	12	4	20	163	145	14	8	9	21	22	"418"
"138"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"139"	"121A"	20	5	18	166	176	9	4	1	9	13	"421"
"140"	"122"	96	2	27	127	291	8	20	7	13	9	"600"
"141"	"123"	17	2	6	350	134	6	25	6	1	6	"553"
"142"	"124"	24	5	7	326	101	7	21	3	5	1	"500"
"143"	"125"	1	1	1	226	9	0	5	0	1	0	"244"
"144"	"126"	34	13	17	341	219	34	34	4	14	2	"712"
"145"	"127"	32	6	18	208	143	119	22	20	23	40	"631"
"146"	"128"	22	0	4	77	233	7	5	6	7	11	"372"
"147"	"129"	44	0	9	133	214	2	14	7	12	13	"448"
"148"	"130"	35	2	16	121	262	11	11	8	19	17	"502"
"149"	"131"	26	7	10	174	81	2	13	9	5	11	"338"
"150"	"132"	10	7	91	284	126	4	27	15	14	11	"589"
"151"	"133"	2	1	153	251	57	7	10	10	7	2	"500"
"152"	"134"	21	5	238	158	67	3	7	9	5	15	"528"
"153"	"135"	28	3	86	362	91	24	20	12	7	14	"647"
"154"	"136"	23	3	83	82	185	11	6	3	5	30	"431"
"155"	"137"	22	6	117	270	237	6	22	13	23	20	"736"
"156"	"138"	16	3	32	180	107	8	15	13	18	23	"415"
"157"	"138A"	28	5	19	188	125	5	18	2	7	14	"411"
"158"	"139"	44	5	15	276	180	4	18	3	20	10	"575"
"159"	"140"	42	0	9	153	86	3	11	4	11	9	"328"
"160"	"141"	23	8	11	197	324	12	12	12	10	7	"616"
"161"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"162"	"142"	20	3	14	45	264	13	0	4	8	16	"387"
"163"	"143"	32	1	32	295	252	6	8	6	12	29	"673"
"164"	"144"	23	6	21	165	333	6	20	4	17	23	"618"
"165"	"145"	38	11	43	236	424	16	29	9	36	44	"886"
"166"	"146"	15	2	12	204	265	7	12	10	19	38	"584"
"167"	"147"	24	2	8	379	155	6	37	10	12	22	"655"
"168"	"148"	19	6	35	386	264	19	26	14	25	30	"824"
"169"	"149"	22	8	44	91	472	10	14	13	25	18	"717"
"170"	"150"	12	2	8	343	332	1	21	31	8	8	"766"
"171"	"151"	32	10	19	222	273	5	6	4	13	13	"597"
"172"	"152"	32	1	5	75	171	2	2	0	4	9	"301"
"173"	"153"	13	5	2	264	69	4	19	6	2	5	"389"
"174"	"154"	22	5	11	245	224	9	20	13	18	14	"581"
"175"	"155"	15	5	10	232	150	10	17	4	12	13	"468"
"176"	"156"	14	4	11	221	26	7	17	3	1	12	"316"
"177"	"157"	7	5	11	309	57	5	22	9	3	20	"448"
"178"	"158"	30	3	12	124	428	3	8	7	17	6	"638"
"179"	"159"	18	3	17	261	173	7	15	16	14	17	"541"
"180"	"160"	21	5	7	249	206	5	20	4	13	15	"545"
"181"	"161"	5	2	6	59	366	5	5	3	6	8	"465"
"182"	"162"	17	2	9	72	245	78	18	10	17	20	"488"
"183"	"163"	11	2	7	181	226	6	17	2	11	5	"468"
"184"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"185"	"164"	11	1	4	173	94	5	19	4	3	4	"318"
"186"	"165"	38	2	10	69	294	8	12	1	8	5	"447"
"187"	"166"	109	3	14	73	373	4	12	8	18	6	"620"
"188"	"167"	67	4	13	88	222	12	13	8	10	12	"449"
"189"	"168"	29	3	2	42	80	5	3	28	9	5	"206"
"190"	"169"	27	2	10	217	141	15	21	23	13	11	"480"
"191"	"170"	30	14	20	228	300	19	29	20	13	43	"716"
"192"	"171"	19	3	8	151	229	11	10	15	9	18	"473"
"193"	"172"	17	3	11	242	375	12	22	15	18	27	"742"
"194"	"173"	19	5	11	166	236	0	14	10	9	3	"473"
"195"	"173A"	28	1	4	197	215	1	6	5	7	16	"480"
"196"	"174"	42	3	18	40	177	7	2	4	15	3	"311"
"197"	"175"	112	3	18	235	180	8	21	12	14	33	"636"
"198"	"176"	67	2	21	229	281	12	16	10	23	33	"694"
"199"	"177"	28	0	19	51	125	2	6	8	22	13	"274"
"200"	"178"	87	3	9	138	228	7	15	1	10	5	"503"
"201"	"179"	55	7	4	213	168	8	15	7	4	19	"500"
"202"	"180"	63	2	14	76	394	9	7	5	14	79	"663"
"203"	"181"	68	12	16	155	303	7	13	11	24	112	"721"
"204"	"182"	89	2	4	15	203	1	0	14	6	22	"356"
"205"	"183"	90	3	6	84	214	4	4	5	13	12	"435"
"206"	"184"	63	2	10	54	643	15	7	19	18	21	"852"
"207"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"208"	"185"	142	3	20	149	306	2	14	9	17	13	"675"
"209"	"186"	51	2	12	253	129	14	13	15	16	20	"525"
"210"	"187"	68	14	8	69	236	7	4	4	14	11	"435"
"211"	"188"	71	6	12	135	368	14	13	19	21	27	"686"
"212"	"189"	25	4	10	254	228	5	16	2	12	7	"563"
"213"	"190"	17	0	7	248	54	3	12	0	2	4	"347"
"214"	"191"	36	3	9	206	229	4	12	2	6	5	"512"
"215"	"192"	69	6	6	112	370	13	10	14	19	23	"642"
"216"	"193"	58	3	13	68	201	1	2	2	4	6	"358"
"217"	"193A"	103	10	7	82	151	5	6	8	2	8	"382"
"218"	"194"	219	4	15	114	141	6	19	20	12	8	"558"
"219"	"195"	24	3	6	107	272	7	6	6	11	8	"450"
"220"	"196"	268	5	8	76	185	7	12	29	14	41	"645"
"221"	"197"	324	3	15	70	57	2	3	7	6	20	"507"
"222"	"198"	98	3	3	101	43	3	6	2	3	3	"265"
"223"	"199"	159	2	17	55	213	5	5	5	2	8	"471"
"224"	"200"	84	0	6	19	146	1	0	97	1	2	"356"
"225"	"200A"	132	2	10	92	97	1	5	17	2	3	"361"
"226"	"201"	104	1	3	178	172	1	12	4	5	2	"482"
"227"	"202"	117	4	9	116	168	2	6	4	12	12	"450"
"228"	"203"	38	14	16	374	167	12	29	12	21	29	"712"
"229"	"204"	329	10	9	47	200	6	7	11	11	23	"653"
"230"	"Candidates  Name ----->"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Total Valid Votes"
"231"	"205"	177	1	6	37	64	2	3	1	0	4	"295"
"232"	"206"	170	4	17	244	164	4	16	3	15	16	"653"
"233"	"207"	61	1	3	52	127	5	3	0	4	9	"265"
"234"	"Total:"	8652	913	3520	36389	53942	2430	2954	2090	3328	4486	"118704"
"235"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"236"	"Postal Ballot"	0	0	0	0	4	0	0	0	0	0	"4"
"237"	"Grand Total:"	8652	913	3520	36389	53946	2430	2954	2090	3328	4486	"118708"
"238"	"Place:"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"239"	"Date: 24/11/2010"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
"240"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""
