"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"18"	"14"	"502"	"19"	"9"	"40"	"20"	"1"	"2"	"4"	"16"	"613"	"0"	"613"	"0"
"19"	"15"	"545"	"15"	"16"	"12"	"0"	"5"	"3"	"3"	"15"	"614"	"0"	"614"	"0"
"20"	"16"	"83"	"8"	"19"	"84"	"21"	"2"	"1"	"1"	"4"	"223"	"0"	"223"	"0"
"21"	"17"	"392"	"21"	"15"	"32"	"3"	"4"	"6"	"6"	"16"	"495"	"0"	"495"	"0"
"22"	"18"	"139"	"12"	"20"	"334"	"13"	"12"	"7"	"8"	"19"	"564"	"0"	"564"	"0"
"23"	"19"	"60"	"10"	"9"	"160"	"13"	"24"	"7"	"5"	"10"	"298"	"0"	"298"	"0"
"24"	"20"	"268"	"7"	"12"	"127"	"6"	"0"	"5"	"1"	"2"	"428"	"0"	"428"	"0"
"25"	"21"	"387"	"14"	"14"	"124"	"42"	"9"	"13"	"10"	"42"	"655"	"0"	"655"	"0"
"26"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"27"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"28"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"29"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"30"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"31"	"22"	"138"	"4"	"11"	"377"	"19"	"4"	"11"	"5"	"17"	"586"	"0"	"586"	"0"
"32"	"23"	"142"	"19"	"44"	"576"	"60"	"7"	"15"	"7"	"13"	"883"	"0"	"883"	"0"
"33"	"24"	"251"	"15"	"32"	"280"	"38"	"5"	"2"	"3"	"7"	"633"	"0"	"633"	"0"
"34"	"25"	"27"	"6"	"7"	"390"	"5"	"11"	"14"	"0"	"7"	"467"	"0"	"467"	"0"
"35"	"26"	"180"	"6"	"10"	"256"	"0"	"2"	"0"	"2"	"9"	"465"	"0"	"465"	"0"
"36"	"27"	"466"	"9"	"4"	"95"	"8"	"7"	"5"	"4"	"9"	"607"	"0"	"607"	"0"
"37"	"28"	"239"	"12"	"5"	"190"	"4"	"3"	"8"	"0"	"3"	"464"	"0"	"464"	"0"
"38"	"29"	"248"	"3"	"2"	"127"	"1"	"0"	"0"	"0"	"5"	"386"	"0"	"386"	"0"
"39"	"30"	"189"	"20"	"4"	"226"	"27"	"7"	"5"	"7"	"13"	"498"	"0"	"498"	"0"
"40"	"31"	"184"	"9"	"35"	"199"	"142"	"7"	"0"	"0"	"3"	"579"	"0"	"579"	"0"
"41"	"32"	"202"	"12"	"20"	"207"	"80"	"9"	"6"	"5"	"20"	"561"	"0"	"561"	"0"
"42"	"33"	"138"	"4"	"26"	"167"	"18"	"3"	"4"	"2"	"2"	"364"	"0"	"364"	"0"
"43"	"34"	"185"	"11"	"7"	"95"	"2"	"2"	"4"	"3"	"4"	"313"	"0"	"313"	"0"
"44"	"35"	"86"	"3"	"12"	"96"	"130"	"3"	"3"	"2"	"8"	"343"	"0"	"343"	"0"
"45"	"36"	"30"	"11"	"8"	"358"	"63"	"6"	"6"	"3"	"8"	"493"	"0"	"493"	"0"
"46"	"37"	"154"	"9"	"14"	"246"	"13"	"9"	"4"	"4"	"13"	"466"	"0"	"466"	"0"
"47"	"38"	"80"	"24"	"20"	"163"	"50"	"7"	"4"	"1"	"5"	"354"	"0"	"354"	"0"
"48"	"39"	"1"	"1"	"15"	"142"	"6"	"6"	"1"	"0"	"1"	"173"	"0"	"173"	"0"
"49"	"40"	"332"	"22"	"40"	"369"	"21"	"7"	"26"	"5"	"6"	"828"	"0"	"828"	"0"
"50"	"41"	"222"	"16"	"2"	"340"	"25"	"9"	"6"	"4"	"4"	"628"	"0"	"628"	"0"
"51"	"42"	"147"	"7"	"15"	"287"	"8"	"12"	"15"	"6"	"10"	"507"	"0"	"507"	"0"
"52"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"53"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"54"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"55"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"56"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"57"	"43"	"117"	"24"	"20"	"483"	"64"	"10"	"14"	"8"	"25"	"765"	"0"	"765"	"0"
"58"	"44"	"62"	"9"	"16"	"244"	"40"	"7"	"25"	"12"	"13"	"428"	"0"	"428"	"0"
"59"	"45"	"210"	"10"	"16"	"72"	"108"	"5"	"32"	"4"	"18"	"475"	"0"	"475"	"0"
"60"	"46"	"781"	"16"	"14"	"64"	"6"	"4"	"16"	"7"	"15"	"923"	"0"	"923"	"0"
"61"	"47"	"150"	"20"	"10"	"238"	"22"	"19"	"13"	"4"	"9"	"485"	"0"	"485"	"0"
"62"	"47A"	"125"	"32"	"11"	"252"	"17"	"16"	"13"	"8"	"19"	"493"	"0"	"493"	"0"
"63"	"48"	"197"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"4"	"208"	"0"	"208"	"0"
"64"	"49"	"150"	"15"	"6"	"67"	"1"	"0"	"6"	"3"	"11"	"259"	"0"	"259"	"0"
"65"	"50"	"310"	"16"	"13"	"215"	"23"	"14"	"5"	"5"	"23"	"624"	"0"	"624"	"0"
"66"	"51"	"596"	"13"	"25"	"55"	"11"	"11"	"5"	"4"	"17"	"737"	"0"	"737"	"0"
"67"	"52"	"483"	"36"	"24"	"197"	"10"	"8"	"2"	"1"	"11"	"772"	"0"	"772"	"0"
"68"	"53"	"53"	"6"	"28"	"359"	"63"	"2"	"0"	"2"	"4"	"517"	"0"	"517"	"0"
"69"	"54"	"71"	"62"	"10"	"115"	"33"	"16"	"11"	"5"	"14"	"337"	"0"	"337"	"0"
"70"	"55"	"182"	"12"	"4"	"266"	"4"	"1"	"11"	"4"	"14"	"498"	"0"	"498"	"0"
"71"	"56"	"80"	"6"	"10"	"218"	"5"	"1"	"8"	"1"	"5"	"334"	"0"	"334"	"0"
"72"	"57"	"241"	"22"	"13"	"293"	"15"	"5"	"5"	"3"	"12"	"609"	"0"	"609"	"0"
"73"	"58"	"42"	"9"	"9"	"266"	"3"	"2"	"4"	"2"	"7"	"344"	"0"	"344"	"0"
"74"	"59"	"389"	"22"	"4"	"172"	"118"	"11"	"8"	"7"	"27"	"758"	"0"	"758"	"0"
"75"	"60"	"313"	"35"	"1"	"63"	"11"	"1"	"12"	"1"	"6"	"443"	"0"	"443"	"0"
"76"	"61"	"400"	"10"	"12"	"170"	"128"	"3"	"1"	"4"	"25"	"753"	"0"	"753"	"0"
"77"	"62"	"477"	"32"	"12"	"113"	"29"	"4"	"4"	"3"	"8"	"682"	"0"	"682"	"0"
"78"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"79"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"80"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"81"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"82"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"83"	"63"	"130"	"32"	"12"	"607"	"8"	"9"	"1"	"1"	"4"	"804"	"0"	"804"	"0"
"84"	"64"	"184"	"10"	"7"	"331"	"46"	"6"	"4"	"1"	"3"	"592"	"0"	"592"	"0"
"85"	"65"	"92"	"26"	"8"	"610"	"10"	"11"	"3"	"3"	"12"	"775"	"0"	"775"	"0"
"86"	"66"	"104"	"30"	"12"	"390"	"68"	"7"	"2"	"5"	"3"	"621"	"0"	"621"	"0"
"87"	"67"	"113"	"13"	"10"	"189"	"27"	"2"	"1"	"3"	"4"	"362"	"0"	"362"	"0"
"88"	"68"	"188"	"28"	"32"	"554"	"9"	"11"	"4"	"7"	"3"	"836"	"0"	"836"	"0"
"89"	"69"	"90"	"9"	"19"	"271"	"31"	"5"	"4"	"3"	"3"	"435"	"0"	"435"	"0"
"90"	"70"	"324"	"18"	"15"	"102"	"80"	"14"	"7"	"1"	"18"	"579"	"0"	"579"	"0"
"91"	"71"	"354"	"14"	"18"	"116"	"22"	"7"	"2"	"2"	"13"	"548"	"0"	"548"	"0"
"92"	"72"	"433"	"14"	"7"	"61"	"2"	"0"	"9"	"2"	"7"	"535"	"0"	"535"	"0"
"93"	"73"	"305"	"8"	"6"	"103"	"3"	"8"	"4"	"2"	"2"	"441"	"0"	"441"	"0"
"94"	"74"	"433"	"9"	"9"	"65"	"7"	"1"	"2"	"1"	"15"	"542"	"0"	"542"	"0"
"95"	"75"	"384"	"32"	"27"	"283"	"101"	"10"	"14"	"9"	"9"	"869"	"0"	"869"	"0"
"96"	"76"	"216"	"13"	"17"	"247"	"20"	"13"	"4"	"5"	"13"	"548"	"0"	"548"	"0"
"97"	"77"	"313"	"4"	"11"	"15"	"6"	"6"	"1"	"2"	"7"	"365"	"0"	"365"	"0"
"98"	"78"	"380"	"6"	"4"	"21"	"6"	"7"	"5"	"1"	"6"	"436"	"0"	"436"	"0"
"99"	"79"	"540"	"20"	"8"	"206"	"12"	"9"	"4"	"7"	"14"	"820"	"0"	"820"	"0"
"100"	"80"	"445"	"14"	"7"	"178"	"20"	"6"	"4"	"9"	"12"	"695"	"0"	"695"	"0"
"101"	"81"	"488"	"16"	"8"	"203"	"4"	"7"	"6"	"7"	"16"	"755"	"0"	"755"	"0"
"102"	"82"	"531"	"5"	"9"	"16"	"12"	"1"	"0"	"11"	"0"	"585"	"0"	"585"	"0"
"103"	"83"	"382"	"6"	"22"	"43"	"1"	"5"	"6"	"0"	"11"	"476"	"0"	"476"	"0"
"104"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"105"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"106"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"107"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"108"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"109"	"84"	"246"	"20"	"36"	"137"	"56"	"4"	"7"	"1"	"7"	"514"	"0"	"514"	"0"
"110"	"85"	"400"	"13"	"9"	"133"	"68"	"6"	"11"	"7"	"29"	"676"	"0"	"676"	"0"
"111"	"86"	"252"	"9"	"0"	"31"	"4"	"3"	"0"	"0"	"1"	"300"	"0"	"300"	"0"
"112"	"87"	"644"	"12"	"3"	"111"	"8"	"1"	"2"	"0"	"1"	"782"	"0"	"782"	"0"
"113"	"88"	"104"	"23"	"7"	"346"	"93"	"13"	"1"	"6"	"9"	"602"	"0"	"602"	"0"
"114"	"89"	"99"	"5"	"10"	"80"	"2"	"3"	"3"	"2"	"5"	"209"	"0"	"209"	"0"
"115"	"90"	"115"	"11"	"5"	"155"	"76"	"9"	"7"	"8"	"7"	"393"	"0"	"393"	"0"
"116"	"91"	"155"	"6"	"2"	"190"	"65"	"7"	"2"	"1"	"6"	"434"	"0"	"434"	"0"
"117"	"92"	"77"	"14"	"6"	"237"	"17"	"8"	"19"	"5"	"20"	"403"	"0"	"403"	"0"
"118"	"93"	"296"	"15"	"10"	"191"	"37"	"8"	"4"	"3"	"19"	"583"	"0"	"583"	"0"
"119"	"94"	"168"	"8"	"3"	"33"	"2"	"1"	"3"	"2"	"2"	"222"	"0"	"222"	"0"
"120"	"95"	"175"	"13"	"4"	"40"	"3"	"3"	"1"	"4"	"8"	"251"	"0"	"251"	"0"
"121"	"96"	"138"	"110"	"9"	"84"	"1"	"1"	"3"	"6"	"5"	"357"	"0"	"357"	"0"
"122"	"97"	"310"	"14"	"9"	"119"	"67"	"7"	"1"	"5"	"16"	"548"	"0"	"548"	"0"
"123"	"98"	"294"	"11"	"63"	"68"	"52"	"9"	"4"	"0"	"3"	"504"	"0"	"504"	"0"
"124"	"99"	"470"	"17"	"17"	"65"	"28"	"6"	"9"	"4"	"22"	"638"	"0"	"638"	"0"
"125"	"100"	"628"	"18"	"10"	"27"	"5"	"3"	"4"	"5"	"10"	"710"	"0"	"710"	"0"
"126"	"101"	"211"	"9"	"4"	"23"	"0"	"1"	"1"	"4"	"16"	"269"	"0"	"269"	"0"
"127"	"102"	"250"	"6"	"6"	"70"	"15"	"3"	"1"	"3"	"15"	"369"	"0"	"369"	"0"
"128"	"103"	"204"	"17"	"6"	"99"	"20"	"4"	"12"	"28"	"23"	"413"	"0"	"413"	"0"
"129"	"104"	"236"	"18"	"6"	"87"	"10"	"9"	"9"	"15"	"4"	"394"	"0"	"394"	"0"
"130"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"131"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"132"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"133"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"134"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"135"	"105"	"275"	"20"	"13"	"53"	"1"	"1"	"11"	"54"	"24"	"452"	"0"	"452"	"0"
"136"	"106"	"143"	"7"	"5"	"35"	"2"	"5"	"5"	"16"	"18"	"236"	"0"	"236"	"0"
"137"	"107"	"406"	"3"	"0"	"20"	"2"	"0"	"2"	"7"	"2"	"442"	"0"	"442"	"0"
"138"	"108"	"439"	"7"	"15"	"16"	"5"	"3"	"2"	"45"	"15"	"547"	"0"	"547"	"0"
"139"	"109"	"563"	"21"	"11"	"50"	"25"	"9"	"6"	"32"	"38"	"755"	"0"	"755"	"0"
"140"	"110"	"123"	"21"	"6"	"71"	"9"	"8"	"5"	"6"	"3"	"252"	"0"	"252"	"0"
"141"	"111"	"139"	"8"	"11"	"245"	"32"	"6"	"7"	"51"	"15"	"514"	"0"	"514"	"0"
"142"	"112"	"44"	"14"	"24"	"171"	"7"	"8"	"3"	"72"	"5"	"348"	"0"	"348"	"0"
"143"	"113"	"154"	"18"	"9"	"215"	"31"	"13"	"17"	"29"	"56"	"542"	"0"	"542"	"0"
"144"	"114"	"40"	"10"	"6"	"191"	"16"	"2"	"5"	"0"	"1"	"271"	"0"	"271"	"0"
"145"	"115"	"151"	"4"	"1"	"51"	"8"	"2"	"3"	"2"	"11"	"233"	"0"	"233"	"0"
"146"	"116"	"164"	"28"	"15"	"187"	"151"	"11"	"55"	"16"	"25"	"652"	"0"	"652"	"0"
"147"	"117"	"612"	"19"	"7"	"27"	"10"	"0"	"3"	"24"	"7"	"709"	"0"	"709"	"0"
"148"	"118"	"500"	"26"	"23"	"32"	"2"	"5"	"5"	"25"	"21"	"639"	"0"	"639"	"0"
"149"	"119"	"95"	"9"	"5"	"81"	"30"	"3"	"5"	"6"	"23"	"257"	"0"	"257"	"0"
"150"	"120"	"113"	"11"	"5"	"99"	"13"	"4"	"7"	"8"	"8"	"268"	"0"	"268"	"0"
"151"	"121"	"497"	"15"	"9"	"31"	"9"	"8"	"11"	"35"	"13"	"628"	"0"	"628"	"0"
"152"	"122"	"201"	"28"	"4"	"52"	"1"	"3"	"2"	"15"	"16"	"322"	"0"	"322"	"0"
"153"	"123"	"378"	"18"	"17"	"62"	"21"	"10"	"11"	"56"	"28"	"601"	"0"	"601"	"0"
"154"	"124"	"509"	"13"	"5"	"10"	"4"	"2"	"8"	"6"	"14"	"571"	"0"	"571"	"0"
"155"	"125"	"347"	"4"	"1"	"2"	"1"	"1"	"1"	"7"	"4"	"368"	"0"	"368"	"0"
"156"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"157"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"158"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"159"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"160"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"161"	"126"	"62"	"7"	"14"	"75"	"135"	"1"	"3"	"4"	"13"	"314"	"0"	"314"	"0"
"162"	"127"	"243"	"17"	"6"	"80"	"12"	"4"	"3"	"4"	"25"	"394"	"0"	"394"	"0"
"163"	"128"	"83"	"12"	"6"	"118"	"91"	"6"	"4"	"1"	"9"	"330"	"0"	"330"	"0"
"164"	"129"	"181"	"7"	"22"	"125"	"3"	"2"	"3"	"4"	"4"	"351"	"0"	"351"	"0"
"165"	"130"	"547"	"5"	"6"	"16"	"2"	"1"	"1"	"3"	"7"	"588"	"0"	"588"	"0"
"166"	"131"	"145"	"3"	"7"	"13"	"1"	"0"	"0"	"1"	"3"	"173"	"0"	"173"	"0"
"167"	"132"	"679"	"12"	"24"	"30"	"6"	"3"	"4"	"5"	"16"	"779"	"0"	"779"	"0"
"168"	"133"	"133"	"11"	"15"	"235"	"14"	"7"	"4"	"6"	"16"	"441"	"0"	"441"	"0"
"169"	"134"	"413"	"7"	"14"	"13"	"19"	"1"	"0"	"3"	"8"	"478"	"0"	"478"	"0"
"170"	"135"	"555"	"3"	"3"	"7"	"4"	"3"	"0"	"11"	"7"	"593"	"0"	"593"	"0"
"171"	"136"	"676"	"12"	"6"	"26"	"11"	"2"	"0"	"6"	"11"	"750"	"0"	"750"	"0"
"172"	"137"	"572"	"6"	"2"	"58"	"7"	"1"	"1"	"5"	"1"	"653"	"0"	"653"	"0"
"173"	"138"	"402"	"2"	"3"	"67"	"0"	"0"	"1"	"2"	"4"	"481"	"0"	"481"	"0"
"174"	"139"	"206"	"6"	"9"	"179"	"9"	"4"	"2"	"2"	"5"	"422"	"0"	"422"	"0"
"175"	"140"	"424"	"27"	"6"	"47"	"25"	"1"	"7"	"11"	"19"	"567"	"0"	"567"	"0"
"176"	"141"	"190"	"3"	"12"	"95"	"7"	"3"	"2"	"5"	"5"	"322"	"0"	"322"	"0"
"177"	"142"	"130"	"22"	"5"	"252"	"53"	"5"	"5"	"7"	"12"	"491"	"0"	"491"	"0"
"178"	"143"	"288"	"4"	"10"	"63"	"2"	"2"	"3"	"5"	"6"	"383"	"0"	"383"	"0"
"179"	"144"	"157"	"12"	"31"	"259"	"56"	"3"	"7"	"2"	"19"	"546"	"0"	"546"	"0"
"180"	"145"	"240"	"7"	"8"	"140"	"148"	"0"	"5"	"5"	"19"	"572"	"0"	"572"	"0"
"181"	"146"	"243"	"5"	"24"	"175"	"8"	"3"	"3"	"10"	"11"	"482"	"0"	"482"	"0"
"182"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"183"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"184"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"185"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"186"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"187"	"147"	"253"	"16"	"8"	"170"	"64"	"7"	"7"	"3"	"4"	"532"	"0"	"532"	"0"
"188"	"148"	"442"	"19"	"3"	"52"	"33"	"5"	"3"	"52"	"27"	"636"	"0"	"636"	"0"
"189"	"149"	"395"	"9"	"6"	"13"	"21"	"1"	"7"	"107"	"10"	"569"	"0"	"569"	"0"
"190"	"150"	"170"	"15"	"3"	"81"	"509"	"5"	"2"	"4"	"9"	"798"	"0"	"798"	"0"
"191"	"151"	"257"	"4"	"3"	"20"	"170"	"4"	"4"	"4"	"27"	"493"	"0"	"493"	"0"
"192"	"152"	"100"	"8"	"25"	"234"	"8"	"1"	"1"	"2"	"3"	"382"	"0"	"382"	"0"
"193"	"153"	"117"	"12"	"31"	"262"	"95"	"7"	"3"	"9"	"4"	"540"	"0"	"540"	"0"
"194"	"154"	"309"	"14"	"13"	"107"	"50"	"0"	"8"	"2"	"4"	"507"	"0"	"507"	"0"
"195"	"155"	"33"	"11"	"6"	"192"	"112"	"1"	"2"	"1"	"4"	"362"	"0"	"362"	"0"
"196"	"156"	"87"	"5"	"9"	"196"	"87"	"3"	"4"	"1"	"0"	"392"	"0"	"392"	"0"
"197"	"157"	"106"	"6"	"10"	"194"	"106"	"16"	"5"	"4"	"6"	"453"	"0"	"453"	"0"
"198"	"158"	"310"	"11"	"12"	"70"	"126"	"6"	"14"	"32"	"37"	"618"	"0"	"618"	"0"
"199"	"159"	"78"	"11"	"23"	"319"	"60"	"3"	"3"	"5"	"15"	"517"	"0"	"517"	"0"
"200"	"160"	"201"	"16"	"13"	"374"	"100"	"28"	"7"	"4"	"10"	"753"	"0"	"753"	"0"
"201"	"161"	"87"	"8"	"56"	"261"	"8"	"5"	"4"	"1"	"9"	"439"	"0"	"439"	"0"
"202"	"162"	"291"	"17"	"15"	"69"	"45"	"7"	"9"	"15"	"21"	"489"	"0"	"489"	"0"
"203"	"163"	"149"	"9"	"18"	"74"	"47"	"2"	"2"	"7"	"5"	"313"	"0"	"313"	"0"
"204"	"164"	"404"	"5"	"15"	"11"	"2"	"0"	"2"	"20"	"1"	"460"	"0"	"460"	"0"
"205"	"165"	"96"	"2"	"8"	"192"	"101"	"1"	"4"	"2"	"6"	"412"	"0"	"412"	"0"
"206"	"166"	"57"	"2"	"26"	"218"	"21"	"2"	"1"	"1"	"2"	"330"	"0"	"330"	"0"
"207"	"167"	"227"	"8"	"7"	"135"	"11"	"4"	"4"	"1"	"11"	"408"	"0"	"408"	"0"
"208"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"209"	""	"ANIRUDDH"	"BRIJNAND"	"RAMAYAN"	"VINODE"	"SUBODH"	"PUSHPA"	"RAM"	"SHASHI"	"SUJEET"	""	""	""	""
"210"	""	""	""	""	""	""	""	"JATAN"	""	""	""	""	""	""
"211"	""	"KUMAR"	"AN SINGH"	"PRASAD"	"YADAV"	"KUMAR"	"DEVI"	"CHOUDHA"	"YADAV"	"KUMAR"	""	""	""	""
"212"	""	""	""	""	""	""	""	"RY"	""	""	""	""	""	""
"213"	"168"	"278"	"11"	"10"	"79"	"21"	"2"	"4"	"7"	"11"	"423"	"0"	"423"	"0"
"214"	"169"	"183"	"18"	"3"	"174"	"49"	"3"	"14"	"7"	"14"	"465"	"0"	"465"	"0"
"215"	"170"	"478"	"16"	"6"	"7"	"65"	"2"	"10"	"138"	"21"	"743"	"0"	"743"	"0"
"216"	"171"	"128"	"5"	"1"	"28"	"54"	"2"	"1"	"19"	"3"	"241"	"0"	"241"	"0"
"217"	"172"	"424"	"35"	"7"	"24"	"8"	"1"	"7"	"57"	"37"	"600"	"0"	"600"	"0"
"218"	"173"	"134"	"12"	"10"	"165"	"16"	"4"	"5"	"8"	"30"	"384"	"0"	"384"	"0"
"219"	"174"	"405"	"15"	"6"	"74"	"6"	"5"	"3"	"9"	"11"	"534"	"0"	"534"	"0"
"220"	"175"	"349"	"29"	"7"	"42"	"38"	"12"	"13"	"58"	"54"	"602"	"0"	"602"	"0"
"221"	"176"	"253"	"13"	"7"	"14"	"4"	"4"	"9"	"174"	"34"	"512"	"0"	"512"	"0"
"222"	"177"	"195"	"24"	"14"	"91"	"120"	"6"	"19"	"95"	"20"	"584"	"0"	"584"	"0"
"223"	"178"	"294"	"11"	"9"	"75"	"10"	"1"	"2"	"1"	"5"	"408"	"0"	"408"	"0"
"224"	"179"	"270"	"5"	"12"	"112"	"9"	"3"	"3"	"3"	"9"	"426"	"0"	"426"	"0"
