"X1.i.z..i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[fu; e 56¼7½ nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v fUr e  i fj . kkei ="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"¼vf/kl wfpr  er nku dsUnzksa l s fHkUu er nku dsUnzksa i j  er nku dk i fj .kke vfHkfyf[ kr  dj us ds fy ,  mi ; ksx esa yk; k t k, ½ fo/kku l Hkk vke fuokZpu {ks= esa 159&vej i qj  ds fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"l Hkk [ k.M dk uke ¼l al nh;  fuokZpu {ks= l s fuokZpu dh l Hkk esa ½159&vej i qj  fo/kku l Hkk          l Hkk fuokZpu {ks= [ k.M esa fuokZpdksa dh dqy  l a[ ; k 2]33]495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"18"	"10"	"227"	"4"	"65"	"26"	"33"	"3"	"1"	"1"	"3"	"2"	"12"	"4"	"3"	"11"	"395"	"0"	"395"	"0"
"19"	"11"	"222"	"5"	"7"	"51"	"22"	"1"	"9"	"3"	"25"	"6"	"17"	"5"	"2"	"20"	"395"	"0"	"395"	"0"
"20"	"12"	"441"	"6"	"22"	"43"	"22"	"2"	"11"	"2"	"15"	"5"	"17"	"4"	"3"	"25"	"618"	"0"	"618"	"0"
"21"	"13"	"132"	"14"	"37"	"159"	"31"	"7"	"12"	"1"	"19"	"6"	"24"	"4"	"6"	"15"	"467"	"0"	"467"	"0"
"22"	"14"	"312"	"3"	"3"	"35"	"29"	"1"	"7"	"3"	"20"	"7"	"8"	"3"	"4"	"24"	"459"	"0"	"459"	"0"
"23"	"15"	"396"	"8"	"21"	"69"	"41"	"6"	"11"	"3"	"17"	"4"	"11"	"2"	"2"	"25"	"616"	"0"	"616"	"0"
"24"	"16"	"183"	"4"	"7"	"108"	"24"	"4"	"6"	"0"	"9"	"3"	"10"	"2"	"3"	"14"	"377"	"0"	"377"	"0"
"25"	"17"	"285"	"6"	"8"	"37"	"15"	"2"	"7"	"1"	"16"	"3"	"18"	"3"	"7"	"32"	"440"	"0"	"440"	"0"
"26"	"18"	"186"	"8"	"5"	"51"	"19"	"2"	"4"	"5"	"14"	"6"	"12"	"2"	"5"	"14"	"333"	"0"	"333"	"0"
"27"	"19"	"265"	"3"	"3"	"33"	"27"	"0"	"7"	"0"	"11"	"2"	"12"	"4"	"3"	"17"	"387"	"0"	"387"	"0"
"28"	"20"	"293"	"2"	"10"	"33"	"20"	"2"	"7"	"0"	"4"	"5"	"9"	"3"	"4"	"9"	"401"	"0"	"401"	"0"
"29"	"21"	"189"	"10"	"21"	"255"	"12"	"6"	"8"	"8"	"20"	"5"	"21"	"5"	"5"	"30"	"595"	"0"	"595"	"0"
"30"	"22"	"85"	"17"	"37"	"413"	"17"	"5"	"7"	"2"	"4"	"4"	"7"	"2"	"3"	"2"	"605"	"0"	"605"	"0"
"31"	"23"	"27"	"5"	"8"	"377"	"11"	"2"	"1"	"1"	"21"	"1"	"1"	"0"	"0"	"4"	"459"	"0"	"459"	"0"
"32"	"24"	"43"	"7"	"25"	"379"	"20"	"4"	"1"	"0"	"34"	"3"	"7"	"4"	"2"	"6"	"535"	"0"	"535"	"0"
"33"	"25"	"74"	"4"	"6"	"298"	"8"	"1"	"4"	"0"	"13"	"0"	"1"	"1"	"6"	"5"	"421"	"0"	"421"	"0"
"34"	"26"	"44"	"16"	"19"	"335"	"10"	"6"	"5"	"2"	"9"	"0"	"4"	"0"	"2"	"9"	"461"	"0"	"461"	"0"
"35"	"27"	"149"	"8"	"12"	"78"	"64"	"10"	"6"	"3"	"31"	"5"	"20"	"9"	"6"	"16"	"417"	"0"	"417"	"0"
"36"	"28"	"85"	"8"	"15"	"348"	"6"	"1"	"6"	"1"	"8"	"2"	"12"	"2"	"1"	"4"	"499"	"0"	"499"	"0"
"37"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"38"	""	"t uknZu
eka>h"	"eukst
vkt kn"	"j kd s' k
d qekj fl ag"	"l qj sUnz
i zl kn
fl ag"	"vuhy
d qekj fl ag"	"vfer
d qekj
>k"	"d snkj
i zl kn
fl ag"	"i ad t
d qekj"	"csch
nsoh"	"j es' k
d qekj pkS/kj h"	"fouksn
d qekj"	"t okgj y
ky
i kl oku"	"l qj s' k
i kl oku"	"l S; n
vy enkj gql Su"	""	""	""	""
"39"	"29"	"186"	"1"	"35"	"35"	"24"	"0"	"10"	"2"	"14"	"3"	"15"	"2"	"3"	"12"	"342"	"0"	"342"	"0"
"40"	"30"	"262"	"7"	"73"	"50"	"45"	"4"	"10"	"3"	"4"	"1"	"8"	"1"	"5"	"10"	"483"	"0"	"483"	"0"
"41"	"31"	"140"	"2"	"21"	"50"	"32"	"2"	"4"	"0"	"14"	"3"	"14"	"0"	"0"	"15"	"297"	"0"	"297"	"0"
"42"	"32"	"146"	"5"	"47"	"53"	"25"	"2"	"12"	"5"	"15"	"7"	"19"	"7"	"6"	"26"	"375"	"0"	"375"	"0"
"43"	"33"	"158"	"3"	"30"	"91"	"15"	"3"	"6"	"0"	"6"	"1"	"3"	"0"	"1"	"7"	"324"	"0"	"324"	"0"
"44"	"34"	"295"	"12"	"14"	"69"	"42"	"5"	"8"	"3"	"26"	"7"	"19"	"6"	"4"	"24"	"534"	"0"	"534"	"0"
"45"	"35"	"219"	"4"	"7"	"28"	"48"	"7"	"11"	"4"	"29"	"4"	"12"	"4"	"6"	"21"	"404"	"0"	"404"	"0"
"46"	"35A"	"194"	"6"	"28"	"12"	"52"	"1"	"7"	"3"	"27"	"5"	"15"	"2"	"3"	"15"	"370"	"0"	"370"	"0"
"47"	"36"	"85"	"23"	"32"	"61"	"149"	"2"	"5"	"3"	"29"	"2"	"8"	"1"	"2"	"1"	"403"	"0"	"403"	"0"
"48"	"37"	"73"	"9"	"14"	"377"	"17"	"3"	"4"	"2"	"6"	"3"	"2"	"5"	"2"	"10"	"527"	"0"	"527"	"0"
"49"	"38"	"47"	"5"	"6"	"145"	"7"	"4"	"3"	"3"	"9"	"8"	"6"	"3"	"5"	"21"	"272"	"0"	"272"	"0"
"50"	"39"	"67"	"4"	"10"	"91"	"12"	"3"	"3"	"1"	"4"	"1"	"5"	"3"	"2"	"7"	"213"	"0"	"213"	"0"
"51"	"40"	"39"	"16"	"18"	"433"	"15"	"1"	"6"	"1"	"28"	"4"	"11"	"3"	"0"	"5"	"580"	"0"	"580"	"0"
"52"	"41"	"168"	"5"	"20"	"42"	"65"	"8"	"11"	"8"	"34"	"11"	"16"	"5"	"1"	"17"	"411"	"0"	"411"	"0"
"53"	"42"	"291"	"10"	"23"	"187"	"39"	"4"	"20"	"8"	"16"	"8"	"17"	"3"	"5"	"19"	"650"	"0"	"650"	"0"
"54"	"43"	"317"	"3"	"5"	"55"	"17"	"1"	"2"	"0"	"9"	"1"	"7"	"3"	"2"	"16"	"438"	"0"	"438"	"0"
"55"	"44"	"404"	"5"	"6"	"29"	"9"	"2"	"4"	"0"	"27"	"5"	"14"	"4"	"0"	"35"	"544"	"0"	"544"	"0"
"56"	"45"	"263"	"4"	"10"	"118"	"33"	"2"	"5"	"1"	"13"	"11"	"13"	"10"	"6"	"44"	"533"	"0"	"533"	"0"
"57"	"46"	"214"	"3"	"29"	"34"	"46"	"7"	"4"	"4"	"13"	"4"	"15"	"6"	"2"	"17"	"398"	"0"	"398"	"0"
"58"	"47"	"352"	"7"	"66"	"22"	"49"	"5"	"5"	"0"	"11"	"6"	"21"	"2"	"4"	"16"	"566"	"0"	"566"	"0"
"59"	"48"	"151"	"4"	"2"	"61"	"39"	"2"	"1"	"0"	"17"	"2"	"15"	"10"	"3"	"18"	"325"	"0"	"325"	"0"
"60"	"49"	"242"	"2"	"15"	"8"	"30"	"0"	"4"	"1"	"7"	"0"	"0"	"0"	"0"	"1"	"310"	"0"	"310"	"0"
"61"	"50"	"114"	"16"	"22"	"137"	"34"	"5"	"4"	"2"	"15"	"3"	"10"	"2"	"7"	"12"	"383"	"0"	"383"	"0"
"62"	"51"	"497"	"0"	"150"	"2"	"28"	"1"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"9"	"691"	"0"	"691"	"0"
"63"	"52"	"187"	"5"	"549"	"9"	"26"	"1"	"13"	"0"	"9"	"5"	"7"	"1"	"4"	"10"	"826"	"0"	"826"	"0"
"64"	"53"	"120"	"16"	"25"	"219"	"16"	"4"	"13"	"3"	"6"	"5"	"9"	"1"	"3"	"25"	"465"	"0"	"465"	"0"
"65"	"54"	"85"	"5"	"37"	"169"	"13"	"2"	"6"	"1"	"12"	"3"	"5"	"2"	"4"	"7"	"351"	"0"	"351"	"0"
"66"	"55"	"172"	"19"	"31"	"75"	"28"	"2"	"4"	"3"	"18"	"6"	"5"	"3"	"1"	"27"	"394"	"0"	"394"	"0"
"67"	"56"	"143"	"6"	"30"	"66"	"21"	"5"	"4"	"1"	"18"	"3"	"10"	"1"	"2"	"7"	"317"	"0"	"317"	"0"
"68"	"57"	"96"	"3"	"16"	"68"	"10"	"2"	"7"	"1"	"7"	"5"	"4"	"2"	"1"	"15"	"237"	"0"	"237"	"0"
"69"	"58"	"224"	"17"	"36"	"80"	"24"	"10"	"4"	"2"	"11"	"1"	"3"	"3"	"1"	"9"	"425"	"0"	"425"	"0"
"70"	"59"	"178"	"11"	"18"	"72"	"15"	"3"	"7"	"3"	"8"	"1"	"9"	"1"	"2"	"11"	"339"	"0"	"339"	"0"
"71"	"60"	"265"	"14"	"31"	"129"	"25"	"6"	"22"	"2"	"12"	"9"	"16"	"12"	"6"	"29"	"578"	"0"	"578"	"0"
"72"	"61"	"206"	"1"	"69"	"7"	"14"	"0"	"3"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"304"	"0"	"304"	"0"
"73"	"62"	"213"	"2"	"40"	"5"	"42"	"1"	"1"	"0"	"9"	"3"	"5"	"0"	"0"	"5"	"326"	"0"	"326"	"0"
"74"	"63"	"160"	"1"	"54"	"46"	"22"	"2"	"6"	"2"	"16"	"7"	"16"	"1"	"3"	"14"	"350"	"0"	"350"	"0"
"75"	"64"	"147"	"13"	"25"	"326"	"27"	"6"	"21"	"2"	"31"	"3"	"26"	"43"	"12"	"39"	"721"	"0"	"721"	"0"
"76"	"65"	"143"	"8"	"91"	"58"	"40"	"3"	"10"	"2"	"20"	"4"	"11"	"5"	"2"	"15"	"412"	"0"	"412"	"0"
"77"	"66"	"13"	"13"	"13"	"188"	"6"	"1"	"2"	"4"	"6"	"1"	"5"	"3"	"1"	"5"	"261"	"0"	"261"	"0"
"78"	"67"	"58"	"2"	"22"	"37"	"20"	"1"	"4"	"1"	"25"	"2"	"7"	"1"	"1"	"16"	"197"	"0"	"197"	"0"
"79"	"68"	"79"	"1"	"21"	"102"	"34"	"3"	"6"	"1"	"19"	"7"	"4"	"4"	"4"	"16"	"301"	"0"	"301"	"0"
"80"	"69"	"81"	"17"	"19"	"158"	"59"	"7"	"15"	"4"	"33"	"12"	"12"	"7"	"8"	"16"	"448"	"0"	"448"	"0"
"81"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"82"	""	"t uknZu
eka>h"	"eukst
vkt kn"	"j kd s' k
d qekj fl ag"	"l qj sUnz
i zl kn
fl ag"	"vuhy
d qekj fl ag"	"vfer
d qekj
>k"	"d snkj
i zl kn
fl ag"	"i ad t
d qekj"	"csch
nsoh"	"j es' k
d qekj pkS/kj h"	"fouksn
d qekj"	"t okgj y
ky
i kl oku"	"l qj s' k
i kl oku"	"l S; n
vy enkj gql Su"	""	""	""	""
"83"	"70"	"97"	"5"	"3"	"8"	"20"	"2"	"3"	"2"	"15"	"3"	"11"	"1"	"5"	"8"	"183"	"0"	"183"	"0"
"84"	"71"	"209"	"7"	"30"	"144"	"38"	"2"	"9"	"1"	"34"	"6"	"16"	"12"	"8"	"26"	"542"	"0"	"542"	"0"
"85"	"72"	"43"	"274"	"10"	"14"	"25"	"1"	"3"	"0"	"16"	"3"	"7"	"8"	"8"	"9"	"421"	"0"	"421"	"0"
"86"	"73"	"59"	"64"	"29"	"50"	"9"	"4"	"0"	"3"	"10"	"1"	"5"	"3"	"0"	"3"	"240"	"0"	"240"	"0"
"87"	"74"	"21"	"131"	"11"	"24"	"26"	"0"	"2"	"1"	"6"	"1"	"3"	"2"	"5"	"14"	"247"	"0"	"247"	"0"
"88"	"75"	"72"	"1"	"93"	"29"	"36"	"1"	"6"	"2"	"11"	"5"	"4"	"1"	"2"	"4"	"267"	"0"	"267"	"0"
"89"	"76"	"110"	"1"	"267"	"15"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"402"	"0"	"402"	"0"
"90"	"77"	"99"	"1"	"672"	"7"	"10"	"0"	"0"	"0"	"6"	"0"	"3"	"0"	"0"	"3"	"801"	"0"	"801"	"0"
"91"	"78"	"15"	"2"	"34"	"527"	"10"	"1"	"2"	"1"	"6"	"2"	"0"	"2"	"2"	"2"	"606"	"0"	"606"	"0"
"92"	"79"	"266"	"4"	"40"	"18"	"19"	"3"	"12"	"1"	"19"	"4"	"9"	"1"	"2"	"18"	"416"	"0"	"416"	"0"
"93"	"80"	"131"	"3"	"30"	"63"	"30"	"1"	"5"	"2"	"13"	"1"	"9"	"1"	"4"	"8"	"301"	"0"	"301"	"0"
"94"	"81"	"538"	"2"	"52"	"36"	"38"	"0"	"5"	"2"	"5"	"0"	"1"	"0"	"1"	"3"	"683"	"0"	"683"	"0"
"95"	"82"	"433"	"5"	"23"	"25"	"11"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"501"	"0"	"501"	"0"
"96"	"83"	"354"	"20"	"19"	"21"	"22"	"1"	"0"	"0"	"7"	"1"	"2"	"0"	"1"	"0"	"448"	"0"	"448"	"0"
"97"	"84"	"235"	"0"	"37"	"2"	"7"	"1"	"2"	"1"	"4"	"3"	"2"	"0"	"0"	"5"	"299"	"0"	"299"	"0"
"98"	"85"	"306"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"0"	"308"	"0"
"99"	"86"	"259"	"3"	"46"	"6"	"18"	"4"	"7"	"1"	"9"	"3"	"4"	"1"	"1"	"7"	"369"	"0"	"369"	"0"
"100"	"87"	"102"	"94"	"17"	"263"	"8"	"4"	"12"	"7"	"10"	"11"	"65"	"11"	"14"	"21"	"639"	"0"	"639"	"0"
"101"	"88"	"228"	"27"	"12"	"62"	"5"	"1"	"3"	"0"	"1"	"5"	"61"	"2"	"2"	"4"	"413"	"0"	"413"	"0"
"102"	"89"	"124"	"37"	"17"	"217"	"22"	"4"	"6"	"2"	"10"	"5"	"17"	"3"	"2"	"6"	"472"	"0"	"472"	"0"
"103"	"90"	"248"	"15"	"40"	"130"	"30"	"3"	"8"	"3"	"17"	"6"	"14"	"4"	"1"	"15"	"534"	"0"	"534"	"0"
"104"	"91"	"58"	"17"	"25"	"395"	"18"	"3"	"4"	"1"	"7"	"4"	"13"	"10"	"6"	"15"	"576"	"0"	"576"	"0"
"105"	"92"	"154"	"30"	"17"	"208"	"40"	"7"	"11"	"3"	"24"	"8"	"21"	"5"	"6"	"18"	"552"	"0"	"552"	"0"
"106"	"93"	"124"	"157"	"14"	"126"	"12"	"4"	"9"	"1"	"1"	"6"	"15"	"4"	"3"	"10"	"486"	"0"	"486"	"0"
"107"	"94"	"100"	"68"	"13"	"198"	"13"	"1"	"8"	"6"	"10"	"3"	"16"	"3"	"3"	"8"	"450"	"0"	"450"	"0"
"108"	"95"	"124"	"6"	"3"	"179"	"24"	"5"	"4"	"2"	"15"	"3"	"12"	"5"	"4"	"20"	"406"	"0"	"406"	"0"
"109"	"96"	"48"	"6"	"16"	"203"	"18"	"1"	"2"	"3"	"9"	"2"	"8"	"1"	"6"	"6"	"329"	"0"	"329"	"0"
"110"	"97"	"122"	"109"	"9"	"186"	"28"	"5"	"7"	"2"	"9"	"1"	"16"	"0"	"7"	"14"	"515"	"0"	"515"	"0"
"111"	"98"	"214"	"43"	"19"	"70"	"36"	"7"	"10"	"3"	"23"	"5"	"16"	"3"	"1"	"10"	"460"	"0"	"460"	"0"
"112"	"99"	"139"	"1"	"377"	"129"	"5"	"0"	"15"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"671"	"0"	"671"	"0"
"113"	"100"	"293"	"10"	"188"	"64"	"22"	"2"	"8"	"2"	"5"	"3"	"8"	"4"	"2"	"6"	"617"	"0"	"617"	"0"
"114"	"101"	"84"	"4"	"17"	"469"	"29"	"0"	"4"	"5"	"17"	"2"	"9"	"4"	"4"	"7"	"655"	"0"	"655"	"0"
"115"	"102"	"218"	"44"	"15"	"98"	"20"	"2"	"2"	"5"	"17"	"3"	"17"	"3"	"3"	"8"	"455"	"0"	"455"	"0"
"116"	"103"	"176"	"18"	"83"	"122"	"51"	"2"	"12"	"6"	"29"	"4"	"15"	"6"	"6"	"21"	"551"	"0"	"551"	"0"
"117"	"104"	"189"	"13"	"12"	"196"	"31"	"5"	"4"	"3"	"16"	"4"	"20"	"3"	"5"	"19"	"520"	"0"	"520"	"0"
"118"	"105"	"148"	"12"	"3"	"195"	"38"	"2"	"6"	"1"	"14"	"6"	"13"	"2"	"0"	"15"	"455"	"0"	"455"	"0"
"119"	"106"	"15"	"2"	"5"	"323"	"6"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"356"	"0"	"356"	"0"
"120"	"107"	"107"	"8"	"14"	"278"	"60"	"5"	"6"	"2"	"38"	"4"	"8"	"4"	"5"	"21"	"560"	"0"	"560"	"0"
"121"	"108"	"41"	"5"	"16"	"267"	"10"	"2"	"3"	"1"	"14"	"6"	"7"	"2"	"2"	"10"	"386"	"0"	"386"	"0"
"122"	"109"	"79"	"16"	"77"	"344"	"21"	"2"	"8"	"1"	"17"	"5"	"10"	"2"	"1"	"10"	"593"	"0"	"593"	"0"
"123"	"110"	"413"	"20"	"11"	"91"	"54"	"3"	"13"	"1"	"27"	"6"	"21"	"0"	"11"	"44"	"715"	"0"	"715"	"0"
"124"	"111"	"254"	"32"	"2"	"17"	"12"	"1"	"2"	"0"	"6"	"1"	"3"	"1"	"0"	"7"	"338"	"0"	"338"	"0"
"125"	"er nku  d sUnz
dh  Øe  l a0"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	"d qy
fof/kekU; er"	"i zfr {ksfi r
er ksa  dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa  dh l a[ ; k"
"126"	""	"t uknZu
eka>h"	"eukst
vkt kn"	"j kd s' k
d qekj fl ag"	"l qj sUnz
i zl kn
fl ag"	"vuhy
d qekj fl ag"	"vfer
d qekj
>k"	"d snkj
i zl kn
fl ag"	"i ad t
d qekj"	"csch
nsoh"	"j es' k
d qekj pkS/kj h"	"fouksn
d qekj"	"t okgj y
ky
i kl oku"	"l qj s' k
i kl oku"	"l S; n
vy enkj gql Su"	""	""	""	""
"127"	"112"	"265"	"5"	"0"	"6"	"16"	"1"	"7"	"2"	"7"	"3"	"8"	"2"	"0"	"4"	"326"	"0"	"326"	"0"
"128"	"113"	"48"	"195"	"5"	"30"	"10"	"3"	"3"	"0"	"6"	"3"	"1"	"0"	"9"	"8"	"321"	"0"	"321"	"0"
"129"	"114"	"238"	"138"	"15"	"56"	"40"	"6"	"7"	"2"	"29"	"8"	"20"	"11"	"10"	"23"	"603"	"0"	"603"	"0"
"130"	"115"	"46"	"10"	"24"	"418"	"5"	"1"	"1"	"4"	"6"	"0"	"5"	"3"	"2"	"5"	"530"	"0"	"530"	"0"
"131"	"116"	"89"	"360"	"12"	"92"	"19"	"2"	"4"	"2"	"10"	"3"	"6"	"1"	"9"	"7"	"616"	"0"	"616"	"0"
"132"	"117"	"366"	"3"	"5"	"6"	"8"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"13"	"407"	"0"	"407"	"0"
"133"	"118"	"119"	"5"	"39"	"46"	"24"	"3"	"7"	"2"	"23"	"6"	"14"	"5"	"5"	"16"	"314"	"0"	"314"	"0"
"134"	"119"	"141"	"9"	"65"	"73"	"25"	"6"	"8"	"1"	"14"	"2"	"11"	"1"	"1"	"10"	"367"	"0"	"367"	"0"
"135"	"120"	"103"	"0"	"6"	"8"	"31"	"1"	"0"	"1"	"23"	"2"	"4"	"2"	"1"	"17"	"199"	"0"	"199"	"0"
"136"	"121"	"357"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"363"	"0"	"363"	"0"
"137"	"122"	"80"	"11"	"19"	"130"	"17"	"2"	"5"	"1"	"15"	"3"	"12"	"2"	"0"	"5"	"302"	"0"	"302"	"0"
"138"	"123"	"83"	"7"	"9"	"173"	"25"	"2"	"12"	"1"	"47"	"7"	"14"	"10"	"6"	"8"	"404"	"0"	"404"	"0"
"139"	"124"	"23"	"0"	"8"	"98"	"24"	"1"	"1"	"0"	"9"	"3"	"2"	"1"	"0"	"4"	"174"	"0"	"174"	"0"
"140"	"125"	"182"	"5"	"27"	"44"	"38"	"5"	"16"	"1"	"34"	"3"	"34"	"2"	"4"	"12"	"407"	"0"	"407"	"0"
"141"	"126"	"278"	"29"	"82"	"122"	"56"	"4"	"5"	"5"	"22"	"8"	"9"	"7"	"6"	"11"	"644"	"0"	"644"	"0"
"142"	"127"	"154"	"15"	"38"	"49"	"14"	"1"	"5"	"1"	"6"	"2"	"4"	"2"	"1"	"15"	"307"	"0"	"307"	"0"
"143"	"128"	"78"	"24"	"55"	"186"	"34"	"2"	"10"	"2"	"21"	"3"	"16"	"2"	"5"	"16"	"454"	"0"	"454"	"0"
"144"	"129"	"145"	"2"	"82"	"38"	"36"	"3"	"6"	"3"	"9"	"4"	"12"	"1"	"4"	"10"	"355"	"0"	"355"	"0"
"145"	"130"	"188"	"5"	"17"	"206"	"22"	"6"	"6"	"2"	"6"	"1"	"10"	"3"	"0"	"5"	"477"	"0"	"477"	"0"
"146"	"131"	"55"	"8"	"18"	"112"	"28"	"2"	"8"	"1"	"6"	"3"	"11"	"3"	"1"	"3"	"259"	"0"	"259"	"0"
"147"	"132"	"77"	"5"	"12"	"65"	"19"	"0"	"5"	"0"	"11"	"2"	"5"	"3"	"1"	"10"	"215"	"0"	"215"	"0"
"148"	"133"	"80"	"5"	"47"	"150"	"27"	"5"	"6"	"1"	"22"	"6"	"6"	"1"	"5"	"10"	"371"	"0"	"371"	"0"
"149"	"134"	"221"	"7"	"50"	"40"	"37"	"3"	"5"	"2"	"17"	"2"	"12"	"2"	"3"	"3"	"404"	"0"	"404"	"0"
