"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"
"24"	""	"Asha Devi"	"Dinesh Kumar Singh"	"Parash Nath Pathak"	"Binay Kumar Singh Bihari Bhaiya"	"Shiva Shankar Yadav"	"Amarje et Kushw aha"	"Arti Devi"	"Bijay Prakash Srivasta va"	"Manoj Kumar Singh"	"Mahat ma Singh"	"Rakesh Kumar Pandey"	"Vijay Kumar"	"Om Prakas h Singh"	"Krish ancha ndra Singh"	"Jayna rayan Tiwari"	"Jugul Kishor Singh"	"Jonha Devi"	"Dr. Tribhu wan Singh"	"Nand Lal Yadav"	"Param anand Gond"	"Bharat Bhagat"	"Rana Pratap Singh"	"Shahn avaj"	"Shiv Prasad Sharma"	"Shree niwas Yadav"	"Sanjay Kumar Singh"	"Satye ndra"	"Sudhir Kumar Jaiswal"	"Suresh Singh"	""	""	""	""
"25"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"
"26"	"14"	"377"	"6"	"2"	"5"	"88"	"123"	"3"	"4"	"3"	"6"	"7"	"21"	"7"	"6"	"8"	"34"	"20"	"4"	"10"	"0"	"3"	"22"	"5"	"6"	"3"	"4"	"2"	"9"	"9"	"797"	"0"	"797"	"0"
"27"	"15"	"300"	"6"	"4"	"5"	"67"	"37"	"2"	"0"	"4"	"3"	"5"	"5"	"5"	"9"	"7"	"17"	"9"	"8"	"8"	"3"	"4"	"24"	"5"	"8"	"6"	"1"	"1"	"29"	"5"	"587"	"0"	"587"	"0"
"28"	"16"	"389"	"4"	"0"	"1"	"18"	"63"	"1"	"1"	"1"	"4"	"2"	"7"	"2"	"2"	"4"	"4"	"2"	"0"	"3"	"1"	"0"	"11"	"0"	"1"	"1"	"2"	"0"	"34"	"3"	"561"	"0"	"561"	"0"
"29"	"17"	"275"	"9"	"17"	"3"	"58"	"18"	"2"	"4"	"1"	"2"	"5"	"12"	"4"	"10"	"9"	"28"	"8"	"12"	"52"	"3"	"4"	"23"	"6"	"0"	"4"	"7"	"4"	"1"	"11"	"592"	"0"	"592"	"0"
"30"	"18"	"216"	"1"	"6"	"20"	"357"	"53"	"2"	"3"	"0"	"8"	"5"	"6"	"0"	"2"	"4"	"4"	"9"	"2"	"4"	"1"	"2"	"49"	"3"	"2"	"0"	"9"	"0"	"3"	"0"	"771"	"0"	"771"	"0"
"31"	"19"	"70"	"1"	"8"	"6"	"49"	"199"	"2"	"0"	"0"	"0"	"1"	"6"	"2"	"3"	"0"	"2"	"1"	"51"	"2"	"3"	"0"	"56"	"3"	"4"	"0"	"5"	"2"	"2"	"1"	"479"	"0"	"479"	"0"
"32"	"20"	"123"	"4"	"4"	"8"	"28"	"6"	"0"	"3"	"1"	"2"	"0"	"3"	"1"	"3"	"8"	"6"	"3"	"5"	"2"	"1"	"0"	"61"	"1"	"0"	"3"	"4"	"0"	"11"	"3"	"294"	"0"	"294"	"0"
"33"	"21"	"120"	"2"	"3"	"2"	"71"	"113"	"2"	"1"	"4"	"2"	"3"	"25"	"2"	"5"	"6"	"15"	"8"	"24"	"40"	"3"	"6"	"56"	"5"	"5"	"6"	"3"	"5"	"13"	"23"	"573"	"0"	"573"	"0"
"34"	"22"	"125"	"4"	"3"	"2"	"3"	"134"	"3"	"0"	"0"	"1"	"2"	"8"	"1"	"4"	"4"	"11"	"9"	"33"	"2"	"0"	"1"	"64"	"0"	"3"	"3"	"4"	"2"	"4"	"4"	"434"	"0"	"434"	"0"
"35"	"23"	"246"	"3"	"2"	"2"	"41"	"59"	"2"	"0"	"1"	"0"	"3"	"7"	"0"	"4"	"3"	"29"	"3"	"6"	"4"	"2"	"179"	"21"	"2"	"2"	"13"	"1"	"2"	"9"	"5"	"651"	"0"	"651"	"0"
"36"	"24"	"237"	"5"	"9"	"3"	"209"	"11"	"2"	"4"	"5"	"4"	"10"	"13"	"4"	"3"	"10"	"29"	"13"	"10"	"76"	"6"	"5"	"73"	"5"	"7"	"16"	"7"	"5"	"24"	"14"	"819"	"0"	"819"	"0"
"37"	"25"	"158"	"1"	"2"	"2"	"25"	"29"	"0"	"0"	"0"	"2"	"0"	"2"	"4"	"3"	"7"	"8"	"19"	"15"	"90"	"3"	"7"	"159"	"3"	"9"	"2"	"6"	"5"	"5"	"10"	"576"	"0"	"576"	"0"
"38"	"26"	"87"	"2"	"2"	"45"	"2"	"167"	"6"	"6"	"3"	"2"	"4"	"20"	"0"	"1"	"3"	"9"	"5"	"4"	"0"	"2"	"4"	"238"	"5"	"1"	"1"	"1"	"1"	"15"	"7"	"643"	"0"	"643"	"0"
"39"	"27"	"37"	"3"	"0"	"2"	"7"	"238"	"4"	"0"	"1"	"4"	"2"	"18"	"0"	"0"	"0"	"1"	"1"	"10"	"0"	"2"	"1"	"174"	"2"	"5"	"0"	"2"	"0"	"3"	"2"	"519"	"0"	"519"	"0"
"40"	"Total Votes"	"2760"	"51"	"62"	"106"	"1023"	"1250"	"31"	"26"	"24"	"40"	"49"	"153"	"32"	"55"	"73"	"197"	"110"	"184"	"293"	"30"	"216"	"1031"	"45"	"53"	"58"	"56"	"29"	"162"	"97"	"8296"	"0"	"8296"	"0"
"41"	"Previo us round votes"	"2626"	"59"	"106"	"52"	"865"	"964"	"62"	"31"	"40"	"55"	"68"	"103"	"33"	"81"	"89"	"280"	"146"	"37"	"172"	"24"	"45"	"707"	"33"	"46"	"87"	"37"	"33"	"203"	"101"	"7185"	"0"	"7185"	"0"
"42"	"Cumul ative Total Votes"	"5386"	"110"	"168"	"158"	"1888"	"2214"	"93"	"57"	"64"	"95"	"117"	"256"	"65"	"136"	"162"	"477"	"256"	"221"	"465"	"54"	"261"	"1738"	"78"	"99"	"145"	"93"	"62"	"365"	"198"	"15481"	"0"	""	"0"
"43"	"Serial No. of Polling Staition"	"No. Of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Vote"	"No. of rejected votes"	"Total"	"No. of tender ed voters"
"44"	""	"Asha Devi"	"Dinesh Kumar Singh"	"Parash Nath Pathak"	"Binay Kumar Singh Bihari Bhaiya"	"Shiva Shankar Yadav"	"Amarje et Kushw aha"	"Arti Devi"	"Bijay Prakash Srivasta va"	"Manoj Kumar Singh"	"Mahat ma Singh"	"Rakesh Kumar Pandey"	"Vijay Kumar"	"Om Prakas h Singh"	"Krish ancha ndra Singh"	"Jayna rayan Tiwari"	"Jugul Kishor Singh"	"Jonha Devi"	"Dr. Tribhu wan Singh"	"Nand Lal Yadav"	"Param anand Gond"	"Bharat Bhagat"	"Rana Pratap Singh"	"Shahn avaj"	"Shiv Prasad Sharma"	"Shree niwas Yadav"	"Sanjay Kumar Singh"	"Satye ndra"	"Sudhir Kumar Jaiswal"	"Suresh Singh"	""	""	""	""
"45"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"
"46"	"28"	"233"	"5"	"21"	"3"	"13"	"10"	"1"	"0"	"0"	"1"	"57"	"2"	"3"	"5"	"6"	"10"	"15"	"22"	"27"	"3"	"0"	"47"	"0"	"0"	"2"	"7"	"4"	"3"	"1"	"501"	"0"	"501"	"0"
"47"	"29"	"284"	"2"	"15"	"5"	"104"	"57"	"2"	"2"	"7"	"5"	"11"	"14"	"4"	"11"	"16"	"32"	"15"	"1"	"28"	"2"	"5"	"53"	"3"	"7"	"16"	"7"	"3"	"5"	"26"	"742"	"0"	"742"	"0"
"48"	"30"	"186"	"6"	"26"	"3"	"60"	"33"	"1"	"0"	"2"	"2"	"4"	"4"	"1"	"11"	"10"	"26"	"5"	"4"	"22"	"3"	"1"	"13"	"3"	"2"	"8"	"8"	"4"	"20"	"6"	"474"	"0"	"474"	"0"
"49"	"31"	"249"	"3"	"14"	"6"	"32"	"52"	"3"	"7"	"2"	"6"	"3"	"4"	"0"	"2"	"19"	"3"	"7"	"1"	"7"	"1"	"1"	"22"	"2"	"2"	"1"	"1"	"1"	"6"	"5"	"462"	"0"	"462"	"0"
"50"	"32"	"146"	"7"	"4"	"2"	"37"	"1"	"1"	"0"	"2"	"5"	"1"	"0"	"0"	"3"	"14"	"3"	"5"	"4"	"7"	"0"	"2"	"22"	"0"	"7"	"7"	"1"	"2"	"77"	"7"	"367"	"0"	"367"	"0"
"51"	"33"	"172"	"5"	"1"	"5"	"3"	"18"	"3"	"0"	"1"	"2"	"3"	"5"	"0"	"0"	"24"	"15"	"9"	"9"	"29"	"3"	"0"	"18"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"336"	"0"	"336"	"0"
"52"	"33(A)"	"170"	"4"	"2"	"8"	"41"	"58"	"1"	"0"	"3"	"1"	"8"	"9"	"6"	"3"	"20"	"28"	"16"	"2"	"8"	"2"	"2"	"13"	"0"	"0"	"1"	"2"	"1"	"3"	"9"	"421"	"0"	"421"	"0"
"53"	"34"	"66"	"4"	"1"	"0"	"26"	"7"	"5"	"1"	"5"	"6"	"3"	"5"	"5"	"9"	"8"	"17"	"2"	"1"	"3"	"0"	"1"	"30"	"1"	"1"	"2"	"0"	"2"	"27"	"1"	"239"	"0"	"239"	"0"
"54"	"35"	"130"	"8"	"27"	"3"	"28"	"236"	"11"	"5"	"4"	"4"	"16"	"26"	"9"	"19"	"11"	"19"	"7"	"2"	"8"	"1"	"6"	"50"	"7"	"8"	"12"	"3"	"13"	"53"	"12"	"738"	"0"	"738"	"0"
"55"	"36"	"129"	"7"	"10"	"6"	"7"	"171"	"8"	"1"	"3"	"2"	"3"	"15"	"2"	"6"	"8"	"7"	"6"	"7"	"4"	"1"	"1"	"130"	"3"	"2"	"2"	"2"	"1"	"6"	"3"	"553"	"0"	"553"	"0"
"56"	"37"	"92"	"3"	"19"	"13"	"21"	"35"	"0"	"0"	"2"	"4"	"14"	"8"	"7"	"8"	"43"	"22"	"3"	"2"	"4"	"1"	"0"	"39"	"5"	"2"	"1"	"26"	"1"	"2"	"54"	"431"	"0"	"431"	"0"
"57"	"38"	"181"	"4"	"14"	"10"	"51"	"180"	"11"	"6"	"6"	"15"	"22"	"31"	"6"	"10"	"17"	"32"	"5"	"33"	"15"	"3"	"5"	"62"	"4"	"5"	"4"	"5"	"1"	"15"	"6"	"759"	"0"	"759"	"0"
"58"	"39"	"63"	"1"	"53"	"2"	"14"	"215"	"3"	"3"	"1"	"2"	"3"	"14"	"3"	"2"	"3"	"3"	"8"	"0"	"66"	"5"	"5"	"8"	"11"	"9"	"10"	"3"	"3"	"3"	"8"	"524"	"0"	"524"	"0"
"59"	"40"	"79"	"1"	"20"	"3"	"1"	"78"	"3"	"0"	"0"	"0"	"1"	"4"	"2"	"4"	"3"	"1"	"6"	"1"	"8"	"0"	"1"	"18"	"27"	"3"	"3"	"1"	"3"	"17"	"8"	"296"	"0"	"296"	"0"
"60"	"Total Votes"	"2180"	"60"	"227"	"69"	"438"	"1151"	"53"	"25"	"38"	"55"	"149"	"141"	"48"	"93"	"202"	"218"	"109"	"89"	"236"	"25"	"30"	"525"	"68"	"49"	"69"	"67"	"41"	"238"	"150"	"6843"	"0"	"6843"	"0"
"61"	"Previo us round votes"	"5386"	"110"	"168"	"158"	"1888"	"2214"	"93"	"57"	"64"	"95"	"117"	"256"	"65"	"136"	"162"	"477"	"256"	"221"	"465"	"54"	"261"	"1738"	"78"	"99"	"145"	"93"	"62"	"365"	"198"	"15481"	"0"	"15481"	"0"
"62"	"Cumul ative Total Votes"	"7566"	"170"	"395"	"227"	"2326"	"3365"	"146"	"82"	"102"	"150"	"266"	"397"	"113"	"229"	"364"	"695"	"365"	"310"	"701"	"79"	"291"	"2263"	"146"	"148"	"214"	"160"	"103"	"603"	"348"	"22324"	"0"	""	"0"
"63"	"Serial No. of Polling Staition"	"No. Of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Vote"	"No. of rejected votes"	"Total"	"No. of tender ed voters"
"64"	""	"Asha Devi"	"Dinesh Kumar Singh"	"Parash Nath Pathak"	"Binay Kumar Singh Bihari Bhaiya"	"Shiva Shankar Yadav"	"Amarje et Kushw aha"	"Arti Devi"	"Bijay Prakash Srivasta va"	"Manoj Kumar Singh"	"Mahat ma Singh"	"Rakesh Kumar Pandey"	"Vijay Kumar"	"Om Prakas h Singh"	"Krish ancha ndra Singh"	"Jayna rayan Tiwari"	"Jugul Kishor Singh"	"Jonha Devi"	"Dr. Tribhu wan Singh"	"Nand Lal Yadav"	"Param anand Gond"	"Bharat Bhagat"	"Rana Pratap Singh"	"Shahn avaj"	"Shiv Prasad Sharma"	"Shree niwas Yadav"	"Sanjay Kumar Singh"	"Satye ndra"	"Sudhir Kumar Jaiswal"	"Suresh Singh"	""	""	""	""
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"
"66"	"41"	"86"	"5"	"4"	"4"	"81"	"102"	"6"	"3"	"5"	"11"	"23"	"29"	"11"	"6"	"11"	"33"	"9"	"8"	"12"	"1"	"5"	"196"	"6"	"9"	"5"	"3"	"6"	"35"	"13"	"728"	"0"	"728"	"0"
"67"	"42"	"154"	"1"	"5"	"8"	"12"	"289"	"6"	"2"	"4"	"3"	"9"	"19"	"2"	"3"	"3"	"15"	"1"	"0"	"10"	"1"	"1"	"12"	"1"	"2"	"2"	"5"	"2"	"7"	"4"	"583"	"0"	"583"	"0"
"68"	"43"	"109"	"2"	"3"	"7"	"6"	"324"	"8"	"1"	"2"	"3"	"9"	"14"	"2"	"5"	"6"	"5"	"8"	"1"	"4"	"3"	"6"	"26"	"3"	"4"	"4"	"4"	"6"	"46"	"5"	"626"	"0"	"626"	"0"
"69"	"44"	"51"	"5"	"8"	"4"	"171"	"109"	"2"	"3"	"1"	"4"	"6"	"17"	"6"	"7"	"9"	"18"	"2"	"2"	"3"	"2"	"5"	"12"	"0"	"3"	"8"	"6"	"1"	"25"	"6"	"496"	"0"	"496"	"0"
"70"	"45"	"54"	"4"	"22"	"8"	"43"	"217"	"3"	"2"	"1"	"0"	"5"	"11"	"1"	"1"	"1"	"2"	"5"	"2"	"6"	"3"	"3"	"23"	"3"	"9"	"7"	"8"	"2"	"9"	"5"	"460"	"0"	"460"	"0"
"71"	"46"	"231"	"1"	"12"	"9"	"40"	"136"	"6"	"5"	"5"	"6"	"15"	"24"	"6"	"9"	"4"	"21"	"15"	"4"	"2"	"2"	"3"	"13"	"5"	"2"	"4"	"5"	"2"	"4"	"3"	"594"	"0"	"594"	"0"
"72"	"47"	"366"	"5"	"15"	"2"	"17"	"151"	"4"	"2"	"6"	"5"	"6"	"19"	"3"	"9"	"3"	"24"	"9"	"12"	"4"	"1"	"0"	"18"	"2"	"4"	"0"	"1"	"2"	"1"	"5"	"696"	"0"	"696"	"0"
"73"	"48"	"38"	"2"	"4"	"1"	"58"	"82"	"2"	"2"	"1"	"4"	"1"	"16"	"0"	"2"	"3"	"3"	"16"	"40"	"4"	"5"	"4"	"51"	"2"	"10"	"1"	"6"	"2"	"8"	"6"	"374"	"0"	"374"	"0"
"74"	"49"	"52"	"3"	"2"	"2"	"3"	"115"	"0"	"0"	"0"	"2"	"8"	"11"	"0"	"1"	"8"	"11"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"2"	"12"	"4"	"245"	"0"	"245"	"0"
"75"	"50"	"196"	"11"	"10"	"11"	"114"	"99"	"11"	"12"	"7"	"10"	"10"	"20"	"4"	"8"	"65"	"22"	"8"	"14"	"23"	"5"	"3"	"27"	"3"	"6"	"10"	"5"	"4"	"12"	"4"	"734"	"0"	"734"	"0"
"76"	"51"	"61"	"2"	"17"	"6"	"5"	"115"	"3"	"2"	"1"	"5"	"8"	"23"	"3"	"1"	"6"	"4"	"7"	"21"	"2"	"1"	"1"	"90"	"2"	"2"	"1"	"4"	"5"	"38"	"3"	"439"	"0"	"439"	"0"
"77"	"52"	"43"	"3"	"7"	"6"	"10"	"224"	"3"	"3"	"3"	"8"	"5"	"36"	"1"	"12"	"7"	"18"	"5"	"7"	"1"	"7"	"6"	"14"	"3"	"4"	"3"	"7"	"4"	"50"	"13"	"513"	"0"	"513"	"0"
"78"	"53"	"50"	"2"	"13"	"1"	"2"	"208"	"2"	"0"	"0"	"3"	"3"	"10"	"0"	"2"	"5"	"1"	"2"	"0"	"1"	"1"	"2"	"4"	"0"	"1"	"2"	"3"	"3"	"18"	"6"	"345"	"0"	"345"	"0"
"79"	"54"	"123"	"1"	"3"	"4"	"18"	"153"	"3"	"0"	"1"	"3"	"4"	"9"	"2"	"2"	"2"	"10"	"11"	"29"	"21"	"2"	"1"	"89"	"8"	"7"	"5"	"2"	"3"	"14"	"8"	"538"	"0"	"538"	"0"
"80"	"Total Votes"	"1614"	"47"	"125"	"73"	"580"	"2324"	"59"	"37"	"37"	"67"	"112"	"258"	"41"	"68"	"133"	"187"	"100"	"141"	"93"	"34"	"40"	"577"	"38"	"65"	"53"	"60"	"44"	"279"	"85"	"7371"	"0"	"7371"	"0"
"81"	"Previo us round votes"	"7566"	"170"	"395"	"227"	"2326"	"3365"	"146"	"82"	"102"	"150"	"266"	"397"	"113"	"229"	"364"	"695"	"365"	"310"	"701"	"79"	"291"	"2263"	"146"	"148"	"214"	"160"	"103"	"603"	"348"	"22324"	"0"	"22324"	"0"
"82"	"Cumul ative Total Votes"	"9180"	"217"	"520"	"300"	"2906"	"5689"	"205"	"119"	"139"	"217"	"378"	"655"	"154"	"297"	"497"	"882"	"465"	"451"	"794"	"113"	"331"	"2840"	"184"	"213"	"267"	"220"	"147"	"882"	"433"	"29695"	"0"	"29695"	"0"
"83"	"Serial No. of Polling Staition"	"No. Of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Vote"	"No. of rejected votes"	"Total"	"No. of tender ed voters"
"84"	""	"Asha Devi"	"Dinesh Kumar Singh"	"Parash Nath Pathak"	"Binay Kumar Singh Bihari Bhaiya"	"Shiva Shankar Yadav"	"Amarje et Kushw aha"	"Arti Devi"	"Bijay Prakash Srivasta va"	"Manoj Kumar Singh"	"Mahat ma Singh"	"Rakesh Kumar Pandey"	"Vijay Kumar"	"Om Prakas h Singh"	"Krish ancha ndra Singh"	"Jayna rayan Tiwari"	"Jugul Kishor Singh"	"Jonha Devi"	"Dr. Tribhu wan Singh"	"Nand Lal Yadav"	"Param anand Gond"	"Bharat Bhagat"	"Rana Pratap Singh"	"Shahn avaj"	"Shiv Prasad Sharma"	"Shree niwas Yadav"	"Sanjay Kumar Singh"	"Satye ndra"	"Sudhir Kumar Jaiswal"	"Suresh Singh"	""	""	""	""
"85"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"
"86"	"55"	"136"	"5"	"4"	"1"	"6"	"102"	"5"	"2"	"3"	"7"	"10"	"17"	"1"	"4"	"5"	"23"	"6"	"8"	"0"	"0"	"1"	"126"	"3"	"7"	"1"	"0"	"1"	"13"	"4"	"501"	"0"	"501"	"0"
"87"	"56"	"171"	"4"	"2"	"0"	"1"	"146"	"0"	"1"	"2"	"1"	"4"	"13"	"2"	"6"	"2"	"5"	"8"	"14"	"5"	"6"	"2"	"93"	"5"	"6"	"4"	"8"	"10"	"4"	"13"	"538"	"0"	"538"	"0"
