"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"
"16"	"9"	""	"24"	"85"	""	"31"	""	"3"	""	""	"46"	""	"43"	""	"15"	""	"2"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	""	"251"	""
"17"	"10"	""	"198"	"94"	""	"30"	""	"5"	""	""	"63"	""	"70"	""	"33"	""	"120"	""	"11"	""	"6"	""	"13"	""	"10"	""	"23"	""	"676"	""
"18"	"11"	""	"93"	"460"	""	"18"	""	"3"	""	""	"49"	""	"7"	""	"39"	""	"35"	""	"7"	""	"9"	""	"8"	""	"25"	""	"30"	""	"783"	""
"19"	"12"	""	"67"	"92"	""	"105"	""	"5"	""	""	"128"	""	"267"	""	"62"	""	"15"	""	"3"	""	"6"	""	"14"	""	"9"	""	"25"	""	"798"	""
"20"	"13"	""	"54"	"117"	""	"40"	""	"5"	""	""	"103"	""	"34"	""	"81"	""	"14"	""	"4"	""	"5"	""	"9"	""	"6"	""	"15"	""	"487"	""
"21"	"13A"	""	"106"	"64"	""	"34"	""	"1"	""	""	"108"	""	"54"	""	"71"	""	"6"	""	"4"	""	"1"	""	"8"	""	"8"	""	"25"	""	"490"	""
"22"	"14"	""	"7"	"11"	""	"52"	""	"1"	""	""	"167"	""	"21"	""	"45"	""	"3"	""	"5"	""	"2"	""	"19"	""	"3"	""	"4"	""	"340"	""
"23"	"15"	""	"112"	"235"	""	"94"	""	"2"	""	""	"123"	""	"2"	""	"67"	""	"4"	""	"0"	""	"4"	""	"19"	""	"6"	""	"21"	""	"689"	""
"24"	"16"	""	"66"	"284"	""	"11"	""	"3"	""	""	"158"	""	"4"	""	"59"	""	"5"	""	"1"	""	"2"	""	"2"	""	"5"	""	"5"	""	"605"	""
"25"	"17"	""	"203"	"217"	""	"13"	""	"2"	""	""	"34"	""	"7"	""	"34"	""	"3"	""	"0"	""	"1"	""	"2"	""	"7"	""	"21"	""	"544"	""
"26"	"18"	""	"112"	"117"	""	"38"	""	"5"	""	""	"247"	""	"7"	""	"102"	""	"15"	""	"14"	""	"7"	""	"9"	""	"16"	""	"37"	""	"726"	""
"27"	"19"	""	"180"	"361"	""	"16"	""	"6"	""	""	"57"	""	"1"	""	"32"	""	"10"	""	"3"	""	"4"	""	"10"	""	"14"	""	"29"	""	"723"	""
"28"	"20"	""	"154"	"316"	""	"48"	""	"6"	""	""	"23"	""	"3"	""	"6"	""	"7"	""	"0"	""	"6"	""	"9"	""	"10"	""	"6"	""	"594"	""
"29"	"21"	""	"43"	"167"	""	"33"	""	"8"	""	""	"169"	""	"1"	""	"70"	""	"10"	""	"3"	""	"3"	""	"9"	""	"2"	""	"10"	""	"528"	""
"30"	"22"	""	"71"	"579"	""	"17"	""	"1"	""	""	"87"	""	"5"	""	"50"	""	"8"	""	"11"	""	"15"	""	"6"	""	"20"	""	"18"	""	"888"	""
"31"	"23"	""	"95"	"49"	""	"125"	""	"2"	""	""	"92"	""	"0"	""	"41"	""	"3"	""	"1"	""	"2"	""	"4"	""	"4"	""	"5"	""	"423"	""
"32"	"24"	""	"91"	"83"	""	"65"	""	"5"	""	""	"169"	""	"10"	""	"112"	""	"14"	""	"5"	""	"3"	""	"5"	""	"20"	""	"23"	""	"605"	""
"33"	"25"	""	"49"	"221"	""	"39"	""	"8"	""	""	"254"	""	"8"	""	"142"	""	"22"	""	"14"	""	"9"	""	"18"	""	"23"	""	"48"	""	"855"	""
"34"	"26"	""	"37"	"233"	""	"34"	""	"3"	""	""	"57"	""	"2"	""	"40"	""	"4"	""	"6"	""	"2"	""	"1"	""	"4"	""	"11"	""	"434"	""
"35"	"27"	""	"102"	"177"	""	"30"	""	"6"	""	""	"158"	""	"4"	""	"47"	""	"13"	""	"6"	""	"7"	""	"11"	""	"2"	""	"7"	""	"570"	""
"36"	"28"	""	"93"	"177"	""	"23"	""	"5"	""	""	"104"	""	"7"	""	"26"	""	"40"	""	"4"	""	"0"	""	"9"	""	"4"	""	"4"	""	"496"	""
"37"	"29"	""	"74"	"269"	""	"55"	""	"11"	""	""	"38"	""	"4"	""	"21"	""	"5"	""	"1"	""	"3"	""	"1"	""	"6"	""	"5"	""	"493"	""
"38"	"30"	""	"37"	"527"	""	"24"	""	"0"	""	""	"29"	""	"1"	""	"3"	""	"1"	""	"3"	""	"3"	""	"2"	""	"21"	""	"30"	""	"681"	""
"39"	"31"	""	"84"	"147"	""	"69"	""	"7"	""	""	"108"	""	"3"	""	"39"	""	"5"	""	"6"	""	"5"	""	"5"	""	"5"	""	"29"	""	"512"	""
"40"	"32"	""	"178"	"130"	""	"54"	""	"11"	""	""	"250"	""	"3"	""	"61"	""	"14"	""	"5"	""	"7"	""	"6"	""	"14"	""	"19"	""	"752"	""
"41"	"33"	""	"115"	"63"	""	"58"	""	"10"	""	""	"222"	""	"7"	""	"32"	""	"5"	""	"2"	""	"6"	""	"1"	""	"1"	""	"1"	""	"523"	""
"42"	"34"	""	"185"	"141"	""	"16"	""	"5"	""	""	"138"	""	"5"	""	"55"	""	"11"	""	"3"	""	"4"	""	"2"	""	"6"	""	"28"	""	"599"	""
"43"	"35"	""	"235"	"309"	""	"44"	""	"5"	""	""	"42"	""	"5"	""	"23"	""	"5"	""	"1"	""	"3"	""	"7"	""	"8"	""	"20"	""	"707"	""
"44"	"36"	""	"159"	"124"	""	"14"	""	"4"	""	""	"86"	""	"3"	""	"26"	""	"1"	""	"3"	""	"4"	""	"6"	""	"5"	""	"6"	""	"441"	""
"45"	"37"	""	"54"	"46"	""	"38"	""	"6"	""	""	"88"	""	"10"	""	"34"	""	"13"	""	"4"	""	"3"	""	"3"	""	"3"	""	"10"	""	"312"	""
"46"	"38"	""	"69"	"330"	""	"59"	""	"10"	""	""	"48"	""	"1"	""	"8"	""	"6"	""	"4"	""	"6"	""	"2"	""	"5"	""	"3"	""	"551"	""
"47"	"39"	""	"41"	"326"	""	"25"	""	"0"	""	""	"113"	""	"6"	""	"32"	""	"18"	""	"2"	""	"5"	""	"1"	""	"1"	""	"10"	""	"580"	""
"48"	"40"	""	"64"	"221"	""	"22"	""	"37"	""	""	"225"	""	"8"	""	"68"	""	"10"	""	"11"	""	"2"	""	"7"	""	"19"	""	"27"	""	"721"	""
"49"	"41"	""	"54"	"73"	""	"32"	""	"10"	""	""	"75"	""	"117"	""	"29"	""	"8"	""	"1"	""	"4"	""	"2"	""	"7"	""	"10"	""	"422"	""
"50"	"41A"	""	"149"	"56"	""	"12"	""	"3"	""	""	"119"	""	"46"	""	"34"	""	"10"	""	"0"	""	"3"	""	"7"	""	"4"	""	"16"	""	"459"	""
"51"	"42"	""	"81"	"381"	""	"37"	""	"6"	""	""	"167"	""	"67"	""	"54"	""	"4"	""	"3"	""	"2"	""	"9"	""	"2"	""	"4"	""	"817"	""
"52"	"43"	""	"22"	"202"	""	"4"	""	"4"	""	""	"69"	""	"66"	""	"35"	""	"7"	""	"1"	""	"4"	""	"2"	""	"7"	""	"4"	""	"427"	""
"53"	"44"	""	"163"	"175"	""	"11"	""	"3"	""	""	"106"	""	"108"	""	"60"	""	"14"	""	"6"	""	"16"	""	"46"	""	"6"	""	"18"	""	"732"	""
"54"	"45"	""	"23"	"98"	""	"20"	""	"2"	""	""	"63"	""	"49"	""	"37"	""	"7"	""	"3"	""	"3"	""	"16"	""	"8"	""	"5"	""	"334"	""
"55"	"46"	""	"44"	"331"	""	"95"	""	"2"	""	""	"143"	""	"6"	""	"82"	""	"12"	""	"6"	""	"10"	""	"8"	""	"28"	""	"15"	""	"782"	""
"56"	"47"	""	"62"	"214"	""	"63"	""	"5"	""	""	"159"	""	"30"	""	"71"	""	"4"	""	"3"	""	"6"	""	"5"	""	"8"	""	"11"	""	"641"	""
"57"	"48"	""	"43"	"80"	""	"68"	""	"13"	""	""	"282"	""	"51"	""	"160"	""	"10"	""	"2"	""	"2"	""	"6"	""	"7"	""	"6"	""	"730"	""
"58"	"49"	""	"225"	"115"	""	"32"	""	"21"	""	""	"176"	""	"104"	""	"112"	""	"25"	""	"4"	""	"9"	""	"20"	""	"8"	""	"10"	""	"861"	""
"59"	"50"	""	"103"	"68"	""	"23"	""	"2"	""	""	"42"	""	"40"	""	"93"	""	"16"	""	"4"	""	"8"	""	"184"	""	"22"	""	"30"	""	"635"	""
"60"	"51"	""	"9"	"61"	""	"34"	""	"2"	""	""	"60"	""	"1"	""	"16"	""	"3"	""	"1"	""	"4"	""	"177"	""	"4"	""	"3"	""	"375"	""
"61"	"52"	""	"33"	"30"	""	"21"	""	"5"	""	""	"38"	""	"5"	""	"45"	""	"12"	""	"8"	""	"14"	""	"394"	""	"27"	""	"35"	""	"667"	""
"62"	"53"	""	"11"	"29"	""	"7"	""	"1"	""	""	"2"	""	"0"	""	"0"	""	"5"	""	"1"	""	"3"	""	"160"	""	"1"	""	"8"	""	"228"	""
"63"	"54"	""	"64"	"156"	""	"10"	""	"2"	""	""	"35"	""	"16"	""	"30"	""	"7"	""	"3"	""	"0"	""	"157"	""	"6"	""	"12"	""	"498"	""
"64"	"54A"	""	"116"	"68"	""	"12"	""	"0"	""	""	"61"	""	"7"	""	"25"	""	"10"	""	"7"	""	"0"	""	"70"	""	"16"	""	"29"	""	"421"	""
"65"	"55"	""	"139"	"301"	""	"17"	""	"139"	""	""	"40"	""	"32"	""	"20"	""	"8"	""	"6"	""	"6"	""	"48"	""	"10"	""	"19"	""	"785"	""
"66"	"56"	""	"241"	"154"	""	"13"	""	"22"	""	""	"178"	""	"8"	""	"39"	""	"13"	""	"7"	""	"9"	""	"164"	""	"9"	""	"17"	""	"874"	""
"67"	"57"	""	"8"	"53"	""	"7"	""	"2"	""	""	"5"	""	"70"	""	"10"	""	"3"	""	"2"	""	"2"	""	"77"	""	"1"	""	"3"	""	"243"	""
"68"	"58"	""	"14"	"18"	""	"13"	""	"2"	""	""	"64"	""	"6"	""	"30"	""	"10"	""	"5"	""	"5"	""	"400"	""	"10"	""	"8"	""	"585"	""
"69"	"59"	""	"152"	"124"	""	"21"	""	"6"	""	""	"60"	""	"180"	""	"34"	""	"20"	""	"8"	""	"15"	""	"182"	""	"13"	""	"29"	""	"844"	""
"70"	"60"	""	"116"	"264"	""	"9"	""	"1"	""	""	"75"	""	"37"	""	"34"	""	"14"	""	"4"	""	"4"	""	"13"	""	"6"	""	"9"	""	"586"	""
"71"	"61"	""	"59"	"265"	""	"68"	""	"4"	""	""	"36"	""	"252"	""	"14"	""	"9"	""	"4"	""	"7"	""	"5"	""	"4"	""	"6"	""	"733"	""
"72"	"62"	""	"335"	"159"	""	"6"	""	"2"	""	""	"65"	""	"9"	""	"22"	""	"10"	""	"2"	""	"2"	""	"19"	""	"2"	""	"21"	""	"654"	""
"73"	"63"	""	"148"	"115"	""	"18"	""	"15"	""	""	"175"	""	"17"	""	"84"	""	"109"	""	"6"	""	"8"	""	"53"	""	"11"	""	"8"	""	"767"	""
"74"	"64"	""	"112"	"87"	""	"26"	""	"6"	""	""	"77"	""	"13"	""	"39"	""	"20"	""	"1"	""	"3"	""	"55"	""	"11"	""	"11"	""	"461"	""
"75"	"65"	""	"117"	"58"	""	"1"	""	"1"	""	""	"58"	""	"11"	""	"41"	""	"16"	""	"1"	""	"2"	""	"1"	""	"3"	""	"10"	""	"320"	""
"76"	"66"	""	"214"	"112"	""	"18"	""	"4"	""	""	"116"	""	"237"	""	"76"	""	"26"	""	"8"	""	"12"	""	"17"	""	"13"	""	"34"	""	"887"	""
"77"	"67"	""	"82"	"297"	""	"60"	""	"5"	""	""	"23"	""	"35"	""	"7"	""	"16"	""	"3"	""	"13"	""	"21"	""	"12"	""	"9"	""	"583"	""
"78"	"68"	""	"38"	"158"	""	"84"	""	"7"	""	""	"10"	""	"112"	""	"20"	""	"13"	""	"1"	""	"3"	""	"10"	""	"4"	""	"23"	""	"483"	""
"79"	"68A"	""	"26"	"136"	""	"70"	""	"1"	""	""	"13"	""	"5"	""	"9"	""	"4"	""	"2"	""	"0"	""	"9"	""	"4"	""	"6"	""	"285"	""
"80"	"69"	""	"130"	"141"	""	"164"	""	"16"	""	""	"60"	""	"33"	""	"22"	""	"7"	""	"4"	""	"7"	""	"48"	""	"17"	""	"37"	""	"686"	""
"81"	"70"	""	"39"	"167"	""	"28"	""	"0"	""	""	"108"	""	"1"	""	"19"	""	"8"	""	"1"	""	"3"	""	"6"	""	"5"	""	"6"	""	"391"	""
"82"	"71"	""	"60"	"379"	""	"12"	""	"3"	""	""	"56"	""	"0"	""	"17"	""	"7"	""	"1"	""	"2"	""	"12"	""	"2"	""	"2"	""	"553"	""
"83"	"72"	""	"51"	"452"	""	"26"	""	"14"	""	""	"81"	""	"12"	""	"31"	""	"10"	""	"2"	""	"6"	""	"62"	""	"8"	""	"24"	""	"779"	""
"84"	"73"	""	"62"	"575"	""	"28"	""	"7"	""	""	"75"	""	"14"	""	"15"	""	"8"	""	"1"	""	"6"	""	"82"	""	"13"	""	"33"	""	"919"	""
"85"	"74"	""	"27"	"394"	""	"51"	""	"3"	""	""	"111"	""	"1"	""	"38"	""	"7"	""	"8"	""	"6"	""	"26"	""	"22"	""	"30"	""	"724"	""
"86"	"75"	""	"58"	"17"	""	"9"	""	"0"	""	""	"30"	""	"1"	""	"12"	""	"2"	""	"1"	""	"3"	""	"103"	""	"0"	""	"4"	""	"240"	""
"87"	"76"	""	"135"	"21"	""	"4"	""	"4"	""	""	"37"	""	"1"	""	"9"	""	"3"	""	"1"	""	"4"	""	"97"	""	"4"	""	"8"	""	"328"	""
"88"	"77"	""	"228"	"97"	""	"35"	""	"5"	""	""	"145"	""	"23"	""	"62"	""	"4"	""	"6"	""	"5"	""	"144"	""	"15"	""	"32"	""	"801"	""
"89"	"78"	""	"128"	"105"	""	"36"	""	"1"	""	""	"162"	""	"13"	""	"48"	""	"15"	""	"5"	""	"3"	""	"40"	""	"8"	""	"15"	""	"579"	""
"90"	"79"	""	"166"	"91"	""	"8"	""	"1"	""	""	"70"	""	"11"	""	"18"	""	"9"	""	"2"	""	"3"	""	"53"	""	"6"	""	"11"	""	"449"	""
"91"	"80"	""	"91"	"108"	""	"26"	""	"1"	""	""	"29"	""	"2"	""	"19"	""	"4"	""	"1"	""	"5"	""	"117"	""	"6"	""	"11"	""	"420"	""
"92"	"80A"	""	"151"	"171"	""	"11"	""	"2"	""	""	"64"	""	"6"	""	"38"	""	"5"	""	"4"	""	"3"	""	"36"	""	"5"	""	"17"	""	"513"	""
"93"	"81"	""	"142"	"279"	""	"71"	""	"7"	""	""	"224"	""	"5"	""	"52"	""	"5"	""	"3"	""	"5"	""	"21"	""	"6"	""	"8"	""	"828"	""
"94"	"82"	""	"13"	"101"	""	"125"	""	"7"	""	""	"251"	""	"7"	""	"32"	""	"2"	""	"3"	""	"7"	""	"12"	""	"7"	""	"5"	""	"572"	""
"95"	"83"	""	"124"	"171"	""	"24"	""	"2"	""	""	"88"	""	"5"	""	"38"	""	"10"	""	"6"	""	"10"	""	"19"	""	"8"	""	"15"	""	"520"	""
"96"	"84"	""	"24"	"338"	""	"22"	""	"4"	""	""	"29"	""	"4"	""	"32"	""	"5"	""	"3"	""	"7"	""	"2"	""	"15"	""	"15"	""	"500"	""
"97"	"85"	""	"45"	"177"	""	"15"	""	"2"	""	""	"68"	""	"4"	""	"30"	""	"10"	""	"4"	""	"3"	""	"4"	""	"15"	""	"12"	""	"389"	""
"98"	"85A"	""	"13"	"319"	""	"16"	""	"1"	""	""	"40"	""	"4"	""	"24"	""	"8"	""	"1"	""	"3"	""	"5"	""	"9"	""	"15"	""	"458"	""
"99"	"86"	""	"70"	"340"	""	"30"	""	"8"	""	""	"177"	""	"6"	""	"43"	""	"23"	""	"5"	""	"7"	""	"58"	""	"6"	""	"8"	""	"781"	""
"100"	"87"	""	"6"	"23"	""	"55"	""	"5"	""	""	"214"	""	"12"	""	"28"	""	"2"	""	"10"	""	"6"	""	"183"	""	"7"	""	"8"	""	"559"	""
"101"	"88"	""	"32"	"293"	""	"15"	""	"7"	""	""	"113"	""	"2"	""	"31"	""	"10"	""	"5"	""	"10"	""	"73"	""	"8"	""	"12"	""	"611"	""
"102"	"89"	""	"13"	"164"	""	"62"	""	"6"	""	""	"109"	""	"0"	""	"27"	""	"5"	""	"3"	""	"3"	""	"75"	""	"4"	""	"9"	""	"480"	""
"103"	"90"	""	"26"	"425"	""	"35"	""	"4"	""	""	"184"	""	"7"	""	"41"	""	"12"	""	"5"	""	"3"	""	"124"	""	"22"	""	"19"	""	"907"	""
"104"	"91"	""	"48"	"288"	""	"5"	""	"2"	""	""	"191"	""	"3"	""	"28"	""	"13"	""	"1"	""	"6"	""	"4"	""	"8"	""	"24"	""	"621"	""
"105"	"92"	""	"185"	"158"	""	"11"	""	"3"	""	""	"181"	""	"2"	""	"55"	""	"10"	""	"5"	""	"4"	""	"5"	""	"12"	""	"36"	""	"667"	""
"106"	"93"	""	"19"	"256"	""	"100"	""	"5"	""	""	"71"	""	"1"	""	"11"	""	"3"	""	"1"	""	"1"	""	"2"	""	"3"	""	"10"	""	"483"	""
"107"	"94"	""	"45"	"308"	""	"20"	""	"1"	""	""	"24"	""	"2"	""	"3"	""	"4"	""	"6"	""	"6"	""	"2"	""	"13"	""	"10"	""	"444"	""
"108"	"95"	""	"10"	"242"	""	"4"	""	"3"	""	""	"118"	""	"0"	""	"29"	""	"8"	""	"0"	""	"2"	""	"4"	""	"6"	""	"10"	""	"436"	""
"109"	"95A"	""	"16"	"195"	""	"23"	""	"1"	""	""	"134"	""	"4"	""	"43"	""	"5"	""	"5"	""	"1"	""	"6"	""	"8"	""	"8"	""	"449"	""
"110"	"96"	""	"42"	"326"	""	"12"	""	"12"	""	""	"111"	""	"2"	""	"47"	""	"9"	""	"2"	""	"8"	""	"9"	""	"14"	""	"30"	""	"624"	""
"111"	"96A"	""	"39"	"251"	""	"3"	""	"0"	""	""	"75"	""	"0"	""	"14"	""	"3"	""	"0"	""	"4"	""	"1"	""	"5"	""	"7"	""	"402"	""
"112"	"97"	""	"30"	"140"	""	"157"	""	"4"	""	""	"300"	""	"3"	""	"86"	""	"14"	""	"6"	""	"7"	""	"21"	""	"19"	""	"22"	""	"809"	""
"113"	"98"	""	"89"	"304"	""	"172"	""	"2"	""	""	"75"	""	"3"	""	"43"	""	"10"	""	"1"	""	"7"	""	"28"	""	"10"	""	"27"	""	"771"	""
"114"	"99"	""	"34"	"434"	""	"38"	""	"16"	""	""	"152"	""	"8"	""	"93"	""	"14"	""	"3"	""	"7"	""	"14"	""	"27"	""	"23"	""	"863"	""
"115"	"100"	""	"55"	"173"	""	"22"	""	"4"	""	""	"208"	""	"11"	""	"30"	""	"8"	""	"7"	""	"4"	""	"1"	""	"4"	""	"4"	""	"531"	""
"116"	"101"	""	"16"	"118"	""	"88"	""	"5"	""	""	"254"	""	"7"	""	"57"	""	"2"	""	"11"	""	"10"	""	"16"	""	"9"	""	"8"	""	"601"	""
"117"	"102"	""	"14"	"108"	""	"9"	""	"3"	""	""	"176"	""	"4"	""	"61"	""	"6"	""	"8"	""	"2"	""	"6"	""	"7"	""	"15"	""	"419"	""
"118"	"103"	""	"17"	"129"	""	"94"	""	"0"	""	""	"138"	""	"12"	""	"49"	""	"6"	""	"3"	""	"2"	""	"4"	""	"4"	""	"14"	""	"472"	""
"119"	"104"	""	"24"	"265"	""	"22"	""	"10"	""	""	"150"	""	"3"	""	"19"	""	"4"	""	"3"	""	"7"	""	"1"	""	"10"	""	"7"	""	"525"	""
"120"	"105"	""	"30"	"328"	""	"26"	""	"1"	""	""	"6"	""	"0"	""	"4"	""	"4"	""	"0"	""	"1"	""	"0"	""	"2"	""	"3"	""	"405"	""
"121"	"106"	""	"10"	"24"	""	"37"	""	"4"	""	""	"205"	""	"5"	""	"31"	""	"9"	""	"1"	""	"0"	""	"51"	""	"8"	""	"3"	""	"388"	""
"122"	"107"	""	"135"	"136"	""	"35"	""	"5"	""	""	"163"	""	"9"	""	"59"	""	"8"	""	"7"	""	"9"	""	"31"	""	"12"	""	"28"	""	"637"	""
"123"	"108"	""	"12"	"358"	""	"25"	""	"3"	""	""	"28"	""	"0"	""	"2"	""	"0"	""	"0"	""	"1"	""	"2"	""	"3"	""	"2"	""	"436"	""
"124"	"108A"	""	"14"	"133"	""	"21"	""	"10"	""	""	"97"	""	"1"	""	"23"	""	"2"	""	"4"	""	"2"	""	"3"	""	"5"	""	"5"	""	"320"	""
"125"	"109"	""	"49"	"263"	""	"14"	""	"1"	""	""	"95"	""	"4"	""	"21"	""	"1"	""	"0"	""	"3"	""	"3"	""	"1"	""	"9"	""	"464"	""
"126"	"110"	""	"145"	"116"	""	"41"	""	"4"	""	""	"158"	""	"1"	""	"27"	""	"3"	""	"0"	""	"1"	""	"4"	""	"3"	""	"14"	""	"517"	""
"127"	"111"	""	"237"	"212"	""	"42"	""	"7"	""	""	"157"	""	"4"	""	"29"	""	"9"	""	"4"	""	"2"	""	"13"	""	"8"	""	"23"	""	"747"	""
"128"	"112"	""	"94"	"243"	""	"26"	""	"3"	""	""	"159"	""	"3"	""	"19"	""	"6"	""	"2"	""	"2"	""	"10"	""	"7"	""	"14"	""	"588"	""
"129"	"113"	""	"39"	"264"	""	"32"	""	"12"	""	""	"229"	""	"3"	""	"32"	""	"5"	""	"9"	""	"2"	""	"3"	""	"7"	""	"11"	""	"648"	""
"130"	"114"	""	"30"	"28"	""	"93"	""	"3"	""	""	"101"	""	"2"	""	"34"	""	"1"	""	"1"	""	"1"	""	"69"	""	"2"	""	"2"	""	"367"	""
"131"	"115"	""	"68"	"73"	""	"54"	""	"3"	""	""	"126"	""	"0"	""	"52"	""	"3"	""	"3"	""	"4"	""	"6"	""	"2"	""	"4"	""	"398"	""
"132"	"116"	""	"30"	"123"	""	"28"	""	"34"	""	""	"134"	""	"1"	""	"55"	""	"9"	""	"3"	""	"6"	""	"1"	""	"5"	""	"2"	""	"431"	""
"133"	"116A"	""	"24"	"147"	""	"58"	""	"3"	""	""	"148"	""	"3"	""	"24"	""	"2"	""	"1"	""	"0"	""	"3"	""	"4"	""	"5"	""	"422"	""
"134"	"117"	""	"103"	"160"	""	"14"	""	"12"	""	""	"233"	""	"11"	""	"73"	""	"4"	""	"3"	""	"11"	""	"3"	""	"8"	""	"22"	""	"657"	""
"135"	"118"	""	"49"	"171"	""	"21"	""	"3"	""	""	"144"	""	"3"	""	"61"	""	"9"	""	"5"	""	"3"	""	"5"	""	"7"	""	"23"	""	"504"	""
"136"	"119"	""	"35"	"239"	""	"35"	""	"5"	""	""	"112"	""	"3"	""	"24"	""	"15"	""	"2"	""	"9"	""	"18"	""	"2"	""	"2"	""	"501"	""
"137"	"120"	""	"202"	"226"	""	"65"	""	"1"	""	""	"52"	""	"4"	""	"12"	""	"5"	""	"0"	""	"4"	""	"14"	""	"1"	""	"5"	""	"591"	""
"138"	"121"	""	"141"	"234"	""	"24"	""	"0"	""	""	"27"	""	"0"	""	"7"	""	"3"	""	"1"	""	"2"	""	"0"	""	"6"	""	"12"	""	"457"	""
"139"	"122"	""	"210"	"288"	""	"12"	""	"2"	""	""	"136"	""	"2"	""	"35"	""	"12"	""	"2"	""	"5"	""	"5"	""	"12"	""	"20"	""	"741"	""
"140"	"123"	""	"230"	"300"	""	"45"	""	"8"	""	""	"150"	""	"8"	""	"44"	""	"5"	""	"3"	""	"5"	""	"2"	""	"6"	""	"4"	""	"810"	""
"141"	"124"	""	"139"	"133"	""	"90"	""	"4"	""	""	"148"	""	"5"	""	"59"	""	"9"	""	"3"	""	"9"	""	"9"	""	"10"	""	"24"	""	"642"	""
"142"	"125"	""	"123"	"96"	""	"25"	""	"3"	""	""	"129"	""	"4"	""	"19"	""	"4"	""	"3"	""	"1"	""	"2"	""	"3"	""	"7"	""	"419"	""
"143"	"126"	""	"56"	"27"	""	"204"	""	"2"	""	""	"93"	""	"1"	""	"21"	""	"3"	""	"1"	""	"4"	""	"4"	""	"1"	""	"6"	""	"423"	""
