"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"167"	""	""	""	""	""	""	""	""	""	""
"168"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"169"	""	""	""	""	""	""	""	""	""	""
"170"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"171"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"172"	"130"	"504"	"11"	"6"	"96"	"163"	"10"	"3"	"47"	"840"
"173"	"131"	"325"	"17"	"17"	"11"	"335"	"10"	"12"	"29"	"756"
"174"	"132"	"635"	"12"	"81"	"5"	"73"	"17"	"4"	"30"	"857"
"175"	"133"	"50"	"3"	"4"	"2"	"219"	"5"	"3"	"19"	"305"
"176"	"134"	"204"	"4"	"11"	"27"	"195"	"3"	"3"	"7"	"454"
"177"	"135"	"487"	"7"	"9"	"9"	"198"	"5"	"0"	"37"	"752"
"178"	"136"	"514"	"9"	"6"	"7"	"172"	"7"	"4"	"23"	"742"
"179"	"137"	"344"	"11"	"9"	"16"	"18"	"11"	"10"	"365"	"784"
"180"	"138"	"292"	"5"	"5"	"14"	"318"	"24"	"8"	"66"	"732"
"181"	"139"	"363"	"7"	"9"	"15"	"37"	"5"	"4"	"191"	"631"
"182"	"140"	"232"	"7"	"3"	"4"	"6"	"0"	"2"	"27"	"281"
"183"	"141"	"267"	"4"	"2"	"2"	"37"	"2"	"3"	"21"	"338"
"184"	"142"	"310"	"10"	"2"	"9"	"30"	"8"	"4"	"143"	"516"
"185"	"143"	"209"	"4"	"3"	"35"	"268"	"28"	"8"	"45"	"600"
"186"	"144"	"351"	"3"	"3"	"9"	"94"	"6"	"4"	"70"	"540"
"187"	"145"	"326"	"8"	"0"	"17"	"136"	"6"	"4"	"27"	"524"
"188"	"146"	"388"	"3"	"4"	"16"	"73"	"5"	"5"	"45"	"539"
"189"	"147"	"545"	"3"	"6"	"23"	"111"	"4"	"3"	"67"	"762"
"190"	"148"	"54"	"1"	"1"	"5"	"165"	"2"	"1"	"5"	"234"
"191"	"149"	"114"	"3"	"2"	"45"	"268"	"10"	"8"	"295"	"745"
"192"	"150"	"245"	"5"	"3"	"7"	"7"	"3"	"2"	"35"	"307"
"193"	"151"	"286"	"10"	"4"	"7"	"291"	"9"	"7"	"209"	"823"
"194"	"152"	"311"	"9"	"3"	"6"	"6"	"3"	"8"	"139"	"485"
"195"	"152A"	"285"	"7"	"11"	"32"	"5"	"6"	"8"	"73"	"427"
"196"	"153"	"324"	"9"	"1"	"29"	"285"	"11"	"16"	"141"	"816"
"197"	"154"	"202"	"14"	"7"	"28"	"322"	"7"	"5"	"61"	"646"
"198"	"155"	"213"	"10"	"7"	"103"	"19"	"3"	"2"	"23"	"380"
"199"	"156"	"184"	"5"	"3"	"7"	"279"	"4"	"5"	"178"	"665"
"200"	"157"	"117"	"4"	"5"	"12"	"428"	"11"	"11"	"168"	"756"
"201"	"158"	"155"	"1"	"0"	"9"	"17"	"4"	"3"	"247"	"436"
"202"	"159"	"33"	"4"	"3"	"8"	"40"	"7"	"5"	"353"	"453"
"203"	"160"	"308"	"6"	"1"	"5"	"22"	"2"	"1"	"91"	"436"
"204"	"161"	"384"	"10"	"4"	"24"	"9"	"4"	"6"	"157"	"598"
"205"	"Form 20"	""	""	""	""	""	""	""	""	""
"206"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"207"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"208"	""	""	""	""	""	""	""	""	""	""
"209"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"210"	""	""	""	""	""	""	""	""	""	""
"211"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"212"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"213"	"162"	"297"	"4"	"5"	"19"	"107"	"7"	"5"	"85"	"529"
"214"	"163"	"262"	"8"	"0"	"37"	"27"	"4"	"9"	"99"	"446"
"215"	"164"	"163"	"4"	"2"	"24"	"242"	"13"	"6"	"90"	"544"
"216"	"165"	"513"	"9"	"6"	"6"	"94"	"8"	"13"	"213"	"862"
"217"	"166"	"231"	"8"	"2"	"8"	"118"	"8"	"2"	"19"	"396"
"218"	"167"	"229"	"6"	"0"	"5"	"136"	"5"	"6"	"102"	"489"
"219"	"168"	"384"	"7"	"4"	"2"	"2"	"3"	"1"	"99"	"502"
"220"	"169"	"52"	"1"	"0"	"12"	"91"	"10"	"3"	"385"	"554"
"221"	"170"	"47"	"3"	"1"	"8"	"65"	"6"	"3"	"405"	"538"
"222"	"171"	"133"	"3"	"1"	"5"	"31"	"4"	"5"	"419"	"601"
"223"	"172"	"194"	"5"	"0"	"2"	"39"	"9"	"5"	"199"	"453"
"224"	"173"	"95"	"3"	"2"	"4"	"67"	"2"	"6"	"228"	"407"
"225"	"174"	"3"	"1"	"0"	"4"	"7"	"0"	"0"	"473"	"488"
"226"	"175"	"5"	"0"	"0"	"8"	"12"	"2"	"2"	"539"	"568"
"227"	"176"	"21"	"2"	"0"	"5"	"37"	"4"	"11"	"759"	"839"
"228"	"177"	"65"	"5"	"1"	"10"	"9"	"4"	"9"	"632"	"735"
"229"	"178"	"49"	"5"	"5"	"114"	"222"	"21"	"17"	"326"	"759"
"230"	"179"	"113"	"6"	"5"	"27"	"96"	"7"	"6"	"476"	"736"
"231"	"180"	"32"	"4"	"1"	"11"	"40"	"3"	"4"	"345"	"440"
"232"	"181"	"22"	"2"	"0"	"4"	"51"	"6"	"8"	"280"	"373"
"233"	"182"	"76"	"6"	"10"	"12"	"126"	"16"	"9"	"319"	"574"
"234"	"183"	"322"	"23"	"5"	"22"	"344"	"19"	"8"	"30"	"773"
"235"	"184"	"413"	"8"	"12"	"23"	"9"	"6"	"2"	"89"	"562"
"236"	"185"	"499"	"10"	"12"	"11"	"34"	"12"	"5"	"164"	"747"
"237"	"186"	"140"	"7"	"2"	"19"	"547"	"22"	"13"	"76"	"826"
"238"	"187"	"220"	"4"	"2"	"5"	"32"	"2"	"2"	"34"	"301"
"239"	"188"	"265"	"2"	"10"	"4"	"124"	"6"	"1"	"80"	"492"
"240"	"189"	"234"	"6"	"4"	"9"	"45"	"7"	"9"	"113"	"427"
"241"	"190"	"278"	"6"	"5"	"19"	"164"	"7"	"7"	"243"	"729"
"242"	"191"	"189"	"5"	"5"	"20"	"158"	"11"	"3"	"108"	"499"
"243"	"192"	"198"	"5"	"1"	"19"	"33"	"6"	"3"	"112"	"377"
"244"	"193"	"410"	"9"	"19"	"122"	"99"	"12"	"15"	"151"	"837"
"245"	"194"	"326"	"4"	"9"	"140"	"36"	"15"	"2"	"25"	"557"
"246"	"Form 20"	""	""	""	""	""	""	""	""	""
"247"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""
"248"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 057---Baisi CONSTITUENCY"	""	""	""	""	""	""	""	""	""
"249"	""	""	""	""	""	""	""	""	""	""
"250"	"Assembly Constituency :057---Baisi"	""	""	""	""	""	""	""	"No of Voters :190598"	""
"251"	""	""	""	""	""	""	""	""	""	""
"252"	"Candidates  Name"	"ABDUS SUBHAN"	"INDRA KUMAR"	"TOSIF ALAM"	"NASAR AHAMAD"	"SANTOSH KUMAR"	"ALIMUDDIN ANSARI"	"MOJIM"	"SYED RUKNUDDIN"	""
"253"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"254"	"195"	"439"	"4"	"14"	"16"	"96"	"7"	"5"	"160"	"741"
"255"	"196"	"151"	"5"	"22"	"6"	"157"	"10"	"4"	"82"	"437"
"256"	"197"	"266"	"14"	"9"	"13"	"13"	"11"	"6"	"151"	"483"
"257"	"198"	"267"	"7"	"16"	"14"	"46"	"11"	"5"	"97"	"463"
"258"	"199"	"130"	"8"	"78"	"7"	"24"	"31"	"4"	"116"	"398"
"259"	"Total:"	"27218"	"1255"	"1228"	"30635"	"39855"	"1992"	"1251"	"18956"	"122390"
"260"	"Postal Ballot"	"45"	"0"	"1"	"54"	"84"	"0"	"0"	"30"	"214"
"261"	"Grand Total:"	"27263"	"1255"	"1229"	"30689"	"39939"	"1992"	"1251"	"18986"	"122604"
"262"	"Place:"	""	""	""	""	""	""	""	""	""
"263"	"Date: 24/11/2010"	""	""	""	""	""	""	""	""	""
"264"	""	""	""	""	""	""	""	"Assembly Constituency :057---Baisi"	""	""
