"Total.No..of.Electors.in.Assembly.Constituency........190826"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"05- Lauria Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS BABLOO SINGH"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"107"	"56"	"27"	"7"	"235"	"108"	"78"	"11"	"5"	"14"	"4"	"2"	"38"	"15"	"544"	"0"	"544"	"0"	""
"108"	"57"	"4"	"7"	"39"	"126"	"110"	"14"	"4"	"10"	"4"	"3"	"82"	"5"	"408"	"0"	"408"	"0"	""
"109"	"58"	"2"	"0"	"84"	"248"	"243"	"1"	"1"	"4"	"1"	"1"	"20"	"6"	"611"	"0"	"611"	"0"	""
"110"	"59"	"13"	"2"	"101"	"123"	"120"	"4"	"5"	"10"	"0"	"6"	"45"	"10"	"439"	"0"	"439"	"0"	""
"111"	"60"	"18"	"10"	"180"	"124"	"149"	"23"	"5"	"17"	"4"	"8"	"255"	"7"	"800"	"0"	"800"	"0"	""
"112"	"61"	"3"	"1"	"151"	"44"	"147"	"9"	"2"	"10"	"6"	"3"	"205"	"15"	"596"	"0"	"596"	"0"	""
"113"	"62"	"15"	"2"	"120"	"35"	"221"	"2"	"4"	"13"	"2"	"3"	"10"	"6"	"433"	"0"	"433"	"0"	""
"114"	"63"	"12"	"7"	"128"	"44"	"212"	"4"	"1"	"9"	"1"	"1"	"47"	"4"	"470"	"0"	"470"	"0"	""
"115"	"64"	"8"	"13"	"64"	"160"	"224"	"10"	"2"	"14"	"5"	"4"	"114"	"26"	"644"	"0"	"644"	"0"	""
"116"	"65"	"16"	"7"	"110"	"154"	"123"	"50"	"8"	"7"	"5"	"4"	"99"	"4"	"587"	"0"	"587"	"0"	""
"117"	"66"	"15"	"1"	"265"	"14"	"81"	"6"	"1"	"7"	"7"	"20"	"73"	"14"	"504"	"0"	"504"	"0"	""
"118"	"67"	"36"	"22"	"399"	"32"	"247"	"2"	"8"	"23"	"5"	"17"	"155"	"14"	"960"	"0"	"960"	"0"	""
"119"	"68"	"20"	"6"	"178"	"8"	"177"	"4"	"6"	"15"	"2"	"11"	"127"	"6"	"560"	"0"	"560"	"0"	""
"120"	"69"	"5"	"3"	"75"	"1"	"99"	"4"	"3"	"6"	"2"	"5"	"158"	"6"	"367"	"0"	"367"	"0"	""
"121"	"Total"	"194"	"88"	"2129"	"1221"	"2231"	"144"	"55"	"159"	"48"	"88"	"1428"	"138"	"7923"	"0"	"7923"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"05- Lauria Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"132"	"70"	"18"	"2"	"252"	"39"	"82"	"81"	"2"	"4"	"2"	"5"	"96"	"5"	"588"	"0"	"588"	"0"	""
"133"	"71"	"19"	"3"	"192"	"41"	"82"	"4"	"3"	"13"	"2"	"5"	"112"	"4"	"480"	"0"	"480"	"0"	""
"134"	"72"	"34"	"10"	"343"	"66"	"175"	"6"	"2"	"13"	"6"	"7"	"164"	"21"	"847"	"0"	"847"	"0"	""
"135"	"73"	"1"	"50"	"167"	"12"	"70"	"15"	"1"	"3"	"0"	"5"	"67"	"3"	"394"	"0"	"394"	"0"	""
"136"	"74"	"8"	"2"	"49"	"18"	"71"	"4"	"1"	"3"	"0"	"4"	"46"	"9"	"215"	"0"	"215"	"0"	""
"137"	"75"	"21"	"9"	"288"	"13"	"42"	"4"	"1"	"6"	"1"	"7"	"61"	"9"	"462"	"0"	"462"	"0"	""
"138"	"76"	"19"	"7"	"184"	"17"	"240"	"3"	"4"	"14"	"9"	"6"	"130"	"14"	"647"	"0"	"647"	"0"	""
"139"	"77"	"15"	"3"	"65"	"76"	"114"	"15"	"0"	"7"	"6"	"3"	"62"	"13"	"379"	"0"	"379"	"0"	""
"140"	"78"	"9"	"8"	"199"	"34"	"169"	"13"	"3"	"17"	"4"	"8"	"159"	"25"	"648"	"0"	"648"	"0"	""
"141"	"79"	"40"	"13"	"298"	"77"	"159"	"80"	"8"	"16"	"3"	"7"	"87"	"5"	"793"	"0"	"793"	"0"	""
"142"	"80"	"17"	"1"	"152"	"97"	"122"	"8"	"1"	"12"	"2"	"9"	"61"	"16"	"498"	"0"	"498"	"0"	""
"143"	"80 A"	"18"	"6"	"267"	"38"	"14"	"19"	"3"	"7"	"8"	"7"	"83"	"12"	"482"	"0"	"482"	"0"	""
"144"	"81"	"11"	"1"	"275"	"15"	"59"	"3"	"3"	"5"	"3"	"5"	"27"	"8"	"415"	"0"	"415"	"0"	""
"145"	"82"	"21"	"7"	"396"	"27"	"100"	"3"	"3"	"10"	"6"	"23"	"64"	"6"	"666"	"0"	"666"	"0"	""
"146"	"Total"	"251"	"122"	"3127"	"570"	"1499"	"258"	"35"	"130"	"52"	"101"	"1219"	"150"	"7514"	"0"	"7514"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"05- Lauria Legislative Assembly Constituency (Round - 7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Polling Station No."	"UMESH YADAV"	"DAKTAR MAHTO"	"PRADEEP SINGH"	"VISHWAM OHAN SHARMA"	"SHAMBHU TIWARI"	"SANTOSH KUMAR RAO ALLIAS
BABLOO"	"IRSHAD ALAM"	"NARAYANI DEVI"	"VIJAY KUMAR"	"SANJAY THAKUR"	"VINAY BIHARI"	"SAJJAD ANSARI"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"156"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""
"157"	"83"	"29"	"1"	"372"	"36"	"62"	"1"	"0"	"5"	"1"	"0"	"41"	"1"	"549"	"0"	"549"	"0"	""
"158"	"83 A"	"7"	"7"	"65"	"36"	"87"	"8"	"6"	"5"	"1"	"4"	"159"	"9"	"394"	"0"	"394"	"0"	""
"159"	"84"	"24"	"5"	"217"	"42"	"237"	"14"	"3"	"24"	"6"	"10"	"120"	"36"	"738"	"0"	"738"	"0"	""
"160"	"85"	"15"	"8"	"121"	"103"	"84"	"6"	"5"	"30"	"7"	"14"	"279"	"19"	"691"	"0"	"691"	"0"	""
"161"	"86"	"24"	"7"	"206"	"33"	"69"	"1"	"2"	"7"	"0"	"3"	"131"	"8"	"491"	"0"	"491"	"0"	""
"162"	"87"	"14"	"3"	"138"	"92"	"39"	"26"	"9"	"12"	"3"	"7"	"191"	"8"	"542"	"0"	"542"	"0"	""
"163"	"88"	"13"	"6"	"367"	"29"	"60"	"15"	"5"	"5"	"0"	"6"	"101"	"14"	"621"	"0"	"621"	"0"	""
"164"	"89"	"15"	"17"	"66"	"9"	"159"	"18"	"10"	"12"	"5"	"3"	"469"	"13"	"796"	"0"	"796"	"0"	""
"165"	"90"	"16"	"5"	"43"	"14"	"93"	"14"	"9"	"13"	"7"	"22"	"476"	"44"	"756"	"0"	"756"	"0"	""
"166"	"91"	"8"	"2"	"98"	"23"	"65"	"6"	"3"	"10"	"4"	"10"	"323"	"18"	"570"	"0"	"570"	"0"	""
"167"	"92"	"5"	"8"	"20"	"13"	"80"	"12"	"4"	"2"	"2"	"14"	"486"	"16"	"662"	"0"	"662"	"0"	""
"168"	"93"	"3"	"1"	"11"	"33"	"29"	"0"	"4"	"7"	"3"	"8"	"257"	"16"	"372"	"0"	"372"	"0"	""
"169"	"94"	"5"	"7"	"12"	"6"	"26"	"1"	"4"	"4"	"1"	"6"	"598"	"11"	"681"	"0"	"681"	"0"	""
"170"	"95"	"11"	"6"	"48"	"12"	"28"	"15"	"4"	"7"	"4"	"14"	"477"	"14"	"640"	"0"	"640"	"0"	""
"171"	"Total"	"189"	"83"	"1784"	"481"	"1118"	"137"	"68"	"143"	"44"	"121"	"4108"	"227"	"8503"	"0"	"8503"	"0"	""
"172"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"05- Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Total No. of Electors in Assembly Constituency -      190826"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"05- Lauria Legislative Assembly Constituency (Round - 8)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
