"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"14"	"13"	"4"	"1"	"319"	"1"	"27"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"0"	"1"	"0"	"1"	"362"	"0"	"362"	"0"
"15"	"14"	"16"	"7"	"382"	"9"	"78"	"2"	"2"	"3"	"6"	"4"	"10"	"11"	"85"	"16"	"15"	"16"	"662"	"0"	"662"	"0"
"16"	"15"	"22"	"5"	"391"	"8"	"45"	"2"	"1"	"5"	"12"	"6"	"18"	"6"	"20"	"19"	"10"	"13"	"583"	"0"	"583"	"0"
"17"	"16"	"8"	"3"	"141"	"7"	"230"	"7"	"0"	"1"	"5"	"4"	"6"	"0"	"14"	"7"	"2"	"5"	"440"	"0"	"440"	"0"
"18"	"17"	"25"	"2"	"94"	"3"	"156"	"3"	"0"	"0"	"2"	"1"	"7"	"2"	"1"	"6"	"0"	"4"	"306"	"0"	"306"	"0"
"19"	"18"	"15"	"3"	"180"	"11"	"90"	"5"	"0"	"0"	"1"	"5"	"4"	"1"	"1"	"2"	"6"	"5"	"329"	"0"	"329"	"0"
"20"	"19"	"16"	"10"	"104"	"54"	"171"	"13"	"1"	"4"	"8"	"9"	"11"	"7"	"4"	"16"	"7"	"18"	"453"	"0"	"453"	"0"
"21"	"20"	"22"	"0"	"66"	"1"	"172"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"1"	"3"	"272"	"0"	"272"	"0"
"22"	"21"	"18"	"2"	"146"	"8"	"99"	"4"	"1"	"1"	"2"	"2"	"6"	"3"	"5"	"6"	"0"	"10"	"313"	"0"	"313"	"0"
"23"	"22"	"16"	"0"	"167"	"9"	"184"	"4"	"1"	"1"	"3"	"2"	"10"	"12"	"2"	"11"	"5"	"10"	"437"	"0"	"437"	"0"
"24"	"23"	"7"	"3"	"107"	"8"	"410"	"8"	"2"	"2"	"9"	"5"	"15"	"30"	"1"	"18"	"1"	"12"	"638"	"0"	"638"	"0"
"25"	"24"	"4"	"2"	"135"	"4"	"327"	"20"	"1"	"1"	"10"	"6"	"12"	"25"	"4"	"10"	"3"	"20"	"584"	"0"	"584"	"0"
"26"	"25"	"4"	"0"	"259"	"4"	"279"	"9"	"0"	"0"	"6"	"3"	"13"	"12"	"6"	"10"	"3"	"5"	"613"	"0"	"613"	"0"
"27"	"26"	"11"	"4"	"377"	"11"	"89"	"5"	"0"	"2"	"3"	"3"	"11"	"11"	"9"	"22"	"6"	"12"	"576"	"0"	"576"	"0"
"28"	"27"	"2"	"1"	"422"	"8"	"95"	"4"	"1"	"1"	"4"	"1"	"8"	"4"	"4"	"21"	"3"	"16"	"595"	"0"	"595"	"0"
"29"	"28"	"10"	"2"	"400"	"9"	"315"	"9"	"4"	"3"	"5"	"2"	"10"	"13"	"6"	"23"	"4"	"11"	"826"	"0"	"826"	"0"
"30"	"29"	"7"	"9"	"291"	"7"	"143"	"2"	"1"	"4"	"3"	"7"	"4"	"7"	"2"	"3"	"1"	"7"	"498"	"0"	"498"	"0"
"31"	"30"	"5"	"5"	"345"	"6"	"91"	"1"	"1"	"3"	"5"	"2"	"12"	"12"	"6"	"16"	"3"	"26"	"539"	"0"	"539"	"0"
"32"	"31"	"13"	"2"	"287"	"3"	"71"	"3"	"5"	"3"	"3"	"1"	"9"	"3"	"1"	"5"	"1"	"3"	"413"	"0"	"413"	"0"
"33"	"32"	"30"	"2"	"116"	"4"	"374"	"7"	"1"	"5"	"2"	"7"	"12"	"15"	"4"	"6"	"1"	"7"	"593"	"0"	"593"	"0"
"34"	"33"	"5"	"2"	"129"	"5"	"296"	"17"	"3"	"1"	"4"	"7"	"6"	"8"	"3"	"4"	"3"	"7"	"500"	"0"	"500"	"0"
"35"	"34"	"2"	"1"	"174"	"2"	"30"	"1"	"0"	"1"	"1"	"4"	"4"	"4"	"3"	"7"	"1"	"9"	"244"	"0"	"244"	"0"
"36"	"35"	"19"	"6"	"170"	"4"	"378"	"10"	"3"	"3"	"8"	"9"	"16"	"4"	"4"	"12"	"1"	"10"	"657"	"0"	"657"	"0"
"37"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"38"	""	"ASHOK GAGAN"	"KAMESH WAR KUMAR"	"BHAI VIRENDR A"	"VINOD KUMAR SINGH"	"SRIKANT NIRALA"	"GOPAL SINGH"	"RAJARA M RAY"	"SANJEET KUMAR"	"ANAND KUMAR"	"JAVAHA R SINGH"	"DEVANA ND YADAV"	"MANJU DEVI"	"MAHESH KUMAR"	"MINA DEVI"	"VISHAL"	"SUDHIR KUMAR"	""	""	""	""
"39"	"36"	"35"	"4"	"193"	"3"	"529"	"5"	"3"	"3"	"2"	"3"	"7"	"12"	"3"	"11"	"4"	"6"	"823"	"0"	"823"	"0"
"40"	"37"	"35"	"3"	"258"	"9"	"363"	"2"	"2"	"1"	"0"	"3"	"3"	"4"	"2"	"1"	"0"	"4"	"690"	"0"	"690"	"0"
"41"	"38"	"6"	"0"	"58"	"2"	"202"	"7"	"1"	"1"	"0"	"2"	"3"	"3"	"2"	"2"	"1"	"0"	"290"	"0"	"290"	"0"
"42"	"38A"	"6"	"3"	"112"	"5"	"183"	"7"	"1"	"1"	"4"	"2"	"7"	"2"	"2"	"3"	"2"	"3"	"343"	"0"	"343"	"0"
"43"	"39"	"8"	"15"	"343"	"21"	"264"	"10"	"5"	"6"	"10"	"10"	"23"	"10"	"7"	"29"	"4"	"22"	"787"	"0"	"787"	"0"
"44"	"40"	"4"	"5"	"250"	"5"	"102"	"0"	"0"	"2"	"3"	"2"	"5"	"2"	"4"	"16"	"1"	"6"	"407"	"0"	"407"	"0"
"45"	"41"	"5"	"12"	"230"	"2"	"143"	"4"	"2"	"1"	"0"	"3"	"9"	"2"	"4"	"11"	"0"	"4"	"432"	"0"	"432"	"0"
"46"	"42"	"26"	"2"	"109"	"17"	"538"	"15"	"3"	"1"	"7"	"6"	"15"	"15"	"4"	"8"	"1"	"11"	"778"	"0"	"778"	"0"
"47"	"43"	"11"	"5"	"117"	"5"	"309"	"2"	"0"	"0"	"1"	"3"	"3"	"1"	"0"	"1"	"0"	"4"	"462"	"0"	"462"	"0"
"48"	"44"	"7"	"3"	"153"	"2"	"299"	"2"	"1"	"2"	"0"	"1"	"4"	"5"	"0"	"5"	"0"	"3"	"487"	"0"	"487"	"0"
"49"	"45"	"9"	"4"	"176"	"7"	"326"	"4"	"0"	"1"	"4"	"6"	"10"	"4"	"2"	"2"	"0"	"3"	"558"	"0"	"558"	"0"
"50"	"46"	"7"	"5"	"184"	"8"	"178"	"9"	"1"	"1"	"4"	"0"	"1"	"4"	"2"	"2"	"1"	"8"	"415"	"0"	"415"	"0"
"51"	"47"	"1"	"12"	"203"	"4"	"100"	"6"	"1"	"3"	"1"	"0"	"5"	"5"	"0"	"8"	"1"	"3"	"353"	"0"	"353"	"0"
"52"	"48"	"3"	"16"	"192"	"4"	"276"	"5"	"1"	"3"	"2"	"8"	"11"	"10"	"6"	"14"	"8"	"5"	"564"	"0"	"564"	"0"
"53"	"49"	"6"	"73"	"230"	"3"	"165"	"3"	"1"	"0"	"4"	"3"	"3"	"3"	"5"	"8"	"4"	"4"	"515"	"0"	"515"	"0"
"54"	"50"	"1"	"18"	"315"	"6"	"106"	"11"	"1"	"0"	"6"	"1"	"6"	"3"	"1"	"5"	"0"	"1"	"481"	"0"	"481"	"0"
"55"	"51"	"0"	"61"	"238"	"1"	"19"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"5"	"0"	"3"	"334"	"0"	"334"	"0"
"56"	"52"	"20"	"16"	"396"	"40"	"89"	"5"	"3"	"1"	"4"	"2"	"11"	"3"	"6"	"15"	"3"	"11"	"625"	"0"	"625"	"0"
"57"	"53"	"2"	"17"	"111"	"2"	"8"	"1"	"0"	"0"	"2"	"6"	"1"	"1"	"0"	"4"	"2"	"4"	"161"	"0"	"161"	"0"
"58"	"54"	"6"	"39"	"336"	"7"	"40"	"2"	"1"	"1"	"2"	"2"	"3"	"1"	"2"	"3"	"2"	"6"	"453"	"0"	"453"	"0"
"59"	"55"	"9"	"5"	"104"	"2"	"56"	"0"	"1"	"0"	"5"	"49"	"8"	"4"	"2"	"6"	"0"	"4"	"255"	"0"	"255"	"0"
"60"	"56"	"0"	"1"	"223"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"8"	"5"	"256"	"0"	"256"	"0"
"61"	"57"	"9"	"24"	"410"	"13"	"101"	"3"	"1"	"1"	"1"	"1"	"4"	"2"	"4"	"13"	"2"	"10"	"599"	"0"	"599"	"0"
"62"	"58"	"6"	"8"	"422"	"18"	"120"	"8"	"2"	"0"	"2"	"5"	"8"	"3"	"8"	"33"	"1"	"8"	"652"	"0"	"652"	"0"
"63"	"59"	"38"	"3"	"226"	"6"	"162"	"8"	"4"	"3"	"5"	"2"	"9"	"5"	"3"	"8"	"102"	"11"	"595"	"0"	"595"	"0"
"64"	"60"	"17"	"30"	"175"	"4"	"135"	"1"	"0"	"3"	"3"	"3"	"5"	"2"	"1"	"15"	"0"	"5"	"399"	"0"	"399"	"0"
"65"	"61"	"12"	"6"	"468"	"8"	"137"	"6"	"1"	"0"	"6"	"4"	"10"	"5"	"5"	"27"	"7"	"13"	"715"	"0"	"715"	"0"
"66"	"62"	"7"	"3"	"57"	"2"	"72"	"2"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"5"	"1"	"4"	"159"	"0"	"159"	"0"
"67"	"63"	"11"	"17"	"254"	"23"	"398"	"14"	"2"	"3"	"9"	"6"	"19"	"19"	"10"	"17"	"2"	"11"	"815"	"0"	"815"	"0"
"68"	"64"	"29"	"8"	"218"	"20"	"214"	"9"	"3"	"4"	"5"	"5"	"13"	"5"	"5"	"13"	"7"	"9"	"567"	"0"	"567"	"0"
"69"	"65"	"18"	"16"	"487"	"8"	"115"	"2"	"3"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"5"	"660"	"0"	"660"	"0"
"70"	"66"	"17"	"3"	"103"	"3"	"16"	"19"	"0"	"0"	"3"	"1"	"8"	"0"	"2"	"3"	"0"	"3"	"181"	"0"	"181"	"0"
"71"	"67"	"4"	"2"	"199"	"1"	"12"	"0"	"1"	"2"	"4"	"1"	"2"	"0"	"2"	"6"	"1"	"3"	"240"	"0"	"240"	"0"
"72"	"68"	"7"	"3"	"454"	"10"	"65"	"6"	"1"	"1"	"1"	"1"	"3"	"3"	"5"	"31"	"0"	"14"	"605"	"0"	"605"	"0"
"73"	"69"	"29"	"5"	"137"	"34"	"145"	"7"	"2"	"1"	"1"	"2"	"1"	"2"	"4"	"1"	"5"	"7"	"383"	"0"	"383"	"0"
"74"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"75"	""	"ASHOK GAGAN"	"KAMESH WAR KUMAR"	"BHAI VIRENDR A"	"VINOD KUMAR SINGH"	"SRIKANT NIRALA"	"GOPAL SINGH"	"RAJARA M RAY"	"SANJEET KUMAR"	"ANAND KUMAR"	"JAVAHA R SINGH"	"DEVANA ND YADAV"	"MANJU DEVI"	"MAHESH KUMAR"	"MINA DEVI"	"VISHAL"	"SUDHIR KUMAR"	""	""	""	""
"76"	"70"	"30"	"8"	"163"	"11"	"131"	"3"	"0"	"1"	"3"	"5"	"3"	"0"	"2"	"4"	"12"	"2"	"378"	"0"	"378"	"0"
"77"	"71"	"3"	"4"	"515"	"4"	"105"	"1"	"5"	"0"	"1"	"1"	"1"	"1"	"1"	"7"	"1"	"1"	"651"	"0"	"651"	"0"
"78"	"72"	"20"	"8"	"116"	"25"	"203"	"19"	"4"	"1"	"9"	"11"	"15"	"7"	"5"	"8"	"1"	"4"	"456"	"0"	"456"	"0"
"79"	"73"	"8"	"3"	"237"	"6"	"134"	"9"	"4"	"1"	"3"	"6"	"10"	"5"	"6"	"12"	"6"	"24"	"474"	"0"	"474"	"0"
"80"	"73A"	"7"	"2"	"272"	"8"	"63"	"2"	"0"	"0"	"4"	"1"	"2"	"1"	"6"	"15"	"1"	"8"	"392"	"0"	"392"	"0"
"81"	"74"	"10"	"5"	"331"	"41"	"124"	"5"	"1"	"2"	"1"	"6"	"3"	"1"	"7"	"2"	"0"	"3"	"542"	"0"	"542"	"0"
"82"	"75"	"37"	"1"	"105"	"11"	"274"	"4"	"1"	"0"	"4"	"3"	"4"	"3"	"0"	"4"	"3"	"0"	"454"	"0"	"454"	"0"
"83"	"76"	"7"	"5"	"181"	"2"	"202"	"4"	"1"	"1"	"2"	"4"	"9"	"3"	"2"	"7"	"1"	"3"	"434"	"0"	"434"	"0"
"84"	"77"	"2"	"2"	"67"	"5"	"212"	"139"	"2"	"3"	"2"	"11"	"14"	"7"	"5"	"1"	"1"	"6"	"479"	"0"	"479"	"0"
"85"	"78"	"7"	"0"	"32"	"1"	"239"	"17"	"1"	"0"	"0"	"2"	"6"	"2"	"0"	"2"	"0"	"5"	"314"	"0"	"314"	"0"
"86"	"79"	"16"	"3"	"320"	"3"	"236"	"10"	"0"	"4"	"5"	"4"	"14"	"13"	"5"	"16"	"6"	"30"	"685"	"0"	"685"	"0"
"87"	"80"	"3"	"1"	"25"	"4"	"255"	"15"	"1"	"0"	"2"	"3"	"1"	"2"	"0"	"2"	"1"	"1"	"316"	"0"	"316"	"0"
"88"	"81"	"2"	"0"	"60"	"8"	"144"	"86"	"0"	"1"	"6"	"13"	"9"	"2"	"1"	"2"	"0"	"5"	"339"	"0"	"339"	"0"
"89"	"82"	"25"	"3"	"345"	"6"	"222"	"10"	"0"	"2"	"5"	"7"	"9"	"11"	"4"	"22"	"3"	"16"	"690"	"0"	"690"	"0"
"90"	"83"	"8"	"2"	"177"	"9"	"171"	"3"	"0"	"3"	"2"	"0"	"10"	"3"	"3"	"3"	"3"	"5"	"402"	"0"	"402"	"0"
"91"	"84"	"9"	"0"	"66"	"4"	"147"	"32"	"2"	"1"	"2"	"3"	"3"	"3"	"0"	"1"	"3"	"3"	"279"	"0"	"279"	"0"
"92"	"85"	"9"	"36"	"472"	"7"	"110"	"2"	"0"	"1"	"7"	"1"	"12"	"4"	"4"	"12"	"7"	"11"	"695"	"0"	"695"	"0"
"93"	"86"	"5"	"17"	"496"	"14"	"100"	"1"	"2"	"2"	"10"	"1"	"12"	"3"	"6"	"26"	"7"	"37"	"739"	"0"	"739"	"0"
"94"	"87"	"6"	"1"	"375"	"1"	"104"	"0"	"1"	"2"	"0"	"0"	"4"	"1"	"0"	"2"	"0"	"2"	"499"	"0"	"499"	"0"
"95"	"88"	"2"	"5"	"359"	"4"	"40"	"1"	"3"	"0"	"0"	"2"	"2"	"2"	"2"	"12"	"8"	"4"	"446"	"0"	"446"	"0"
"96"	"89"	"6"	"1"	"471"	"5"	"91"	"1"	"1"	"0"	"0"	"2"	"3"	"2"	"1"	"4"	"1"	"3"	"592"	"0"	"592"	"0"
"97"	"90"	"2"	"0"	"244"	"5"	"102"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"12"	"4"	"2"	"375"	"0"	"375"	"0"
"98"	"91"	"15"	"4"	"380"	"7"	"220"	"7"	"0"	"2"	"2"	"5"	"9"	"13"	"1"	"15"	"4"	"10"	"694"	"0"	"694"	"0"
"99"	"92"	"6"	"7"	"290"	"4"	"172"	"5"	"3"	"2"	"2"	"2"	"10"	"10"	"4"	"15"	"1"	"12"	"545"	"0"	"545"	"0"
"100"	"93"	"3"	"5"	"403"	"14"	"169"	"2"	"2"	"1"	"3"	"3"	"4"	"5"	"2"	"4"	"10"	"10"	"640"	"0"	"640"	"0"
"101"	"94"	"11"	"1"	"189"	"3"	"302"	"17"	"0"	"1"	"3"	"6"	"10"	"3"	"2"	"3"	"7"	"9"	"567"	"0"	"567"	"0"
"102"	"95"	"13"	"0"	"126"	"1"	"290"	"48"	"4"	"0"	"3"	"4"	"1"	"2"	"1"	"3"	"4"	"6"	"506"	"0"	"506"	"0"
"103"	"96"	"6"	"0"	"133"	"4"	"203"	"16"	"3"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"6"	"388"	"0"	"388"	"0"
"104"	"97"	"8"	"6"	"210"	"5"	"129"	"3"	"1"	"3"	"3"	"2"	"3"	"1"	"0"	"16"	"3"	"5"	"398"	"0"	"398"	"0"
"105"	"98"	"3"	"0"	"477"	"9"	"14"	"3"	"1"	"0"	"5"	"0"	"13"	"1"	"2"	"34"	"0"	"5"	"567"	"0"	"567"	"0"
"106"	"99"	"13"	"4"	"375"	"17"	"110"	"4"	"4"	"1"	"5"	"4"	"4"	"3"	"5"	"16"	"7"	"10"	"582"	"0"	"582"	"0"
"107"	"100"	"8"	"0"	"152"	"28"	"92"	"22"	"0"	"1"	"1"	"4"	"5"	"2"	"1"	"2"	"1"	"6"	"325"	"0"	"325"	"0"
"108"	"101"	"13"	"2"	"331"	"6"	"103"	"9"	"0"	"2"	"6"	"3"	"15"	"2"	"2"	"12"	"92"	"2"	"600"	"0"	"600"	"0"
"109"	"102"	"8"	"5"	"570"	"15"	"78"	"2"	"1"	"2"	"2"	"2"	"7"	"0"	"4"	"9"	"27"	"9"	"741"	"0"	"741"	"0"
"110"	"103"	"5"	"6"	"313"	"11"	"98"	"1"	"0"	"1"	"1"	"6"	"9"	"6"	"5"	"24"	"6"	"8"	"500"	"0"	"500"	"0"
"111"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"112"	""	"ASHOK GAGAN"	"KAMESH WAR KUMAR"	"BHAI VIRENDR A"	"VINOD KUMAR SINGH"	"SRIKANT NIRALA"	"GOPAL SINGH"	"RAJARA M RAY"	"SANJEET KUMAR"	"ANAND KUMAR"	"JAVAHA R SINGH"	"DEVANA ND YADAV"	"MANJU DEVI"	"MAHESH KUMAR"	"MINA DEVI"	"VISHAL"	"SUDHIR KUMAR"	""	""	""	""
"113"	"104"	"2"	"0"	"43"	"6"	"35"	"7"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"4"	"1"	"103"	"0"	"103"	"0"
"114"	"105"	"6"	"3"	"81"	"3"	"124"	"1"	"1"	"1"	"1"	"1"	"4"	"3"	"1"	"1"	"4"	"1"	"236"	"0"	"236"	"0"
"115"	"106"	"7"	"3"	"279"	"3"	"178"	"2"	"1"	"4"	"2"	"3"	"1"	"3"	"2"	"8"	"1"	"14"	"511"	"0"	"511"	"0"
"116"	"107"	"8"	"4"	"155"	"2"	"72"	"42"	"1"	"2"	"2"	"5"	"8"	"3"	"0"	"2"	"3"	"7"	"316"	"0"	"316"	"0"
"117"	"108"	"33"	"1"	"19"	"0"	"130"	"125"	"3"	"5"	"3"	"8"	"5"	"6"	"0"	"2"	"2"	"2"	"344"	"0"	"344"	"0"
"118"	"109"	"3"	"0"	"2"	"0"	"327"	"42"	"1"	"1"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"3"	"385"	"0"	"385"	"0"
"119"	"110"	"16"	"1"	"8"	"1"	"95"	"286"	"5"	"3"	"7"	"11"	"10"	"2"	"1"	"4"	"4"	"6"	"460"	"0"	"460"	"0"
"120"	"111"	"10"	"2"	"63"	"3"	"258"	"154"	"3"	"0"	"3"	"11"	"10"	"3"	"0"	"2"	"1"	"4"	"527"	"0"	"527"	"0"
"121"	"112"	"13"	"32"	"170"	"7"	"350"	"9"	"3"	"2"	"5"	"4"	"14"	"17"	"3"	"11"	"13"	"12"	"665"	"0"	"665"	"0"
"122"	"113"	"3"	"3"	"349"	"8"	"55"	"3"	"1"	"0"	"7"	"4"	"7"	"6"	"8"	"14"	"2"	"20"	"490"	"0"	"490"	"0"
"123"	"114"	"5"	"4"	"298"	"13"	"109"	"5"	"1"	"1"	"0"	"1"	"7"	"6"	"5"	"22"	"7"	"9"	"493"	"0"	"493"	"0"
"124"	"115"	"5"	"3"	"241"	"8"	"187"	"3"	"1"	"1"	"2"	"3"	"2"	"1"	"2"	"6"	"2"	"4"	"471"	"0"	"471"	"0"
"125"	"116"	"4"	"2"	"446"	"2"	"65"	"5"	"0"	"1"	"0"	"1"	"7"	"0"	"1"	"13"	"7"	"4"	"558"	"0"	"558"	"0"
"126"	"117"	"6"	"2"	"398"	"4"	"44"	"1"	"2"	"0"	"0"	"0"	"7"	"0"	"1"	"8"	"2"	"0"	"475"	"0"	"475"	"0"
"127"	"118"	"4"	"4"	"552"	"18"	"116"	"8"	"3"	"3"	"2"	"3"	"5"	"3"	"2"	"14"	"5"	"12"	"754"	"0"	"754"	"0"
"128"	"119"	"8"	"4"	"229"	"4"	"96"	"1"	"0"	"1"	"2"	"8"	"7"	"3"	"3"	"24"	"1"	"9"	"400"	"0"	"400"	"0"
"129"	"120"	"21"	"8"	"367"	"6"	"170"	"6"	"2"	"4"	"2"	"3"	"13"	"3"	"3"	"12"	"1"	"8"	"629"	"0"	"629"	"0"
"130"	"121"	"13"	"3"	"36"	"2"	"247"	"6"	"1"	"0"	"3"	"6"	"8"	"14"	"6"	"6"	"3"	"10"	"364"	"0"	"364"	"0"
"131"	"122"	"12"	"5"	"217"	"9"	"343"	"9"	"2"	"4"	"4"	"5"	"7"	"5"	"5"	"15"	"3"	"14"	"659"	"0"	"659"	"0"
"132"	"123"	"30"	"7"	"370"	"5"	"353"	"4"	"0"	"4"	"5"	"9"	"4"	"4"	"4"	"9"	"3"	"6"	"817"	"0"	"817"	"0"
"133"	"124"	"11"	"10"	"317"	"3"	"175"	"8"	"0"	"2"	"4"	"1"	"12"	"1"	"2"	"12"	"4"	"9"	"571"	"0"	"571"	"0"
"134"	"125"	"4"	"6"	"231"	"5"	"85"	"21"	"0"	"6"	"5"	"3"	"6"	"2"	"3"	"21"	"2"	"10"	"410"	"0"	"410"	"0"
"135"	"126"	"5"	"7"	"369"	"10"	"122"	"6"	"1"	"0"	"3"	"4"	"5"	"1"	"2"	"12"	"1"	"6"	"554"	"0"	"554"	"0"
"136"	"127"	"5"	"1"	"221"	"2"	"115"	"4"	"0"	"3"	"5"	"3"	"11"	"7"	"5"	"18"	"5"	"15"	"420"	"0"	"420"	"0"
"137"	"128"	"4"	"19"	"510"	"7"	"54"	"1"	"0"	"3"	"2"	"1"	"3"	"3"	"9"	"5"	"9"	"7"	"637"	"0"	"637"	"0"
"138"	"129"	"2"	"19"	"352"	"6"	"83"	"8"	"0"	"3"	"3"	"7"	"2"	"7"	"3"	"8"	"2"	"46"	"551"	"0"	"551"	"0"
"139"	"130"	"8"	"3"	"460"	"11"	"85"	"3"	"0"	"5"	"8"	"5"	"15"	"10"	"10"	"51"	"6"	"46"	"726"	"0"	"726"	"0"
"140"	"131"	"21"	"6"	"401"	"12"	"246"	"4"	"4"	"1"	"5"	"5"	"17"	"5"	"7"	"20"	"6"	"13"	"773"	"0"	"773"	"0"
"141"	"132"	"15"	"2"	"28"	"5"	"339"	"15"	"1"	"2"	"3"	"4"	"6"	"13"	"4"	"4"	"4"	"18"	"463"	"0"	"463"	"0"
"142"	"133"	"7"	"1"	"242"	"6"	"48"	"6"	"3"	"0"	"5"	"1"	"4"	"3"	"3"	"8"	"3"	"15"	"355"	"0"	"355"	"0"
"143"	"134"	"16"	"2"	"257"	"8"	"208"	"10"	"1"	"4"	"5"	"9"	"6"	"7"	"5"	"6"	"6"	"7"	"557"	"0"	"557"	"0"
"144"	"135"	"7"	"7"	"281"	"6"	"55"	"4"	"2"	"3"	"2"	"2"	"9"	"5"	"1"	"15"	"1"	"13"	"413"	"0"	"413"	"0"
"145"	"136"	"8"	"1"	"16"	"2"	"213"	"3"	"0"	"1"	"2"	"1"	"4"	"5"	"0"	"2"	"2"	"3"	"263"	"0"	"263"	"0"
"146"	"137"	"34"	"5"	"339"	"11"	"314"	"17"	"0"	"3"	"10"	"6"	"21"	"6"	"7"	"25"	"6"	"16"	"820"	"0"	"820"	"0"
"147"	"138"	"5"	"2"	"24"	"1"	"346"	"6"	"0"	"1"	"2"	"4"	"2"	"2"	"2"	"0"	"1"	"3"	"401"	"0"	"401"	"0"
"148"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
