"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"                                                                                           [ SEE RULE 56C(2) (c)]                                                                                            "	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 028- SITAMARHI CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election) Total No. of Electors in Assembly Constituency/Segment - 223975"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly/ Segment 28- Sitamarhi Assembly Constituency (in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"65"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"66"	"48"	"45"	"11"	"22"	"4"	"332"	"201"	"8"	"3"	"31"	"612"	"0"	"612"	"0"	""
"67"	"49"	"46"	"20"	"13"	"0"	"82"	"316"	"1"	"0"	"4"	"436"	"0"	"436"	"0"	""
"68"	"50"	"47"	"32"	"9"	"1"	"47"	"483"	"7"	"0"	"1"	"580"	"0"	"580"	"0"	""
"69"	"51"	"48"	"120"	"7"	"0"	"17"	"399"	"2"	"2"	"2"	"549"	"0"	"549"	"0"	""
"70"	"52"	"49"	"37"	"19"	"2"	"33"	"417"	"1"	"2"	"1"	"512"	"0"	"512"	"0"	""
"71"	"53"	"50"	"63"	"13"	"3"	"17"	"829"	"6"	"1"	"6"	"938"	"0"	"938"	"0"	""
"72"	"54"	"51"	"86"	"31"	"2"	"53"	"516"	"6"	"4"	"9"	"707"	"0"	"707"	"0"	""
"73"	"55"	"52"	"56"	"32"	"3"	"43"	"444"	"6"	"2"	"6"	"592"	"0"	"592"	"0"	""
"74"	"56"	"53"	"78"	"5"	"0"	"41"	"555"	"2"	"1"	"2"	"684"	"0"	"684"	"0"	""
"75"	"57"	"54"	"16"	"9"	"0"	"7"	"398"	"3"	"1"	"0"	"434"	"0"	"434"	"0"	""
"76"	"58"	"55"	"26"	"16"	"1"	"79"	"514"	"5"	"2"	"4"	"647"	"0"	"647"	"0"	""
"77"	"59"	"56"	"12"	"14"	"1"	"99"	"305"	"3"	"0"	"9"	"443"	"0"	"443"	"0"	""
"78"	"60"	"57"	"17"	"17"	"2"	"50"	"184"	"2"	"1"	"2"	"275"	"0"	"275"	"0"	""
"79"	"61"	"58"	"12"	"17"	"0"	"71"	"512"	"6"	"1"	"4"	"623"	"0"	"623"	"0"	""
"80"	"62"	"59"	"16"	"8"	"0"	"72"	"276"	"0"	"0"	"6"	"378"	"0"	"378"	"0"	""
"81"	"63"	"60"	"23"	"12"	"2"	"61"	"514"	"4"	"0"	"4"	"620"	"0"	"620"	"0"	""
"82"	"64"	"61"	"63"	"5"	"0"	"64"	"390"	"4"	"1"	"3"	"530"	"0"	"530"	"0"	""
"83"	"65"	"62"	"43"	"12"	"2"	"79"	"453"	"5"	"3"	"5"	"602"	"0"	"602"	"0"	""
"84"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"85"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"87"	"66"	"63"	"34"	"16"	"5"	"13"	"467"	"4"	"1"	"5"	"545"	"0"	"545"	"0"	""
"88"	"67"	"64"	"27"	"20"	"0"	"59"	"224"	"5"	"2"	"3"	"340"	"0"	"340"	"0"	""
"89"	"68"	"65"	"5"	"6"	"1"	"58"	"192"	"2"	"1"	"2"	"267"	"0"	"267"	"0"	""
"90"	"69"	"66"	"2"	"6"	"1"	"214"	"143"	"1"	"1"	"5"	"373"	"0"	"373"	"0"	""
"91"	"70"	"67"	"4"	"8"	"2"	"65"	"313"	"4"	"1"	"1"	"398"	"0"	"398"	"0"	""
"92"	"71"	"68"	"8"	"15"	"1"	"104"	"310"	"4"	"4"	"6"	"452"	"0"	"452"	"0"	""
"93"	"72"	"69"	"6"	"10"	"0"	"87"	"291"	"9"	"3"	"13"	"419"	"0"	"419"	"0"	""
"94"	"73"	"70"	"28"	"12"	"5"	"268"	"323"	"8"	"3"	"4"	"651"	"0"	"651"	"0"	""
"95"	"74"	"71"	"20"	"24"	"16"	"76"	"284"	"8"	"1"	"3"	"432"	"0"	"432"	"0"	""
"96"	"75"	"72"	"4"	"20"	"15"	"19"	"146"	"1"	"0"	"1"	"206"	"0"	"206"	"0"	""
"97"	"76"	"73"	"4"	"23"	"1"	"97"	"173"	"0"	"2"	"3"	"303"	"0"	"303"	"0"	""
"98"	"77"	"74"	"11"	"12"	"0"	"31"	"200"	"3"	"0"	"2"	"259"	"0"	"259"	"0"	""
"99"	"78"	"75"	"4"	"8"	"0"	"120"	"35"	"0"	"1"	"1"	"169"	"0"	"169"	"0"	""
"100"	"79"	"76"	"13"	"46"	"2"	"72"	"67"	"0"	"0"	"1"	"201"	"0"	"201"	"0"	""
"101"	"80"	"77"	"26"	"14"	"5"	"171"	"301"	"9"	"8"	"13"	"547"	"0"	"547"	"0"	""
"102"	"81"	"78"	"2"	"13"	"2"	"23"	"70"	"0"	"0"	"1"	"111"	"0"	"111"	"0"	""
"103"	"82"	"79"	"0"	"10"	"5"	"30"	"126"	"0"	"0"	"0"	"171"	"0"	"171"	"0"	""
"104"	"83"	"80"	"0"	"7"	"12"	"9"	"55"	"1"	"0"	"0"	"84"	"0"	"84"	"0"	""
"105"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"106"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"107"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"108"	"84"	"81"	"12"	"11"	"15"	"35"	"219"	"1"	"2"	"0"	"295"	"0"	"295"	"0"	""
"109"	"85"	"82"	"1"	"11"	"13"	"112"	"167"	"2"	"1"	"2"	"309"	"0"	"309"	"0"	""
"110"	"86"	"83"	"0"	"11"	"63"	"46"	"240"	"2"	"0"	"5"	"367"	"0"	"367"	"0"	""
"111"	"87"	"84"	"3"	"11"	"5"	"91"	"278"	"8"	"4"	"8"	"408"	"0"	"408"	"0"	""
"112"	"88"	"85"	"3"	"11"	"1"	"120"	"238"	"4"	"1"	"10"	"388"	"0"	"388"	"0"	""
"113"	"89"	"86"	"27"	"26"	"4"	"64"	"148"	"6"	"1"	"8"	"284"	"0"	"284"	"0"	""
"114"	"90"	"87"	"33"	"18"	"7"	"530"	"219"	"15"	"6"	"14"	"842"	"0"	"842"	"0"	""
"115"	"91"	"88"	"7"	"30"	"6"	"341"	"56"	"4"	"1"	"8"	"453"	"0"	"453"	"0"	""
"116"	"92"	"89"	"5"	"10"	"0"	"324"	"18"	"2"	"4"	"4"	"367"	"0"	"367"	"0"	""
"117"	"93"	"90"	"8"	"7"	"4"	"208"	"39"	"8"	"5"	"25"	"304"	"0"	"304"	"0"	""
"118"	"94"	"91"	"49"	"9"	"2"	"411"	"171"	"5"	"2"	"6"	"655"	"0"	"655"	"0"	""
"119"	"95"	"92"	"18"	"54"	"5"	"414"	"130"	"5"	"2"	"16"	"644"	"0"	"644"	"0"	""
"120"	"96"	"93"	"24"	"25"	"4"	"409"	"175"	"14"	"8"	"50"	"709"	"0"	"709"	"0"	""
"121"	"97"	"94"	"20"	"28"	"11"	"602"	"77"	"9"	"5"	"39"	"791"	"0"	"791"	"0"	""
"122"	"98"	"95"	"22"	"22"	"6"	"124"	"351"	"10"	"6"	"20"	"561"	"0"	"561"	"0"	""
"123"	"99"	"96"	"16"	"33"	"4"	"540"	"71"	"12"	"7"	"25"	"708"	"0"	"708"	"0"	""
"124"	"100"	"97"	"12"	"14"	"3"	"340"	"29"	"2"	"3"	"12"	"415"	"0"	"415"	"0"	""
"125"	"101"	"98"	"14"	"13"	"14"	"239"	"145"	"7"	"5"	"23"	"460"	"0"	"460"	"0"	""
"126"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"127"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"128"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"129"	"102"	"99"	"18"	"14"	"9"	"423"	"49"	"3"	"5"	"32"	"553"	"0"	"553"	"0"	""
"130"	"103"	"100"	"7"	"9"	"4"	"306"	"32"	"0"	"0"	"16"	"374"	"0"	"374"	"0"	""
"131"	"104"	"100 d"	"1"	"17"	"0"	"21"	"226"	"0"	"1"	"5"	"271"	"0"	"271"	"0"	""
"132"	"105"	"101"	"39"	"39"	"15"	"473"	"80"	"14"	"9"	"52"	"721"	"0"	"721"	"0"	""
"133"	"106"	"102"	"7"	"39"	"8"	"322"	"24"	"1"	"0"	"35"	"436"	"0"	"436"	"0"	""
"134"	"107"	"103"	"11"	"15"	"5"	"256"	"255"	"4"	"9"	"21"	"576"	"0"	"576"	"0"	""
"135"	"108"	"104"	"5"	"22"	"2"	"182"	"40"	"2"	"1"	"15"	"269"	"0"	"269"	"0"	""
"136"	"109"	"105"	"81"	"17"	"8"	"438"	"121"	"6"	"7"	"40"	"718"	"0"	"718"	"0"	""
"137"	"110"	"106"	"9"	"10"	"9"	"461"	"37"	"5"	"3"	"28"	"562"	"0"	"562"	"0"	""
"138"	"111"	"107"	"31"	"40"	"6"	"567"	"106"	"17"	"8"	"33"	"808"	"0"	"808"	"0"	""
"139"	"112"	"108"	"5"	"37"	"1"	"127"	"328"	"5"	"0"	"7"	"510"	"0"	"510"	"0"	""
"140"	"113"	"109"	"20"	"25"	"7"	"330"	"120"	"10"	"5"	"26"	"543"	"0"	"543"	"0"	""
"141"	"114"	"110"	"53"	"17"	"2"	"89"	"253"	"9"	"1"	"4"	"428"	"0"	"428"	"0"	""
"142"	"115"	"111"	"23"	"20"	"11"	"503"	"19"	"4"	"8"	"27"	"615"	"0"	"615"	"0"	""
"143"	"116"	"112"	"13"	"4"	"2"	"264"	"149"	"8"	"4"	"25"	"469"	"0"	"469"	"0"	""
"144"	"117"	"113"	"5"	"12"	"170"	"100"	"190"	"11"	"4"	"9"	"501"	"0"	"501"	"0"	""
"145"	"118"	"114"	"88"	"9"	"10"	"145"	"199"	"11"	"3"	"11"	"476"	"0"	"476"	"0"	""
"146"	"119"	"115"	"16"	"26"	"8"	"234"	"378"	"12"	"5"	"20"	"699"	"0"	"699"	"0"	""
"147"	"120"	"116"	"40"	"9"	"3"	"455"	"82"	"15"	"32"	"0"	"636"	"0"	"636"	"0"	""
"148"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"149"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"150"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"151"	"121"	"117"	"6"	"3"	"2"	"405"	"100"	"11"	"6"	"31"	"564"	"0"	"564"	"0"	""
"152"	"122"	"118"	"50"	"12"	"10"	"352"	"188"	"13"	"15"	"35"	"675"	"0"	"675"	"0"	""
"153"	"123"	"119"	"9"	"11"	"3"	"452"	"109"	"6"	"3"	"19"	"612"	"0"	"612"	"0"	""
"154"	"124"	"120"	"1"	"11"	"2"	"258"	"79"	"10"	"4"	"17"	"382"	"0"	"382"	"0"	""
"155"	"125"	"121"	"21"	"21"	"6"	"211"	"143"	"15"	"11"	"21"	"449"	"0"	"449"	"0"	""
"156"	"126"	"122"	"8"	"23"	"6"	"91"	"24"	"5"	"3"	"17"	"177"	"0"	"177"	"0"	""
"157"	"127"	"123"	"3"	"18"	"3"	"349"	"134"	"6"	"2"	"16"	"531"	"0"	"531"	"0"	""
"158"	"128"	"124"	"33"	"55"	"6"	"226"	"141"	"6"	"2"	"14"	"483"	"0"	"483"	"0"	""
"159"	"129"	"125"	"7"	"25"	"2"	"13"	"93"	"3"	"2"	"6"	"151"	"0"	"151"	"0"	""
"160"	"130"	"126"	"11"	"10"	"4"	"46"	"157"	"4"	"0"	"2"	"234"	"0"	"234"	"0"	""
"161"	"131"	"127"	"10"	"15"	"7"	"283"	"279"	"9"	"3"	"20"	"626"	"0"	"626"	"0"	""
"162"	"132"	"128"	"0"	"29"	"3"	"42"	"294"	"13"	"0"	"2"	"383"	"0"	"383"	"0"	""
"163"	"133"	"129"	"1"	"14"	"1"	"16"	"162"	"1"	"0"	"0"	"195"	"0"	"195"	"0"	""
"164"	"134"	"130"	"4"	"31"	"2"	"27"	"298"	"6"	"1"	"2"	"371"	"0"	"371"	"0"	""
"165"	"135"	"131"	"5"	"51"	"2"	"39"	"408"	"3"	"1"	"2"	"511"	"0"	"511"	"0"	""
"166"	"136"	"132"	"1"	"27"	"0"	"57"	"240"	"1"	"2"	"3"	"331"	"0"	"331"	"0"	""
"167"	"137"	"133"	"0"	"11"	"0"	"154"	"237"	"5"	"5"	"8"	"420"	"0"	"420"	"0"	""
"168"	"138"	"134"	"1"	"17"	"3"	"214"	"258"	"5"	"12"	"15"	"525"	"0"	"525"	"0"	""
"169"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"170"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"171"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"172"	"139"	"135"	"2"	"29"	"4"	"45"	"312"	"1"	"7"	"3"	"403"	"0"	"403"	"0"	""
"173"	"140"	"136"	"51"	"26"	"12"	"237"	"612"	"12"	"16"	"26"	"992"	"0"	"992"	"0"	""
"174"	"141"	"137"	"180"	"13"	"5"	"205"	"220"	"11"	"9"	"33"	"676"	"0"	"676"	"0"	""
"175"	"142"	"138"	"23"	"66"	"12"	"330"	"50"	"7"	"3"	"13"	"504"	"0"	"504"	"0"	""
"176"	"143"	"139"	"7"	"22"	"2"	"167"	"151"	"3"	"4"	"18"	"374"	"0"	"374"	"0"	""
"177"	"144"	"140"	"11"	"11"	"0"	"131"	"33"	"1"	"0"	"4"	"191"	"0"	"191"	"0"	""
"178"	"145"	"141"	"69"	"25"	"7"	"257"	"380"	"25"	"9"	"34"	"806"	"0"	"806"	"0"	""
"179"	"146"	"142"	"54"	"15"	"7"	"297"	"217"	"18"	"10"	"35"	"653"	"0"	"653"	"0"	""
"180"	"147"	"143"	"21"	"9"	"7"	"398"	"310"	"13"	"10"	"30"	"798"	"0"	"798"	"0"	""
"181"	"148"	"144"	"3"	"8"	"4"	"214"	"30"	"2"	"2"	"10"	"273"	"0"	"273"	"0"	""
"182"	"149"	"145"	"56"	"32"	"5"	"526"	"84"	"9"	"6"	"35"	"753"	"0"	"753"	"0"	""
"183"	"150"	"146"	"13"	"7"	"5"	"308"	"44"	"4"	"5"	"19"	"405"	"0"	"405"	"0"	""
"184"	"151"	"147"	"33"	"5"	"9"	"77"	"346"	"4"	"4"	"5"	"483"	"0"	"483"	"0"	""
"185"	"152"	"148"	"29"	"20"	"11"	"167"	"204"	"6"	"5"	"27"	"469"	"0"	"469"	"0"	""
"186"	"153"	"149"	"59"	"12"	"5"	"134"	"269"	"15"	"4"	"6"	"504"	"0"	"504"	"0"	""
"187"	"154"	"150"	"66"	"17"	"2"	"131"	"266"	"16"	"7"	"21"	"526"	"0"	"526"	"0"	""
"188"	"155"	"151"	"28"	"27"	"11"	"527"	"39"	"11"	"3"	"52"	"698"	"0"	"698"	"0"	""
"189"	"156"	"152"	"9"	"3"	"4"	"153"	"365"	"8"	"9"	"22"	"573"	"0"	"573"	"0"	""
"190"	"Sr.
No."	"Sr. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"	""
"191"	""	""	"Amarnath Gupta"	"Kumari Rupam"	"Madhup Kumar Singh"	"Raghwendra Kumar Singh"	"Sunil Kumar Alias Pintu"	"Madhur endra Thakur"	"Ratan kumar"	"Ganesh Prasad"	""	""	""	""	""
"192"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"193"	"157"	"152 d"	"1"	"4"	"0"	"135"	"259"	"4"	"2"	"7"	"412"	"0"	"412"	"0"	""
"194"	"158"	"153"	"26"	"5"	"1"	"173"	"304"	"7"	"3"	"8"	"527"	"0"	"527"	"0"	""
"195"	"159"	"154"	"23"	"8"	"4"	"126"	"172"	"272"	"10"	"20"	"635"	"0"	"635"	"0"	""
"196"	"160"	"155"	"41"	"6"	"11"	"462"	"135"	"10"	"10"	"37"	"712"	"0"	"712"	"0"	""
"197"	"161"	"156"	"17"	"12"	"1"	"176"	"250"	"25"	"14"	"39"	"534"	"0"	"534"	"0"	""
