"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	""	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"6"	"Candidates Name -----
> BOOTH NO"	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"51"	"36"	"230"	"100"	"30"	"101"	"3"	"2"	"2"	"0"	"70"	"8"	"10"	"12"	"28"	"596"
"52"	"37"	"4"	"91"	"23"	"64"	"2"	"2"	"0"	"0"	"25"	"4"	"7"	"9"	"12"	"281"
"53"	"38"	"1"	"100"	"25"	"91"	"1"	"2"	"0"	"1"	"3"	"0"	"1"	"2"	"5"	"243"
"54"	"39"	"5"	"54"	"8"	"33"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"4"	"4"	"167"
"55"	"40"	"6"	"147"	"4"	"40"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"5"	"6"	"276"
"56"	"41"	"198"	"127"	"10"	"35"	"0"	"1"	"0"	"1"	"3"	"4"	"5"	"9"	"17"	"410"
"57"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"59"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"61"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"63"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"64"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"65"	"42"	"223"	"67"	"26"	"68"	"3"	"1"	"2"	"2"	"2"	"6"	"4"	"7"	"20"	"431"
"66"	"43"	"292"	"184"	"20"	"21"	"2"	"2"	"2"	"1"	"7"	"4"	"2"	"9"	"24"	"570"
"67"	"44"	"162"	"125"	"14"	"70"	"0"	"1"	"1"	"1"	"6"	"3"	"3"	"8"	"15"	"409"
"68"	"45"	"105"	"177"	"11"	"47"	"2"	"0"	"0"	"0"	"3"	"2"	"6"	"5"	"9"	"367"
"69"	"46"	"8"	"192"	"7"	"36"	"7"	"3"	"1"	"1"	"35"	"4"	"1"	"6"	"6"	"382"
"70"	"47"	"108"	"150"	"3"	"26"	"5"	"5"	"0"	"0"	"40"	"2"	"1"	"8"	"11"	"359"
"71"	"48"	"112"	"180"	"21"	"21"	"1"	"0"	"1"	"2"	"4"	"1"	"3"	"4"	"6"	"356"
"72"	"49"	"7"	"278"	"14"	"210"	"4"	"6"	"3"	"2"	"4"	"3"	"10"	"11"	"11"	"629"
"73"	"50"	"1"	"73"	"6"	"24"	"0"	"1"	"0"	"0"	"2"	"0"	"4"	"0"	"4"	"128"
"74"	"51"	"102"	"299"	"18"	"102"	"6"	"5"	"2"	"1"	"4"	"3"	"9"	"9"	"5"	"565"
"75"	"52"	"6"	"218"	"6"	"26"	"2"	"0"	"0"	"0"	"1"	"0"	"8"	"1"	"4"	"328"
"76"	"53"	"6"	"191"	"9"	"27"	"3"	"1"	"0"	"0"	"1"	"2"	"5"	"6"	"4"	"318"
"77"	"54"	"3"	"103"	"6"	"81"	"0"	"4"	"0"	"2"	"1"	"0"	"4"	"4"	"3"	"245"
"78"	"54A"	"119"	"73"	"11"	"24"	"0"	"18"	"0"	"5"	"1"	"6"	"2"	"3"	"7"	"269"
"79"	"55"	"5"	"301"	"6"	"48"	"2"	"0"	"0"	"0"	"1"	"2"	"8"	"11"	"8"	"445"
"80"	"56"	"9"	"239"	"9"	"42"	"3"	"1"	"2"	"0"	"5"	"4"	"5"	"14"	"13"	"433"
"81"	"57"	"5"	"256"	"11"	"23"	"5"	"1"	"1"	"1"	"1"	"0"	"2"	"2"	"3"	"358"
"82"	"58"	"3"	"262"	"13"	"20"	"0"	"3"	"0"	"0"	"1"	"2"	"5"	"5"	"4"	"349"
"83"	"59"	"382"	"125"	"9"	"47"	"6"	"0"	"1"	"2"	"5"	"3"	"5"	"28"	"22"	"635"
"84"	"60"	"7"	"180"	"13"	"31"	"3"	"5"	"1"	"2"	"1"	"1"	"5"	"25"	"7"	"345"
"85"	"61"	"4"	"224"	"7"	"27"	"2"	"11"	"1"	"0"	"4"	"0"	"5"	"20"	"10"	"353"
"86"	"62"	"257"	"177"	"9"	"36"	"4"	"1"	"3"	"2"	"3"	"2"	"8"	"31"	"24"	"557"
"87"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"88"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"90"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"93"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"95"	"63"	"36"	"78"	"14"	"305"	"3"	"2"	"2"	"3"	"15"	"3"	"4"	"4"	"3"	"472"
"96"	"64"	"12"	"136"	"18"	"226"	"3"	"1"	"1"	"0"	"1"	"3"	"2"	"1"	"7"	"411"
"97"	"65"	"118"	"143"	"14"	"15"	"4"	"5"	"0"	"1"	"5"	"7"	"7"	"5"	"18"	"479"
"98"	"66"	"108"	"110"	"13"	"22"	"3"	"0"	"1"	"0"	"3"	"5"	"10"	"16"	"28"	"319"
"99"	"67"	"147"	"193"	"12"	"28"	"5"	"5"	"4"	"8"	"1"	"0"	"6"	"4"	"31"	"444"
"100"	"68"	"24"	"152"	"8"	"37"	"1"	"2"	"3"	"1"	"0"	"3"	"4"	"12"	"10"	"257"
"101"	"69"	"128"	"238"	"14"	"83"	"1"	"3"	"2"	"0"	"2"	"3"	"4"	"10"	"12"	"500"
"102"	"70"	"14"	"190"	"6"	"10"	"1"	"1"	"1"	"1"	"2"	"2"	"7"	"11"	"12"	"350"
"103"	"71"	"80"	"326"	"9"	"32"	"4"	"1"	"1"	"1"	"29"	"4"	"14"	"8"	"10"	"519"
"104"	"72"	"39"	"127"	"15"	"10"	"4"	"0"	"3"	"2"	"3"	"3"	"1"	"8"	"19"	"327"
"105"	"73"	"34"	"65"	"14"	"17"	"4"	"2"	"1"	"2"	"12"	"2"	"1"	"6"	"9"	"322"
"106"	"74"	"23"	"158"	"16"	"225"	"4"	"3"	"1"	"5"	"96"	"6"	"4"	"6"	"4"	"551"
"107"	"75"	"122"	"63"	"13"	"9"	"1"	"0"	"0"	"1"	"25"	"1"	"2"	"12"	"11"	"260"
"108"	"76"	"405"	"64"	"13"	"34"	"0"	"0"	"0"	"0"	"3"	"2"	"3"	"7"	"23"	"554"
"109"	"77"	"59"	"105"	"14"	"37"	"2"	"4"	"0"	"0"	"5"	"6"	"6"	"7"	"15"	"260"
"110"	"78"	"43"	"50"	"14"	"41"	"3"	"3"	"0"	"0"	"1"	"6"	"1"	"10"	"8"	"180"
"111"	"79"	"4"	"163"	"13"	"15"	"2"	"0"	"0"	"1"	"16"	"1"	"4"	"1"	"0"	"362"
"112"	"80"	"9"	"112"	"5"	"10"	"2"	"0"	"0"	"2"	"8"	"0"	"0"	"2"	"5"	"251"
"113"	"81"	"87"	"114"	"18"	"10"	"3"	"1"	"1"	"0"	"2"	"7"	"5"	"18"	"22"	"379"
"114"	"82"	"15"	"322"	"24"	"17"	"8"	"2"	"0"	"0"	"6"	"1"	"3"	"2"	"2"	"557"
"115"	"83"	"82"	"60"	"10"	"25"	"3"	"12"	"1"	"0"	"3"	"2"	"5"	"7"	"9"	"219"
"116"	"84"	"108"	"198"	"17"	"46"	"4"	"1"	"1"	"3"	"6"	"5"	"5"	"9"	"14"	"417"
"117"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"123"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"124"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"125"	"85"	"5"	"310"	"11"	"222"	"11"	"2"	"0"	"0"	"13"	"4"	"2"	"9"	"17"	"606"
"126"	"86"	"23"	"180"	"20"	"95"	"1"	"1"	"0"	"1"	"69"	"1"	"11"	"13"	"9"	"424"
"127"	"87"	"105"	"82"	"35"	"40"	"3"	"1"	"1"	"3"	"26"	"1"	"3"	"5"	"10"	"315"
"128"	"87A"	"194"	"75"	"6"	"7"	"1"	"10"	"0"	"1"	"1"	"3"	"2"	"5"	"8"	"313"
"129"	"88"	"2"	"61"	"9"	"106"	"1"	"0"	"0"	"2"	"8"	"1"	"4"	"3"	"3"	"200"
"130"	"89"	"164"	"56"	"5"	"18"	"1"	"0"	"0"	"0"	"5"	"3"	"2"	"2"	"20"	"276"
"131"	"90"	"120"	"111"	"132"	"61"	"3"	"5"	"2"	"2"	"12"	"3"	"12"	"15"	"17"	"495"
"132"	"91"	"191"	"61"	"7"	"23"	"1"	"4"	"2"	"4"	"16"	"2"	"1"	"6"	"23"	"341"
"133"	"92"	"129"	"172"	"25"	"70"	"2"	"0"	"3"	"0"	"6"	"2"	"9"	"8"	"10"	"436"
"134"	"93"	"181"	"94"	"37"	"30"	"1"	"2"	"1"	"1"	"3"	"4"	"3"	"10"	"18"	"385"
"135"	"94"	"99"	"106"	"7"	"7"	"0"	"1"	"1"	"0"	"3"	"1"	"4"	"6"	"21"	"256"
"136"	"95"	"176"	"274"	"58"	"19"	"3"	"10"	"3"	"6"	"6"	"6"	"12"	"14"	"30"	"617"
"137"	"96"	"225"	"142"	"25"	"30"	"3"	"2"	"3"	"3"	"1"	"1"	"5"	"6"	"9"	"455"
"138"	"97"	"137"	"35"	"6"	"65"	"6"	"5"	"3"	"0"	"2"	"2"	"3"	"0"	"5"	"269"
"139"	"98"	"5"	"201"	"16"	"153"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"6"	"2"	"388"
"140"	"99"	"17"	"61"	"9"	"148"	"1"	"0"	"0"	"1"	"8"	"0"	"1"	"3"	"7"	"256"
"141"	"100"	"39"	"114"	"69"	"83"	"3"	"0"	"0"	"3"	"8"	"3"	"7"	"2"	"8"	"339"
"142"	"101"	"10"	"241"	"9"	"92"	"1"	"5"	"1"	"0"	"3"	"1"	"8"	"3"	"11"	"385"
"143"	"102"	"217"	"56"	"4"	"33"	"2"	"2"	"6"	"0"	"0"	"2"	"2"	"6"	"8"	"338"
"144"	"103"	"3"	"54"	"2"	"211"	"4"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"280"
"145"	"104"	"170"	"135"	"12"	"55"	"2"	"2"	"1"	"1"	"6"	"5"	"8"	"5"	"10"	"412"
"146"	"105"	"22"	"196"	"24"	"178"	"8"	"5"	"0"	"2"	"4"	"6"	"14"	"11"	"20"	"490"
"147"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"153"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"154"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"155"	"106"	"1"	"157"	"6"	"11"	"7"	"1"	"0"	"2"	"49"	"3"	"1"	"2"	"5"	"356"
"156"	"107"	"7"	"143"	"9"	"84"	"0"	"0"	"1"	"1"	"4"	"2"	"4"	"6"	"9"	"340"
"157"	"108"	"221"	"78"	"5"	"15"	"0"	"4"	"0"	"1"	"1"	"1"	"2"	"5"	"19"	"352"
"158"	"109"	"4"	"214"	"20"	"218"	"3"	"0"	"3"	"1"	"17"	"2"	"5"	"4"	"7"	"538"
"159"	"110"	"7"	"178"	"8"	"74"	"2"	"8"	"3"	"5"	"10"	"9"	"11"	"9"	"32"	"421"
"160"	"111"	"149"	"192"	"25"	"11"	"3"	"4"	"4"	"4"	"6"	"5"	"14"	"9"	"35"	"560"
"161"	"112"	"362"	"261"	"9"	"29"	"3"	"5"	"3"	"2"	"12"	"5"	"10"	"24"	"42"	"767"
"162"	"113"	"126"	"47"	"8"	"13"	"3"	"4"	"2"	"0"	"12"	"2"	"5"	"9"	"14"	"369"
"163"	"114"	"2"	"398"	"26"	"272"	"3"	"1"	"1"	"0"	"9"	"4"	"8"	"3"	"10"	"755"
"164"	"115"	"2"	"138"	"3"	"549"	"7"	"0"	"1"	"0"	"1"	"2"	"2"	"7"	"1"	"738"
"165"	"116"	"6"	"165"	"10"	"19"	"1"	"7"	"0"	"0"	"0"	"0"	"2"	"5"	"11"	"286"
"166"	"117"	"429"	"33"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"8"	"476"
"167"	"118"	"143"	"57"	"7"	"45"	"3"	"3"	"1"	"2"	"4"	"4"	"7"	"15"	"39"	"330"
"168"	"119"	"9"	"172"	"10"	"23"	"1"	"1"	"1"	"2"	"0"	"1"	"3"	"3"	"11"	"323"
"169"	"120"	"7"	"70"	"8"	"220"	"1"	"2"	"0"	"0"	"6"	"1"	"19"	"2"	"7"	"406"
"170"	"121"	"5"	"52"	"3"	"99"	"0"	"2"	"0"	"0"	"5"	"2"	"6"	"6"	"4"	"229"
"171"	"122"	"2"	"98"	"6"	"15"	"1"	"1"	"1"	"3"	"6"	"5"	"5"	"1"	"11"	"323"
"172"	"122A"	"1"	"51"	"4"	"97"	"3"	"2"	"0"	"2"	"2"	"6"	"6"	"4"	"11"	"205"
"173"	"123"	"108"	"119"	"15"	"19"	"3"	"4"	"3"	"3"	"0"	"3"	"36"	"2"	"9"	"495"
"174"	"124"	"104"	"69"	"19"	"15"	"9"	"7"	"4"	"7"	"13"	"8"	"30"	"11"	"22"	"457"
"175"	"125"	"6"	"5"	"3"	"96"	"3"	"2"	"0"	"0"	"3"	"3"	"48"	"7"	"5"	"243"
"176"	"126"	"197"	"192"	"16"	"17"	"4"	"2"	"0"	"1"	"6"	"7"	"8"	"25"	"33"	"667"
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM THE 236-Hisua CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"Form-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Assembly Constituency :236---Hisua_No of Voters :271062"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"Candidates Name -----
> BOOTH NO"	"No of val votes c e in favour <;"	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"
"183"	""	"ANIL MEHTA"	"ANIL SINGH"	"JAINANDAN PRASAD SINGH"	"NITU KUMARI"	"RAJEEV KUMAR"	"RAMSWA ROOP YADAV"	"DR. INDRAD EV YADAV"	"UMAKAN T RAHI"	"KAULES H KUMAR"	"DINESH RAJWAN SHI"	"MANZOOR ALAM"	"MD MQANZOO R ALM RAYEEN"	"RANJEET PATEL"	""
"184"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"33"
"185"	"127"	"9"	"106"	"11"	"107"	"2"	"3"	"0"	"2"	"7"	"4"	"6"	"7"	"15"	"363"
"186"	"127A"	"8"	"109"	"3"	"53"	"0"	"0"	"1"	"0"	"5"	"0"	"3"	"8"	"6"	"274"
"187"	"128"	"382"	"134"	"10"	"41"	"1"	"2"	"0"	"1"	"3"	"3"	"6"	"5"	"16"	"604"
"188"	"129"	"201"	"23"	"1"	"22"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"2"	"10"	"265"
"189"	"129A"	"222"	"51"	"7"	"32"	"1"	"1"	"0"	"0"	"5"	"0"	"1"	"3"	"10"	"333"
"190"	"130"	"173"	"144"	"10"	"94"	"1"	"16"	"1"	"1"	"4"	"5"	"6"	"6"	"19"	"480"
"191"	"131"	"125"	"111"	"10"	"173"	"6"	"0"	"2"	"0"	"7"	"1"	"4"	"7"	"18"	"464"
"192"	"132"	"225"	"165"	"35"	"90"	"6"	"1"	"0"	"3"	"8"	"4"	"10"	"11"	"39"	"597"
"193"	"133"	"4"	"119"	"23"	"110"	"7"	"4"	"2"	"1"	"2"	"4"	"3"	"10"	"12"	"346"
"194"	"134"	"1"	"188"	"15"	"272"	"4"	"1"	"4"	"2"	"8"	"3"	"9"	"8"	"19"	"546"
"195"	"135"	"6"	"171"	"37"	"88"	"3"	"9"	"3"	"3"	"5"	"5"	"17"	"16"	"23"	"443"
"196"	"136"	"6"	"120"	"15"	"64"	"2"	"2"	"3"	"0"	"2"	"2"	"3"	"5"	"21"	"307"
"197"	"137"	"125"	"254"	"12"	"143"	"5"	"4"	"6"	"0"	"14"	"5"	"6"	"7"	"23"	"604"
