"Candidates.Name"	"AJIT.CHAUD.HARY"	"ARVIND.SINGH"	"KEDAR.SINGH"	"DILMA.RNI.DEVI"	"BINODH.AR.OJHA"	"SATYEN.DRA.KUMAR"	"ANIL.KUM.AR.PRAS.AD"	"GOPA.L.YADA.V"	"DADAN.YADAV"	"PRAMOD.SINGH"	"MANOJ.KUMAR.SINGH"	"SHIV.NARAYAN.SINGH"	"SAYEEDU.L.AZAM"	"INDU.DEVI"	"KIRAN.MISHRA"	"KRISHN.A.MURARI.THAKU.R"	"DHARM.ENDRA.KUMAR.SINGH"	"PARASUR.AM.PRASAD.TATAWA"	"RAJU.MISHRA"	"SHAMB.HU.PRASAD.SHARM.A"	"SHIVNATH.RAM"	"SHIV.SHANKA.R.DAS"	"SARVESH.KUMAR.SINI"	"HAREN.DRA.PRASA.D.RAM"	"ASHOK.KUMAR.OJHA"	"Total"
"21"	"18"	"11"	"13"	"1"	"77"	"2"	"45"	"1"	"0"	"4"	"0"	"2"	"5"	"1"	"1"	"0"	"5"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"175"
"22"	"19"	"11"	"42"	"0"	"117"	"2"	"125"	"0"	"0"	"5"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"310"
"23"	"20"	"9"	"10"	"3"	"154"	"1"	"64"	"0"	"1"	"6"	"2"	"0"	"0"	"1"	"2"	"1"	"0"	"6"	"3"	"2"	"2"	"0"	"4"	"4"	"0"	"1"	"276"
"24"	"20A"	"97"	"48"	"4"	"163"	"4"	"33"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"2"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"374"
"25"	"21"	"85"	"24"	"31"	"79"	"4"	"5"	"8"	"7"	"172"	"8"	"4"	"1"	"0"	"1"	"0"	"5"	"17"	"10"	"2"	"2"	"1"	"1"	"3"	"3"	"10"	"483"
"26"	"22"	"178"	"9"	"17"	"88"	"4"	"5"	"3"	"4"	"34"	"1"	"4"	"1"	"2"	"2"	"0"	"8"	"15"	"6"	"3"	"3"	"7"	"0"	"1"	"1"	"6"	"402"
"27"	"22A"	"49"	"7"	"29"	"6"	"4"	"2"	"9"	"23"	"211"	"8"	"2"	"3"	"11"	"2"	"4"	"17"	"7"	"7"	"2"	"0"	"3"	"1"	"0"	"2"	"7"	"416"
"28"	"23"	"51"	"10"	"8"	"43"	"0"	"35"	"1"	"2"	"68"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"233"
"29"	"24"	"138"	"6"	"94"	"44"	"2"	"7"	"3"	"5"	"289"	"7"	"3"	"2"	"5"	"0"	"1"	"1"	"3"	"2"	"0"	"5"	"2"	"1"	"0"	"1"	"2"	"623"
"30"	"25"	"18"	"14"	"4"	"317"	"3"	"23"	"2"	"3"	"23"	"2"	"4"	"7"	"4"	"2"	"1"	"7"	"0"	"2"	"3"	"31"	"1"	"3"	"0"	"1"	"7"	"482"
"31"	"26"	"124"	"30"	"15"	"167"	"4"	"28"	"7"	"2"	"34"	"2"	"4"	"1"	"1"	"4"	"1"	"5"	"19"	"2"	"3"	"8"	"4"	"3"	"0"	"2"	"5"	"475"
"32"	"27"	"2"	"0"	"8"	"175"	"1"	"9"	"0"	"2"	"19"	"2"	"2"	"2"	"5"	"2"	"0"	"0"	"2"	"1"	"1"	"2"	"0"	"2"	"3"	"2"	"0"	"242"
"33"	"28"	"73"	"53"	"8"	"214"	"2"	"38"	"2"	"1"	"6"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"8"	"3"	"3"	"10"	"3"	"2"	"2"	"2"	"2"	"441"
"34"	"29"	"12"	"71"	"16"	"142"	"0"	"20"	"0"	"3"	"202"	"4"	"1"	"0"	"1"	"4"	"1"	"1"	"3"	"7"	"2"	"2"	"1"	"2"	"1"	"2"	"3"	"501"
"35"	"30"	"18"	"0"	"10"	"140"	"6"	"9"	"1"	"0"	"36"	"0"	"4"	"1"	"5"	"1"	"1"	"6"	"8"	"5"	"1"	"1"	"1"	"3"	"1"	"0"	"2"	"260"
"36"	"31"	"13"	"0"	"19"	"179"	"2"	"34"	"1"	"3"	"7"	"1"	"1"	"0"	"2"	"5"	"1"	"2"	"6"	"1"	"2"	"9"	"3"	"3"	"0"	"0"	"9"	"303"
"37"	"32"	"46"	"2"	"6"	"204"	"2"	"37"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"5"	"4"	"2"	"1"	"3"	"2"	"3"	"1"	"2"	"5"	"331"
"38"	"33"	"4"	"4"	"7"	"227"	"8"	"72"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"4"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"340"
"39"	"34"	"187"	"138"	"23"	"34"	"4"	"10"	"5"	"7"	"149"	"6"	"3"	"2"	"9"	"4"	"8"	"7"	"15"	"15"	"7"	"8"	"13"	"0"	"2"	"7"	"13"	"676"
"40"	"35"	"127"	"9"	"8"	"138"	"2"	"54"	"4"	"2"	"6"	"1"	"3"	"2"	"6"	"3"	"0"	"4"	"2"	"2"	"1"	"3"	"3"	"0"	"0"	"0"	"1"	"381"
"41"	"36"	"40"	"1"	"8"	"214"	"6"	"7"	"1"	"1"	"19"	"0"	"2"	"0"	"6"	"1"	"5"	"26"	"4"	"0"	"0"	"8"	"2"	"1"	"1"	"2"	"5"	"360"
"42"	"37"	"110"	"70"	"12"	"262"	"8"	"6"	"0"	"5"	"22"	"0"	"6"	"2"	"11"	"2"	"8"	"25"	"2"	"2"	"0"	"1"	"3"	"3"	"0"	"3"	"10"	"573"
"43"	"38"	"151"	"3"	"16"	"210"	"6"	"10"	"3"	"1"	"43"	"2"	"2"	"1"	"0"	"0"	"24"	"9"	"9"	"5"	"1"	"1"	"4"	"2"	"1"	"3"	"5"	"512"
"44"	"39"	"116"	"23"	"13"	"179"	"6"	"9"	"1"	"0"	"8"	"3"	"2"	"0"	"3"	"2"	"3"	"4"	"31"	"12"	"7"	"8"	"6"	"2"	"7"	"5"	"8"	"458"
"45"	"40"	"62"	"4"	"13"	"276"	"4"	"9"	"1"	"1"	"69"	"5"	"7"	"3"	"7"	"2"	"3"	"9"	"2"	"6"	"0"	"8"	"0"	"0"	"0"	"1"	"1"	"493"
"46"	"41"	"26"	"1"	"4"	"355"	"6"	"44"	"1"	"2"	"4"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"1"	"14"	"0"	"1"	"0"	"1"	"7"	"473"
"47"	"42"	"55"	"47"	"17"	"287"	"7"	"40"	"3"	"3"	"37"	"6"	"0"	"1"	"2"	"2"	"0"	"2"	"1"	"1"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"517"
"48"	"43"	"199"	"14"	"29"	"185"	"1"	"9"	"1"	"0"	"17"	"1"	"1"	"0"	"3"	"4"	"4"	"5"	"6"	"0"	"5"	"2"	"1"	"0"	"1"	"1"	"4"	"493"
"49"	"44"	"76"	"18"	"28"	"127"	"7"	"34"	"3"	"2"	"21"	"1"	"1"	"2"	"4"	"0"	"2"	"4"	"9"	"2"	"5"	"116"	"8"	"4"	"1"	"4"	"5"	"484"
"50"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"51"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"53"	"45"	"20"	"26"	"3"	"105"	"3"	"16"	"1"	"1"	"5"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"9"	"3"	"3"	"158"	"3"	"4"	"2"	"6"	"29"	"404"
"54"	"46"	"67"	"58"	"12"	"230"	"5"	"7"	"2"	"0"	"1"	"3"	"3"	"2"	"6"	"0"	"0"	"1"	"5"	"4"	"4"	"8"	"2"	"1"	"3"	"1"	"6"	"431"
"55"	"47"	"104"	"9"	"4"	"179"	"4"	"11"	"0"	"2"	"32"	"1"	"4"	"0"	"3"	"1"	"0"	"3"	"5"	"2"	"0"	"10"	"5"	"1"	"2"	"4"	"17"	"403"
"56"	"48"	"247"	"17"	"8"	"190"	"4"	"7"	"1"	"3"	"17"	"1"	"4"	"2"	"5"	"4"	"2"	"8"	"4"	"0"	"1"	"4"	"4"	"2"	"1"	"2"	"4"	"542"
"57"	"49"	"120"	"31"	"7"	"124"	"2"	"6"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"303"
"58"	"50"	"307"	"8"	"21"	"143"	"8"	"14"	"2"	"4"	"12"	"2"	"0"	"3"	"4"	"1"	"0"	"10"	"13"	"3"	"1"	"2"	"1"	"2"	"0"	"2"	"7"	"570"
"59"	"51"	"194"	"7"	"24"	"283"	"6"	"14"	"3"	"1"	"2"	"0"	"1"	"1"	"7"	"4"	"3"	"11"	"3"	"1"	"2"	"3"	"1"	"0"	"1"	"1"	"9"	"582"
"60"	"52"	"82"	"2"	"9"	"338"	"9"	"37"	"0"	"0"	"5"	"1"	"3"	"1"	"3"	"1"	"6"	"11"	"2"	"0"	"2"	"5"	"3"	"2"	"3"	"1"	"2"	"528"
"61"	"53"	"106"	"51"	"40"	"310"	"5"	"55"	"53"	"6"	"5"	"8"	"2"	"4"	"13"	"3"	"8"	"17"	"10"	"7"	"8"	"5"	"5"	"6"	"3"	"7"	"17"	"754"
"62"	"54"	"42"	"99"	"8"	"272"	"11"	"40"	"12"	"2"	"5"	"3"	"8"	"10"	"6"	"6"	"5"	"13"	"4"	"3"	"0"	"5"	"3"	"4"	"1"	"4"	"11"	"577"
"63"	"55"	"113"	"2"	"5"	"419"	"2"	"5"	"0"	"2"	"5"	"0"	"2"	"1"	"3"	"1"	"0"	"3"	"3"	"1"	"1"	"1"	"4"	"2"	"0"	"3"	"6"	"584"
"64"	"56"	"113"	"125"	"12"	"188"	"5"	"18"	"1"	"2"	"9"	"0"	"4"	"3"	"4"	"0"	"7"	"10"	"3"	"3"	"1"	"3"	"2"	"1"	"3"	"1"	"5"	"523"
"65"	"57"	"123"	"19"	"18"	"269"	"4"	"29"	"1"	"0"	"2"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"477"
"66"	"58"	"200"	"67"	"8"	"219"	"2"	"43"	"2"	"3"	"5"	"1"	"4"	"2"	"4"	"2"	"5"	"10"	"17"	"3"	"6"	"1"	"5"	"4"	"2"	"7"	"9"	"631"
"67"	"59"	"172"	"39"	"16"	"229"	"4"	"36"	"2"	"2"	"26"	"6"	"4"	"2"	"4"	"4"	"8"	"10"	"5"	"2"	"0"	"5"	"6"	"3"	"2"	"3"	"3"	"593"
"68"	"60"	"124"	"108"	"18"	"88"	"2"	"7"	"4"	"8"	"75"	"3"	"1"	"3"	"7"	"5"	"3"	"13"	"7"	"5"	"1"	"2"	"4"	"2"	"2"	"16"	"6"	"514"
"69"	"61"	"172"	"12"	"14"	"224"	"7"	"16"	"2"	"1"	"11"	"4"	"3"	"3"	"8"	"6"	"5"	"32"	"20"	"2"	"1"	"2"	"8"	"4"	"1"	"1"	"9"	"568"
"70"	"62"	"104"	"47"	"28"	"167"	"4"	"7"	"0"	"5"	"98"	"5"	"2"	"2"	"4"	"2"	"2"	"11"	"14"	"12"	"6"	"1"	"2"	"3"	"3"	"3"	"7"	"539"
"71"	"63"	"22"	"46"	"10"	"62"	"1"	"5"	"0"	"2"	"65"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"224"
"72"	"64"	"92"	"148"	"22"	"22"	"3"	"3"	"4"	"3"	"60"	"1"	"0"	"2"	"3"	"1"	"4"	"2"	"12"	"19"	"6"	"3"	"6"	"1"	"1"	"5"	"8"	"431"
"73"	"65"	"184"	"42"	"9"	"111"	"2"	"9"	"0"	"0"	"7"	"4"	"1"	"0"	"1"	"0"	"0"	"8"	"23"	"4"	"3"	"1"	"7"	"2"	"0"	"3"	"7"	"428"
"74"	"65A"	"127"	"7"	"4"	"183"	"1"	"2"	"0"	"0"	"24"	"0"	"2"	"1"	"1"	"1"	"1"	"8"	"10"	"3"	"0"	"2"	"4"	"1"	"2"	"2"	"6"	"392"
"75"	"66"	"178"	"29"	"27"	"105"	"2"	"20"	"0"	"2"	"79"	"2"	"0"	"0"	"4"	"4"	"1"	"2"	"22"	"11"	"5"	"6"	"2"	"6"	"1"	"2"	"16"	"526"
"76"	"67"	"128"	"37"	"5"	"205"	"6"	"16"	"19"	"0"	"2"	"6"	"3"	"2"	"4"	"0"	"1"	"5"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"442"
"77"	"68"	"101"	"13"	"9"	"136"	"1"	"7"	"0"	"1"	"7"	"1"	"1"	"2"	"1"	"0"	"1"	"3"	"6"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"296"
"78"	"68A"	"104"	"44"	"5"	"117"	"3"	"14"	"1"	"1"	"5"	"0"	"1"	"1"	"6"	"1"	"2"	"6"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"2"	"319"
"79"	"69"	"122"	"33"	"3"	"76"	"2"	"4"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"10"	"2"	"1"	"4"	"5"	"4"	"4"	"1"	"5"	"281"
"80"	"70"	"199"	"22"	"6"	"271"	"3"	"15"	"0"	"0"	"22"	"2"	"4"	"1"	"3"	"2"	"3"	"13"	"9"	"0"	"0"	"3"	"1"	"2"	"3"	"0"	"7"	"591"
"81"	"71"	"192"	"35"	"22"	"442"	"10"	"14"	"1"	"2"	"40"	"7"	"6"	"4"	"9"	"1"	"1"	"6"	"3"	"4"	"4"	"1"	"2"	"3"	"3"	"2"	"4"	"818"
"82"	"72"	"174"	"7"	"6"	"164"	"2"	"13"	"2"	"4"	"154"	"1"	"2"	"2"	"4"	"1"	"1"	"7"	"15"	"8"	"3"	"2"	"2"	"1"	"2"	"2"	"3"	"582"
"83"	"73"	"160"	"18"	"21"	"227"	"9"	"5"	"2"	"2"	"33"	"3"	"6"	"3"	"8"	"2"	"6"	"17"	"18"	"4"	"5"	"38"	"0"	"4"	"1"	"4"	"10"	"606"
"84"	"74"	"7"	"0"	"1"	"30"	"2"	"2"	"1"	"0"	"1"	"1"	"8"	"179"	"4"	"3"	"0"	"10"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"255"
"85"	"75"	"38"	"2"	"8"	"27"	"1"	"3"	"1"	"1"	"25"	"1"	"8"	"237"	"7"	"0"	"2"	"21"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"0"	"20"	"409"
"86"	"76"	"56"	"8"	"26"	"88"	"1"	"5"	"2"	"3"	"138"	"2"	"7"	"167"	"4"	"4"	"1"	"3"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"4"	"524"
"87"	"76A"	"113"	"1"	"4"	"59"	"0"	"1"	"0"	"2"	"30"	"1"	"3"	"115"	"2"	"1"	"0"	"6"	"3"	"1"	"1"	"4"	"2"	"1"	"0"	"1"	"4"	"355"
"88"	"77"	"20"	"6"	"5"	"97"	"2"	"7"	"0"	"2"	"67"	"0"	"3"	"2"	"1"	"4"	"2"	"5"	"3"	"3"	"2"	"1"	"5"	"0"	"2"	"0"	"12"	"251"
"89"	"78"	"100"	"3"	"21"	"227"	"5"	"39"	"0"	"1"	"2"	"3"	"2"	"0"	"3"	"2"	"3"	"2"	"7"	"0"	"0"	"6"	"2"	"2"	"1"	"0"	"4"	"435"
"90"	"79"	"20"	"4"	"26"	"188"	"5"	"10"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"11"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"2"	"276"
"91"	"80"	"123"	"38"	"83"	"138"	"1"	"14"	"2"	"4"	"17"	"1"	"4"	"5"	"61"	"4"	"0"	"4"	"11"	"4"	"1"	"5"	"6"	"4"	"1"	"2"	"7"	"540"
"92"	"81"	"113"	"66"	"10"	"240"	"7"	"8"	"2"	"2"	"2"	"10"	"7"	"2"	"4"	"0"	"2"	"1"	"7"	"2"	"5"	"0"	"2"	"2"	"0"	"1"	"6"	"501"
"93"	"82"	"40"	"3"	"6"	"196"	"5"	"31"	"1"	"1"	"26"	"0"	"2"	"5"	"0"	"3"	"1"	"7"	"3"	"1"	"1"	"4"	"0"	"0"	"2"	"1"	"9"	"348"
"94"	"83"	"105"	"10"	"23"	"260"	"6"	"2"	"1"	"3"	"8"	"3"	"6"	"5"	"11"	"4"	"4"	"3"	"8"	"3"	"5"	"6"	"10"	"10"	"1"	"2"	"25"	"524"
"95"	"84"	"17"	"13"	"53"	"317"	"0"	"51"	"2"	"0"	"6"	"2"	"0"	"0"	"0"	"3"	"1"	"7"	"1"	"0"	"1"	"5"	"1"	"2"	"1"	"1"	"0"	"484"
"96"	"85"	"18"	"4"	"8"	"355"	"7"	"6"	"2"	"2"	"9"	"2"	"3"	"2"	"4"	"1"	"2"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"434"
"97"	"86"	"12"	"10"	"29"	"97"	"1"	"5"	"1"	"2"	"28"	"0"	"2"	"1"	"8"	"1"	"2"	"8"	"0"	"0"	"1"	"4"	"0"	"1"	"1"	"0"	"1"	"215"
"98"	"87"	"12"	"32"	"56"	"148"	"3"	"3"	"2"	"2"	"11"	"0"	"5"	"3"	"5"	"1"	"1"	"5"	"5"	"2"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"304"
"99"	"88"	"10"	"4"	"524"	"56"	"3"	"2"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"2"	"2"	"5"	"2"	"2"	"4"	"1"	"1"	"1"	"0"	"0"	"1"	"625"
"100"	"Candidates Name"	"AJIT CHAUD HARY"	"ARVIND SINGH"	"KEDAR SINGH"	"DILMA RNI DEVI"	"BINODH AR OJHA"	"SATYEN DRA KUMAR"	"ANIL KUM AR PRAS AD"	"GOPA L YADA V"	"DADAN YADAV"	"PRAMOD SINGH"	"MANOJ KUMAR SINGH"	"SHIV NARAYAN SINGH"	"SAYEEDU L AZAM"	"INDU DEVI"	"KIRAN MISHRA"	"KRISHN A MURARI THAKU R"	"DHARM ENDRA KUMAR SINGH"	"PARASUR AM PRASAD TATAWA"	"RAJU MISHRA"	"SHAMB HU PRASAD SHARM A"	"SHIVNATH RAM"	"SHIV SHANKA R DAS"	"SARVESH KUMAR SINI"	"HAREN DRA PRASA D RAM"	"ASHOK KUMAR OJHA"	"Total"
"101"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"27"	""
"103"	"89"	"42"	"2"	"8"	"136"	"1"	"2"	"1"	"2"	"82"	"4"	"4"	"2"	"2"	"19"	"1"	"5"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"81"	"402"
"104"	"90"	"91"	"2"	"36"	"216"	"3"	"36"	"2"	"1"	"11"	"1"	"0"	"1"	"0"	"2"	"1"	"4"	"3"	"3"	"0"	"3"	"4"	"1"	"0"	"0"	"3"	"424"
"105"	"91"	"40"	"3"	"20"	"240"	"7"	"11"	"3"	"0"	"21"	"5"	"1"	"2"	"3"	"3"	"2"	"0"	"4"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"2"	"374"
"106"	"92"	"47"	"2"	"24"	"248"	"5"	"21"	"0"	"1"	"4"	"3"	"1"	"1"	"1"	"2"	"1"	"6"	"2"	"0"	"3"	"5"	"0"	"1"	"1"	"0"	"1"	"380"
"107"	"93"	"87"	"20"	"69"	"129"	"7"	"16"	"5"	"1"	"33"	"5"	"4"	"3"	"2"	"1"	"3"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"0"	"2"	"3"	"399"
"108"	"94"	"20"	"50"	"9"	"322"	"5"	"68"	"0"	"1"	"4"	"7"	"2"	"0"	"4"	"1"	"1"	"5"	"0"	"1"	"4"	"1"	"1"	"0"	"0"	"1"	"0"	"507"
"109"	"95"	"124"	"14"	"27"	"130"	"4"	"164"	"5"	"9"	"66"	"2"	"8"	"2"	"8"	"5"	"2"	"19"	"14"	"5"	"4"	"3"	"10"	"2"	"2"	"1"	"14"	"644"
"110"	"96"	"59"	"3"	"6"	"110"	"2"	"252"	"6"	"1"	"6"	"1"	"5"	"3"	"4"	"1"	"2"	"4"	"6"	"2"	"1"	"1"	"3"	"5"	"2"	"0"	"2"	"487"
"111"	"97"	"36"	"1"	"10"	"103"	"3"	"199"	"11"	"1"	"34"	"0"	"0"	"1"	"3"	"2"	"1"	"3"	"3"	"4"	"1"	"3"	"2"	"1"	"0"	"0"	"4"	"426"
"112"	"98"	"8"	"5"	"5"	"102"	"1"	"84"	"1"	"0"	"8"	"0"	"3"	"2"	"3"	"1"	"0"	"2"	"2"	"1"	"0"	"6"	"1"	"3"	"0"	"1"	"5"	"244"
"113"	"99"	"88"	"7"	"15"	"109"	"3"	"191"	"0"	"1"	"11"	"3"	"5"	"0"	"2"	"1"	"4"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"451"
