"Candidates.Name"	"MD..ALI.ISHRAT"	"ASGHAR.HASAN"	"RAM.SURAT.RAI"	"SURENDRA.KUMAR"	"SULEMAN.KHAN"	"GANESH...P..YADAV"	"DURGA.DEVI"	"MD..PARWEZ.HASHMI"	"MOJAMM.IL.HUSAIN"	"RAM.BABU.SHARM"	"VINAY.KUMAR"	"MD..SAMSHED"	"KRANTI.PRAKASH"	"DINESH.DAS"	"NAREN.DRA.KUMAR"	"SHASHI.BHUSHAN..P..SHAHI"	"Total"
"27"	25	11	116	148	16	0	185	9	3	2	3	11	5	6	15	12	44	586
"28"	26	16	57	156	87	11	62	3	5	3	9	2	13	6	8	8	33	479
"29"	27	8	7	50	26	6	57	2	1	2	3	3	5	11	11	7	111	310
"30"	28	8	13	154	41	8	105	6	3	5	6	11	10	15	21	11	176	593
"31"	29	18	144	50	85	13	230	20	7	10	12	18	31	11	11	11	106	777
"32"	30	6	17	71	154	5	75	3	2	3	2	5	5	9	6	2	31	396
"33"	31	12	19	56	42	15	432	25	7	10	10	36	14	15	8	3	19	723
"34"	32	8	81	34	28	5	414	11	6	9	9	46	18	5	4	9	23	710
"35"	33	2	0	59	54	7	259	1	2	1	3	5	9	4	2	1	4	413
"36"	34	6	5	8	21	8	313	5	7	6	2	13	4	0	1	2	8	409
"37"	35	6	3	200	43	3	136	5	0	5	4	9	9	5	10	1	9	448
"38"	36	8	4	126	15	7	298	8	5	5	6	13	20	9	15	7	16	562
"39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"40"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"41"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"42"	37	1	35	48	18	1	165	3	2	3	1	5	6	0	6	1	20	315
"43"	38	16	37	109	45	13	351	9	9	7	10	21	21	13	12	7	34	714
"44"	39	21	12	134	83	13	241	21	17	5	10	6	11	9	13	13	44	653
"45"	40	23	218	123	28	3	29	2	0	3	1	0	4	4	4	4	51	497
"46"	41	6	23	142	55	4	43	2	2	0	1	3	3	5	9	3	25	326
"47"	42	6	61	73	107	2	20	0	1	4	1	4	16	19	13	10	103	440
"48"	43	7	53	126	111	5	26	4	7	2	4	2	11	10	14	15	6	403
"49"	44	17	61	125	79	1	45	5	5	6	3	7	10	11	20	9	20	424
"50"	45	0	3	27	143	2	37	1	1	0	1	1	1	1	2	3	6	229
"51"	46	1	5	122	42	0	73	3	1	2	2	0	0	2	2	1	9	265
"52"	47	1	24	81	12	1	35	0	2	1	0	0	2	1	4	2	31	197
"53"	48	6	8	90	58	4	141	5	6	12	8	9	16	11	12	5	39	430
"54"	49	2	7	137	37	3	32	0	1	2	3	3	8	6	9	1	73	324
"55"	50	3	35	207	110	2	21	3	2	1	2	2	4	6	2	0	9	409
"56"	51	1	3	218	93	10	123	1	1	4	2	1	10	13	9	5	6	500
"57"	52	4	22	191	31	12	68	1	2	2	14	7	4	9	18	11	28	424
"58"	53	14	5	141	42	4	5	3	5	3	3	5	7	5	11	3	72	328
"59"	54	3	1	132	90	7	59	0	0	2	6	11	5	8	6	1	18	349
"60"	55	2	16	231	234	9	23	1	3	1	4	4	8	17	8	5	19	585
"61"	56	8	47	179	369	5	7	1	4	2	1	5	8	18	10	4	9	677
"62"	57	4	62	172	61	3	9	1	3	1	1	3	9	5	6	12	48	400
"63"	58	1	9	202	16	3	28	0	0	1	0	1	3	4	5	4	69	346
"64"	59	6	9	314	75	2	34	3	4	2	1	19	12	19	14	14	68	596
"65"	60	22	182	288	104	6	13	7	4	3	1	2	10	11	9	18	25	705
"66"	61	1	3	183	101	7	28	2	4	2	2	7	6	13	12	9	73	453
"67"	62	2	6	184	155	6	9	2	3	3	3	11	8	18	17	11	30	468
"68"	63	6	9	189	85	2	4	2	1	3	0	2	8	10	7	6	18	352
"69"	64	7	8	199	43	6	15	3	4	6	1	2	5	4	16	9	210	538
"70"	65	27	7	316	129	7	6	1	4	1	1	9	4	6	4	12	41	575
"71"	66	5	6	162	43	1	9	1	0	1	1	1	5	7	8	62	93	405
"72"	67	6	4	153	31	2	5	1	1	2	1	0	6	9	14	31	45	311
"73"	68	5	59	115	149	15	6	3	0	6	9	9	11	7	17	57	63	531
"74"	69	2	2	54	383	12	17	2	2	1	0	2	4	12	2	5	6	506
"75"	70	2	8	114	201	8	13	4	1	3	4	1	7	8	7	10	141	532
"76"	71	13	3	93	188	7	10	2	3	2	1	2	8	4	2	3	108	449
"77"	72	3	13	30	205	4	18	1	0	0	1	2	1	3	5	3	6	295
"78"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"79"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"80"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"81"	73	0	3	82	319	7	19	0	0	1	9	1	4	4	4	2	70	525
"82"	74	5	11	80	12	3	3	9	0	1	6	24	2	8	15	13	195	387
"83"	75	2	7	50	94	1	10	3	2	2	0	19	3	4	12	4	139	352
"84"	76	12	6	114	254	9	14	5	2	6	5	109	12	8	7	0	10	573
"85"	77	11	5	254	100	11	7	5	7	4	3	65	16	18	29	19	173	727
"86"	78	5	8	184	193	8	10	3	1	1	1	2	8	16	18	8	24	490
"87"	79	7	34	138	9	1	6	1	0	0	1	0	1	3	3	3	20	227
"88"	80	16	15	324	207	8	12	2	6	6	3	5	9	9	17	7	31	677
"89"	81	9	10	252	336	6	17	1	2	1	1	4	11	21	11	1	17	700
"90"	82	2	6	123	21	2	0	0	1	0	1	1	3	1	3	4	33	201
"91"	83	4	3	145	135	1	11	0	1	0	0	1	5	5	9	2	9	331
"92"	84	9	34	88	96	1	47	5	1	3	4	1	5	4	5	4	165	472
"93"	85	7	8	272	216	5	13	0	4	2	2	6	13	21	38	10	22	639
"94"	86	2	12	319	158	2	23	4	0	0	2	5	10	13	23	5	22	600
"95"	87	6	4	164	136	6	8	3	1	1	3	5	8	14	4	6	61	430
"96"	88	11	4	70	166	3	18	3	2	3	2	5	6	5	9	5	5	317
"97"	89	0	3	101	23	0	3	0	0	3	0	0	1	2	7	2	3	148
"98"	90	4	5	272	26	3	2	2	1	1	2	22	5	4	9	6	14	378
"99"	91	3	4	74	233	13	6	4	1	1	1	0	1	5	4	0	5	355
"100"	92	1	8	183	8	1	7	0	0	0	0	1	0	2	10	0	30	251
"101"	93	1	1	56	30	2	2	0	0	0	0	0	1	3	8	2	119	225
"102"	94	2	4	102	11	2	50	3	0	1	5	5	20	2	10	7	13	237
"103"	95	8	2	154	75	4	13	2	3	1	1	13	8	14	15	4	24	341
"104"	96	14	13	385	73	7	5	8	6	2	4	3	7	11	19	13	63	633
"105"	97	6	9	347	68	4	8	16	4	2	4	1	12	15	21	10	132	659
"106"	98	4	8	138	367	12	31	3	1	2	6	5	18	44	17	10	31	697
"107"	99	8	10	245	10	1	32	0	0	0	2	1	0	5	14	6	49	383
"108"	100	9	28	358	120	21	36	3	2	6	3	5	6	20	31	7	29	684
"109"	101	6	1	49	213	15	34	1	2	2	0	4	15	9	1	5	11	368
"110"	102	9	69	27	114	82	65	4	2	8	5	5	13	6	4	9	19	441
"111"	103	22	10	96	21	9	404	13	11	11	6	14	24	8	5	6	38	698
"112"	104	2	142	50	8	4	98	3	2	3	4	4	5	2	5	4	59	395
"113"	105	5	216	23	20	3	52	5	0	5	1	0	1	1	2	7	9	350
"114"	106	10	47	172	156	7	33	3	4	5	5	6	11	19	13	6	16	513
"115"	107	4	13	218	38	6	55	4	5	6	2	6	8	10	24	7	15	421
"116"	108	1	13	375	98	6	102	3	2	3	4	1	5	5	15	5	15	653
"117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"118"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"119"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"120"	109	4	178	41	29	6	130	2	3	2	1	8	6	4	3	10	32	459
"121"	110	11	363	17	54	1	71	0	0	1	1	2	2	0	1	3	36	563
"122"	111	6	4	120	106	12	168	7	5	4	5	5	13	5	4	5	10	479
"123"	112	3	22	76	35	2	255	5	2	1	3	8	5	3	2	3	12	437
"124"	113	3	117	142	36	13	95	2	2	1	6	6	14	1	5	9	17	469
"125"	114	15	139	176	27	5	48	5	2	6	2	3	4	3	6	4	19	464
"126"	115	1	4	50	124	7	318	3	1	1	3	4	1	5	3	0	4	529
"127"	116	11	1	23	101	6	252	7	4	4	4	11	10	4	3	0	8	449
"128"	117	10	6	96	175	9	28	1	2	3	0	1	6	22	28	3	100	490
"129"	118	5	2	144	161	3	15	2	5	0	3	0	5	14	17	10	78	464
"130"	119	24	19	204	100	15	126	5	8	5	7	5	17	6	2	4	17	564
"131"	120	2	6	248	99	10	139	6	7	2	41	2	16	14	21	12	28	653
"132"	121	2	2	105	257	8	108	6	6	3	4	10	13	18	13	4	10	569
"133"	122	9	2	121	186	2	32	10	5	8	4	6	10	17	16	2	16	446
"134"	123	12	13	61	120	6	42	4	1	7	5	10	11	12	10	5	33	352
"135"	124	10	110	54	57	4	122	17	3	2	1	2	5	3	6	5	8	409
"136"	125	5	16	4	160	2	33	6	1	0	0	1	7	5	2	1	3	246
"137"	126	9	112	53	125	10	44	5	1	3	30	7	4	8	9	17	18	455
"138"	127	5	4	177	76	8	164	3	3	6	4	7	10	16	12	3	29	527
"139"	128	8	46	151	77	8	117	15	1	7	24	4	4	5	5	6	38	516
"140"	129	0	83	39	117	3	20	5	0	0	2	2	4	4	4	8	106	397
"141"	130	5	11	22	16	5	28	0	1	1	0	2	4	2	4	4	172	277
"142"	131	5	73	66	5	2	22	1	1	1	2	1	3	1	9	6	94	292
"143"	132	9	31	119	27	4	48	7	1	6	8	13	12	22	35	4	107	453
"144"	133	4	7	86	171	5	13	4	3	2	6	2	6	4	11	4	142	470
"145"	134	6	12	181	67	3	3	0	5	0	1	1	3	8	7	5	46	348
"146"	135	2	12	138	63	3	87	3	4	4	3	5	5	6	5	3	13	356
"147"	136	0	1	49	8	2	49	0	0	2	2	4	2	3	4	1	20	147
"148"	137	19	12	339	53	12	165	10	4	8	11	14	16	10	14	9	29	725
"149"	138	3	32	11	5	3	50	2	0	3	3	12	4	3	8	6	83	228
"150"	139	15	27	27	37	1	59	4	0	0	3	2	4	4	5	5	61	254
"151"	140	0	12	275	62	3	97	1	0	1	5	3	13	11	17	11	81	592
"152"	141	2	0	55	17	1	128	3	0	1	1	4	3	1	3	2	4	225
"153"	142	4	6	125	96	7	8	1	2	1	1	0	3	3	4	1	6	268
"154"	143	5	14	153	80	1	14	5	2	0	6	1	7	6	26	6	146	472
"155"	144	10	11	240	49	7	40	3	1	2	2	2	10	4	9	7	74	471
"156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"157"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	145	6	4	218	186	6	7	2	1	2	2	10	3	12	14	6	17	496
"160"	146	6	3	115	187	8	16	2	1	2	2	3	9	9	3	4	17	387
"161"	147	6	2	87	126	11	47	2	6	1	3	8	6	7	18	5	65	400
"162"	148	8	5	66	92	3	19	2	0	2	7	3	3	10	15	8	102	345
"163"	149	2	31	65	76	0	3	0	0	1	0	0	1	6	6	6	49	246
"164"	150	4	15	104	85	0	9	0	1	0	1	0	3	2	2	4	41	271
"165"	151	3	35	117	41	4	1	2	1	0	2	1	1	2	0	1	12	223
"166"	152	7	5	93	112	3	47	3	1	3	0	1	3	4	4	3	15	304
"167"	153	4	8	61	118	20	147	5	7	3	6	5	15	7	15	8	103	532
"168"	154	10	5	126	237	9	50	4	5	4	2	3	20	11	9	11	9	515
"169"	155	16	13	131	216	6	46	6	6	5	2	0	7	13	10	1	4	482
"170"	156	9	6	178	119	3	1	2	1	0	3	4	6	21	33	6	16	408
"171"	157	11	11	260	268	6	10	7	0	5	4	1	14	24	20	6	10	657
"172"	158	5	8	282	69	7	16	9	0	3	4	1	11	5	9	6	80	515
"173"	159	3	4	240	13	5	50	1	0	1	1	1	3	6	12	1	77	418
"174"	160	6	10	111	25	2	40	6	0	3	6	8	8	7	13	9	153	407
"175"	161	7	5	186	133	4	34	4	2	2	1	96	12	8	19	7	14	534
"176"	162	3	10	113	262	6	47	2	0	3	2	2	3	5	9	2	50	519
"177"	163	6	3	129	370	17	4	4	0	5	5	2	10	24	16	8	16	619
"178"	164	11	264	71	184	6	2	5	5	2	2	4	8	9	6	6	10	595
"179"	165	10	111	42	229	5	1	1	1	1	2	1	3	8	3	3	4	425
"180"	166	3	5	76	139	4	12	1	2	1	3	1	3	8	2	6	54	320
"181"	167	8	18	326	225	7	14	5	8	3	2	14	4	9	14	7	13	677
"182"	168	13	54	107	273	8	9	0	5	2	1	1	8	14	15	5	21	536
"183"	169	5	8	47	161	10	1	0	0	2	1	0	5	6	5	2	29	282
"184"	170	11	17	274	297	9	14	2	2	4	3	4	16	24	42	11	41	771
"185"	171	2	9	134	175	1	2	3	2	1	1	3	4	15	19	7	6	384
"186"	172	4	33	47	93	4	36	2	3	5	6	2	10	6	9	4	10	274
"187"	173	7	36	100	107	1	47	6	4	3	15	5	10	7	6	5	17	376
"188"	174	11	20	260	176	8	18	10	4	4	30	11	10	10	11	3	34	620
"189"	175	7	16	206	66	4	24	8	1	1	1	3	3	5	6	3	24	378
"190"	176	6	2	161	8	2	4	1	1	2	1	1	2	4	4	4	35	238
"191"	177	13	16	251	123	3	15	6	1	2	3	2	7	6	14	8	34	504
"192"	178	1	10	161	9	2	0	0	0	0	0	0	0	1	5	2	18	209
"193"	179	8	20	308	35	5	18	5	2	0	5	4	15	14	42	9	48	538
"194"	180	2	11	191	51	3	9	4	0	0	4	0	1	2	10	2	36	326
"195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	181	2	20	210	26	2	5	0	1	2	4	1	5	4	6	5	38	331
"199"	182	2	13	154	11	3	22	1	2	8	9	1	1	4	5	5	40	281
"200"	183	10	11	162	57	1	13	3	1	0	3	2	3	5	8	8	34	321
"201"	184	12	14	265	90	2	24	6	12	5	52	7	10	16	35	17	151	718
"202"	185	4	75	69	135	4	20	2	3	1	4	0	7	11	17	15	78	445
"203"	186	8	12	91	20	0	27	7	2	2	2	1	6	6	6	4	98	292
"204"	187	14	14	45	93	6	4	0	1	3	3	3	10	3	12	13	156	380
"205"	188	8	7	56	13	4	14	4	1	1	4	2	2	5	7	4	43	175
"206"	189	5	18	23	120	4	7	1	1	1	20	1	2	9	3	4	55	274
"207"	190	12	14	267	165	15	9	5	3	4	3	2	15	20	25	17	82	658
"208"	191	4	18	272	55	6	17	7	2	2	0	5	6	4	14	10	10	432
"209"	192	7	16	131	108	3	7	1	2	7	2	2	8	8	8	9	154	473
"210"	193	3	5	144	20	0	9	1	0	2	1	1	2	2	4	1	65	260
"211"	194	7	6	211	41	4	23	4	1	1	6	2	10	5	19	7	114	461
"212"	195	9	31	12	176	3	9	2	3	6	0	1	3	10	1	2	16	284
"213"	196	10	81	290	117	6	63	6	2	6	3	4	11	7	9	7	60	682
"214"	197	4	6	221	131	8	57	5	1	0	9	9	8	19	15	11	71	575
"215"	198	15	5	175	386	16	10	8	1	2	2	1	6	11	5	1	13	657
"216"	199	4	74	152	39	2	20	0	1	1	0	0	3	1	2	2	67	368
"217"	200	5	49	188	41	0	18	4	1	3	3	4	10	4	18	5	57	410
"218"	201	5	8	232	32	3	22	2	3	2	39	2	13	11	29	8	53	464
"219"	202	0	0	83	243	4	53	18	0	0	0	0	0	2	2	1	0	406
"220"	203	4	21	196	129	8	75	3	2	5	2	4	16	12	8	5	27	517
"221"	204	6	17	53	210	5	36	1	1	1	1	4	8	14	8	4	18	387
"222"	205	23	32	371	131	12	12	6	6	6	20	5	5	12	21	8	43	713
"223"	206	6	112	196	77	3	2	1	3	0	9	0	2	2	2	4	52	471
"224"	207	10	103	33	265	9	10	7	3	10	1	2	7	16	7	6	7	496
"225"	208	11	5	228	17	39	8	0	2	3	1	2	5	19	18	7	118	483
"226"	209	7	8	254	70	7	5	2	2	2	0	1	2	9	8	6	92	475
"227"	210	9	4	348	160	12	12	8	4	5	23	7	12	14	20	7	48	693
"228"	211	1	3	187	85	1	9	1	1	0	5	5	14	25	21	21	49	428
"229"	212	5	18	164	117	1	17	1	4	7	15	2	9	12	10	8	26	416
"230"	213	2	43	148	89	4	79	4	5	3	3	2	5	5	4	6	84	486
"231"	214	5	5	107	153	3	33	0	2	4	50	2	4	10	2	3	115	498
"232"	215	4	26	307	34	3	30	2	0	1	1	1	2	1	2	3	21	438
"233"	216	7	102	263	87	8	112	10	3	2	8	6	12	7	11	11	44	693
"234"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"236"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	217	11	75	129	41	3	49	7	0	1	2	4	11	5	6	8	12	364
"238"	218	10	109	116	59	4	68	3	6	3	1	3	2	3	0	8	24	419
"239"	219	4	2	177	5	2	10	0	0	0	0	1	3	0	10	0	28	242
"240"	220	4	15	169	69	5	14	5	0	1	2	3	4	6	5	8	6	316
"241"	221	10	87	75	230	6	66	3	1	5	3	2	6	4	3	6	21	528
"242"	222	6	14	198	148	12	27	7	4	3	8	3	16	5	14	9	33	507
"243"	223	10	4	267	95	7	11	0	3	5	2	2	7	10	17	12	53	505
"244"	224	15	5	23	178	4	2	0	1	3	0	0	2	1	3	0	152	389
"245"	225	7	23	54	274	48	9	0	0	4	2	2	11	10	7	5	76	532
"246"	226	108	11	153	22	1	5	1	2	0	4	2	11	7	15	4	20	366
"247"	227	119	4	162	22	3	5	3	0	3	0	1	3	4	4	2	9	344
"248"	228	97	11	211	110	15	7	7	2	5	23	5	6	8	7	8	54	576
"249"	229	110	26	45	170	5	9	20	3	1	25	1	3	8	5	4	15	450
"250"	230	45	9	37	122	8	9	9	10	237	11	8	0	12	6	3	30	556
"251"	231	134	28	100	195	11	17	6	8	17	3	3	10	2	9	2	3	548
"252"	232	7	17	419	28	1	25	3	3	3	9	2	6	6	19	6	31	585
"253"	233	8	21	268	91	5	1	2	3	1	11	1	4	6	25	10	22	479
"254"	234	6	27	266	172	12	73	77	7	9	10	10	22	25	31	20	44	811
"255"	235	27	28	407	43	8	23	23	10	5	2	3	10	14	21	6	81	711
"256"	236	21	37	236	108	11	8	4	3	2	1	8	53	16	26	8	55	597
"257"	237	11	11	357	142	9	19	6	6	7	4	9	18	30	34	14	26	703
"258"	238	9	18	191	228	14	4	3	101	8	3	2	10	9	17	7	8	632
"259"	239	7	22	147	257	5	52	3	3	4	7	2	3	14	16	6	8	556
"260"	240	18	15	386	100	6	29	5	10	4	4	6	25	16	23	8	38	693
"261"	241	9	11	174	13	1	4	2	1	0	1	0	2	7	20	5	95	345
"262"	242	0	13	158	45	5	12	0	5	0	0	2	6	28	11	6	79	370
"263"	243	18	15	373	61	9	14	3	3	3	2	0	9	14	18	5	15	562
"264"	244	7	20	228	46	2	15	2	3	6	30	4	7	10	23	5	13	421
"265"	245	4	42	11	87	1	2	3	12	138	2	0	2	5	4	4	1	318
"266"	246	7	35	286	101	4	33	2	2	4	0	0	9	4	5	1	9	502
"267"	247	9	17	167	45	4	228	4	7	2	4	5	7	1	9	3	5	517
"268"	248	12	138	51	197	6	46	6	3	7	19	6	6	6	2	8	5	518
"269"	249	8	9	349	70	5	11	5	6	2	12	1	5	11	12	9	37	552
"270"	250	4	10	307	118	6	11	4	6	4	7	7	18	32	22	13	29	598
"271"	NA	2412	7057	38388	26665	1549	13504	1062	NA	1128	1211	1405	NA	NA	2771	1656	12848	116598
"272"	NA	NA	NA	NA	NA	NA	NA	NA	782	NA	NA	NA	1959	2201	NA	NA	NA	NA
"273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
"275"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"276"	NA	0	4	34	16	0	3	0	0	0	0	0	0	0	0	0	11	68
"277"	NA	2412	7061	38422	26681	1549	13507	1062	782	1128	1211	1405	1959	2201	2771	1656	12859	116666
"278"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"279"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
