"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…78 - Kusheshwar Asthan (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of electors in Assembly constituency / Segment .. 198420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"25"	"15"	"14"	"75"	"375"	"23"	"33"	"9"	""	"5"	"66"	"19"	"44"	"5"	"30"	"55"	""	"739"	"-"	"739"	""	""
"26"	"16"	"15"	"11"	"26"	"0"	"3"	"5"	""	"24"	"391"	"10"	"8"	"14"	"13"	"10"	""	"515"	"-"	"515"	""	""
"27"	"17"	"16"	"5"	"47"	"4"	"7"	"4"	""	"16"	"372"	"18"	"8"	"10"	"13"	"7"	""	"511"	"-"	"511"	""	""
"28"	"18"	"17"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"-"	"0"	""	""
"29"	"19"	"18"	"89"	"26"	"1"	"174"	"2"	""	"3"	"7"	"2"	"4"	"2"	"13"	"23"	""	"346"	"-"	"346"	""	""
"30"	"20"	"19"	"21"	"130"	"9"	"226"	"12"	""	"1"	"4"	"8"	"11"	"8"	"23"	"38"	""	"491"	"-"	"491"	""	""
"31"	"21"	"20"	"64"	"37"	"4"	"246"	"11"	""	"2"	"4"	"2"	"7"	"11"	"6"	"16"	""	"410"	"-"	"410"	""	""
"32"	"22"	"21"	"49"	"67"	"3"	"117"	"4"	""	"5"	"28"	"8"	"9"	"5"	"10"	"24"	""	"329"	"-"	"329"	""	""
"33"	"23"	"22"	"80"	"79"	"12"	"170"	"13"	""	"9"	"6"	"2"	"8"	"11"	"23"	"54"	""	"467"	"-"	"467"	""	""
"34"	"24"	"23"	"21"	"61"	"8"	"14"	"4"	""	"7"	"10"	"15"	"213"	"23"	"19"	"32"	""	"427"	"-"	"427"	""	""
"35"	"25"	"24"	"82"	"95"	"2"	"146"	"6"	""	"1"	"12"	"12"	"37"	"7"	"8"	"30"	""	"438"	"-"	"438"	""	""
"36"	"26"	"25"	"157"	"182"	"8"	"299"	"9"	""	"2"	"4"	"6"	"8"	"4"	"12"	"28"	""	"719"	"-"	"719"	""	""
"37"	"27"	"26"	"78"	"190"	"7"	"170"	"8"	""	"1"	"1"	"3"	"2"	"6"	"24"	"38"	""	"528"	"-"	"528"	""	""
"38"	"28"	"27"	"168"	"339"	"14"	"167"	"1"	""	"5"	"3"	"3"	"14"	"4"	"18"	"53"	""	"789"	"-"	"789"	""	""
"39"	"29"	"28"	"60"	"151"	"4"	"163"	"9"	""	"3"	"2"	"4"	"17"	"11"	"78"	"59"	""	"561"	"-"	"561"	""	""
"40"	"30"	"29"	"155"	"13"	"3"	"139"	"1"	""	"1"	"3"	"2"	"1"	"1"	"5"	"12"	""	"336"	"-"	"336"	""	""
"41"	"31"	"29A"	"54"	"14"	"1"	"97"	"3"	""	"3"	"1"	"3"	"2"	"1"	"5"	"14"	""	"198"	"-"	"198"	""	""
"42"	"32"	"30"	"77"	"40"	"9"	"219"	"14"	""	"3"	"5"	"4"	"4"	"7"	"15"	"19"	""	"416"	"-"	"416"	""	""
"43"	"33"	"31"	"109"	"220"	"8"	"101"	"7"	""	"0"	"2"	"5"	"11"	"5"	"22"	"48"	""	"538"	"-"	"538"	""	""
"44"	"34"	"32"	"112"	"122"	"1"	"87"	"8"	""	"1"	"1"	"1"	"1"	"9"	"13"	"25"	""	"381"	"-"	"381"	""	""
"45"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"46"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"47"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"48"	"35"	"33"	"43"	"71"	"13"	"173"	"5"	""	"2"	"4"	"0"	"14"	"3"	"6"	"10"	""	"344"	"-"	"344"	""	""
"49"	"36"	"33A"	"90"	"92"	"10"	"159"	"4"	""	"4"	"4"	"2"	"14"	"1"	"5"	"15"	""	"400"	"-"	"400"	""	""
"50"	"37"	"34"	"109"	"224"	"14"	"161"	"9"	""	"2"	"2"	"3"	"6"	"8"	"9"	"33"	""	"580"	"-"	"580"	""	""
"51"	"38"	"35"	"101"	"113"	"5"	"106"	"13"	""	"1"	"1"	"4"	"3"	"25"	"10"	"27"	""	"409"	"-"	"409"	""	""
"52"	"39"	"35A"	"39"	"73"	"5"	"140"	"9"	""	"5"	"6"	"6"	"10"	"4"	"11"	"24"	""	"332"	"-"	"332"	""	""
"53"	"40"	"36"	"55"	"177"	"10"	"47"	"6"	""	"3"	"2"	"2"	"3"	"5"	"22"	"44"	""	"376"	"-"	"376"	""	""
"54"	"41"	"37"	"29"	"24"	"5"	"65"	"5"	""	"2"	"4"	"0"	"7"	"5"	"8"	"48"	""	"202"	"-"	"202"	""	""
"55"	"42"	"38"	"115"	"202"	"5"	"49"	"1"	""	"4"	"5"	"5"	"3"	"6"	"22"	"40"	""	"457"	""	"457"	""	""
"56"	"43"	"39"	"47"	"151"	"5"	"84"	"3"	""	"3"	"8"	"5"	"10"	"11"	"21"	"53"	""	"401"	"-"	"401"	""	""
"57"	"44"	"40"	"94"	"63"	"9"	"107"	"6"	""	"2"	"1"	"2"	"4"	"1"	"15"	"37"	""	"341"	"-"	"341"	""	""
"58"	"45"	"41"	"136"	"82"	"5"	"25"	"1"	""	"3"	"11"	"3"	"2"	"1"	"5"	"10"	""	"284"	"-"	"284"	""	""
"59"	"46"	"42"	"46"	"65"	"7"	"118"	"12"	""	"4"	"4"	"5"	"8"	"15"	"22"	"51"	""	"357"	"-"	"357"	""	""
"60"	"47"	"43"	"217"	"40"	"8"	"259"	"7"	""	"4"	"7"	"1"	"2"	"5"	"4"	"28"	""	"582"	"-"	"582"	""	""
"61"	"48"	"44"	"34"	"25"	"0"	"49"	"2"	""	"1"	"2"	"0"	"3"	"14"	"7"	"5"	""	"142"	"-"	"142"	""	""
"62"	"49"	"45"	"70"	"215"	"22"	"138"	"5"	""	"5"	"11"	"2"	"17"	"6"	"28"	"35"	""	"554"	"-"	"554"	""	""
"63"	"50"	"46"	"49"	"169"	"14"	"145"	"12"	""	"9"	"4"	"7"	"14"	"11"	"24"	"63"	""	"521"	"-"	"521"	""	""
"64"	"51"	"47"	"78"	"78"	"22"	"47"	"6"	""	"2"	"5"	"2"	"4"	"20"	"13"	"13"	""	"290"	"-"	"290"	""	""
"65"	"52"	"48"	"29"	"62"	"11"	"252"	"15"	""	"11"	"3"	"7"	"18"	"6"	"15"	"49"	""	"478"	"-"	"478"	""	""
"66"	"53"	"49"	"175"	"229"	"6"	"76"	"5"	""	"1"	"1"	"2"	"3"	"5"	"7"	"16"	""	"526"	"-"	"526"	""	""
"67"	"54"	"50"	"81"	"203"	"19"	"223"	"17"	""	"11"	"7"	"7"	"5"	"3"	"19"	"29"	""	"624"	"-"	"624"	""	""
"68"	"55"	"51"	"113"	"118"	"6"	"30"	"7"	""	"2"	"1"	"3"	"3"	"8"	"21"	"102"	""	"414"	"-"	"414"	""	""
"69"	"56"	"52"	"44"	"10"	"3"	"177"	"10"	""	"3"	"2"	"7"	"1"	"13"	"6"	"18"	""	"294"	"-"	"294"	""	""
"70"	"57"	"53"	"44"	"86"	"15"	"280"	"10"	""	"5"	"5"	"8"	"17"	"10"	"33"	"73"	""	"586"	"-"	"586"	""	""
"71"	"58"	"54"	"64"	"52"	"6"	"247"	"16"	""	"3"	"11"	"9"	"11"	"12"	"21"	"61"	""	"513"	"-"	"513"	""	""
"72"	"59"	"55"	"95"	"50"	"17"	"198"	"7"	""	"20"	"8"	"13"	"16"	"17"	"38"	"41"	""	"520"	"-"	"520"	""	""
"73"	"60"	"56"	"30"	"37"	"6"	"113"	"46"	""	"2"	"1"	"4"	"6"	"5"	"3"	"8"	""	"261"	"-"	"261"	""	""
"74"	"61"	"57"	"109"	"27"	"3"	"73"	"63"	""	"8"	"4"	"4"	"5"	"12"	"16"	"25"	""	"349"	"-"	"349"	""	""
"75"	"62"	"58"	"53"	"13"	"9"	"164"	"47"	""	"2"	"4"	"2"	"4"	"11"	"16"	"25"	""	"350"	"-"	"350"	""	""
"76"	"63"	"59"	"24"	"26"	"2"	"88"	"17"	""	"5"	"5"	"4"	"5"	"13"	"4"	"40"	""	"233"	"-"	"233"	""	""
"77"	"64"	"60"	"90"	"22"	"9"	"117"	"10"	""	"6"	"10"	"6"	"1"	"25"	"23"	"82"	""	"401"	"-"	"401"	""	""
"78"	"65"	"61"	"73"	"62"	"3"	"10"	"0"	""	"1"	"3"	"2"	"4"	"1"	"9"	"150"	""	"318"	"-"	"318"	""	""
"79"	"66"	"62"	"64"	"48"	"3"	"3"	"1"	""	"0"	"1"	"2"	"1"	"1"	"4"	"84"	""	"212"	"-"	"212"	""	""
"80"	"67"	"63"	"66"	"281"	"15"	"46"	"7"	""	"1"	"6"	"2"	"2"	"10"	"13"	"39"	""	"488"	"-"	"488"	""	""
"81"	"68"	"64"	"62"	"134"	"7"	"182"	"2"	""	"1"	"6"	"7"	"8"	"13"	"18"	"145"	""	"585"	"-"	"585"	""	""
"82"	"69"	"65"	"74"	"20"	"0"	"188"	"7"	""	"3"	"1"	"3"	"8"	"3"	"14"	"22"	""	"343"	"-"	"343"	""	""
"83"	"70"	"66"	"73"	"39"	"1"	"131"	"2"	""	"1"	"1"	"2"	"2"	"3"	"0"	"7"	""	"262"	"-"	"262"	""	""
"84"	"71"	"67"	"94"	"46"	"3"	"299"	"8"	""	"1"	"3"	"5"	"10"	"3"	"21"	"33"	""	"526"	"-"	"526"	""	""
"85"	"72"	"68"	"161"	"137"	"10"	"146"	"9"	""	"4"	"4"	"4"	"15"	"9"	"17"	"53"	""	"569"	"-"	"569"	""	""
"86"	"73"	"69"	"107"	"27"	"3"	"95"	"7"	""	"2"	"0"	"2"	"5"	"2"	"2"	"10"	""	"262"	"-"	"262"	""	""
"87"	"74"	"70"	"100"	"189"	"9"	"124"	"40"	""	"7"	"9"	"2"	"4"	"11"	"10"	"22"	""	"527"	"-"	"527"	""	""
"88"	"75"	"71"	"73"	"106"	"5"	"67"	"6"	""	"5"	"2"	"3"	"2"	"1"	"7"	"9"	""	"286"	"-"	"286"	""	""
"89"	"76"	"71A"	"81"	"92"	"3"	"52"	"2"	""	"1"	"3"	"1"	"5"	"3"	"9"	"10"	""	"262"	"-"	"262"	""	""
"90"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"91"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"93"	"77"	"72"	"87"	"81"	"6"	"126"	"5"	""	"4"	"10"	"2"	"7"	"6"	"29"	"50"	""	"413"	"-"	"413"	""	""
"94"	"78"	"73"	"75"	"47"	"5"	"212"	"8"	""	"1"	"8"	"0"	"11"	"4"	"17"	"21"	""	"409"	"-"	"409"	""	""
"95"	"79"	"74"	"40"	"17"	"2"	"177"	"18"	""	"8"	"8"	"6"	"12"	"19"	"27"	"17"	""	"351"	"-"	"351"	""	""
"96"	"80"	"75"	"63"	"59"	"5"	"124"	"1"	""	"1"	"2"	"2"	"2"	"2"	"3"	"3"	""	"267"	"-"	"267"	""	""
"97"	"81"	"76"	"49"	"59"	"5"	"239"	"21"	""	"7"	"5"	"3"	"5"	"2"	"9"	"4"	""	"408"	"-"	"408"	""	""
"98"	"82"	"77"	"106"	"89"	"14"	"216"	"5"	""	"1"	"0"	"4"	"1"	"5"	"1"	"11"	""	"453"	"-"	"453"	""	""
"99"	"83"	"78"	"113"	"94"	"5"	"132"	"9"	""	"3"	"4"	"6"	"7"	"5"	"24"	"48"	""	"450"	"-"	"450"	""	""
"100"	"84"	"79"	"65"	"109"	"5"	"113"	"6"	""	"2"	"3"	"1"	"2"	"7"	"2"	"33"	""	"348"	"-"	"348"	""	""
"101"	"85"	"79A"	"45"	"112"	"5"	"86"	"3"	""	"1"	"4"	"2"	"2"	"13"	"20"	"43"	""	"336"	"-"	"336"	""	""
"102"	"86"	"80"	"16"	"107"	"10"	"135"	"3"	""	"0"	"2"	"5"	"16"	"6"	"14"	"27"	""	"341"	"-"	"341"	""	""
"103"	"87"	"81"	"76"	"123"	"18"	"92"	"8"	""	"5"	"6"	"4"	"15"	"23"	"26"	"50"	""	"446"	"-"	"446"	""	""
"104"	"88"	"82"	"51"	"71"	"24"	"131"	"7"	""	"7"	"8"	"3"	"15"	"12"	"12"	"66"	""	"407"	"-"	"407"	""	""
"105"	"89"	"83"	"65"	"64"	"9"	"165"	"8"	""	"3"	"16"	"6"	"22"	"12"	"20"	"31"	""	"421"	"-"	"421"	""	""
"106"	"90"	"84"	"93"	"14"	"11"	"248"	"11"	""	"6"	"6"	"6"	"7"	"10"	"19"	"14"	""	"445"	"-"	"445"	""	""
"107"	"91"	"84A"	"111"	"80"	"8"	"115"	"16"	""	"3"	"5"	"2"	"6"	"1"	"9"	"23"	""	"379"	"-"	"379"	""	""
"108"	"92"	"85"	"69"	"131"	"12"	"228"	"11"	""	"7"	"9"	"10"	"6"	"15"	"17"	"41"	""	"556"	"-"	"556"	""	""
"109"	"93"	"86"	"36"	"48"	"2"	"187"	"2"	""	"3"	"2"	"3"	"6"	"7"	"11"	"33"	""	"340"	"-"	"340"	""	""
"110"	"94"	"87"	"18"	"40"	"8"	"104"	"11"	""	"4"	"3"	"3"	"7"	"1"	"8"	"14"	""	"221"	"-"	"221"	""	""
"111"	"95"	"88"	"151"	"66"	"8"	"194"	"8"	""	"0"	"1"	"5"	"5"	"3"	"12"	"9"	""	"462"	"-"	"462"	""	""
"112"	"96"	"89"	"104"	"112"	"9"	"116"	"5"	""	"2"	"4"	"7"	"2"	"3"	"13"	"34"	""	"411"	"-"	"411"	""	""
"113"	"97"	"90"	"179"	"67"	"52"	"119"	"3"	""	"6"	"5"	"8"	"17"	"9"	"18"	"53"	""	"536"	"-"	"536"	""	""
"114"	"98"	"91"	"91"	"202"	"13"	"89"	"6"	""	"5"	"6"	"3"	"6"	"0"	"5"	"22"	""	"448"	"-"	"448"	""	""
"115"	"99"	"92"	"50"	"265"	"9"	"67"	"6"	""	"3"	"3"	"3"	"3"	"4"	"10"	"24"	""	"447"	"-"	"447"	""	""
"116"	"100"	"93"	"110"	"57"	"8"	"137"	"11"	""	"2"	"7"	"2"	"14"	"9"	"12"	"42"	""	"411"	"-"	"411"	""	""
"117"	"101"	"94"	"45"	"33"	"4"	"93"	"9"	""	"2"	"1"	"2"	"3"	"1"	"13"	"16"	""	"222"	"-"	"222"	""	""
"118"	"102"	"95"	"124"	"16"	"0"	"77"	"5"	""	"0"	"1"	"2"	"6"	"2"	"8"	"9"	""	"250"	"-"	"250"	""	""
"119"	"103"	"96"	"122"	"22"	"1"	"93"	"4"	""	"1"	"0"	"3"	"0"	"0"	"4"	"4"	""	"254"	"-"	"254"	""	""
"120"	"104"	"97"	"79"	"170"	"8"	"156"	"5"	""	"2"	"4"	"2"	"2"	"4"	"9"	"14"	""	"455"	"-"	"455"	""	""
"121"	"105"	"98"	"122"	"182"	"4"	"95"	"4"	""	"1"	"6"	"3"	"1"	"5"	"7"	"19"	""	"449"	"-"	"449"	""	""
"122"	"106"	"99"	"55"	"251"	"22"	"284"	"23"	""	"11"	"4"	"5"	"9"	"15"	"23"	"36"	""	"738"	"-"	"738"	""	""
"123"	"107"	"100"	"148"	"224"	"8"	"55"	"9"	""	"4"	"4"	"4"	"3"	"5"	"5"	"11"	""	"480"	"-"	"480"	""	""
"124"	"108"	"101"	"194"	"66"	"3"	"195"	"8"	""	"6"	"0"	"2"	"4"	"1"	"10"	"13"	""	"502"	"-"	"502"	""	""
"125"	"109"	"102"	"278"	"67"	"6"	"166"	"14"	""	"4"	"7"	"2"	"5"	"11"	"17"	"35"	""	"612"	"-"	"612"	""	""
"126"	"110"	"103"	"44"	"73"	"126"	"68"	"11"	""	"1"	"1"	"2"	"2"	"1"	"0"	"5"	""	"334"	"-"	"334"	""	""
"127"	"111"	"104"	"24"	"50"	"7"	"86"	"21"	""	"5"	"1"	"3"	"2"	"3"	"11"	"26"	""	"239"	"-"	"239"	""	""
"128"	"112"	"105"	"64"	"216"	"93"	"260"	"19"	""	"4"	"5"	"7"	"7"	"3"	"12"	"13"	""	"703"	"-"	"703"	""	""
"129"	"113"	"106"	"70"	"334"	"51"	"76"	"41"	""	"7"	"4"	"6"	"14"	"2"	"9"	"34"	""	"648"	"-"	"648"	""	""
"130"	"114"	"107"	"57"	"54"	"3"	"222"	"23"	""	"3"	"4"	"5"	"11"	"9"	"25"	"32"	""	"448"	"-"	"448"	""	""
"131"	"115"	"108"	"55"	"94"	"9"	"370"	"25"	""	"12"	"6"	"7"	"18"	"11"	"33"	"22"	""	"662"	"-"	"662"	""	""
"132"	"116"	"109"	"49"	"220"	"8"	"85"	"17"	""	"2"	"1"	"1"	"5"	"2"	"9"	"33"	""	"432"	"-"	"432"	""	""
"133"	"117"	"110"	"57"	"226"	"12"	"75"	"3"	""	"3"	"0"	"4"	"6"	"4"	"17"	"84"	""	"491"	"-"	"491"	""	""
"134"	"118"	"111"	"38"	"97"	"5"	"43"	"4"	""	"2"	"1"	"1"	"0"	"1"	"9"	"42"	""	"243"	"-"	"243"	""	""
"135"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"136"	""	""	"Dr. Ashok Kumar"	"Ram Chandra Paswan"	"Ram Sudhari
Sada"	"Shashi Bhushan
Hajari"	"Sangeeta Bharti"	""	"Amr endra Kumar Sada"	"Ganesh Kumar"	"Mahendra Kumar Paswan"	"Lal Bahadur
Sada"	"Krishna Kant Ram"	"Ram Bahadur Bharti"	"Ramottar Paswan"	""	""	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	"15"	"16"	"17"	"18"	""
"138"	"119"	"112"	"50"	"137"	"5"	"76"	"1"	""	"1"	"3"	"0"	"4"	"3"	"7"	"18"	""	"305"	"-"	"305"	""	""
"139"	"120"	"113"	"27"	"179"	"12"	"120"	"9"	""	"6"	"8"	"5"	"10"	"5"	"22"	"38"	""	"441"	"-"	"441"	""	""
"140"	"121"	"114"	"49"	"140"	"9"	"93"	"5"	""	"3"	"3"	"8"	"12"	"6"	"23"	"51"	""	"402"	"-"	"402"	""	""
"141"	"122"	"115"	"37"	"210"	"12"	"59"	"5"	""	"7"	"6"	"4"	"2"	"15"	"12"	"44"	""	"413"	"-"	"413"	""	""
"142"	"123"	"116"	"18"	"103"	"3"	"95"	"5"	""	"4"	"2"	"2"	"3"	"4"	"13"	"15"	""	"267"	"-"	"267"	""	""
"143"	"124"	"117"	"109"	"60"	"5"	"162"	"6"	""	"2"	"2"	"1"	"4"	"4"	"13"	"22"	""	"390"	"-"	"390"	""	""
"144"	"125"	"118"	"59"	"194"	"12"	"94"	"8"	""	"5"	"5"	"5"	"5"	"12"	"26"	"33"	""	"458"	"-"	"458"	""	""
"145"	"126"	"119"	"37"	"269"	"16"	"211"	"8"	""	"4"	"6"	"2"	"6"	"7"	"11"	"25"	""	"602"	"-"	"602"	""	""
"146"	"127"	"120"	"69"	"218"	"16"	"122"	"5"	""	"3"	"0"	"1"	"2"	"3"	"7"	"21"	""	"467"	"-"	"467"	""	""
"147"	"128"	"121"	"31"	"186"	"4"	"13"	"1"	""	"0"	"2"	"1"	"0"	"0"	"5"	"6"	""	"249"	"-"	"249"	""	""
"148"	"129"	"122"	"12"	"8"	"2"	"114"	"6"	""	"2"	"0"	"2"	"0"	"0"	"5"	"1"	""	"152"	"-"	"152"	""	""
"149"	"130"	"123"	"52"	"116"	"16"	"295"	"8"	""	"2"	"3"	"9"	"8"	"6"	"14"	"65"	""	"594"	"-"	"594"	""	""
"150"	"131"	"124"	"152"	"77"	"10"	"144"	"18"	""	"4"	"2"	"11"	"13"	"12"	"22"	"58"	""	"523"	"-"	"523"	""	""
"151"	"132"	"125"	"119"	"156"	"9"	"183"	"18"	""	"10"	"1"	"6"	"8"	"12"	"28"	"35"	""	"585"	"-"	"585"	""	""
"152"	"133"	"126"	"196"	"71"	"4"	"156"	"2"	""	"2"	"2"	"1"	"17"	"4"	"9"	"47"	""	"511"	"-"	"511"	""	""
"153"	"134"	"127"	"84"	"33"	"5"	"284"	"11"	""	"2"	"3"	"7"	"19"	"8"	"21"	"60"	""	"537"	"-"	"537"	""	""
"154"	"135"	"128"	"146"	"174"	"13"	"69"	"5"	""	"2"	"7"	"5"	"4"	"9"	"17"	"22"	""	"473"	"-"	"473"	""	""
"155"	"136"	"129"	"63"	"203"	"17"	"58"	"8"	""	"5"	"2"	"2"	"1"	"5"	"3"	"13"	""	"380"	"-"	"380"	""	""
"156"	"137"	"130"	"86"	"135"	"7"	"56"	"3"	""	"2"	"5"	"3"	"5"	"7"	"12"	"21"	""	"342"	"-"	"342"	""	""
"157"	"138"	"131"	"84"	"231"	"15"	"57"	"10"	""	"3"	"3"	"0"	"3"	"3"	"10"	"35"	""	"454"	"-"	"454"	""	""
"158"	"139"	"132"	"68"	"163"	"4"	"31"	"3"	""	"0"	"0"	"4"	"3"	"3"	"10"	"48"	""	"337"	"-"	"337"	""	""
