"Booth.No."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"Total.of.valid.votes"
"32"	"28"	"204"	"57"	"8"	"11"	"0"	"19"	"107"	"7"	"4"	"2"	"1"	"1"	"8"	"6"	"435"
"33"	"29"	"155"	"205"	"6"	"10"	"9"	"37"	"326"	"16"	"10"	"5"	"8"	"10"	"8"	"16"	"821"
"34"	"30"	"355"	"22"	"5"	"186"	"2"	"1"	"7"	"10"	"7"	"1"	"6"	"5"	"26"	"10"	"643"
"35"	"31"	"427"	"52"	"7"	"65"	"2"	"2"	"41"	"3"	"4"	"5"	"2"	"10"	"71"	"8"	"699"
"36"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"37"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"39"	"32"	"166"	"74"	"4"	"8"	"3"	"22"	"162"	"6"	"7"	"1"	"7"	"4"	"7"	"12"	"483"
"40"	"33"	"215"	"22"	"0"	"11"	"2"	"10"	"124"	"6"	"5"	"1"	"3"	"6"	"9"	"10"	"424"
"41"	"34"	"136"	"154"	"7"	"1"	"0"	"11"	"81"	"4"	"5"	"5"	"3"	"4"	"11"	"15"	"437"
"42"	"35"	"80"	"131"	"3"	"5"	"0"	"17"	"223"	"25"	"9"	"3"	"6"	"3"	"9"	"14"	"528"
"43"	"36"	"93"	"312"	"14"	"15"	"0"	"12"	"83"	"7"	"4"	"6"	"4"	"3"	"6"	"10"	"569"
"44"	"37"	"301"	"50"	"4"	"72"	"1"	"4"	"49"	"11"	"5"	"2"	"11"	"5"	"8"	"8"	"531"
"45"	"38"	"77"	"157"	"12"	"12"	"4"	"18"	"173"	"14"	"6"	"9"	"2"	"12"	"19"	"18"	"533"
"46"	"39"	"134"	"270"	"11"	"11"	"6"	"9"	"71"	"4"	"7"	"4"	"0"	"1"	"2"	"5"	"535"
"47"	"40"	"121"	"345"	"4"	"9"	"3"	"21"	"142"	"7"	"5"	"4"	"5"	"7"	"8"	"21"	"702"
"48"	"41"	"34"	"247"	"9"	"4"	"3"	"35"	"390"	"11"	"13"	"11"	"4"	"6"	"18"	"16"	"801"
"49"	"42"	"336"	"34"	"2"	"8"	"1"	"9"	"80"	"2"	"4"	"1"	"3"	"0"	"15"	"13"	"508"
"50"	"43"	"111"	"71"	"0"	"16"	"0"	"7"	"152"	"10"	"4"	"2"	"2"	"2"	"8"	"9"	"394"
"51"	"44"	"22"	"146"	"2"	"9"	"0"	"1"	"65"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"251"
"52"	"45"	"210"	"247"	"17"	"10"	"0"	"11"	"55"	"5"	"10"	"2"	"8"	"9"	"26"	"5"	"615"
"53"	"46"	"25"	"321"	"13"	"7"	"0"	"9"	"155"	"5"	"1"	"2"	"1"	"2"	"3"	"2"	"546"
"54"	"47"	"82"	"198"	"5"	"18"	"3"	"10"	"179"	"10"	"8"	"4"	"2"	"1"	"11"	"11"	"542"
"55"	"48"	"435"	"84"	"5"	"45"	"1"	"4"	"29"	"1"	"2"	"0"	"1"	"1"	"29"	"10"	"647"
"56"	"49"	"402"	"165"	"9"	"72"	"4"	"4"	"14"	"0"	"2"	"1"	"2"	"3"	"46"	"7"	"731"
"57"	"50"	"272"	"153"	"5"	"8"	"1"	"6"	"82"	"7"	"4"	"3"	"4"	"7"	"85"	"18"	"655"
"58"	"51"	"73"	"277"	"2"	"26"	"2"	"7"	"94"	"3"	"4"	"1"	"3"	"1"	"10"	"6"	"509"
"59"	"52"	"7"	"203"	"10"	"3"	"0"	"12"	"133"	"4"	"3"	"2"	"5"	"1"	"9"	"8"	"400"
"60"	"53"	"7"	"308"	"2"	"9"	"1"	"9"	"83"	"1"	"1"	"2"	"2"	"0"	"5"	"8"	"438"
"61"	"54"	"55"	"8"	"12"	"418"	"9"	"6"	"1"	"2"	"1"	"1"	"6"	"3"	"104"	"6"	"632"
"62"	"55"	"215"	"31"	"8"	"489"	"10"	"3"	"5"	"6"	"11"	"7"	"4"	"7"	"42"	"34"	"872"
"63"	"56"	"143"	"45"	"8"	"311"	"9"	"6"	"0"	"8"	"4"	"3"	"6"	"5"	"242"	"29"	"819"
"64"	"57"	"243"	"2"	"0"	"27"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"24"	"7"	"306"
"65"	"58"	"275"	"9"	"1"	"15"	"3"	"0"	"1"	"0"	"5"	"0"	"3"	"3"	"74"	"6"	"395"
"66"	"59"	"191"	"16"	"8"	"105"	"2"	"1"	"1"	"6"	"7"	"0"	"9"	"14"	"8"	"5"	"373"
"67"	"60"	"279"	"9"	"9"	"238"	"7"	"2"	"1"	"6"	"9"	"1"	"7"	"21"	"8"	"21"	"618"
"68"	"61"	"107"	"151"	"4"	"8"	"7"	"12"	"219"	"14"	"14"	"7"	"14"	"21"	"86"	"42"	"706"
"69"	"62"	"162"	"5"	"3"	"6"	"0"	"6"	"2"	"1"	"6"	"0"	"4"	"2"	"362"	"16"	"575"
"70"	"63"	"451"	"246"	"5"	"50"	"5"	"2"	"24"	"5"	"6"	"2"	"6"	"5"	"12"	"12"	"831"
"71"	"64"	"463"	"97"	"7"	"46"	"2"	"2"	"7"	"1"	"3"	"2"	"4"	"12"	"2"	"6"	"654"
"72"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"73"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"75"	"65"	"738"	"11"	"2"	"67"	"7"	"2"	"4"	"7"	"6"	"4"	"8"	"8"	"35"	"62"	"961"
"76"	"66"	"445"	"11"	"1"	"71"	"3"	"0"	"3"	"3"	"1"	"0"	"0"	"14"	"0"	"2"	"554"
"77"	"67"	"143"	"304"	"5"	"7"	"1"	"1"	"70"	"11"	"2"	"3"	"0"	"2"	"9"	"17"	"575"
"78"	"68"	"615"	"217"	"9"	"93"	"0"	"1"	"0"	"3"	"2"	"3"	"2"	"7"	"5"	"13"	"970"
"79"	"69"	"297"	"164"	"14"	"135"	"2"	"4"	"6"	"4"	"2"	"0"	"2"	"5"	"4"	"20"	"659"
"80"	"70"	"520"	"115"	"5"	"111"	"2"	"2"	"13"	"10"	"4"	"1"	"7"	"12"	"4"	"7"	"813"
"81"	"71"	"554"	"38"	"7"	"95"	"3"	"3"	"20"	"6"	"2"	"1"	"0"	"14"	"3"	"4"	"750"
"82"	"72"	"341"	"3"	"4"	"115"	"3"	"1"	"8"	"1"	"2"	"0"	"1"	"11"	"2"	"11"	"503"
"83"	"73"	"498"	"13"	"4"	"191"	"3"	"2"	"2"	"1"	"6"	"2"	"4"	"4"	"1"	"9"	"740"
"84"	"74"	"445"	"7"	"4"	"148"	"0"	"0"	"2"	"5"	"4"	"1"	"3"	"5"	"2"	"15"	"641"
"85"	"75"	"220"	"139"	"11"	"275"	"5"	"9"	"48"	"4"	"11"	"9"	"7"	"20"	"18"	"24"	"800"
"86"	"76"	"349"	"10"	"10"	"258"	"4"	"3"	"2"	"7"	"5"	"8"	"4"	"9"	"8"	"35"	"712"
"87"	"77"	"351"	"12"	"7"	"63"	"2"	"1"	"1"	"4"	"8"	"1"	"5"	"4"	"1"	"20"	"480"
"88"	"78"	"485"	"12"	"9"	"77"	"2"	"0"	"5"	"0"	"10"	"1"	"5"	"3"	"23"	"38"	"670"
"89"	"79"	"450"	"134"	"2"	"19"	"3"	"2"	"15"	"5"	"6"	"2"	"7"	"0"	"9"	"23"	"677"
"90"	"80"	"289"	"74"	"10"	"58"	"1"	"4"	"8"	"8"	"7"	"3"	"3"	"9"	"14"	"29"	"517"
"91"	"81"	"237"	"172"	"6"	"62"	"3"	"2"	"10"	"6"	"2"	"3"	"0"	"2"	"9"	"7"	"521"
"92"	"82"	"616"	"24"	"6"	"36"	"4"	"3"	"3"	"1"	"3"	"4"	"3"	"6"	"6"	"15"	"730"
"93"	"83"	"297"	"11"	"4"	"186"	"7"	"1"	"11"	"2"	"3"	"3"	"7"	"5"	"251"	"45"	"833"
"94"	"84"	"332"	"66"	"6"	"33"	"2"	"8"	"137"	"6"	"10"	"6"	"2"	"12"	"200"	"23"	"843"
"95"	"85"	"493"	"8"	"6"	"50"	"1"	"1"	"2"	"2"	"5"	"2"	"2"	"6"	"113"	"15"	"706"
"96"	"86"	"141"	"136"	"11"	"4"	"0"	"4"	"77"	"1"	"2"	"1"	"2"	"2"	"41"	"7"	"429"
"97"	"87"	"153"	"87"	"6"	"32"	"3"	"9"	"244"	"13"	"1"	"3"	"3"	"5"	"20"	"9"	"588"
"98"	"88"	"112"	"145"	"4"	"10"	"1"	"21"	"222"	"8"	"3"	"2"	"6"	"1"	"12"	"20"	"567"
"99"	"89"	"307"	"176"	"3"	"42"	"2"	"3"	"104"	"7"	"8"	"3"	"2"	"5"	"7"	"13"	"682"
"100"	"90"	"221"	"99"	"2"	"41"	"3"	"4"	"91"	"3"	"4"	"1"	"1"	"4"	"1"	"6"	"481"
"101"	"91"	"73"	"49"	"9"	"348"	"7"	"4"	"2"	"5"	"3"	"3"	"5"	"3"	"8"	"17"	"536"
"102"	"92"	"140"	"95"	"9"	"392"	"13"	"6"	"7"	"5"	"4"	"3"	"6"	"5"	"4"	"7"	"696"
"103"	"93"	"121"	"32"	"14"	"290"	"8"	"0"	"0"	"7"	"2"	"2"	"2"	"5"	"2"	"5"	"490"
"104"	"94"	"431"	"86"	"6"	"52"	"2"	"0"	"15"	"3"	"3"	"0"	"3"	"1"	"7"	"19"	"628"
"105"	"95"	"50"	"12"	"10"	"373"	"10"	"1"	"2"	"6"	"1"	"1"	"6"	"7"	"2"	"6"	"487"
"106"	"96"	"118"	"408"	"11"	"80"	"9"	"1"	"52"	"4"	"1"	"3"	"2"	"0"	"0"	"5"	"694"
"107"	"97"	"137"	"6"	"5"	"129"	"3"	"2"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"290"
"108"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"109"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"110"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"111"	"98"	"475"	"13"	"14"	"233"	"5"	"3"	"4"	"4"	"8"	"1"	"2"	"1"	"3"	"8"	"774"
"112"	"99"	"386"	"40"	"4"	"84"	"5"	"5"	"20"	"7"	"1"	"0"	"2"	"3"	"5"	"4"	"566"
"113"	"100"	"663"	"6"	"2"	"16"	"1"	"0"	"2"	"2"	"4"	"2"	"5"	"3"	"7"	"8"	"721"
"114"	"101"	"312"	"5"	"2"	"11"	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"43"	"1"	"8"	"388"
"115"	"102"	"129"	"34"	"1"	"180"	"6"	"2"	"4"	"3"	"3"	"3"	"6"	"14"	"5"	"10"	"400"
"116"	"103"	"297"	"163"	"9"	"78"	"2"	"1"	"2"	"5"	"2"	"1"	"2"	"7"	"8"	"1"	"578"
"117"	"104"	"375"	"8"	"3"	"48"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"35"	"1"	"16"	"493"
"118"	"104A"	"333"	"5"	"4"	"21"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"16"	"1"	"5"	"389"
"119"	"105"	"512"	"16"	"8"	"79"	"2"	"3"	"3"	"7"	"6"	"3"	"3"	"25"	"2"	"33"	"702"
"120"	"106"	"515"	"15"	"4"	"87"	"5"	"2"	"1"	"9"	"8"	"1"	"2"	"25"	"3"	"22"	"699"
"121"	"107"	"227"	"266"	"12"	"22"	"3"	"4"	"10"	"6"	"6"	"0"	"4"	"2"	"2"	"37"	"601"
"122"	"108"	"235"	"122"	"1"	"31"	"2"	"2"	"32"	"3"	"8"	"2"	"8"	"3"	"2"	"30"	"481"
"123"	"109"	"53"	"620"	"3"	"18"	"1"	"4"	"39"	"6"	"19"	"1"	"3"	"0"	"8"	"15"	"790"
"124"	"110"	"465"	"90"	"7"	"59"	"2"	"34"	"12"	"12"	"8"	"5"	"8"	"9"	"16"	"22"	"749"
"125"	"111"	"27"	"380"	"6"	"12"	"0"	"2"	"9"	"0"	"1"	"0"	"1"	"1"	"7"	"8"	"454"
"126"	"112"	"25"	"449"	"4"	"12"	"0"	"2"	"20"	"2"	"4"	"3"	"1"	"0"	"5"	"15"	"542"
"127"	"113"	"225"	"13"	"2"	"190"	"2"	"6"	"0"	"2"	"2"	"2"	"4"	"1"	"3"	"3"	"455"
"128"	"114"	"426"	"160"	"9"	"37"	"4"	"15"	"41"	"15"	"16"	"4"	"6"	"5"	"4"	"6"	"748"
"129"	"115"	"35"	"310"	"10"	"72"	"3"	"2"	"67"	"1"	"3"	"3"	"8"	"3"	"3"	"11"	"531"
"130"	"115A"	"74"	"219"	"6"	"33"	"0"	"2"	"15"	"4"	"2"	"0"	"2"	"1"	"1"	"3"	"362"
"131"	"116"	"92"	"440"	"7"	"12"	"7"	"4"	"85"	"6"	"43"	"0"	"6"	"6"	"8"	"10"	"726"
"132"	"117"	"108"	"242"	"2"	"19"	"3"	"1"	"32"	"1"	"25"	"0"	"4"	"0"	"2"	"3"	"442"
"133"	"118"	"56"	"448"	"5"	"8"	"30"	"6"	"51"	"4"	"8"	"1"	"3"	"1"	"3"	"4"	"628"
"134"	"119"	"41"	"346"	"2"	"16"	"7"	"7"	"132"	"3"	"3"	"2"	"2"	"1"	"3"	"3"	"568"
"135"	"120"	"324"	"76"	"2"	"8"	"0"	"1"	"30"	"1"	"1"	"2"	"1"	"2"	"2"	"15"	"465"
"136"	"121"	"108"	"164"	"1"	"29"	"2"	"3"	"38"	"2"	"1"	"1"	"4"	"5"	"2"	"5"	"365"
"137"	"122"	"26"	"337"	"1"	"7"	"0"	"2"	"85"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"463"
"138"	"123"	"380"	"95"	"4"	"62"	"3"	"0"	"8"	"3"	"4"	"6"	"4"	"36"	"8"	"15"	"628"
"139"	"124"	"487"	"71"	"12"	"68"	"6"	"8"	"14"	"16"	"10"	"19"	"10"	"12"	"11"	"32"	"776"
"140"	"125"	"49"	"266"	"1"	"13"	"6"	"1"	"94"	"1"	"2"	"0"	"2"	"1"	"1"	"4"	"441"
"141"	"125A"	"29"	"224"	"1"	"15"	"0"	"1"	"32"	"1"	"1"	"1"	"2"	"0"	"1"	"4"	"312"
"142"	"126"	"50"	"245"	"2"	"18"	"0"	"1"	"36"	"1"	"0"	"0"	"4"	"0"	"5"	"1"	"363"
"143"	"127"	"26"	"178"	"2"	"14"	"0"	"0"	"44"	"0"	"1"	"0"	"3"	"1"	"3"	"2"	"274"
"144"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"145"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"146"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"147"	"128"	"27"	"299"	"2"	"24"	"0"	"0"	"71"	"10"	"1"	"3"	"2"	"0"	"4"	"3"	"446"
"148"	"129"	"164"	"79"	"5"	"47"	"0"	"1"	"5"	"1"	"3"	"0"	"3"	"0"	"6"	"3"	"317"
"149"	"130"	"142"	"288"	"6"	"53"	"1"	"2"	"42"	"7"	"9"	"4"	"4"	"5"	"6"	"2"	"571"
"150"	"131"	"268"	"108"	"1"	"30"	"1"	"3"	"18"	"2"	"2"	"2"	"4"	"1"	"60"	"10"	"510"
"151"	"132"	"243"	"6"	"3"	"55"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"11"	"5"	"327"
"152"	"133"	"348"	"44"	"2"	"104"	"1"	"0"	"3"	"1"	"3"	"4"	"2"	"14"	"11"	"10"	"547"
"153"	"134"	"250"	"3"	"15"	"55"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"4"	"3"	"336"
"154"	"135"	"124"	"21"	"2"	"56"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"24"	"1"	"3"	"235"
"155"	"136"	"54"	"104"	"1"	"25"	"0"	"1"	"11"	"1"	"2"	"1"	"2"	"1"	"15"	"1"	"219"
"156"	"137"	"74"	"458"	"6"	"42"	"0"	"1"	"17"	"4"	"3"	"0"	"4"	"5"	"16"	"5"	"635"
"157"	"138"	"30"	"160"	"1"	"2"	"1"	"4"	"131"	"1"	"1"	"0"	"0"	"2"	"1"	"4"	"338"
"158"	"139"	"43"	"250"	"4"	"14"	"1"	"3"	"29"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"350"
"159"	"140"	"106"	"224"	"3"	"76"	"0"	"0"	"12"	"2"	"2"	"2"	"0"	"5"	"3"	"4"	"439"
"160"	"141"	"88"	"205"	"1"	"21"	"0"	"0"	"16"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"334"
"161"	"142"	"222"	"14"	"3"	"44"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"10"	"1"	"2"	"301"
"162"	"143"	"380"	"197"	"1"	"53"	"0"	"1"	"5"	"1"	"1"	"1"	"2"	"2"	"11"	"5"	"660"
"163"	"144"	"232"	"59"	"4"	"109"	"1"	"1"	"4"	"1"	"2"	"2"	"3"	"2"	"15"	"10"	"445"
"164"	"145"	"236"	"0"	"1"	"49"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"9"	"3"	"6"	"309"
"165"	"146"	"412"	"5"	"5"	"50"	"0"	"0"	"1"	"2"	"3"	"0"	"3"	"76"	"0"	"13"	"570"
"166"	"147"	"303"	"33"	"4"	"26"	"0"	"1"	"1"	"2"	"8"	"1"	"4"	"10"	"1"	"14"	"408"
"167"	"148"	"281"	"266"	"4"	"44"	"0"	"1"	"15"	"1"	"2"	"1"	"2"	"11"	"4"	"4"	"636"
"168"	"149"	"792"	"20"	"6"	"83"	"1"	"0"	"3"	"5"	"2"	"3"	"3"	"14"	"6"	"5"	"943"
"169"	"150"	"335"	"135"	"11"	"178"	"11"	"8"	"17"	"12"	"12"	"6"	"18"	"4"	"18"	"41"	"806"
"170"	"151"	"254"	"80"	"3"	"95"	"1"	"2"	"3"	"2"	"8"	"2"	"5"	"2"	"4"	"15"	"476"
"171"	"151A"	"174"	"63"	"11"	"146"	"3"	"3"	"9"	"11"	"6"	"0"	"4"	"9"	"2"	"6"	"447"
"172"	"152"	"118"	"7"	"5"	"405"	"5"	"3"	"2"	"8"	"1"	"5"	"9"	"9"	"11"	"21"	"609"
"173"	"153"	"56"	"31"	"7"	"475"	"9"	"3"	"7"	"7"	"2"	"4"	"8"	"18"	"7"	"10"	"644"
"174"	"154"	"121"	"127"	"16"	"389"	"7"	"7"	"23"	"4"	"5"	"8"	"15"	"12"	"5"	"26"	"765"
"175"	"155"	"66"	"48"	"18"	"572"	"10"	"6"	"2"	"8"	"8"	"9"	"23"	"11"	"10"	"14"	"805"
"176"	"156"	"38"	"4"	"8"	"293"	"1"	"6"	"0"	"4"	"4"	"2"	"0"	"9"	"7"	"0"	"376"
"177"	"157"	"52"	"34"	"10"	"439"	"5"	"4"	"3"	"3"	"1"	"2"	"4"	"13"	"2"	"4"	"576"
"178"	"158"	"173"	"50"	"9"	"373"	"5"	"2"	"3"	"4"	"5"	"3"	"5"	"8"	"9"	"16"	"665"
"179"	"159"	"522"	"140"	"7"	"106"	"4"	"3"	"17"	"1"	"5"	"2"	"4"	"4"	"1"	"12"	"828"
"180"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"
"181"	""	"Zakir Hussain Khan"	"Narayan Kumar Jha"	"Mahboob Alam"	"Moidur Rahman"	"Shiv Shankar Das"	"Sushil Kumar Biswas"	"Ajay Kumar Jha"	"Anil Kumar"	"Gagan Kumar Jha"	"Nasim"	"Pramod Singh Yadav"	"Manzoor Alam"	"Mohammad Haider Yasin"	"Sita Ram Bishwas"	""
"182"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"9"
"183"	"160"	"29"	"255"	"11"	"230"	"6"	"7"	"85"	"3"	"3"	"3"	"2"	"3"	"6"	"9"	"652"
"184"	"161"	"162"	"70"	"7"	"343"	"15"	"4"	"5"	"9"	"8"	"9"	"5"	"12"	"15"	"29"	"693"
"185"	"162"	"164"	"19"	"4"	"9"	"0"	"2"	"6"	"1"	"5"	"1"	"4"	"464"	"9"	"26"	"714"
"186"	"163"	"770"	"26"	"4"	"47"	"2"	"4"	"3"	"10"	"7"	"0"	"11"	"39"	"6"	"55"	"984"
"187"	"164"	"344"	"24"	"3"	"89"	"4"	"0"	"4"	"9"	"4"	"4"	"8"	"8"	"3"	"15"	"519"
"188"	"165"	"657"	"22"	"7"	"201"	"6"	"6"	"7"	"6"	"7"	"0"	"4"	"32"	"1"	"12"	"968"
"189"	"166"	"339"	"353"	"11"	"54"	"3"	"20"	"123"	"13"	"15"	"10"	"14"	"27"	"21"	"26"	"1029"
"190"	"167"	"117"	"115"	"8"	"297"	"2"	"0"	"14"	"7"	"3"	"2"	"6"	"61"	"7"	"26"	"665"
"191"	"168"	"96"	"225"	"15"	"41"	"2"	"16"	"222"	"9"	"9"	"7"	"6"	"7"	"3"	"31"	"689"
"192"	"169"	"342"	"91"	"11"	"119"	"12"	"5"	"27"	"13"	"20"	"6"	"19"	"15"	"6"	"57"	"743"
