"i.z..Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"[ fu; e 56 ¼7½ nsf[ k,  ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"100&  cj kSy h  fo/kku  l Hkk fuokZpu {ks= esa fcgkj  fo/kku l Hkk ds fy ; s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"26"	"15"	"40"	"27"	"8"	"77"	"238"	"5"	"0"	"1"	"2"	"0"	"2"	"2"	"7"	"7"	"416"	"0"	"416"	""
"27"	"16"	"26"	"22"	"8"	"142"	"235"	"5"	"2"	"3"	"3"	"7"	"6"	"2"	"6"	"8"	"475"	"0"	"475"	""
"28"	"17"	"49"	"38"	"1"	"164"	"101"	"10"	"3"	"0"	"4"	"4"	"1"	"5"	"19"	"5"	"404"	"0"	"404"	""
"29"	"18"	"8"	"71"	"1"	"201"	"50"	"3"	"3"	"2"	"4"	"2"	"4"	"7"	"44"	"9"	"409"	"0"	"409"	""
"30"	"19"	"17"	"3"	"7"	"250"	"82"	"74"	"5"	"0"	"2"	"0"	"1"	"4"	"3"	"5"	"453"	"0"	"453"	""
"31"	"20"	"29"	"26"	"7"	"159"	"307"	"34"	"11"	"4"	"6"	"6"	"1"	"4"	"11"	"20"	"625"	"0"	"625"	""
"32"	"21"	"2"	"2"	"11"	"174"	"24"	"30"	"3"	"0"	"1"	"1"	"2"	"0"	"2"	"3"	"255"	"0"	"255"	""
"33"	"22"	"2"	"3"	"1"	"125"	"131"	"42"	"1"	"0"	"3"	"4"	"2"	"1"	"10"	"4"	"329"	"0"	"329"	""
"34"	"23"	"5"	"9"	"22"	"43"	"244"	"15"	"8"	"5"	"6"	"1"	"1"	"1"	"1"	"7"	"368"	"0"	"368"	""
"35"	"24"	"8"	"16"	"16"	"65"	"226"	"15"	"3"	"7"	"4"	"5"	"3"	"5"	"2"	"6"	"381"	"0"	"381"	""
"36"	"25"	"14"	"26"	"51"	"22"	"136"	"14"	"2"	"5"	"4"	"3"	"0"	"3"	"4"	"7"	"291"	"0"	"291"	""
"37"	"26"	"18"	"71"	"15"	"83"	"485"	"14"	"3"	"6"	"3"	"5"	"3"	"0"	"3"	"9"	"718"	"0"	"718"	""
"38"	"27"	"18"	"171"	"24"	"287"	"159"	"15"	"18"	"5"	"11"	"4"	"10"	"7"	"9"	"12"	"750"	"0"	"750"	""
"39"	"28"	"13"	"129"	"99"	"54"	"249"	"14"	"10"	"7"	"10"	"4"	"8"	"12"	"14"	"47"	"670"	"0"	"670"	""
"40"	"; ksx"	"249"	"614"	"271"	"1846"	"2667"	"290"	"72"	"45"	"63"	"46"	"44"	"53"	"135"	"149"	"6544"	"0"	"6544"	""
"41"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"383"	"390"	"92"	"2518"	"2822"	"116"	"310"	"64"	"74"	"60"	"56"	"348"	"432"	"172"	"7837"	"0"	"7837"	""
"42"	"d qy  ; ksx"	"632"	"1004"	"363"	"4364"	"5489"	"406"	"382"	"109"	"137"	"106"	"100"	"401"	"567"	"321"	"14381"	"0"	"14381"	""
"43"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"44"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"46"	"29"	"24"	"85"	"14"	"101"	"289"	"3"	"7"	"5"	"12"	"6"	"9"	"6"	"12"	"31"	"604"	"0"	"604"	""
"47"	"30"	"18"	"36"	"15"	"215"	"255"	"4"	"5"	"1"	"1"	"3"	"5"	"6"	"13"	"18"	"595"	"0"	"595"	""
"48"	"31"	"8"	"17"	"1"	"170"	"306"	"21"	"1"	"3"	"5"	"4"	"10"	"7"	"14"	"33"	"600"	"0"	"600"	""
"49"	"32"	"16"	"28"	"3"	"262"	"200"	"82"	"9"	"5"	"11"	"17"	"12"	"3"	"13"	"35"	"696"	"0"	"696"	""
"50"	"33"	"26"	"36"	"6"	"179"	"592"	"20"	"8"	"6"	"10"	"12"	"10"	"8"	"23"	"17"	"953"	"0"	"953"	""
"51"	"34"	"66"	"70"	"4"	"411"	"133"	"3"	"2"	"1"	"8"	"5"	"11"	"5"	"10"	"22"	"751"	"0"	"751"	""
"52"	"35"	"14"	"34"	"8"	"134"	"478"	"30"	"4"	"2"	"3"	"18"	"13"	"8"	"14"	"16"	"776"	"0"	"776"	""
"53"	"36"	"1"	"12"	"2"	"93"	"137"	"12"	"3"	"1"	"1"	"1"	"3"	"2"	"3"	"6"	"277"	"0"	"277"	""
"54"	"37"	"21"	"74"	"7"	"174"	"360"	"8"	"8"	"6"	"6"	"12"	"7"	"9"	"7"	"47"	"746"	"0"	"746"	""
"55"	"38"	"14"	"35"	"3"	"186"	"124"	"4"	"5"	"2"	"2"	"6"	"4"	"5"	"7"	"26"	"423"	"0"	"423"	""
"56"	"39"	"15"	"21"	"3"	"164"	"239"	"18"	"4"	"2"	"6"	"2"	"7"	"8"	"12"	"27"	"528"	"0"	"528"	""
"57"	"40"	"51"	"82"	"8"	"286"	"264"	"8"	"12"	"6"	"8"	"16"	"15"	"13"	"21"	"83"	"873"	"0"	"873"	""
"58"	"41"	"9"	"6"	"12"	"298"	"88"	"6"	"10"	"2"	"6"	"9"	"17"	"11"	"8"	"22"	"504"	"0"	"504"	""
"59"	"42"	"9"	"13"	"8"	"272"	"105"	"7"	"9"	"4"	"4"	"10"	"15"	"14"	"6"	"26"	"502"	"0"	"502"	""
"60"	"; ksx"	"292"	"549"	"94"	"2945"	"3570"	"226"	"87"	"46"	"83"	"121"	"138"	"105"	"163"	"409"	"8828"	"0"	"8828"	""
"61"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"632"	"1004"	"363"	"4364"	"5489"	"406"	"382"	"109"	"137"	"106"	"100"	"401"	"567"	"321"	"14381"	"0"	"14381"	"0"
"62"	"d qy  ; ksx"	"924"	"1553"	"457"	"7309"	"9059"	"632"	"469"	"155"	"220"	"227"	"238"	"506"	"730"	"730"	"23209"	"0"	"23209"	""
"63"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"64"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"65"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"66"	"43"	"79"	"27"	"8"	"140"	"268"	"8"	"5"	"3"	"3"	"1"	"2"	"6"	"7"	"8"	"565"	"0"	"565"	""
"67"	"44"	"37"	"4"	"1"	"19"	"272"	"6"	"2"	"4"	"3"	"2"	"5"	"5"	"19"	"12"	"391"	"0"	"391"	""
"68"	"45"	"18"	"34"	"7"	"67"	"535"	"23"	"9"	"11"	"14"	"22"	"12"	"21"	"56"	"55"	"884"	"0"	"884"	""
"69"	"46"	"24"	"57"	"12"	"302"	"267"	"11"	"8"	"7"	"6"	"7"	"5"	"6"	"32"	"22"	"766"	"0"	"766"	""
"70"	"47"	"54"	"38"	"15"	"143"	"199"	"7"	"4"	"3"	"5"	"4"	"2"	"1"	"3"	"4"	"482"	"0"	"482"	""
"71"	"48"	"13"	"48"	"3"	"99"	"208"	"10"	"2"	"4"	"6"	"4"	"5"	"11"	"7"	"13"	"433"	"0"	"433"	""
"72"	"49"	"4"	"0"	"5"	"4"	"134"	"7"	"0"	"3"	"1"	"43"	"1"	"0"	"2"	"4"	"208"	"0"	"208"	""
"73"	"50"	"9"	"14"	"2"	"84"	"188"	"6"	"3"	"3"	"2"	"35"	"2"	"0"	"5"	"12"	"365"	"0"	"365"	""
"74"	"51"	"25"	"57"	"14"	"248"	"256"	"9"	"12"	"7"	"4"	"13"	"8"	"15"	"15"	"67"	"750"	"0"	"750"	""
"75"	"52"	"40"	"214"	"12"	"389"	"89"	"12"	"4"	"7"	"7"	"15"	"12"	"20"	"16"	"25"	"862"	"0"	"862"	""
"76"	"53"	"26"	"0"	"1"	"281"	"40"	"3"	"8"	"2"	"0"	"2"	"5"	"4"	"0"	"1"	"373"	"0"	"373"	""
"77"	"54"	"18"	"6"	"6"	"323"	"150"	"3"	"0"	"3"	"9"	"16"	"7"	"2"	"10"	"14"	"567"	"0"	"567"	""
"78"	"55"	"6"	"36"	"0"	"79"	"145"	"4"	"4"	"1"	"2"	"1"	"1"	"3"	"4"	"7"	"293"	"0"	"293"	""
"79"	"56"	"110"	"19"	"6"	"269"	"133"	"4"	"2"	"7"	"2"	"8"	"2"	"2"	"4"	"10"	"578"	"0"	"578"	""
"80"	"; ksx"	"463"	"554"	"92"	"2447"	"2884"	"113"	"63"	"65"	"64"	"173"	"69"	"96"	"180"	"254"	"7517"	"0"	"7517"	""
"81"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"924"	"1553"	"457"	"7309"	"9059"	"632"	"469"	"155"	"220"	"227"	"238"	"506"	"730"	"730"	"23209"	"0"	"23209"	"0"
"82"	"d qy  ; ksx"	"1387"	"2107"	"549"	"9756"	"11943"	"745"	"532"	"220"	"284"	"400"	"307"	"602"	"910"	"984"	"30726"	"0"	"30726"	""
"83"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"84"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"85"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"86"	"57"	"22"	"24"	"2"	"114"	"275"	"8"	"3"	"5"	"5"	"3"	"5"	"3"	"8"	"58"	"535"	"0"	"535"	""
"87"	"58"	"19"	"37"	"5"	"194"	"307"	"8"	"9"	"14"	"10"	"7"	"7"	"5"	"11"	"34"	"667"	"0"	"667"	""
"88"	"59"	"41"	"18"	"9"	"336"	"296"	"5"	"0"	"4"	"4"	"16"	"9"	"2"	"5"	"16"	"761"	"0"	"761"	""
"89"	"60"	"43"	"35"	"12"	"303"	"147"	"3"	"4"	"3"	"2"	"4"	"4"	"2"	"3"	"55"	"620"	"0"	"620"	""
"90"	"61"	"22"	"147"	"6"	"218"	"229"	"8"	"6"	"1"	"6"	"5"	"17"	"8"	"13"	"126"	"812"	"0"	"812"	""
"91"	"62"	"16"	"67"	"9"	"163"	"271"	"12"	"2"	"4"	"8"	"9"	"7"	"6"	"7"	"33"	"614"	"0"	"614"	""
"92"	"63"	"23"	"11"	"0"	"38"	"330"	"9"	"3"	"4"	"4"	"9"	"4"	"4"	"13"	"23"	"475"	"0"	"475"	""
"93"	"64"	"9"	"105"	"6"	"30"	"296"	"9"	"6"	"2"	"8"	"6"	"11"	"5"	"8"	"15"	"516"	"0"	"516"	""
"94"	"65"	"12"	"110"	"1"	"26"	"271"	"7"	"1"	"0"	"3"	"2"	"0"	"1"	"6"	"25"	"465"	"0"	"465"	""
"95"	"66"	"25"	"9"	"6"	"86"	"254"	"7"	"1"	"0"	"1"	"3"	"2"	"1"	"3"	"2"	"400"	"0"	"400"	""
"96"	"67"	"16"	"4"	"3"	"163"	"277"	"7"	"4"	"3"	"5"	"4"	"11"	"2"	"4"	"8"	"511"	"0"	"511"	""
"97"	"68"	"18"	"77"	"4"	"471"	"225"	"7"	"1"	"3"	"0"	"1"	"5"	"4"	"13"	"13"	"842"	"0"	"842"	""
"98"	"69"	"29"	"41"	"9"	"452"	"139"	"6"	"4"	"4"	"5"	"9"	"8"	"5"	"5"	"21"	"737"	"0"	"737"	""
"99"	"70"	"27"	"34"	"3"	"213"	"244"	"5"	"7"	"9"	"9"	"5"	"4"	"7"	"3"	"18"	"588"	"0"	"588"	""
"100"	"; ksx"	"322"	"719"	"75"	"2807"	"3561"	"101"	"51"	"56"	"70"	"83"	"94"	"55"	"102"	"447"	"8543"	"0"	"8543"	""
"101"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1387"	"2107"	"549"	"9756"	"11943"	"745"	"532"	"220"	"284"	"400"	"307"	"602"	"910"	"984"	"30726"	"0"	"30726"	"0"
"102"	"d qy  ; ksx"	"1709"	"2826"	"624"	"12563"	"15504"	"846"	"583"	"276"	"354"	"483"	"401"	"657"	"1012"	"1431"	"39269"	"0"	"39269"	""
"103"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"104"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"105"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"106"	"71"	"7"	"10"	"1"	"57"	"147"	"7"	"0"	"1"	"5"	"7"	"3"	"0"	"1"	"4"	"250"	"0"	"250"	""
"107"	"72"	"11"	"7"	"1"	"102"	"305"	"7"	"0"	"3"	"3"	"3"	"3"	"2"	"3"	"10"	"460"	"0"	"460"	""
"108"	"73"	"26"	"18"	"4"	"134"	"99"	"2"	"2"	"0"	"1"	"7"	"0"	"2"	"4"	"104"	"403"	"0"	"403"	""
"109"	"74"	"14"	"36"	"3"	"191"	"145"	"7"	"1"	"0"	"2"	"11"	"13"	"11"	"7"	"145"	"586"	"0"	"586"	""
"110"	"75"	"23"	"21"	"4"	"207"	"344"	"5"	"6"	"5"	"7"	"13"	"7"	"6"	"13"	"27"	"688"	"0"	"688"	""
"111"	"76"	"18"	"9"	"3"	"150"	"361"	"5"	"4"	"2"	"4"	"4"	"0"	"1"	"10"	"11"	"582"	"0"	"582"	""
"112"	"77"	"23"	"162"	"8"	"64"	"213"	"6"	"2"	"10"	"5"	"8"	"7"	"5"	"7"	"37"	"557"	"0"	"557"	""
"113"	"78"	"28"	"32"	"2"	"252"	"68"	"5"	"8"	"4"	"2"	"4"	"6"	"2"	"5"	"35"	"453"	"0"	"453"	""
"114"	"79"	"15"	"12"	"3"	"208"	"150"	"4"	"5"	"4"	"3"	"5"	"5"	"2"	"4"	"27"	"447"	"0"	"447"	""
"115"	"80"	"6"	"13"	"1"	"115"	"251"	"3"	"0"	"0"	"1"	"10"	"5"	"0"	"1"	"10"	"416"	"0"	"416"	""
"116"	"81"	"13"	"14"	"6"	"219"	"318"	"4"	"0"	"3"	"5"	"7"	"2"	"1"	"3"	"5"	"600"	"0"	"600"	""
"117"	"82"	"7"	"25"	"3"	"45"	"366"	"14"	"9"	"2"	"3"	"10"	"6"	"7"	"7"	"29"	"533"	"0"	"533"	""
"118"	"83"	"18"	"27"	"2"	"7"	"303"	"6"	"0"	"1"	"0"	"6"	"3"	"5"	"2"	"13"	"393"	"0"	"393"	""
"119"	"84"	"17"	"41"	"3"	"93"	"387"	"2"	"3"	"4"	"3"	"1"	"1"	"1"	"1"	"11"	"568"	"0"	"568"	""
"120"	"; ksx"	"226"	"427"	"44"	"1844"	"3457"	"77"	"40"	"39"	"44"	"96"	"61"	"45"	"68"	"468"	"6936"	"0"	"6936"	""
"121"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1709"	"2826"	"624"	"12563"	"15504"	"846"	"583"	"276"	"354"	"483"	"401"	"657"	"1012"	"1431"	"39269"	"0"	"39269"	"0"
"122"	"d qy  ; ksx"	"1935"	"3253"	"668"	"14407"	"18961"	"923"	"623"	"315"	"398"	"579"	"462"	"702"	"1080"	"1899"	"46205"	"0"	"46205"	""
"123"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"124"	""	"vkfl Q xQwj"	"ft r sUnz
i zl kn"	"/kzqoukFk
pkS/kj h"	"eks0
user qYy kg"	"j ke i zos' k
j k;"	"dYi ukFk
egr kss"	"t ; ukFk i z0
; kno"	"t sM0 j geku"	"f' ko' kad j
i zl kn xqIr k"	"l j kt qí hu
vgen"	", dj keqy  gd"	"eSuqí hu
vgen"	"j s.kq nsoh"	"l qesj  i zl kn"	""	""	""	""
"125"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"126"	"85"	"24"	"46"	"34"	"136"	"236"	"62"	"4"	"3"	"5"	"4"	"6"	"3"	"11"	"16"	"590"	"0"	"590"	""
"127"	"86"	"27"	"13"	"7"	"199"	"208"	"6"	"4"	"3"	"7"	"1"	"5"	"5"	"8"	"17"	"510"	"0"	"510"	""
"128"	"87"	"30"	"69"	"4"	"192"	"494"	"6"	"3"	"6"	"9"	"11"	"5"	"0"	"7"	"21"	"857"	"0"	"857"	""
"129"	"88"	"43"	"27"	"5"	"392"	"226"	"2"	"3"	"7"	"1"	"3"	"6"	"6"	"9"	"48"	"778"	"0"	"778"	""
"130"	"89"	"99"	"44"	"10"	"224"	"329"	"24"	"3"	"6"	"7"	"13"	"12"	"7"	"16"	"118"	"912"	"0"	"912"	""
"131"	"90"	"17"	"17"	"2"	"23"	"155"	"2"	"1"	"4"	"4"	"11"	"2"	"4"	"17"	"592"	"851"	"0"	"851"	""
"132"	"91"	"20"	"4"	"3"	"269"	"76"	"2"	"3"	"4"	"0"	"8"	"10"	"4"	"12"	"268"	"683"	"0"	"683"	""
"133"	"92"	"27"	"21"	"5"	"170"	"226"	"13"	"7"	"4"	"8"	"16"	"2"	"8"	"15"	"168"	"690"	"0"	"690"	""
"134"	"93"	"2"	"39"	"1"	"89"	"286"	"0"	"4"	"0"	"2"	"1"	"0"	"0"	"2"	"28"	"454"	"0"	"454"	""
"135"	"94"	"12"	"7"	"4"	"144"	"201"	"5"	"0"	"0"	"4"	"9"	"3"	"3"	"3"	"14"	"409"	"0"	"409"	""
"136"	"95"	"21"	"27"	"8"	"77"	"258"	"8"	"9"	"6"	"5"	"6"	"6"	"3"	"11"	"27"	"472"	"0"	"472"	""
"137"	"96"	"30"	"23"	"4"	"43"	"128"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"21"	"4"	"258"	"0"	"258"	""
"138"	"97"	"27"	"102"	"3"	"117"	"322"	"8"	"7"	"1"	"3"	"6"	"2"	"7"	"15"	"15"	"635"	"0"	"635"	""
"139"	"98"	"31"	"197"	"3"	"171"	"320"	"6"	"4"	"6"	"6"	"6"	"2"	"3"	"2"	"13"	"770"	"0"	"770"	""
"140"	"; ksx"	"410"	"636"	"93"	"2246"	"3465"	"146"	"52"	"50"	"61"	"95"	"63"	"54"	"149"	"1349"	"8869"	"0"	"8869"	""
"141"	"fi Ny s  pdzksa  d s
er ksa  dk  ; ksx"	"1935"	"3253"	"668"	"14407"	"18961"	"923"	"623"	"315"	"398"	"579"	"462"	"702"	"1080"	"1899"	"46205"	"0"	"46205"	"0"
"142"	"d qy  ; ksx"	"2345"	"3889"	"761"	"16653"	"22426"	"1069"	"675"	"365"	"459"	"674"	"525"	"756"	"1229"	"3248"	"55074"	"0"	"55074"	""
"143"	"er nku dsUnzksa
dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU; er"	"i zfr {ksfi r
er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
