"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"
"1"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"7"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"18"	"10"	""	"10"	"1"	"197"	"10"	""	"0"	"3"	"91"	"4"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"4"	"0"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"325"	""	"325"	""	""
"19"	"11"	""	"11"	"0"	"79"	"61"	""	"0"	"13"	"6"	"0"	"0"	"2"	"10"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"59"	"0"	"0"	"3"	"0"	"2"	"3"	"250"	""	"250"	""	""
"20"	"12"	""	"12"	"2"	"34"	"157"	""	"2"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"10"	"3"	"5"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"18"	"2"	"0"	"2"	"0"	"1"	"2"	"265"	""	"265"	""	""
"21"	"13"	""	"13"	"1"	"78"	"104"	""	"1"	"13"	"26"	"0"	"1"	"0"	"64"	"0"	"1"	"0"	"1"	"3"	"10"	"4"	"2"	"4"	"2"	"1"	"2"	"3"	"2"	"2"	"2"	"2"	"18"	"6"	"3"	"169"	"525"	""	"525"	""	""
"22"	"14"	""	"14"	"7"	"180"	"161"	""	"0"	"28"	"223"	"3"	"1"	"1"	"3"	"2"	"0"	"1"	"2"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"4"	"1"	"2"	"4"	"635"	""	"635"	""	""
"23"	"1"	""	"15"	"8"	"171"	"190"	""	"1"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"33"	"1"	"2"	"0"	"0"	"3"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"5"	"7"	"5"	"459"	""	"459"	""	""
"24"	"2"	""	"16"	"2"	"94"	"201"	""	"9"	"11"	"29"	"2"	"6"	"0"	"8"	"0"	"3"	"0"	"2"	"4"	"47"	"3"	"5"	"6"	"3"	"1"	"6"	"4"	"3"	"5"	"8"	"6"	"33"	"9"	"7"	"24"	"541"	""	"541"	""	""
"25"	"3"	""	"17"	"4"	"219"	"151"	""	"10"	"8"	"1"	"1"	"3"	"0"	"13"	"5"	"1"	"5"	"5"	"7"	"30"	"0"	"5"	"4"	"1"	"2"	"4"	"2"	"2"	"6"	"1"	"0"	"3"	"1"	"5"	"54"	"553"	""	"553"	""	""
"26"	"4"	""	"18"	"2"	"124"	"46"	""	"4"	"12"	"0"	"0"	"0"	"0"	"97"	"0"	"1"	"0"	"1"	"0"	"31"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"8"	"0"	"0"	"0"	"1"	"1"	"0"	"330"	""	"330"	""	""
"27"	"5"	""	"19"	"6"	"35"	"79"	""	"1"	"39"	"155"	"0"	"2"	"14"	"0"	"2"	"1"	"1"	"4"	"2"	"25"	"7"	"4"	"1"	"1"	"1"	"2"	"5"	"4"	"5"	"0"	"2"	"5"	"0"	"2"	"199"	"604"	""	"604"	""	""
"28"	"6"	""	"20"	"24"	"102"	"217"	""	"2"	"19"	"2"	"0"	"1"	"1"	"33"	"1"	"0"	"1"	"2"	"2"	"11"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"2"	"1"	"143"	"573"	""	"573"	""	""
"29"	"7"	""	"21"	"3"	"30"	"73"	""	"3"	"19"	"5"	"0"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"55"	"3"	"8"	"3"	"3"	"3"	"1"	"0"	"0"	"80"	"4"	"1"	"2"	"3"	"3"	"47"	"357"	""	"357"	""	""
"30"	"8"	""	"22"	"3"	"41"	"117"	""	"3"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"25"	"3"	"16"	"1"	"2"	"9"	"1"	"1"	"4"	"0"	"0"	"0"	"2"	"1"	"3"	"12"	"6"	"3"	"266"	""	"266"	""	""
"31"	"9"	""	"23"	"3"	"52"	"87"	""	"0"	"3"	"31"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"7"	"0"	"1"	"3"	"196"	""	"196"	""	""
"32"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"39"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"40"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"41"	"10"	""	"24"	"9"	"112"	"224"	""	"7"	"6"	"1"	"0"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"1"	"4"	"4"	"4"	"1"	"0"	"3"	"2"	"1"	"0"	"1"	"0"	"5"	"0"	"2"	"0"	"397"	""	"397"	""	""
"42"	"11"	""	"25"	"10"	"152"	"298"	""	"4"	"14"	"1"	"0"	"10"	"3"	"0"	"2"	"1"	"2"	"7"	"7"	"13"	"1"	"1"	"8"	"1"	"1"	"5"	"0"	"0"	"6"	"0"	"0"	"9"	"4"	"7"	"15"	"582"	""	"582"	""	""
"43"	"12"	""	"26"	"2"	"170"	"96"	""	"1"	"6"	"27"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"10"	"0"	"0"	"1"	"0"	"3"	"8"	"336"	""	"336"	""	""
"44"	"13"	""	"27"	"3"	"98"	"17"	""	"1"	"4"	"173"	"2"	"0"	"0"	"2"	"1"	"2"	"1"	"0"	"2"	"4"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"7"	"2"	"1"	"5"	"1"	"2"	"2"	"335"	""	"335"	""	""
"45"	"14"	""	"28"	"0"	"22"	"105"	""	"0"	"12"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"150"	""	"150"	""	""
"46"	"1"	""	"29"	"40"	"128"	"181"	""	"1"	"23"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"1"	"3"	"0"	"2"	"1"	"3"	"0"	"1"	"6"	"0"	"0"	"5"	"2"	"4"	"3"	"414"	""	"414"	""	""
"47"	"2"	""	"30"	"5"	"8"	"200"	""	"3"	"10"	"2"	"0"	"6"	"1"	"0"	"0"	"2"	"0"	"2"	"3"	"16"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"3"	"270"	""	"270"	""	""
"48"	"3"	""	"31"	"21"	"174"	"152"	""	"3"	"32"	"109"	"4"	"4"	"0"	"1"	"0"	"0"	"2"	"1"	"4"	"21"	"11"	"0"	"7"	"1"	"0"	"4"	"1"	"1"	"13"	"4"	"1"	"6"	"2"	"9"	"24"	"612"	""	"612"	""	""
"49"	"4"	""	"32"	"2"	"19"	"81"	""	"3"	"44"	"87"	"2"	"7"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"39"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"2"	"2"	"1"	"2"	"114"	"415"	""	"415"	""	""
"50"	"5"	""	"33"	"11"	"167"	"53"	""	"1"	"28"	"33"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"306"	""	"306"	""	""
"51"	"6"	""	"34"	"3"	"450"	"19"	""	"0"	"17"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"2"	"517"	""	"517"	""	""
"52"	"7"	""	"35"	"34"	"175"	"240"	""	"1"	"15"	"43"	"0"	"12"	"1"	"5"	"1"	"0"	"1"	"3"	"2"	"0"	"3"	"1"	"1"	"0"	"1"	"4"	"0"	"1"	"2"	"0"	"0"	"4"	"5"	"6"	"11"	"572"	""	"572"	""	""
"53"	"8"	""	"36"	"2"	"365"	"86"	""	"2"	"2"	"15"	"0"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"502"	""	"502"	""	""
"54"	"9"	""	"37"	"0"	"68"	"347"	""	"1"	"8"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"436"	""	"436"	""	""
"55"	"10"	""	"38"	"8"	"123"	"323"	""	"8"	"11"	"3"	"3"	"11"	"3"	"2"	"2"	"5"	"6"	"14"	"4"	"29"	"2"	"1"	"13"	"3"	"2"	"1"	"0"	"0"	"3"	"3"	"0"	"5"	"11"	"3"	"16"	"618"	""	"618"	""	""
"56"	"11"	""	"39"	"7"	"196"	"205"	""	"7"	"10"	"2"	"1"	"2"	"0"	"0"	"2"	"4"	"3"	"13"	"16"	"14"	"1"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"5"	"11"	"510"	""	"510"	""	""
"57"	"12"	""	"40"	"11"	"34"	"207"	""	"8"	"7"	"11"	"1"	"4"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"1"	"2"	"1"	"6"	"4"	"1"	"3"	"0"	"0"	"4"	"0"	"2"	"4"	"1"	"1"	"2"	"323"	""	"323"	""	""
"58"	"13"	""	"41"	"6"	"178"	"308"	""	"4"	"5"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"4"	"4"	"3"	"7"	"1"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"9"	"9"	"16"	"9"	"581"	""	"581"	""	""
"59"	"14"	""	"42"	"21"	"83"	"216"	""	"8"	"14"	"46"	"1"	"5"	"0"	"3"	"0"	"3"	"1"	"0"	"2"	"8"	"2"	"2"	"8"	"1"	"0"	"3"	"0"	"1"	"13"	"3"	"2"	"6"	"5"	"8"	"4"	"469"	""	"469"	""	""
"60"	"1"	""	"43"	"51"	"205"	"150"	""	"7"	"1"	"2"	"15"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"4"	"7"	"6"	"9"	"5"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"3"	"13"	"494"	""	"494"	""	""
"61"	"2"	""	"44"	"25"	"360"	"159"	""	"2"	"2"	"4"	"0"	"2"	"0"	"0"	"2"	"2"	"4"	"1"	"4"	"48"	"4"	"2"	"1"	"4"	"1"	"5"	"1"	"3"	"4"	"2"	"1"	"11"	"5"	"20"	"7"	"686"	""	"686"	""	""
"62"	"3"	""	"45"	"13"	"263"	"100"	""	"0"	"7"	"115"	"1"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"5"	"1"	"1"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"1"	"4"	"0"	"8"	"15"	"551"	""	"551"	""	""
"63"	"4"	""	"46"	"18"	"30"	"154"	""	"1"	"9"	"42"	"0"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"14"	"2"	"0"	"4"	"0"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"6"	"2"	"2"	"11"	"308"	""	"308"	""	""
"64"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"65"	"[See Rule 56  (7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"                                                                                      final result sheet                                                                                       "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"Election to the Bihar Legislative Assmebly from the 208-SASARAM A.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"Total No. of Electors in Assembly Constituency-275379"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"tes"	""	""	""	""
"71"	"Table Number"	""	"Sl. No. of Polling Station"	"ATENDRA KUMAR SINGH"	"DR. ASHOK KUMAR"	"JAWAHAR PRASAD"	""	"BABU RAM SINGH"	"RAJ SHEKHAR"	"SARWAR ALI KHAN"	"KALINDRA SINGH"	"JYOTI RASHMI"	"DEEPAK KUMAR SRIVASTVA"	"PARMANAND SINGH KUSHWAHA"	"FUL MAN SINGH"	"BHOLA SINGH"	"MUNSHI CHANDRABANSHI"	"RAJ KISHOR MISHRA"	"RAJNATH MAHTO"	"SATENDRA SAH"	"AJAY KUMAR"	"KEDAR RAM"	"GOPAL PRASAD ALIAS GOPAL SAH"	"NAND KISHOR SINGH"	"VINOD KUMAR PANDEY"	"BIHARI KUMAR"	"BHARAT RAM"	"YAMUNA CHAUDHARY"	"RAM ADHIN BHARTI"	"SHASHI BHUSHAN CHOUDHARY"	"SANGRAM SINGH"	"SANJAY KUMAR (KARAN SARAI)"	"SANJAY KUMAR (BRAHMANTOLI)"	"SATYENDRA KUMAR"	"SALAMAT ANSARI"	"otal No. of valid vo"	""	"Total"	"Total No. of tend
votes"	""
"72"	""	""	""	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"T"	""	""	""	""
"73"	"5"	""	"47"	"4"	"152"	"250"	""	"3"	"7"	"42"	"2"	"2"	"2"	"1"	"3"	"4"	"3"	"3"	"5"	"13"	"2"	"2"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"0"	"18"	"530"	""	"530"	""	""
"74"	"6"	""	"48"	"7"	"59"	"344"	""	"1"	"16"	"10"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"5"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"3"	"462"	""	"462"	""	""
"75"	"7"	""	"48d"	"1"	"127"	"77"	""	"0"	"6"	"33"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"262"	""	"262"	""	""
"76"	"8"	""	"49"	"3"	"73"	"157"	""	"3"	"29"	"5"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"102"	"1"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"1"	"31"	"428"	""	"428"	""	""
"77"	"9"	""	"50"	"13"	"112"	"160"	""	"9"	"1"	"27"	"1"	"4"	"1"	"2"	"0"	"1"	"8"	"3"	"3"	"7"	"2"	"2"	"3"	"0"	"1"	"4"	"1"	"0"	"6"	"1"	"0"	"2"	"3"	"4"	"13"	"394"	""	"394"	""	""
"78"	"10"	""	"51"	"7"	"193"	"213"	""	"4"	"48"	"25"	"0"	"14"	"1"	"1"	"0"	"1"	"0"	"1"	"6"	"36"	"1"	"4"	"2"	"2"	"0"	"2"	"0"	"1"	"6"	"0"	"1"	"4"	"2"	"2"	"4"	"581"	""	"581"	""	""
"79"	"11"	""	"52"	"19"	"473"	"37"	""	"2"	"51"	"10"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"2"	"3"	"21"	"5"	"7"	"0"	"0"	"2"	"9"	"0"	"1"	"15"	"1"	"0"	"2"	"2"	"16"	"2"	"687"	""	"687"	""	""
