"Candidate.s..Name"	"ANANT.KUMAR.SATYARTHY"	"PRITAM.SINGH"	"RAKESH.KUMAR"	"RAJEEV.RANJAN.SINGH"	"SHABNAM.PERWIN"	"KAILASH.SINGH.NISHAD"	"CHHAVI.KUMAR"	"ZAFAR.AHMAD"	"TRIDEO.SINGH"	"MANOJ.KUMAR.YADAY"	"RAMDEO.SINGH.YADAV"	"RAMBILASH.NISHAD"	"VIRENDRA.BHARTI"	"SUNIL.SOLANKI..SAHA."	"UCHIT.KUMAR"	"DASRATH.DAS"	"DEVAN.YADAV"	"NACHI.KETA"	"MUKESH.KUMAR.SINGH"	"SUNIL.KUMAR"	"Total"
"1"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"6"	"118"	"16"	"1"	"1"	"195"	"1"	"2"	"1"	"0"	"1"	"5"	"0"	"20"	"3"	"1"	"4"	"2"	"6"	"0"	"0"	"377"
"16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"7"	"66"	"55"	"1"	"2"	"73"	"3"	"5"	"3"	"2"	"1"	"8"	"1"	"20"	"4"	"4"	"5"	"8"	"65"	"3"	"3"	"332"
"18"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"8"	"3"	"8"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"17"
"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"8A"	"12"	"12"	"0"	"1"	"517"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"554"
"22"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"9"	"10"	"25"	"0"	"0"	"3"	"8"	"2"	"0"	"0"	"0"	"1"	"31"	"8"	"1"	"1"	"2"	"1"	"0"	"1"	"1"	"95"
"24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"9A"	"16"	"35"	"0"	"0"	"382"	"3"	"0"	"0"	"0"	"0"	"1"	"3"	"6"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"450"
"26"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"10"	"88"	"24"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"121"
"28"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"10A"	"69"	"80"	"2"	"0"	"3"	"13"	"2"	"1"	"0"	"0"	"0"	"19"	"20"	"3"	"1"	"6"	"3"	"2"	"1"	"2"	"227"
"30"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"11"	"256"	"57"	"1"	"1"	"76"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"60"	"4"	"3"	"3"	"2"	"1"	"1"	"2"	"472"
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"12"	"378"	"49"	"0"	"4"	"38"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"77"	"5"	"0"	"2"	"3"	"2"	"5"	"1"	"567"
"34"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"13"	"313"	"23"	"0"	"2"	"105"	"3"	"5"	"1"	"1"	"0"	"2"	"7"	"105"	"11"	"3"	"7"	"11"	"0"	"1"	"0"	"600"
"36"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"37"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"14"	"314"	"11"	"0"	"3"	"66"	"4"	"1"	"1"	"0"	"0"	"0"	"3"	"73"	"6"	"1"	"3"	"10"	"0"	"1"	"0"	"497"
"43"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"15"	"116"	"16"	"0"	"2"	"50"	"2"	"1"	"0"	"0"	"1"	"0"	"2"	"31"	"5"	"0"	"2"	"1"	"0"	"0"	"0"	"229"
"45"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"16"	"277"	"52"	"1"	"0"	"163"	"3"	"3"	"2"	"1"	"0"	"0"	"4"	"46"	"4"	"2"	"13"	"2"	"1"	"0"	"0"	"574"
"47"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"17"	"239"	"15"	"7"	"1"	"138"	"1"	"3"	"0"	"0"	"2"	"1"	"2"	"50"	"2"	"1"	"2"	"4"	"1"	"0"	"0"	"469"
"49"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"18"	"208"	"19"	"1"	"3"	"226"	"4"	"3"	"1"	"1"	"2"	"1"	"3"	"60"	"2"	"0"	"3"	"16"	"3"	"1"	"2"	"559"
"51"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"19"	"183"	"15"	"3"	"2"	"151"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"42"	"7"	"1"	"2"	"2"	"1"	"1"	"3"	"417"
"53"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	"20"	"239"	"17"	"0"	"2"	"189"	"6"	"2"	"1"	"1"	"2"	"0"	"5"	"68"	"4"	"5"	"9"	"3"	"1"	"1"	"1"	"556"
"55"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"56"	"21"	"440"	"27"	"1"	"0"	"14"	"1"	"2"	"1"	"2"	"2"	"0"	"3"	"98"	"3"	"4"	"10"	"11"	"1"	"3"	"2"	"625"
"57"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"58"	"22"	"378"	"7"	"1"	"1"	"32"	"1"	"5"	"0"	"0"	"0"	"1"	"2"	"85"	"5"	"0"	"3"	"6"	"4"	"2"	"1"	"534"
"59"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"60"	"23"	"350"	"20"	"0"	"0"	"6"	"1"	"3"	"1"	"1"	"1"	"1"	"11"	"78"	"9"	"1"	"22"	"7"	"4"	"2"	"4"	"522"
"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"62"	"24"	"403"	"16"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"97"	"6"	"3"	"15"	"11"	"1"	"0"	"0"	"564"
"63"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"24A"	"317"	"9"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"44"	"2"	"2"	"10"	"6"	"0"	"1"	"1"	"402"
"65"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"66"	"25"	"395"	"8"	"1"	"4"	"99"	"5"	"1"	"0"	"2"	"3"	"3"	"7"	"121"	"7"	"3"	"22"	"17"	"9"	"1"	"2"	"710"
"67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"26"	"152"	"9"	"0"	"3"	"63"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"58"	"3"	"2"	"9"	"7"	"0"	"2"	"0"	"312"
"69"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"27"	"253"	"9"	"1"	"3"	"136"	"1"	"1"	"1"	"2"	"1"	"2"	"75"	"72"	"14"	"3"	"13"	"9"	"1"	"3"	"0"	"600"
"71"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"73"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"77"	"28"	"236"	"12"	"2"	"5"	"224"	"6"	"3"	"1"	"1"	"2"	"1"	"2"	"67"	"4"	"1"	"9"	"10"	"1"	"1"	"2"	"590"
"78"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"29"	"240"	"8"	"0"	"3"	"312"	"5"	"3"	"0"	"1"	"0"	"2"	"3"	"47"	"2"	"4"	"11"	"8"	"0"	"0"	"1"	"650"
"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"30"	"229"	"10"	"0"	"1"	"309"	"1"	"2"	"1"	"1"	"1"	"4"	"4"	"70"	"3"	"2"	"6"	"0"	"0"	"0"	"0"	"644"
"82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"83"	"31"	"442"	"12"	"1"	"2"	"157"	"1"	"7"	"0"	"4"	"1"	"4"	"1"	"68"	"7"	"0"	"6"	"4"	"1"	"3"	"6"	"727"
"84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"32"	"310"	"58"	"1"	"1"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"41"	"3"	"0"	"0"	"4"	"0"	"4"	"2"	"439"
"86"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"87"	"32A"	"186"	"37"	"1"	"0"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"47"	"3"	"3"	"4"	"3"	"2"	"0"	"0"	"303"
"88"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"89"	"33"	"346"	"16"	"0"	"1"	"28"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"50"	"4"	"1"	"5"	"2"	"0"	"2"	"1"	"461"
"90"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"34"	"502"	"20"	"1"	"2"	"19"	"1"	"2"	"0"	"1"	"1"	"0"	"6"	"118"	"2"	"6"	"4"	"24"	"2"	"7"	"2"	"720"
"92"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"35"	"442"	"15"	"4"	"0"	"11"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	"35"	"2"	"0"	"2"	"5"	"5"	"0"	"0"	"527"
"94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"95"	"36"	"160"	"11"	"0"	"0"	"82"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"21"	"2"	"0"	"2"	"2"	"0"	"0"	"3"	"284"
"96"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"37"	"395"	"16"	"0"	"0"	"126"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"56"	"7"	"0"	"7"	"8"	"0"	"2"	"2"	"625"
"98"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"38"	"297"	"11"	"0"	"2"	"48"	"0"	"3"	"0"	"1"	"0"	"2"	"2"	"37"	"1"	"0"	"7"	"7"	"0"	"0"	"0"	"418"
"100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"38A"	"307"	"7"	"1"	"0"	"11"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"29"	"3"	"0"	"1"	"0"	"0"	"0"	"2"	"364"
"102"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"39"	"258"	"16"	"0"	"5"	"199"	"0"	"5"	"0"	"1"	"1"	"0"	"2"	"33"	"3"	"0"	"6"	"2"	"1"	"0"	"2"	"534"
"104"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"40"	"178"	"15"	"2"	"0"	"116"	"1"	"1"	"2"	"1"	"0"	"0"	"3"	"24"	"3"	"1"	"4"	"1"	"2"	"0"	"2"	"356"
"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"41"	"183"	"12"	"2"	"3"	"269"	"3"	"1"	"0"	"2"	"1"	"0"	"3"	"25"	"0"	"0"	"3"	"3"	"1"	"1"	"2"	"514"
"108"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"109"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"113"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"42"	"290"	"8"	"0"	"2"	"275"	"2"	"2"	"0"	"0"	"1"	"0"	"0"	"46"	"3"	"2"	"3"	"2"	"1"	"0"	"0"	"637"
"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"43"	"334"	"7"	"0"	"1"	"64"	"3"	"3"	"1"	"2"	"0"	"1"	"1"	"63"	"6"	"3"	"5"	"7"	"0"	"3"	"1"	"505"
"117"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"44"	"396"	"26"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"20"	"0"	"1"	"2"	"2"	"0"	"2"	"1"	"466"
"119"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"45"	"342"	"23"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"21"	"0"	"0"	"0"	"7"	"1"	"2"	"0"	"402"
"121"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"46"	"262"	"4"	"1"	"0"	"9"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"27"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"310"
"123"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"47"	"363"	"51"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"30"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"457"
"125"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"48"	"328"	"42"	"1"	"0"	"7"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"36"	"3"	"0"	"2"	"1"	"24"	"0"	"3"	"450"
"127"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"49"	"228"	"47"	"0"	"0"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"26"	"2"	"0"	"3"	"2"	"11"	"2"	"0"	"334"
"129"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"50"	"305"	"28"	"2"	"2"	"202"	"2"	"3"	"1"	"2"	"1"	"1"	"2"	"48"	"3"	"2"	"5"	"5"	"1"	"0"	"2"	"617"
"131"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"51"	"374"	"16"	"0"	"2"	"40"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"60"	"1"	"0"	"7"	"6"	"0"	"1"	"0"	"511"
"133"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"52"	"286"	"21"	"0"	"2"	"20"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"32"	"1"	"1"	"2"	"10"	"2"	"0"	"0"	"382"
"135"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"53"	"205"	"25"	"1"	"0"	"32"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"29"	"1"	"0"	"4"	"2"	"0"	"0"	"0"	"301"
"137"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"54"	"402"	"9"	"1"	"0"	"26"	"0"	"2"	"0"	"0"	"1"	"0"	"4"	"48"	"2"	"0"	"7"	"12"	"1"	"0"	"2"	"517"
"139"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"55"	"374"	"17"	"1"	"1"	"13"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"73"	"4"	"0"	"6"	"10"	"17"	"1"	"0"	"523"
"141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"56"	"296"	"24"	"0"	"9"	"5"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"48"	"1"	"0"	"0"	"7"	"2"	"1"	"0"	"395"
"143"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"Candidate s  Name"	"ANANT KUMAR SATYARTHY"	"PRITAM SINGH"	"RAKESH KUMAR"	"RAJEEV RANJAN SINGH"	"SHABNAM PERWIN"	"KAILASH SINGH NISHAD"	"CHHAVI KUMAR"	"ZAFAR AHMAD"	"TRIDEO SINGH"	"MANOJ KUMAR YADAY"	"RAMDEO SINGH YADAV"	"RAMBILASH NISHAD"	"VIRENDRA BHARTI"	"SUNIL SOLANKI (SAHA)"	"UCHIT KUMAR"	"DASRATH DAS"	"DEVAN YADAV"	"NACHI KETA"	"MUKESH KUMAR SINGH"	"SUNIL KUMAR"	"Total"
"145"	"----->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"-----
>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"149"	"56A"	"248"	"17"	"2"	"5"	"14"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"48"	"2"	"2"	"2"	"12"	"4"	"3"	"1"	"363"
"150"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"57"	"424"	"19"	"0"	"3"	"11"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"57"	"0"	"1"	"9"	"2"	"1"	"4"	"1"	"536"
"152"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"58"	"449"	"27"	"3"	"3"	"86"	"2"	"2"	"2"	"0"	"2"	"1"	"2"	"73"	"10"	"3"	"18"	"4"	"3"	"2"	"2"	"694"
"154"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"59"	"174"	"10"	"0"	"1"	"87"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"34"	"0"	"0"	"1"	"5"	"1"	"0"	"4"	"320"
"156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"59A"	"156"	"9"	"0"	"2"	"176"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"49"	"7"	"3"	"5"	"3"	"1"	"0"	"0"	"414"
"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"60"	"68"	"13"	"3"	"1"	"398"	"3"	"11"	"1"	"3"	"0"	"0"	"3"	"13"	"0"	"0"	"3"	"2"	"3"	"2"	"7"	"534"
"160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"61"	"243"	"14"	"0"	"3"	"40"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"28"	"3"	"0"	"4"	"3"	"0"	"1"	"4"	"344"
"162"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"62"	"44"	"6"	"2"	"2"	"392"	"2"	"4"	"3"	"2"	"0"	"0"	"5"	"22"	"1"	"0"	"5"	"4"	"1"	"1"	"5"	"501"
"164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"63"	"76"	"26"	"1"	"2"	"181"	"1"	"3"	"0"	"1"	"1"	"2"	"4"	"38"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"343"
"166"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"64"	"53"	"4"	"2"	"1"	"265"	"3"	"1"	"0"	"0"	"1"	"0"	"4"	"8"	"1"	"1"	"3"	"5"	"3"	"0"	"0"	"355"
"168"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"65"	"236"	"11"	"0"	"0"	"77"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"39"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"374"
"170"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"66"	"173"	"8"	"1"	"3"	"192"	"5"	"1"	"1"	"0"	"0"	"0"	"6"	"35"	"1"	"0"	"7"	"6"	"5"	"2"	"4"	"450"
"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"67"	"220"	"7"	"1"	"0"	"199"	"3"	"3"	"0"	"1"	"0"	"0"	"5"	"37"	"3"	"1"	"12"	"8"	"2"	"2"	"2"	"506"
"174"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"68"	"114"	"5"	"1"	"1"	"194"	"3"	"0"	"1"	"1"	"3"	"0"	"2"	"33"	"1"	"3"	"10"	"1"	"0"	"0"	"1"	"374"
"176"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
