"Serial.No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"46"	"43"	"220"	"12"	"9"	"40"	"4"	"43"	"1"	"0"	"6"	"5"	"1"	"6"	"6"	"139"	"3"	"23"	"518"	"0"	"518"	"0"
"47"	"44"	"28"	"1"	"1"	"6"	"3"	"81"	"2"	"0"	"4"	"7"	"5"	"3"	"3"	"5"	"4"	"115"	"268"	"0"	"268"	"0"
"48"	"45"	"181"	"6"	"11"	"7"	"2"	"123"	"1"	"0"	"6"	"17"	"6"	"28"	"4"	"169"	"2"	"13"	"576"	"0"	"576"	"0"
"49"	"46"	"103"	"5"	"200"	"6"	"5"	"112"	"4"	"5"	"9"	"34"	"17"	"8"	"3"	"120"	"2"	"17"	"650"	"0"	"650"	"0"
"50"	"47"	"94"	"1"	"72"	"3"	"2"	"112"	"5"	"4"	"6"	"4"	"6"	"2"	"3"	"5"	"4"	"39"	"362"	"0"	"362"	"0"
"51"	"48"	"20"	"9"	"34"	"8"	"0"	"24"	"0"	"2"	"6"	"1"	"4"	"0"	"2"	"110"	"3"	"14"	"237"	"0"	"237"	"0"
"52"	"49"	"92"	"4"	"7"	"3"	"6"	"262"	"5"	"1"	"8"	"2"	"10"	"0"	"4"	"3"	"6"	"31"	"444"	"0"	"444"	"0"
"53"	"50"	"305"	"5"	"1"	"5"	"3"	"72"	"1"	"0"	"3"	"1"	"1"	"11"	"1"	"17"	"1"	"7"	"434"	"0"	"434"	"0"
"54"	"51"	"233"	"5"	"49"	"11"	"2"	"112"	"1"	"0"	"7"	"1"	"22"	"1"	"3"	"13"	"5"	"14"	"479"	"0"	"479"	"0"
"55"	"52"	"154"	"6"	"69"	"5"	"3"	"55"	"2"	"2"	"7"	"3"	"3"	"6"	"4"	"5"	"3"	"33"	"360"	"0"	"360"	"0"
"56"	"53"	"103"	"15"	"24"	"15"	"6"	"150"	"4"	"6"	"17"	"5"	"10"	"4"	"3"	"7"	"3"	"17"	"389"	"0"	"389"	"0"
"57"	"54"	"186"	"6"	"58"	"8"	"11"	"171"	"3"	"5"	"18"	"6"	"27"	"77"	"7"	"28"	"6"	"19"	"636"	"0"	"636"	"0"
"58"	"55"	"221"	"0"	"0"	"13"	"1"	"75"	"0"	"0"	"3"	"0"	"6"	"1"	"0"	"54"	"1"	"6"	"381"	"0"	"381"	"0"
"59"	"56"	"73"	"8"	"9"	"14"	"3"	"108"	"4"	"2"	"4"	"5"	"30"	"4"	"5"	"59"	"71"	"17"	"416"	"0"	"416"	"0"
"60"	"57"	"208"	"7"	"54"	"45"	"2"	"92"	"2"	"1"	"2"	"2"	"14"	"13"	"4"	"28"	"5"	"72"	"551"	"0"	"551"	"0"
"61"	"58"	"123"	"0"	"72"	"28"	"2"	"396"	"3"	"1"	"7"	"7"	"10"	"9"	"4"	"5"	"2"	"131"	"800"	"0"	"800"	"0"
"62"	"59"	"143"	"3"	"0"	"5"	"0"	"122"	"3"	"1"	"6"	"5"	"2"	"1"	"1"	"29"	"1"	"7"	"329"	"0"	"329"	"0"
"63"	"60"	"74"	"17"	"74"	"17"	"13"	"191"	"8"	"5"	"13"	"86"	"21"	"21"	"5"	"12"	"8"	"15"	"580"	"0"	"580"	"0"
"64"	"61"	"249"	"6"	"1"	"3"	"2"	"215"	"3"	"3"	"15"	"6"	"4"	"36"	"2"	"11"	"4"	"35"	"595"	"0"	"595"	"0"
"65"	"62"	"97"	"1"	"2"	"4"	"1"	"44"	"0"	"0"	"1"	"1"	"6"	"3"	"0"	"3"	"2"	"6"	"171"	"0"	"171"	"0"
"66"	"63"	"221"	"10"	"3"	"15"	"3"	"272"	"6"	"0"	"13"	"3"	"13"	"56"	"4"	"35"	"1"	"18"	"673"	"0"	"673"	"0"
"67"	"64"	"167"	"5"	"65"	"7"	"1"	"101"	"2"	"2"	"8"	"9"	"11"	"5"	"3"	"110"	"3"	"22"	"521"	"0"	"521"	"0"
"68"	"65"	"113"	"2"	"0"	"6"	"0"	"78"	"0"	"3"	"3"	"5"	"7"	"12"	"1"	"30"	"3"	"2"	"265"	"0"	"265"	"0"
"69"	"66"	"137"	"7"	"4"	"8"	"2"	"92"	"3"	"3"	"7"	"28"	"13"	"6"	"8"	"70"	"3"	"29"	"420"	"0"	"420"	"0"
"70"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"71"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"72"	"67"	"178"	"5"	"8"	"10"	"2"	"84"	"4"	"0"	"5"	"30"	"13"	"6"	"5"	"31"	"3"	"53"	"437"	"0"	"437"	"0"
"73"	"68"	"231"	"2"	"5"	"33"	"7"	"179"	"7"	"2"	"24"	"4"	"13"	"2"	"1"	"43"	"3"	"13"	"569"	"0"	"569"	"0"
"74"	"69"	"119"	"4"	"10"	"10"	"1"	"150"	"3"	"1"	"10"	"0"	"10"	"1"	"6"	"16"	"4"	"5"	"350"	"0"	"350"	"0"
"75"	"70"	"234"	"3"	"5"	"14"	"0"	"75"	"4"	"1"	"0"	"6"	"7"	"2"	"1"	"18"	"0"	"20"	"390"	"0"	"390"	"0"
"76"	"71"	"110"	"4"	"37"	"2"	"6"	"176"	"5"	"4"	"8"	"9"	"27"	"20"	"6"	"12"	"2"	"45"	"473"	"0"	"473"	"0"
"77"	"72"	"162"	"7"	"10"	"5"	"4"	"93"	"1"	"2"	"8"	"37"	"3"	"5"	"7"	"26"	"1"	"65"	"436"	"0"	"436"	"0"
"78"	"73"	"60"	"2"	"0"	"0"	"1"	"179"	"2"	"2"	"9"	"10"	"17"	"8"	"0"	"23"	"2"	"24"	"339"	"0"	"339"	"0"
"79"	"74"	"134"	"3"	"81"	"12"	"2"	"124"	"8"	"1"	"8"	"6"	"5"	"7"	"2"	"17"	"6"	"21"	"437"	"0"	"437"	"0"
"80"	"75"	"144"	"1"	"36"	"9"	"1"	"131"	"8"	"2"	"5"	"5"	"22"	"11"	"7"	"31"	"3"	"118"	"534"	"0"	"534"	"0"
"81"	"76"	"265"	"29"	"3"	"14"	"1"	"160"	"4"	"4"	"7"	"6"	"22"	"10"	"6"	"36"	"27"	"35"	"629"	"0"	"629"	"0"
"82"	"77"	"104"	"8"	"126"	"5"	"3"	"87"	"1"	"5"	"8"	"7"	"9"	"12"	"5"	"81"	"4"	"18"	"483"	"0"	"483"	"0"
"83"	"78"	"85"	"12"	"86"	"2"	"3"	"123"	"5"	"1"	"11"	"61"	"16"	"49"	"6"	"102"	"8"	"21"	"591"	"0"	"591"	"0"
"84"	"79"	"74"	"12"	"229"	"7"	"4"	"15"	"4"	"6"	"9"	"63"	"3"	"25"	"8"	"37"	"4"	"15"	"515"	"0"	"515"	"0"
"85"	"80"	"91"	"0"	"56"	"7"	"2"	"32"	"3"	"1"	"4"	"5"	"0"	"101"	"3"	"143"	"5"	"3"	"456"	"0"	"456"	"0"
"86"	"81"	"160"	"4"	"3"	"8"	"0"	"79"	"2"	"1"	"2"	"0"	"5"	"1"	"3"	"21"	"2"	"6"	"297"	"0"	"297"	"0"
"87"	"82"	"153"	"1"	"28"	"3"	"0"	"57"	"0"	"0"	"6"	"4"	"1"	"1"	"3"	"29"	"4"	"5"	"295"	"0"	"295"	"0"
"88"	"83"	"229"	"1"	"2"	"1"	"2"	"77"	"1"	"0"	"3"	"2"	"5"	"1"	"1"	"48"	"1"	"7"	"381"	"0"	"381"	"0"
"89"	"84"	"56"	"7"	"16"	"3"	"2"	"113"	"4"	"1"	"9"	"26"	"6"	"1"	"2"	"8"	"0"	"6"	"260"	"0"	"260"	"0"
"90"	"85"	"27"	"1"	"23"	"1"	"2"	"180"	"3"	"3"	"8"	"3"	"13"	"30"	"5"	"27"	"1"	"83"	"410"	"0"	"410"	"0"
"91"	"86"	"33"	"3"	"76"	"5"	"1"	"370"	"7"	"2"	"13"	"8"	"27"	"5"	"9"	"28"	"6"	"52"	"645"	"0"	"645"	"0"
"92"	"87"	"74"	"6"	"25"	"5"	"2"	"23"	"5"	"2"	"4"	"75"	"7"	"7"	"2"	"13"	"0"	"18"	"268"	"0"	"268"	"0"
"93"	"88"	"280"	"7"	"5"	"12"	"1"	"61"	"3"	"1"	"0"	"1"	"1"	"1"	"3"	"57"	"1"	"28"	"462"	"0"	"462"	"0"
"94"	"89"	"113"	"2"	"29"	"4"	"6"	"199"	"8"	"9"	"33"	"6"	"22"	"7"	"6"	"52"	"1"	"41"	"538"	"0"	"538"	"0"
"95"	"90"	"148"	"4"	"34"	"4"	"7"	"83"	"4"	"2"	"4"	"2"	"5"	"1"	"1"	"11"	"5"	"42"	"357"	"0"	"357"	"0"
"96"	"91"	"60"	"5"	"14"	"4"	"4"	"84"	"0"	"0"	"4"	"1"	"6"	"19"	"0"	"6"	"1"	"9"	"217"	"0"	"217"	"0"
"97"	"92"	"155"	"8"	"48"	"9"	"14"	"185"	"1"	"2"	"14"	"7"	"15"	"9"	"1"	"11"	"14"	"45"	"538"	"0"	"538"	"0"
"98"	"93"	"354"	"22"	"41"	"12"	"1"	"188"	"5"	"2"	"7"	"1"	"13"	"2"	"5"	"32"	"7"	"29"	"721"	"0"	"721"	"0"
"99"	"94"	"124"	"4"	"3"	"4"	"2"	"133"	"10"	"1"	"12"	"26"	"15"	"2"	"2"	"24"	"19"	"17"	"398"	"0"	"398"	"0"
"100"	"95"	"270"	"13"	"39"	"20"	"7"	"98"	"6"	"7"	"10"	"41"	"9"	"9"	"4"	"30"	"42"	"21"	"626"	"0"	"626"	"0"
"101"	"96"	"266"	"18"	"58"	"6"	"0"	"117"	"3"	"1"	"12"	"8"	"12"	"6"	"4"	"39"	"5"	"15"	"570"	"0"	"570"	"0"
"102"	"97"	"283"	"4"	"14"	"16"	"3"	"72"	"1"	"0"	"6"	"1"	"3"	"1"	"4"	"16"	"38"	"19"	"481"	"0"	"481"	"0"
"103"	"98"	"130"	"6"	"11"	"15"	"0"	"86"	"1"	"1"	"4"	"0"	"3"	"8"	"3"	"60"	"42"	"11"	"381"	"0"	"381"	"0"
"104"	"99"	"1"	"0"	"0"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"145"	"156"	"0"	"156"	"0"
"105"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"106"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"107"	"100"	"162"	"4"	"33"	"6"	"0"	"87"	"1"	"0"	"3"	"22"	"8"	"1"	"4"	"25"	"4"	"84"	"444"	"0"	"444"	"0"
"108"	"101"	"134"	"47"	"4"	"12"	"9"	"249"	"6"	"2"	"39"	"5"	"15"	"7"	"8"	"19"	"43"	"23"	"622"	"0"	"622"	"0"
"109"	"102"	"93"	"1"	"23"	"6"	"1"	"201"	"1"	"0"	"5"	"1"	"5"	"0"	"2"	"10"	"1"	"31"	"381"	"0"	"381"	"0"
"110"	"103"	"179"	"7"	"5"	"26"	"1"	"133"	"2"	"0"	"7"	"2"	"3"	"13"	"0"	"10"	"2"	"19"	"409"	"0"	"409"	"0"
"111"	"104"	"78"	"7"	"75"	"12"	"3"	"131"	"0"	"1"	"1"	"4"	"8"	"2"	"5"	"3"	"2"	"5"	"337"	"0"	"337"	"0"
"112"	"105"	"172"	"1"	"2"	"6"	"0"	"32"	"2"	"0"	"3"	"2"	"2"	"0"	"0"	"35"	"0"	"17"	"274"	"0"	"274"	"0"
"113"	"106"	"236"	"74"	"32"	"7"	"2"	"112"	"1"	"0"	"11"	"0"	"2"	"4"	"2"	"33"	"6"	"34"	"556"	"0"	"556"	"0"
"114"	"107"	"317"	"15"	"90"	"18"	"2"	"112"	"4"	"5"	"9"	"4"	"6"	"15"	"12"	"49"	"4"	"23"	"685"	"0"	"685"	"0"
"115"	"108"	"182"	"40"	"1"	"7"	"0"	"46"	"1"	"0"	"0"	"3"	"2"	"2"	"1"	"8"	"2"	"15"	"310"	"0"	"310"	"0"
"116"	"109"	"165"	"14"	"8"	"6"	"0"	"35"	"2"	"1"	"1"	"4"	"0"	"0"	"0"	"13"	"0"	"7"	"256"	"0"	"256"	"0"
"117"	"110"	"190"	"55"	"22"	"17"	"2"	"89"	"6"	"4"	"12"	"5"	"4"	"10"	"4"	"5"	"5"	"14"	"444"	"0"	"444"	"0"
"118"	"111"	"145"	"37"	"6"	"3"	"4"	"110"	"2"	"4"	"8"	"4"	"3"	"10"	"1"	"8"	"5"	"16"	"366"	"0"	"366"	"0"
"119"	"112"	"105"	"44"	"2"	"10"	"1"	"98"	"2"	"0"	"7"	"3"	"5"	"1"	"6"	"7"	"3"	"8"	"302"	"0"	"302"	"0"
"120"	"113"	"16"	"4"	"5"	"10"	"1"	"159"	"2"	"2"	"4"	"6"	"8"	"5"	"4"	"23"	"2"	"14"	"265"	"0"	"265"	"0"
"121"	"114"	"204"	"12"	"10"	"22"	"2"	"155"	"3"	"1"	"10"	"5"	"6"	"5"	"4"	"10"	"3"	"14"	"466"	"0"	"466"	"0"
"122"	"115"	"302"	"2"	"1"	"11"	"1"	"63"	"0"	"2"	"2"	"0"	"0"	"5"	"0"	"8"	"1"	"7"	"405"	"0"	"405"	"0"
"123"	"116"	"35"	"0"	"2"	"5"	"2"	"326"	"2"	"0"	"3"	"5"	"9"	"0"	"2"	"7"	"1"	"16"	"415"	"0"	"415"	"0"
"124"	"117"	"67"	"3"	"24"	"10"	"3"	"338"	"7"	"2"	"11"	"2"	"14"	"5"	"5"	"6"	"1"	"37"	"535"	"0"	"535"	"0"
"125"	"118"	"39"	"10"	"44"	"14"	"14"	"327"	"3"	"2"	"10"	"6"	"59"	"3"	"3"	"7"	"2"	"36"	"579"	"0"	"579"	"0"
"126"	"119"	"41"	"7"	"80"	"37"	"3"	"211"	"5"	"3"	"7"	"1"	"11"	"2"	"2"	"16"	"2"	"18"	"446"	"0"	"446"	"0"
"127"	"120"	"39"	"5"	"16"	"20"	"2"	"188"	"4"	"1"	"9"	"27"	"6"	"2"	"3"	"10"	"12"	"53"	"397"	"0"	"397"	"0"
"128"	"121"	"26"	"1"	"9"	"4"	"2"	"289"	"3"	"1"	"11"	"4"	"11"	"23"	"2"	"47"	"1"	"99"	"533"	"0"	"533"	"0"
"129"	"122"	"7"	"6"	"12"	"7"	"2"	"215"	"3"	"6"	"1"	"3"	"7"	"2"	"1"	"37"	"3"	"32"	"344"	"0"	"344"	"0"
"130"	"123"	"190"	"60"	"6"	"2"	"1"	"76"	"2"	"0"	"4"	"2"	"6"	"17"	"0"	"16"	"3"	"13"	"398"	"0"	"398"	"0"
"131"	"124"	"129"	"71"	"3"	"13"	"0"	"83"	"1"	"2"	"2"	"4"	"11"	"20"	"1"	"24"	"6"	"18"	"388"	"0"	"388"	"0"
"132"	"125"	"180"	"23"	"12"	"17"	"0"	"170"	"3"	"1"	"19"	"5"	"13"	"5"	"9"	"40"	"10"	"52"	"559"	"0"	"559"	"0"
"133"	"126"	"118"	"2"	"32"	"10"	"0"	"119"	"1"	"1"	"3"	"0"	"2"	"2"	"1"	"57"	"1"	"4"	"353"	"0"	"353"	"0"
"134"	"127"	"134"	"9"	"100"	"25"	"4"	"179"	"8"	"3"	"11"	"5"	"17"	"2"	"8"	"154"	"8"	"20"	"687"	"0"	"687"	"0"
"135"	"128"	"131"	"2"	"2"	"4"	"0"	"38"	"0"	"3"	"5"	"0"	"4"	"12"	"8"	"66"	"6"	"16"	"297"	"0"	"297"	"0"
"136"	"129"	"28"	"2"	"2"	"28"	"4"	"427"	"5"	"4"	"10"	"6"	"8"	"7"	"5"	"19"	"1"	"70"	"626"	"0"	"626"	"0"
"137"	"130"	"49"	"4"	"11"	"5"	"12"	"517"	"7"	"6"	"9"	"6"	"44"	"9"	"7"	"5"	"3"	"26"	"720"	"0"	"720"	"0"
"138"	"131"	"136"	"5"	"12"	"25"	"5"	"189"	"6"	"2"	"10"	"6"	"37"	"21"	"3"	"27"	"7"	"14"	"505"	"0"	"505"	"0"
"139"	"132"	"9"	"0"	"0"	"0"	"0"	"208"	"1"	"0"	"2"	"1"	"3"	"0"	"2"	"2"	"0"	"13"	"241"	"0"	"241"	"0"
"140"	"Serial No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"141"	""	"ANIL KUMAR"	"MD. IBRAHIM"	"PANCHAM KUMAR"	"SANJEEV SINGH"	"SATISH KUMAR URF RAJU"	"SIDDHARTH"	"ARJUN PRASAD"	"RANDHIR KUMAR"	"RANA RAJU PRATAP SINGH"	"LEELA VERMA"	"BIRENDRA PRASAD"	"AJAY KUMAR"	"RAGHWEN DRA PRASAD"	"RAM JANAMA SHARMA"	"VAIKUNTHA MANJHI"	"SUBHASH PRASAD YADAV"	""	""	""	""
"142"	"133"	"9"	"1"	"0"	"1"	"2"	"154"	"3"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"12"	"185"	"0"	"185"	"0"
"143"	"134"	"163"	"3"	"3"	"3"	"1"	"115"	"4"	"1"	"6"	"1"	"22"	"2"	"2"	"11"	"2"	"27"	"366"	"0"	"366"	"0"
"144"	"135"	"247"	"4"	"1"	"8"	"1"	"158"	"3"	"2"	"5"	"6"	"13"	"2"	"3"	"10"	"5"	"30"	"498"	"0"	"498"	"0"
"145"	"136"	"148"	"3"	"2"	"1"	"0"	"63"	"4"	"1"	"3"	"1"	"3"	"2"	"0"	"4"	"0"	"7"	"242"	"0"	"242"	"0"
