"Candidates.Name.....Booth.No......"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"11"	"9"	"46"	"2"	"41"	"406"	"7"	"3"	"1"	"2"	"1"	"1"	"2"	"5"	"3"	"3"	"4"	"4"	"0"	"0"	"0"	"9"	"1"	"541"
"12"	"10"	"24"	"0"	"28"	"358"	"2"	"4"	"2"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"2"	"432"
"13"	"11"	"72"	"4"	"29"	"283"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"3"	"2"	"3"	"4"	"411"
"14"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"16"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"17"	"12"	"63"	"4"	"38"	"522"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"642"
"18"	"13"	"26"	"2"	"24"	"529"	"7"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"595"
"19"	"14"	"79"	"2"	"200"	"151"	"6"	"3"	"4"	"3"	"2"	"3"	"2"	"9"	"5"	"14"	"3"	"9"	"1"	"0"	"2"	"0"	"2"	"500"
"20"	"15"	"38"	"5"	"47"	"424"	"6"	"1"	"0"	"2"	"1"	"1"	"1"	"6"	"8"	"4"	"3"	"8"	"1"	"0"	"2"	"2"	"1"	"561"
"21"	"16"	"47"	"0"	"159"	"325"	"2"	"0"	"3"	"4"	"1"	"3"	"2"	"1"	"2"	"7"	"5"	"13"	"3"	"1"	"1"	"1"	"2"	"582"
"22"	"17"	"14"	"0"	"140"	"212"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"3"	"4"	"9"	"2"	"5"	"1"	"1"	"2"	"6"	"2"	"408"
"23"	"18"	"110"	"4"	"70"	"189"	"18"	"1"	"1"	"3"	"2"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"408"
"24"	"19"	"110"	"6"	"177"	"318"	"5"	"2"	"5"	"6"	"2"	"1"	"1"	"7"	"4"	"5"	"8"	"19"	"1"	"4"	"1"	"7"	"3"	"692"
"25"	"20"	"97"	"27"	"94"	"131"	"4"	"1"	"1"	"1"	"1"	"3"	"1"	"8"	"12"	"26"	"6"	"20"	"0"	"1"	"1"	"1"	"2"	"438"
"26"	"21"	"46"	"11"	"47"	"221"	"11"	"2"	"1"	"6"	"1"	"1"	"3"	"8"	"7"	"7"	"10"	"31"	"3"	"6"	"2"	"16"	"9"	"449"
"27"	"22"	"78"	"7"	"46"	"375"	"12"	"3"	"2"	"1"	"0"	"2"	"0"	"0"	"3"	"2"	"0"	"3"	"0"	"0"	"0"	"7"	"1"	"542"
"28"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"30"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"31"	"23"	"41"	"3"	"80"	"62"	"15"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"3"	"2"	"5"	"9"	"2"	"0"	"0"	"0"	"3"	"232"
"32"	"24"	"66"	"3"	"24"	"77"	"3"	"0"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"0"	"3"	"0"	"0"	"1"	"1"	"0"	"186"
"33"	"25"	"154"	"7"	"98"	"356"	"16"	"3"	"5"	"3"	"2"	"2"	"4"	"5"	"15"	"11"	"7"	"27"	"2"	"0"	"0"	"1"	"1"	"719"
"34"	"26"	"83"	"4"	"110"	"158"	"49"	"2"	"1"	"3"	"2"	"1"	"1"	"3"	"8"	"6"	"4"	"14"	"4"	"2"	"5"	"1"	"1"	"462"
"35"	"27"	"172"	"1"	"101"	"217"	"4"	"3"	"2"	"1"	"3"	"1"	"1"	"9"	"8"	"7"	"5"	"11"	"5"	"4"	"7"	"7"	"4"	"573"
"36"	"28"	"24"	"3"	"13"	"105"	"7"	"2"	"0"	"0"	"2"	"0"	"2"	"3"	"5"	"3"	"2"	"12"	"2"	"2"	"2"	"4"	"3"	"196"
"37"	"29"	"16"	"2"	"151"	"114"	"16"	"1"	"1"	"4"	"1"	"3"	"0"	"2"	"2"	"2"	"1"	"1"	"1"	"5"	"4"	"4"	"1"	"332"
"38"	"30"	"14"	"0"	"45"	"290"	"31"	"8"	"3"	"2"	"2"	"3"	"3"	"3"	"3"	"4"	"0"	"2"	"8"	"1"	"1"	"3"	"4"	"430"
"39"	"30A"	"20"	"2"	"61"	"188"	"25"	"0"	"2"	"11"	"3"	"8"	"3"	"6"	"8"	"12"	"9"	"13"	"2"	"3"	"3"	"10"	"2"	"391"
"40"	"31"	"54"	"6"	"125"	"448"	"17"	"2"	"3"	"1"	"2"	"0"	"0"	"2"	"5"	"4"	"2"	"2"	"4"	"4"	"4"	"13"	"4"	"702"
"41"	"32"	"13"	"6"	"5"	"166"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"200"
"42"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"45"	"33"	"110"	"9"	"19"	"248"	"9"	"2"	"1"	"6"	"0"	"0"	"3"	"7"	"4"	"1"	"5"	"10"	"1"	"0"	"1"	"3"	"4"	"443"
"46"	"33A"	"68"	"1"	"14"	"124"	"5"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"4"	"3"	"5"	"11"	"2"	"0"	"0"	"5"	"4"	"253"
"47"	"34"	"67"	"14"	"15"	"302"	"50"	"7"	"7"	"4"	"1"	"3"	"6"	"10"	"23"	"9"	"7"	"15"	"5"	"4"	"6"	"10"	"12"	"577"
"48"	"35"	"71"	"0"	"29"	"374"	"18"	"1"	"2"	"6"	"1"	"5"	"3"	"5"	"6"	"4"	"6"	"17"	"6"	"2"	"1"	"17"	"5"	"579"
"49"	"36"	"96"	"6"	"112"	"256"	"6"	"3"	"6"	"14"	"2"	"3"	"4"	"4"	"11"	"19"	"8"	"18"	"2"	"3"	"6"	"3"	"4"	"586"
"50"	"37"	"77"	"45"	"18"	"62"	"1"	"0"	"2"	"1"	"0"	"2"	"3"	"2"	"5"	"2"	"2"	"18"	"4"	"1"	"1"	"1"	"2"	"249"
"51"	"38"	"207"	"3"	"6"	"167"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"5"	"9"	"1"	"3"	"4"	"2"	"419"
"52"	"39"	"210"	"4"	"62"	"324"	"88"	"5"	"10"	"7"	"1"	"25"	"0"	"2"	"3"	"3"	"1"	"5"	"7"	"1"	"2"	"3"	"4"	"767"
"53"	"40"	"84"	"6"	"20"	"333"	"44"	"5"	"5"	"2"	"3"	"2"	"1"	"6"	"0"	"0"	"2"	"10"	"4"	"2"	"1"	"4"	"3"	"537"
"54"	"41"	"80"	"5"	"78"	"310"	"195"	"3"	"18"	"11"	"6"	"17"	"9"	"16"	"14"	"16"	"8"	"43"	"4"	"3"	"6"	"5"	"8"	"855"
"55"	"42"	"99"	"4"	"156"	"121"	"131"	"3"	"4"	"8"	"1"	"5"	"1"	"5"	"1"	"4"	"2"	"12"	"10"	"6"	"6"	"6"	"5"	"590"
"56"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"57"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"58"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"59"	"43"	"31"	"7"	"240"	"196"	"58"	"1"	"1"	"2"	"0"	"6"	"2"	"2"	"7"	"3"	"1"	"7"	"2"	"3"	"6"	"6"	"6"	"587"
"60"	"44"	"142"	"168"	"86"	"111"	"18"	"3"	"9"	"2"	"1"	"3"	"3"	"4"	"4"	"12"	"13"	"21"	"3"	"1"	"5"	"4"	"4"	"617"
"61"	"45"	"27"	"248"	"35"	"24"	"0"	"1"	"0"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"3"	"0"	"2"	"0"	"351"
"62"	"46"	"43"	"2"	"49"	"454"	"62"	"1"	"4"	"0"	"1"	"7"	"3"	"0"	"1"	"1"	"1"	"4"	"4"	"3"	"1"	"3"	"4"	"648"
"63"	"47"	"57"	"4"	"28"	"256"	"18"	"1"	"4"	"5"	"2"	"18"	"4"	"2"	"7"	"4"	"3"	"14"	"6"	"1"	"1"	"5"	"3"	"443"
"64"	"48"	"24"	"4"	"11"	"304"	"21"	"2"	"3"	"1"	"3"	"3"	"3"	"5"	"9"	"2"	"5"	"4"	"2"	"0"	"1"	"5"	"2"	"414"
"65"	"49"	"11"	"43"	"29"	"246"	"233"	"13"	"8"	"15"	"3"	"10"	"9"	"7"	"9"	"3"	"7"	"17"	"2"	"4"	"4"	"1"	"7"	"681"
"66"	"50"	"97"	"36"	"76"	"252"	"27"	"5"	"1"	"3"	"1"	"2"	"3"	"5"	"4"	"5"	"1"	"18"	"2"	"0"	"1"	"4"	"5"	"548"
"67"	"51"	"113"	"30"	"124"	"146"	"4"	"1"	"3"	"2"	"1"	"16"	"1"	"2"	"2"	"3"	"3"	"2"	"0"	"0"	"2"	"2"	"1"	"458"
"68"	"52"	"196"	"49"	"66"	"128"	"2"	"2"	"2"	"2"	"0"	"22"	"1"	"2"	"2"	"6"	"7"	"19"	"2"	"1"	"1"	"2"	"1"	"513"
"69"	"53"	"18"	"3"	"11"	"144"	"8"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"196"
"70"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"72"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"73"	"54"	"85"	"187"	"36"	"216"	"6"	"3"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"0"	"2"	"3"	"2"	"2"	"1"	"1"	"0"	"551"
"74"	"55"	"126"	"122"	"27"	"174"	"44"	"1"	"3"	"0"	"1"	"5"	"1"	"11"	"4"	"5"	"6"	"11"	"5"	"3"	"1"	"3"	"2"	"555"
"75"	"56"	"232"	"27"	"19"	"12"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"6"	"3"	"2"	"0"	"0"	"0"	"305"
"76"	"57"	"253"	"20"	"35"	"17"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"4"	"9"	"2"	"1"	"1"	"0"	"0"	"351"
"77"	"58"	"19"	"4"	"3"	"142"	"115"	"9"	"3"	"1"	"1"	"6"	"3"	"17"	"8"	"3"	"12"	"6"	"1"	"1"	"1"	"2"	"2"	"359"
"78"	"59"	"265"	"41"	"196"	"29"	"3"	"1"	"1"	"2"	"2"	"2"	"1"	"3"	"1"	"3"	"2"	"14"	"19"	"4"	"9"	"6"	"4"	"608"
"79"	"60"	"299"	"93"	"21"	"142"	"9"	"0"	"2"	"3"	"0"	"3"	"2"	"0"	"0"	"0"	"4"	"14"	"8"	"2"	"0"	"2"	"1"	"605"
"80"	"61"	"79"	"73"	"69"	"122"	"8"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"5"	"4"	"4"	"0"	"4"	"5"	"383"
"81"	"62"	"19"	"4"	"73"	"273"	"16"	"3"	"3"	"3"	"1"	"1"	"2"	"4"	"1"	"0"	"1"	"0"	"5"	"3"	"3"	"4"	"7"	"426"
"82"	"63"	"61"	"7"	"183"	"258"	"20"	"2"	"4"	"3"	"3"	"3"	"2"	"4"	"16"	"7"	"7"	"17"	"1"	"0"	"1"	"2"	"2"	"603"
"83"	"64"	"116"	"8"	"56"	"250"	"40"	"8"	"5"	"5"	"5"	"0"	"1"	"11"	"3"	"12"	"13"	"25"	"6"	"1"	"1"	"10"	"4"	"580"
"84"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"86"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"87"	"65"	"226"	"15"	"124"	"65"	"73"	"0"	"1"	"3"	"1"	"0"	"1"	"4"	"1"	"6"	"2"	"6"	"2"	"0"	"1"	"1"	"1"	"533"
"88"	"66"	"132"	"4"	"16"	"109"	"4"	"2"	"2"	"2"	"2"	"0"	"1"	"1"	"1"	"4"	"1"	"14"	"3"	"2"	"1"	"1"	"1"	"303"
"89"	"67"	"155"	"2"	"16"	"163"	"15"	"1"	"2"	"1"	"0"	"4"	"0"	"2"	"7"	"1"	"1"	"5"	"3"	"1"	"2"	"6"	"3"	"390"
"90"	"68"	"56"	"2"	"153"	"205"	"73"	"5"	"5"	"20"	"1"	"1"	"5"	"5"	"12"	"24"	"12"	"29"	"13"	"9"	"8"	"9"	"21"	"668"
"91"	"69"	"64"	"2"	"127"	"291"	"107"	"13"	"2"	"36"	"5"	"6"	"6"	"18"	"17"	"13"	"13"	"40"	"4"	"1"	"8"	"11"	"10"	"794"
"92"	"70"	"67"	"2"	"17"	"230"	"21"	"50"	"3"	"18"	"3"	"2"	"3"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"424"
"93"	"71"	"45"	"2"	"15"	"74"	"35"	"0"	"3"	"57"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"3"	"2"	"5"	"2"	"5"	"254"
"94"	"72"	"22"	"8"	"38"	"162"	"20"	"2"	"1"	"0"	"1"	"0"	"3"	"7"	"3"	"5"	"11"	"5"	"1"	"1"	"3"	"2"	"1"	"296"
"95"	"73"	"95"	"5"	"106"	"68"	"12"	"1"	"3"	"4"	"3"	"3"	"2"	"2"	"5"	"17"	"16"	"26"	"15"	"1"	"14"	"9"	"3"	"410"
"96"	"74"	"20"	"6"	"32"	"234"	"18"	"61"	"3"	"2"	"1"	"2"	"1"	"3"	"6"	"2"	"5"	"7"	"2"	"6"	"1"	"4"	"6"	"422"
"97"	"75"	"46"	"5"	"75"	"239"	"15"	"29"	"2"	"2"	"2"	"0"	"7"	"6"	"8"	"16"	"5"	"17"	"5"	"4"	"6"	"8"	"7"	"504"
"98"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"100"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"101"	"76"	"218"	"2"	"67"	"255"	"5"	"3"	"3"	"6"	"6"	"3"	"8"	"0"	"1"	"4"	"22"	"6"	"6"	"0"	"1"	"4"	"1"	"621"
"102"	"77"	"14"	"3"	"211"	"105"	"16"	"0"	"0"	"2"	"3"	"0"	"2"	"2"	"1"	"10"	"0"	"7"	"1"	"3"	"5"	"5"	"2"	"392"
"103"	"78"	"20"	"2"	"259"	"93"	"75"	"4"	"3"	"2"	"0"	"0"	"1"	"5"	"3"	"14"	"6"	"8"	"1"	"2"	"0"	"2"	"1"	"501"
"104"	"79"	"47"	"1"	"52"	"118"	"5"	"2"	"2"	"4"	"4"	"0"	"7"	"5"	"5"	"3"	"3"	"8"	"10"	"1"	"6"	"11"	"5"	"299"
"105"	"80"	"11"	"12"	"112"	"145"	"163"	"3"	"0"	"4"	"0"	"2"	"0"	"0"	"1"	"4"	"1"	"2"	"2"	"1"	"13"	"3"	"0"	"479"
"106"	"81"	"8"	"0"	"116"	"183"	"67"	"0"	"3"	"2"	"2"	"0"	"3"	"1"	"1"	"2"	"0"	"3"	"1"	"1"	"2"	"2"	"0"	"397"
"107"	"82"	"17"	"13"	"78"	"362"	"37"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"5"	"2"	"3"	"1"	"526"
"108"	"83"	"200"	"2"	"31"	"118"	"40"	"0"	"0"	"0"	"2"	"0"	"3"	"1"	"1"	"1"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"405"
"109"	"84"	"80"	"3"	"12"	"245"	"23"	"11"	"11"	"8"	"5"	"4"	"1"	"2"	"5"	"1"	"6"	"4"	"7"	"2"	"0"	"3"	"2"	"435"
"110"	"85"	"81"	"8"	"24"	"267"	"17"	"1"	"13"	"3"	"1"	"2"	"4"	"9"	"5"	"10"	"7"	"17"	"3"	"2"	"1"	"6"	"3"	"484"
"111"	"86"	"186"	"21"	"27"	"114"	"18"	"1"	"2"	"6"	"3"	"8"	"1"	"1"	"1"	"1"	"1"	"3"	"4"	"1"	"3"	"4"	"0"	"406"
"112"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	""	"Amit Kumar"	"Ajam Hussain Anwar"	"Nagina Devi"	"Moti Lal Prasad"	"Ram Sakal Sahani"	"Gonaur Das"	"Dropati Devi"	"Pushkar Jha"	"Lalan Paswan"	"Sikandar Mahto"	"Sunil Kumar"	"Gopal Paswan"	"Chandrika Prasad"	"Jalandhar Sah"	"Dhukharan Jha"	"Niranjan Rai"	"Yugal Jha"	"Ramesh Sah"	"Ram Pukar Ram"	"Shiv Shankar Bhagat"	"Sikendar Paswan"	"Total of valid votes"
"114"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"115"	"87"	"124"	"7"	"110"	"181"	"5"	"0"	"4"	"0"	"2"	"0"	"0"	"2"	"6"	"11"	"2"	"10"	"6"	"4"	"3"	"1"	"3"	"481"
"116"	"88"	"63"	"5"	"27"	"222"	"145"	"3"	"3"	"6"	"3"	"10"	"2"	"19"	"6"	"4"	"1"	"11"	"2"	"1"	"2"	"3"	"8"	"546"
"117"	"89"	"186"	"25"	"57"	"322"	"81"	"3"	"4"	"1"	"1"	"4"	"4"	"8"	"0"	"1"	"1"	"8"	"3"	"2"	"3"	"2"	"2"	"718"
"118"	"90"	"55"	"4"	"64"	"161"	"9"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"303"
"119"	"91"	"66"	"260"	"125"	"75"	"5"	"2"	"3"	"0"	"0"	"3"	"0"	"0"	"1"	"5"	"4"	"0"	"0"	"1"	"0"	"1"	"0"	"551"
"120"	"92"	"52"	"64"	"61"	"271"	"7"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"5"	"4"	"3"	"3"	"2"	"487"
"121"	"93"	"83"	"55"	"128"	"68"	"47"	"8"	"16"	"6"	"4"	"1"	"4"	"6"	"9"	"18"	"10"	"9"	"1"	"2"	"8"	"4"	"1"	"488"
"122"	"94"	"36"	"52"	"75"	"254"	"25"	"3"	"2"	"3"	"0"	"18"	"2"	"5"	"4"	"4"	"0"	"3"	"2"	"1"	"1"	"3"	"2"	"495"
"123"	"95"	"168"	"13"	"95"	"65"	"15"	"5"	"6"	"10"	"4"	"143"	"2"	"4"	"3"	"7"	"0"	"16"	"5"	"1"	"4"	"3"	"2"	"571"
"124"	"96"	"205"	"16"	"57"	"54"	"17"	"6"	"6"	"4"	"2"	"2"	"0"	"4"	"1"	"5"	"4"	"12"	"3"	"0"	"1"	"5"	"1"	"405"
"125"	"97"	"66"	"11"	"113"	"124"	"6"	"1"	"3"	"6"	"2"	"3"	"0"	"2"	"1"	"1"	"0"	"2"	"2"	"2"	"2"	"3"	"4"	"354"
"126"	"Candidates Name--->
Booth No '
'
'"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
