"Total.No..of.Electors.in.Assembly.Constituency........230072"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"04- Bagaha Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"23"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"04- Bagaha Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"11"	"12"	"13"	"14"	""
"32"	"15"	"6"	"7"	"259"	"57"	"26"	"0"	"6"	"77"	"7"	"1"	"1"	"0"	"1"	"2"	"2"	"452"	"0"	"452"	"0"	""
"33"	"16"	"11"	"159"	"183"	"49"	"74"	"2"	"6"	"25"	"2"	"5"	"2"	"3"	"5"	"7"	"9"	"542"	"0"	"542"	"0"	""
"34"	"17"	"4"	"2"	"160"	"14"	"36"	"2"	"14"	"227"	"6"	"2"	"1"	"4"	"3"	"3"	"9"	"487"	"0"	"487"	"0"	""
"35"	"18"	"10"	"150"	"349"	"17"	"161"	"2"	"3"	"3"	"2"	"2"	"3"	"15"	"2"	"10"	"2"	"731"	"0"	"731"	"0"	""
"36"	"19"	"5"	"38"	"153"	"32"	"88"	"3"	"5"	"23"	"7"	"2"	"0"	"6"	"20"	"9"	"6"	"397"	"0"	"397"	"0"	""
"37"	"20"	"3"	"60"	"268"	"41"	"19"	"2"	"3"	"9"	"4"	"4"	"2"	"0"	"4"	"6"	"5"	"430"	"0"	"430"	"0"	""
"38"	"21"	"3"	"77"	"256"	"18"	"54"	"1"	"16"	"64"	"10"	"0"	"0"	"6"	"11"	"2"	"3"	"521"	"0"	"521"	"0"	""
"39"	"22"	"9"	"145"	"336"	"13"	"42"	"6"	"11"	"31"	"9"	"5"	"3"	"10"	"11"	"11"	"14"	"656"	"0"	"656"	"0"	""
"40"	"23"	"7"	"110"	"391"	"18"	"69"	"8"	"12"	"44"	"13"	"2"	"4"	"15"	"15"	"16"	"20"	"744"	"0"	"744"	"0"	""
"41"	"24"	"2"	"41"	"249"	"15"	"90"	"0"	"7"	"20"	"5"	"2"	"3"	"0"	"5"	"8"	"1"	"448"	"0"	"448"	"0"	""
"42"	"25"	"21"	"106"	"430"	"28"	"192"	"4"	"19"	"48"	"7"	"3"	"2"	"11"	"3"	"3"	"4"	"881"	"0"	"881"	"0"	""
"43"	"26"	"7"	"56"	"369"	"23"	"161"	"5"	"9"	"15"	"17"	"3"	"4"	"5"	"6"	"2"	"8"	"690"	"0"	"690"	"0"	""
"44"	"27"	"14"	"33"	"486"	"149"	"119"	"3"	"9"	"20"	"3"	"1"	"5"	"7"	"4"	"2"	"1"	"856"	"0"	"856"	"0"	""
"45"	"28"	"4"	"48"	"206"	"47"	"191"	"3"	"6"	"44"	"13"	"8"	"11"	"5"	"9"	"8"	"3"	"606"	"0"	"606"	"0"	""
"46"	"Total"	"106"	"1032"	"4095"	"521"	"1322"	"41"	"126"	"650"	"105"	"40"	"41"	"87"	"99"	"89"	"87"	"8441"	"0"	"8441"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"04- Bagaha Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"11"	"12"	"13"	"14"	""
"57"	"29"	"11"	"129"	"431"	"71"	"119"	"7"	"10"	"39"	"8"	"2"	"40"	"5"	"6"	"6"	"12"	"896"	"0"	"896"	"0"	""
"58"	"30"	"2"	"51"	"157"	"9"	"73"	"1"	"0"	"0"	"1"	"0"	"1"	"17"	"7"	"6"	"1"	"326"	"0"	"326"	"0"	""
"59"	"31"	"2"	"95"	"172"	"6"	"59"	"0"	"6"	"81"	"4"	"2"	"3"	"3"	"7"	"12"	"8"	"460"	"0"	"460"	"0"	""
"60"	"32"	"2"	"10"	"204"	"11"	"62"	"1"	"0"	"1"	"3"	"2"	"2"	"0"	"9"	"2"	"0"	"309"	"0"	"309"	"0"	""
"61"	"33"	"3"	"15"	"584"	"22"	"24"	"2"	"7"	"67"	"11"	"4"	"20"	"23"	"26"	"18"	"12"	"838"	"0"	"838"	"0"	""
"62"	"34"	"6"	"25"	"399"	"57"	"41"	"2"	"4"	"10"	"2"	"1"	"6"	"43"	"15"	"14"	"9"	"634"	"0"	"634"	"0"	""
"63"	"35"	"3"	"60"	"301"	"33"	"33"	"3"	"4"	"6"	"3"	"0"	"1"	"6"	"15"	"6"	"4"	"478"	"0"	"478"	"0"	""
"64"	"36"	"4"	"21"	"242"	"41"	"68"	"3"	"5"	"4"	"3"	"5"	"2"	"13"	"12"	"0"	"5"	"428"	"0"	"428"	"0"	""
"65"	"37"	"8"	"15"	"554"	"47"	"27"	"3"	"13"	"54"	"10"	"1"	"3"	"53"	"7"	"6"	"4"	"805"	"0"	"805"	"0"	""
"66"	"38"	"3"	"121"	"369"	"40"	"39"	"3"	"7"	"36"	"9"	"3"	"0"	"24"	"5"	"10"	"4"	"673"	"0"	"673"	"0"	""
"67"	"39"	"15"	"51"	"320"	"25"	"91"	"3"	"21"	"120"	"17"	"4"	"3"	"5"	"4"	"15"	"11"	"705"	"0"	"705"	"0"	""
"68"	"40"	"6"	"36"	"376"	"13"	"38"	"5"	"20"	"102"	"14"	"3"	"2"	"24"	"10"	"12"	"11"	"672"	"0"	"672"	"0"	""
"69"	"41"	"1"	"20"	"245"	"150"	"34"	"0"	"2"	"8"	"6"	"2"	"2"	"12"	"1"	"1"	"0"	"484"	"0"	"484"	"0"	""
"70"	"42"	"16"	"48"	"162"	"346"	"152"	"7"	"4"	"16"	"9"	"4"	"5"	"21"	"9"	"8"	"9"	"816"	"0"	"816"	"0"	""
"71"	"Total"	"82"	"697"	"4516"	"871"	"860"	"40"	"103"	"544"	"100"	"33"	"90"	"249"	"133"	"116"	"90"	"8524"	"0"	"8524"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"04- Bagaha Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"11"	"12"	"13"	"14"	""
"82"	"43"	"7"	"25"	"296"	"117"	"288"	"5"	"13"	"17"	"16"	"9"	"8"	"79"	"3"	"4"	"7"	"894"	"0"	"894"	"0"	""
"83"	"44"	"6"	"32"	"395"	"23"	"144"	"8"	"21"	"163"	"21"	"5"	"7"	"12"	"9"	"17"	"9"	"872"	"0"	"872"	"0"	""
"84"	"45"	"8"	"88"	"325"	"16"	"67"	"3"	"12"	"49"	"8"	"0"	"4"	"6"	"0"	"6"	"4"	"596"	"0"	"596"	"0"	""
"85"	"46"	"10"	"39"	"361"	"8"	"48"	"10"	"11"	"84"	"6"	"4"	"7"	"10"	"9"	"5"	"5"	"617"	"0"	"617"	"0"	""
"86"	"47"	"17"	"65"	"300"	"27"	"76"	"4"	"22"	"217"	"20"	"6"	"3"	"6"	"12"	"15"	"19"	"809"	"0"	"809"	"0"	""
"87"	"48"	"6"	"11"	"357"	"9"	"11"	"2"	"14"	"121"	"18"	"3"	"3"	"9"	"25"	"14"	"8"	"611"	"0"	"611"	"0"	""
"88"	"49"	"9"	"22"	"300"	"29"	"27"	"6"	"7"	"69"	"7"	"2"	"2"	"3"	"15"	"6"	"10"	"514"	"0"	"514"	"0"	""
"89"	"50"	"38"	"15"	"316"	"35"	"107"	"3"	"5"	"108"	"4"	"3"	"2"	"6"	"5"	"2"	"4"	"653"	"0"	"653"	"0"	""
"90"	"51"	"10"	"38"	"306"	"56"	"29"	"3"	"11"	"246"	"8"	"2"	"7"	"8"	"6"	"15"	"5"	"750"	"0"	"750"	"0"	""
"91"	"52"	"2"	"168"	"274"	"93"	"24"	"2"	"5"	"17"	"3"	"2"	"3"	"17"	"8"	"9"	"3"	"630"	"0"	"630"	"0"	""
"92"	"53"	"4"	"18"	"370"	"4"	"38"	"1"	"12"	"57"	"10"	"1"	"1"	"12"	"8"	"6"	"8"	"550"	"0"	"550"	"0"	""
"93"	"54"	"2"	"91"	"425"	"8"	"17"	"3"	"15"	"130"	"12"	"2"	"2"	"17"	"8"	"3"	"12"	"747"	"0"	"747"	"0"	""
"94"	"55"	"5"	"22"	"415"	"3"	"14"	"2"	"4"	"9"	"4"	"0"	"0"	"8"	"5"	"6"	"2"	"499"	"0"	"499"	"0"	""
"95"	"56"	"7"	"77"	"294"	"15"	"161"	"2"	"8"	"15"	"5"	"5"	"2"	"4"	"9"	"8"	"7"	"619"	"0"	"619"	"0"	""
"96"	"Total"	"131"	"711"	"4734"	"443"	"1051"	"54"	"160"	"1302"	"142"	"44"	"51"	"197"	"122"	"116"	"103"	"9361"	"0"	"9361"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"04- Bagaha Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"107"	"57"	"9"	"68"	"496"	"11"	"66"	"3"	"11"	"51"	"7"	"1"	"1"	"6"	"5"	"12"	"10"	"757"	"0"	"757"	"0"	""
"108"	"58"	"6"	"5"	"385"	"21"	"18"	"1"	"3"	"30"	"7"	"2"	"2"	"4"	"13"	"2"	"2"	"501"	"0"	"501"	"0"	""
"109"	"59"	"0"	"31"	"423"	"5"	"4"	"2"	"3"	"2"	"0"	"0"	"3"	"11"	"29"	"11"	"1"	"525"	"0"	"525"	"0"	""
"110"	"60"	"6"	"304"	"157"	"41"	"13"	"2"	"1"	"3"	"3"	"1"	"3"	"10"	"3"	"4"	"4"	"555"	"0"	"555"	"0"	""
"111"	"61"	"4"	"104"	"234"	"9"	"19"	"1"	"2"	"10"	"1"	"0"	"1"	"18"	"12"	"1"	"2"	"418"	"0"	"418"	"0"	""
"112"	"62"	"4"	"43"	"394"	"26"	"12"	"3"	"2"	"5"	"5"	"2"	"1"	"36"	"15"	"9"	"5"	"562"	"0"	"562"	"0"	""
"113"	"63"	"2"	"17"	"336"	"16"	"5"	"1"	"4"	"3"	"2"	"0"	"1"	"15"	"25"	"11"	"2"	"440"	"0"	"440"	"0"	""
"114"	"64"	"2"	"18"	"223"	"15"	"8"	"2"	"0"	"3"	"0"	"0"	"1"	"5"	"75"	"9"	"2"	"363"	"0"	"363"	"0"	""
"115"	"65"	"4"	"19"	"590"	"16"	"14"	"5"	"3"	"22"	"5"	"2"	"0"	"19"	"27"	"9"	"4"	"739"	"0"	"739"	"0"	""
"116"	"66"	"22"	"93"	"369"	"21"	"60"	"3"	"10"	"16"	"4"	"5"	"4"	"8"	"22"	"10"	"9"	"656"	"0"	"656"	"0"	""
"117"	"67"	"4"	"201"	"256"	"23"	"46"	"0"	"5"	"3"	"3"	"2"	"1"	"11"	"8"	"2"	"4"	"569"	"0"	"569"	"0"	""
"118"	"68"	"3"	"29"	"309"	"19"	"148"	"2"	"7"	"5"	"7"	"3"	"3"	"37"	"23"	"5"	"2"	"602"	"0"	"602"	"0"	""
"119"	"69"	"0"	"41"	"301"	"6"	"30"	"3"	"3"	"7"	"4"	"1"	"1"	"16"	"22"	"9"	"9"	"453"	"0"	"453"	"0"	""
"120"	"70"	"2"	"97"	"423"	"12"	"21"	"4"	"12"	"143"	"5"	"0"	"3"	"13"	"10"	"11"	"1"	"757"	"0"	"757"	"0"	""
"121"	"Total"	"68"	"1070"	"4896"	"241"	"464"	"32"	"66"	"303"	"53"	"19"	"25"	"209"	"289"	"105"	"57"	"7897"	"0"	"7897"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"04- Bagaha Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"UMESH PRASAD"	"MD.KAMR AN"	"PRABHAT RANJAN SINGH"	"RANJEET RAO"	"RAM PRASAD YADAV"	"BECHU YADAV"	"BHIKHARI SAH"	"BHISAM SAHNI"	"RAJAT KUMAR SRIVASTV A"	"SHAILEND RA  SINGH, ALIES S.K.SINGH"	"ABHISHEK H       NATH TIWARI"	"GAJENDR A       DHAR MISHRA"	"VISHNU PRAKASH"	"SHIV KUMAR MISHRA"	"SATYANA RAYAN PRASAD YADAV"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	""
"132"	"71"	"8"	"162"	"291"	"40"	"22"	"3"	"2"	"11"	"4"	"2"	"1"	"14"	"9"	"3"	"2"	"574"	"0"	"574"	"0"	""
"133"	"72"	"6"	"33"	"405"	"14"	"105"	"7"	"6"	"130"	"7"	"2"	"3"	"20"	"15"	"8"	"3"	"764"	"0"	"764"	"0"	""
"134"	"73"	"4"	"189"	"201"	"36"	"41"	"1"	"2"	"2"	"6"	"1"	"13"	"37"	"11"	"7"	"8"	"559"	"0"	"559"	"0"	""
"135"	"74"	"3"	"31"	"572"	"18"	"68"	"2"	"5"	"3"	"12"	"2"	"12"	"35"	"17"	"10"	"8"	"798"	"0"	"798"	"0"	""
"136"	"75"	"7"	"129"	"421"	"24"	"54"	"7"	"11"	"44"	"12"	"4"	"6"	"49"	"20"	"9"	"12"	"809"	"0"	"809"	"0"	""
"137"	"76"	"6"	"37"	"430"	"41"	"124"	"1"	"22"	"113"	"13"	"4"	"7"	"44"	"8"	"15"	"6"	"871"	"0"	"871"	"0"	""
"138"	"77"	"4"	"79"	"170"	"9"	"126"	"4"	"5"	"5"	"0"	"0"	"2"	"164"	"9"	"1"	"8"	"586"	"0"	"586"	"0"	""
"139"	"78"	"2"	"168"	"90"	"11"	"20"	"0"	"7"	"2"	"3"	"5"	"4"	"280"	"9"	"10"	"6"	"617"	"0"	"617"	"0"	""
"140"	"79"	"11"	"406"	"134"	"8"	"8"	"2"	"2"	"2"	"1"	"1"	"0"	"33"	"6"	"2"	"6"	"622"	"0"	"622"	"0"	""
"141"	"80"	"5"	"212"	"122"	"12"	"6"	"1"	"4"	"18"	"3"	"1"	"1"	"48"	"2"	"10"	"5"	"450"	"0"	"450"	"0"	""
"142"	"81"	"3"	"19"	"89"	"0"	"14"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"129"	"0"	"129"	"0"	""
"143"	"82"	"5"	"12"	"426"	"5"	"54"	"0"	"11"	"73"	"10"	"3"	"5"	"51"	"15"	"16"	"10"	"696"	"0"	"696"	"0"	""
"144"	"83"	"3"	"105"	"197"	"11"	"53"	"0"	"8"	"47"	"5"	"3"	"1"	"2"	"5"	"4"	"7"	"451"	"0"	"451"	"0"	""
"145"	"84"	"3"	"25"	"176"	"8"	"26"	"3"	"9"	"112"	"6"	"6"	"3"	"38"	"8"	"5"	"6"	"434"	"0"	"434"	"0"	""
"146"	"Total"	"70"	"1607"	"3724"	"237"	"721"	"31"	"95"	"562"	"82"	"34"	"58"	"818"	"134"	"100"	"87"	"8360"	"0"	"8360"	"0"	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"04- Bagaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Total No. of Electors in Assembly Constituency -      230072"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
