"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"
"20"	"12"	"39"	""	"57"	""	"1"	""	"2"	""	""	"1"	""	"20"	""	"1"	""	"0"	""	"0"	""	"6"	""	"2"	""	"1"	""	"1"	""	"1"	""	"4"	""	"5"	""	"189"	""	"1"	""	"1"	""	"0"	""	"4"	""	"2"	""	"338"	""
"21"	"13"	"212"	""	"41"	""	"1"	""	"8"	""	""	"0"	""	"44"	""	"1"	""	"0"	""	"4"	""	"0"	""	"0"	""	"0"	""	"1"	""	"1"	""	"9"	""	"7"	""	"23"	""	"8"	""	"2"	""	"2"	""	"9"	""	"5"	""	"378"	""
"22"	"13A"	"230"	""	"85"	""	"2"	""	"13"	""	""	"2"	""	"31"	""	"4"	""	"0"	""	"1"	""	"1"	""	"1"	""	"1"	""	"1"	""	"0"	""	"9"	""	"10"	""	"0"	""	"3"	""	"2"	""	"2"	""	"1"	""	"1"	""	"400"	""
"23"	"14"	"337"	""	"62"	""	"6"	""	"6"	""	""	"3"	""	"44"	""	"2"	""	"2"	""	"9"	""	"7"	""	"2"	""	"4"	""	"6"	""	"4"	""	"20"	""	"42"	""	"35"	""	"8"	""	"1"	""	"1"	""	"1"	""	"5"	""	"607"	""
"24"	"15"	"291"	""	"82"	""	"7"	""	"8"	""	""	"7"	""	"14"	""	"5"	""	"3"	""	"5"	""	"6"	""	"4"	""	"2"	""	"10"	""	"6"	""	"36"	""	"34"	""	"21"	""	"8"	""	"1"	""	"5"	""	"14"	""	"8"	""	"577"	""
"25"	"16"	"101"	""	"125"	""	"3"	""	"5"	""	""	"5"	""	"11"	""	"1"	""	"0"	""	"18"	""	"3"	""	"1"	""	"4"	""	"4"	""	"4"	""	"4"	""	"17"	""	"37"	""	"7"	""	"0"	""	"3"	""	"7"	""	"2"	""	"362"	""
"26"	"17"	"245"	""	"163"	""	"9"	""	"20"	""	""	"6"	""	"18"	""	"1"	""	"12"	""	"23"	""	"16"	""	"4"	""	"5"	""	"5"	""	"5"	""	"26"	""	"58"	""	"80"	""	"6"	""	"2"	""	"1"	""	"8"	""	"5"	""	"718"	""
"27"	"18"	"184"	""	"47"	""	"3"	""	"0"	""	""	"2"	""	"7"	""	"2"	""	"1"	""	"1"	""	"9"	""	"1"	""	"0"	""	"2"	""	"4"	""	"3"	""	"16"	""	"53"	""	"7"	""	"3"	""	"0"	""	"103"	""	"0"	""	"448"	""
"28"	"18A"	"214"	""	"4"	""	"2"	""	"3"	""	""	"2"	""	"7"	""	"3"	""	"1"	""	"3"	""	"5"	""	"0"	""	"2"	""	"1"	""	"3"	""	"2"	""	"19"	""	"8"	""	"2"	""	"0"	""	"0"	""	"92"	""	"2"	""	"375"	""
"29"	"19"	"268"	""	"23"	""	"8"	""	"3"	""	""	"3"	""	"6"	""	"5"	""	"9"	""	"4"	""	"6"	""	"2"	""	"3"	""	"0"	""	"3"	""	"42"	""	"19"	""	"24"	""	"3"	""	"2"	""	"5"	""	"145"	""	"4"	""	"587"	""
"30"	"20"	"98"	""	"47"	""	"6"	""	"4"	""	""	"8"	""	"14"	""	"11"	""	"27"	""	"15"	""	"11"	""	"5"	""	"5"	""	"7"	""	"18"	""	"93"	""	"21"	""	"32"	""	"14"	""	"6"	""	"6"	""	"198"	""	"11"	""	"657"	""
"31"	"21"	"291"	""	"155"	""	"3"	""	"17"	""	""	"3"	""	"44"	""	"9"	""	"4"	""	"15"	""	"7"	""	"7"	""	"15"	""	"3"	""	"8"	""	"15"	""	"14"	""	"9"	""	"6"	""	"3"	""	"1"	""	"2"	""	"3"	""	"634"	""
"32"	"22"	"327"	""	"97"	""	"3"	""	"5"	""	""	"1"	""	"22"	""	"2"	""	"0"	""	"4"	""	"3"	""	"3"	""	"2"	""	"1"	""	"2"	""	"11"	""	"19"	""	"1"	""	"6"	""	"0"	""	"1"	""	"5"	""	"1"	""	"516"	""
"33"	"23"	"140"	""	"219"	""	"4"	""	"4"	""	""	"6"	""	"33"	""	"5"	""	"5"	""	"9"	""	"3"	""	"5"	""	"4"	""	"5"	""	"7"	""	"78"	""	"15"	""	"18"	""	"13"	""	"6"	""	"3"	""	"10"	""	"8"	""	"600"	""
"34"	"24"	"126"	""	"209"	""	"1"	""	"5"	""	""	"2"	""	"20"	""	"3"	""	"1"	""	"2"	""	"11"	""	"2"	""	"3"	""	"0"	""	"0"	""	"4"	""	"6"	""	"167"	""	"8"	""	"4"	""	"1"	""	"6"	""	"4"	""	"585"	""
"35"	"25"	"185"	""	"76"	""	"2"	""	"14"	""	""	"3"	""	"60"	""	"11"	""	"2"	""	"17"	""	"12"	""	"5"	""	"5"	""	"10"	""	"21"	""	"200"	""	"37"	""	"41"	""	"5"	""	"4"	""	"5"	""	"56"	""	"15"	""	"786"	""
"36"	"26"	"106"	""	"154"	""	"7"	""	"38"	""	""	"5"	""	"5"	""	"2"	""	"1"	""	"1"	""	"3"	""	"0"	""	"1"	""	"2"	""	"6"	""	"54"	""	"14"	""	"14"	""	"13"	""	"0"	""	"3"	""	"8"	""	"4"	""	"441"	""
"37"	"27"	"55"	""	"220"	""	"2"	""	"6"	""	""	"3"	""	"6"	""	"3"	""	"1"	""	"2"	""	"6"	""	"3"	""	"0"	""	"1"	""	"4"	""	"73"	""	"10"	""	"31"	""	"16"	""	"7"	""	"2"	""	"12"	""	"5"	""	"468"	""
"38"	"28"	"311"	""	"129"	""	"5"	""	"91"	""	""	"3"	""	"39"	""	"2"	""	"3"	""	"16"	""	"6"	""	"2"	""	"2"	""	"6"	""	"0"	""	"8"	""	"15"	""	"11"	""	"3"	""	"1"	""	"3"	""	"34"	""	"3"	""	"693"	""
"39"	"29"	"261"	""	"20"	""	"1"	""	"43"	""	""	"0"	""	"41"	""	"2"	""	"1"	""	"5"	""	"2"	""	"2"	""	"0"	""	"4"	""	"1"	""	"8"	""	"7"	""	"4"	""	"0"	""	"1"	""	"2"	""	"25"	""	"0"	""	"430"	""
"40"	"30"	"124"	""	"188"	""	"5"	""	"69"	""	""	"5"	""	"43"	""	"2"	""	"5"	""	"4"	""	"9"	""	"3"	""	"4"	""	"2"	""	"5"	""	"3"	""	"18"	""	"36"	""	"3"	""	"2"	""	"3"	""	"11"	""	"1"	""	"545"	""
"41"	"31"	"124"	""	"225"	""	"2"	""	"28"	""	""	"2"	""	"13"	""	"1"	""	"2"	""	"3"	""	"1"	""	"2"	""	"1"	""	"3"	""	"2"	""	"4"	""	"8"	""	"17"	""	"11"	""	"0"	""	"5"	""	"19"	""	"4"	""	"477"	""
"42"	"31A"	"99"	""	"78"	""	"6"	""	"138"	""	""	"5"	""	"22"	""	"0"	""	"2"	""	"6"	""	"6"	""	"7"	""	"3"	""	"8"	""	"3"	""	"7"	""	"18"	""	"21"	""	"1"	""	"4"	""	"1"	""	"17"	""	"3"	""	"455"	""
"43"	"32"	"59"	""	"249"	""	"7"	""	"6"	""	""	"5"	""	"68"	""	"5"	""	"8"	""	"1"	""	"11"	""	"4"	""	"6"	""	"8"	""	"15"	""	"41"	""	"26"	""	"6"	""	"16"	""	"1"	""	"2"	""	"9"	""	"3"	""	"556"	""
"44"	"33"	"227"	""	"226"	""	"9"	""	"9"	""	""	"6"	""	"49"	""	"5"	""	"12"	""	"17"	""	"3"	""	"0"	""	"0"	""	"4"	""	"1"	""	"3"	""	"21"	""	"9"	""	"0"	""	"0"	""	"2"	""	"13"	""	"0"	""	"616"	""
"45"	"34"	"74"	""	"455"	""	"12"	""	"17"	""	""	"1"	""	"54"	""	"4"	""	"8"	""	"4"	""	"12"	""	"4"	""	"0"	""	"4"	""	"5"	""	"20"	""	"22"	""	"68"	""	"18"	""	"4"	""	"2"	""	"5"	""	"4"	""	"797"	""
"46"	"35"	"29"	""	"283"	""	"10"	""	"8"	""	""	"1"	""	"38"	""	"2"	""	"1"	""	"0"	""	"0"	""	"1"	""	"4"	""	"1"	""	"4"	""	"13"	""	"5"	""	"1"	""	"1"	""	"1"	""	"1"	""	"4"	""	"1"	""	"409"	""
"47"	"36"	"176"	""	"255"	""	"18"	""	"21"	""	""	"5"	""	"83"	""	"9"	""	"4"	""	"10"	""	"15"	""	"14"	""	"11"	""	"2"	""	"13"	""	"26"	""	"48"	""	"14"	""	"11"	""	"5"	""	"6"	""	"71"	""	"12"	""	"829"	""
"48"	"37"	"235"	""	"176"	""	"6"	""	"20"	""	""	"3"	""	"12"	""	"1"	""	"1"	""	"3"	""	"1"	""	"4"	""	"0"	""	"1"	""	"1"	""	"1"	""	"24"	""	"17"	""	"5"	""	"3"	""	"2"	""	"10"	""	"1"	""	"527"	""
"49"	"38"	"89"	""	"193"	""	"6"	""	"4"	""	""	"0"	""	"13"	""	"0"	""	"2"	""	"1"	""	"9"	""	"4"	""	"3"	""	"3"	""	"3"	""	"6"	""	"23"	""	"61"	""	"5"	""	"1"	""	"11"	""	"3"	""	"3"	""	"443"	""
"50"	"39"	"121"	""	"362"	""	"12"	""	"11"	""	""	"5"	""	"4"	""	"2"	""	"2"	""	"1"	""	"6"	""	"2"	""	"6"	""	"0"	""	"0"	""	"6"	""	"10"	""	"76"	""	"11"	""	"4"	""	"4"	""	"57"	""	"3"	""	"705"	""
"51"	"40"	"159"	""	"152"	""	"6"	""	"15"	""	""	"1"	""	"10"	""	"0"	""	"4"	""	"4"	""	"11"	""	"4"	""	"0"	""	"8"	""	"5"	""	"8"	""	"24"	""	"17"	""	"8"	""	"3"	""	"0"	""	"28"	""	"4"	""	"471"	""
"52"	"41"	"79"	""	"20"	""	"0"	""	"0"	""	""	"0"	""	"0"	""	"1"	""	"1"	""	"1"	""	"7"	""	"1"	""	"1"	""	"1"	""	"5"	""	"8"	""	"6"	""	"31"	""	"1"	""	"1"	""	"1"	""	"157"	""	"1"	""	"323"	""
"53"	"42"	"115"	""	"32"	""	"3"	""	"0"	""	""	"0"	""	"4"	""	"1"	""	"2"	""	"3"	""	"13"	""	"1"	""	"1"	""	"3"	""	"2"	""	"4"	""	"13"	""	"17"	""	"4"	""	"1"	""	"0"	""	"158"	""	"4"	""	"381"	""
"54"	"43"	"177"	""	"144"	""	"3"	""	"2"	""	""	"4"	""	"8"	""	"0"	""	"8"	""	"7"	""	"10"	""	"5"	""	"3"	""	"5"	""	"8"	""	"18"	""	"33"	""	"17"	""	"17"	""	"3"	""	"5"	""	"71"	""	"8"	""	"556"	""
"55"	"44"	"107"	""	"87"	""	"5"	""	"5"	""	""	"3"	""	"10"	""	"2"	""	"1"	""	"7"	""	"11"	""	"1"	""	"4"	""	"6"	""	"7"	""	"3"	""	"12"	""	"85"	""	"1"	""	"3"	""	"4"	""	"91"	""	"5"	""	"460"	""
"56"	"45"	"160"	""	"211"	""	"2"	""	"13"	""	""	"3"	""	"8"	""	"3"	""	"2"	""	"4"	""	"18"	""	"5"	""	"2"	""	"3"	""	"4"	""	"2"	""	"10"	""	"94"	""	"5"	""	"2"	""	"3"	""	"47"	""	"4"	""	"605"	""
"57"	"46"	"522"	""	"97"	""	"6"	""	"5"	""	""	"0"	""	"12"	""	"3"	""	"0"	""	"16"	""	"1"	""	"6"	""	"0"	""	"6"	""	"3"	""	"2"	""	"29"	""	"43"	""	"4"	""	"2"	""	"4"	""	"18"	""	"9"	""	"788"	""
"58"	"47"	"228"	""	"131"	""	"11"	""	"5"	""	""	"1"	""	"17"	""	"2"	""	"1"	""	"24"	""	"8"	""	"9"	""	"2"	""	"7"	""	"4"	""	"10"	""	"50"	""	"19"	""	"3"	""	"1"	""	"1"	""	"5"	""	"7"	""	"546"	""
"59"	"48"	"381"	""	"17"	""	"2"	""	"14"	""	""	"0"	""	"12"	""	"2"	""	"0"	""	"36"	""	"6"	""	"3"	""	"1"	""	"3"	""	"2"	""	"2"	""	"28"	""	"10"	""	"0"	""	"1"	""	"2"	""	"66"	""	"3"	""	"591"	""
"60"	"48A"	"295"	""	"26"	""	"4"	""	"6"	""	""	"0"	""	"7"	""	"1"	""	"2"	""	"5"	""	"2"	""	"4"	""	"2"	""	"2"	""	"2"	""	"3"	""	"22"	""	"7"	""	"1"	""	"0"	""	"0"	""	"30"	""	"1"	""	"422"	""
"61"	"49"	"168"	""	"99"	""	"5"	""	"7"	""	""	"1"	""	"12"	""	"0"	""	"2"	""	"5"	""	"3"	""	"2"	""	"2"	""	"2"	""	"2"	""	"2"	""	"12"	""	"10"	""	"0"	""	"0"	""	"0"	""	"7"	""	"0"	""	"341"	""
"62"	"50"	"456"	""	"35"	""	"1"	""	"7"	""	""	"5"	""	"22"	""	"0"	""	"1"	""	"5"	""	"4"	""	"0"	""	"1"	""	"1"	""	"5"	""	"5"	""	"53"	""	"27"	""	"2"	""	"4"	""	"5"	""	"60"	""	"7"	""	"706"	""
"63"	"51"	"347"	""	"124"	""	"5"	""	"12"	""	""	"2"	""	"13"	""	"1"	""	"2"	""	"9"	""	"2"	""	"4"	""	"4"	""	"3"	""	"3"	""	"10"	""	"50"	""	"23"	""	"4"	""	"3"	""	"1"	""	"136"	""	"12"	""	"770"	""
"64"	"52"	"280"	""	"65"	""	"1"	""	"11"	""	""	"2"	""	"6"	""	"0"	""	"2"	""	"80"	""	"23"	""	"3"	""	"7"	""	"4"	""	"2"	""	"3"	""	"53"	""	"34"	""	"2"	""	"5"	""	"2"	""	"23"	""	"9"	""	"617"	""
"65"	"53"	"261"	""	"149"	""	"1"	""	"10"	""	""	"3"	""	"7"	""	"2"	""	"0"	""	"14"	""	"5"	""	"4"	""	"3"	""	"4"	""	"4"	""	"9"	""	"23"	""	"13"	""	"1"	""	"0"	""	"2"	""	"22"	""	"1"	""	"538"	""
"66"	"54"	"192"	""	"183"	""	"7"	""	"30"	""	""	"1"	""	"4"	""	"1"	""	"4"	""	"11"	""	"2"	""	"9"	""	"7"	""	"2"	""	"4"	""	"4"	""	"86"	""	"23"	""	"7"	""	"3"	""	"5"	""	"14"	""	"3"	""	"602"	""
"67"	"55"	"313"	""	"63"	""	"3"	""	"12"	""	""	"0"	""	"6"	""	"3"	""	"2"	""	"7"	""	"2"	""	"3"	""	"0"	""	"1"	""	"2"	""	"1"	""	"12"	""	"6"	""	"1"	""	"0"	""	"0"	""	"47"	""	"1"	""	"485"	""
"68"	"56"	"297"	""	"171"	""	"1"	""	"8"	""	""	"0"	""	"7"	""	"0"	""	"0"	""	"8"	""	"13"	""	"2"	""	"3"	""	"1"	""	"1"	""	"1"	""	"23"	""	"47"	""	"2"	""	"2"	""	"4"	""	"38"	""	"3"	""	"632"	""
"69"	"57"	"286"	""	"242"	""	"8"	""	"6"	""	""	"4"	""	"19"	""	"1"	""	"2"	""	"10"	""	"13"	""	"5"	""	"5"	""	"4"	""	"4"	""	"11"	""	"34"	""	"49"	""	"7"	""	"4"	""	"1"	""	"14"	""	"4"	""	"733"	""
"70"	"58"	"250"	""	"54"	""	"4"	""	"4"	""	""	"0"	""	"9"	""	"0"	""	"5"	""	"2"	""	"14"	""	"1"	""	"1"	""	"4"	""	"0"	""	"0"	""	"14"	""	"68"	""	"3"	""	"1"	""	"0"	""	"27"	""	"3"	""	"464"	""
"71"	"59"	"103"	""	"31"	""	"0"	""	"0"	""	""	"1"	""	"9"	""	"0"	""	"1"	""	"3"	""	"2"	""	"2"	""	"1"	""	"0"	""	"5"	""	"3"	""	"8"	""	"56"	""	"4"	""	"0"	""	"1"	""	"10"	""	"0"	""	"240"	""
"72"	"60"	"306"	""	"111"	""	"5"	""	"17"	""	""	"0"	""	"16"	""	"4"	""	"1"	""	"6"	""	"9"	""	"3"	""	"3"	""	"8"	""	"4"	""	"12"	""	"28"	""	"78"	""	"13"	""	"5"	""	"5"	""	"76"	""	"12"	""	"722"	""
"73"	"61"	"516"	""	"138"	""	"2"	""	"21"	""	""	"6"	""	"25"	""	"2"	""	"4"	""	"7"	""	"13"	""	"1"	""	"3"	""	"2"	""	"4"	""	"6"	""	"29"	""	"27"	""	"11"	""	"2"	""	"4"	""	"10"	""	"4"	""	"837"	""
"74"	"62"	"273"	""	"94"	""	"7"	""	"20"	""	""	"2"	""	"42"	""	"2"	""	"2"	""	"5"	""	"8"	""	"3"	""	"4"	""	"4"	""	"5"	""	"6"	""	"15"	""	"24"	""	"4"	""	"1"	""	"0"	""	"51"	""	"2"	""	"574"	""
"75"	"63"	"203"	""	"160"	""	"4"	""	"10"	""	""	"2"	""	"3"	""	"1"	""	"1"	""	"9"	""	"7"	""	"1"	""	"5"	""	"1"	""	"3"	""	"9"	""	"29"	""	"81"	""	"24"	""	"6"	""	"3"	""	"28"	""	"14"	""	"604"	""
"76"	"64"	"137"	""	"20"	""	"1"	""	"2"	""	""	"1"	""	"15"	""	"0"	""	"2"	""	"3"	""	"3"	""	"4"	""	"0"	""	"1"	""	"2"	""	"1"	""	"10"	""	"77"	""	"1"	""	"1"	""	"2"	""	"42"	""	"3"	""	"328"	""
"77"	"65"	"38"	""	"137"	""	"6"	""	"2"	""	""	"1"	""	"5"	""	"4"	""	"3"	""	"4"	""	"9"	""	"4"	""	"3"	""	"3"	""	"3"	""	"51"	""	"6"	""	"130"	""	"3"	""	"2"	""	"1"	""	"12"	""	"1"	""	"428"	""
"78"	"66"	"322"	""	"78"	""	"4"	""	"69"	""	""	"3"	""	"20"	""	"1"	""	"10"	""	"5"	""	"7"	""	"3"	""	"2"	""	"2"	""	"4"	""	"7"	""	"24"	""	"13"	""	"1"	""	"3"	""	"4"	""	"74"	""	"5"	""	"661"	""
"79"	"67"	"402"	""	"170"	""	"5"	""	"47"	""	""	"4"	""	"19"	""	"2"	""	"7"	""	"6"	""	"19"	""	"2"	""	"3"	""	"8"	""	"7"	""	"14"	""	"48"	""	"48"	""	"6"	""	"2"	""	"2"	""	"15"	""	"7"	""	"843"	""
"80"	"68"	"294"	""	"76"	""	"5"	""	"25"	""	""	"4"	""	"10"	""	"1"	""	"2"	""	"11"	""	"8"	""	"7"	""	"2"	""	"10"	""	"6"	""	"13"	""	"39"	""	"47"	""	"4"	""	"6"	""	"8"	""	"57"	""	"9"	""	"644"	""
"81"	"69"	"187"	""	"216"	""	"9"	""	"34"	""	""	"3"	""	"10"	""	"3"	""	"3"	""	"5"	""	"4"	""	"3"	""	"3"	""	"2"	""	"1"	""	"8"	""	"27"	""	"41"	""	"23"	""	"4"	""	"3"	""	"37"	""	"5"	""	"631"	""
"82"	"70"	"198"	""	"4"	""	"1"	""	"185"	""	""	"3"	""	"1"	""	"0"	""	"0"	""	"2"	""	"2"	""	"2"	""	"1"	""	"1"	""	"2"	""	"0"	""	"10"	""	"4"	""	"12"	""	"0"	""	"1"	""	"25"	""	"1"	""	"455"	""
"83"	"71"	"346"	""	"40"	""	"8"	""	"155"	""	""	"9"	""	"17"	""	"2"	""	"1"	""	"6"	""	"7"	""	"2"	""	"0"	""	"6"	""	"2"	""	"3"	""	"47"	""	"22"	""	"6"	""	"1"	""	"3"	""	"89"	""	"4"	""	"776"	""
"84"	"72"	"161"	""	"27"	""	"3"	""	"154"	""	""	"5"	""	"33"	""	"4"	""	"7"	""	"14"	""	"24"	""	"7"	""	"8"	""	"13"	""	"11"	""	"15"	""	"73"	""	"33"	""	"11"	""	"5"	""	"6"	""	"82"	""	"6"	""	"702"	""
"85"	"73"	"125"	""	"8"	""	"3"	""	"17"	""	""	"1"	""	"9"	""	"1"	""	"0"	""	"25"	""	"7"	""	"2"	""	"0"	""	"4"	""	"2"	""	"6"	""	"30"	""	"106"	""	"5"	""	"3"	""	"3"	""	"55"	""	"5"	""	"417"	""
"86"	"74"	"92"	""	"28"	""	"3"	""	"10"	""	""	"4"	""	"11"	""	"1"	""	"1"	""	"3"	""	"19"	""	"5"	""	"1"	""	"4"	""	"7"	""	"10"	""	"18"	""	"316"	""	"5"	""	"4"	""	"1"	""	"14"	""	"5"	""	"562"	""
"87"	"75"	"39"	""	"11"	""	"0"	""	"9"	""	""	"1"	""	"11"	""	"1"	""	"1"	""	"4"	""	"17"	""	"4"	""	"1"	""	"4"	""	"1"	""	"1"	""	"22"	""	"410"	""	"25"	""	"2"	""	"3"	""	"19"	""	"8"	""	"594"	""
"88"	"76"	"197"	""	"27"	""	"8"	""	"67"	""	""	"0"	""	"17"	""	"0"	""	"3"	""	"3"	""	"8"	""	"5"	""	"2"	""	"1"	""	"2"	""	"2"	""	"52"	""	"225"	""	"4"	""	"0"	""	"1"	""	"45"	""	"11"	""	"680"	""
"89"	"77"	"107"	""	"46"	""	"8"	""	"3"	""	""	"2"	""	"18"	""	"8"	""	"0"	""	"8"	""	"35"	""	"2"	""	"4"	""	"12"	""	"9"	""	"5"	""	"37"	""	"298"	""	"25"	""	"2"	""	"2"	""	"69"	""	"8"	""	"708"	""
