"fo.kku.l.Hkk.fuokZpu..ks..dh.l.a....k...oa.uke...210.fnukj.k..........................................fuokZpdksa.dh.dyq"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"11"	"7"	"6"	"158"	"6"	"92"	"19"	"84"	"60"	"2"	"3"	"0"	"3"	"0"	"8"	"4"	"7"	"2"	"18"	"3"	"469"	"0"	"469"	"0"
"12"	"8"	"7"	"112"	"14"	"24"	"7"	"14"	"162"	"2"	"2"	"0"	"0"	"3"	"2"	"3"	"25"	"2"	"10"	"2"	"384"	"0"	"384"	"0"
"13"	"9"	"8"	"140"	"7"	"7"	"33"	"114"	"31"	"1"	"0"	"2"	"1"	"0"	"2"	"3"	"11"	"1"	"6"	"1"	"360"	"0"	"360"	"0"
"14"	"10"	"8A"	"162"	"6"	"7"	"80"	"88"	"51"	"0"	"3"	"2"	"4"	"0"	"0"	"4"	"2"	"2"	"4"	"1"	"416"	"0"	"416"	"0"
"15"	"11"	"9"	"122"	"13"	"17"	"28"	"2"	"42"	"0"	"2"	"2"	"3"	"3"	"1"	"3"	"6"	"5"	"42"	"9"	"300"	"0"	"300"	"0"
"16"	"12"	"10"	"226"	"2"	"30"	"138"	"15"	"16"	"1"	"2"	"2"	"1"	"1"	"0"	"5"	"89"	"8"	"7"	"18"	"561"	"0"	"561"	"0"
"17"	"13"	"11"	"174"	"7"	"28"	"6"	"6"	"161"	"4"	"1"	"1"	"1"	"11"	"1"	"1"	"3"	"3"	"9"	"12"	"429"	"0"	"429"	"0"
"18"	"14"	"12"	"159"	"3"	"5"	"18"	"2"	"125"	"0"	"1"	"0"	"0"	"11"	"0"	"0"	"4"	"0"	"15"	"2"	"345"	"0"	"345"	"0"
"19"	"; ksx"	""	"2223"	"208"	"405"	"636"	"724"	"1188"	"28"	"41"	"27"	"33"	"41"	"31"	"38"	"247"	"43"	"178"	"94"	"6185"	"0"	"6185"	"0"
"20"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"23"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"24"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"25"	"fi Nys dk ; ksx"	""	"2223"	"208"	"405"	"636"	"724"	"1188"	"28"	"41"	"27"	"33"	"41"	"31"	"38"	"247"	"43"	"178"	"94"	"6185"	"0"	"6185"	"0"
"26"	"1"	"13"	"271"	"3"	"44"	"22"	"1"	"19"	"1"	"2"	"2"	"0"	"0"	"0"	"2"	"8"	"1"	"7"	"11"	"394"	"0"	"394"	"0"
"27"	"2"	"14"	"247"	"13"	"16"	"37"	"2"	"224"	"0"	"1"	"0"	"4"	"7"	"2"	"6"	"5"	"4"	"14"	"10"	"592"	"0"	"592"	"0"
"28"	"3"	"15"	"160"	"13"	"5"	"16"	"2"	"34"	"0"	"4"	"5"	"7"	"1"	"2"	"34"	"8"	"2"	"12"	"3"	"308"	"0"	"308"	"0"
"29"	"4"	"16"	"105"	"6"	"4"	"14"	"1"	"102"	"3"	"0"	"1"	"1"	"0"	"1"	"24"	"5"	"1"	"25"	"7"	"300"	"0"	"300"	"0"
"30"	"5"	"17"	"174"	"5"	"20"	"26"	"3"	"4"	"0"	"5"	"0"	"8"	"4"	"6"	"125"	"79"	"2"	"22"	"2"	"485"	"0"	"485"	"0"
"31"	"6"	"18"	"180"	"6"	"103"	"257"	"10"	"82"	"2"	"5"	"1"	"4"	"2"	"2"	"19"	"10"	"1"	"7"	"2"	"693"	"0"	"693"	"0"
"32"	"7"	"19"	"73"	"12"	"48"	"132"	"7"	"43"	"1"	"5"	"1"	"5"	"3"	"6"	"50"	"10"	"3"	"12"	"1"	"412"	"0"	"412"	"0"
"33"	"8"	"20"	"272"	"6"	"100"	"23"	"1"	"68"	"2"	"1"	"5"	"9"	"5"	"7"	"93"	"32"	"12"	"89"	"9"	"734"	"0"	"734"	"0"
"34"	"9"	"21"	"313"	"4"	"28"	"21"	"3"	"63"	"3"	"0"	"1"	"1"	"2"	"0"	"6"	"17"	"1"	"48"	"1"	"512"	"0"	"512"	"0"
"35"	"10"	"22"	"468"	"2"	"7"	"64"	"0"	"47"	"0"	"1"	"0"	"0"	"0"	"0"	"6"	"10"	"0"	"7"	"3"	"615"	"0"	"615"	"0"
"36"	"11"	"23"	"263"	"1"	"10"	"125"	"0"	"69"	"5"	"2"	"2"	"2"	"2"	"3"	"7"	"16"	"2"	"15"	"2"	"526"	"0"	"526"	"0"
"37"	"12"	"24"	"197"	"49"	"23"	"1"	"2"	"32"	"0"	"0"	"0"	"6"	"1"	"0"	"5"	"10"	"3"	"14"	"3"	"346"	"0"	"346"	"0"
"38"	"13"	"25"	"127"	"16"	"42"	"4"	"0"	"50"	"1"	"1"	"3"	"2"	"1"	"1"	"11"	"6"	"3"	"14"	"13"	"295"	"0"	"295"	"0"
"39"	"14"	"26"	"104"	"3"	"16"	"3"	"0"	"13"	"1"	"1"	"0"	"1"	"1"	"0"	"25"	"6"	"6"	"419"	"2"	"601"	"0"	"601"	"0"
"40"	"; ksx"	""	"5177"	"347"	"871"	"1381"	"756"	"2038"	"47"	"69"	"48"	"83"	"70"	"61"	"451"	"469"	"84"	"883"	"163"	"12998"	"0"	"12998"	"0"
"41"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"44"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"45"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"46"	"fi Nys dk ; ksx"	""	"5177"	"347"	"871"	"1381"	"756"	"2038"	"47"	"69"	"48"	"83"	"70"	"61"	"451"	"469"	"84"	"883"	"163"	"12998"	"0"	"12998"	"0"
"47"	"1"	"27"	"194"	"6"	"13"	"7"	"5"	"40"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"21"	"1"	"10"	"1"	"301"	"0"	"301"	"0"
"48"	"2"	"27A"	"75"	"0"	"15"	"4"	"7"	"268"	"3"	"4"	"1"	"2"	"6"	"1"	"2"	"7"	"1"	"14"	"4"	"414"	"0"	"414"	"0"
"49"	"3"	"28"	"144"	"8"	"12"	"38"	"20"	"41"	"2"	"5"	"2"	"4"	"2"	"2"	"84"	"12"	"9"	"97"	"22"	"504"	"0"	"504"	"0"
"50"	"4"	"29"	"299"	"7"	"85"	"13"	"1"	"148"	"3"	"9"	"1"	"5"	"1"	"0"	"35"	"8"	"3"	"13"	"3"	"634"	"0"	"634"	"0"
"51"	"5"	"30"	"274"	"1"	"6"	"11"	"0"	"49"	"2"	"0"	"1"	"1"	"2"	"0"	"5"	"7"	"1"	"34"	"0"	"394"	"0"	"394"	"0"
"52"	"6"	"31"	"416"	"7"	"16"	"27"	"1"	"73"	"3"	"1"	"0"	"5"	"3"	"1"	"1"	"10"	"1"	"9"	"3"	"577"	"0"	"577"	"0"
"53"	"7"	"32"	"199"	"7"	"22"	"14"	"4"	"81"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"7"	"0"	"9"	"8"	"362"	"0"	"362"	"0"
"54"	"8"	"33"	"217"	"16"	"62"	"25"	"2"	"38"	"3"	"0"	"3"	"2"	"3"	"0"	"13"	"175"	"3"	"20"	"5"	"587"	"0"	"587"	"0"
"55"	"9"	"34"	"301"	"11"	"51"	"14"	"4"	"180"	"6"	"7"	"0"	"6"	"5"	"3"	"5"	"92"	"1"	"22"	"3"	"711"	"0"	"711"	"0"
"56"	"10"	"35"	"134"	"28"	"26"	"3"	"10"	"265"	"7"	"5"	"2"	"4"	"8"	"3"	"40"	"11"	"6"	"26"	"4"	"582"	"0"	"582"	"0"
"57"	"11"	"36"	"37"	"2"	"9"	"3"	"2"	"70"	"3"	"2"	"1"	"3"	"0"	"2"	"2"	"83"	"1"	"1"	"1"	"222"	"0"	"222"	"0"
"58"	"12"	"37"	"156"	"4"	"2"	"100"	"39"	"21"	"2"	"11"	"1"	"8"	"2"	"2"	"9"	"7"	"1"	"30"	"3"	"398"	"0"	"398"	"0"
"59"	"13"	"38"	"114"	"4"	"5"	"27"	"5"	"31"	"1"	"2"	"2"	"0"	"3"	"1"	"12"	"16"	"3"	"12"	"6"	"244"	"0"	"244"	"0"
"60"	"14"	"39"	"157"	"1"	"3"	"59"	"0"	"11"	"0"	"1"	"13"	"1"	"1"	"4"	"1"	"3"	"0"	"10"	"22"	"287"	"0"	"287"	"0"
"61"	"; ksx"	""	"7894"	"449"	"1198"	"1726"	"856"	"3354"	"83"	"118"	"77"	"127"	"108"	"82"	"662"	"928"	"115"	"1190"	"248"	"19215"	"0"	"19215"	"0"
"62"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"63"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"64"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"65"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"66"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"67"	"fi Ny s  dk  ; ksx"	""	"7894"	"449"	"1198"	"1726"	"856"	"3354"	"83"	"118"	"77"	"127"	"108"	"82"	"662"	"928"	"115"	"1190"	"248"	"19215"	"0"	"19215"	"0"
"68"	"1"	"40"	"260"	"4"	"23"	"49"	"7"	"57"	"5"	"26"	"1"	"15"	"4"	"2"	"4"	"6"	"5"	"19"	"8"	"495"	"0"	"495"	"0"
"69"	"2"	"41"	"256"	"9"	"9"	"81"	"38"	"104"	"2"	"3"	"4"	"1"	"2"	"1"	"3"	"7"	"5"	"9"	"6"	"540"	"0"	"540"	"0"
"70"	"3"	"42"	"200"	"10"	"3"	"82"	"3"	"50"	"2"	"39"	"3"	"2"	"14"	"1"	"1"	"1"	"4"	"15"	"15"	"445"	"0"	"445"	"0"
"71"	"4"	"43"	"239"	"2"	"5"	"47"	"2"	"127"	"3"	"0"	"0"	"0"	"23"	"1"	"6"	"9"	"2"	"6"	"4"	"476"	"0"	"476"	"0"
"72"	"5"	"44"	"118"	"3"	"255"	"44"	"0"	"210"	"3"	"3"	"1"	"2"	"9"	"3"	"92"	"33"	"0"	"2"	"0"	"778"	"0"	"778"	"0"
"73"	"6"	"45"	"67"	"1"	"1"	"1"	"0"	"199"	"0"	"1"	"0"	"1"	"6"	"0"	"0"	"1"	"0"	"3"	"0"	"281"	"0"	"281"	"0"
"74"	"7"	"46"	"238"	"9"	"78"	"121"	"3"	"52"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"10"	"2"	"5"	"5"	"527"	"0"	"527"	"0"
"75"	"8"	"47"	"288"	"11"	"11"	"67"	"3"	"78"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"10"	"2"	"12"	"1"	"490"	"0"	"490"	"0"
"76"	"9"	"48"	"224"	"4"	"26"	"21"	"4"	"123"	"5"	"3"	"3"	"9"	"1"	"2"	"0"	"2"	"2"	"11"	"14"	"454"	"0"	"454"	"0"
"77"	"10"	"49"	"68"	"4"	"209"	"12"	"5"	"370"	"10"	"5"	"0"	"1"	"3"	"2"	"3"	"8"	"1"	"5"	"21"	"727"	"0"	"727"	"0"
"78"	"11"	"50"	"219"	"6"	"60"	"40"	"1"	"96"	"0"	"12"	"3"	"7"	"5"	"2"	"63"	"11"	"2"	"8"	"6"	"541"	"0"	"541"	"0"
"79"	"12"	"51"	"95"	"5"	"111"	"18"	"2"	"83"	"0"	"3"	"2"	"0"	"0"	"7"	"30"	"1"	"1"	"12"	"2"	"372"	"0"	"372"	"0"
"80"	"13"	"52"	"200"	"6"	"71"	"19"	"0"	"79"	"0"	"8"	"1"	"4"	"0"	"2"	"18"	"139"	"2"	"10"	"11"	"570"	"0"	"570"	"0"
"81"	"14"	"53"	"169"	"2"	"45"	"25"	"1"	"41"	"1"	"2"	"1"	"9"	"3"	"6"	"136"	"25"	"4"	"18"	"2"	"490"	"0"	"490"	"0"
"82"	"; ksx"	""	"10535"	"525"	"2105"	"2353"	"925"	"5023"	"116"	"224"	"97"	"179"	"179"	"113"	"1021"	"1191"	"147"	"1325"	"343"	"26401"	"0"	"26401"	"0"
"83"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"84"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"86"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"87"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"88"	"fi Ny s  dk  ; ksx"	""	"10535"	"525"	"2105"	"2353"	"925"	"5023"	"116"	"224"	"97"	"179"	"179"	"113"	"1021"	"1191"	"147"	"1325"	"343"	"26401"	"0"	"26401"	"0"
"89"	"1"	"54"	"140"	"7"	"11"	"20"	"2"	"38"	"6"	"3"	"1"	"17"	"0"	"6"	"225"	"37"	"5"	"2"	"5"	"525"	"0"	"525"	"0"
"90"	"2"	"55"	"297"	"5"	"5"	"46"	"10"	"252"	"8"	"3"	"0"	"7"	"19"	"1"	"38"	"13"	"1"	"11"	"9"	"725"	"0"	"725"	"0"
"91"	"3"	"56"	"41"	"1"	"5"	"1"	"1"	"203"	"1"	"1"	"0"	"0"	"16"	"2"	"2"	"13"	"0"	"2"	"5"	"294"	"0"	"294"	"0"
"92"	"4"	"57"	"529"	"6"	"8"	"71"	"0"	"70"	"4"	"5"	"2"	"2"	"11"	"2"	"6"	"9"	"5"	"21"	"19"	"770"	"0"	"770"	"0"
"93"	"5"	"58"	"183"	"8"	"27"	"14"	"7"	"246"	"4"	"4"	"6"	"7"	"18"	"6"	"35"	"23"	"10"	"14"	"18"	"630"	"0"	"630"	"0"
"94"	"6"	"59"	"73"	"1"	"36"	"6"	"2"	"120"	"3"	"2"	"2"	"3"	"15"	"2"	"4"	"12"	"3"	"17"	"3"	"304"	"0"	"304"	"0"
"95"	"7"	"60"	"350"	"7"	"9"	"4"	"11"	"89"	"2"	"1"	"0"	"1"	"11"	"1"	"5"	"3"	"1"	"9"	"10"	"514"	"0"	"514"	"0"
"96"	"8"	"61"	"245"	"6"	"170"	"12"	"0"	"204"	"2"	"3"	"0"	"5"	"5"	"1"	"51"	"7"	"3"	"6"	"6"	"726"	"0"	"726"	"0"
"97"	"9"	"62"	"120"	"9"	"8"	"69"	"3"	"150"	"5"	"6"	"4"	"6"	"30"	"5"	"21"	"144"	"5"	"13"	"15"	"613"	"0"	"613"	"0"
"98"	"10"	"63"	"55"	"4"	"5"	"19"	"5"	"399"	"5"	"1"	"0"	"1"	"10"	"0"	"3"	"3"	"0"	"5"	"9"	"524"	"0"	"524"	"0"
"99"	"11"	"64"	"321"	"4"	"59"	"30"	"9"	"83"	"7"	"20"	"1"	"1"	"17"	"0"	"8"	"62"	"5"	"8"	"10"	"645"	"0"	"645"	"0"
"100"	"12"	"65"	"247"	"6"	"10"	"50"	"4"	"99"	"4"	"6"	"10"	"14"	"4"	"2"	"41"	"98"	"6"	"17"	"12"	"630"	"0"	"630"	"0"
"101"	"13"	"66"	"49"	"0"	"28"	"0"	"0"	"187"	"5"	"35"	"2"	"4"	"3"	"1"	"35"	"3"	"1"	"6"	"4"	"363"	"0"	"363"	"0"
"102"	"14"	"67"	"66"	"4"	"38"	"11"	"4"	"104"	"8"	"4"	"1"	"3"	"6"	"1"	"4"	"33"	"0"	"9"	"12"	"308"	"0"	"308"	"0"
"103"	"; ksx"	""	"13251"	"593"	"2524"	"2706"	"983"	"7267"	"180"	"318"	"126"	"250"	"344"	"143"	"1499"	"1651"	"192"	"1465"	"480"	"33972"	"0"	"33972"	"0"
"104"	"fo/kku l Hkk fuokZpu {ks= dh l a[ ; k , oa uke % 210 fnukj k                                          fuokZpdksa dh dyq"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"l a[ ; k%&237760"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"Vscqy  l a[ ; k"	"er nku  d sUnz  dh  l a[ ; k"	"fuEufy f[ kr  d s  i {k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  fof/kekU;  er"	"i zfr {ksfi r  er ksa dh l a[ ; k"	"dqy  er ksa dh l a[ ; k"	"fufonÙk er ksa dh l a[ ; k"
"107"	""	""	"t ;   d qekj  fl ag"	"j ?kqukFk  fl ag"	"' khy k  fl ag"	"l R; sUnz  ukj k; . k fl ag"	"l fj r k  fl ag"	"l hr k  l qanj h  nsoh"	"v j foan  d qekj i kl oku"	"dey  fd ' kksj  esgr k"	"d `\". k  eqj kj h  j k;"	"i q\"i k  fl Ugk"	"eukst   d qekj mt ky k"	"egsaUnz  fl ag"	"j ke  cpu  d sl j h"	"v t hr  d qekj"	"vkse  i zd k' k  pkS/kj h"	"eku  fl ag"	"j ek' kad j  i k. Ms;"	""	""	""	""
"108"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"109"	"fi Ny s  dk  ; ksx"	""	"13251"	"593"	"2524"	"2706"	"983"	"7267"	"180"	"318"	"126"	"250"	"344"	"143"	"1499"	"1651"	"192"	"1465"	"480"	"33972"	"0"	"33972"	"0"
"110"	"1"	"68"	"101"	"0"	"34"	"45"	"0"	"163"	"3"	"1"	"0"	"2"	"4"	"0"	"55"	"103"	"2"	"4"	"2"	"519"	"0"	"519"	"0"
"111"	"2"	"69"	"16"	"1"	"23"	"6"	"1"	"184"	"4"	"1"	"0"	"1"	"34"	"1"	"2"	"4"	"0"	"3"	"2"	"283"	"0"	"283"	"0"
"112"	"3"	"70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"
"113"	"4"	"71"	"74"	"2"	"24"	"5"	"3"	"75"	"0"	"1"	"0"	"2"	"2"	"2"	"9"	"6"	"0"	"0"	"1"	"206"	"0"	"206"	"0"
"114"	"5"	"72"	"326"	"11"	"33"	"11"	"1"	"55"	"4"	"9"	"5"	"4"	"3"	"3"	"10"	"145"	"3"	"7"	"6"	"636"	"0"	"636"	"0"
"115"	"6"	"73"	"392"	"8"	"75"	"3"	"1"	"13"	"2"	"3"	"1"	"2"	"4"	"1"	"2"	"41"	"1"	"8"	"6"	"563"	"0"	"563"	"0"
"116"	"7"	"74"	"354"	"7"	"7"	"2"	"0"	"10"	"0"	"2"	"1"	"1"	"2"	"1"	"1"	"45"	"1"	"3"	"6"	"443"	"0"	"443"	"0"
"117"	"8"	"75"	"230"	"3"	"14"	"32"	"5"	"18"	"3"	"2"	"0"	"2"	"2"	"1"	"2"	"389"	"4"	"13"	"1"	"721"	"0"	"721"	"0"
"118"	"9"	"76"	"274"	"9"	"76"	"12"	"10"	"117"	"6"	"37"	"9"	"9"	"20"	"4"	"57"	"132"	"5"	"26"	"12"	"815"	"0"	"815"	"0"
"119"	"10"	"77"	"288"	"9"	"81"	"34"	"9"	"133"	"5"	"7"	"5"	"18"	"14"	"1"	"27"	"41"	"2"	"8"	"18"	"700"	"0"	"700"	"0"
"120"	"11"	"78"	"57"	"10"	"106"	"74"	"5"	"23"	"1"	"2"	"2"	"6"	"4"	"4"	"47"	"186"	"10"	"10"	"6"	"553"	"0"	"553"	"0"
"121"	"12"	"79"	"135"	"1"	"79"	"4"	"1"	"149"	"2"	"63"	"1"	"0"	"5"	"1"	"2"	"79"	"1"	"9"	"1"	"533"	"0"	"533"	"0"
"122"	"13"	"80"	"311"	"1"	"31"	"7"	"5"	"197"	"2"	"0"	"3"	"4"	"9"	"1"	"4"	"72"	"3"	"7"	"6"	"663"	"0"	"663"	"0"
