"Candidates"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"11"	"9"	"17"	"123"	"5"	"28"	"13"	"2"	"1"	"0"	"0"	"0"	"3"	"2"	"7"	"8"	"13"	"222"	"0"	"222"	"0"
"12"	"10"	"64"	"122"	"1"	"5"	"7"	"0"	"2"	"1"	"0"	"1"	"10"	"0"	"0"	"7"	"8"	"228"	"0"	"228"	"0"
"13"	"11"	"482"	"39"	"2"	"0"	"5"	"0"	"4"	"1"	"1"	"1"	"4"	"0"	"2"	"1"	"6"	"548"	"0"	"548"	"0"
"14"	"12"	"416"	"13"	"3"	"2"	"3"	"1"	"2"	"2"	"0"	"0"	"4"	"1"	"0"	"2"	"18"	"467"	"0"	"467"	"0"
"15"	"13"	"48"	"130"	"2"	"1"	"58"	"0"	"3"	"3"	"4"	"0"	"12"	"0"	"11"	"7"	"21"	"300"	"0"	"300"	"0"
"16"	"14"	"150"	"106"	"4"	"3"	"80"	"2"	"4"	"1"	"0"	"1"	"9"	"4"	"6"	"10"	"37"	"417"	"0"	"417"	"0"
"17"	"15"	"88"	"151"	"2"	"12"	"190"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"6"	"88"	"545"	"0"	"545"	"0"
"18"	"16"	"57"	"77"	"2"	"3"	"111"	"3"	"0"	"1"	"0"	"0"	"14"	"2"	"0"	"3"	"21"	"294"	"0"	"294"	"0"
"19"	"17"	"145"	"189"	"3"	"26"	"87"	"2"	"3"	"1"	"0"	"6"	"6"	"3"	"7"	"15"	"31"	"524"	"0"	"524"	"0"
"20"	"18"	"10"	"241"	"7"	"2"	"27"	"4"	"0"	"2"	"0"	"2"	"5"	"3"	"6"	"22"	"26"	"357"	"0"	"357"	"0"
"21"	"19"	"42"	"64"	"0"	"4"	"81"	"2"	"1"	"0"	"1"	"2"	"3"	"2"	"2"	"5"	"71"	"280"	"0"	"280"	"0"
"22"	"20"	"19"	"37"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"1"	"6"	"249"	"329"	"0"	"329"	"0"
"23"	"21"	"242"	"119"	"3"	"4"	"6"	"3"	"2"	"5"	"0"	"7"	"2"	"0"	"1"	"4"	"8"	"406"	"0"	"406"	"0"
"24"	"22"	"81"	"106"	"1"	"0"	"6"	"43"	"5"	"1"	"7"	"4"	"4"	"1"	"2"	"1"	"8"	"270"	"0"	"270"	"0"
"25"	"23"	"55"	"182"	"5"	"4"	"1"	"45"	"9"	"2"	"3"	"5"	"13"	"0"	"0"	"3"	"4"	"331"	"0"	"331"	"0"
"26"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"28"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"29"	"24"	"201"	"23"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"229"	"0"	"229"	"0"
"30"	"25"	"351"	"38"	"2"	"0"	"15"	"19"	"2"	"10"	"2"	"1"	"1"	"0"	"5"	"7"	"26"	"479"	"0"	"479"	"0"
"31"	"26"	"125"	"56"	"2"	"3"	"33"	"2"	"2"	"0"	"1"	"71"	"3"	"0"	"0"	"2"	"12"	"312"	"0"	"312"	"0"
"32"	"27"	"32"	"190"	"6"	"4"	"66"	"3"	"0"	"0"	"2"	"9"	"8"	"2"	"1"	"2"	"6"	"331"	"0"	"331"	"0"
"33"	"28"	"59"	"195"	"3"	"20"	"4"	"1"	"4"	"2"	"2"	"22"	"2"	"1"	"2"	"6"	"31"	"354"	"0"	"354"	"0"
"34"	"29"	"47"	"89"	"2"	"9"	"20"	"1"	"12"	"12"	"0"	"26"	"12"	"2"	"8"	"31"	"27"	"298"	"0"	"298"	"0"
"35"	"30"	"284"	"136"	"5"	"2"	"5"	"2"	"6"	"1"	"2"	"0"	"5"	"14"	"4"	"5"	"22"	"493"	"0"	"493"	"0"
"36"	"31"	"213"	"66"	"0"	"1"	"4"	"13"	"8"	"19"	"2"	"1"	"0"	"1"	"0"	"5"	"13"	"346"	"0"	"346"	"0"
"37"	"32"	"200"	"64"	"2"	"0"	"3"	"14"	"4"	"29"	"4"	"3"	"3"	"1"	"0"	"6"	"4"	"337"	"0"	"337"	"0"
"38"	"33"	"114"	"188"	"4"	"6"	"10"	"5"	"3"	"13"	"0"	"0"	"1"	"0"	"2"	"4"	"20"	"370"	"0"	"370"	"0"
"39"	"33A"	"175"	"99"	"7"	"2"	"2"	"2"	"16"	"23"	"1"	"2"	"1"	"1"	"2"	"4"	"10"	"347"	"0"	"347"	"0"
"40"	"34"	"43"	"15"	"1"	"5"	"3"	"2"	"1"	"34"	"4"	"0"	"2"	"0"	"1"	"2"	"19"	"132"	"0"	"132"	"0"
"41"	"35"	"57"	"93"	"1"	"41"	"60"	"5"	"2"	"0"	"1"	"7"	"2"	"4"	"1"	"0"	"12"	"286"	"0"	"286"	"0"
"42"	"36"	"39"	"85"	"2"	"47"	"28"	"3"	"1"	"4"	"0"	"10"	"6"	"3"	"0"	"4"	"19"	"251"	"0"	"251"	"0"
"43"	"37"	"82"	"275"	"6"	"73"	"18"	"2"	"4"	"1"	"1"	"3"	"1"	"6"	"2"	"16"	"9"	"499"	"0"	"499"	"0"
"44"	"38"	"239"	"294"	"3"	"3"	"18"	"1"	"15"	"0"	"0"	"2"	"7"	"9"	"5"	"21"	"40"	"657"	"0"	"657"	"0"
"45"	"39"	"116"	"358"	"9"	"7"	"8"	"1"	"15"	"3"	"1"	"2"	"11"	"2"	"7"	"21"	"22"	"583"	"0"	"583"	"0"
"46"	"40"	"212"	"22"	"4"	"0"	"5"	"0"	"4"	"1"	"0"	"1"	"4"	"4"	"2"	"4"	"29"	"292"	"0"	"292"	"0"
"47"	"41"	"269"	"28"	"3"	"2"	"6"	"2"	"3"	"2"	"0"	"4"	"4"	"5"	"3"	"10"	"38"	"379"	"0"	"379"	"0"
"48"	"42"	"65"	"369"	"7"	"3"	"4"	"3"	"1"	"1"	"0"	"2"	"1"	"6"	"2"	"22"	"12"	"498"	"0"	"498"	"0"
"49"	"43"	"410"	"53"	"5"	"2"	"15"	"4"	"3"	"0"	"1"	"5"	"3"	"7"	"4"	"4"	"26"	"542"	"0"	"542"	"0"
"50"	"44"	"421"	"53"	"6"	"4"	"14"	"1"	"1"	"1"	"1"	"0"	"1"	"16"	"1"	"5"	"17"	"542"	"0"	"542"	"0"
"51"	"45"	"15"	"281"	"8"	"4"	"8"	"1"	"1"	"3"	"2"	"0"	"1"	"5"	"8"	"14"	"35"	"386"	"0"	"386"	"0"
"52"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"54"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"55"	"46"	"51"	"95"	"0"	"24"	"109"	"4"	"2"	"1"	"0"	"9"	"10"	"5"	"2"	"5"	"36"	"353"	"0"	"353"	"0"
"56"	"47"	"22"	"253"	"1"	"23"	"23"	"1"	"1"	"0"	"1"	"2"	"2"	"1"	"0"	"10"	"9"	"349"	"0"	"349"	"0"
"57"	"48"	"83"	"5"	"1"	"2"	"134"	"3"	"1"	"1"	"0"	"0"	"8"	"3"	"2"	"4"	"7"	"254"	"0"	"254"	"0"
"58"	"49"	"432"	"94"	"8"	"0"	"5"	"2"	"22"	"1"	"7"	"4"	"4"	"7"	"3"	"8"	"57"	"654"	"0"	"654"	"0"
"59"	"50"	"125"	"313"	"10"	"4"	"67"	"2"	"6"	"2"	"0"	"8"	"7"	"12"	"6"	"41"	"18"	"621"	"0"	"621"	"0"
"60"	"51"	"131"	"427"	"5"	"5"	"16"	"2"	"3"	"5"	"2"	"2"	"6"	"4"	"9"	"23"	"30"	"670"	"0"	"670"	"0"
"61"	"52"	"175"	"351"	"12"	"23"	"25"	"0"	"8"	"1"	"5"	"14"	"4"	"5"	"5"	"13"	"13"	"654"	"0"	"654"	"0"
"62"	"53"	"332"	"216"	"8"	"4"	"18"	"4"	"9"	"6"	"2"	"0"	"4"	"33"	"0"	"4"	"13"	"653"	"0"	"653"	"0"
"63"	"54"	"35"	"273"	"6"	"2"	"10"	"1"	"1"	"2"	"0"	"1"	"5"	"16"	"3"	"4"	"11"	"370"	"0"	"370"	"0"
"64"	"55"	"41"	"250"	"2"	"3"	"10"	"1"	"3"	"3"	"2"	"3"	"9"	"14"	"10"	"11"	"18"	"380"	"0"	"380"	"0"
"65"	"56"	"95"	"268"	"8"	"5"	"6"	"0"	"2"	"1"	"0"	"1"	"5"	"16"	"1"	"10"	"11"	"429"	"0"	"429"	"0"
"66"	"57"	"78"	"196"	"2"	"31"	"21"	"3"	"10"	"5"	"1"	"3"	"0"	"7"	"3"	"12"	"12"	"384"	"0"	"384"	"0"
"67"	"58"	"94"	"118"	"4"	"2"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"4"	"239"	"0"	"239"	"0"
"68"	"59"	"189"	"300"	"8"	"7"	"11"	"0"	"10"	"3"	"0"	"1"	"3"	"7"	"1"	"1"	"6"	"547"	"0"	"547"	"0"
"69"	"60"	"202"	"369"	"2"	"4"	"19"	"0"	"6"	"3"	"3"	"0"	"3"	"28"	"5"	"6"	"7"	"657"	"0"	"657"	"0"
"70"	"61"	"214"	"175"	"7"	"1"	"10"	"0"	"17"	"1"	"3"	"3"	"5"	"20"	"11"	"13"	"34"	"514"	"0"	"514"	"0"
"71"	"62"	"96"	"160"	"5"	"115"	"58"	"2"	"4"	"4"	"2"	"5"	"6"	"15"	"3"	"15"	"18"	"508"	"0"	"508"	"0"
"72"	"63"	"233"	"116"	"3"	"2"	"9"	"3"	"1"	"3"	"0"	"0"	"9"	"5"	"3"	"13"	"24"	"424"	"0"	"424"	"0"
"73"	"64"	"359"	"52"	"3"	"2"	"5"	"1"	"5"	"3"	"4"	"1"	"2"	"5"	"1"	"2"	"20"	"465"	"0"	"465"	"0"
"74"	"65"	"71"	"191"	"5"	"3"	"3"	"2"	"2"	"2"	"2"	"1"	"4"	"36"	"2"	"12"	"11"	"347"	"0"	"347"	"0"
"75"	"66"	"35"	"139"	"1"	"34"	"9"	"0"	"4"	"1"	"0"	"1"	"0"	"1"	"2"	"6"	"8"	"241"	"0"	"241"	"0"
"76"	"67"	"83"	"244"	"6"	"1"	"6"	"1"	"2"	"9"	"1"	"1"	"3"	"56"	"3"	"6"	"15"	"437"	"0"	"437"	"0"
"77"	"68"	"226"	"187"	"5"	"2"	"2"	"3"	"5"	"43"	"4"	"3"	"5"	"41"	"5"	"12"	"17"	"560"	"0"	"560"	"0"
"78"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"80"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"81"	"69"	"60"	"99"	"9"	"10"	"9"	"1"	"2"	"3"	"4"	"5"	"13"	"274"	"11"	"8"	"20"	"528"	"0"	"528"	"0"
"82"	"70"	"80"	"36"	"5"	"5"	"2"	"3"	"1"	"4"	"7"	"3"	"8"	"267"	"11"	"4"	"15"	"451"	"0"	"451"	"0"
"83"	"71"	"265"	"103"	"3"	"4"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"204"	"5"	"3"	"13"	"609"	"0"	"609"	"0"
"84"	"72"	"16"	"208"	"16"	"3"	"1"	"1"	"3"	"1"	"4"	"5"	"5"	"371"	"14"	"11"	"8"	"667"	"0"	"667"	"0"
"85"	"73"	"143"	"53"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"6"	"1"	"5"	"5"	"218"	"0"	"218"	"0"
"86"	"74"	"134"	"264"	"8"	"1"	"6"	"3"	"8"	"1"	"4"	"2"	"12"	"117"	"8"	"7"	"26"	"601"	"0"	"601"	"0"
"87"	"75"	"87"	"176"	"3"	"4"	"6"	"1"	"3"	"5"	"2"	"0"	"5"	"66"	"9"	"13"	"16"	"396"	"0"	"396"	"0"
"88"	"76"	"114"	"262"	"6"	"2"	"3"	"1"	"4"	"0"	"0"	"1"	"2"	"19"	"3"	"8"	"13"	"438"	"0"	"438"	"0"
"89"	"77"	"13"	"258"	"6"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"3"	"21"	"2"	"13"	"13"	"335"	"0"	"335"	"0"
"90"	"78"	"90"	"369"	"9"	"2"	"18"	"3"	"2"	"2"	"0"	"4"	"3"	"19"	"2"	"8"	"6"	"537"	"0"	"537"	"0"
"91"	"79"	"70"	"176"	"3"	"1"	"2"	"1"	"1"	"1"	"0"	"0"	"4"	"49"	"5"	"10"	"8"	"331"	"0"	"331"	"0"
"92"	"80"	"54"	"345"	"15"	"3"	"13"	"3"	"7"	"2"	"3"	"2"	"7"	"70"	"3"	"18"	"22"	"567"	"0"	"567"	"0"
"93"	"81"	"78"	"461"	"4"	"5"	"26"	"4"	"2"	"7"	"3"	"2"	"4"	"23"	"11"	"23"	"22"	"675"	"0"	"675"	"0"
"94"	"82"	"61"	"281"	"12"	"1"	"1"	"12"	"21"	"16"	"3"	"1"	"4"	"17"	"3"	"3"	"8"	"444"	"0"	"444"	"0"
"95"	"83"	"59"	"261"	"21"	"1"	"12"	"5"	"17"	"31"	"4"	"4"	"17"	"19"	"14"	"5"	"14"	"484"	"0"	"484"	"0"
"96"	"84"	"135"	"339"	"11"	"7"	"42"	"7"	"28"	"6"	"5"	"3"	"13"	"14"	"5"	"4"	"14"	"633"	"0"	"633"	"0"
"97"	"85"	"192"	"235"	"8"	"3"	"10"	"5"	"21"	"5"	"2"	"2"	"17"	"8"	"9"	"14"	"16"	"547"	"0"	"547"	"0"
"98"	"86"	"142"	"155"	"41"	"3"	"3"	"5"	"29"	"3"	"2"	"2"	"5"	"2"	"4"	"7"	"18"	"421"	"0"	"421"	"0"
"99"	"87"	"89"	"348"	"9"	"5"	"13"	"2"	"11"	"1"	"1"	"2"	"4"	"100"	"4"	"12"	"13"	"614"	"0"	"614"	"0"
"100"	"88"	"151"	"269"	"5"	"9"	"22"	"1"	"7"	"3"	"1"	"5"	"14"	"39"	"6"	"10"	"7"	"549"	"0"	"549"	"0"
"101"	"89"	"281"	"137"	"17"	"4"	"5"	"4"	"16"	"10"	"1"	"2"	"3"	"7"	"5"	"4"	"22"	"518"	"0"	"518"	"0"
"102"	"90"	"418"	"147"	"11"	"8"	"5"	"5"	"19"	"2"	"6"	"3"	"20"	"93"	"13"	"14"	"90"	"854"	"0"	"854"	"0"
"103"	"91"	"23"	"280"	"8"	"7"	"4"	"5"	"10"	"6"	"5"	"4"	"4"	"108"	"6"	"12"	"9"	"491"	"0"	"491"	"0"
"104"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"106"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"107"	"92"	"31"	"324"	"7"	"1"	"8"	"1"	"3"	"0"	"1"	"3"	"1"	"34"	"3"	"21"	"12"	"450"	"0"	"450"	"0"
"108"	"93"	"119"	"219"	"4"	"3"	"6"	"0"	"2"	"0"	"0"	"1"	"6"	"121"	"2"	"6"	"5"	"494"	"0"	"494"	"0"
"109"	"94"	"55"	"202"	"8"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"3"	"102"	"5"	"5"	"5"	"396"	"0"	"396"	"0"
"110"	"95"	"58"	"96"	"7"	"4"	"29"	"5"	"3"	"2"	"1"	"1"	"6"	"150"	"4"	"2"	"8"	"376"	"0"	"376"	"0"
"111"	"96"	"120"	"100"	"4"	"7"	"36"	"5"	"4"	"4"	"3"	"4"	"78"	"6"	"7"	"14"	"41"	"433"	"0"	"433"	"0"
"112"	"97"	"258"	"137"	"6"	"17"	"30"	"6"	"6"	"2"	"0"	"2"	"22"	"4"	"4"	"20"	"69"	"583"	"0"	"583"	"0"
"113"	"98"	"73"	"209"	"6"	"2"	"19"	"1"	"2"	"1"	"0"	"0"	"3"	"1"	"1"	"8"	"11"	"337"	"0"	"337"	"0"
"114"	"99"	"161"	"148"	"3"	"3"	"0"	"0"	"5"	"4"	"2"	"2"	"0"	"8"	"1"	"8"	"19"	"364"	"0"	"364"	"0"
"115"	"100"	"111"	"114"	"0"	"3"	"11"	"0"	"4"	"3"	"0"	"0"	"15"	"9"	"1"	"10"	"19"	"300"	"0"	"300"	"0"
"116"	"101"	"31"	"134"	"19"	"3"	"46"	"1"	"1"	"0"	"2"	"6"	"10"	"13"	"0"	"2"	"42"	"310"	"0"	"310"	"0"
"117"	"102"	"153"	"189"	"4"	"2"	"15"	"2"	"1"	"0"	"2"	"4"	"3"	"1"	"1"	"16"	"17"	"410"	"0"	"410"	"0"
"118"	"103"	"74"	"430"	"11"	"4"	"6"	"2"	"3"	"1"	"3"	"4"	"7"	"88"	"6"	"25"	"23"	"687"	"0"	"687"	"0"
"119"	"104"	"82"	"168"	"6"	"1"	"4"	"2"	"3"	"0"	"3"	"3"	"2"	"63"	"7"	"9"	"10"	"363"	"0"	"363"	"0"
"120"	"105"	"13"	"264"	"8"	"0"	"2"	"0"	"1"	"2"	"2"	"1"	"3"	"42"	"1"	"10"	"13"	"362"	"0"	"362"	"0"
"121"	"106"	"19"	"411"	"10"	"4"	"4"	"0"	"2"	"0"	"3"	"2"	"3"	"83"	"10"	"26"	"14"	"591"	"0"	"591"	"0"
"122"	"107"	"261"	"177"	"11"	"3"	"21"	"2"	"12"	"6"	"1"	"3"	"11"	"72"	"14"	"12"	"55"	"661"	"0"	"661"	"0"
"123"	"108"	"173"	"108"	"4"	"6"	"2"	"0"	"6"	"10"	"3"	"1"	"4"	"5"	"1"	"6"	"12"	"341"	"0"	"341"	"0"
"124"	"109"	"59"	"222"	"5"	"1"	"3"	"3"	"2"	"2"	"0"	"0"	"3"	"30"	"6"	"22"	"16"	"374"	"0"	"374"	"0"
"125"	"110"	"35"	"217"	"0"	"9"	"37"	"0"	"0"	"5"	"0"	"4"	"2"	"0"	"1"	"6"	"67"	"383"	"0"	"383"	"0"
"126"	"111"	"108"	"259"	"2"	"21"	"20"	"0"	"2"	"4"	"1"	"2"	"4"	"1"	"0"	"1"	"10"	"435"	"0"	"435"	"0"
"127"	"112"	"118"	"130"	"10"	"17"	"19"	"3"	"12"	"15"	"2"	"3"	"8"	"3"	"7"	"11"	"39"	"397"	"0"	"397"	"0"
"128"	"113"	"18"	"336"	"3"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"27"	"7"	"22"	"11"	"431"	"0"	"431"	"0"
"129"	"114"	"34"	"252"	"13"	"4"	"10"	"4"	"4"	"1"	"1"	"1"	"4"	"29"	"5"	"17"	"6"	"385"	"0"	"385"	"0"
"130"	"Candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Booths"	"Prahlad Yadav"	"Prem Ranjan Patel"	"Manoj Kumar"	"Sujit Kumar"	"Sunil Kumar"	"Chandra Deo Yadav"	"Jitendra Kumar"	"Shyam Kishore Singh"	"Arun Kumar Paswan"	"Janardan Singh"	"Pankaj Kumar Singh"	"Manoj Kumar"	"Ram Naresh Panday"	"Sireesh Kumar Sandilya"	"Sita Ram Singh"	"Total Polled Votes"	"Rejected Votes"	"Total Votes"	"Tender Votes"
"132"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"133"	"115"	"13"	"224"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"23"	"3"	"9"	"8"	"292"	"0"	"292"	"0"
"134"	"116"	"15"	"228"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"22"	"3"	"12"	"7"	"290"	"0"	"290"	"0"
"135"	"117"	"26"	"267"	"7"	"3"	"0"	"1"	"3"	"1"	"0"	"1"	"1"	"14"	"6"	"18"	"18"	"366"	"0"	"366"	"0"
"136"	"118"	"69"	"405"	"6"	"2"	"0"	"0"	"4"	"1"	"1"	"0"	"5"	"16"	"8"	"19"	"10"	"546"	"0"	"546"	"0"
"137"	"119"	"67"	"308"	"18"	"1"	"25"	"8"	"5"	"2"	"1"	"2"	"5"	"93"	"6"	"11"	"11"	"563"	"0"	"563"	"0"
"138"	"120"	"15"	"357"	"3"	"2"	"8"	"0"	"0"	"1"	"0"	"1"	"5"	"31"	"5"	"24"	"31"	"483"	"0"	"483"	"0"
"139"	"121"	"22"	"398"	"6"	"3"	"1"	"0"	"2"	"3"	"3"	"3"	"3"	"68"	"7"	"17"	"7"	"543"	"0"	"543"	"0"
"140"	"122"	"320"	"157"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"2"	"0"	"7"	"12"	"504"	"0"	"504"	"0"
"141"	"123"	"23"	"312"	"8"	"2"	"4"	"1"	"1"	"0"	"2"	"1"	"1"	"26"	"2"	"5"	"4"	"392"	"0"	"392"	"0"
"142"	"124"	"199"	"266"	"9"	"7"	"11"	"3"	"7"	"20"	"1"	"2"	"4"	"7"	"5"	"17"	"23"	"581"	"0"	"581"	"0"
"143"	"125"	"78"	"173"	"18"	"0"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"8"	"0"	"4"	"10"	"297"	"0"	"297"	"0"
"144"	"126"	"15"	"112"	"5"	"4"	"6"	"0"	"1"	"2"	"4"	"1"	"2"	"113"	"4"	"7"	"9"	"285"	"0"	"285"	"0"
"145"	"127"	"40"	"122"	"4"	"2"	"2"	"1"	"4"	"1"	"0"	"1"	"4"	"113"	"3"	"7"	"5"	"309"	"0"	"309"	"0"
"146"	"128"	"106"	"210"	"5"	"59"	"153"	"8"	"6"	"0"	"0"	"24"	"9"	"7"	"3"	"4"	"11"	"605"	"0"	"605"	"0"
"147"	"129"	"20"	"194"	"2"	"164"	"41"	"2"	"3"	"0"	"2"	"13"	"4"	"17"	"4"	"10"	"11"	"487"	"0"	"487"	"0"
"148"	"130"	"228"	"125"	"1"	"32"	"13"	"2"	"15"	"3"	"1"	"2"	"3"	"7"	"5"	"11"	"15"	"463"	"0"	"463"	"0"
"149"	"131"	"221"	"208"	"4"	"1"	"12"	"7"	"2"	"6"	"2"	"2"	"1"	"12"	"5"	"7"	"32"	"522"	"0"	"522"	"0"
"150"	"132"	"197"	"205"	"9"	"3"	"13"	"3"	"6"	"4"	"3"	"1"	"0"	"6"	"3"	"3"	"16"	"472"	"0"	"472"	"0"
"151"	"133"	"191"	"193"	"5"	"6"	"6"	"6"	"10"	"7"	"4"	"7"	"4"	"28"	"4"	"5"	"17"	"493"	"0"	"493"	"0"
"152"	"134"	"169"	"184"	"3"	"4"	"5"	"2"	"1"	"0"	"1"	"0"	"2"	"11"	"1"	"6"	"30"	"419"	"0"	"419"	"0"
"153"	"135"	"38"	"50"	"3"	"3"	"14"	"2"	"3"	"4"	"4"	"1"	"4"	"278"	"6"	"4"	"3"	"417"	"0"	"417"	"0"
"154"	"136"	"26"	"122"	"2"	"3"	"2"	"0"	"3"	"1"	"4"	"1"	"4"	"181"	"9"	"13"	"22"	"393"	"0"	"393"	"0"
