"Tabulation.of.Result.by.Additional.Counting.Staff"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  142 Bachhwara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"33"	"25"	"152"	"5"	"0"	"68"	"32"	"51"	"3"	"4"	"2"	"10"	"1"	"114"	"8"	"13"	"1"	"7"	"12"	"7"	"490"	"0"	"490"	"0"
"34"	"25A"	"42"	"0"	"0"	"21"	"23"	"33"	"3"	"3"	"1"	"6"	"1"	"93"	"2"	"10"	"0"	"1"	"3"	"0"	"242"	"0"	"242"	"0"
"35"	"26"	"143"	"2"	"1"	"5"	"20"	"26"	"0"	"0"	"0"	"0"	"0"	"29"	"1"	"0"	"1"	"2"	"4"	"3"	"237"	"0"	"237"	"0"
"36"	"27"	"180"	"4"	"0"	"38"	"7"	"61"	"2"	"0"	"1"	"3"	"1"	"23"	"4"	"10"	"2"	"2"	"7"	"5"	"350"	"0"	"350"	"0"
"37"	"28"	"364"	"8"	"9"	"40"	"40"	"190"	"2"	"4"	"2"	"7"	"3"	"72"	"3"	"13"	"1"	"10"	"5"	"1"	"774"	"0"	"774"	"0"
"38"	"29"	"270"	"5"	"1"	"107"	"45"	"49"	"0"	"5"	"2"	"12"	"3"	"110"	"10"	"12"	"2"	"5"	"2"	"1"	"641"	"0"	"641"	"0"
"39"	"30"	"168"	"6"	"6"	"51"	"42"	"70"	"5"	"4"	"0"	"6"	"3"	"194"	"6"	"6"	"2"	"9"	"9"	"2"	"589"	"0"	"589"	"0"
"40"	"30A"	"59"	"5"	"0"	"28"	"19"	"92"	"1"	"0"	"2"	"3"	"3"	"52"	"1"	"0"	"0"	"2"	"1"	"1"	"269"	"0"	"269"	"0"
"41"	"31"	"111"	"20"	"12"	"65"	"125"	"49"	"7"	"9"	"7"	"9"	"5"	"97"	"19"	"11"	"2"	"16"	"20"	"6"	"590"	"0"	"590"	"0"
"42"	"32"	"80"	"6"	"4"	"15"	"48"	"39"	"3"	"2"	"3"	"21"	"3"	"282"	"5"	"8"	"6"	"10"	"7"	"6"	"548"	"0"	"548"	"0"
"43"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"44"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"46"	"33"	"35"	"2"	"0"	"134"	"38"	"168"	"5"	"3"	"1"	"14"	"2"	"196"	"11"	"11"	"5"	"5"	"2"	"0"	"632"	"0"	"632"	"0"
"47"	"34"	"123"	"16"	"3"	"141"	"153"	"91"	"3"	"3"	"0"	"11"	"3"	"72"	"10"	"6"	"2"	"3"	"9"	"4"	"653"	"0"	"653"	"0"
"48"	"35"	"111"	"5"	"1"	"29"	"105"	"297"	"6"	"7"	"2"	"16"	"0"	"47"	"6"	"1"	"5"	"7"	"9"	"10"	"664"	"0"	"664"	"0"
"49"	"35A"	"83"	"2"	"0"	"10"	"80"	"85"	"2"	"3"	"0"	"3"	"2"	"21"	"2"	"1"	"1"	"4"	"10"	"7"	"316"	"0"	"316"	"0"
"50"	"36"	"66"	"18"	"6"	"223"	"73"	"37"	"3"	"2"	"0"	"3"	"4"	"35"	"22"	"6"	"0"	"9"	"9"	"6"	"522"	"0"	"522"	"0"
"51"	"37"	"162"	"12"	"1"	"120"	"29"	"100"	"6"	"12"	"1"	"4"	"1"	"100"	"10"	"9"	"3"	"6"	"6"	"2"	"584"	"0"	"584"	"0"
"52"	"38"	"184"	"7"	"0"	"68"	"27"	"66"	"8"	"0"	"2"	"4"	"1"	"106"	"6"	"9"	"1"	"2"	"4"	"0"	"495"	"0"	"495"	"0"
"53"	"39"	"166"	"6"	"5"	"73"	"134"	"173"	"19"	"1"	"2"	"9"	"4"	"70"	"11"	"21"	"5"	"13"	"13"	"14"	"739"	"0"	"739"	"0"
"54"	"40"	"21"	"2"	"0"	"37"	"29"	"137"	"3"	"1"	"1"	"6"	"5"	"92"	"5"	"14"	"2"	"1"	"1"	"1"	"358"	"0"	"358"	"0"
"55"	"41"	"522"	"9"	"3"	"160"	"17"	"11"	"2"	"3"	"3"	"10"	"2"	"27"	"10"	"13"	"2"	"5"	"15"	"4"	"818"	"0"	"818"	"0"
"56"	"42"	"269"	"5"	"7"	"51"	"45"	"135"	"2"	"5"	"1"	"11"	"6"	"192"	"0"	"9"	"2"	"11"	"7"	"4"	"762"	"0"	"762"	"0"
"57"	"43"	"153"	"4"	"1"	"18"	"1"	"10"	"0"	"0"	"1"	"4"	"0"	"100"	"2"	"1"	"0"	"1"	"1"	"1"	"298"	"0"	"298"	"0"
"58"	"44"	"176"	"5"	"4"	"56"	"25"	"17"	"0"	"4"	"0"	"1"	"0"	"15"	"1"	"3"	"0"	"5"	"0"	"0"	"312"	"0"	"312"	"0"
"59"	"45"	"245"	"6"	"3"	"41"	"42"	"13"	"1"	"3"	"0"	"3"	"2"	"22"	"8"	"1"	"1"	"3"	"1"	"0"	"395"	"0"	"395"	"0"
"60"	"46"	"308"	"7"	"1"	"51"	"71"	"3"	"3"	"2"	"2"	"7"	"2"	"66"	"8"	"5"	"3"	"19"	"11"	"4"	"573"	"0"	"573"	"0"
"61"	"47"	"105"	"4"	"2"	"17"	"70"	"15"	"2"	"6"	"1"	"8"	"1"	"47"	"2"	"59"	"2"	"1"	"2"	"5"	"349"	"0"	"349"	"0"
"62"	"48"	"65"	"2"	"1"	"92"	"83"	"22"	"2"	"0"	"1"	"4"	"0"	"35"	"8"	"4"	"4"	"6"	"3"	"2"	"334"	"0"	"334"	"0"
"63"	"49"	"19"	"3"	"1"	"76"	"133"	"124"	"7"	"9"	"0"	"15"	"4"	"144"	"22"	"9"	"7"	"12"	"0"	"1"	"586"	"0"	"586"	"0"
"64"	"50"	"100"	"1"	"1"	"86"	"79"	"116"	"8"	"7"	"3"	"23"	"7"	"93"	"11"	"139"	"7"	"11"	"11"	"12"	"715"	"0"	"715"	"0"
"65"	"51"	"144"	"5"	"4"	"157"	"21"	"92"	"3"	"6"	"1"	"6"	"4"	"52"	"20"	"9"	"4"	"17"	"17"	"9"	"571"	"0"	"571"	"0"
"66"	"52"	"9"	"1"	"7"	"27"	"105"	"5"	"14"	"6"	"4"	"7"	"172"	"34"	"127"	"2"	"4"	"1"	"1"	"0"	"526"	"0"	"526"	"0"
"67"	"53"	"212"	"14"	"5"	"129"	"32"	"123"	"6"	"8"	"2"	"1"	"4"	"48"	"20"	"12"	"2"	"5"	"5"	"1"	"629"	"0"	"629"	"0"
"68"	"54"	"48"	"1"	"2"	"43"	"20"	"212"	"5"	"0"	"0"	"3"	"6"	"85"	"4"	"22"	"5"	"0"	"0"	"2"	"458"	"0"	"458"	"0"
"69"	"55"	"96"	"4"	"5"	"55"	"30"	"261"	"13"	"9"	"3"	"9"	"7"	"71"	"7"	"15"	"2"	"2"	"2"	"2"	"593"	"0"	"593"	"0"
"70"	"56"	"58"	"18"	"5"	"97"	"6"	"147"	"8"	"7"	"0"	"6"	"4"	"20"	"7"	"2"	"2"	"4"	"4"	"2"	"397"	"0"	"397"	"0"
"71"	"57"	"182"	"7"	"5"	"129"	"54"	"104"	"2"	"2"	"3"	"6"	"7"	"77"	"27"	"11"	"10"	"10"	"10"	"4"	"650"	"0"	"650"	"0"
"72"	"58"	"93"	"11"	"8"	"148"	"12"	"110"	"4"	"7"	"3"	"6"	"8"	"122"	"18"	"49"	"4"	"6"	"6"	"5"	"620"	"0"	"620"	"0"
"73"	"58A"	"28"	"0"	"1"	"95"	"3"	"31"	"3"	"5"	"0"	"5"	"5"	"36"	"10"	"13"	"1"	"1"	"1"	"1"	"239"	"0"	"239"	"0"
"74"	"59"	"88"	"2"	"4"	"141"	"39"	"162"	"7"	"9"	"5"	"4"	"10"	"42"	"21"	"23"	"5"	"1"	"1"	"1"	"565"	"0"	"565"	"0"
"75"	"60"	"141"	"0"	"1"	"69"	"61"	"145"	"3"	"2"	"3"	"6"	"3"	"96"	"10"	"8"	"3"	"14"	"14"	"11"	"590"	"0"	"590"	"0"
"76"	"61"	"18"	"0"	"3"	"130"	"48"	"88"	"2"	"3"	"3"	"6"	"5"	"84"	"19"	"13"	"2"	"8"	"8"	"5"	"445"	"0"	"445"	"0"
"77"	"62"	"12"	"2"	"1"	"44"	"7"	"82"	"6"	"2"	"1"	"11"	"5"	"28"	"5"	"19"	"5"	"5"	"5"	"6"	"246"	"0"	"246"	"0"
"78"	"63"	"61"	"7"	"6"	"66"	"62"	"157"	"3"	"9"	"2"	"14"	"18"	"133"	"41"	"48"	"13"	"1"	"1"	"2"	"644"	"0"	"644"	"0"
"79"	"64"	"72"	"8"	"7"	"18"	"81"	"15"	"2"	"2"	"1"	"20"	"4"	"81"	"7"	"134"	"7"	"10"	"3"	"4"	"476"	"0"	"476"	"0"
"80"	"64A"	"68"	"1"	"5"	"18"	"25"	"10"	"3"	"1"	"2"	"17"	"3"	"103"	"7"	"166"	"2"	"13"	"12"	"6"	"462"	"0"	"462"	"0"
"81"	"65"	"22"	"1"	"7"	"4"	"4"	"20"	"2"	"2"	"1"	"13"	"1"	"28"	"8"	"273"	"4"	"4"	"1"	"1"	"396"	"0"	"396"	"0"
"82"	"66"	"22"	"3"	"7"	"7"	"8"	"22"	"4"	"1"	"3"	"20"	"3"	"51"	"9"	"362"	"9"	"13"	"1"	"2"	"547"	"0"	"547"	"0"
"83"	"67"	"86"	"4"	"12"	"16"	"11"	"28"	"3"	"2"	"3"	"32"	"4"	"80"	"7"	"425"	"8"	"16"	"2"	"1"	"740"	"0"	"740"	"0"
"84"	"68"	"117"	"9"	"3"	"22"	"34"	"11"	"4"	"3"	"2"	"53"	"2"	"88"	"12"	"206"	"9"	"13"	"6"	"10"	"604"	"0"	"604"	"0"
"85"	"69"	"398"	"7"	"7"	"36"	"196"	"19"	"2"	"3"	"2"	"4"	"2"	"42"	"1"	"27"	"1"	"1"	"9"	"3"	"760"	"0"	"760"	"0"
"86"	"70"	"155"	"5"	"1"	"47"	"296"	"29"	"10"	"7"	"3"	"9"	"5"	"61"	"7"	"6"	"2"	"8"	"10"	"6"	"667"	"0"	"667"	"0"
"87"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"88"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"89"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"90"	"71"	"123"	"3"	"4"	"119"	"158"	"17"	"1"	"3"	"3"	"10"	"2"	"69"	"15"	"8"	"1"	"2"	"9"	"7"	"554"	"0"	"554"	"0"
"91"	"72"	"100"	"1"	"2"	"108"	"83"	"49"	"3"	"2"	"2"	"17"	"4"	"304"	"11"	"8"	"4"	"7"	"8"	"6"	"719"	"0"	"719"	"0"
"92"	"73"	"494"	"7"	"12"	"120"	"17"	"32"	"1"	"2"	"5"	"6"	"3"	"68"	"24"	"14"	"9"	"40"	"11"	"3"	"868"	"0"	"868"	"0"
"93"	"74"	"241"	"11"	"5"	"217"	"58"	"7"	"2"	"4"	"7"	"19"	"4"	"84"	"29"	"81"	"1"	"10"	"2"	"0"	"782"	"0"	"782"	"0"
"94"	"75"	"65"	"20"	"3"	"53"	"34"	"116"	"3"	"2"	"3"	"9"	"2"	"12"	"19"	"41"	"4"	"11"	"6"	"6"	"409"	"0"	"409"	"0"
"95"	"76"	"55"	"8"	"6"	"53"	"56"	"193"	"3"	"9"	"1"	"13"	"7"	"38"	"6"	"53"	"4"	"2"	"7"	"2"	"516"	"0"	"516"	"0"
"96"	"77"	"254"	"9"	"2"	"156"	"29"	"95"	"1"	"3"	"1"	"11"	"2"	"73"	"5"	"7"	"1"	"5"	"7"	"8"	"669"	"0"	"669"	"0"
"97"	"78"	"60"	"3"	"2"	"37"	"80"	"77"	"3"	"1"	"4"	"13"	"5"	"194"	"4"	"35"	"5"	"6"	"3"	"17"	"549"	"0"	"549"	"0"
"98"	"79"	"59"	"6"	"1"	"64"	"66"	"51"	"4"	"2"	"2"	"7"	"6"	"52"	"22"	"7"	"19"	"33"	"2"	"72"	"475"	"0"	"475"	"0"
"99"	"80"	"341"	"8"	"3"	"132"	"82"	"20"	"3"	"6"	"3"	"7"	"3"	"83"	"9"	"4"	"5"	"8"	"4"	"8"	"729"	"0"	"729"	"0"
"100"	"81"	"335"	"4"	"4"	"126"	"159"	"18"	"2"	"2"	"6"	"8"	"6"	"65"	"23"	"5"	"1"	"4"	"8"	"7"	"783"	"0"	"783"	"0"
"101"	"82"	"251"	"8"	"3"	"132"	"36"	"24"	"0"	"1"	"0"	"6"	"2"	"23"	"9"	"2"	"2"	"4"	"5"	"5"	"513"	"0"	"513"	"0"
"102"	"83"	"283"	"5"	"3"	"44"	"89"	"40"	"3"	"1"	"1"	"11"	"3"	"54"	"6"	"0"	"2"	"6"	"4"	"2"	"557"	"0"	"557"	"0"
"103"	"84"	"204"	"9"	"4"	"46"	"33"	"19"	"4"	"4"	"1"	"19"	"5"	"323"	"6"	"5"	"0"	"8"	"11"	"3"	"704"	"0"	"704"	"0"
"104"	"85"	"202"	"8"	"5"	"197"	"49"	"119"	"5"	"3"	"7"	"10"	"7"	"98"	"50"	"16"	"10"	"5"	"21"	"7"	"819"	"0"	"819"	"0"
"105"	"86"	"152"	"2"	"0"	"128"	"18"	"193"	"3"	"11"	"1"	"17"	"7"	"153"	"17"	"64"	"2"	"35"	"24"	"14"	"841"	"0"	"841"	"0"
"106"	"87"	"59"	"0"	"4"	"245"	"15"	"13"	"2"	"0"	"1"	"8"	"4"	"135"	"57"	"11"	"6"	"11"	"0"	"4"	"575"	"0"	"575"	"0"
"107"	"87A"	"132"	"1"	"3"	"51"	"31"	"33"	"2"	"2"	"1"	"8"	"1"	"170"	"10"	"5"	"3"	"17"	"4"	"0"	"474"	"0"	"474"	"0"
"108"	"88"	"54"	"3"	"2"	"144"	"128"	"136"	"3"	"4"	"4"	"17"	"7"	"120"	"13"	"15"	"5"	"6"	"0"	"0"	"661"	"0"	"661"	"0"
"109"	"88A"	"24"	"3"	"1"	"99"	"60"	"79"	"2"	"3"	"0"	"5"	"2"	"52"	"13"	"5"	"0"	"22"	"3"	"1"	"374"	"0"	"374"	"0"
"110"	"89"	"293"	"11"	"2"	"54"	"27"	"51"	"5"	"2"	"2"	"19"	"2"	"261"	"10"	"25"	"4"	"18"	"7"	"7"	"800"	"0"	"800"	"0"
"111"	"90"	"84"	"4"	"2"	"222"	"21"	"18"	"0"	"1"	"2"	"14"	"3"	"148"	"13"	"2"	"1"	"5"	"3"	"1"	"544"	"0"	"544"	"0"
"112"	"90A"	"60"	"1"	"3"	"225"	"19"	"11"	"0"	"1"	"0"	"3"	"1"	"46"	"26"	"3"	"5"	"7"	"11"	"3"	"425"	"0"	"425"	"0"
"113"	"91"	"51"	"5"	"6"	"213"	"24"	"17"	"0"	"4"	"0"	"11"	"1"	"153"	"37"	"5"	"5"	"6"	"0"	"3"	"541"	"0"	"541"	"0"
"114"	"91A"	"95"	"3"	"0"	"153"	"19"	"14"	"0"	"0"	"2"	"2"	"3"	"51"	"45"	"13"	"2"	"18"	"4"	"4"	"428"	"0"	"428"	"0"
"115"	"92"	"250"	"6"	"4"	"119"	"277"	"15"	"3"	"4"	"2"	"3"	"4"	"29"	"8"	"6"	"4"	"4"	"5"	"3"	"746"	"0"	"746"	"0"
"116"	"93"	"477"	"6"	"6"	"77"	"78"	"8"	"0"	"1"	"1"	"4"	"1"	"33"	"3"	"5"	"1"	"4"	"4"	"0"	"709"	"0"	"709"	"0"
"117"	"94"	"183"	"4"	"5"	"139"	"61"	"43"	"3"	"8"	"1"	"21"	"7"	"269"	"19"	"8"	"7"	"8"	"13"	"10"	"809"	"0"	"809"	"0"
"118"	"95"	"149"	"3"	"5"	"101"	"28"	"34"	"3"	"2"	"0"	"11"	"2"	"184"	"11"	"4"	"0"	"6"	"2"	"1"	"546"	"0"	"546"	"0"
"119"	"96"	"98"	"4"	"3"	"48"	"51"	"29"	"3"	"6"	"2"	"27"	"5"	"410"	"10"	"14"	"4"	"25"	"8"	"4"	"751"	"0"	"751"	"0"
"120"	"97"	"91"	"3"	"2"	"25"	"53"	"22"	"1"	"5"	"3"	"6"	"5"	"200"	"8"	"4"	"2"	"10"	"6"	"0"	"446"	"0"	"446"	"0"
"121"	"98"	"255"	"14"	"4"	"141"	"59"	"50"	"7"	"4"	"8"	"5"	"9"	"20"	"34"	"7"	"13"	"45"	"6"	"1"	"682"	"0"	"682"	"0"
"122"	"99"	"337"	"7"	"0"	"17"	"34"	"4"	"0"	"1"	"1"	"2"	"0"	"8"	"5"	"2"	"1"	"22"	"13"	"7"	"461"	"0"	"461"	"0"
"123"	"100"	"512"	"16"	"5"	"71"	"22"	"18"	"3"	"1"	"2"	"2"	"1"	"12"	"9"	"2"	"1"	"9"	"7"	"0"	"693"	"0"	"693"	"0"
"124"	"101"	"322"	"25"	"6"	"145"	"139"	"25"	"5"	"3"	"3"	"5"	"3"	"38"	"10"	"3"	"2"	"11"	"7"	"3"	"755"	"0"	"755"	"0"
"125"	"101A"	"137"	"3"	"1"	"107"	"11"	"22"	"2"	"0"	"2"	"1"	"0"	"3"	"4"	"1"	"1"	"2"	"3"	"0"	"300"	"0"	"300"	"0"
"126"	"101B"	"90"	"0"	"0"	"45"	"21"	"8"	"0"	"0"	"0"	"0"	"1"	"5"	"4"	"0"	"0"	"3"	"4"	"0"	"181"	"0"	"181"	"0"
"127"	"102"	"137"	"15"	"5"	"277"	"140"	"16"	"4"	"0"	"2"	"6"	"1"	"11"	"14"	"1"	"1"	"7"	"3"	"6"	"646"	"0"	"646"	"0"
"128"	"103"	"256"	"14"	"6"	"91"	"105"	"35"	"2"	"1"	"3"	"3"	"2"	"54"	"12"	"0"	"4"	"15"	"7"	"10"	"620"	"0"	"620"	"0"
"129"	"104"	"259"	"30"	"6"	"76"	"26"	"121"	"13"	"9"	"2"	"19"	"3"	"109"	"14"	"1"	"4"	"9"	"1"	"5"	"707"	"0"	"707"	"0"
"130"	"105"	"392"	"16"	"4"	"62"	"114"	"10"	"7"	"3"	"2"	"3"	"4"	"62"	"8"	"4"	"7"	"11"	"11"	"5"	"725"	"0"	"725"	"0"
"131"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"132"	""	"Abdesh Kumar Rai"	"Asharphi Prasad Mehta"	"Orsheel Paswan"	"Meena Devi"	"Ramdeo Rai"	"Vandana Singh"	"Amresh Kumar Rai"	"Mohamma d Moein Ansari"	"Rajneesh Kumar Mukhiya"	"Rajesh Priyam"	"Sunil Kumar Sashant"	"Arvind Kumar Singh"	"Kundan Singh"	"Jagjit Jha"	"Punit Singh"	"Parphul Kumar"	"Ranjit Paswan"	"Ramshan kar Singh"	""	""	""	""
"133"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"134"	"105A"	"164"	"2"	"3"	"8"	"62"	"9"	"2"	"3"	"1"	"9"	"3"	"103"	"6"	"0"	"9"	"5"	"13"	"3"	"405"	"0"	"405"	"0"
