"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"59"	"50"	""	"7"	"165"	"136"	"6"	"5"	"1"	"3"	"4"	"4"	"12"	"13"	"38"	"394"
"60"	"51"	""	"4"	"167"	"170"	"10"	"5"	"0"	"3"	"4"	"3"	"4"	"6"	"5"	"381"
"61"	"51"	"A"	"13"	"171"	"164"	"8"	"13"	"0"	"3"	"2"	"9"	"10"	"6"	"11"	"410"
"62"	"52"	""	"16"	"151"	"144"	"28"	"2"	"1"	"4"	"2"	"6"	"4"	"3"	"26"	"387"
"63"	"53"	""	"12"	"343"	"83"	"5"	"3"	"1"	"1"	"1"	"2"	"3"	"10"	"24"	"488"
"64"	"54"	""	"3"	"148"	"81"	"8"	"2"	"1"	"0"	"0"	"4"	"5"	"3"	"4"	"259"
"65"	"54"	"A"	"5"	"206"	"107"	"15"	"0"	"0"	"1"	"0"	"4"	"9"	"4"	"6"	"357"
"66"	"55"	""	"4"	"205"	"118"	"7"	"3"	"1"	"2"	"1"	"11"	"6"	"9"	"20"	"387"
"67"	"56"	""	"7"	"310"	"139"	"4"	"2"	"0"	"7"	"2"	"4"	"8"	"7"	"11"	"501"
"68"	"57"	""	"5"	"244"	"77"	"5"	"1"	"1"	"5"	"1"	"5"	"5"	"5"	"6"	"360"
"69"	"58"	""	"9"	"244"	"198"	"8"	"1"	"2"	"1"	"0"	"3"	"3"	"0"	"6"	"475"
"70"	"59"	""	"8"	"211"	"141"	"19"	"1"	"5"	"4"	"3"	"4"	"6"	"8"	"13"	"423"
"71"	"60"	""	"16"	"214"	"200"	"10"	"6"	"3"	"3"	"2"	"12"	"19"	"16"	"70"	"571"
"72"	"61"	""	"28"	"214"	"217"	"11"	"4"	"7"	"11"	"3"	"2"	"7"	"1"	"15"	"520"
"73"	"62"	""	"23"	"404"	"259"	"17"	"7"	"2"	"5"	"6"	"5"	"3"	"11"	"12"	"754"
"74"	"63"	""	"15"	"256"	"137"	"14"	"7"	"2"	"3"	"6"	"5"	"7"	"5"	"17"	"474"
"75"	"64"	""	"13"	"201"	"313"	"19"	"15"	"3"	"3"	"8"	"20"	"19"	"16"	"34"	"664"
"76"	"65"	""	"8"	"291"	"112"	"12"	"2"	"3"	"1"	"4"	"5"	"10"	"20"	"32"	"500"
"77"	"66"	""	"10"	"223"	"127"	"8"	"1"	"2"	"3"	"1"	"1"	"6"	"9"	"22"	"413"
"78"	"67"	""	"10"	"259"	"105"	"0"	"0"	"3"	"3"	"1"	"1"	"1"	"2"	"19"	"404"
"79"	"68"	""	"7"	"85"	"172"	"17"	"2"	"9"	"4"	"6"	"12"	"16"	"12"	"39"	"381"
"80"	"69"	""	"17"	"253"	"255"	"7"	"3"	"7"	"4"	"1"	"7"	"5"	"8"	"17"	"584"
"81"	"70"	""	"8"	"93"	"137"	"3"	"2"	"4"	"4"	"1"	"3"	"5"	"3"	"11"	"274"
"82"	"71"	""	"13"	"366"	"174"	"10"	"3"	"5"	"2"	"2"	"1"	"4"	"2"	"31"	"613"
"83"	"72"	""	"11"	"243"	"164"	"9"	"2"	"2"	"5"	"1"	"3"	"2"	"4"	"10"	"456"
"84"	"73"	""	"3"	"137"	"87"	"41"	"0"	"0"	"3"	"2"	"4"	"3"	"6"	"5"	"291"
"85"	"74"	""	"24"	"224"	"277"	"15"	"5"	"2"	"2"	"4"	"11"	"12"	"11"	"38"	"625"
"86"	"75"	""	"3"	"88"	"87"	"7"	"2"	"2"	"1"	"5"	"3"	"9"	"5"	"32"	"244"
"87"	"76"	""	"13"	"206"	"177"	"5"	"3"	"0"	"7"	"2"	"5"	"11"	"18"	"29"	"476"
"88"	"77"	""	"4"	"198"	"204"	"19"	"2"	"3"	"3"	"1"	"3"	"6"	"5"	"12"	"460"
"89"	"78"	""	"2"	"94"	"123"	"9"	"2"	"1"	"0"	"1"	"5"	"5"	"3"	"11"	"256"
"90"	"79"	""	"8"	"314"	"223"	"24"	"3"	"1"	"1"	"1"	"6"	"11"	"5"	"13"	"610"
"91"	"80"	""	"9"	"252"	"167"	"18"	"2"	"1"	"3"	"4"	"8"	"6"	"11"	"18"	"499"
"92"	"81"	""	"15"	"198"	"265"	"11"	"3"	"2"	"2"	"2"	"4"	"13"	"4"	"21"	"540"
"93"	"82"	""	"11"	"402"	"124"	"33"	"2"	"0"	"3"	"1"	"4"	"5"	"10"	"21"	"616"
"94"	"83"	""	"11"	"173"	"205"	"35"	"9"	"3"	"2"	"5"	"10"	"16"	"14"	"40"	"523"
"95"	"84"	""	"7"	"86"	"327"	"11"	"2"	"2"	"0"	"0"	"8"	"7"	"2"	"16"	"468"
"96"	"85"	""	"8"	"122"	"374"	"1"	"1"	"6"	"3"	"1"	"7"	"5"	"4"	"21"	"553"
"97"	"86"	""	"3"	"41"	"164"	"1"	"2"	"0"	"2"	"4"	"6"	"8"	"3"	"14"	"248"
"98"	"87"	""	"12"	"135"	"234"	"11"	"7"	"2"	"1"	"3"	"7"	"16"	"12"	"41"	"481"
"99"	"88"	""	"13"	"373"	"313"	"8"	"2"	"2"	"3"	"2"	"7"	"8"	"6"	"34"	"771"
"100"	"89"	""	"5"	"189"	"133"	"11"	"2"	"2"	"1"	"0"	"6"	"3"	"3"	"11"	"366"
"101"	"90"	""	"14"	"123"	"240"	"8"	"5"	"3"	"3"	"8"	"7"	"13"	"10"	"34"	"468"
"102"	"91"	""	"7"	"222"	"67"	"17"	"4"	"3"	"1"	"0"	"2"	"1"	"6"	"19"	"349"
"103"	"92"	""	"20"	"193"	"271"	"47"	"5"	"2"	"2"	"6"	"4"	"8"	"4"	"6"	"568"
"104"	"93"	""	"3"	"206"	"108"	"20"	"2"	"1"	"1"	"4"	"8"	"5"	"8"	"12"	"378"
"105"	"94"	""	"21"	"270"	"145"	"18"	"4"	"4"	"5"	"3"	"4"	"3"	"4"	"13"	"494"
"106"	"95"	""	"4"	"159"	"76"	"8"	"1"	"1"	"2"	"4"	"2"	"0"	"4"	"7"	"268"
"107"	"96"	""	"7"	"163"	"149"	"51"	"6"	"1"	"3"	"4"	"7"	"12"	"17"	"135"	"555"
"108"	"97"	""	"8"	"214"	"133"	"44"	"2"	"3"	"0"	"2"	"6"	"7"	"8"	"28"	"455"
"109"	"98"	""	"1"	"206"	"234"	"16"	"3"	"0"	"0"	"2"	"4"	"6"	"8"	"17"	"497"
"110"	"99"	""	"15"	"218"	"159"	"26"	"2"	"4"	"7"	"6"	"4"	"2"	"4"	"13"	"460"
"111"	"100"	""	"4"	"95"	"95"	"10"	"1"	"5"	"3"	"0"	"4"	"7"	"2"	"15"	"241"
"112"	"101"	""	"4"	"222"	"211"	"37"	"10"	"3"	"3"	"4"	"7"	"18"	"3"	"23"	"545"
"113"	"102"	""	"12"	"238"	"150"	"50"	"4"	"0"	"4"	"4"	"10"	"2"	"10"	"23"	"507"
"114"	"103"	""	"10"	"116"	"198"	"21"	"4"	"1"	"1"	"3"	"5"	"15"	"8"	"29"	"411"
"115"	"104"	""	"13"	"91"	"243"	"12"	"1"	"1"	"1"	"2"	"7"	"11"	"8"	"23"	"413"
"116"	"105"	""	"6"	"140"	"156"	"15"	"1"	"4"	"4"	"2"	"6"	"10"	"8"	"14"	"366"
"117"	"106"	""	"13"	"379"	"169"	"27"	"1"	"0"	"5"	"4"	"6"	"3"	"8"	"19"	"634"
"118"	"107"	""	"12"	"161"	"62"	"346"	"12"	"5"	"3"	"5"	"16"	"5"	"14"	"25"	"666"
"119"	"108"	""	"6"	"207"	"106"	"155"	"3"	"4"	"3"	"2"	"2"	"3"	"6"	"17"	"514"
"120"	"109"	""	"18"	"204"	"77"	"112"	"5"	"2"	"8"	"5"	"7"	"14"	"8"	"29"	"489"
"121"	"110"	""	"7"	"131"	"152"	"122"	"10"	"4"	"3"	"5"	"14"	"8"	"9"	"14"	"479"
"122"	"111"	""	"5"	"110"	"264"	"9"	"2"	"2"	"1"	"6"	"12"	"12"	"11"	"29"	"463"
"123"	"112"	""	"4"	"176"	"130"	"10"	"2"	"1"	"3"	"1"	"4"	"13"	"9"	"15"	"368"
"124"	"113"	""	"16"	"349"	"86"	"84"	"6"	"2"	"5"	"6"	"7"	"9"	"10"	"23"	"603"
"125"	"114"	""	"12"	"235"	"105"	"55"	"5"	"0"	"0"	"7"	"4"	"81"	"13"	"64"	"581"
"126"	"115"	""	"9"	"131"	"175"	"41"	"2"	"2"	"5"	"3"	"10"	"9"	"11"	"43"	"441"
"127"	"116"	""	"18"	"158"	"187"	"48"	"11"	"2"	"5"	"3"	"10"	"3"	"7"	"45"	"497"
"128"	"117"	""	"13"	"161"	"130"	"10"	"1"	"1"	"0"	"2"	"4"	"14"	"11"	"29"	"376"
"129"	"118"	""	"2"	"127"	"105"	"52"	"10"	"3"	"2"	"4"	"8"	"13"	"13"	"78"	"417"
"130"	"119"	""	"1"	"23"	"239"	"23"	"5"	"4"	"0"	"3"	"8"	"7"	"7"	"36"	"356"
"131"	"120"	""	"19"	"117"	"340"	"28"	"9"	"6"	"11"	"15"	"20"	"141"	"11"	"92"	"809"
"132"	"121"	""	"16"	"165"	"165"	"67"	"0"	"3"	"0"	"3"	"8"	"6"	"9"	"54"	"496"
"133"	"122"	""	"18"	"143"	"191"	"12"	"3"	"1"	"1"	"3"	"4"	"9"	"2"	"11"	"398"
"134"	"123"	"A"	"12"	"106"	"177"	"17"	"1"	"2"	"1"	"2"	"5"	"11"	"13"	"31"	"378"
"135"	"123"	""	"6"	"95"	"173"	"15"	"1"	"2"	"4"	"2"	"7"	"8"	"5"	"28"	"346"
"136"	"124"	""	"5"	"266"	"77"	"40"	"4"	"0"	"3"	"1"	"5"	"8"	"9"	"26"	"444"
"137"	"125"	""	"7"	"307"	"39"	"58"	"6"	"0"	"2"	"0"	"0"	"4"	"0"	"8"	"431"
"138"	"126"	""	"3"	"174"	"123"	"14"	"2"	"2"	"2"	"3"	"2"	"3"	"89"	"11"	"428"
"139"	"127"	""	"11"	"250"	"133"	"3"	"0"	"1"	"1"	"1"	"6"	"1"	"5"	"9"	"421"
"140"	"128"	""	"9"	"192"	"355"	"14"	"8"	"5"	"4"	"5"	"4"	"3"	"8"	"12"	"619"
"141"	"129"	""	"1"	"70"	"143"	"4"	"2"	"6"	"2"	"0"	"0"	"2"	"0"	"12"	"242"
"142"	"130"	""	"26"	"136"	"147"	"13"	"6"	"1"	"12"	"8"	"10"	"33"	"7"	"116"	"515"
"143"	"131"	""	"16"	"86"	"145"	"59"	"9"	"6"	"10"	"3"	"16"	"41"	"17"	"101"	"509"
"144"	"132"	""	"4"	"122"	"216"	"2"	"9"	"0"	"5"	"2"	"3"	"4"	"4"	"14"	"385"
"145"	"133"	""	"34"	"114"	"174"	"6"	"91"	"6"	"4"	"6"	"6"	"12"	"3"	"14"	"470"
"146"	"134"	""	"31"	"183"	"161"	"10"	"16"	"4"	"3"	"1"	"3"	"9"	"4"	"92"	"517"
"147"	"135"	""	"19"	"279"	"236"	"18"	"14"	"4"	"10"	"5"	"5"	"12"	"9"	"17"	"628"
"148"	"136"	""	"15"	"180"	"80"	"5"	"5"	"1"	"0"	"0"	"5"	"5"	"14"	"17"	"327"
"149"	"137"	""	"33"	"38"	"263"	"8"	"0"	"0"	"2"	"0"	"3"	"4"	"3"	"10"	"364"
"150"	"138"	""	"15"	"262"	"132"	"3"	"3"	"0"	"2"	"2"	"1"	"27"	"4"	"9"	"460"
"151"	"139"	""	"9"	"211"	"249"	"11"	"5"	"1"	"3"	"3"	"5"	"10"	"9"	"16"	"532"
"152"	"140"	""	"7"	"625"	"129"	"33"	"2"	"2"	"1"	"2"	"5"	"5"	"3"	"11"	"825"
"153"	"141"	""	"4"	"118"	"141"	"26"	"0"	"3"	"1"	"4"	"9"	"8"	"6"	"24"	"344"
"154"	"141"	"A"	"5"	"155"	"87"	"19"	"1"	"1"	"3"	"1"	"4"	"4"	"3"	"13"	"296"
"155"	"142"	""	"4"	"92"	"95"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"7"	"202"
"156"	"143"	""	"12"	"131"	"275"	"11"	"7"	"3"	"2"	"2"	"8"	"12"	"11"	"21"	"495"
"157"	"144"	""	"8"	"104"	"196"	"2"	"0"	"1"	"0"	"1"	"4"	"19"	"5"	"13"	"353"
"158"	"145"	""	"5"	"165"	"214"	"12"	"7"	"3"	"2"	"1"	"10"	"12"	"7"	"23"	"461"
"159"	"146"	""	"8"	"355"	"157"	"7"	"0"	"1"	"1"	"2"	"4"	"5"	"6"	"13"	"559"
"160"	"147"	""	"19"	"109"	"431"	"10"	"5"	"2"	"7"	"5"	"10"	"17"	"10"	"18"	"643"
"161"	"148"	""	"67"	"95"	"131"	"12"	"5"	"4"	"5"	"3"	"7"	"17"	"15"	"42"	"403"
"162"	"148"	"A"	"16"	"194"	"97"	"9"	"1"	"1"	"1"	"2"	"4"	"7"	"11"	"37"	"380"
"163"	"149"	""	"14"	"138"	"537"	"19"	"3"	"2"	"2"	"4"	"6"	"14"	"14"	"29"	"782"
"164"	"150"	""	"139"	"256"	"129"	"5"	"6"	"2"	"4"	"4"	"4"	"8"	"9"	"26"	"592"
"165"	"151"	""	"27"	"176"	"233"	"9"	"3"	"2"	"9"	"4"	"12"	"26"	"13"	"75"	"589"
"166"	"152"	""	"20"	"278"	"246"	"14"	"3"	"3"	"3"	"1"	"4"	"37"	"13"	"9"	"631"
"167"	"153"	""	"57"	"154"	"237"	"15"	"2"	"3"	"6"	"2"	"8"	"18"	"11"	"35"	"548"
"168"	"154"	""	"20"	"190"	"292"	"17"	"8"	"5"	"1"	"2"	"11"	"38"	"13"	"39"	"636"
"169"	"155"	""	"18"	"317"	"130"	"27"	"4"	"4"	"8"	"7"	"2"	"17"	"10"	"68"	"612"
"170"	"156"	""	"7"	"206"	"195"	"17"	"2"	"1"	"1"	"2"	"5"	"10"	"11"	"67"	"524"
"171"	"157"	""	"9"	"116"	"178"	"7"	"5"	"3"	"3"	"2"	"6"	"9"	"1"	"13"	"352"
"172"	"158"	""	"14"	"183"	"142"	"5"	"5"	"1"	"8"	"6"	"8"	"32"	"12"	"34"	"450"
"173"	"159"	""	"14"	"175"	"228"	"32"	"7"	"5"	"5"	"4"	"10"	"60"	"15"	"52"	"607"
"174"	"160"	""	"11"	"106"	"197"	"31"	"12"	"4"	"7"	"5"	"7"	"17"	"9"	"38"	"444"
"175"	"161"	""	"25"	"215"	"142"	"8"	"4"	"2"	"2"	"3"	"12"	"31"	"18"	"40"	"502"
"176"	"162"	""	"8"	"52"	"184"	"11"	"5"	"5"	"5"	"3"	"7"	"67"	"6"	"179"	"532"
"177"	"163"	""	"10"	"173"	"96"	"10"	"2"	"2"	"3"	"2"	"0"	"20"	"4"	"20"	"342"
"178"	"164"	""	"15"	"129"	"260"	"8"	"3"	"0"	"3"	"2"	"7"	"13"	"12"	"28"	"480"
"179"	"165"	""	"15"	"108"	"198"	"8"	"3"	"3"	"7"	"5"	"4"	"26"	"6"	"8"	"391"
"180"	"166"	""	"23"	"165"	"291"	"21"	"17"	"4"	"8"	"13"	"14"	"93"	"15"	"45"	"709"
"181"	"167"	""	"24"	"173"	"267"	"25"	"5"	"5"	"12"	"7"	"2"	"29"	"6"	"54"	"609"
"182"	"168"	""	"14"	"162"	"453"	"18"	"7"	"3"	"4"	"4"	"5"	"10"	"5"	"18"	"703"
"183"	"169"	""	"6"	"69"	"354"	"8"	"3"	"2"	"0"	"2"	"2"	"16"	"10"	"33"	"505"
"184"	"170"	""	"9"	"281"	"179"	"26"	"2"	"2"	"3"	"5"	"10"	"13"	"13"	"30"	"573"
"185"	"171"	""	"19"	"243"	"352"	"8"	"7"	"2"	"3"	"4"	"13"	"16"	"8"	"29"	"704"
"186"	"172"	""	"17"	"109"	"85"	"5"	"4"	"5"	"10"	"8"	"11"	"64"	"15"	"162"	"495"
"187"	"173"	""	"25"	"167"	"170"	"10"	"4"	"6"	"4"	"9"	"5"	"56"	"9"	"112"	"577"
"188"	"174"	""	"7"	"248"	"65"	"2"	"1"	"2"	"3"	"3"	"2"	"48"	"6"	"14"	"401"
"189"	"175"	""	"17"	"342"	"110"	"5"	"4"	"5"	"8"	"3"	"7"	"107"	"18"	"50"	"676"
"190"	"176"	""	"17"	"186"	"65"	"6"	"3"	"0"	"3"	"0"	"10"	"54"	"6"	"117"	"467"
"191"	"177"	""	"28"	"147"	"125"	"5"	"4"	"8"	"62"	"4"	"8"	"40"	"18"	"57"	"506"
"192"	"178"	""	"20"	"185"	"271"	"14"	"11"	"3"	"9"	"8"	"4"	"40"	"9"	"160"	"734"
"193"	"179"	""	"12"	"74"	"182"	"9"	"7"	"1"	"4"	"11"	"4"	"183"	"3"	"148"	"638"
"194"	"180"	""	"11"	"151"	"223"	"7"	"4"	"3"	"2"	"3"	"6"	"24"	"8"	"42"	"484"
"195"	"181"	""	"5"	"111"	"219"	"14"	"14"	"5"	"1"	"3"	"7"	"15"	"2"	"23"	"419"
"196"	"182"	""	"10"	"125"	"104"	"8"	"3"	"2"	"1"	"3"	"7"	"15"	"10"	"158"	"446"
"197"	"183"	""	"33"	"161"	"169"	"12"	"2"	"1"	"7"	"4"	"5"	"21"	"6"	"34"	"455"
"198"	"184"	""	"21"	"122"	"172"	"11"	"2"	"2"	"2"	"3"	"5"	"37"	"8"	"26"	"411"
"199"	"185"	""	"7"	"137"	"162"	"5"	"1"	"0"	"0"	"5"	"3"	"15"	"4"	"37"	"376"
"200"	"186"	""	"5"	"126"	"156"	"6"	"1"	"3"	"5"	"2"	"4"	"4"	"7"	"127"	"446"
"201"	"187"	""	"9"	"87"	"159"	"16"	"4"	"5"	"22"	"4"	"7"	"75"	"7"	"125"	"520"
"202"	"188"	""	"10"	"70"	"266"	"9"	"2"	"10"	"6"	"2"	"6"	"42"	"6"	"80"	"509"
"203"	"189"	""	"10"	"170"	"43"	"5"	"0"	"1"	"5"	"1"	"3"	"22"	"12"	"117"	"389"
"204"	"190"	""	"13"	"154"	"135"	"5"	"2"	"2"	"9"	"3"	"11"	"11"	"4"	"18"	"367"
"205"	"191"	""	"12"	"139"	"87"	"12"	"2"	"2"	"4"	"3"	"5"	"16"	"9"	"70"	"361"
"206"	"192"	""	"13"	"172"	"278"	"23"	"5"	"5"	"2"	"2"	"15"	"12"	"7"	"28"	"562"
"207"	"193"	""	"13"	"104"	"162"	"7"	"3"	"3"	"7"	"1"	"3"	"29"	"3"	"114"	"449"
"208"	"194"	""	"92"	"151"	"125"	"13"	"5"	"4"	"5"	"4"	"8"	"42"	"4"	"46"	"499"
"209"	"195"	""	"7"	"68"	"151"	"5"	"1"	"2"	"2"	"2"	"5"	"7"	"6"	"51"	"307"
"210"	"195"	"A"	"6"	"50"	"180"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"5"	"16"	"264"
"211"	"196"	""	"24"	"99"	"197"	"7"	"4"	"3"	"4"	"0"	"12"	"9"	"7"	"50"	"416"
"212"	"197"	""	"7"	"47"	"169"	"15"	"5"	"2"	"1"	"1"	"6"	"17"	"2"	"52"	"324"
"213"	"198"	""	"12"	"160"	"279"	"7"	"1"	"4"	"3"	"2"	"1"	"9"	"2"	"44"	"524"
"214"	"199"	""	"13"	"140"	"284"	"17"	"3"	"6"	"7"	"5"	"22"	"9"	"8"	"76"	"590"
"215"	"200"	""	"3"	"22"	"262"	"7"	"4"	"1"	"2"	"1"	"7"	"3"	"2"	"113"	"427"
"216"	"201"	""	"5"	"257"	"182"	"15"	"2"	"3"	"12"	"1"	"6"	"5"	"11"	"28"	"527"
"217"	"202"	""	"11"	"69"	"148"	"3"	"4"	"6"	"6"	"4"	"6"	"101"	"6"	"23"	"387"
"218"	"202"	"A"	"11"	"162"	"134"	"7"	"1"	"2"	"1"	"0"	"2"	"24"	"6"	"21"	"371"
"219"	"203"	""	"21"	"160"	"101"	"5"	"5"	"1"	"0"	"2"	"2"	"36"	"5"	"19"	"357"
