"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"4"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"66"	"56"	"52"	"252"	"23"	"12"	"97"	"80"	"85"	"8"	"14"	"100"	"7"	"13"	"691"	"0"	"691"	"0"
"67"	"57"	"53"	"124"	"10"	"3"	"45"	"223"	"14"	"6"	"7"	"31"	"10"	"22"	"495"	"0"	"495"	"0"
"68"	"58"	"54"	"616"	"12"	"4"	"9"	"23"	"60"	"7"	"4"	"3"	"6"	"40"	"784"	"0"	"784"	"0"
"69"	"59"	"55"	"125"	"15"	"12"	"50"	"70"	"246"	"10"	"6"	"16"	"5"	"19"	"574"	"0"	"574"	"0"
"70"	"60"	"56"	"170"	"17"	"9"	"55"	"82"	"50"	"11"	"22"	"165"	"16"	"14"	"611"	"0"	"611"	"0"
"71"	"61"	"57"	"204"	"12"	"7"	"34"	"118"	"42"	"7"	"6"	"65"	"9"	"30"	"534"	"0"	"534"	"0"
"72"	"62"	"58"	"221"	"8"	"40"	"1"	"43"	"32"	"3"	"5"	"8"	"1"	"9"	"371"	"0"	"371"	"0"
"73"	"Page 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"78"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"79"	"63"	"59"	"236"	"10"	"11"	"33"	"88"	"178"	"9"	"7"	"7"	"3"	"16"	"598"	"0"	"598"	"0"
"80"	"64"	"60"	"167"	"14"	"4"	"195"	"90"	"140"	"6"	"2"	"32"	"7"	"22"	"679"	"0"	"679"	"0"
"81"	"65"	"61"	"126"	"7"	"27"	"127"	"50"	"61"	"3"	"10"	"2"	"1"	"17"	"431"	"0"	"431"	"0"
"82"	"66"	"62"	"120"	"10"	"11"	"94"	"31"	"76"	"3"	"5"	"10"	"2"	"8"	"370"	"0"	"370"	"0"
"83"	"67"	"63"	"129"	"7"	"5"	"102"	"80"	"45"	"4"	"9"	"10"	"5"	"26"	"422"	"0"	"422"	"0"
"84"	"68"	"64"	"164"	"8"	"9"	"117"	"25"	"16"	"7"	"7"	"155"	"3"	"13"	"524"	"0"	"524"	"0"
"85"	"69"	"65"	"300"	"17"	"13"	"196"	"37"	"28"	"6"	"9"	"43"	"15"	"42"	"706"	"0"	"706"	"0"
"86"	"70"	"66"	"135"	"15"	"6"	"109"	"11"	"4"	"4"	"11"	"36"	"6"	"26"	"363"	"0"	"363"	"0"
"87"	"71"	"67"	"225"	"13"	"9"	"58"	"56"	"27"	"3"	"16"	"36"	"10"	"26"	"479"	"0"	"479"	"0"
"88"	"72"	"68"	"125"	"7"	"7"	"86"	"134"	"138"	"8"	"8"	"22"	"4"	"8"	"547"	"0"	"547"	"0"
"89"	"73"	"69"	"110"	"12"	"7"	"26"	"89"	"414"	"12"	"10"	"8"	"5"	"15"	"708"	"0"	"708"	"0"
"90"	"74"	"70"	"114"	"8"	"7"	"191"	"233"	"16"	"4"	"11"	"57"	"7"	"23"	"671"	"0"	"671"	"0"
"91"	"75"	"71"	"153"	"11"	"9"	"86"	"128"	"11"	"5"	"9"	"53"	"4"	"24"	"493"	"0"	"493"	"0"
"92"	"76"	"72"	"50"	"8"	"14"	"78"	"128"	"21"	"2"	"9"	"84"	"2"	"19"	"415"	"0"	"415"	"0"
"93"	"77"	"73"	"47"	"6"	"24"	"64"	"155"	"37"	"2"	"10"	"48"	"7"	"11"	"411"	"0"	"411"	"0"
"94"	"78"	"74"	"100"	"5"	"16"	"58"	"198"	"52"	"6"	"7"	"13"	"2"	"12"	"469"	"0"	"469"	"0"
"95"	"79"	"75"	"110"	"8"	"11"	"22"	"118"	"26"	"3"	"2"	"38"	"2"	"14"	"354"	"0"	"354"	"0"
"96"	"80"	"76"	"20"	"1"	"6"	"23"	"198"	"14"	"5"	"10"	"7"	"6"	"6"	"296"	"0"	"296"	"0"
"97"	"81"	"77"	"291"	"19"	"25"	"8"	"113"	"99"	"11"	"15"	"10"	"8"	"51"	"650"	"0"	"650"	"0"
"98"	"82"	"78"	"236"	"8"	"30"	"4"	"55"	"32"	"1"	"5"	"13"	"3"	"8"	"395"	"0"	"395"	"0"
"99"	"83"	"79"	"183"	"21"	"5"	"10"	"113"	"169"	"8"	"13"	"3"	"10"	"30"	"565"	"0"	"565"	"0"
"100"	"84"	"80"	"198"	"12"	"27"	"28"	"110"	"77"	"5"	"8"	"10"	"4"	"10"	"489"	"0"	"489"	"0"
"101"	"85"	"81"	"115"	"12"	"10"	"30"	"320"	"27"	"5"	"8"	"14"	"2"	"26"	"569"	"0"	"569"	"0"
"102"	"86"	"82"	"249"	"12"	"9"	"13"	"139"	"50"	"6"	"18"	"6"	"4"	"23"	"529"	"0"	"529"	"0"
"103"	"87"	"83"	"191"	"14"	"32"	"14"	"161"	"11"	"5"	"2"	"3"	"0"	"17"	"450"	"0"	"450"	"0"
"104"	"88"	"84"	"297"	"9"	"15"	"24"	"198"	"32"	"2"	"15"	"21"	"4"	"4"	"621"	"0"	"621"	"0"
"105"	"89"	"85"	"162"	"9"	"2"	"22"	"245"	"9"	"5"	"10"	"32"	"5"	"32"	"533"	"0"	"533"	"0"
"106"	"90"	"86"	"120"	"3"	"6"	"10"	"148"	"10"	"3"	"2"	"22"	"4"	"8"	"336"	"0"	"336"	"0"
"107"	"91"	"87"	"208"	"11"	"23"	"24"	"282"	"21"	"6"	"4"	"17"	"6"	"15"	"617"	"0"	"617"	"0"
"108"	"92"	"88"	"108"	"19"	"3"	"72"	"256"	"24"	"8"	"15"	"22"	"4"	"13"	"544"	"0"	"544"	"0"
"109"	"93"	"89"	"256"	"12"	"26"	"36"	"84"	"39"	"7"	"25"	"5"	"4"	"29"	"523"	"0"	"523"	"0"
"110"	"Page 3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"115"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"116"	"94"	"90"	"64"	"4"	"2"	"94"	"204"	"14"	"5"	"11"	"53"	"5"	"8"	"464"	"0"	"464"	"0"
"117"	"95"	"91"	"90"	"15"	"29"	"92"	"178"	"11"	"7"	"10"	"24"	"1"	"21"	"478"	"0"	"478"	"0"
"118"	"96"	"92"	"47"	"0"	"1"	"26"	"366"	"6"	"5"	"3"	"6"	"5"	"16"	"481"	"0"	"481"	"0"
"119"	"97"	"93"	"191"	"6"	"21"	"89"	"39"	"23"	"5"	"8"	"5"	"3"	"38"	"428"	"0"	"428"	"0"
"120"	"98"	"94"	"31"	"5"	"5"	"33"	"254"	"9"	"5"	"26"	"38"	"6"	"18"	"430"	"0"	"430"	"0"
"121"	"99"	"95"	"30"	"4"	"9"	"73"	"179"	"9"	"13"	"26"	"35"	"7"	"30"	"415"	"0"	"415"	"0"
"122"	"100"	"96"	"45"	"2"	"173"	"39"	"3"	"40"	"4"	"13"	"21"	"14"	"13"	"367"	"0"	"367"	"0"
"123"	"101"	"97"	"94"	"11"	"56"	"13"	"165"	"31"	"2"	"11"	"14"	"3"	"21"	"421"	"0"	"421"	"0"
"124"	"102"	"98"	"137"	"9"	"93"	"3"	"48"	"56"	"1"	"3"	"7"	"5"	"8"	"370"	"0"	"370"	"0"
"125"	"103"	"99"	"156"	"4"	"50"	"6"	"23"	"17"	"3"	"1"	"45"	"7"	"7"	"319"	"0"	"319"	"0"
"126"	"104"	"100"	"118"	"7"	"131"	"39"	"6"	"29"	"2"	"2"	"12"	"4"	"10"	"360"	"0"	"360"	"0"
"127"	"105"	"101"	"101"	"5"	"146"	"11"	"17"	"52"	"0"	"2"	"8"	"2"	"12"	"356"	"0"	"356"	"0"
"128"	"106"	"102"	"96"	"14"	"9"	"13"	"192"	"4"	"9"	"11"	"46"	"8"	"27"	"429"	"0"	"429"	"0"
"129"	"107"	"103"	"96"	"4"	"24"	"4"	"8"	"90"	"2"	"1"	"5"	"2"	"12"	"248"	"0"	"248"	"0"
"130"	"108"	"104"	"115"	"5"	"41"	"39"	"37"	"14"	"6"	"13"	"280"	"15"	"15"	"580"	"0"	"580"	"0"
"131"	"109"	"105"	"112"	"4"	"2"	"9"	"60"	"6"	"3"	"9"	"200"	"6"	"7"	"418"	"0"	"418"	"0"
"132"	"110"	"106"	"63"	"4"	"4"	"10"	"69"	"12"	"2"	"23"	"175"	"3"	"4"	"369"	"0"	"369"	"0"
"133"	"111"	"107"	"23"	"5"	"7"	"7"	"69"	"15"	"5"	"8"	"281"	"10"	"11"	"441"	"0"	"441"	"0"
"134"	"112"	"108"	"4"	"0"	"2"	"6"	"36"	"2"	"0"	"11"	"525"	"11"	"4"	"601"	"0"	"601"	"0"
"135"	"113"	"109"	"30"	"4"	"2"	"7"	"77"	"3"	"5"	"6"	"489"	"6"	"2"	"631"	"0"	"631"	"0"
"136"	"114"	"110"	"35"	"8"	"8"	"34"	"19"	"5"	"15"	"17"	"304"	"12"	"15"	"472"	"0"	"472"	"0"
"137"	"115"	"111"	"125"	"8"	"4"	"24"	"214"	"5"	"5"	"3"	"116"	"1"	"12"	"517"	"0"	"517"	"0"
"138"	"116"	"112"	"135"	"7"	"4"	"76"	"36"	"2"	"4"	"28"	"47"	"2"	"11"	"352"	"0"	"352"	"0"
"139"	"117"	"113"	"44"	"13"	"10"	"94"	"36"	"28"	"8"	"15"	"172"	"12"	"23"	"455"	"0"	"455"	"0"
"140"	"118"	"113 A"	"112"	"4"	"3"	"66"	"26"	"3"	"5"	"8"	"40"	"1"	"20"	"288"	"0"	"288"	"0"
"141"	"119"	"114"	"182"	"6"	"3"	"106"	"6"	"5"	"1"	"3"	"6"	"1"	"12"	"331"	"0"	"331"	"0"
"142"	"120"	"114  A"	"193"	"12"	"1"	"112"	"10"	"1"	"1"	"7"	"16"	"4"	"18"	"375"	"0"	"375"	"0"
"143"	"121"	"115"	"24"	"1"	"19"	"7"	"220"	"6"	"5"	"0"	"49"	"2"	"3"	"336"	"0"	"336"	"0"
"144"	"122"	"116"	"166"	"27"	"198"	"38"	"15"	"27"	"6"	"21"	"6"	"5"	"12"	"521"	"0"	"521"	"0"
"145"	"123"	"117"	"256"	"21"	"3"	"57"	"0"	"10"	"2"	"12"	"14"	"8"	"52"	"435"	"0"	"435"	"0"
"146"	"124"	"118"	"166"	"12"	"79"	"55"	"11"	"6"	"3"	"11"	"9"	"4"	"23"	"379"	"0"	"379"	"0"
"147"	"Page 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY  FROM THE 029---Runnisaidpur CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Assembly Constituency :029---Runnisaidpur"	""	""	""	""	""	""	""	""	"No of Voters : 216175"	""	""	""	""	""	""	""
"152"	"SLNO"	"BOOTH_N O"	"Guddi Devi"	"Devendra Pd. Yadav"	"Nawal
Kishore Shahi"	"Moni Gupta"	"Ram Shatrughan Rai"	"Sushma Narayan"	"Sone Lal Sah"	"Ira Devi"	"Mangeeta Devi"	"Mandakani Kumari"	"Mohammad
Salahuddin Ansari"	"Total
Valid"	"No. of
Rejecte"	"Total"	"No. of
Tendered"
"153"	"125"	"119"	"172"	"5"	"19"	"32"	"204"	"9"	"12"	"3"	"164"	"6"	"7"	"633"	"0"	"633"	"0"
"154"	"126"	"120"	"192"	"11"	"6"	"51"	"89"	"6"	"4"	"8"	"101"	"1"	"28"	"497"	"0"	"497"	"0"
"155"	"127"	"121"	"49"	"5"	"4"	"8"	"142"	"11"	"4"	"0"	"15"	"3"	"7"	"248"	"0"	"248"	"0"
"156"	"128"	"122"	"305"	"5"	"11"	"7"	"24"	"3"	"0"	"0"	"12"	"0"	"2"	"369"	"0"	"369"	"0"
"157"	"129"	"123"	"89"	"10"	"47"	"44"	"9"	"9"	"3"	"45"	"53"	"3"	"15"	"327"	"0"	"327"	"0"
"158"	"130"	"124"	"169"	"13"	"6"	"53"	"89"	"8"	"6"	"9"	"8"	"3"	"18"	"382"	"0"	"382"	"0"
"159"	"131"	"125"	"17"	"2"	"1"	"6"	"135"	"3"	"2"	"1"	"52"	"1"	"1"	"221"	"0"	"221"	"0"
"160"	"132"	"126"	"18"	"6"	"3"	"28"	"182"	"4"	"3"	"10"	"24"	"2"	"13"	"293"	"0"	"293"	"0"
"161"	"133"	"127"	"318"	"9"	"6"	"10"	"26"	"35"	"1"	"6"	"14"	"6"	"11"	"442"	"0"	"442"	"0"
"162"	"134"	"128"	"276"	"13"	"14"	"66"	"77"	"9"	"12"	"77"	"43"	"3"	"21"	"611"	"0"	"611"	"0"
"163"	"135"	"129"	"204"	"17"	"10"	"12"	"40"	"14"	"4"	"49"	"32"	"8"	"17"	"407"	"0"	"407"	"0"
"164"	"136"	"130"	"81"	"9"	"3"	"9"	"402"	"10"	"11"	"5"	"65"	"4"	"10"	"609"	"0"	"609"	"0"
"165"	"137"	"131"	"74"	"2"	"3"	"8"	"192"	"25"	"5"	"8"	"31"	"1"	"14"	"363"	"0"	"363"	"0"
"166"	"138"	"132"	"34"	"7"	"6"	"7"	"319"	"46"	"5"	"4"	"46"	"4"	"11"	"489"	"0"	"489"	"0"
"167"	"139"	"133"	"112"	"11"	"6"	"53"	"16"	"21"	"4"	"10"	"180"	"13"	"35"	"461"	"0"	"461"	"0"
"168"	"140"	"134"	"53"	"3"	"6"	"3"	"23"	"13"	"8"	"6"	"180"	"22"	"66"	"383"	"0"	"383"	"0"
"169"	"141"	"135"	"92"	"6"	"5"	"3"	"150"	"14"	"11"	"7"	"189"	"8"	"21"	"506"	"0"	"506"	"0"
"170"	"142"	"136"	"44"	"5"	"1"	"7"	"122"	"17"	"3"	"3"	"52"	"1"	"6"	"261"	"0"	"261"	"0"
"171"	"143"	"137"	"403"	"23"	"5"	"29"	"21"	"82"	"8"	"30"	"68"	"10"	"16"	"695"	"0"	"695"	"0"
"172"	"144"	"138"	"256"	"12"	"7"	"21"	"51"	"6"	"5"	"9"	"117"	"5"	"11"	"500"	"0"	"500"	"0"
"173"	"145"	"139"	"156"	"7"	"2"	"42"	"53"	"88"	"2"	"9"	"33"	"2"	"41"	"435"	"0"	"435"	"0"
"174"	"146"	"140"	"116"	"4"	"1"	"18"	"37"	"121"	"13"	"6"	"17"	"8"	"24"	"365"	"0"	"365"	"0"
"175"	"147"	"141"	"235"	"10"	"6"	"213"	"12"	"10"	"8"	"18"	"63"	"8"	"31"	"614"	"0"	"614"	"0"
"176"	"148"	"142"	"248"	"17"	"12"	"345"	"45"	"13"	"4"	"24"	"52"	"2"	"12"	"774"	"0"	"774"	"0"
"177"	"149"	"143"	"139"	"12"	"1"	"50"	"19"	"6"	"3"	"7"	"31"	"5"	"15"	"288"	"0"	"288"	"0"
"178"	"150"	"143 A"	"111"	"4"	"2"	"57"	"79"	"8"	"5"	"4"	"18"	"3"	"7"	"298"	"0"	"298"	"0"
"179"	"151"	"144"	"71"	"6"	"1"	"46"	"104"	"37"	"5"	"10"	"76"	"3"	"10"	"369"	"0"	"369"	"0"
"180"	"152"	"145"	"21"	"6"	"2"	"181"	"11"	"7"	"10"	"8"	"76"	"5"	"18"	"345"	"0"	"345"	"0"
