"Candidates.Name"	"ABDUL.JALIL.MASTAN"	"DEV.NARAYAN.YADAV"	"BABAR.AZAM"	"SABA.ZAFAR"	"ASLAM"	"TUKSI.DEVI"	"MD..SAGIR"	"NIL.MANI.SINGH"	"Total.Valid.Votes"
"53"	"45"	"23"	"10"	"9"	"627"	"19"	"5"	"4"	"10"	"707"
"54"	"46"	"26"	"8"	"8"	"407"	"15"	"4"	"8"	"4"	"480"
"55"	"47"	"284"	"200"	"149"	"25"	"7"	"5"	"11"	"19"	"700"
"56"	"48"	"254"	"36"	"117"	"88"	"12"	"14"	"2"	"11"	"534"
"57"	"49"	"207"	"22"	"205"	"18"	"4"	"5"	"1"	"6"	"468"
"58"	"50"	"192"	"9"	"180"	"55"	"3"	"3"	"4"	"14"	"460"
"59"	"51"	"464"	"8"	"88"	"75"	"5"	"1"	"1"	"10"	"652"
"60"	"52"	"324"	"13"	"47"	"96"	"4"	"1"	"2"	"6"	"493"
"61"	"53"	"250"	"11"	"47"	"84"	"6"	"2"	"2"	"1"	"403"
"62"	"54"	"282"	"11"	"35"	"10"	"3"	"1"	"0"	"2"	"344"
"63"	"55"	"300"	"6"	"68"	"201"	"6"	"1"	"3"	"1"	"586"
"64"	"56"	"311"	"5"	"8"	"158"	"7"	"5"	"4"	"6"	"504"
"65"	"57"	"339"	"8"	"18"	"117"	"5"	"1"	"2"	"12"	"502"
"66"	"58"	"314"	"10"	"11"	"90"	"11"	"4"	"3"	"10"	"453"
"67"	"59"	"318"	"9"	"22"	"3"	"0"	"1"	"3"	"0"	"356"
"68"	"60"	"31"	"2"	"1"	"313"	"25"	"2"	"7"	"8"	"389"
"69"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"70"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"71"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"72"	"61"	"36"	"11"	"73"	"458"	"19"	"14"	"7"	"17"	"635"
"73"	"62"	"251"	"8"	"20"	"53"	"3"	"1"	"2"	"6"	"344"
"74"	"63"	"51"	"5"	"6"	"325"	"17"	"4"	"0"	"5"	"413"
"75"	"64"	"293"	"3"	"9"	"18"	"3"	"5"	"1"	"9"	"341"
"76"	"65"	"269"	"5"	"19"	"130"	"14"	"1"	"2"	"5"	"445"
"77"	"66"	"200"	"3"	"49"	"10"	"2"	"0"	"1"	"3"	"268"
"78"	"67"	"166"	"9"	"69"	"18"	"3"	"1"	"0"	"2"	"268"
"79"	"68"	"236"	"10"	"114"	"37"	"3"	"5"	"3"	"7"	"415"
"80"	"69"	"184"	"6"	"136"	"42"	"3"	"1"	"4"	"3"	"379"
"81"	"70"	"150"	"14"	"39"	"381"	"16"	"7"	"7"	"11"	"625"
"82"	"71"	"249"	"12"	"46"	"340"	"24"	"10"	"9"	"10"	"700"
"83"	"72"	"42"	"2"	"16"	"474"	"22"	"6"	"4"	"10"	"576"
"84"	"73"	"202"	"15"	"57"	"250"	"8"	"5"	"3"	"16"	"556"
"85"	"73A"	"67"	"3"	"20"	"46"	"1"	"0"	"0"	"3"	"140"
"86"	"74"	"8"	"7"	"20"	"548"	"15"	"4"	"2"	"6"	"610"
"87"	"75"	"6"	"4"	"9"	"500"	"11"	"1"	"3"	"2"	"536"
"88"	"76"	"7"	"3"	"2"	"424"	"4"	"1"	"1"	"5"	"447"
"89"	"76A"	"12"	"3"	"2"	"337"	"23"	"2"	"1"	"9"	"389"
"90"	"77"	"14"	"5"	"7"	"358"	"16"	"9"	"1"	"3"	"413"
"91"	"78"	"14"	"7"	"5"	"384"	"19"	"12"	"6"	"18"	"465"
"92"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"93"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"94"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"95"	"79"	"44"	"20"	"36"	"352"	"22"	"16"	"8"	"265"	"763"
"96"	"80"	"33"	"3"	"7"	"434"	"15"	"5"	"4"	"8"	"509"
"97"	"81"	"11"	"3"	"12"	"495"	"27"	"7"	"7"	"19"	"581"
"98"	"82"	"22"	"5"	"13"	"512"	"24"	"8"	"7"	"11"	"602"
"99"	"83"	"2"	"1"	"0"	"87"	"7"	"4"	"1"	"15"	"117"
"100"	"84"	"24"	"4"	"7"	"454"	"21"	"7"	"2"	"1"	"520"
"101"	"85"	"6"	"4"	"27"	"602"	"21"	"5"	"6"	"8"	"679"
"102"	"86"	"29"	"5"	"7"	"621"	"39"	"11"	"8"	"16"	"736"
"103"	"87"	"19"	"7"	"6"	"570"	"20"	"10"	"7"	"4"	"643"
"104"	"88"	"22"	"11"	"4"	"400"	"14"	"32"	"4"	"13"	"500"
"105"	"88A"	"8"	"15"	"8"	"321"	"20"	"17"	"4"	"18"	"411"
"106"	"89"	"6"	"2"	"6"	"745"	"13"	"6"	"2"	"6"	"786"
"107"	"90"	"15"	"4"	"7"	"600"	"12"	"5"	"2"	"6"	"651"
"108"	"91"	"26"	"7"	"7"	"546"	"15"	"7"	"6"	"14"	"628"
"109"	"92"	"10"	"3"	"6"	"313"	"16"	"11"	"5"	"4"	"368"
"110"	"93"	"27"	"5"	"8"	"682"	"25"	"9"	"7"	"17"	"780"
"111"	"94"	"2"	"0"	"3"	"280"	"9"	"3"	"0"	"5"	"302"
"112"	"95"	"18"	"7"	"7"	"668"	"16"	"13"	"7"	"7"	"743"
"113"	"96"	"11"	"2"	"5"	"410"	"16"	"1"	"1"	"1"	"447"
"114"	"96A"	"8"	"2"	"9"	"555"	"21"	"4"	"7"	"10"	"616"
"115"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"116"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"117"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"118"	"97"	"4"	"4"	"1"	"252"	"5"	"4"	"0"	"1"	"271"
"119"	"98"	"3"	"2"	"5"	"307"	"19"	"5"	"3"	"2"	"346"
"120"	"99"	"7"	"0"	"7"	"388"	"4"	"2"	"2"	"2"	"412"
"121"	"99A"	"9"	"1"	"4"	"631"	"24"	"8"	"3"	"15"	"695"
"122"	"100"	"9"	"4"	"2"	"513"	"9"	"0"	"2"	"9"	"548"
"123"	"100A"	"2"	"2"	"3"	"423"	"11"	"3"	"1"	"15"	"460"
"124"	"101"	"15"	"10"	"8"	"361"	"14"	"4"	"3"	"13"	"428"
"125"	"102"	"7"	"3"	"3"	"773"	"15"	"3"	"2"	"2"	"808"
"126"	"103"	"33"	"6"	"7"	"662"	"22"	"10"	"4"	"6"	"750"
"127"	"104"	"39"	"15"	"9"	"543"	"14"	"12"	"5"	"26"	"663"
"128"	"105"	"207"	"11"	"33"	"309"	"30"	"14"	"9"	"29"	"642"
"129"	"106"	"5"	"1"	"4"	"663"	"12"	"5"	"2"	"4"	"696"
"130"	"106A"	"5"	"1"	"0"	"222"	"10"	"3"	"1"	"5"	"247"
"131"	"107"	"19"	"6"	"31"	"359"	"27"	"1"	"3"	"66"	"512"
"132"	"108"	"9"	"2"	"11"	"324"	"17"	"7"	"5"	"19"	"394"
"133"	"109"	"31"	"7"	"5"	"316"	"28"	"11"	"11"	"368"	"777"
"134"	"110"	"54"	"3"	"18"	"66"	"1"	"13"	"12"	"330"	"497"
"135"	"111"	"12"	"7"	"2"	"227"	"6"	"0"	"0"	"35"	"289"
"136"	"112"	"71"	"5"	"5"	"123"	"12"	"4"	"4"	"26"	"250"
"137"	"113"	"63"	"7"	"10"	"375"	"31"	"16"	"17"	"268"	"787"
"138"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"139"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"140"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"141"	"114"	"196"	"9"	"116"	"31"	"8"	"5"	"9"	"222"	"596"
"142"	"115"	"321"	"5"	"111"	"21"	"0"	"1"	"3"	"7"	"469"
"143"	"116"	"450"	"13"	"34"	"26"	"2"	"5"	"5"	"18"	"553"
"144"	"117"	"354"	"11"	"87"	"38"	"6"	"4"	"0"	"11"	"511"
"145"	"118"	"119"	"3"	"167"	"61"	"4"	"5"	"1"	"16"	"376"
"146"	"119"	"144"	"2"	"231"	"54"	"6"	"2"	"6"	"68"	"513"
"147"	"120"	"171"	"12"	"217"	"36"	"8"	"3"	"7"	"33"	"487"
"148"	"121"	"186"	"16"	"28"	"201"	"11"	"6"	"8"	"64"	"520"
"149"	"122"	"186"	"9"	"192"	"133"	"11"	"8"	"12"	"84"	"635"
"150"	"123"	"258"	"11"	"149"	"138"	"9"	"6"	"9"	"19"	"599"
"151"	"123A"	"139"	"4"	"60"	"20"	"2"	"4"	"1"	"11"	"241"
"152"	"124"	"260"	"7"	"15"	"4"	"1"	"1"	"2"	"5"	"295"
"153"	"125"	"429"	"15"	"127"	"4"	"6"	"3"	"3"	"19"	"606"
"154"	"126"	"497"	"21"	"56"	"12"	"4"	"3"	"3"	"21"	"617"
"155"	"127"	"272"	"18"	"236"	"86"	"6"	"2"	"6"	"10"	"636"
"156"	"128"	"535"	"11"	"118"	"4"	"2"	"0"	"3"	"5"	"678"
"157"	"129"	"221"	"6"	"97"	"4"	"3"	"0"	"1"	"2"	"334"
"158"	"130"	"131"	"13"	"473"	"30"	"19"	"7"	"8"	"13"	"694"
"159"	"131"	"283"	"10"	"233"	"39"	"5"	"8"	"6"	"16"	"600"
"160"	"132"	"162"	"5"	"68"	"11"	"0"	"1"	"0"	"2"	"249"
"161"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"162"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"163"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"164"	"133"	"385"	"6"	"66"	"31"	"4"	"2"	"5"	"14"	"513"
"165"	"134"	"210"	"14"	"246"	"175"	"5"	"4"	"3"	"10"	"667"
"166"	"135"	"77"	"3"	"61"	"179"	"1"	"1"	"2"	"1"	"325"
"167"	"136"	"278"	"7"	"203"	"23"	"12"	"2"	"2"	"9"	"536"
"168"	"137"	"186"	"12"	"263"	"60"	"6"	"4"	"5"	"16"	"552"
"169"	"138"	"251"	"2"	"25"	"17"	"2"	"4"	"0"	"6"	"307"
"170"	"139"	"88"	"12"	"16"	"305"	"14"	"7"	"4"	"1"	"447"
"171"	"140"	"70"	"21"	"11"	"541"	"34"	"16"	"22"	"86"	"801"
"172"	"141"	"24"	"21"	"18"	"313"	"15"	"7"	"7"	"61"	"466"
"173"	"142"	"48"	"15"	"18"	"556"	"26"	"12"	"10"	"33"	"718"
"174"	"143"	"50"	"5"	"12"	"380"	"12"	"7"	"2"	"5"	"473"
"175"	"144"	"209"	"1"	"95"	"40"	"2"	"1"	"2"	"2"	"352"
"176"	"145"	"306"	"2"	"44"	"27"	"1"	"1"	"4"	"8"	"393"
"177"	"146"	"340"	"15"	"171"	"339"	"19"	"5"	"5"	"14"	"908"
"178"	"147"	"282"	"18"	"201"	"243"	"22"	"9"	"5"	"14"	"794"
"179"	"148"	"128"	"12"	"93"	"260"	"23"	"8"	"10"	"15"	"549"
"180"	"149"	"102"	"26"	"69"	"366"	"18"	"4"	"3"	"8"	"596"
"181"	"150"	"100"	"17"	"39"	"494"	"26"	"6"	"4"	"5"	"691"
"182"	"151"	"87"	"7"	"192"	"109"	"2"	"2"	"6"	"7"	"412"
"183"	"152"	"198"	"6"	"34"	"44"	"7"	"1"	"1"	"1"	"292"
"184"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"185"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"186"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"187"	"153"	"253"	"16"	"106"	"146"	"7"	"6"	"10"	"8"	"552"
"188"	"154"	"266"	"7"	"66"	"97"	"8"	"5"	"3"	"8"	"460"
"189"	"155"	"276"	"15"	"89"	"108"	"4"	"1"	"5"	"3"	"501"
"190"	"156"	"220"	"4"	"156"	"67"	"1"	"3"	"1"	"6"	"458"
"191"	"157"	"132"	"7"	"152"	"158"	"12"	"0"	"2"	"7"	"470"
"192"	"158"	"98"	"18"	"177"	"151"	"7"	"3"	"3"	"3"	"460"
"193"	"159"	"302"	"18"	"281"	"72"	"7"	"1"	"6"	"8"	"695"
"194"	"160"	"183"	"18"	"307"	"77"	"9"	"7"	"13"	"56"	"670"
"195"	"161"	"298"	"18"	"194"	"95"	"13"	"13"	"12"	"30"	"673"
"196"	"162"	"298"	"21"	"143"	"54"	"12"	"9"	"10"	"20"	"567"
"197"	"163"	"163"	"10"	"305"	"163"	"12"	"7"	"7"	"11"	"678"
"198"	"164"	"60"	"4"	"427"	"42"	"2"	"1"	"0"	"0"	"536"
"199"	"165"	"184"	"12"	"138"	"31"	"6"	"4"	"7"	"5"	"387"
"200"	"166"	"131"	"9"	"124"	"115"	"7"	"5"	"5"	"6"	"402"
"201"	"167"	"340"	"6"	"53"	"138"	"6"	"1"	"2"	"8"	"554"
"202"	"168"	"257"	"7"	"49"	"88"	"6"	"5"	"7"	"14"	"433"
"203"	"169"	"336"	"11"	"228"	"121"	"10"	"6"	"3"	"6"	"721"
"204"	"170"	"274"	"15"	"266"	"17"	"9"	"10"	"3"	"15"	"609"
"205"	"171"	"62"	"23"	"87"	"558"	"18"	"14"	"14"	"12"	"788"
"206"	"172"	"215"	"11"	"166"	"73"	"8"	"6"	"4"	"5"	"488"
"207"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"208"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"209"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"210"	"173"	"372"	"12"	"151"	"61"	"11"	"4"	"5"	"8"	"624"
"211"	"174"	"19"	"2"	"12"	"392"	"8"	"2"	"11"	"8"	"454"
"212"	"175"	"297"	"9"	"112"	"120"	"6"	"7"	"1"	"8"	"560"
"213"	"176"	"110"	"12"	"33"	"607"	"26"	"13"	"13"	"15"	"829"
"214"	"177"	"83"	"5"	"72"	"199"	"5"	"3"	"6"	"16"	"389"
"215"	"178"	"107"	"9"	"117"	"273"	"9"	"6"	"3"	"20"	"544"
"216"	"179"	"107"	"14"	"384"	"189"	"13"	"4"	"2"	"5"	"718"
"217"	"180"	"341"	"16"	"107"	"111"	"13"	"4"	"1"	"3"	"596"
"218"	"180A"	"250"	"5"	"39"	"100"	"1"	"0"	"1"	"2"	"398"
"219"	"181"	"324"	"19"	"109"	"117"	"10"	"13"	"10"	"15"	"617"
"220"	"182"	"325"	"21"	"169"	"108"	"11"	"7"	"10"	"7"	"658"
"221"	"183"	"182"	"5"	"12"	"142"	"4"	"4"	"1"	"2"	"352"
"222"	"184"	"140"	"5"	"8"	"95"	"8"	"1"	"1"	"4"	"262"
"223"	"185"	"369"	"11"	"153"	"26"	"2"	"1"	"3"	"16"	"581"
"224"	"186"	"285"	"12"	"218"	"145"	"19"	"5"	"10"	"13"	"707"
"225"	"187"	"375"	"6"	"91"	"27"	"1"	"2"	"2"	"2"	"506"
"226"	"188"	"119"	"15"	"317"	"63"	"12"	"5"	"5"	"7"	"543"
"227"	"189"	"263"	"11"	"277"	"143"	"14"	"6"	"3"	"2"	"719"
"228"	"190"	"23"	"6"	"506"	"9"	"6"	"4"	"4"	"2"	"560"
"229"	"191"	"43"	"11"	"331"	"53"	"14"	"10"	"12"	"13"	"487"
"230"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"231"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"232"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"233"	"192"	"106"	"22"	"88"	"412"	"15"	"5"	"8"	"15"	"671"
"234"	"193"	"60"	"1"	"15"	"352"	"4"	"5"	"1"	"7"	"445"
"235"	"194"	"104"	"6"	"101"	"103"	"9"	"2"	"1"	"19"	"345"
"236"	"195"	"150"	"5"	"143"	"171"	"23"	"4"	"8"	"4"	"508"
"237"	"196"	"122"	"4"	"148"	"73"	"4"	"4"	"5"	"11"	"371"
"238"	"197"	"326"	"10"	"138"	"103"	"11"	"4"	"9"	"17"	"618"
"239"	"198"	"331"	"28"	"105"	"12"	"6"	"5"	"5"	"12"	"504"
"240"	"199"	"184"	"26"	"86"	"56"	"8"	"6"	"4"	"9"	"379"
"241"	"200"	"324"	"17"	"129"	"44"	"7"	"6"	"2"	"9"	"538"
"242"	"201"	"170"	"6"	"8"	"76"	"3"	"2"	"0"	"1"	"266"
"243"	"202"	"189"	"5"	"38"	"186"	"20"	"8"	"7"	"17"	"470"
"244"	"202A"	"180"	"8"	"92"	"84"	"5"	"1"	"6"	"11"	"387"
"245"	"203"	"102"	"4"	"154"	"575"	"5"	"1"	"1"	"2"	"844"
"246"	"204"	"619"	"14"	"58"	"33"	"6"	"3"	"2"	"15"	"750"
"247"	"205"	"318"	"10"	"10"	"0"	"0"	"1"	"1"	"0"	"340"
"248"	"206"	"277"	"3"	"35"	"14"	"1"	"0"	"4"	"5"	"339"
"249"	"207"	"634"	"13"	"51"	"9"	"5"	"2"	"9"	"20"	"743"
"250"	"208"	"472"	"14"	"26"	"51"	"3"	"2"	"6"	"8"	"582"
"251"	"209"	"398"	"7"	"41"	"51"	"2"	"0"	"1"	"6"	"506"
"252"	"210"	"229"	"5"	"14"	"24"	"0"	"0"	"1"	"2"	"275"
"253"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"254"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"256"	"211"	"350"	"11"	"102"	"88"	"5"	"3"	"1"	"8"	"568"
"257"	"212"	"225"	"13"	"84"	"1"	"2"	"2"	"1"	"4"	"332"
"258"	"213"	"283"	"8"	"55"	"11"	"38"	"3"	"3"	"2"	"403"
"259"	"214"	"490"	"22"	"47"	"37"	"5"	"4"	"6"	"10"	"621"
"260"	"215"	"216"	"2"	"16"	"0"	"2"	"1"	"0"	"0"	"237"
"261"	"216"	"375"	"2"	"22"	"43"	"4"	"2"	"3"	"5"	"456"
"262"	"217"	"410"	"2"	"5"	"5"	"0"	"0"	"2"	"1"	"425"
"263"	"218"	"80"	"0"	"18"	"2"	"0"	"0"	"2"	"1"	"103"
"264"	"219"	"809"	"6"	"15"	"7"	"1"	"0"	"3"	"3"	"844"
"265"	"220"	"187"	"3"	"5"	"0"	"0"	"2"	"1"	"0"	"198"
"266"	"221"	"820"	"22"	"22"	"10"	"3"	"3"	"6"	"8"	"894"
"267"	"222"	"726"	"9"	"16"	"5"	"5"	"0"	"2"	"7"	"770"
"268"	"223"	"397"	"11"	"131"	"40"	"5"	"5"	"6"	"14"	"609"
"269"	"Total:"	"38918"	"2227"	"16310"	"57696"	"2746"	"1188"	"1041"	"4451"	"124577"
"270"	"Postal Ballot"	"28"	"0"	"13"	"78"	"0"	"0"	"0"	"1"	"120"
"271"	"Grand Total:"	"38946"	"2227"	"16323"	"57774"	"2746"	"1188"	"1041"	"4452"	"124697"
"272"	"Place:"	""	""	""	""	""	""	""	""	""
"273"	"Date: 27/11/2010"	""	""	""	""	""	""	""	""	""
"274"	"Candidates Name"	"ABDUL JALIL MASTAN"	"DEV NARAYAN YADAV"	"BABAR AZAM"	"SABA ZAFAR"	"ASLAM"	"TUKSI DEVI"	"MD. SAGIR"	"NIL MANI SINGH"	"Total Valid Votes"
"275"	"BOOTH NO"	""	""	""	""	""	""	""	""	""
"276"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"277"	"Assembly Constituency :056---Amour"	""	""	""	""	""	""	""	""	""
"278"	"ool Ver. 1.0 of National Informatics Centre,Bihar                                                                                                                                                       Page -1 of 1"	""	""	""	""	""	""	""	""	""
