"Total.No..of.Electors.in.Assembly.Constituency........191963"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"08- Bettiah Legislative Assembly Constituency (Round - 1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d Votes"	"Total"	"No.   of Tender ed Votes"	""
"16"	"10"	"11"	"137"	"5"	"1"	"83"	"16"	"0"	"0"	"1"	"0"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"6"	"279"	"0"	"279"	"0"	""
"17"	"11"	"2"	"85"	"3"	"1"	"136"	"37"	"1"	"1"	"0"	"1"	"46"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"318"	"0"	"318"	"0"	""
"18"	"12"	"1"	"106"	"6"	"13"	"332"	"16"	"0"	"2"	"2"	"1"	"31"	"1"	"2"	"2"	"1"	"5"	"1"	"9"	"531"	"0"	"531"	"0"	""
"19"	"13"	"2"	"81"	"11"	"38"	"242"	"14"	"0"	"0"	"1"	"2"	"86"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"481"	"0"	"481"	"0"	""
"20"	"14"	"2"	"34"	"1"	"0"	"262"	"15"	"1"	"1"	"0"	"0"	"56"	"1"	"1"	"2"	"2"	"3"	"0"	"3"	"384"	"0"	"384"	"0"	""
"21"	"Total"	"100"	"1195"	"78"	"91"	"3765"	"229"	"7"	"14"	"12"	"14"	"854"	"15"	"10"	"13"	"20"	"32"	"11"	"53"	"6513"	"0"	"6513"	"0"	""
"22"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"08- Bettiah Legislative Assembly Constituency (Round - 2)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"32"	"15"	"6"	"73"	"2"	"2"	"168"	"14"	"1"	"4"	"2"	"1"	"80"	"3"	"2"	"1"	"4"	"4"	"0"	"0"	"367"	"0"	"367"	"0"	""
"33"	"16"	"0"	"9"	"5"	"2"	"405"	"11"	"1"	"2"	"0"	"1"	"137"	"0"	"3"	"0"	"1"	"2"	"0"	"1"	"580"	"0"	"580"	"0"	""
"34"	"17"	"2"	"33"	"7"	"2"	"432"	"11"	"2"	"4"	"0"	"2"	"42"	"2"	"2"	"1"	"0"	"3"	"1"	"5"	"551"	"0"	"551"	"0"	""
"35"	"18"	"6"	"8"	"4"	"1"	"277"	"5"	"0"	"0"	"0"	"0"	"32"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"338"	"0"	"338"	"0"	""
"36"	"19"	"2"	"13"	"7"	"1"	"399"	"14"	"2"	"0"	"4"	"0"	"52"	"0"	"1"	"2"	"2"	"6"	"3"	"3"	"511"	"0"	"511"	"0"	""
"37"	"20"	"120"	"164"	"3"	"4"	"67"	"24"	"0"	"1"	"1"	"2"	"26"	"2"	"0"	"0"	"5"	"0"	"3"	"5"	"427"	"0"	"427"	"0"	""
"38"	"21"	"3"	"26"	"9"	"2"	"221"	"60"	"2"	"0"	"3"	"2"	"28"	"5"	"3"	"4"	"5"	"4"	"0"	"2"	"379"	"0"	"379"	"0"	""
"39"	"22"	"1"	"14"	"1"	"9"	"113"	"144"	"2"	"2"	"0"	"1"	"28"	"8"	"5"	"6"	"5"	"4"	"2"	"2"	"347"	"0"	"347"	"0"	""
"40"	"23"	"15"	"117"	"4"	"2"	"118"	"41"	"1"	"1"	"2"	"2"	"167"	"6"	"4"	"3"	"22"	"8"	"1"	"10"	"524"	"0"	"524"	"0"	""
"41"	"24"	"16"	"95"	"9"	"3"	"92"	"17"	"2"	"2"	"2"	"1"	"198"	"9"	"1"	"7"	"59"	"5"	"1"	"9"	"528"	"0"	"528"	"0"	""
"42"	"25"	"47"	"113"	"4"	"3"	"102"	"21"	"3"	"3"	"0"	"1"	"169"	"1"	"4"	"1"	"8"	"6"	"0"	"1"	"487"	"0"	"487"	"0"	""
"43"	"25 A"	"32"	"77"	"5"	"3"	"77"	"4"	"0"	"0"	"0"	"1"	"24"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"228"	"0"	"228"	"0"	""
"44"	"26"	"2"	"17"	"7"	"3"	"442"	"3"	"0"	"1"	"2"	"0"	"74"	"2"	"0"	"2"	"0"	"0"	"0"	"8"	"563"	"0"	"563"	"0"	""
"45"	"27"	"14"	"159"	"13"	"3"	"227"	"11"	"1"	"1"	"3"	"2"	"62"	"3"	"0"	"2"	"3"	"4"	"4"	"6"	"518"	"0"	"518"	"0"	""
"46"	"Total"	"266"	"918"	"80"	"40"	"3140"	"380"	"17"	"21"	"19"	"16"	"1119"	"41"	"26"	"31"	"115"	"47"	"15"	"57"	"6348"	"0"	"6348"	"0"	""
"47"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"08- Bettiah Legislative Assembly Constituency (Round - 3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"54"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"55"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"56"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"57"	"28"	"18"	"97"	"10"	"3"	"348"	"26"	"2"	"4"	"5"	"1"	"85"	"2"	"4"	"5"	"5"	"7"	"4"	"5"	"631"	"0"	"631"	"0"	""
"58"	"29"	"4"	"4"	"16"	"3"	"310"	"164"	"1"	"2"	"1"	"4"	"50"	"11"	"4"	"9"	"6"	"1"	"3"	"0"	"593"	"0"	"593"	"0"	""
"59"	"30"	"7"	"41"	"17"	"13"	"459"	"20"	"5"	"1"	"2"	"1"	"44"	"0"	"2"	"1"	"3"	"1"	"2"	"6"	"625"	"0"	"625"	"0"	""
"60"	"31"	"5"	"35"	"2"	"1"	"363"	"23"	"0"	"1"	"3"	"4"	"96"	"2"	"3"	"2"	"3"	"1"	"0"	"11"	"555"	"0"	"555"	"0"	""
"61"	"32"	"12"	"104"	"16"	"1"	"148"	"38"	"0"	"2"	"0"	"5"	"85"	"5"	"4"	"4"	"5"	"3"	"6"	"15"	"453"	"0"	"453"	"0"	""
"62"	"33"	"11"	"213"	"16"	"5"	"117"	"35"	"3"	"3"	"1"	"2"	"101"	"4"	"5"	"3"	"3"	"11"	"2"	"1"	"536"	"0"	"536"	"0"	""
"63"	"34"	"15"	"115"	"8"	"2"	"313"	"16"	"3"	"0"	"1"	"1"	"77"	"2"	"1"	"4"	"5"	"2"	"0"	"10"	"575"	"0"	"575"	"0"	""
"64"	"35"	"31"	"132"	"2"	"0"	"118"	"8"	"0"	"1"	"0"	"2"	"154"	"1"	"0"	"10"	"4"	"0"	"0"	"11"	"474"	"0"	"474"	"0"	""
"65"	"36"	"2"	"10"	"5"	"2"	"571"	"23"	"1"	"1"	"0"	"3"	"79"	"1"	"0"	"6"	"1"	"0"	"2"	"16"	"723"	"0"	"723"	"0"	""
"66"	"37"	"16"	"15"	"1"	"1"	"204"	"11"	"1"	"0"	"0"	"0"	"56"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"309"	"0"	"309"	"0"	""
"67"	"38"	"196"	"56"	"8"	"4"	"109"	"13"	"1"	"1"	"2"	"0"	"37"	"5"	"1"	"3"	"1"	"3"	"14"	"6"	"460"	"0"	"460"	"0"	""
"68"	"39"	"13"	"277"	"10"	"2"	"213"	"99"	"1"	"2"	"0"	"3"	"88"	"1"	"2"	"2"	"4"	"1"	"0"	"5"	"723"	"0"	"723"	"0"	""
"69"	"40"	"2"	"57"	"2"	"2"	"429"	"53"	"1"	"0"	"8"	"1"	"72"	"3"	"0"	"1"	"3"	"0"	"0"	"1"	"635"	"0"	"635"	"0"	""
"70"	"41"	"0"	"63"	"4"	"2"	"374"	"18"	"0"	"1"	"4"	"0"	"51"	"2"	"1"	"6"	"1"	"1"	"0"	"2"	"530"	"0"	"530"	"0"	""
"71"	"Total"	"332"	"1219"	"117"	"41"	"4076"	"547"	"19"	"19"	"27"	"27"	"1075"	"39"	"27"	"59"	"44"	"31"	"34"	"89"	"7822"	"0"	"7822"	"0"	""
"72"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"08- Bettiah Legislative Assembly Constituency (Round - 4)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"80"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"81"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"82"	"42"	"1"	"48"	"10"	"1"	"447"	"20"	"0"	"2"	"1"	"1"	"98"	"5"	"3"	"5"	"2"	"1"	"0"	"1"	"646"	"0"	"646"	"0"	""
"83"	"43"	"3"	"150"	"5"	"2"	"108"	"6"	"0"	"0"	"0"	"1"	"30"	"1"	"0"	"0"	"0"	"0"	"6"	"7"	"319"	"0"	"319"	"0"	""
"84"	"44"	"6"	"149"	"2"	"6"	"381"	"38"	"3"	"2"	"1"	"1"	"60"	"0"	"0"	"4"	"2"	"4"	"0"	"3"	"662"	"0"	"662"	"0"	""
"85"	"45"	"3"	"21"	"3"	"2"	"231"	"5"	"0"	"1"	"0"	"0"	"51"	"2"	"0"	"3"	"0"	"0"	"0"	"1"	"323"	"0"	"323"	"0"	""
"86"	"46"	"2"	"67"	"0"	"9"	"91"	"45"	"0"	"0"	"0"	"0"	"61"	"2"	"0"	"5"	"1"	"2"	"1"	"3"	"289"	"0"	"289"	"0"	""
"87"	"47"	"0"	"33"	"2"	"1"	"175"	"9"	"0"	"0"	"1"	"0"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"257"	"0"	"257"	"0"	""
"88"	"48"	"15"	"103"	"3"	"2"	"81"	"43"	"0"	"0"	"0"	"1"	"27"	"6"	"3"	"6"	"0"	"1"	"3"	"140"	"434"	"0"	"434"	"0"	""
"89"	"49"	"1"	"87"	"2"	"0"	"224"	"9"	"2"	"2"	"1"	"1"	"99"	"1"	"2"	"0"	"2"	"6"	"1"	"10"	"450"	"0"	"450"	"0"	""
"90"	"50"	"0"	"34"	"4"	"2"	"185"	"13"	"0"	"0"	"0"	"2"	"187"	"0"	"1"	"2"	"1"	"4"	"0"	"0"	"435"	"0"	"435"	"0"	""
"91"	"51"	"0"	"111"	"14"	"10"	"330"	"21"	"1"	"2"	"0"	"2"	"157"	"4"	"2"	"3"	"3"	"2"	"1"	"12"	"675"	"0"	"675"	"0"	""
"92"	"52"	"2"	"49"	"5"	"3"	"396"	"17"	"1"	"1"	"1"	"0"	"60"	"4"	"1"	"1"	"2"	"5"	"1"	"2"	"551"	"0"	"551"	"0"	""
"93"	"53"	"12"	"94"	"4"	"5"	"185"	"81"	"1"	"0"	"0"	"1"	"50"	"2"	"3"	"4"	"2"	"0"	"0"	"1"	"445"	"0"	"445"	"0"	""
"94"	"54"	"8"	"55"	"2"	"4"	"192"	"62"	"0"	"0"	"0"	"1"	"60"	"1"	"2"	"10"	"1"	"3"	"1"	"10"	"412"	"0"	"412"	"0"	""
"95"	"55"	"0"	"23"	"1"	"0"	"137"	"6"	"1"	"2"	"0"	"0"	"64"	"0"	"1"	"0"	"0"	"1"	"0"	"6"	"242"	"0"	"242"	"0"	""
"96"	"Total"	"53"	"1024"	"57"	"47"	"3163"	"375"	"9"	"12"	"5"	"11"	"1031"	"29"	"18"	"43"	"16"	"29"	"14"	"204"	"6140"	"0"	"6140"	"0"	""
"97"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"98"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"99"	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"101"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"102"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"08- Bettiah Legislative Assembly Constituency (Round - 5)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"104"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"105"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"106"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"107"	"56"	"7"	"27"	"2"	"2"	"134"	"33"	"0"	"2"	"1"	"3"	"70"	"9"	"3"	"11"	"2"	"44"	"1"	"11"	"362"	"0"	"362"	"0"	""
"108"	"57"	"5"	"108"	"8"	"2"	"245"	"28"	"1"	"1"	"2"	"2"	"110"	"3"	"3"	"5"	"5"	"2"	"3"	"8"	"541"	"0"	"541"	"0"	""
"109"	"58"	"2"	"9"	"2"	"1"	"129"	"40"	"6"	"3"	"2"	"2"	"365"	"6"	"0"	"1"	"4"	"6"	"2"	"1"	"581"	"0"	"581"	"0"	""
"110"	"59"	"139"	"135"	"10"	"4"	"88"	"33"	"0"	"1"	"0"	"1"	"86"	"4"	"2"	"4"	"3"	"5"	"4"	"8"	"527"	"0"	"527"	"0"	""
"111"	"60"	"45"	"107"	"12"	"3"	"244"	"46"	"1"	"0"	"1"	"3"	"120"	"8"	"7"	"2"	"3"	"8"	"2"	"6"	"618"	"0"	"618"	"0"	""
"112"	"61"	"10"	"102"	"19"	"1"	"174"	"13"	"4"	"0"	"1"	"1"	"66"	"2"	"0"	"2"	"2"	"1"	"2"	"11"	"411"	"0"	"411"	"0"	""
"113"	"62"	"4"	"23"	"33"	"0"	"351"	"14"	"1"	"3"	"1"	"0"	"51"	"2"	"0"	"0"	"3"	"7"	"1"	"12"	"506"	"0"	"506"	"0"	""
"114"	"63"	"8"	"36"	"18"	"2"	"515"	"70"	"5"	"4"	"2"	"0"	"34"	"7"	"2"	"1"	"4"	"7"	"0"	"4"	"719"	"0"	"719"	"0"	""
"115"	"64"	"3"	"117"	"16"	"3"	"268"	"25"	"2"	"3"	"0"	"2"	"45"	"2"	"3"	"12"	"4"	"8"	"4"	"1"	"518"	"0"	"518"	"0"	""
"116"	"65"	"2"	"74"	"19"	"7"	"254"	"142"	"1"	"3"	"4"	"4"	"39"	"12"	"3"	"6"	"8"	"8"	"0"	"9"	"595"	"0"	"595"	"0"	""
"117"	"66"	"24"	"51"	"4"	"117"	"257"	"47"	"2"	"2"	"1"	"4"	"101"	"4"	"0"	"0"	"1"	"3"	"4"	"6"	"628"	"0"	"628"	"0"	""
"118"	"67"	"15"	"64"	"3"	"4"	"266"	"83"	"0"	"2"	"1"	"0"	"60"	"19"	"2"	"1"	"2"	"1"	"1"	"6"	"530"	"0"	"530"	"0"	""
"119"	"68"	"1"	"25"	"0"	"24"	"164"	"22"	"0"	"0"	"2"	"1"	"76"	"1"	"2"	"1"	"1"	"7"	"3"	"0"	"330"	"0"	"330"	"0"	""
"120"	"69"	"1"	"55"	"8"	"9"	"101"	"26"	"1"	"0"	"0"	"3"	"48"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"261"	"0"	"261"	"0"	""
"121"	"Total"	"266"	"933"	"154"	"179"	"3190"	"622"	"24"	"24"	"18"	"26"	"1271"	"82"	"28"	"48"	"43"	"109"	"27"	"83"	"7127"	"0"	"7127"	"0"	""
"122"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"08- Bettiah Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"Total No. of Electors in Assembly Constituency -      191963"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"08- Bettiah Legislative Assembly Constituency (Round - 6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Polling Station No."	"PARWEZ ALAM"	"MADAN MOHAN TIWARI"	"RANJIT GIRI"	"RAJESH KUMAR"	"RENU DEVI"	"VIRVAL YADAV"	"CHANDRIK A SAHNI"	"PRAMOD SAH"	"SHYAM CHANDRA GUPT"	"SURENDR A RAM"	"ANIL KUMAR JHA"	"MD ALAMGIR AFTAB"	"ISHTAKHA R HUSEN"	"JAWAHAR GUPTA"	"MAHFUZ ALAM"	"RAMASHA NKAR PRASAD KUSHAWA
HA"	"VINDESH WARI SAH"	"SHAMBHU PRASAD GUPTA"	"Total No.     of actual Votes"	"Total No.   of rejecte d
Votes"	"Total"	"No.   of Tender ed Votes"	""
"131"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	""
"132"	"70"	"0"	"20"	"5"	"9"	"398"	"44"	"2"	"2"	"0"	"2"	"42"	"3"	"2"	"0"	"3"	"11"	"1"	"3"	"547"	"0"	"547"	"0"	""
