"Polling.Station.No."	"Ramavatar.Mandal"	"Sanjay.Kumar.Singh"	"Subodh.Rai"	"Suresh.Mohan.Jha"	"Haidar.Ali"	"Omdatta.Choudhary"	"Ganesh.Paswan"	"Chandan.Sharma"	"Matiur.Rahman"	"Rahul"	"Virendra.Kr..Ravi"	"Shivnandan.Sharma"	"Ashok.Yadav"	"Gautam.Yadav"	"Zafar.Alam"	"Pragya.Kumar"	"Pranaw.Roy"	"Md.Maqsud.Alam"	"Rajesh.Kumar"	"Ram.Rekha.Singh"	"Rijwan"	"Binod.Singh"	"Dr..Birendra.Singh"	"Sanjay.Panday"	"Total.....No..of......actual.Votes"	"Total.....No..of...rejected.Votes"	"Total"	"No..........of.Tendered.Votes"
"104"	"90"	104	7	21	7	4	114	2	0	1	1	5	3	3	7	11	3	25	86	6	7	4	60	6	20	507	0	507	NA
"105"	"91"	678	18	19	2	3	4	1	0	1	2	0	5	2	4	0	6	56	35	14	3	1	8	9	15	886	0	886	NA
"106"	"92"	42	4	43	53	1	19	14	2	3	3	3	2	0	2	6	1	2	2	2	1	0	7	2	6	220	0	220	NA
"107"	"93"	22	6	63	110	6	42	48	0	2	3	3	1	2	1	5	1	9	2	4	3	2	20	0	9	364	0	364	NA
"108"	"94"	51	6	54	2	8	31	1	3	0	2	0	1	0	2	6	4	1	63	4	0	1	7	1	1	249	0	249	NA
"109"	"95"	53	4	53	8	5	21	3	0	0	0	1	1	3	4	10	6	8	75	7	1	7	6	2	9	287	0	287	NA
"110"	"96"	277	65	25	14	5	12	6	5	4	1	5	1	1	4	3	9	34	28	11	6	4	14	3	13	550	0	550	NA
"111"	"97"	175	3	120	8	0	18	10	2	4	2	1	2	2	15	7	15	3	1	0	0	1	1	1	2	393	0	393	NA
"112"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"113"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"114"	"98"	56	11	126	17	5	42	5	2	6	3	0	3	7	12	13	15	10	5	4	4	5	8	2	7	368	0	368	NA
"115"	"98-A"	41	44	168	34	4	28	6	3	1	2	2	4	1	6	10	6	23	2	8	0	1	4	2	4	404	0	404	NA
"116"	"99"	40	6	62	126	11	49	234	6	5	10	10	4	2	1	1	6	1	2	2	1	4	7	2	2	594	0	594	NA
"117"	"100"	345	8	10	13	0	1	3	0	0	0	1	1	0	0	0	1	7	2	0	0	1	0	1	3	397	0	397	NA
"118"	"101"	347	17	90	4	3	15	59	2	8	0	3	1	1	1	5	2	11	9	7	2	4	9	3	13	616	0	616	NA
"119"	"102"	124	10	101	22	5	2	55	2	1	3	5	0	1	3	5	9	30	5	3	2	2	15	6	30	441	0	441	NA
"120"	"103"	12	4	62	33	5	15	37	0	3	2	13	2	1	3	1	4	270	0	1	0	5	3	0	2	478	0	478	NA
"121"	"104"	268	11	119	5	1	23	1	4	3	1	0	1	1	4	6	4	30	19	6	6	3	15	8	9	548	0	548	NA
"122"	"105"	182	4	25	6	1	9	6	1	3	4	2	2	0	3	4	5	29	32	9	9	4	25	3	2	370	0	370	NA
"123"	"106"	66	11	225	5	7	27	1	2	5	1	1	1	1	3	2	1	1	9	2	2	5	56	0	4	438	0	438	NA
"124"	"107"	20	7	42	1	2	28	2	4	6	3	1	2	2	0	0	4	5	1	1	1	2	109	1	4	248	0	248	NA
"125"	"108"	60	3	182	5	4	22	4	0	2	1	2	3	5	5	7	10	9	15	8	2	5	148	4	7	513	0	513	NA
"126"	"109"	11	0	127	6	2	31	3	3	2	1	0	4	2	4	3	7	8	3	0	5	3	245	9	6	485	0	485	NA
"127"	"110"	38	3	18	4	2	22	1	3	3	1	3	3	1	3	2	10	5	4	1	0	1	31	1	4	164	0	164	NA
"128"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"129"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"130"	"111"	90	5	310	13	4	47	11	5	2	4	5	5	3	10	3	3	4	3	12	4	4	84	7	5	643	0	643	NA
"131"	"112"	9	8	169	44	9	50	7	3	1	1	3	4	0	3	1	7	1	0	1	3	3	61	2	13	403	0	403	NA
"132"	"113"	28	2	117	11	3	36	82	4	0	4	6	3	0	2	1	4	0	0	2	0	2	142	3	5	457	0	457	NA
"133"	"114"	136	3	207	8	0	8	2	3	2	5	1	0	1	10	5	4	9	1	10	4	1	22	8	5	455	0	455	NA
"134"	"115"	18	4	292	9	0	24	0	1	1	0	0	1	3	7	5	2	1	1	2	1	1	13	2	4	392	0	392	NA
"135"	"116"	67	15	293	8	6	24	4	6	7	1	1	2	1	7	11	5	7	4	11	4	3	58	36	3	584	0	584	NA
"136"	"117"	134	7	156	21	6	44	4	7	4	3	1	5	12	45	5	8	4	2	6	2	2	43	9	6	536	0	536	NA
"137"	"118"	59	2	150	10	1	5	1	0	0	0	1	2	1	5	6	1	2	2	1	1	0	7	73	3	333	0	333	NA
"138"	"119"	33	3	60	5	6	43	2	4	6	1	2	2	4	7	3	1	1	3	0	1	2	133	6	3	331	0	331	NA
"139"	"120"	59	2	218	16	2	10	15	1	5	2	3	4	5	56	4	11	19	5	13	1	2	12	3	3	471	0	471	NA
"140"	"121"	169	8	117	10	8	19	7	2	1	2	2	1	0	50	1	2	10	20	12	4	1	20	4	11	481	0	481	NA
"141"	"122"	4	1	63	101	4	6	9	2	2	0	1	0	0	12	1	1	0	0	0	1	3	8	0	1	220	0	220	NA
"142"	"123"	97	8	63	12	9	35	177	3	1	5	11	7	3	5	3	11	7	9	10	1	1	19	5	6	508	0	508	NA
"143"	"124"	78	7	70	28	4	51	116	8	4	2	7	5	2	6	1	4	8	11	9	3	5	29	2	16	476	0	476	NA
"144"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"145"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"146"	"125"	90	9	63	52	1	28	1	8	4	3	5	6	3	101	5	6	7	17	24	3	4	24	8	11	483	0	483	NA
"147"	"126"	11	0	45	160	1	8	3	0	1	0	0	0	2	52	0	0	2	2	2	0	1	2	1	5	298	0	298	NA
"148"	"127"	55	7	229	41	4	43	93	2	5	3	5	3	1	9	4	6	6	1	2	1	0	3	0	2	525	0	525	NA
"149"	"128"	79	6	41	41	0	11	13	0	2	0	1	0	1	2	3	2	50	24	22	5	13	39	16	36	407	0	407	NA
"150"	"129"	185	8	108	46	4	15	22	3	5	3	3	4	4	38	3	15	20	18	12	1	2	11	7	11	548	0	548	NA
"151"	"130"	94	1	68	14	3	12	4	0	0	0	0	0	0	3	5	5	4	2	2	0	1	8	0	40	266	0	266	NA
"152"	"131"	35	7	50	47	6	38	5	0	6	1	3	1	0	4	0	5	1	0	0	2	2	149	6	5	373	0	373	NA
"153"	"132"	47	43	71	1	1	12	2	0	2	2	1	0	2	4	7	9	6	3	5	1	1	45	4	7	276	0	276	NA
"154"	"133"	39	1	172	2	1	16	0	1	0	0	0	2	2	5	1	1	5	4	7	5	3	32	8	30	337	0	337	NA
"155"	"134"	145	7	77	28	4	38	39	3	4	0	2	4	2	24	5	11	6	3	7	0	2	44	1	2	458	0	458	NA
"156"	"135"	290	7	74	2	4	24	3	4	2	1	1	4	1	4	1	8	4	1	0	1	0	1	1	2	440	0	440	NA
"157"	"136"	170	8	70	8	8	25	2	4	5	0	0	0	2	22	2	1	10	16	5	6	10	20	5	7	406	0	406	NA
"158"	"137"	256	8	210	12	3	23	10	4	9	6	2	9	8	32	9	26	14	28	11	4	4	28	7	13	736	0	736	NA
"159"	"138"	102	3	65	27	3	29	9	0	2	0	1	1	0	14	2	1	3	2	2	1	0	5	1	1	274	0	274	NA
"160"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"161"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"162"	"139"	45	26	49	63	1	12	86	1	3	1	3	3	1	5	1	2	4	4	1	3	4	14	3	6	341	0	341	NA
"163"	"140"	145	18	115	10	5	30	11	3	5	3	4	2	8	6	19	27	14	4	11	1	1	11	3	4	460	0	460	NA
"164"	"141"	8	7	167	30	1	60	7	6	15	0	4	2	3	4	1	6	3	2	6	7	3	22	2	5	371	0	371	NA
"165"	"142"	7	1	92	59	2	20	3	1	2	0	1	0	1	2	2	1	1	4	0	2	6	8	5	2	222	0	222	NA
"166"	"143"	135	2	232	28	1	38	9	3	6	2	1	1	0	0	1	2	0	1	0	1	2	37	2	3	507	0	507	NA
"167"	"144"	34	5	316	13	14	45	7	5	7	6	2	3	3	9	11	6	0	2	3	3	1	38	5	2	540	0	540	NA
"168"	"145"	61	3	213	2	5	24	6	2	4	1	4	1	2	4	3	1	3	5	10	2	1	28	4	5	394	0	394	NA
"169"	"146"	114	11	299	9	13	40	8	5	6	4	2	3	5	10	10	9	5	3	3	4	11	36	7	14	631	0	631	NA
"170"	"147"	98	6	237	14	11	50	8	14	10	1	3	7	4	2	7	5	4	9	5	5	3	47	2	10	562	0	562	NA
"171"	"148"	128	7	146	23	3	53	7	3	12	5	2	7	3	4	6	4	3	0	3	0	1	54	4	4	482	0	482	NA
"172"	"149"	59	11	161	2	2	20	2	2	0	1	2	0	0	2	3	4	1	2	0	0	1	88	1	3	367	0	367	NA
"173"	"150"	351	19	112	21	5	43	10	12	35	4	7	8	7	14	11	20	10	4	2	1	2	11	3	6	718	0	718	NA
"174"	"151"	68	3	137	18	9	32	9	2	10	2	1	5	6	4	4	5	0	3	5	0	0	31	3	2	359	0	359	NA
"175"	"152"	67	34	84	15	2	22	1	1	10	0	0	1	2	2	1	3	0	1	1	1	0	11	1	1	261	0	261	NA
"176"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"178"	"153"	70	6	128	26	14	60	11	9	37	1	1	3	2	3	2	3	6	1	3	1	1	45	2	7	442	0	442	NA
"179"	"154"	23	0	165	9	3	13	1	0	5	0	0	2	0	1	0	1	0	2	5	1	0	31	2	0	264	0	264	NA
"180"	"155"	88	27	341	7	1	23	0	4	11	1	1	2	6	6	5	4	16	9	16	8	5	155	11	28	775	0	775	NA
"181"	"156"	34	1	235	17	8	21	4	3	2	0	3	4	14	7	0	5	5	1	4	2	3	60	2	5	440	0	440	NA
"182"	"157"	24	6	190	58	4	23	8	9	49	0	1	4	6	3	1	5	2	2	1	1	2	22	2	3	426	0	426	NA
"183"	"158"	258	23	29	18	5	4	1	2	2	2	2	3	45	10	6	16	22	5	4	2	1	1	3	7	471	0	471	NA
"184"	"159"	30	10	43	28	7	11	2	1	16	0	3	0	8	6	1	0	1	28	2	1	2	20	1	0	221	0	221	NA
"185"	"160"	38	6	107	28	6	35	46	1	4	0	1	2	16	6	4	0	1	3	3	2	7	10	6	1	333	0	333	NA
"186"	"161"	157	13	287	19	15	48	5	4	17	3	3	13	12	28	10	12	18	10	20	5	12	30	2	10	753	0	753	NA
"187"	"162"	23	7	330	12	22	55	5	3	10	7	2	14	10	20	6	9	6	6	13	2	7	26	2	6	603	0	603	NA
"188"	"163"	38	2	281	8	8	17	9	4	3	1	0	3	4	6	9	1	2	1	6	1	1	1	1	1	408	0	408	NA
"189"	"164"	91	68	164	12	36	44	5	4	15	2	5	11	9	13	12	12	10	4	3	2	5	11	6	18	562	0	562	NA
"190"	"165"	200	16	57	7	65	7	5	2	6	2	7	2	10	13	11	12	16	31	6	4	4	12	16	4	515	0	515	NA
"191"	"166"	41	4	99	2	196	15	3	5	6	1	4	1	2	7	11	5	17	90	13	11	18	27	11	4	593	0	593	NA
"192"	"Polling Station No."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"193"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
"194"	"167"	259	12	111	31	7	13	1	0	8	2	2	1	5	8	3	10	22	14	9	1	2	7	5	4	537	0	537	NA
"195"	"168"	36	49	207	20	5	47	2	4	3	0	0	2	6	7	3	2	9	8	6	3	7	30	6	3	465	0	465	NA
"196"	"169"	107	86	152	53	5	27	4	4	9	0	0	3	3	2	6	14	25	12	11	8	4	15	4	10	564	0	564	NA
"197"	"170"	159	79	58	56	12	86	8	6	2	5	3	6	3	7	2	10	17	22	8	8	1	27	8	7	600	0	600	NA
"198"	"171"	158	94	102	81	21	24	4	4	3	0	2	3	3	4	6	9	14	25	4	4	10	27	7	26	635	0	635	NA
