"Serial.No..of.Polling.Station"	"X."	"No..of.Valid.votes.cast.in.favour.of"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"Total.No..of.Valid.Votes"	"Total.No..of.Rejected.Votes"	"Total"	"No..of.Tendered.votes"
"38"	"35"	"35"	"35"	"186"	"95"	"10"	"5"	"2"	"1"	"3"	"1"	"2"	"8"	"37"	"1"	"2"	"7"	"3"	"398"	"0"	"398"	"0"
"39"	"36"	"36"	"52"	"214"	"145"	"26"	"17"	"5"	"10"	"4"	"1"	"2"	"7"	"33"	"3"	"3"	"14"	"6"	"542"	"0"	"542"	"0"
"40"	"37"	"37"	"62"	"349"	"176"	"21"	"23"	"6"	"4"	"2"	"2"	"6"	"6"	"10"	"14"	"18"	"29"	"19"	"747"	"0"	"747"	"0"
"41"	"38"	"38"	"16"	"204"	"164"	"2"	"54"	"1"	"3"	"0"	"1"	"1"	"2"	"1"	"0"	"3"	"7"	"8"	"467"	"0"	"467"	"0"
"42"	"39"	"39"	"4"	"55"	"216"	"2"	"5"	"0"	"3"	"4"	"6"	"0"	"0"	"14"	"5"	"15"	"9"	"6"	"344"	"0"	"344"	"0"
"43"	"40"	"40"	"22"	"52"	"342"	"12"	"5"	"4"	"3"	"0"	"2"	"1"	"6"	"4"	"5"	"27"	"5"	"9"	"499"	"0"	"499"	"0"
"44"	"41"	"41"	"10"	"20"	"443"	"7"	"3"	"3"	"49"	"1"	"0"	"4"	"1"	"1"	"3"	"19"	"6"	"9"	"579"	"0"	"579"	"0"
"45"	"42"	"42"	"37"	"255"	"116"	"4"	"8"	"4"	"3"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"7"	"2"	"440"	"0"	"440"	"0"
"46"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"47"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"48"	"43"	"43"	"27"	"302"	"147"	"7"	"64"	"7"	"1"	"2"	"7"	"2"	"2"	"0"	"3"	"9"	"25"	"10"	"615"	"0"	"615"	"0"
"49"	"44"	"44"	"30"	"322"	"124"	"8"	"7"	"5"	"23"	"2"	"27"	"8"	"5"	"6"	"11"	"11"	"20"	"15"	"624"	"0"	"624"	"0"
"50"	"45"	"45"	"10"	"365"	"127"	"6"	"0"	"23"	"3"	"1"	"1"	"0"	"3"	"0"	"4"	"9"	"21"	"11"	"584"	"0"	"584"	"0"
"51"	"46"	"46"	"20"	"146"	"300"	"10"	"22"	"0"	"12"	"6"	"5"	"8"	"7"	"7"	"6"	"40"	"28"	"18"	"635"	"0"	"635"	"0"
"52"	"47"	"47"	"4"	"182"	"235"	"3"	"8"	"8"	"0"	"0"	"0"	"2"	"1"	"4"	"1"	"5"	"12"	"6"	"471"	"0"	"471"	"0"
"53"	"48"	"48"	"18"	"190"	"115"	"7"	"20"	"1"	"2"	"1"	"1"	"4"	"1"	"1"	"3"	"8"	"10"	"4"	"386"	"0"	"386"	"0"
"54"	"49"	"49"	"7"	"49"	"176"	"0"	"17"	"2"	"3"	"7"	"0"	"0"	"0"	"0"	"4"	"3"	"5"	"2"	"275"	"0"	"275"	"0"
"55"	"50"	"50"	"3"	"175"	"66"	"4"	"62"	"9"	"5"	"2"	"5"	"4"	"3"	"6"	"6"	"9"	"27"	"15"	"401"	"0"	"401"	"0"
"56"	"51"	"51"	"3"	"41"	"187"	"6"	"24"	"1"	"0"	"2"	"2"	"1"	"2"	"6"	"6"	"19"	"12"	"9"	"321"	"0"	"321"	"0"
"57"	"52"	"52"	"3"	"155"	"124"	"9"	"30"	"2"	"2"	"3"	"3"	"0"	"3"	"20"	"7"	"18"	"21"	"10"	"410"	"0"	"410"	"0"
"58"	"53"	"53"	"13"	"142"	"158"	"10"	"45"	"1"	"3"	"1"	"5"	"1"	"5"	"11"	"6"	"8"	"10"	"6"	"425"	"0"	"425"	"0"
"59"	"54"	"54"	"19"	"221"	"434"	"3"	"38"	"5"	"2"	"0"	"4"	"7"	"2"	"8"	"5"	"15"	"15"	"18"	"796"	"0"	"796"	"0"
"60"	"55"	"55"	"53"	"89"	"460"	"8"	"4"	"3"	"5"	"2"	"0"	"1"	"0"	"2"	"5"	"13"	"11"	"8"	"664"	"0"	"664"	"0"
"61"	"56"	"56"	"13"	"74"	"310"	"2"	"6"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"19"	"7"	"11"	"450"	"0"	"450"	"0"
"62"	"57"	"57"	"56"	"312"	"242"	"7"	"7"	"1"	"7"	"3"	"0"	"0"	"0"	"3"	"4"	"7"	"18"	"10"	"677"	"0"	"677"	"0"
"63"	"58"	"58"	"39"	"62"	"77"	"5"	"5"	"7"	"141"	"3"	"1"	"4"	"1"	"3"	"0"	"6"	"5"	"12"	"371"	"0"	"371"	"0"
"64"	"59"	"59"	"12"	"70"	"96"	"2"	"0"	"0"	"71"	"4"	"0"	"3"	"1"	"2"	"5"	"8"	"10"	"5"	"289"	"0"	"289"	"0"
"65"	"60"	"60"	"128"	"41"	"157"	"4"	"23"	"1"	"3"	"1"	"1"	"2"	"2"	"3"	"0"	"7"	"4"	"2"	"379"	"0"	"379"	"0"
"66"	"61"	"61"	"235"	"144"	"89"	"1"	"2"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"4"	"493"	"0"	"493"	"0"
"67"	"62"	"62"	"56"	"260"	"219"	"3"	"4"	"2"	"6"	"4"	"0"	"4"	"2"	"3"	"8"	"16"	"32"	"36"	"655"	"0"	"655"	"0"
"68"	"63"	"63"	"6"	"175"	"229"	"25"	"3"	"4"	"2"	"0"	"3"	"4"	"6"	"6"	"10"	"23"	"21"	"13"	"530"	"0"	"530"	"0"
"69"	"64"	"64"	"5"	"56"	"523"	"13"	"2"	"3"	"4"	"2"	"2"	"2"	"0"	"3"	"5"	"34"	"8"	"6"	"668"	"0"	"668"	"0"
"70"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"71"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"72"	"65"	"65"	"2"	"47"	"105"	"3"	"5"	"1"	"4"	"0"	"0"	"2"	"2"	"1"	"1"	"4"	"8"	"2"	"187"	"0"	"187"	"0"
"73"	"66"	"66"	"7"	"114"	"227"	"11"	"5"	"4"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"9"	"10"	"3"	"402"	"0"	"402"	"0"
"74"	"67"	"67"	"9"	"135"	"90"	"1"	"35"	"2"	"0"	"5"	"0"	"1"	"2"	"5"	"6"	"17"	"7"	"12"	"327"	"0"	"327"	"0"
"75"	"68"	"68"	"52"	"92"	"280"	"14"	"8"	"4"	"70"	"7"	"3"	"3"	"4"	"3"	"8"	"17"	"19"	"15"	"599"	"0"	"599"	"0"
"76"	"69"	"69"	"0"	"195"	"5"	"1"	"4"	"0"	"33"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"240"	"0"	"240"	"0"
"77"	"70"	"70"	"9"	"135"	"315"	"9"	"31"	"0"	"2"	"2"	"3"	"1"	"1"	"3"	"3"	"28"	"17"	"3"	"562"	"0"	"562"	"0"
"78"	"71"	"71"	"65"	"40"	"261"	"24"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"0"	"1"	"6"	"7"	"5"	"419"	"0"	"419"	"0"
"79"	"72"	"72"	"234"	"33"	"107"	"7"	"3"	"1"	"2"	"36"	"3"	"2"	"3"	"4"	"4"	"18"	"14"	"12"	"483"	"0"	"483"	"0"
"80"	"73"	"73"	"97"	"29"	"70"	"2"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"7"	"2"	"9"	"223"	"0"	"223"	"0"
"81"	"74"	"74"	"16"	"233"	"110"	"2"	"46"	"2"	"5"	"22"	"1"	"1"	"2"	"1"	"3"	"5"	"9"	"3"	"461"	"0"	"461"	"0"
"82"	"75"	"75"	"71"	"157"	"212"	"5"	"1"	"1"	"8"	"34"	"1"	"1"	"4"	"1"	"0"	"9"	"7"	"4"	"516"	"0"	"516"	"0"
"83"	"76"	"76"	"43"	"137"	"148"	"5"	"2"	"5"	"23"	"4"	"1"	"1"	"1"	"0"	"1"	"4"	"8"	"5"	"388"	"0"	"388"	"0"
"84"	"77"	"77"	"48"	"166"	"104"	"5"	"24"	"2"	"3"	"5"	"1"	"1"	"2"	"3"	"2"	"9"	"18"	"9"	"402"	"0"	"402"	"0"
"85"	"78"	"78"	"80"	"99"	"175"	"5"	"21"	"1"	"12"	"19"	"2"	"0"	"6"	"6"	"11"	"22"	"21"	"19"	"499"	"0"	"499"	"0"
"86"	"79"	"79"	"10"	"223"	"41"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"6"	"3"	"303"	"0"	"303"	"0"
"87"	"80"	"80"	"16"	"223"	"130"	"8"	"63"	"1"	"49"	"3"	"0"	"0"	"1"	"2"	"0"	"6"	"12"	"5"	"519"	"0"	"519"	"0"
"88"	"81"	"81"	"44"	"344"	"213"	"6"	"10"	"3"	"2"	"1"	"2"	"1"	"3"	"1"	"6"	"12"	"17"	"6"	"671"	"0"	"671"	"0"
"89"	"82"	"82"	"6"	"67"	"72"	"7"	"19"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"4"	"4"	"8"	"5"	"197"	"0"	"197"	"0"
"90"	"83"	"83"	"7"	"362"	"113"	"6"	"11"	"1"	"4"	"5"	"5"	"2"	"3"	"6"	"5"	"9"	"34"	"11"	"584"	"0"	"584"	"0"
"91"	"84"	"84"	"20"	"251"	"268"	"25"	"23"	"12"	"9"	"0"	"4"	"6"	"2"	"0"	"8"	"13"	"29"	"23"	"693"	"0"	"693"	"0"
"92"	"85"	"85"	"17"	"493"	"116"	"9"	"14"	"11"	"8"	"6"	"2"	"11"	"2"	"10"	"18"	"9"	"49"	"11"	"786"	"0"	"786"	"0"
"93"	"86"	"86"	"15"	"239"	"166"	"57"	"76"	"3"	"40"	"14"	"7"	"2"	"9"	"2"	"10"	"12"	"18"	"17"	"687"	"0"	"687"	"0"
"94"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"95"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"96"	"87"	"87"	"54"	"275"	"60"	"15"	"59"	"2"	"4"	"7"	"3"	"0"	"4"	"3"	"6"	"8"	"15"	"9"	"524"	"0"	"524"	"0"
"97"	"88"	"88"	"22"	"299"	"73"	"5"	"9"	"5"	"8"	"34"	"3"	"4"	"4"	"12"	"13"	"10"	"27"	"24"	"552"	"0"	"552"	"0"
"98"	"89"	"89"	"17"	"255"	"41"	"4"	"26"	"10"	"27"	"3"	"1"	"7"	"3"	"4"	"8"	"9"	"21"	"12"	"448"	"0"	"448"	"0"
"99"	"90"	"90"	"7"	"207"	"45"	"1"	"11"	"5"	"105"	"3"	"1"	"3"	"2"	"1"	"5"	"6"	"9"	"0"	"411"	"0"	"411"	"0"
"100"	"91"	"91"	"12"	"245"	"109"	"7"	"3"	"3"	"2"	"4"	"3"	"0"	"2"	"1"	"4"	"10"	"18"	"10"	"433"	"0"	"433"	"0"
"101"	"92"	"92"	"6"	"143"	"88"	"6"	"4"	"5"	"141"	"11"	"10"	"9"	"4"	"4"	"7"	"20"	"25"	"24"	"507"	"0"	"507"	"0"
"102"	"93"	"93"	"6"	"217"	"21"	"0"	"0"	"2"	"23"	"8"	"2"	"4"	"0"	"2"	"0"	"4"	"6"	"6"	"301"	"0"	"301"	"0"
"103"	"94"	"94"	"30"	"158"	"302"	"12"	"40"	"2"	"4"	"11"	"4"	"4"	"5"	"4"	"8"	"21"	"12"	"11"	"628"	"0"	"628"	"0"
"104"	"95"	"95"	"22"	"129"	"129"	"3"	"2"	"2"	"2"	"5"	"0"	"2"	"0"	"2"	"4"	"7"	"15"	"12"	"336"	"0"	"336"	"0"
"105"	"96"	"96"	"10"	"208"	"95"	"8"	"27"	"2"	"2"	"4"	"0"	"2"	"1"	"7"	"4"	"11"	"22"	"50"	"453"	"0"	"453"	"0"
"106"	"97"	"97"	"5"	"89"	"72"	"7"	"21"	"1"	"3"	"8"	"2"	"2"	"3"	"1"	"3"	"0"	"2"	"2"	"221"	"0"	"221"	"0"
"107"	"98"	"98"	"26"	"22"	"211"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"5"	"4"	"7"	"9"	"12"	"308"	"0"	"308"	"0"
"108"	"99"	"99"	"27"	"445"	"93"	"2"	"13"	"7"	"12"	"26"	"4"	"3"	"9"	"34"	"6"	"11"	"22"	"15"	"729"	"0"	"729"	"0"
"109"	"100"	"100"	"12"	"96"	"182"	"2"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"3"	"0"	"307"	"0"	"307"	"0"
"110"	"101"	"101"	"279"	"93"	"15"	"0"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"401"	"0"	"401"	"0"
"111"	"102"	"102"	"72"	"312"	"125"	"0"	"23"	"2"	"6"	"34"	"1"	"2"	"1"	"7"	"2"	"4"	"16"	"15"	"622"	"0"	"622"	"0"
"112"	"103"	"103"	"6"	"191"	"74"	"3"	"1"	"1"	"7"	"23"	"4"	"0"	"0"	"5"	"5"	"5"	"8"	"3"	"336"	"0"	"336"	"0"
"113"	"104"	"104"	"75"	"107"	"56"	"4"	"40"	"4"	"2"	"6"	"0"	"0"	"1"	"3"	"3"	"3"	"6"	"8"	"318"	"0"	"318"	"0"
"114"	"105"	"105"	"29"	"43"	"299"	"1"	"30"	"0"	"8"	"3"	"2"	"3"	"2"	"4"	"4"	"5"	"19"	"1"	"453"	"0"	"453"	"0"
"115"	"106"	"106"	"54"	"260"	"104"	"9"	"10"	"2"	"7"	"5"	"3"	"4"	"4"	"3"	"3"	"9"	"23"	"11"	"511"	"0"	"511"	"0"
"116"	"107"	"107"	"33"	"94"	"74"	"10"	"86"	"3"	"22"	"2"	"2"	"2"	"1"	"2"	"3"	"1"	"4"	"2"	"341"	"0"	"341"	"0"
"117"	"108"	"108"	"20"	"77"	"132"	"5"	"198"	"5"	"4"	"2"	"1"	"6"	"2"	"15"	"7"	"16"	"15"	"11"	"516"	"0"	"516"	"0"
"118"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	"Total No. of Rejected Votes"	"Total"	"No. of Tendered votes"
"119"	"Sl. No."	"Booth No."	"Anunay Kumar Singh"	"Ashok Kumar Singh"	"Mithilesh Prasad Yadav"	"Rambabu Chaudhary"	"Shankar Mahto"	"Dharmnath Sah"	"Balak Nath Sahni"	"Yogendra Ram"	"Rajesh Rai"	"Shankar Rai"	"Umashankar Singh"	"Kiran Devi"	"Mohammad Sharif"	"Rakesh Thakur"	"Rameshwar Sah"	"Sikandar Ram"	""	""	""	""
"120"	"109"	"109"	"82"	"104"	"100"	"2"	"77"	"16"	"347"	"9"	"3"	"4"	"0"	"3"	"3"	"3"	"7"	"3"	"763"	"0"	"763"	"0"
"121"	"110"	"110"	"5"	"30"	"35"	"1"	"27"	"1"	"285"	"6"	"3"	"9"	"3"	"3"	"2"	"8"	"5"	"13"	"436"	"0"	"436"	"0"
"122"	"111"	"111"	"13"	"223"	"76"	"3"	"48"	"3"	"87"	"11"	"7"	"3"	"11"	"17"	"9"	"13"	"18"	"24"	"566"	"0"	"566"	"0"
"123"	"112"	"112"	"35"	"237"	"74"	"3"	"63"	"4"	"79"	"3"	"2"	"3"	"3"	"1"	"4"	"4"	"24"	"10"	"549"	"0"	"549"	"0"
"124"	"113"	"113"	"26"	"346"	"75"	"1"	"4"	"20"	"8"	"1"	"0"	"5"	"1"	"0"	"1"	"4"	"20"	"9"	"521"	"0"	"521"	"0"
"125"	"114"	"114"	"20"	"210"	"177"	"11"	"194"	"6"	"3"	"5"	"3"	"3"	"7"	"23"	"9"	"22"	"17"	"20"	"730"	"0"	"730"	"0"
"126"	"115"	"115"	"38"	"480"	"193"	"5"	"4"	"1"	"3"	"4"	"3"	"5"	"3"	"17"	"7"	"6"	"30"	"14"	"813"	"0"	"813"	"0"
"127"	"116"	"116"	"23"	"354"	"68"	"5"	"16"	"2"	"2"	"4"	"0"	"1"	"0"	"0"	"4"	"0"	"10"	"1"	"490"	"0"	"490"	"0"
"128"	"117"	"117"	"31"	"174"	"123"	"7"	"7"	"5"	"8"	"2"	"2"	"1"	"1"	"3"	"2"	"1"	"5"	"2"	"374"	"0"	"374"	"0"
"129"	"118"	"118"	"93"	"227"	"183"	"5"	"24"	"4"	"5"	"3"	"1"	"2"	"1"	"2"	"1"	"5"	"10"	"4"	"570"	"0"	"570"	"0"
"130"	"119"	"119"	"16"	"286"	"124"	"6"	"5"	"1"	"7"	"3"	"0"	"3"	"3"	"12"	"11"	"11"	"32"	"12"	"532"	"0"	"532"	"0"
"131"	"120"	"120"	"8"	"132"	"186"	"7"	"3"	"0"	"1"	"1"	"0"	"3"	"1"	"5"	"1"	"10"	"16"	"7"	"381"	"0"	"381"	"0"
"132"	"121"	"121"	"7"	"66"	"91"	"2"	"3"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"2"	"8"	"8"	"0"	"193"	"0"	"193"	"0"
"133"	"122"	"122"	"4"	"73"	"227"	"1"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"316"	"0"	"316"	"0"
"134"	"123"	"123"	"10"	"214"	"60"	"2"	"11"	"2"	"1"	"2"	"2"	"3"	"0"	"8"	"9"	"14"	"26"	"13"	"377"	"0"	"377"	"0"
"135"	"124"	"124"	"89"	"317"	"41"	"2"	"6"	"4"	"7"	"2"	"2"	"1"	"1"	"0"	"5"	"7"	"32"	"16"	"532"	"0"	"532"	"0"
"136"	"125"	"125"	"17"	"201"	"156"	"4"	"16"	"4"	"16"	"87"	"4"	"7"	"4"	"2"	"6"	"7"	"7"	"2"	"540"	"0"	"540"	"0"
"137"	"126"	"126"	"16"	"285"	"267"	"14"	"11"	"11"	"6"	"5"	"3"	"7"	"1"	"6"	"16"	"28"	"38"	"25"	"739"	"0"	"739"	"0"
"138"	"127"	"127"	"11"	"427"	"173"	"3"	"4"	"14"	"8"	"16"	"7"	"4"	"4"	"3"	"8"	"10"	"31"	"19"	"742"	"0"	"742"	"0"
