"17"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"18"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"19"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"20"	"8"	"10"	"32"	"296"	"24"	"149"	"9"	"3"	""	"10"	""	""	"2"	""	"7"	""	"8"	""	"15"	""	""	"8"	""	"18"	"22"	"17"	"2"	"4"	"636"	""	"636"	""
"21"	"9"	"2"	"64"	"256"	"10"	"103"	"10"	"1"	""	"4"	""	""	"4"	""	"4"	""	"6"	""	"53"	""	""	"5"	""	"17"	"12"	"23"	"6"	"13"	"593"	""	"593"	""
"22"	"10"	"5"	"9"	"377"	"12"	"81"	"5"	"4"	""	"3"	""	""	"2"	""	"4"	""	"3"	""	"5"	""	""	"7"	""	"22"	"15"	"18"	"3"	"11"	"586"	""	"586"	""
"23"	"11"	"9"	"3"	"178"	"10"	"200"	"4"	"3"	""	"3"	""	""	"3"	""	"6"	""	"1"	""	"5"	""	""	"4"	""	"15"	"16"	"9"	"7"	"4"	"480"	""	"480"	""
"24"	"12"	"4"	"5"	"48"	"6"	"256"	"4"	"1"	""	"4"	""	""	"2"	""	"3"	""	"5"	""	"20"	""	""	"4"	""	"3"	"4"	"5"	"0"	"1"	"375"	""	"375"	""
"25"	"13"	"12"	"4"	"28"	"12"	"504"	"5"	"5"	""	"26"	""	""	"14"	""	"19"	""	"4"	""	"15"	""	""	"4"	""	"12"	"53"	"20"	"2"	"17"	"756"	""	"756"	""
"26"	"14"	"1"	"3"	"29"	"0"	"102"	"0"	"1"	""	"3"	""	""	"3"	""	"7"	""	"4"	""	"1"	""	""	"2"	""	"2"	"9"	"11"	"1"	"2"	"181"	""	"181"	""
"27"	"; ksx"	"43"	"120"	"1212"	"74"	"1395"	"37"	"18"	""	"53"	""	""	"30"	""	"50"	""	"31"	""	"114"	""	""	"34"	""	"89"	"131"	"103"	"21"	"52"	"3607"	""	"3607"	""
"28"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"43"	"106"	"1106"	"65"	"1411"	"25"	"10"	""	"50"	""	""	"25"	""	"26"	""	"19"	""	"77"	""	""	"19"	""	"31"	"121"	"45"	"48"	"37"	"3264"	""	"3264"	""
"29"	"d qy  ; ksx"	"86"	"226"	"2318"	"139"	"2806"	"62"	"28"	""	"103"	""	""	"55"	""	"76"	""	"50"	""	"191"	""	""	"53"	""	"120"	"252"	"148"	"69"	"89"	"6871"	""	"6871"	""
"30"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"31"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"32"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"33"	"15"	"12"	"5"	"89"	"5"	"277"	"6"	"4"	""	"5"	""	""	"2"	""	"8"	""	"3"	""	"22"	""	""	"0"	""	"5"	"105"	"14"	"15"	"3"	"580"	""	"580"	""
"34"	"16"	"2"	"117"	"67"	"109"	"328"	"8"	"6"	""	"14"	""	""	"6"	""	"15"	""	"3"	""	"6"	""	""	"3"	""	"3"	"27"	"10"	"6"	"9"	"739"	""	"739"	""
"35"	"17"	"10"	"69"	"216"	"16"	"167"	"6"	"3"	""	"8"	""	""	"1"	""	"3"	""	"6"	""	"15"	""	""	"5"	""	"12"	"12"	"17"	"14"	"9"	"589"	""	"589"	""
"36"	"18"	"11"	"291"	"135"	"11"	"164"	"3"	"1"	""	"11"	""	""	"4"	""	"4"	""	"0"	""	"7"	""	""	"7"	""	"5"	"11"	"10"	"5"	"4"	"684"	""	"684"	""
"37"	"19"	"10"	"152"	"109"	"7"	"270"	"5"	"2"	""	"12"	""	""	"3"	""	"6"	""	"6"	""	"21"	""	""	"5"	""	"10"	"16"	"15"	"5"	"7"	"661"	""	"661"	""
"38"	"20"	"6"	"18"	"153"	"4"	"307"	"11"	"4"	""	"14"	""	""	"2"	""	"8"	""	"6"	""	"23"	""	""	"5"	""	"13"	"24"	"17"	"4"	"3"	"622"	""	"622"	""
"39"	"21"	"10"	"15"	"58"	"13"	"239"	"3"	"1"	""	"8"	""	""	"1"	""	"4"	""	"3"	""	"13"	""	""	"3"	""	"3"	"9"	"15"	"6"	"5"	"409"	""	"409"	""
"40"	"; ksx"	"61"	"667"	"827"	"165"	"1752"	"42"	"21"	""	"72"	""	""	"19"	""	"48"	""	"27"	""	"107"	""	""	"28"	""	"51"	"204"	"98"	"55"	"40"	"4284"	""	"4284"	""
"41"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"86"	"226"	"2318"	"139"	"2806"	"62"	"28"	""	"103"	""	""	"55"	""	"76"	""	"50"	""	"191"	""	""	"53"	""	"120"	"252"	"148"	"69"	"89"	"6871"	""	"6871"	""
"42"	"d qy  ; ksx"	"147"	"893"	"3145"	"304"	"4558"	"104"	"49"	""	"175"	""	""	"74"	""	"124"	""	"77"	""	"298"	""	""	"81"	""	"171"	"456"	"246"	"124"	"129"	"11155"	""	"11155"	""
"43"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"44"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s
gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj  j geku"	""	"t dfj ; k [ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"45"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"46"	"21d"	"3"	"6"	"111"	"9"	"232"	"1"	"4"	""	"6"	""	""	"4"	""	"4"	""	"3"	""	"13"	""	""	"6"	""	"4"	"19"	"14"	"5"	"7"	"451"	""	"451"	""
"47"	"22"	"1"	"21"	"82"	"8"	"363"	"5"	"3"	""	"15"	""	""	"3"	""	"12"	""	"6"	""	"11"	""	""	"5"	""	"13"	"28"	"10"	"13"	"6"	"605"	""	"605"	""
"48"	"23"	"6"	"6"	"59"	"4"	"282"	"2"	"7"	""	"12"	""	""	"4"	""	"2"	""	"7"	""	"11"	""	""	"21"	""	"15"	"24"	"12"	"3"	"2"	"479"	""	"479"	""
"49"	"24"	"20"	"9"	"210"	"17"	"241"	"12"	"7"	""	"10"	""	""	"3"	""	"6"	""	"9"	""	"8"	""	""	"3"	""	"13"	"28"	"19"	"32"	"9"	"656"	""	"656"	""
"50"	"25"	"10"	"11"	"171"	"22"	"150"	"6"	"5"	""	"19"	""	""	"2"	""	"7"	""	"7"	""	"9"	""	""	"7"	""	"11"	"11"	"19"	"8"	"5"	"480"	""	"480"	""
"51"	"26"	"7"	"20"	"122"	"11"	"323"	"5"	"8"	""	"22"	""	""	"4"	""	"12"	""	"9"	""	"3"	""	""	"5"	""	"10"	"18"	"14"	"3"	"5"	"601"	""	"601"	""
"52"	"27"	"3"	"14"	"170"	"12"	"128"	"4"	"2"	""	"9"	""	""	"3"	""	"6"	""	"18"	""	"4"	""	""	"5"	""	"4"	"25"	"22"	"8"	"8"	"445"	""	"445"	""
"53"	"; ksx"	"50"	"87"	"925"	"83"	"1719"	"35"	"36"	""	"93"	""	""	"23"	""	"49"	""	"59"	""	"59"	""	""	"52"	""	"70"	"153"	"110"	"72"	"42"	"3717"	""	"3717"	""
"54"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"147"	"893"	"3145"	"304"	"4558"	"104"	"49"	""	"175"	""	""	"74"	""	"124"	""	"77"	""	"298"	""	""	"81"	""	"171"	"456"	"246"	"124"	"129"	"11155"	""	"11155"	""
"55"	"d qy  ; ksx"	"197"	"980"	"4070"	"387"	"6277"	"139"	"85"	""	"268"	""	""	"97"	""	"173"	""	"136"	""	"357"	""	""	"133"	""	"241"	"609"	"356"	"196"	"171"	"14872"	""	"14872"	""
"56"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"57"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	""	""	""	""
"58"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"59"	"28"	"5"	"17"	"131"	"6"	"445"	"3"	"4"	""	"13"	""	""	"5"	""	"3"	""	"1"	""	"6"	""	""	"8"	""	"9"	"28"	"8"	"4"	"2"	"698"	""	"698"	""
"60"	"29"	"6"	"13"	"115"	"12"	"273"	"7"	"6"	""	"6"	""	""	"3"	""	"5"	""	"0"	""	"8"	""	""	"25"	""	"9"	"6"	"16"	"3"	"5"	"518"	""	"518"	""
"61"	"30"	"11"	"18"	"65"	"4"	"558"	"0"	"3"	""	"12"	""	""	"1"	""	"5"	""	"0"	""	"6"	""	""	"35"	""	"3"	"13"	"1"	"24"	"3"	"762"	""	"762"	""
"62"	"31"	"20"	"11"	"219"	"15"	"165"	"2"	"5"	""	"4"	""	""	"3"	""	"1"	""	"3"	""	"11"	""	""	"3"	""	"12"	"5"	"8"	"89"	"19"	"595"	""	"595"	""
"63"	"32"	"10"	"40"	"228"	"11"	"337"	"6"	"6"	""	"11"	""	""	"3"	""	"6"	""	"1"	""	"7"	""	""	"3"	""	"9"	"21"	"5"	"15"	"9"	"728"	""	"728"	""
"64"	"33"	"5"	"8"	"177"	"2"	"171"	"6"	"1"	""	"8"	""	""	"1"	""	"0"	""	"3"	""	"7"	""	""	"2"	""	"6"	"2"	"10"	"3"	"3"	"415"	""	"415"	""
"65"	"34"	"12"	"11"	"309"	"12"	"259"	"3"	"3"	""	"10"	""	""	"4"	""	"8"	""	"0"	""	"8"	""	""	"2"	""	"10"	"10"	"7"	"7"	"8"	"683"	""	"683"	""
"66"	"; ksx"	"69"	"118"	"1244"	"62"	"2208"	"27"	"28"	""	"64"	""	""	"20"	""	"28"	""	"8"	""	"53"	""	""	"78"	""	"58"	"85"	"55"	"145"	"49"	"4399"	""	"4399"	""
"67"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"197"	"980"	"4070"	"387"	"6277"	"139"	"85"	""	"268"	""	""	"97"	""	"173"	""	"136"	""	"357"	""	""	"133"	""	"241"	"609"	"356"	"196"	"171"	"14872"	""	"14872"	""
"68"	"d qy  ; ksx"	"266"	"1098"	"5314"	"449"	"8485"	"166"	"113"	""	"332"	""	""	"117"	""	"201"	""	"144"	""	"410"	""	""	"211"	""	"299"	"694"	"411"	"341"	"220"	"19271"	""	"19271"	""
"69"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"70"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz dqekj
i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"71"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"72"	"35"	"2"	"7"	"54"	"48"	"194"	"8"	"4"	""	"8"	""	""	"0"	""	"29"	""	"2"	""	"5"	""	""	"2"	""	"6"	"15"	"10"	"0"	"0"	"394"	""	"394"	""
"73"	"36"	"3"	"1"	"27"	"2"	"240"	"1"	"2"	""	"8"	""	""	"2"	""	"9"	""	"3"	""	"61"	""	""	"1"	""	"1"	"6"	"4"	"2"	"5"	"378"	""	"378"	""
"74"	"37"	"5"	"3"	"134"	"13"	"254"	"2"	"3"	""	"16"	""	""	"6"	""	"15"	""	"3"	""	"13"	""	""	"8"	""	"12"	"12"	"25"	"7"	"2"	"533"	""	"533"	""
"75"	"38"	"2"	"0"	"123"	"4"	"252"	"2"	"2"	""	"3"	""	""	"2"	""	"2"	""	"2"	""	"24"	""	""	"1"	""	"5"	"6"	"5"	"0"	"2"	"437"	""	"437"	""
"76"	"39"	"5"	"8"	"120"	"8"	"426"	"11"	"3"	""	"16"	""	""	"5"	""	"11"	""	"5"	""	"41"	""	""	"9"	""	"11"	"11"	"16"	"8"	"6"	"720"	""	"720"	""
"77"	"40"	"2"	"3"	"106"	"8"	"276"	"2"	"4"	""	"6"	""	""	"1"	""	"8"	""	"3"	""	"9"	""	""	"2"	""	"9"	"40"	"7"	"1"	"2"	"489"	""	"489"	""
"78"	"41"	"3"	"8"	"98"	"3"	"46"	"1"	"0"	""	"2"	""	""	"1"	""	"1"	""	"5"	""	"276"	""	""	"2"	""	"0"	"2"	"6"	"1"	"4"	"459"	""	"459"	""
"79"	"; ksx"	"22"	"30"	"662"	"86"	"1688"	"27"	"18"	""	"59"	""	""	"17"	""	"75"	""	"23"	""	"429"	""	""	"25"	""	"44"	"92"	"73"	"19"	"21"	"3410"	""	"3410"	""
"80"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"266"	"1098"	"5314"	"449"	"8485"	"166"	"113"	""	"332"	""	""	"117"	""	"201"	""	"144"	""	"410"	""	""	"211"	""	"299"	"694"	"411"	"341"	"220"	"19271"	""	"19271"	""
"81"	"d qy  ; ksx"	"288"	"1128"	"5976"	"535"	"10173"	"193"	"131"	""	"391"	""	""	"134"	""	"276"	""	"167"	""	"839"	""	""	"236"	""	"343"	"786"	"484"	"360"	"241"	"22681"	""	"22681"	""
"82"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"83"	""	"mes' k dqekj  fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj  fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er vyh"	""	""	""	""
"84"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"85"	"42"	"4"	"2"	"154"	"14"	"180"	"2"	"3"	""	"11"	""	""	"0"	""	"8"	""	"5"	""	"12"	""	""	"5"	""	"10"	"15"	"29"	"3"	"5"	"462"	""	"462"	""
"86"	"43"	"4"	"1"	"164"	"3"	"194"	"3"	"1"	""	"4"	""	""	"1"	""	"5"	""	"1"	""	"2"	""	""	"4"	""	"0"	"5"	"2"	"5"	"0"	"399"	""	"399"	""
"87"	"44"	"4"	"9"	"54"	"7"	"433"	"8"	"8"	""	"17"	""	""	"5"	""	"27"	""	"10"	""	"33"	""	""	"5"	""	"4"	"71"	"14"	"5"	"1"	"715"	""	"715"	""
"88"	"45"	"5"	"18"	"198"	"10"	"307"	"5"	"3"	""	"7"	""	""	"3"	""	"12"	""	"5"	""	"11"	""	""	"5"	""	"2"	"26"	"11"	"4"	"4"	"636"	""	"636"	""
"89"	"46"	"0"	"2"	"16"	"9"	"358"	"2"	"0"	""	"5"	""	""	"2"	""	"3"	""	"3"	""	"7"	""	""	"4"	""	"0"	"13"	"2"	"7"	"2"	"435"	""	"435"	""
"90"	"46d"	"5"	"4"	"40"	"47"	"286"	"2"	"3"	""	"4"	""	""	"0"	""	"7"	""	"3"	""	"10"	""	""	"1"	""	"2"	"11"	"4"	"0"	"1"	"430"	""	"430"	""
"91"	"47"	"2"	"4"	"554"	"6"	"46"	"5"	"1"	""	"8"	""	""	"4"	""	"1"	""	"1"	""	"9"	""	""	"1"	""	"9"	"3"	"0"	"11"	"1"	"666"	""	"666"	""
"92"	"; ksx"	"24"	"40"	"1180"	"96"	"1804"	"27"	"19"	""	"56"	""	""	"15"	""	"63"	""	"28"	""	"84"	""	""	"25"	""	"27"	"144"	"62"	"35"	"14"	"3743"	""	"3743"	""
"93"	"fi Ny s
pdzksa  d s er ksa  dk
; ksx"	"288"	"1128"	"5976"	"535"	"10173"	"193"	"131"	""	"391"	""	""	"134"	""	"276"	""	"167"	""	"839"	""	""	"236"	""	"343"	"786"	"484"	"360"	"241"	"22681"	""	"22681"	""
"94"	"d qy  ; ksx"	"312"	"1168"	"7156"	"631"	"11977"	"220"	"150"	""	"447"	""	""	"149"	""	"339"	""	"195"	""	"923"	""	""	"261"	""	"370"	"930"	"546"	"395"	"255"	"26424"	""	"26424"	""
"95"	"er nku
dsUnzksa dh dze l a0"	"fuEufyf[ kr  ds i {k esa fn; s x; s fof/kekU;  er ksa dh l a0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy
fof/kekU
;  er"	"i zfr {ksfi
r  er ksa dh
l a[ ; k"	"; ksx"	"fufonŸk
er ksa dh l a[ ; k"
"96"	""	"mes' k dqekj
fl ag"	", l 0 , e0 Qt y s gd"	"egen eksfcu"	"eks[ r k i z0 dq' kokgk"	"' ; ke cgknqj
fl ag"	"dSyk' k ekW>h"	"xkSr e xksLokeh"	""	"ft r sUnz
dqekj i k.Ms;"	""	""	"uj fl ag pkSgku"	""	"ekyr h nsoh"	""	"gfl cqj j geku"	""	"t dfj ; k
[ kku"	""	""	"/kesZUnz fl ag"	""	"j keuj s' k
fl ag"	"' kad j  t h fr okj h"	"' kEHkw i zl kn"	"l uk≈Yykg"	"gl er  vyh"	""	""	""	""
"97"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	"8"	""	""	"9"	""	"10"	""	"11"	""	"12"	""	""	"13"	""	"14"	"15"	"16"	"17"	"18"	""	""	""	""
"98"	"48"	"3"	"26"	"306"	"11"	"169"	"6"	"3"	""	"12"	""	""	"2"	""	"5"	""	"2"	""	"33"	""	""	"3"	""	"14"	"20"	"10"	"0"	"4"	"629"	""	"629"	""
"99"	"49"	"9"	"7"	"110"	"2"	"217"	"6"	"1"	""	"7"	""	""	"0"	""	"3"	""	"2"	""	"9"	""	""	"3"	""	"3"	"45"	"4"	"5"	"1"	"434"	""	"434"	""
"100"	"50"	"0"	"2"	"114"	"16"	"477"	"1"	"0"	""	"6"	""	""	"0"	""	"2"	""	"1"	""	"6"	""	""	"1"	""	"1"	"6"	"6"	"1"	"0"	"640"	""	"640"	""
"101"	"51"	"4"	"8"	"50"	"4"	"299"	"6"	"5"	""	"6"	""	""	"3"	""	"7"	""	"4"	""	"22"	""	""	"8"	""	"7"	"8"	"25"	"6"	"4"	"476"	""	"476"	""
"102"	"52"	"4"	"3"	"91"	"5"	"51"	"1"	"1"	""	"7"	""	""	"2"	""	"7"	""	"0"	""	"3"	""	""	"9"	""	"4"	"40"	"6"	"2"	"2"	"238"	""	"238"	""
