"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56 (7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Name of the Assembly  :  145 S.Kamal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"113"	"89"	"451"	"12"	"6"	"90"	"103"	"5"	"7"	"8"	"13"	"8"	"10"	"32"	"745"	"0"	"745"	"0"
"114"	"90"	"257"	"12"	"3"	"21"	"130"	"6"	"7"	"7"	"3"	"5"	"3"	"13"	"467"	"0"	"467"	"0"
"115"	"91"	"312"	"7"	"4"	"5"	"102"	"2"	"10"	"2"	"0"	"1"	"3"	"9"	"457"	"0"	"457"	"0"
"116"	"92"	"15"	"2"	"2"	"155"	"287"	"5"	"4"	"2"	"2"	"2"	"1"	"7"	"484"	"0"	"484"	"0"
"117"	"93"	"152"	"15"	"5"	"153"	"196"	"5"	"18"	"6"	"7"	"7"	"17"	"10"	"591"	"0"	"591"	"0"
"118"	"94"	"97"	"10"	"2"	"93"	"177"	"5"	"6"	"9"	"4"	"7"	"19"	"12"	"441"	"0"	"441"	"0"
"119"	"95"	"9"	"4"	"2"	"173"	"228"	"8"	"10"	"8"	"6"	"5"	"1"	"8"	"462"	"0"	"462"	"0"
"120"	"96"	"18"	"5"	"2"	"205"	"273"	"8"	"3"	"6"	"6"	"5"	"4"	"19"	"554"	"0"	"554"	"0"
"121"	"97"	"49"	"30"	"2"	"51"	"76"	"4"	"5"	"3"	"8"	"8"	"222"	"25"	"483"	"0"	"483"	"0"
"122"	"98"	"109"	"22"	"3"	"61"	"37"	"1"	"2"	"4"	"3"	"4"	"191"	"31"	"468"	"0"	"468"	"0"
"123"	"99"	"266"	"17"	"9"	"68"	"128"	"6"	"11"	"15"	"7"	"13"	"107"	"30"	"677"	"0"	"677"	"0"
"124"	"100"	"85"	"15"	"2"	"15"	"534"	"9"	"17"	"9"	"3"	"2"	"8"	"21"	"720"	"0"	"720"	"0"
"125"	"101"	"170"	"39"	"19"	"10"	"88"	"2"	"1"	"15"	"3"	"1"	"1"	"4"	"353"	"0"	"353"	"0"
"126"	"102"	"123"	"123"	"5"	"137"	"176"	"10"	"9"	"7"	"5"	"3"	"7"	"10"	"615"	"0"	"615"	"0"
"127"	"103"	"155"	"14"	"1"	"49"	"183"	"6"	"8"	"3"	"3"	"0"	"1"	"6"	"429"	"0"	"429"	"0"
"128"	"104"	"360"	"19"	"301"	"23"	"83"	"5"	"13"	"5"	"6"	"8"	"7"	"11"	"841"	"0"	"841"	"0"
"129"	"105"	"504"	"9"	"113"	"20"	"190"	"2"	"9"	"4"	"2"	"11"	"4"	"17"	"885"	"0"	"885"	"0"
"130"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"131"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"132"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"133"	"106"	"156"	"24"	"112"	"38"	"35"	"0"	"2"	"4"	"9"	"3"	"5"	"9"	"397"	"0"	"397"	"0"
"134"	"107"	"375"	"7"	"14"	"6"	"14"	"2"	"4"	"0"	"1"	"6"	"5"	"22"	"456"	"0"	"456"	"0"
"135"	"108"	"176"	"25"	"220"	"55"	"58"	"3"	"7"	"9"	"4"	"10"	"7"	"8"	"582"	"0"	"582"	"0"
"136"	"109"	"592"	"13"	"1"	"4"	"12"	"2"	"2"	"2"	"1"	"1"	"3"	"18"	"651"	"0"	"651"	"0"
"137"	"110"	"131"	"32"	"1"	"4"	"159"	"3"	"5"	"3"	"1"	"0"	"0"	"7"	"346"	"0"	"346"	"0"
"138"	"111"	"257"	"19"	"1"	"7"	"133"	"4"	"3"	"3"	"1"	"1"	"1"	"22"	"452"	"0"	"452"	"0"
"139"	"112"	"254"	"73"	"3"	"6"	"151"	"0"	"1"	"2"	"4"	"1"	"4"	"26"	"525"	"0"	"525"	"0"
"140"	"113"	"123"	"6"	"1"	"9"	"298"	"7"	"8"	"4"	"1"	"0"	"8"	"15"	"480"	"0"	"480"	"0"
"141"	"114"	"277"	"8"	"2"	"10"	"144"	"1"	"6"	"4"	"1"	"6"	"4"	"15"	"478"	"0"	"478"	"0"
"142"	"115"	"133"	"45"	"1"	"5"	"190"	"9"	"7"	"9"	"6"	"1"	"6"	"13"	"425"	"0"	"425"	"0"
"143"	"116"	"246"	"11"	"1"	"5"	"168"	"2"	"5"	"1"	"0"	"0"	"2"	"2"	"443"	"0"	"443"	"0"
"144"	"117"	"266"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"8"	"279"	"0"	"279"	"0"
"145"	"117A"	"668"	"5"	"1"	"7"	"5"	"0"	"1"	"0"	"0"	"2"	"5"	"17"	"711"	"0"	"711"	"0"
"146"	"118"	"126"	"14"	"1"	"46"	"282"	"4"	"5"	"5"	"4"	"1"	"7"	"7"	"502"	"0"	"502"	"0"
"147"	"119"	"734"	"17"	"3"	"49"	"70"	"4"	"5"	"7"	"4"	"10"	"8"	"39"	"950"	"0"	"950"	"0"
"148"	"120"	"545"	"15"	"0"	"4"	"10"	"0"	"1"	"0"	"2"	"1"	"2"	"14"	"594"	"0"	"594"	"0"
"149"	"121"	"359"	"60"	"8"	"20"	"139"	"8"	"5"	"4"	"2"	"3"	"1"	"22"	"631"	"0"	"631"	"0"
"150"	"122"	"480"	"28"	"2"	"28"	"98"	"8"	"8"	"10"	"7"	"6"	"9"	"29"	"713"	"0"	"713"	"0"
"151"	"123"	"445"	"22"	"6"	"17"	"187"	"11"	"13"	"11"	"2"	"4"	"7"	"19"	"744"	"0"	"744"	"0"
"152"	"124"	"175"	"11"	"5"	"8"	"398"	"10"	"8"	"6"	"3"	"2"	"7"	"11"	"644"	"0"	"644"	"0"
"153"	"125"	"199"	"11"	"13"	"1"	"109"	"2"	"5"	"5"	"0"	"1"	"1"	"4"	"351"	"0"	"351"	"0"
"154"	"126"	"150"	"12"	"2"	"9"	"350"	"4"	"17"	"13"	"10"	"5"	"8"	"17"	"597"	"0"	"597"	"0"
"155"	"127"	"189"	"36"	"5"	"10"	"241"	"1"	"11"	"5"	"1"	"0"	"0"	"6"	"505"	"0"	"505"	"0"
"156"	"128"	"331"	"33"	"2"	"25"	"161"	"12"	"14"	"5"	"3"	"5"	"7"	"27"	"625"	"0"	"625"	"0"
"157"	"129"	"402"	"36"	"1"	"31"	"35"	"1"	"3"	"4"	"2"	"5"	"5"	"7"	"532"	"0"	"532"	"0"
"158"	"130"	"234"	"58"	"7"	"16"	"118"	"2"	"9"	"6"	"3"	"3"	"5"	"11"	"472"	"0"	"472"	"0"
"159"	"131"	"209"	"10"	"3"	"5"	"335"	"4"	"6"	"17"	"3"	"0"	"4"	"31"	"627"	"0"	"627"	"0"
"160"	"132"	"117"	"56"	"1"	"7"	"109"	"2"	"1"	"1"	"0"	"5"	"3"	"2"	"304"	"0"	"304"	"0"
"161"	"133"	"206"	"42"	"6"	"12"	"196"	"3"	"10"	"6"	"3"	"6"	"7"	"31"	"528"	"0"	"528"	"0"
"162"	"134"	"256"	"52"	"5"	"6"	"139"	"3"	"6"	"9"	"1"	"2"	"8"	"16"	"503"	"0"	"503"	"0"
"163"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"164"	""	"Parveen Amanullah a"	"Rakesh Singh"	"Ram Prawesh Kumar"	"Vidyanand Yadav"	"Shree Narayan Yadav"	"Md. Anwar Khan"	"Devendra Prasad"	"Es.Em.Nur Alam"	"Mahendra Rajak"	"Shamshad Alam"	"Munilal Singh"	"Md. Samim Akhtar"	""	""	""	""
"165"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"166"	"135"	"157"	"18"	"1"	"3"	"162"	"3"	"0"	"1"	"3"	"0"	"2"	"7"	"357"	"0"	"357"	"0"
"167"	"136"	"115"	"23"	"3"	"13"	"263"	"4"	"22"	"4"	"2"	"6"	"15"	"23"	"493"	"0"	"493"	"0"
"168"	"137"	"269"	"45"	"2"	"7"	"219"	"8"	"5"	"7"	"5"	"1"	"20"	"14"	"602"	"0"	"602"	"0"
"169"	"138"	"247"	"20"	"1"	"10"	"153"	"4"	"4"	"6"	"2"	"1"	"2"	"9"	"459"	"0"	"459"	"0"
"170"	"139"	"170"	"44"	"8"	"6"	"245"	"4"	"13"	"9"	"3"	"1"	"1"	"11"	"515"	"0"	"515"	"0"
"171"	"140"	"234"	"103"	"5"	"6"	"237"	"1"	"6"	"6"	"1"	"0"	"3"	"7"	"609"	"0"	"609"	"0"
"172"	"141"	"25"	"7"	"3"	"4"	"320"	"10"	"12"	"7"	"4"	"1"	"2"	"5"	"400"	"0"	"400"	"0"
"173"	"142"	"343"	"26"	"1"	"6"	"80"	"3"	"5"	"7"	"4"	"2"	"2"	"26"	"505"	"0"	"505"	"0"
"174"	"143"	"251"	"9"	"1"	"16"	"63"	"5"	"4"	"3"	"1"	"3"	"5"	"18"	"379"	"0"	"379"	"0"
"175"	"144"	"160"	"12"	"23"	"7"	"192"	"5"	"5"	"4"	"4"	"2"	"6"	"18"	"438"	"0"	"438"	"0"
"176"	"145"	"423"	"12"	"4"	"10"	"269"	"3"	"10"	"5"	"1"	"6"	"6"	"11"	"760"	"0"	"760"	"0"
"177"	"146"	"85"	"2"	"1"	"3"	"346"	"7"	"6"	"7"	"3"	"1"	"5"	"16"	"482"	"0"	"482"	"0"
"178"	"147"	"159"	"7"	"8"	"16"	"219"	"10"	"8"	"16"	"10"	"2"	"34"	"29"	"518"	"0"	"518"	"0"
